MachineUtilityMeterKey,UtilityMeterNumber,MachineKey,PlantKey,MachineUtilityTypeKey,UnitOfMeasureKey,MachineUtilityMeterName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
17,MUM000017,381,44,1,1,Beacon MachineUtilityMeter 17,MUM000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4178b040c20d52f3b30c925539e25d3f4178b040c20d52f3b30c925539e25d3f
18,MUM000018,264,210,9,2,Unity MachineUtilityMeter 18,MUM000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3349395576825bca854aef85a0b26a9a3349395576825bca854aef85a0b26a9a
19,MUM000019,473,207,3,1,Beacon MachineUtilityMeter 19,MUM000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb750bc5799a532d9eba780d46a34411fb750bc5799a532d9eba780d46a34411
20,MUM000020,482,320,12,2,Vertex MachineUtilityMeter 20,MUM000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed24405a79735bd6a9e1b23bfd0ba812ed24405a79735bd6a9e1b23bfd0ba812
21,MUM000021,396,175,1,5,Zenith MachineUtilityMeter 21,MUM000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,660dd12678485e50b8f6e9abd6a6aa95660dd12678485e50b8f6e9abd6a6aa95
22,MUM000022,237,161,10,5,Orion MachineUtilityMeter 22,MUM000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb3b1325fdf55df8987362d61047b6eefb3b1325fdf55df8987362d61047b6ee
23,MUM000023,362,105,5,3,Cedar MachineUtilityMeter 23,MUM000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f04cff6d1edb5802b1e3f5fad1624eb5f04cff6d1edb5802b1e3f5fad1624eb5
24,MUM000024,373,294,11,3,Cedar MachineUtilityMeter 24,MUM000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53d1ceadbc6c54b982dbac269df874f853d1ceadbc6c54b982dbac269df874f8
25,MUM000025,467,39,11,2,Keystone MachineUtilityMeter 25,MUM000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77890c2783d05bd8bca8fb856846423877890c2783d05bd8bca8fb8568464238
26,MUM000026,239,155,9,7,Vertex MachineUtilityMeter 26,MUM000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52f5d1cee48352caa8700623a72df48452f5d1cee48352caa8700623a72df484
27,MUM000027,93,9,5,2,Riverton MachineUtilityMeter 27,MUM000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e4458d343f0561f8ebbb6256fd773563e4458d343f0561f8ebbb6256fd77356
28,MUM000028,94,22,11,5,Quartz MachineUtilityMeter 28,MUM000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2754890a1aa157279ac4317bc6183fb72754890a1aa157279ac4317bc6183fb7
29,MUM000029,66,137,9,5,Cedar MachineUtilityMeter 29,MUM000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c96dd5c758b50b28f866b7cbf5038eb5c96dd5c758b50b28f866b7cbf5038eb
30,MUM000030,59,185,7,1,Quartz MachineUtilityMeter 30,MUM000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,24eb0e5457535ba99ea7fff42e260c1b24eb0e5457535ba99ea7fff42e260c1b
31,MUM000031,310,18,8,5,Beacon MachineUtilityMeter 31,MUM000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50b5497bee0d58e4a5de00f93b2c9c9b50b5497bee0d58e4a5de00f93b2c9c9b
32,MUM000032,71,238,11,2,Quartz MachineUtilityMeter 32,MUM000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89d051f8b621526cb71a440e509b050489d051f8b621526cb71a440e509b0504
33,MUM000033,470,230,5,7,Harbor MachineUtilityMeter 33,MUM000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c54cd7054bb3562c87df85998e547df4c54cd7054bb3562c87df85998e547df4
34,MUM000034,206,165,12,4,Beacon MachineUtilityMeter 34,MUM000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3709b2964fa75a8498ac971aa68d03aa3709b2964fa75a8498ac971aa68d03aa
35,MUM000035,458,136,8,1,Meridian MachineUtilityMeter 35,MUM000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca1a8044b13c553aa975d7957755337fca1a8044b13c553aa975d7957755337f
36,MUM000036,415,177,9,2,Titan MachineUtilityMeter 36,MUM000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b050485223659b5a6fbd1f191dccb5a2b050485223659b5a6fbd1f191dccb5a
37,MUM000037,121,242,8,7,Summit MachineUtilityMeter 37,MUM000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c8be37fb4f253fd91099d56053411670c8be37fb4f253fd91099d5605341167
38,MUM000038,106,261,12,4,Titan MachineUtilityMeter 38,MUM000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c630cf9be05a5f1b92b740d3e78e52edc630cf9be05a5f1b92b740d3e78e52ed
39,MUM000039,443,335,10,7,Meridian MachineUtilityMeter 39,MUM000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13c959fcbc6b5afab0fb56bb78e2540d13c959fcbc6b5afab0fb56bb78e2540d
40,MUM000040,341,236,4,1,Cedar MachineUtilityMeter 40,MUM000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ef75a460d94551baae047208019eda85ef75a460d94551baae047208019eda8
41,MUM000041,397,292,10,3,Beacon MachineUtilityMeter 41,MUM000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,723ece12a9bc5f06b16775d19bb532fe723ece12a9bc5f06b16775d19bb532fe
42,MUM000042,264,335,1,7,Granite MachineUtilityMeter 42,MUM000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9f7e043d30435d9e8c420d3d159aed029f7e043d30435d9e8c420d3d159aed02
43,MUM000043,147,109,9,5,Summit MachineUtilityMeter 43,MUM000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,041dde60333b5fc6aeba0303144fad9e041dde60333b5fc6aeba0303144fad9e
44,MUM000044,46,133,10,2,Granite MachineUtilityMeter 44,MUM000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b02ef775fa11532c986ef373587db458b02ef775fa11532c986ef373587db458
45,MUM000045,259,144,2,2,Orion MachineUtilityMeter 45,MUM000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,545198955e1e5195bc4a130d56f86e41545198955e1e5195bc4a130d56f86e41
46,MUM000046,402,205,2,6,Ion MachineUtilityMeter 46,MUM000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b143bd576e4d5ec3b49955ac6c6afa78b143bd576e4d5ec3b49955ac6c6afa78
47,MUM000047,67,14,10,4,Beacon MachineUtilityMeter 47,MUM000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12d995cc9cc05318a5a797450bf8953112d995cc9cc05318a5a797450bf89531
48,MUM000048,363,107,7,7,Keystone MachineUtilityMeter 48,MUM000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,754952ec98fc54b191a8589a9b8477b1754952ec98fc54b191a8589a9b8477b1
49,MUM000049,434,204,9,5,Liberty MachineUtilityMeter 49,MUM000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26dc8074b2c3543d9d556e2d7cb9e87926dc8074b2c3543d9d556e2d7cb9e879
50,MUM000050,427,257,7,1,Meridian MachineUtilityMeter 50,MUM000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39fedd6e78d75d49aa764e1721e8bf2939fedd6e78d75d49aa764e1721e8bf29
51,MUM000051,273,61,6,1,Keystone MachineUtilityMeter 51,MUM000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b63d9e54fc235966b2696a32d981b3dbb63d9e54fc235966b2696a32d981b3db
52,MUM000052,10,255,6,2,Cedar MachineUtilityMeter 52,MUM000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e924fe16c68a58adacd99e0d466e7334e924fe16c68a58adacd99e0d466e7334
53,MUM000053,391,194,6,5,Willow MachineUtilityMeter 53,MUM000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f949b2f7c0ec55689b31bfec1977e476f949b2f7c0ec55689b31bfec1977e476
54,MUM000054,292,261,10,2,Quartz MachineUtilityMeter 54,MUM000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f1d00d25e4c52b3a5b233b8cecefb0a3f1d00d25e4c52b3a5b233b8cecefb0a
55,MUM000055,47,112,7,5,Beacon MachineUtilityMeter 55,MUM000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5618d7895e785c8e8cb123a5fcb46ba05618d7895e785c8e8cb123a5fcb46ba0
56,MUM000056,475,248,10,4,Orion MachineUtilityMeter 56,MUM000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aed67eb8107a580e80603b172929bdd6aed67eb8107a580e80603b172929bdd6
57,MUM000057,68,52,10,3,Cedar MachineUtilityMeter 57,MUM000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2966e2c756b50069f385c3faf503db9a2966e2c756b50069f385c3faf503db9
58,MUM000058,107,16,2,5,Harbor MachineUtilityMeter 58,MUM000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad22d89637ea5a028f1dd8b55c40375fad22d89637ea5a028f1dd8b55c40375f
59,MUM000059,484,33,7,1,Forge MachineUtilityMeter 59,MUM000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc0e361fa29e5632887c2db98ed404bfdc0e361fa29e5632887c2db98ed404bf
60,MUM000060,243,95,12,6,Evergreen MachineUtilityMeter 60,MUM000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07174da685c855de93db664bf439054a07174da685c855de93db664bf439054a
61,MUM000061,275,167,2,2,Ion MachineUtilityMeter 61,MUM000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80ccbba3d4a65ae9946aabf63e8ba87d80ccbba3d4a65ae9946aabf63e8ba87d
62,MUM000062,469,144,2,1,Pioneer MachineUtilityMeter 62,MUM000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b01285b4010152ac9a8df81c02928153b01285b4010152ac9a8df81c02928153
63,MUM000063,313,46,5,6,Vertex MachineUtilityMeter 63,MUM000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,633268019ff95fc09df9d688236db8d6633268019ff95fc09df9d688236db8d6
64,MUM000064,409,247,5,4,Cedar MachineUtilityMeter 64,MUM000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff5c990f5c9e556f882f343560a9a1b3ff5c990f5c9e556f882f343560a9a1b3
65,MUM000065,385,15,4,4,Delta MachineUtilityMeter 65,MUM000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,440c64f5c29f5b32bd5427641fe4d264440c64f5c29f5b32bd5427641fe4d264
66,MUM000066,7,255,2,7,Cedar MachineUtilityMeter 66,MUM000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14e318f7c556521fa3b58ae6ce63c4ca14e318f7c556521fa3b58ae6ce63c4ca
67,MUM000067,126,135,7,1,Meridian MachineUtilityMeter 67,MUM000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,101f9d5afc835c5a8dda9e94a301456d101f9d5afc835c5a8dda9e94a301456d
68,MUM000068,361,160,1,3,Zenith MachineUtilityMeter 68,MUM000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6d2966d7e6457de9d9e255f6f9b8e1ef6d2966d7e6457de9d9e255f6f9b8e1e
69,MUM000069,94,174,9,1,Cedar MachineUtilityMeter 69,MUM000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,249d2ce862835c00b8738bd283ce67ef249d2ce862835c00b8738bd283ce67ef
70,MUM000070,282,232,9,3,Liberty MachineUtilityMeter 70,MUM000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0546e8c039535764a883718f869947d70546e8c039535764a883718f869947d7
71,MUM000071,344,337,12,2,Delta MachineUtilityMeter 71,MUM000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b223db44a455c4b9db39d1808e5d7341b223db44a455c4b9db39d1808e5d734
72,MUM000072,202,19,9,6,Zenith MachineUtilityMeter 72,MUM000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4ac262eec6458ccbdb7a42ab43e0a3ab4ac262eec6458ccbdb7a42ab43e0a3a
73,MUM000073,204,306,8,2,Northstar MachineUtilityMeter 73,MUM000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76d212a00aa75ae19c49788dadfcfade76d212a00aa75ae19c49788dadfcfade
74,MUM000074,354,200,9,3,Cedar MachineUtilityMeter 74,MUM000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df5293240a955f76ba3244df35d81361df5293240a955f76ba3244df35d81361
75,MUM000075,388,247,1,4,Orion MachineUtilityMeter 75,MUM000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56e50169bd9651ac9a9d171ce4c9a29756e50169bd9651ac9a9d171ce4c9a297
76,MUM000076,285,264,12,4,Northstar MachineUtilityMeter 76,MUM000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21909965e0ef5c81b3c0dbdfcecc58b121909965e0ef5c81b3c0dbdfcecc58b1
77,MUM000077,160,293,10,7,Summit MachineUtilityMeter 77,MUM000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f4663b0c6a4a524a9a660800419b1a77f4663b0c6a4a524a9a660800419b1a77
78,MUM000078,196,7,1,4,Beacon MachineUtilityMeter 78,MUM000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e38b8def08735317a80696d8848fc5e4e38b8def08735317a80696d8848fc5e4
79,MUM000079,239,248,11,1,Cedar MachineUtilityMeter 79,MUM000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d507209eec45da79c0bca72705bd7004d507209eec45da79c0bca72705bd700
80,MUM000080,232,93,1,5,Northstar MachineUtilityMeter 80,MUM000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,894e36d5740b5a9abf3282a879b23275894e36d5740b5a9abf3282a879b23275
81,MUM000081,398,183,12,3,Liberty MachineUtilityMeter 81,MUM000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cef2f97b00975aada618bcb25464d92bcef2f97b00975aada618bcb25464d92b
82,MUM000082,136,42,2,4,Forge MachineUtilityMeter 82,MUM000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa986f12dc135085a439e514905ff525aa986f12dc135085a439e514905ff525
83,MUM000083,202,316,7,4,Delta MachineUtilityMeter 83,MUM000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2ceceae843d587ab5ecb672cf500b3ed2ceceae843d587ab5ecb672cf500b3e
84,MUM000084,46,74,5,3,Riverton MachineUtilityMeter 84,MUM000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5f6125f66dd5dba9f12a0b22531f04da5f6125f66dd5dba9f12a0b22531f04d
85,MUM000085,165,263,2,3,Meridian MachineUtilityMeter 85,MUM000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c2620de51c85be081af9a8166ba67792c2620de51c85be081af9a8166ba6779
86,MUM000086,230,308,1,7,Beacon MachineUtilityMeter 86,MUM000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bba031a3210452f9a87a2d34a0f4084ebba031a3210452f9a87a2d34a0f4084e
87,MUM000087,276,7,5,4,Forge MachineUtilityMeter 87,MUM000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,434690ccab405066a1e560c8412713c0434690ccab405066a1e560c8412713c0
88,MUM000088,304,78,11,3,Quartz MachineUtilityMeter 88,MUM000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34a6a2e0eb615baaa108df9b8a407c5834a6a2e0eb615baaa108df9b8a407c58
89,MUM000089,300,89,5,7,Cedar MachineUtilityMeter 89,MUM000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01363e372d4b58e39a6408d28e4d10be01363e372d4b58e39a6408d28e4d10be
90,MUM000090,16,61,8,5,Forge MachineUtilityMeter 90,MUM000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d50b60dcdce65549911d6423f4934febd50b60dcdce65549911d6423f4934feb
91,MUM000091,327,329,2,3,Granite MachineUtilityMeter 91,MUM000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e2ee1637ec959978a4a36511a66b52c7e2ee1637ec959978a4a36511a66b52c
92,MUM000092,33,108,9,3,Harbor MachineUtilityMeter 92,MUM000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71b4b006bfe55cacab0a79120080cdb471b4b006bfe55cacab0a79120080cdb4
93,MUM000093,296,293,7,3,Meridian MachineUtilityMeter 93,MUM000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97848bc8462a50abaf8f6248df5a874f97848bc8462a50abaf8f6248df5a874f
94,MUM000094,5,155,3,1,Liberty MachineUtilityMeter 94,MUM000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc834234a0ff5b3282c850ffda172b16dc834234a0ff5b3282c850ffda172b16
95,MUM000095,475,194,11,5,Evergreen MachineUtilityMeter 95,MUM000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80b7ee5eea7e5839846fccece7b02b5f80b7ee5eea7e5839846fccece7b02b5f
96,MUM000096,171,74,8,1,Zenith MachineUtilityMeter 96,MUM000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c32bee66e10554c2823d39214691d930c32bee66e10554c2823d39214691d930
97,MUM000097,481,310,1,4,Cedar MachineUtilityMeter 97,MUM000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea88c11454c15c04a4e16f70ff849a15ea88c11454c15c04a4e16f70ff849a15
