SalesPromotionKey,PromotionCode,SalesPromotionTacticKey,ProductKey,CustomerKey,SalesPriceConditionTypeKey,CurrencyKey,PromotionName,EffectiveDate,ExpirationDate,MaximumDiscountAmount,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
17,SP000017,258,-1,-1,16,1,Atlas SalesPromotion 17,2020-01-18,2020-01-18,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,079c844c74ea5beaa1be69ee4332c8bf079c844c74ea5beaa1be69ee4332c8bf
18,SP000018,464,402,57,5,3,Ion SalesPromotion 18,2020-01-19,2020-01-19,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e6dcee22ddc58578e7f3cf63f814f1a1e6dcee22ddc58578e7f3cf63f814f1a
19,SP000019,138,127,426,4,1,Harbor SalesPromotion 19,2020-01-20,2020-01-20,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8bdbdab9bb3651319be020e8d2c1fea88bdbdab9bb3651319be020e8d2c1fea8
20,SP000020,37,338,473,16,3,Beacon SalesPromotion 20,2020-01-21,2020-01-21,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6858e90fa1e5478a96b9898b7c7e890d6858e90fa1e5478a96b9898b7c7e890
21,SP000021,103,276,330,12,2,Zenith SalesPromotion 21,2020-01-22,2020-01-22,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15b3732a940958ab859bd26ae0d9e45115b3732a940958ab859bd26ae0d9e451
22,SP000022,155,232,498,15,5,Keystone SalesPromotion 22,2020-01-23,2020-01-23,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,faf1d973f046597880e90e613398f8f6faf1d973f046597880e90e613398f8f6
23,SP000023,395,468,389,13,5,Delta SalesPromotion 23,2020-01-24,2020-01-24,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0072db703a605d5489366d3c25232ec70072db703a605d5489366d3c25232ec7
24,SP000024,6,342,432,6,3,Beacon SalesPromotion 24,2020-01-25,2020-01-25,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cfe83dbf0370500e9a165d7b82dec86ccfe83dbf0370500e9a165d7b82dec86c
25,SP000025,52,487,322,16,1,Ion SalesPromotion 25,2020-01-26,2020-01-26,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c292acc540fe5bc4b56a795dc50c89d2c292acc540fe5bc4b56a795dc50c89d2
26,SP000026,6,442,283,2,4,Willow SalesPromotion 26,2020-01-27,2020-01-27,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e197010ea8756dab6c000b10040a3686e197010ea8756dab6c000b10040a368
27,SP000027,472,63,135,13,1,Evergreen SalesPromotion 27,2020-01-28,2020-01-28,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4debbd91f595fd1a8f54667ee2b3c38d4debbd91f595fd1a8f54667ee2b3c38
28,SP000028,333,151,104,5,4,Junction SalesPromotion 28,2020-01-29,2020-01-29,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2558241a9e0b5e338c98dfef9bb387d22558241a9e0b5e338c98dfef9bb387d2
29,SP000029,236,345,14,8,1,Forge SalesPromotion 29,2020-01-30,2020-01-30,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f516948498d75ac882b451350dbfac11f516948498d75ac882b451350dbfac11
30,SP000030,27,27,478,1,2,Forge SalesPromotion 30,2020-01-31,2020-01-31,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6597ee625bb53d5bda2cb59ea40f90fa6597ee625bb53d5bda2cb59ea40f90f
31,SP000031,144,492,467,3,1,Junction SalesPromotion 31,2020-02-01,2020-02-01,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c76b0dc1530f5455a7dbeffbc326dfd6c76b0dc1530f5455a7dbeffbc326dfd6
32,SP000032,135,175,116,2,3,Vertex SalesPromotion 32,2020-02-02,2020-02-02,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04d6b6ac097f5a73984a7742a599ff4c04d6b6ac097f5a73984a7742a599ff4c
33,SP000033,397,451,276,1,3,Beacon SalesPromotion 33,2020-02-03,2020-02-03,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f638c75f0ab05813a30f5e32dfeaf207f638c75f0ab05813a30f5e32dfeaf207
34,SP000034,186,-1,-1,5,3,Unity SalesPromotion 34,2020-02-04,2020-02-04,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,abb08985353a5942a141fbe6c22fb019abb08985353a5942a141fbe6c22fb019
35,SP000035,442,492,416,6,4,Keystone SalesPromotion 35,2020-02-05,2020-02-05,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,41a5329e6c6f5264887253c53b04ac7f41a5329e6c6f5264887253c53b04ac7f
36,SP000036,98,30,325,4,3,Ion SalesPromotion 36,2020-02-06,2020-02-06,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea3d0e7523fe5bb181ae5217ecd2600bea3d0e7523fe5bb181ae5217ecd2600b
37,SP000037,68,152,190,9,1,Meridian SalesPromotion 37,2020-02-07,2020-02-07,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94fa75d6a4b255f3aede16ce43c6289c94fa75d6a4b255f3aede16ce43c6289c
38,SP000038,166,105,56,10,3,Vertex SalesPromotion 38,2020-02-08,2020-02-08,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1c245acc0d25521b5ba11ec53376d0dd1c245acc0d25521b5ba11ec53376d0d
39,SP000039,327,72,320,15,4,Harbor SalesPromotion 39,2020-02-09,2020-02-09,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66806020a245510ca4872fd56ed637fb66806020a245510ca4872fd56ed637fb
40,SP000040,108,377,494,1,2,Forge SalesPromotion 40,2020-02-10,2020-02-10,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f77861028fce5fd59438c21510b0a1a7f77861028fce5fd59438c21510b0a1a7
41,SP000041,324,302,63,6,3,Willow SalesPromotion 41,2020-02-11,2020-02-11,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c2791eaa985591dbaa5ede7ed04151b8c2791eaa985591dbaa5ede7ed04151b
42,SP000042,209,3,67,2,2,Liberty SalesPromotion 42,2020-02-12,2020-02-12,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b96cb82621e050ae95b1d7a994ea9c85b96cb82621e050ae95b1d7a994ea9c85
43,SP000043,394,20,387,3,5,Beacon SalesPromotion 43,2020-02-13,2020-02-13,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,912c76f3ec0854e691922960a5e5b54c912c76f3ec0854e691922960a5e5b54c
44,SP000044,332,267,492,15,1,Willow SalesPromotion 44,2020-02-14,2020-02-14,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,245c1e26d3af567eb2ba7099cbf52cad245c1e26d3af567eb2ba7099cbf52cad
45,SP000045,35,154,91,12,2,Forge SalesPromotion 45,2020-02-15,2020-02-15,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a504d4c409585733b18d9dd6581ced91a504d4c409585733b18d9dd6581ced91
46,SP000046,313,440,364,2,1,Meridian SalesPromotion 46,2020-02-16,2020-02-16,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dfb34ab5552c5260a4d34d95d3ac47ebdfb34ab5552c5260a4d34d95d3ac47eb
47,SP000047,253,448,227,9,3,Forge SalesPromotion 47,2020-02-17,2020-02-17,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25e030067c7e562ead1e377c36d90cda25e030067c7e562ead1e377c36d90cda
48,SP000048,318,19,389,15,4,Junction SalesPromotion 48,2020-02-18,2020-02-18,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,474a9e0d3c76596db0bf9b78abc2637a474a9e0d3c76596db0bf9b78abc2637a
49,SP000049,95,193,317,2,2,Evergreen SalesPromotion 49,2020-02-19,2020-02-19,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7469937f5dce5f698017f639dbdbc5407469937f5dce5f698017f639dbdbc540
50,SP000050,36,468,439,1,3,Pioneer SalesPromotion 50,2020-02-20,2020-02-20,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5a2a9214f4b50b0a01ad5012b8f6240e5a2a9214f4b50b0a01ad5012b8f6240
51,SP000051,113,-1,-1,5,2,Riverton SalesPromotion 51,2020-02-21,2020-02-21,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50e6d0caf35f5aab93ce46fc9459bd1f50e6d0caf35f5aab93ce46fc9459bd1f
52,SP000052,260,348,101,1,2,Ion SalesPromotion 52,2020-02-22,2020-02-22,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8b2c8b6f793958c1b50096afdf4fcd3b8b2c8b6f793958c1b50096afdf4fcd3b
53,SP000053,163,231,394,5,5,Liberty SalesPromotion 53,2020-02-23,2020-02-23,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f657e635f195f1fb8b68d4fa6690f7b4f657e635f195f1fb8b68d4fa6690f7b
54,SP000054,357,275,410,13,4,Granite SalesPromotion 54,2020-02-24,2020-02-24,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61e727b10d7e5d6ba92ea47699bc343561e727b10d7e5d6ba92ea47699bc3435
55,SP000055,203,22,353,15,3,Junction SalesPromotion 55,2020-02-25,2020-02-25,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4dbe2f9111be5f94a7c3932780ae53b64dbe2f9111be5f94a7c3932780ae53b6
56,SP000056,313,48,222,2,5,Forge SalesPromotion 56,2020-02-26,2020-02-26,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ab1554128f85ddbae982b27cb0117200ab1554128f85ddbae982b27cb011720
57,SP000057,450,45,473,12,3,Titan SalesPromotion 57,2020-02-27,2020-02-27,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3939f84c510a5ccb989f32a613e2a7bb3939f84c510a5ccb989f32a613e2a7bb
58,SP000058,225,75,371,13,2,Quartz SalesPromotion 58,2020-02-28,2020-02-28,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17e6a0e8650156ebae2f74b06819238917e6a0e8650156ebae2f74b068192389
59,SP000059,129,256,384,12,3,Vertex SalesPromotion 59,2020-02-29,2020-02-29,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1afc68d93525016946f5d76d7bae35ae1afc68d93525016946f5d76d7bae35a
60,SP000060,234,367,349,7,1,Beacon SalesPromotion 60,2020-03-01,2020-03-01,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75439b0edfad51969843f9bcbfeac87075439b0edfad51969843f9bcbfeac870
61,SP000061,249,115,349,1,4,Cedar SalesPromotion 61,2020-03-02,2020-03-02,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b51f1b9fdc95cec83ea89f42f1a542f2b51f1b9fdc95cec83ea89f42f1a542f
62,SP000062,135,365,200,10,1,Vertex SalesPromotion 62,2020-03-03,2020-03-03,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd7a47e61b2a5e40a1c4944771982868cd7a47e61b2a5e40a1c4944771982868
63,SP000063,272,181,56,7,3,Zenith SalesPromotion 63,2020-03-04,2020-03-04,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e93771db57d5523ad6cd352303b17955e93771db57d5523ad6cd352303b1795
64,SP000064,450,223,21,11,2,Willow SalesPromotion 64,2020-03-05,2020-03-05,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7adf1add5338547c9f3dd22eb4da1db47adf1add5338547c9f3dd22eb4da1db4
65,SP000065,305,495,394,16,2,Cedar SalesPromotion 65,2020-03-06,2020-03-06,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2edad983449a5ba6ab32a9213a54865e2edad983449a5ba6ab32a9213a54865e
66,SP000066,170,153,274,15,4,Unity SalesPromotion 66,2020-03-07,2020-03-07,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7cdfbcf8987951ba8dc96452a268fbd47cdfbcf8987951ba8dc96452a268fbd4
67,SP000067,234,494,106,15,4,Quartz SalesPromotion 67,2020-03-08,2020-03-08,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68c4d43943be542e9e607c23cf5cc93e68c4d43943be542e9e607c23cf5cc93e
68,SP000068,197,-1,-1,15,4,Titan SalesPromotion 68,2020-03-09,2020-03-09,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7d6fe7ed9a659d192db89d506c3ebc8a7d6fe7ed9a659d192db89d506c3ebc8
69,SP000069,474,315,428,15,2,Titan SalesPromotion 69,2020-03-10,2020-03-10,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcf80f04fce95951a5a9efc38ce6fa99fcf80f04fce95951a5a9efc38ce6fa99
70,SP000070,455,413,53,1,5,Titan SalesPromotion 70,2020-03-11,2020-03-11,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,347693290fe45520a8b36919f6c464dd347693290fe45520a8b36919f6c464dd
71,SP000071,471,446,19,15,5,Unity SalesPromotion 71,2020-03-12,2020-03-12,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f87efcb025ea575abc62a47539a3a25ef87efcb025ea575abc62a47539a3a25e
72,SP000072,369,275,472,4,5,Northstar SalesPromotion 72,2020-03-13,2020-03-13,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23b0e7d91faf5cbeb7751c7febd304e923b0e7d91faf5cbeb7751c7febd304e9
73,SP000073,244,287,381,13,4,Quartz SalesPromotion 73,2020-03-14,2020-03-14,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ccc450c526825472bca0d286f8780c66ccc450c526825472bca0d286f8780c66
74,SP000074,287,363,112,15,1,Keystone SalesPromotion 74,2020-03-15,2020-03-15,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,108f9278dde753deabf063c6e3de587e108f9278dde753deabf063c6e3de587e
75,SP000075,367,99,302,7,4,Willow SalesPromotion 75,2020-03-16,2020-03-16,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1ce024c0fb4543abf6fb575f83b50b7f1ce024c0fb4543abf6fb575f83b50b7
76,SP000076,379,446,269,5,3,Ion SalesPromotion 76,2020-03-17,2020-03-17,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,148f160a910c503494deecef1baa597b148f160a910c503494deecef1baa597b
77,SP000077,275,115,108,15,3,Quartz SalesPromotion 77,2020-03-18,2020-03-18,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4793a81251ed5f83b5a5ab34031e616c4793a81251ed5f83b5a5ab34031e616c
78,SP000078,493,450,168,3,2,Orion SalesPromotion 78,2020-03-19,2020-03-19,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a8f4d1712d1f506d9d8907c4540ed154a8f4d1712d1f506d9d8907c4540ed154
79,SP000079,140,208,475,13,1,Northstar SalesPromotion 79,2020-03-20,2020-03-20,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53d05356c1435b4a9e9a8739d585566d53d05356c1435b4a9e9a8739d585566d
80,SP000080,226,72,293,4,2,Granite SalesPromotion 80,2020-03-21,2020-03-21,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e67d87cf38353628845fd9f7021e7882e67d87cf38353628845fd9f7021e788
81,SP000081,315,418,137,5,1,Ion SalesPromotion 81,2020-03-22,2020-03-22,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70ffa57c768658d2a9f3a1f3d9bc307970ffa57c768658d2a9f3a1f3d9bc3079
82,SP000082,380,480,399,1,5,Pioneer SalesPromotion 82,2020-03-23,2020-03-23,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ddbe8c4579535e4280f7de939a09d28addbe8c4579535e4280f7de939a09d28a
83,SP000083,259,403,265,12,1,Keystone SalesPromotion 83,2020-03-24,2020-03-24,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ac8b4e1dbe85913a48c61d34349cb2b7ac8b4e1dbe85913a48c61d34349cb2b
84,SP000084,117,41,26,8,2,Willow SalesPromotion 84,2020-03-25,2020-03-25,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0dff0510f1c5b379e5dadd0abf4134fb0dff0510f1c5b379e5dadd0abf4134f
85,SP000085,375,-1,-1,13,5,Northstar SalesPromotion 85,2020-03-26,2020-03-26,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,559ceb83d3795d9daefd53b13fd1157e559ceb83d3795d9daefd53b13fd1157e
86,SP000086,292,55,104,12,4,Delta SalesPromotion 86,2020-03-27,2020-03-27,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,afaac56cd8a957e8836bb9bb64495a13afaac56cd8a957e8836bb9bb64495a13
87,SP000087,225,251,8,4,5,Meridian SalesPromotion 87,2020-03-28,2020-03-28,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27097781cb405442bc18ee57ba92ee6e27097781cb405442bc18ee57ba92ee6e
88,SP000088,181,361,171,15,2,Cedar SalesPromotion 88,2020-03-29,2020-03-29,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2cbc06aec0b15bc9926fef0f38f483692cbc06aec0b15bc9926fef0f38f48369
89,SP000089,132,219,214,12,2,Meridian SalesPromotion 89,2020-03-30,2020-03-30,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f3cf0970d2d5336a0a8ba65168beb364f3cf0970d2d5336a0a8ba65168beb36
90,SP000090,372,160,415,9,3,Atlas SalesPromotion 90,2020-03-31,2020-03-31,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,276907a63f8b55cf9faf3a66782afb3a276907a63f8b55cf9faf3a66782afb3a
91,SP000091,254,349,23,2,2,Vertex SalesPromotion 91,2020-04-01,2020-04-01,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,90b92a3dacd154ebb5f9e747a691438990b92a3dacd154ebb5f9e747a6914389
92,SP000092,441,373,331,17,2,Northstar SalesPromotion 92,2020-04-02,2020-04-02,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,226cdbf18d3b58c7a92bd97c5190bb45226cdbf18d3b58c7a92bd97c5190bb45
93,SP000093,210,410,358,1,3,Orion SalesPromotion 93,2020-04-03,2020-04-03,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6b79d6c49cf555bb1d5bace8c3aa44ce6b79d6c49cf555bb1d5bace8c3aa44c
94,SP000094,160,170,129,13,5,Zenith SalesPromotion 94,2020-04-04,2020-04-04,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ab18ddfb4c05a158db6106e812fa9990ab18ddfb4c05a158db6106e812fa999
