GeoCountryKey,GeoCountryCode,GeoContinentKey,GeoCountryName,SourceSystemKey,BatchId,LoadedAtUtc
24,US-3,2,Summit GeoCountry 24,1,1,2026-08-24T00:00:00.000
25,CA-4,6,Titan GeoCountry 25,1,1,2026-08-24T00:00:00.000
26,MX-4,7,Granite GeoCountry 26,1,1,2026-08-24T00:00:00.000
27,DE-4,5,Atlas GeoCountry 27,1,1,2026-08-24T00:00:00.000
28,GB-4,2,Ion GeoCountry 28,1,1,2026-08-24T00:00:00.000
29,JP-4,4,Zenith GeoCountry 29,1,1,2026-08-24T00:00:00.000
30,CN-4,5,Beacon GeoCountry 30,1,1,2026-08-24T00:00:00.000
31,IN-4,6,Meridian GeoCountry 31,1,1,2026-08-24T00:00:00.000
32,US-4,7,Atlas GeoCountry 32,1,1,2026-08-24T00:00:00.000
33,CA-5,7,Ion GeoCountry 33,1,1,2026-08-24T00:00:00.000
34,MX-5,2,Beacon GeoCountry 34,1,1,2026-08-24T00:00:00.000
35,DE-5,2,Keystone GeoCountry 35,1,1,2026-08-24T00:00:00.000
36,GB-5,5,Unity GeoCountry 36,1,1,2026-08-24T00:00:00.000
37,JP-5,7,Willow GeoCountry 37,1,1,2026-08-24T00:00:00.000
38,CN-5,1,Meridian GeoCountry 38,1,1,2026-08-24T00:00:00.000
39,IN-5,4,Orion GeoCountry 39,1,1,2026-08-24T00:00:00.000
40,US-5,1,Harbor GeoCountry 40,1,1,2026-08-24T00:00:00.000
41,CA-6,7,Pioneer GeoCountry 41,1,1,2026-08-24T00:00:00.000
42,MX-6,6,Willow GeoCountry 42,1,1,2026-08-24T00:00:00.000
43,DE-6,2,Orion GeoCountry 43,1,1,2026-08-24T00:00:00.000
44,GB-6,1,Beacon GeoCountry 44,1,1,2026-08-24T00:00:00.000
45,JP-6,5,Zenith GeoCountry 45,1,1,2026-08-24T00:00:00.000
46,CN-6,4,Atlas GeoCountry 46,1,1,2026-08-24T00:00:00.000
47,IN-6,4,Granite GeoCountry 47,1,1,2026-08-24T00:00:00.000
48,US-6,2,Harbor GeoCountry 48,1,1,2026-08-24T00:00:00.000
49,CA-7,4,Keystone GeoCountry 49,1,1,2026-08-24T00:00:00.000
50,MX-7,4,Meridian GeoCountry 50,1,1,2026-08-24T00:00:00.000
51,DE-7,4,Junction GeoCountry 51,1,1,2026-08-24T00:00:00.000
52,GB-7,4,Forge GeoCountry 52,1,1,2026-08-24T00:00:00.000
53,JP-7,7,Liberty GeoCountry 53,1,1,2026-08-24T00:00:00.000
54,CN-7,7,Zenith GeoCountry 54,1,1,2026-08-24T00:00:00.000
55,IN-7,4,Ion GeoCountry 55,1,1,2026-08-24T00:00:00.000
56,US-7,2,Riverton GeoCountry 56,1,1,2026-08-24T00:00:00.000
57,CA-8,2,Cedar GeoCountry 57,1,1,2026-08-24T00:00:00.000
58,MX-8,4,Beacon GeoCountry 58,1,1,2026-08-24T00:00:00.000
59,DE-8,4,Orion GeoCountry 59,1,1,2026-08-24T00:00:00.000
60,GB-8,7,Beacon GeoCountry 60,1,1,2026-08-24T00:00:00.000
61,JP-8,4,Willow GeoCountry 61,1,1,2026-08-24T00:00:00.000
62,CN-8,2,Keystone GeoCountry 62,1,1,2026-08-24T00:00:00.000
63,IN-8,1,Meridian GeoCountry 63,1,1,2026-08-24T00:00:00.000
64,US-8,6,Keystone GeoCountry 64,1,1,2026-08-24T00:00:00.000
65,CA-9,3,Summit GeoCountry 65,1,1,2026-08-24T00:00:00.000
66,MX-9,2,Meridian GeoCountry 66,1,1,2026-08-24T00:00:00.000
67,DE-9,2,Vertex GeoCountry 67,1,1,2026-08-24T00:00:00.000
68,GB-9,2,Keystone GeoCountry 68,1,1,2026-08-24T00:00:00.000
69,JP-9,7,Unity GeoCountry 69,1,1,2026-08-24T00:00:00.000
70,CN-9,5,Evergreen GeoCountry 70,1,1,2026-08-24T00:00:00.000
71,IN-9,2,Junction GeoCountry 71,1,1,2026-08-24T00:00:00.000
72,US-9,5,Quartz GeoCountry 72,1,1,2026-08-24T00:00:00.000
73,CA-10,4,Ion GeoCountry 73,1,1,2026-08-24T00:00:00.000
74,MX-10,1,Vertex GeoCountry 74,1,1,2026-08-24T00:00:00.000
75,DE-10,7,Forge GeoCountry 75,1,1,2026-08-24T00:00:00.000
76,GB-10,5,Vertex GeoCountry 76,1,1,2026-08-24T00:00:00.000
77,JP-10,6,Willow GeoCountry 77,1,1,2026-08-24T00:00:00.000
78,CN-10,3,Beacon GeoCountry 78,1,1,2026-08-24T00:00:00.000
79,IN-10,2,Junction GeoCountry 79,1,1,2026-08-24T00:00:00.000
80,US-10,7,Orion GeoCountry 80,1,1,2026-08-24T00:00:00.000
81,CA-11,1,Delta GeoCountry 81,1,1,2026-08-24T00:00:00.000
82,MX-11,7,Harbor GeoCountry 82,1,1,2026-08-24T00:00:00.000
83,DE-11,3,Willow GeoCountry 83,1,1,2026-08-24T00:00:00.000
84,GB-11,1,Meridian GeoCountry 84,1,1,2026-08-24T00:00:00.000
85,JP-11,3,Ion GeoCountry 85,1,1,2026-08-24T00:00:00.000
86,CN-11,5,Ion GeoCountry 86,1,1,2026-08-24T00:00:00.000
87,IN-11,6,Summit GeoCountry 87,1,1,2026-08-24T00:00:00.000
88,US-11,1,Northstar GeoCountry 88,1,1,2026-08-24T00:00:00.000
89,CA-12,6,Keystone GeoCountry 89,1,1,2026-08-24T00:00:00.000
90,MX-12,4,Cedar GeoCountry 90,1,1,2026-08-24T00:00:00.000
91,DE-12,7,Northstar GeoCountry 91,1,1,2026-08-24T00:00:00.000
92,GB-12,3,Ion GeoCountry 92,1,1,2026-08-24T00:00:00.000
93,JP-12,7,Cedar GeoCountry 93,1,1,2026-08-24T00:00:00.000
94,CN-12,4,Ion GeoCountry 94,1,1,2026-08-24T00:00:00.000
95,IN-12,3,Junction GeoCountry 95,1,1,2026-08-24T00:00:00.000
96,US-12,4,Quartz GeoCountry 96,1,1,2026-08-24T00:00:00.000
97,CA-13,7,Forge GeoCountry 97,1,1,2026-08-24T00:00:00.000
98,MX-13,4,Delta GeoCountry 98,1,1,2026-08-24T00:00:00.000
99,DE-13,5,Atlas GeoCountry 99,1,1,2026-08-24T00:00:00.000
100,GB-13,2,Cedar GeoCountry 100,1,1,2026-08-24T00:00:00.000
101,JP-13,7,Quartz GeoCountry 101,1,1,2026-08-24T00:00:00.000
102,CN-13,1,Evergreen GeoCountry 102,1,1,2026-08-24T00:00:00.000
103,IN-13,3,Zenith GeoCountry 103,1,1,2026-08-24T00:00:00.000
104,US-13,5,Ion GeoCountry 104,1,1,2026-08-24T00:00:00.000
105,CA-14,3,Beacon GeoCountry 105,1,1,2026-08-24T00:00:00.000
106,MX-14,5,Orion GeoCountry 106,1,1,2026-08-24T00:00:00.000
107,DE-14,2,Forge GeoCountry 107,1,1,2026-08-24T00:00:00.000
108,GB-14,5,Willow GeoCountry 108,1,1,2026-08-24T00:00:00.000
109,JP-14,1,Riverton GeoCountry 109,1,1,2026-08-24T00:00:00.000
110,CN-14,6,Titan GeoCountry 110,1,1,2026-08-24T00:00:00.000
111,IN-14,7,Cedar GeoCountry 111,1,1,2026-08-24T00:00:00.000
112,US-14,1,Delta GeoCountry 112,1,1,2026-08-24T00:00:00.000
113,CA-15,1,Orion GeoCountry 113,1,1,2026-08-24T00:00:00.000
114,MX-15,7,Unity GeoCountry 114,1,1,2026-08-24T00:00:00.000
115,DE-15,1,Willow GeoCountry 115,1,1,2026-08-24T00:00:00.000
116,GB-15,3,Evergreen GeoCountry 116,1,1,2026-08-24T00:00:00.000
117,JP-15,1,Riverton GeoCountry 117,1,1,2026-08-24T00:00:00.000
118,CN-15,1,Riverton GeoCountry 118,1,1,2026-08-24T00:00:00.000
119,IN-15,3,Delta GeoCountry 119,1,1,2026-08-24T00:00:00.000
120,US-15,6,Riverton GeoCountry 120,1,1,2026-08-24T00:00:00.000
121,CA-16,2,Junction GeoCountry 121,1,1,2026-08-24T00:00:00.000
122,MX-16,2,Titan GeoCountry 122,1,1,2026-08-24T00:00:00.000
123,DE-16,4,Titan GeoCountry 123,1,1,2026-08-24T00:00:00.000
124,GB-16,1,Beacon GeoCountry 124,1,1,2026-08-24T00:00:00.000
125,JP-16,6,Quartz GeoCountry 125,1,1,2026-08-24T00:00:00.000
126,CN-16,6,Evergreen GeoCountry 126,1,1,2026-08-24T00:00:00.000
127,IN-16,4,Ion GeoCountry 127,1,1,2026-08-24T00:00:00.000
128,US-16,1,Quartz GeoCountry 128,1,1,2026-08-24T00:00:00.000
129,CA-17,7,Harbor GeoCountry 129,1,1,2026-08-24T00:00:00.000
130,MX-17,3,Titan GeoCountry 130,1,1,2026-08-24T00:00:00.000
131,DE-17,3,Forge GeoCountry 131,1,1,2026-08-24T00:00:00.000
132,GB-17,6,Orion GeoCountry 132,1,1,2026-08-24T00:00:00.000
133,JP-17,4,Unity GeoCountry 133,1,1,2026-08-24T00:00:00.000
134,CN-17,2,Riverton GeoCountry 134,1,1,2026-08-24T00:00:00.000
135,IN-17,7,Summit GeoCountry 135,1,1,2026-08-24T00:00:00.000
136,US-17,5,Vertex GeoCountry 136,1,1,2026-08-24T00:00:00.000
137,CA-18,4,Evergreen GeoCountry 137,1,1,2026-08-24T00:00:00.000
138,MX-18,6,Liberty GeoCountry 138,1,1,2026-08-24T00:00:00.000
139,DE-18,6,Willow GeoCountry 139,1,1,2026-08-24T00:00:00.000
140,GB-18,3,Riverton GeoCountry 140,1,1,2026-08-24T00:00:00.000
141,JP-18,6,Meridian GeoCountry 141,1,1,2026-08-24T00:00:00.000
142,CN-18,7,Evergreen GeoCountry 142,1,1,2026-08-24T00:00:00.000
143,IN-18,7,Summit GeoCountry 143,1,1,2026-08-24T00:00:00.000
144,US-18,5,Ion GeoCountry 144,1,1,2026-08-24T00:00:00.000
145,CA-19,2,Atlas GeoCountry 145,1,1,2026-08-24T00:00:00.000
146,MX-19,1,Orion GeoCountry 146,1,1,2026-08-24T00:00:00.000
147,DE-19,5,Orion GeoCountry 147,1,1,2026-08-24T00:00:00.000
148,GB-19,1,Meridian GeoCountry 148,1,1,2026-08-24T00:00:00.000
149,JP-19,5,Riverton GeoCountry 149,1,1,2026-08-24T00:00:00.000
150,CN-19,1,Unity GeoCountry 150,1,1,2026-08-24T00:00:00.000
151,IN-19,6,Quartz GeoCountry 151,1,1,2026-08-24T00:00:00.000
152,US-19,5,Vertex GeoCountry 152,1,1,2026-08-24T00:00:00.000
153,CA-20,7,Zenith GeoCountry 153,1,1,2026-08-24T00:00:00.000
154,MX-20,1,Evergreen GeoCountry 154,1,1,2026-08-24T00:00:00.000
155,DE-20,4,Delta GeoCountry 155,1,1,2026-08-24T00:00:00.000
156,GB-20,2,Beacon GeoCountry 156,1,1,2026-08-24T00:00:00.000
157,JP-20,2,Orion GeoCountry 157,1,1,2026-08-24T00:00:00.000
158,CN-20,6,Northstar GeoCountry 158,1,1,2026-08-24T00:00:00.000
159,IN-20,4,Liberty GeoCountry 159,1,1,2026-08-24T00:00:00.000
160,US-20,3,Willow GeoCountry 160,1,1,2026-08-24T00:00:00.000
161,CA-21,2,Keystone GeoCountry 161,1,1,2026-08-24T00:00:00.000
162,MX-21,3,Orion GeoCountry 162,1,1,2026-08-24T00:00:00.000
163,DE-21,3,Titan GeoCountry 163,1,1,2026-08-24T00:00:00.000
164,GB-21,4,Zenith GeoCountry 164,1,1,2026-08-24T00:00:00.000
165,JP-21,7,Evergreen GeoCountry 165,1,1,2026-08-24T00:00:00.000
166,CN-21,6,Keystone GeoCountry 166,1,1,2026-08-24T00:00:00.000
167,IN-21,3,Junction GeoCountry 167,1,1,2026-08-24T00:00:00.000
168,US-21,4,Keystone GeoCountry 168,1,1,2026-08-24T00:00:00.000
169,CA-22,7,Junction GeoCountry 169,1,1,2026-08-24T00:00:00.000
170,MX-22,3,Quartz GeoCountry 170,1,1,2026-08-24T00:00:00.000
171,DE-22,1,Riverton GeoCountry 171,1,1,2026-08-24T00:00:00.000
172,GB-22,7,Zenith GeoCountry 172,1,1,2026-08-24T00:00:00.000
173,JP-22,1,Meridian GeoCountry 173,1,1,2026-08-24T00:00:00.000
174,CN-22,4,Riverton GeoCountry 174,1,1,2026-08-24T00:00:00.000
175,IN-22,4,Willow GeoCountry 175,1,1,2026-08-24T00:00:00.000
176,US-22,1,Vertex GeoCountry 176,1,1,2026-08-24T00:00:00.000
177,CA-23,6,Ion GeoCountry 177,1,1,2026-08-24T00:00:00.000
178,MX-23,7,Beacon GeoCountry 178,1,1,2026-08-24T00:00:00.000
179,DE-23,3,Northstar GeoCountry 179,1,1,2026-08-24T00:00:00.000
180,GB-23,6,Harbor GeoCountry 180,1,1,2026-08-24T00:00:00.000
