LaborAssignmentKey,LaborAssignmentNumber,EmployeeKey,PlantKey,BusinessUnitKey,CostCenterKey,LaborJobGradeKey,LaborEmploymentStatusKey,AssignmentName,StandardWeeklyHours,IsPrimaryAssignment,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
10,LA000010,346,119,402,9,31,8,Keystone LaborAssignment 10,11.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c2f785d4ea656ec9491c6e465daa6ac7c2f785d4ea656ec9491c6e465daa6ac
11,LA000011,255,292,364,12,26,6,Summit LaborAssignment 11,12.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38e447c5c96c5619b04b466bf0906ae838e447c5c96c5619b04b466bf0906ae8
12,LA000012,44,154,278,267,9,5,Granite LaborAssignment 12,13.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6555dca3bf6d57be858a33ca218a0dcb6555dca3bf6d57be858a33ca218a0dcb
13,LA000013,259,154,391,390,16,5,Liberty LaborAssignment 13,14.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a240809a6665714a75bd8cff4df5c897a240809a6665714a75bd8cff4df5c89
14,LA000014,427,348,132,443,11,1,Forge LaborAssignment 14,15.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92652d0ec48651fd83dee8f12db4d29e92652d0ec48651fd83dee8f12db4d29e
15,LA000015,247,63,364,64,14,4,Orion LaborAssignment 15,16.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cadd8345b124536c84e6dc595c831beacadd8345b124536c84e6dc595c831bea
16,LA000016,486,349,441,444,8,7,Northstar LaborAssignment 16,17.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8f566d6d7405446a4e8dfb872287eeee8f566d6d7405446a4e8dfb872287eee
17,LA000017,386,243,163,311,9,7,Willow LaborAssignment 17,18.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6297976da3c54a19680e8e44dff4bafc6297976da3c54a19680e8e44dff4baf
18,LA000018,225,67,226,414,7,8,Harbor LaborAssignment 18,19.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c6b25f8e891553c831f7f71dfc878ff7c6b25f8e891553c831f7f71dfc878ff
19,LA000019,17,195,201,86,1,5,Summit LaborAssignment 19,20.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e5625c1e6555ffe93d97aa26e0263390e5625c1e6555ffe93d97aa26e026339
20,LA000020,299,94,340,481,34,7,Quartz LaborAssignment 20,21.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59bf8b88c71053adb93ccd7b5f8afb5259bf8b88c71053adb93ccd7b5f8afb52
21,LA000021,61,208,92,140,34,6,Forge LaborAssignment 21,22.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,547ce8f103fe501eb71833f46e2a2459547ce8f103fe501eb71833f46e2a2459
22,LA000022,148,335,263,324,18,3,Northstar LaborAssignment 22,23.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f9a1e6bd14f5a2394e9e1ea50c2e1c66f9a1e6bd14f5a2394e9e1ea50c2e1c6
23,LA000023,302,23,23,418,27,2,Keystone LaborAssignment 23,24.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0c84238ffbb50bfa85ed5bc3d324cf4c0c84238ffbb50bfa85ed5bc3d324cf4
24,LA000024,159,207,388,388,8,6,Meridian LaborAssignment 24,1.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dae2f4d78ab45e0faa9b8a9412cb19e7dae2f4d78ab45e0faa9b8a9412cb19e7
25,LA000025,388,198,69,279,14,8,Quartz LaborAssignment 25,2.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,18cfd96b30645707ab019965ca9fbe8718cfd96b30645707ab019965ca9fbe87
26,LA000026,445,253,155,95,28,2,Ion LaborAssignment 26,3.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2fac0ac780f57029f9b7df617526795b2fac0ac780f57029f9b7df617526795
27,LA000027,357,253,259,127,4,6,Ion LaborAssignment 27,4.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ef8e1ab834456b39cee83e13401d9597ef8e1ab834456b39cee83e13401d959
28,LA000028,462,345,338,42,27,4,Meridian LaborAssignment 28,5.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51fd44cbe4a45c11b8acc0421e9441d951fd44cbe4a45c11b8acc0421e9441d9
29,LA000029,375,219,448,203,32,5,Ion LaborAssignment 29,6.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7691b1bae9153b68cc204f7c421382ed7691b1bae9153b68cc204f7c421382e
30,LA000030,18,225,240,377,10,5,Northstar LaborAssignment 30,7.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54ab69591f605c3f8495efc103cca4f154ab69591f605c3f8495efc103cca4f1
31,LA000031,109,209,375,151,12,8,Delta LaborAssignment 31,8.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e74f4b72d2b45181b7c840f853e4827fe74f4b72d2b45181b7c840f853e4827f
32,LA000032,97,138,159,41,6,8,Harbor LaborAssignment 32,9.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a0c8b9c4f1c75a44a3cc144f88a793c7a0c8b9c4f1c75a44a3cc144f88a793c7
33,LA000033,417,105,422,43,28,1,Pioneer LaborAssignment 33,10.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b585ad0c04825c75aee5e50801ad096bb585ad0c04825c75aee5e50801ad096b
34,LA000034,16,78,45,332,16,7,Titan LaborAssignment 34,11.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1220302bb2b85246a095e8d20b359ec61220302bb2b85246a095e8d20b359ec6
35,LA000035,41,214,300,144,32,1,Riverton LaborAssignment 35,12.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0bd0b9f330d15df5a512103b64fa09940bd0b9f330d15df5a512103b64fa0994
36,LA000036,344,315,169,305,13,1,Vertex LaborAssignment 36,13.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ea089666bdc504ba293e25c9209251e1ea089666bdc504ba293e25c9209251e
37,LA000037,13,333,274,450,34,8,Northstar LaborAssignment 37,14.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d221c445a4750da90f5929656585e058d221c445a4750da90f5929656585e05
38,LA000038,53,1,464,439,30,2,Titan LaborAssignment 38,15.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,90a1eccd820254a182074b82866fd48f90a1eccd820254a182074b82866fd48f
39,LA000039,244,161,338,430,12,4,Ion LaborAssignment 39,16.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80ae64e614c0551aba62804f3a2ec3c880ae64e614c0551aba62804f3a2ec3c8
40,LA000040,35,226,173,488,21,3,Junction LaborAssignment 40,17.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c37a23c193605363b5b43022f28bf1d8c37a23c193605363b5b43022f28bf1d8
41,LA000041,58,28,357,198,30,8,Junction LaborAssignment 41,18.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2376d13bc91571bbbabb260bf44c765f2376d13bc91571bbbabb260bf44c765
42,LA000042,152,145,438,33,13,2,Riverton LaborAssignment 42,19.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,549b68ca609754cb9a743f04350e8a7a549b68ca609754cb9a743f04350e8a7a
43,LA000043,432,234,99,296,2,6,Liberty LaborAssignment 43,20.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,702cc5955bb35ba388835ff9aa1bb02e702cc5955bb35ba388835ff9aa1bb02e
44,LA000044,24,57,435,449,4,8,Zenith LaborAssignment 44,21.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2869f39183aa54f78af90efb7e801e862869f39183aa54f78af90efb7e801e86
45,LA000045,338,53,452,2,27,5,Keystone LaborAssignment 45,22.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6dcc5edbac3158daa8ac6b9e637188976dcc5edbac3158daa8ac6b9e63718897
46,LA000046,203,335,384,198,15,5,Delta LaborAssignment 46,23.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3dbc178bd645897aa62027c6145c5f7e3dbc178bd645897aa62027c6145c5f7
47,LA000047,134,112,114,139,14,8,Zenith LaborAssignment 47,24.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3fafec282da75ec79fdf2a1a8f1079f03fafec282da75ec79fdf2a1a8f1079f0
48,LA000048,407,285,221,445,16,3,Evergreen LaborAssignment 48,1.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76f7b920813954a08953f911e3c2348776f7b920813954a08953f911e3c23487
49,LA000049,448,71,111,293,30,1,Riverton LaborAssignment 49,2.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc74797bb39c55d4a36ad19be0951da2dc74797bb39c55d4a36ad19be0951da2
50,LA000050,246,217,73,179,17,7,Keystone LaborAssignment 50,3.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a63938d349259dc9feeb4e1c1ab8c714a63938d349259dc9feeb4e1c1ab8c71
51,LA000051,27,184,229,275,11,6,Meridian LaborAssignment 51,4.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a11eba369dcd537c92fdcb04a570d93ba11eba369dcd537c92fdcb04a570d93b
52,LA000052,99,147,488,202,17,6,Summit LaborAssignment 52,5.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2daa122566aa55a8b801a501fc0ce0022daa122566aa55a8b801a501fc0ce002
53,LA000053,94,139,354,109,14,4,Evergreen LaborAssignment 53,6.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c2c13fab70c591b9b2ce8da0024a37c3c2c13fab70c591b9b2ce8da0024a37c
54,LA000054,450,141,90,422,32,3,Northstar LaborAssignment 54,7.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b22a8ae4f9d85430ab220e2d8aa1476db22a8ae4f9d85430ab220e2d8aa1476d
55,LA000055,135,11,246,71,31,7,Meridian LaborAssignment 55,8.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e326544dc94b5eea943fbf0f8c0781cde326544dc94b5eea943fbf0f8c0781cd
56,LA000056,99,272,474,405,7,7,Willow LaborAssignment 56,9.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21563cd976d854f98f7e184508031d1a21563cd976d854f98f7e184508031d1a
57,LA000057,160,95,113,370,24,4,Orion LaborAssignment 57,10.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fdf9314168a55cd69e4a8c751566e3c5fdf9314168a55cd69e4a8c751566e3c5
58,LA000058,398,60,62,205,9,8,Riverton LaborAssignment 58,11.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,099a413a731c5fc1b06acd791ccc2fba099a413a731c5fc1b06acd791ccc2fba
59,LA000059,469,4,149,297,33,2,Zenith LaborAssignment 59,12.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f440b19f7363532683d4fa22605948a6f440b19f7363532683d4fa22605948a6
60,LA000060,59,165,376,494,16,2,Pioneer LaborAssignment 60,13.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5965106e773c524d984319cb03e45cc15965106e773c524d984319cb03e45cc1
61,LA000061,187,187,95,463,11,3,Willow LaborAssignment 61,14.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fab9b1999b335eb49444a0e4e9cedfb5fab9b1999b335eb49444a0e4e9cedfb5
62,LA000062,240,51,312,487,22,6,Forge LaborAssignment 62,15.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63b79c5571955d929cdd37dd736a756963b79c5571955d929cdd37dd736a7569
63,LA000063,284,47,137,264,34,6,Pioneer LaborAssignment 63,16.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99df1521f23358e4be3ad611c334063399df1521f23358e4be3ad611c3340633
64,LA000064,243,342,340,235,29,2,Delta LaborAssignment 64,17.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d3c574a24155d289969c642ac3742683d3c574a24155d289969c642ac374268
65,LA000065,17,284,311,404,30,1,Evergreen LaborAssignment 65,18.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ec5e4be132057fa96226f7e01e1ff427ec5e4be132057fa96226f7e01e1ff42
66,LA000066,221,60,76,362,33,3,Zenith LaborAssignment 66,19.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e24cda23baca59db9323306a9adaa158e24cda23baca59db9323306a9adaa158
67,LA000067,264,341,39,71,3,6,Keystone LaborAssignment 67,20.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,459021861c2457778bae50a66a7befbd459021861c2457778bae50a66a7befbd
68,LA000068,4,11,81,248,21,3,Riverton LaborAssignment 68,21.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc4811423bf1593c97482d22b8698d29cc4811423bf1593c97482d22b8698d29
69,LA000069,104,97,94,74,26,5,Unity LaborAssignment 69,22.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3edd6595b1ec531ab76419ae3852349c3edd6595b1ec531ab76419ae3852349c
70,LA000070,327,187,240,84,29,2,Northstar LaborAssignment 70,23.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,032ddb4b230458e9a4b0defd72b1407e032ddb4b230458e9a4b0defd72b1407e
71,LA000071,71,11,7,238,32,5,Quartz LaborAssignment 71,24.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58598a268d4a505392afda94123ccf3c58598a268d4a505392afda94123ccf3c
72,LA000072,116,88,467,160,32,8,Junction LaborAssignment 72,1.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9dda071b958c5297b900a7c835ef33789dda071b958c5297b900a7c835ef3378
73,LA000073,306,225,491,457,10,7,Evergreen LaborAssignment 73,2.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1dd25026e6845953a2f6622f6dee6fd71dd25026e6845953a2f6622f6dee6fd7
74,LA000074,151,143,46,495,12,4,Evergreen LaborAssignment 74,3.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea77285f8bb25385a1ba6420c743526aea77285f8bb25385a1ba6420c743526a
75,LA000075,311,233,342,432,3,2,Summit LaborAssignment 75,4.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b00990f6ea4458db8ec5b8ca1252a948b00990f6ea4458db8ec5b8ca1252a948
76,LA000076,432,100,388,213,13,7,Meridian LaborAssignment 76,5.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b1bf07f8f525e12ad52d61ae83a14654b1bf07f8f525e12ad52d61ae83a1465
77,LA000077,481,346,219,39,7,6,Junction LaborAssignment 77,6.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a1ea16141e255c07bfd957ea10a2808ba1ea16141e255c07bfd957ea10a2808b
78,LA000078,390,344,204,26,32,2,Meridian LaborAssignment 78,7.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9f57ebc818705bd5900c283f4dfc81a89f57ebc818705bd5900c283f4dfc81a8
79,LA000079,219,293,380,187,16,2,Delta LaborAssignment 79,8.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9f1d21a6b2055bfeb0c5b15419ec90909f1d21a6b2055bfeb0c5b15419ec9090
80,LA000080,441,7,161,361,6,3,Quartz LaborAssignment 80,9.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4aba8b988e43599294998cb70debb8654aba8b988e43599294998cb70debb865
81,LA000081,265,85,398,365,19,3,Unity LaborAssignment 81,10.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7b497021d725bfd9020417a4826f04fd7b497021d725bfd9020417a4826f04f
82,LA000082,420,42,201,73,2,2,Forge LaborAssignment 82,11.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c23b695bf67e530aae7c122f71424cb1c23b695bf67e530aae7c122f71424cb1
83,LA000083,232,143,419,209,23,6,Quartz LaborAssignment 83,12.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ac6cfa3b6fc5db19d1678aee0c514b73ac6cfa3b6fc5db19d1678aee0c514b7
84,LA000084,478,325,120,132,19,6,Forge LaborAssignment 84,13.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,646ca23eed1e5b0a98601a84645b5273646ca23eed1e5b0a98601a84645b5273
85,LA000085,73,267,74,328,33,8,Cedar LaborAssignment 85,14.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da6f8b379af756f2bedd92cb00c84348da6f8b379af756f2bedd92cb00c84348
86,LA000086,365,259,11,264,6,5,Evergreen LaborAssignment 86,15.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59f208233cbf577a926a1878c9b740e459f208233cbf577a926a1878c9b740e4
87,LA000087,423,169,100,402,10,3,Orion LaborAssignment 87,16.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,60d37a902c0251c79e4fe6e5d5c3ef6760d37a902c0251c79e4fe6e5d5c3ef67
88,LA000088,239,80,347,431,24,7,Zenith LaborAssignment 88,17.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9384cc9e572f5170846ca6013e9ed06b9384cc9e572f5170846ca6013e9ed06b
89,LA000089,218,143,237,445,26,2,Riverton LaborAssignment 89,18.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cfb073e7eb4152789bdba321b466ce9bcfb073e7eb4152789bdba321b466ce9b
90,LA000090,295,242,5,214,32,6,Orion LaborAssignment 90,19.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,539bbecfff025ca38a430e1bd4197720539bbecfff025ca38a430e1bd4197720
91,LA000091,108,183,264,55,18,2,Unity LaborAssignment 91,20.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71aff120d2c0546da629ed3c297f0ead71aff120d2c0546da629ed3c297f0ead
92,LA000092,487,206,279,263,20,1,Unity LaborAssignment 92,21.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07c8429047155a3e8b4ad759878aea1507c8429047155a3e8b4ad759878aea15
93,LA000093,217,93,96,457,5,2,Delta LaborAssignment 93,22.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e65c25e3a82d5022b36b91d163802eabe65c25e3a82d5022b36b91d163802eab
94,LA000094,338,39,29,218,12,8,Delta LaborAssignment 94,23.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fc7fc52e72a5bdc9e25f42938d361618fc7fc52e72a5bdc9e25f42938d36161
95,LA000095,247,56,261,259,12,7,Quartz LaborAssignment 95,24.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b91c0dea099952f59c4d74bf2e604ab2b91c0dea099952f59c4d74bf2e604ab2
96,LA000096,93,286,303,283,12,6,Harbor LaborAssignment 96,1.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fefebf792cb157c28876f65666769dc9fefebf792cb157c28876f65666769dc9
97,LA000097,25,270,264,387,7,7,Keystone LaborAssignment 97,2.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2f92497de1d539ea3e57fdc76de4323d2f92497de1d539ea3e57fdc76de4323
98,LA000098,36,2,57,271,34,7,Delta LaborAssignment 98,3.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75ce53e892d25e2b87b868dc51d8046375ce53e892d25e2b87b868dc51d80463
99,LA000099,120,192,28,109,34,6,Quartz LaborAssignment 99,4.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa1f0288540c5dd2b86ca70f5e9b90fefa1f0288540c5dd2b86ca70f5e9b90fe
100,LA000100,101,132,267,411,23,7,Keystone LaborAssignment 100,5.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1caf52381ade56fb93bfa83fd1d7c3201caf52381ade56fb93bfa83fd1d7c320
101,LA000101,233,187,360,127,8,3,Harbor LaborAssignment 101,6.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c69169e05345be09e0e57bd1029022d6c69169e05345be09e0e57bd1029022d
102,LA000102,275,190,463,34,4,2,Unity LaborAssignment 102,7.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3109de3770425f0bb5d19a29834476673109de3770425f0bb5d19a2983447667
