MachineKey,MachineNumber,AssetKey,WorkCenterKey,PlantKey,MachineStationKey,MachineCapacityRatingKey,RecordStatusKey,MachineName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
13,M000013,359,256,268,318,265,2,Keystone Machine 13,M000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3ca6ea112525b1ab29e4d84a1396e28e3ca6ea112525b1ab29e4d84a1396e28
14,M000014,9,467,117,123,381,1,Cedar Machine 14,M000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0712f69d793e57f691332a66c771990b0712f69d793e57f691332a66c771990b
15,M000015,66,469,237,432,99,1,Harbor Machine 15,M000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5e5870c52f65219a1bc96e2c8a9edabf5e5870c52f65219a1bc96e2c8a9edab
16,M000016,229,290,261,88,410,2,Pioneer Machine 16,M000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a223eada812d530496ce5bedf6e81deca223eada812d530496ce5bedf6e81dec
17,M000017,105,77,267,428,206,1,Harbor Machine 17,M000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,512196ef856752278c628b15783bf28d512196ef856752278c628b15783bf28d
18,M000018,283,196,347,75,432,3,Granite Machine 18,M000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fee7e9594f775fafa5525f98eeb1c3cbfee7e9594f775fafa5525f98eeb1c3cb
19,M000019,487,448,193,36,200,2,Atlas Machine 19,M000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a6b69cdec4c5ce481234ec9c1bad45e7a6b69cdec4c5ce481234ec9c1bad45e
20,M000020,350,184,69,131,338,1,Orion Machine 20,M000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0006274c368651fda234cec9fb1898500006274c368651fda234cec9fb189850
21,M000021,487,407,29,495,215,1,Titan Machine 21,M000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64db817738475beb97c2a6b42928799d64db817738475beb97c2a6b42928799d
22,M000022,105,147,127,308,337,3,Summit Machine 22,M000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87a71fb51c1d5fc5a0ec79adbac3ccc187a71fb51c1d5fc5a0ec79adbac3ccc1
23,M000023,73,132,213,168,117,3,Quartz Machine 23,M000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3ec1eff600a5477b582b0c94f1e9bdad3ec1eff600a5477b582b0c94f1e9bda
24,M000024,426,138,85,169,62,3,Meridian Machine 24,M000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44b4e2a6549854ddb644aedbc78c065644b4e2a6549854ddb644aedbc78c0656
25,M000025,224,344,133,69,111,4,Beacon Machine 25,M000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,540f4c8a246f510b831e46370fd2ba72540f4c8a246f510b831e46370fd2ba72
26,M000026,399,286,141,216,177,2,Unity Machine 26,M000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6db5df3a44a559998ad839d4bbdb4e5f6db5df3a44a559998ad839d4bbdb4e5f
27,M000027,17,333,248,215,384,4,Cedar Machine 27,M000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c383367c4cbe50649437f3bcc4feb224c383367c4cbe50649437f3bcc4feb224
28,M000028,149,207,44,492,279,4,Riverton Machine 28,M000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6bf72f2d676b55f6a0a2213658fa97076bf72f2d676b55f6a0a2213658fa9707
29,M000029,331,259,169,312,343,4,Summit Machine 29,M000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,33e104cd69575192be12231c3249a0ce33e104cd69575192be12231c3249a0ce
30,M000030,297,72,93,369,138,1,Liberty Machine 30,M000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0bc1363e4365315ab09055793f12446d0bc1363e4365315ab09055793f12446
31,M000031,191,282,294,297,245,4,Zenith Machine 31,M000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,144a0e374d065d9bbe36c5b8b399d09f144a0e374d065d9bbe36c5b8b399d09f
32,M000032,207,176,243,150,385,3,Junction Machine 32,M000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93afa94752935a5d9a1bc29a51cfb4c993afa94752935a5d9a1bc29a51cfb4c9
33,M000033,61,449,155,453,126,4,Summit Machine 33,M000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e1ad8fec26157aca04598c3045be3e97e1ad8fec26157aca04598c3045be3e9
34,M000034,474,154,349,396,286,3,Keystone Machine 34,M000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d95fec67073e592b9a91271c471f25a8d95fec67073e592b9a91271c471f25a8
35,M000035,483,6,166,461,180,4,Willow Machine 35,M000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45b4c211ab8d579198e9d93b940b588345b4c211ab8d579198e9d93b940b5883
36,M000036,287,29,5,29,291,4,Atlas Machine 36,M000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa79ec75e21e546ba2335ab211a1fc34fa79ec75e21e546ba2335ab211a1fc34
37,M000037,346,23,294,456,141,4,Quartz Machine 37,M000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a22e6fd13e835760b8468baa0931e348a22e6fd13e835760b8468baa0931e348
38,M000038,430,84,149,332,70,1,Delta Machine 38,M000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec41cd3a77e85963b9718c5bcad83b54ec41cd3a77e85963b9718c5bcad83b54
39,M000039,283,136,329,254,59,4,Harbor Machine 39,M000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d56387230ac557d8ca3ba2fd72756d71d56387230ac557d8ca3ba2fd72756d7
40,M000040,351,472,251,347,285,3,Liberty Machine 40,M000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95c529e5b3ff5c72936c6a3720b1561695c529e5b3ff5c72936c6a3720b15616
41,M000041,363,441,299,215,82,2,Unity Machine 41,M000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68d945150418506c95fd8c1c8a0eda2568d945150418506c95fd8c1c8a0eda25
42,M000042,440,65,228,179,270,4,Riverton Machine 42,M000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d11441d06c565ed7813970ad93503c99d11441d06c565ed7813970ad93503c99
43,M000043,296,1,288,441,47,2,Beacon Machine 43,M000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcc6a9293f285195910122f9e4febc10fcc6a9293f285195910122f9e4febc10
44,M000044,174,67,113,255,45,1,Orion Machine 44,M000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3f52c8295635a90b8008c71779c70b9e3f52c8295635a90b8008c71779c70b9
45,M000045,268,247,261,150,438,2,Harbor Machine 45,M000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2944089db8af5da3ada1b2084a3fa2392944089db8af5da3ada1b2084a3fa239
46,M000046,200,116,29,66,431,2,Atlas Machine 46,M000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98007f6403105aa4a84768a27c7774f798007f6403105aa4a84768a27c7774f7
47,M000047,414,198,106,332,39,2,Vertex Machine 47,M000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1156f02f1fec5de39a6a9ee90533081b1156f02f1fec5de39a6a9ee90533081b
48,M000048,337,279,36,151,176,4,Unity Machine 48,M000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9058aefdba052a4a5f481c328c7703dd9058aefdba052a4a5f481c328c7703d
49,M000049,170,333,343,482,115,2,Cedar Machine 49,M000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09919d31d6a5523b92c838affec79a0209919d31d6a5523b92c838affec79a02
50,M000050,195,75,227,37,390,2,Evergreen Machine 50,M000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9cc488839e0c52feba295066efd5e8299cc488839e0c52feba295066efd5e829
51,M000051,296,217,139,424,436,3,Willow Machine 51,M000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03bba5601a6755d9a9f020e445d1ef9603bba5601a6755d9a9f020e445d1ef96
52,M000052,354,406,214,150,176,4,Summit Machine 52,M000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb936ec1c65c597788d97ba4b88ec0a3cb936ec1c65c597788d97ba4b88ec0a3
53,M000053,123,34,153,16,63,2,Riverton Machine 53,M000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14fae9c92dce58578725bf685ca788b614fae9c92dce58578725bf685ca788b6
54,M000054,209,387,6,139,183,4,Willow Machine 54,M000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82dbedfd9b1150938a9c03db0c82757682dbedfd9b1150938a9c03db0c827576
55,M000055,243,235,277,65,178,1,Junction Machine 55,M000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22992240f7545fe0afeefea0da6f72a322992240f7545fe0afeefea0da6f72a3
56,M000056,107,304,261,458,318,1,Liberty Machine 56,M000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd56bd05170b5a7a9f8814247d24facefd56bd05170b5a7a9f8814247d24face
57,M000057,210,117,187,218,454,2,Zenith Machine 57,M000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9a8e9b9ab665c7bbb6bc47a1137d9faa9a8e9b9ab665c7bbb6bc47a1137d9fa
58,M000058,164,171,140,438,75,1,Beacon Machine 58,M000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fefebedffc455319539a8746a8cc0448fefebedffc455319539a8746a8cc044
59,M000059,418,186,173,283,482,4,Liberty Machine 59,M000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a39aa540cd851528de8c15e13f4bbf01a39aa540cd851528de8c15e13f4bbf0
60,M000060,17,7,133,261,459,1,Liberty Machine 60,M000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7cca040c36ae57f2ab2a6cb92a392dca7cca040c36ae57f2ab2a6cb92a392dca
61,M000061,388,60,309,166,282,3,Beacon Machine 61,M000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3ec6379ff0656559ff1aea61716736bc3ec6379ff0656559ff1aea61716736b
62,M000062,378,276,182,66,112,4,Summit Machine 62,M000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,645606fb033f57ff902a51837f162b85645606fb033f57ff902a51837f162b85
63,M000063,18,139,345,379,328,4,Atlas Machine 63,M000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6abcdfaaeeed5752ac8a768ca4ac03ba6abcdfaaeeed5752ac8a768ca4ac03ba
64,M000064,319,420,319,314,455,1,Junction Machine 64,M000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fd3861d45ca5aa888c63e23bb8702a82fd3861d45ca5aa888c63e23bb8702a8
65,M000065,15,353,90,206,384,3,Riverton Machine 65,M000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09896991bbe054beaaf8b6b1a21f3f8909896991bbe054beaaf8b6b1a21f3f89
66,M000066,138,482,336,251,337,2,Ion Machine 66,M000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0136852da7152779af14ffacb608561c0136852da7152779af14ffacb608561
67,M000067,120,175,31,58,409,1,Delta Machine 67,M000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf551666f423539eb21f9fb09bbcf221cf551666f423539eb21f9fb09bbcf221
68,M000068,45,286,40,486,389,1,Summit Machine 68,M000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c357b92efd85b66bd280ff53f774c068c357b92efd85b66bd280ff53f774c06
69,M000069,182,58,172,105,404,1,Zenith Machine 69,M000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0e7b53aba625806a5acc0815ab4ef6bd0e7b53aba625806a5acc0815ab4ef6b
70,M000070,304,384,121,59,301,1,Vertex Machine 70,M000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a345172f824659cfbf3059f24f81e72fa345172f824659cfbf3059f24f81e72f
71,M000071,124,307,207,7,336,2,Quartz Machine 71,M000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b04095f34ed257b2b6970ffd7faebd0fb04095f34ed257b2b6970ffd7faebd0f
72,M000072,326,362,266,324,33,3,Zenith Machine 72,M000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ec9f4cea833558585c5bac3a7c7a6ce0ec9f4cea833558585c5bac3a7c7a6ce
73,M000073,45,211,280,89,182,1,Harbor Machine 73,M000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03a948379ab95c8fa0c4efcef206c04403a948379ab95c8fa0c4efcef206c044
74,M000074,458,7,220,347,275,4,Junction Machine 74,M000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61c4fffa85565bd0abb67b184bbcd55f61c4fffa85565bd0abb67b184bbcd55f
75,M000075,192,478,345,104,297,2,Forge Machine 75,M000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,790861822fd55ffdb9d034b236e69fd0790861822fd55ffdb9d034b236e69fd0
76,M000076,329,452,193,204,264,4,Atlas Machine 76,M000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1675807dfcb519f9a5fd8974fdf4e3dd1675807dfcb519f9a5fd8974fdf4e3d
77,M000077,261,214,227,23,447,4,Willow Machine 77,M000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,401f0059479c5fbeb0a079ae2b776e2b401f0059479c5fbeb0a079ae2b776e2b
78,M000078,247,494,189,379,256,4,Cedar Machine 78,M000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,858b9da296cd5d419bbdf3855a03b707858b9da296cd5d419bbdf3855a03b707
79,M000079,334,359,310,13,247,1,Unity Machine 79,M000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ed4dc7256fd57c18851d5bd978bed2f1ed4dc7256fd57c18851d5bd978bed2f
80,M000080,461,79,328,499,426,1,Quartz Machine 80,M000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f329d9b19b15555bb8c44aede997b9d8f329d9b19b15555bb8c44aede997b9d8
81,M000081,423,459,283,312,168,2,Northstar Machine 81,M000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e046899df854557da3f069d9184aabade046899df854557da3f069d9184aabad
82,M000082,430,143,28,234,6,3,Ion Machine 82,M000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,19b44c8953b65e9f84c14631aa9bb4fa19b44c8953b65e9f84c14631aa9bb4fa
83,M000083,83,13,225,398,176,1,Ion Machine 83,M000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05e21f83a02458179684f032c9998e4c05e21f83a02458179684f032c9998e4c
84,M000084,256,330,60,427,137,3,Liberty Machine 84,M000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,560dae0f584b5ef9bb80fc29c8b552a4560dae0f584b5ef9bb80fc29c8b552a4
85,M000085,433,60,114,184,130,2,Keystone Machine 85,M000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ecb1ef3c5a1b54719a5be5e1f0986c15ecb1ef3c5a1b54719a5be5e1f0986c15
86,M000086,322,494,6,294,170,4,Atlas Machine 86,M000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e52e477260e5df0a8fdbf3d90a3b9c57e52e477260e5df0a8fdbf3d90a3b9c5
87,M000087,450,285,43,169,288,1,Beacon Machine 87,M000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a32fc4837755fa3a3a12d3a6cbbc8a82a32fc4837755fa3a3a12d3a6cbbc8a8
88,M000088,88,4,343,196,301,1,Northstar Machine 88,M000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36dc0488ad4b52f0bf334fd30cf3cc5b36dc0488ad4b52f0bf334fd30cf3cc5b
89,M000089,146,152,155,77,295,3,Forge Machine 89,M000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98e96a5ffffc5f3aa5bb8da081c1859098e96a5ffffc5f3aa5bb8da081c18590
90,M000090,99,454,348,490,105,4,Delta Machine 90,M000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77971d419e4955c49509407af7865eae77971d419e4955c49509407af7865eae
91,M000091,409,433,105,319,190,2,Keystone Machine 91,M000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b98e408eac4c5a30b09ea1d2f0350712b98e408eac4c5a30b09ea1d2f0350712
92,M000092,58,139,200,320,163,1,Junction Machine 92,M000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07796d4e38ec5afd9f697bb423eeb92107796d4e38ec5afd9f697bb423eeb921
93,M000093,189,110,106,241,129,2,Willow Machine 93,M000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22436bbb34de545f8338840be604da3022436bbb34de545f8338840be604da30
94,M000094,312,417,334,64,499,1,Willow Machine 94,M000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b3d777288fd55acb0162973d296a27b1b3d777288fd55acb0162973d296a27b
95,M000095,300,106,50,159,465,4,Vertex Machine 95,M000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,947f99c866065520bdabb5ba903da8fa947f99c866065520bdabb5ba903da8fa
96,M000096,48,46,110,38,452,1,Pioneer Machine 96,M000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,47e8bff4dc3c517fae1c5f45e402170147e8bff4dc3c517fae1c5f45e4021701
97,M000097,9,161,3,65,239,2,Meridian Machine 97,M000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e05ad513446f58d5ac475b5de650dd66e05ad513446f58d5ac475b5de650dd66
98,M000098,403,77,19,178,109,2,Zenith Machine 98,M000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2957a62c424f500eb0f3b8ed9d29354f2957a62c424f500eb0f3b8ed9d29354f
99,M000099,115,299,64,54,178,1,Unity Machine 99,M000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,919a433d6b1e5eebb43eeb7e2ae6724e919a433d6b1e5eebb43eeb7e2ae6724e
100,M000100,255,189,259,421,102,4,Quartz Machine 100,M000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4240887db6855e4eba5c67f706e319c74240887db6855e4eba5c67f706e319c7
101,M000101,175,409,164,39,318,4,Evergreen Machine 101,M000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,377e0dd26410509a806945d1173ab19b377e0dd26410509a806945d1173ab19b
102,M000102,172,482,18,453,82,3,Ion Machine 102,M000102,1,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,706d7bebe4825b07b8d83928cff9ce4e706d7bebe4825b07b8d83928cff9ce4e
