WarrantyFailureModeKey,FailureModeCode,ServiceRepairSubcategoryKey,SeverityKey,FailureModeName,IsConfirmedFailure,SeverityScore,SourceSystemKey,BatchId,LoadedAtUtc
65,WFM000065,149,4,Meridian WarrantyFailureMode 65,0,66.00,1,1,2026-08-24T00:00:00.000
66,WFM000066,255,3,Granite WarrantyFailureMode 66,1,67.00,1,1,2026-08-24T00:00:00.000
67,WFM000067,152,1,Pioneer WarrantyFailureMode 67,1,68.00,1,1,2026-08-24T00:00:00.000
68,WFM000068,64,4,Forge WarrantyFailureMode 68,1,69.00,1,1,2026-08-24T00:00:00.000
69,WFM000069,203,4,Cedar WarrantyFailureMode 69,1,70.00,1,1,2026-08-24T00:00:00.000
70,WFM000070,84,3,Unity WarrantyFailureMode 70,0,71.00,1,1,2026-08-24T00:00:00.000
71,WFM000071,57,5,Orion WarrantyFailureMode 71,1,72.00,1,1,2026-08-24T00:00:00.000
72,WFM000072,143,2,Orion WarrantyFailureMode 72,1,73.00,1,1,2026-08-24T00:00:00.000
73,WFM000073,10,1,Summit WarrantyFailureMode 73,1,74.00,1,1,2026-08-24T00:00:00.000
74,WFM000074,157,2,Junction WarrantyFailureMode 74,1,75.00,1,1,2026-08-24T00:00:00.000
75,WFM000075,14,4,Keystone WarrantyFailureMode 75,0,76.00,1,1,2026-08-24T00:00:00.000
76,WFM000076,134,5,Vertex WarrantyFailureMode 76,1,77.00,1,1,2026-08-24T00:00:00.000
77,WFM000077,190,1,Northstar WarrantyFailureMode 77,1,78.00,1,1,2026-08-24T00:00:00.000
78,WFM000078,65,2,Harbor WarrantyFailureMode 78,1,79.00,1,1,2026-08-24T00:00:00.000
79,WFM000079,84,4,Unity WarrantyFailureMode 79,1,80.00,1,1,2026-08-24T00:00:00.000
80,WFM000080,63,2,Riverton WarrantyFailureMode 80,0,81.00,1,1,2026-08-24T00:00:00.000
81,WFM000081,217,1,Atlas WarrantyFailureMode 81,1,82.00,1,1,2026-08-24T00:00:00.000
82,WFM000082,278,4,Willow WarrantyFailureMode 82,1,83.00,1,1,2026-08-24T00:00:00.000
83,WFM000083,216,1,Harbor WarrantyFailureMode 83,1,84.00,1,1,2026-08-24T00:00:00.000
84,WFM000084,37,2,Pioneer WarrantyFailureMode 84,1,85.00,1,1,2026-08-24T00:00:00.000
85,WFM000085,77,1,Summit WarrantyFailureMode 85,0,86.00,1,1,2026-08-24T00:00:00.000
86,WFM000086,262,1,Unity WarrantyFailureMode 86,1,87.00,1,1,2026-08-24T00:00:00.000
87,WFM000087,224,4,Harbor WarrantyFailureMode 87,1,88.00,1,1,2026-08-24T00:00:00.000
88,WFM000088,94,5,Zenith WarrantyFailureMode 88,1,89.00,1,1,2026-08-24T00:00:00.000
89,WFM000089,90,5,Summit WarrantyFailureMode 89,1,90.00,1,1,2026-08-24T00:00:00.000
90,WFM000090,63,2,Delta WarrantyFailureMode 90,0,91.00,1,1,2026-08-24T00:00:00.000
91,WFM000091,216,5,Ion WarrantyFailureMode 91,1,92.00,1,1,2026-08-24T00:00:00.000
92,WFM000092,6,5,Northstar WarrantyFailureMode 92,1,93.00,1,1,2026-08-24T00:00:00.000
93,WFM000093,129,4,Junction WarrantyFailureMode 93,1,94.00,1,1,2026-08-24T00:00:00.000
94,WFM000094,77,4,Junction WarrantyFailureMode 94,1,95.00,1,1,2026-08-24T00:00:00.000
95,WFM000095,202,2,Cedar WarrantyFailureMode 95,0,96.00,1,1,2026-08-24T00:00:00.000
96,WFM000096,117,2,Northstar WarrantyFailureMode 96,1,97.00,1,1,2026-08-24T00:00:00.000
97,WFM000097,40,2,Atlas WarrantyFailureMode 97,1,98.00,1,1,2026-08-24T00:00:00.000
98,WFM000098,252,4,Junction WarrantyFailureMode 98,1,99.00,1,1,2026-08-24T00:00:00.000
99,WFM000099,221,3,Vertex WarrantyFailureMode 99,1,100.00,1,1,2026-08-24T00:00:00.000
100,WFM000100,33,2,Evergreen WarrantyFailureMode 100,0,101.00,1,1,2026-08-24T00:00:00.000
101,WFM000101,253,5,Quartz WarrantyFailureMode 101,1,102.00,1,1,2026-08-24T00:00:00.000
102,WFM000102,23,5,Willow WarrantyFailureMode 102,1,103.00,1,1,2026-08-24T00:00:00.000
103,WFM000103,234,4,Unity WarrantyFailureMode 103,1,104.00,1,1,2026-08-24T00:00:00.000
104,WFM000104,206,3,Zenith WarrantyFailureMode 104,1,105.00,1,1,2026-08-24T00:00:00.000
105,WFM000105,232,1,Summit WarrantyFailureMode 105,0,106.00,1,1,2026-08-24T00:00:00.000
106,WFM000106,35,3,Junction WarrantyFailureMode 106,1,107.00,1,1,2026-08-24T00:00:00.000
107,WFM000107,54,5,Northstar WarrantyFailureMode 107,1,108.00,1,1,2026-08-24T00:00:00.000
108,WFM000108,159,2,Harbor WarrantyFailureMode 108,1,109.00,1,1,2026-08-24T00:00:00.000
109,WFM000109,190,2,Quartz WarrantyFailureMode 109,1,110.00,1,1,2026-08-24T00:00:00.000
110,WFM000110,151,2,Northstar WarrantyFailureMode 110,0,111.00,1,1,2026-08-24T00:00:00.000
111,WFM000111,250,5,Delta WarrantyFailureMode 111,1,112.00,1,1,2026-08-24T00:00:00.000
112,WFM000112,207,2,Orion WarrantyFailureMode 112,1,113.00,1,1,2026-08-24T00:00:00.000
113,WFM000113,187,5,Riverton WarrantyFailureMode 113,1,114.00,1,1,2026-08-24T00:00:00.000
114,WFM000114,70,4,Orion WarrantyFailureMode 114,1,115.00,1,1,2026-08-24T00:00:00.000
115,WFM000115,258,1,Granite WarrantyFailureMode 115,0,116.00,1,1,2026-08-24T00:00:00.000
116,WFM000116,264,5,Atlas WarrantyFailureMode 116,1,117.00,1,1,2026-08-24T00:00:00.000
117,WFM000117,193,5,Atlas WarrantyFailureMode 117,1,118.00,1,1,2026-08-24T00:00:00.000
118,WFM000118,241,3,Forge WarrantyFailureMode 118,1,119.00,1,1,2026-08-24T00:00:00.000
119,WFM000119,184,3,Summit WarrantyFailureMode 119,1,120.00,1,1,2026-08-24T00:00:00.000
120,WFM000120,208,2,Granite WarrantyFailureMode 120,0,121.00,1,1,2026-08-24T00:00:00.000
121,WFM000121,87,3,Pioneer WarrantyFailureMode 121,1,122.00,1,1,2026-08-24T00:00:00.000
122,WFM000122,59,4,Willow WarrantyFailureMode 122,1,123.00,1,1,2026-08-24T00:00:00.000
123,WFM000123,26,3,Keystone WarrantyFailureMode 123,1,124.00,1,1,2026-08-24T00:00:00.000
124,WFM000124,208,5,Keystone WarrantyFailureMode 124,1,125.00,1,1,2026-08-24T00:00:00.000
125,WFM000125,202,1,Vertex WarrantyFailureMode 125,0,126.00,1,1,2026-08-24T00:00:00.000
126,WFM000126,65,5,Granite WarrantyFailureMode 126,1,127.00,1,1,2026-08-24T00:00:00.000
127,WFM000127,59,4,Vertex WarrantyFailureMode 127,1,128.00,1,1,2026-08-24T00:00:00.000
128,WFM000128,21,1,Ion WarrantyFailureMode 128,1,129.00,1,1,2026-08-24T00:00:00.000
129,WFM000129,9,1,Atlas WarrantyFailureMode 129,1,130.00,1,1,2026-08-24T00:00:00.000
130,WFM000130,265,4,Riverton WarrantyFailureMode 130,0,131.00,1,1,2026-08-24T00:00:00.000
131,WFM000131,229,1,Ion WarrantyFailureMode 131,1,132.00,1,1,2026-08-24T00:00:00.000
132,WFM000132,209,3,Pioneer WarrantyFailureMode 132,1,133.00,1,1,2026-08-24T00:00:00.000
133,WFM000133,128,2,Forge WarrantyFailureMode 133,1,134.00,1,1,2026-08-24T00:00:00.000
134,WFM000134,47,3,Junction WarrantyFailureMode 134,1,135.00,1,1,2026-08-24T00:00:00.000
135,WFM000135,2,1,Beacon WarrantyFailureMode 135,0,136.00,1,1,2026-08-24T00:00:00.000
136,WFM000136,262,2,Willow WarrantyFailureMode 136,1,137.00,1,1,2026-08-24T00:00:00.000
137,WFM000137,23,4,Liberty WarrantyFailureMode 137,1,138.00,1,1,2026-08-24T00:00:00.000
138,WFM000138,214,1,Harbor WarrantyFailureMode 138,1,139.00,1,1,2026-08-24T00:00:00.000
139,WFM000139,90,2,Beacon WarrantyFailureMode 139,1,140.00,1,1,2026-08-24T00:00:00.000
140,WFM000140,65,2,Granite WarrantyFailureMode 140,0,141.00,1,1,2026-08-24T00:00:00.000
141,WFM000141,54,4,Evergreen WarrantyFailureMode 141,1,142.00,1,1,2026-08-24T00:00:00.000
142,WFM000142,159,1,Cedar WarrantyFailureMode 142,1,143.00,1,1,2026-08-24T00:00:00.000
143,WFM000143,221,2,Willow WarrantyFailureMode 143,1,144.00,1,1,2026-08-24T00:00:00.000
144,WFM000144,35,3,Keystone WarrantyFailureMode 144,1,145.00,1,1,2026-08-24T00:00:00.000
145,WFM000145,232,2,Ion WarrantyFailureMode 145,0,146.00,1,1,2026-08-24T00:00:00.000
146,WFM000146,240,4,Zenith WarrantyFailureMode 146,1,147.00,1,1,2026-08-24T00:00:00.000
147,WFM000147,209,3,Meridian WarrantyFailureMode 147,1,148.00,1,1,2026-08-24T00:00:00.000
148,WFM000148,44,5,Junction WarrantyFailureMode 148,1,149.00,1,1,2026-08-24T00:00:00.000
149,WFM000149,124,1,Atlas WarrantyFailureMode 149,1,150.00,1,1,2026-08-24T00:00:00.000
150,WFM000150,96,2,Meridian WarrantyFailureMode 150,0,151.00,1,1,2026-08-24T00:00:00.000
151,WFM000151,8,1,Pioneer WarrantyFailureMode 151,1,152.00,1,1,2026-08-24T00:00:00.000
152,WFM000152,119,2,Meridian WarrantyFailureMode 152,1,153.00,1,1,2026-08-24T00:00:00.000
153,WFM000153,246,3,Summit WarrantyFailureMode 153,1,154.00,1,1,2026-08-24T00:00:00.000
154,WFM000154,171,3,Meridian WarrantyFailureMode 154,1,155.00,1,1,2026-08-24T00:00:00.000
155,WFM000155,154,5,Cedar WarrantyFailureMode 155,0,156.00,1,1,2026-08-24T00:00:00.000
156,WFM000156,190,5,Ion WarrantyFailureMode 156,1,157.00,1,1,2026-08-24T00:00:00.000
157,WFM000157,189,4,Quartz WarrantyFailureMode 157,1,158.00,1,1,2026-08-24T00:00:00.000
158,WFM000158,130,2,Pioneer WarrantyFailureMode 158,1,159.00,1,1,2026-08-24T00:00:00.000
159,WFM000159,120,1,Titan WarrantyFailureMode 159,1,160.00,1,1,2026-08-24T00:00:00.000
160,WFM000160,55,2,Evergreen WarrantyFailureMode 160,0,161.00,1,1,2026-08-24T00:00:00.000
161,WFM000161,274,3,Orion WarrantyFailureMode 161,1,162.00,1,1,2026-08-24T00:00:00.000
162,WFM000162,110,2,Northstar WarrantyFailureMode 162,1,163.00,1,1,2026-08-24T00:00:00.000
163,WFM000163,272,4,Orion WarrantyFailureMode 163,1,164.00,1,1,2026-08-24T00:00:00.000
164,WFM000164,37,2,Pioneer WarrantyFailureMode 164,1,165.00,1,1,2026-08-24T00:00:00.000
165,WFM000165,15,3,Liberty WarrantyFailureMode 165,0,166.00,1,1,2026-08-24T00:00:00.000
166,WFM000166,163,4,Northstar WarrantyFailureMode 166,1,167.00,1,1,2026-08-24T00:00:00.000
167,WFM000167,155,1,Riverton WarrantyFailureMode 167,1,168.00,1,1,2026-08-24T00:00:00.000
168,WFM000168,53,5,Willow WarrantyFailureMode 168,1,169.00,1,1,2026-08-24T00:00:00.000
169,WFM000169,167,3,Delta WarrantyFailureMode 169,1,170.00,1,1,2026-08-24T00:00:00.000
170,WFM000170,127,1,Ion WarrantyFailureMode 170,0,171.00,1,1,2026-08-24T00:00:00.000
171,WFM000171,272,5,Evergreen WarrantyFailureMode 171,1,172.00,1,1,2026-08-24T00:00:00.000
172,WFM000172,227,4,Delta WarrantyFailureMode 172,1,173.00,1,1,2026-08-24T00:00:00.000
173,WFM000173,195,3,Summit WarrantyFailureMode 173,1,174.00,1,1,2026-08-24T00:00:00.000
174,WFM000174,175,2,Pioneer WarrantyFailureMode 174,1,175.00,1,1,2026-08-24T00:00:00.000
175,WFM000175,260,3,Meridian WarrantyFailureMode 175,0,176.00,1,1,2026-08-24T00:00:00.000
176,WFM000176,245,1,Orion WarrantyFailureMode 176,1,177.00,1,1,2026-08-24T00:00:00.000
177,WFM000177,21,5,Vertex WarrantyFailureMode 177,1,178.00,1,1,2026-08-24T00:00:00.000
178,WFM000178,2,5,Zenith WarrantyFailureMode 178,1,179.00,1,1,2026-08-24T00:00:00.000
179,WFM000179,93,4,Zenith WarrantyFailureMode 179,1,180.00,1,1,2026-08-24T00:00:00.000
180,WFM000180,223,4,Ion WarrantyFailureMode 180,0,181.00,1,1,2026-08-24T00:00:00.000
181,WFM000181,32,3,Granite WarrantyFailureMode 181,1,182.00,1,1,2026-08-24T00:00:00.000
182,WFM000182,280,1,Pioneer WarrantyFailureMode 182,1,183.00,1,1,2026-08-24T00:00:00.000
183,WFM000183,253,2,Orion WarrantyFailureMode 183,1,184.00,1,1,2026-08-24T00:00:00.000
184,WFM000184,40,2,Liberty WarrantyFailureMode 184,1,185.00,1,1,2026-08-24T00:00:00.000
185,WFM000185,116,2,Evergreen WarrantyFailureMode 185,0,186.00,1,1,2026-08-24T00:00:00.000
186,WFM000186,54,1,Riverton WarrantyFailureMode 186,1,187.00,1,1,2026-08-24T00:00:00.000
187,WFM000187,274,2,Vertex WarrantyFailureMode 187,1,188.00,1,1,2026-08-24T00:00:00.000
188,WFM000188,207,1,Pioneer WarrantyFailureMode 188,1,189.00,1,1,2026-08-24T00:00:00.000
189,WFM000189,23,5,Quartz WarrantyFailureMode 189,1,190.00,1,1,2026-08-24T00:00:00.000
190,WFM000190,203,1,Ion WarrantyFailureMode 190,0,191.00,1,1,2026-08-24T00:00:00.000
191,WFM000191,221,5,Orion WarrantyFailureMode 191,1,192.00,1,1,2026-08-24T00:00:00.000
192,WFM000192,189,2,Cedar WarrantyFailureMode 192,1,193.00,1,1,2026-08-24T00:00:00.000
193,WFM000193,248,1,Keystone WarrantyFailureMode 193,1,194.00,1,1,2026-08-24T00:00:00.000
194,WFM000194,116,3,Granite WarrantyFailureMode 194,1,195.00,1,1,2026-08-24T00:00:00.000
195,WFM000195,191,3,Summit WarrantyFailureMode 195,0,196.00,1,1,2026-08-24T00:00:00.000
196,WFM000196,40,5,Summit WarrantyFailureMode 196,1,197.00,1,1,2026-08-24T00:00:00.000
197,WFM000197,42,1,Keystone WarrantyFailureMode 197,1,198.00,1,1,2026-08-24T00:00:00.000
198,WFM000198,54,3,Atlas WarrantyFailureMode 198,1,199.00,1,1,2026-08-24T00:00:00.000
199,WFM000199,123,4,Zenith WarrantyFailureMode 199,1,200.00,1,1,2026-08-24T00:00:00.000
200,WFM000200,271,3,Titan WarrantyFailureMode 200,0,201.00,1,1,2026-08-24T00:00:00.000
201,WFM000201,20,2,Riverton WarrantyFailureMode 201,1,202.00,1,1,2026-08-24T00:00:00.000
202,WFM000202,92,3,Zenith WarrantyFailureMode 202,1,203.00,1,1,2026-08-24T00:00:00.000
203,WFM000203,246,5,Granite WarrantyFailureMode 203,1,204.00,1,1,2026-08-24T00:00:00.000
204,WFM000204,234,1,Cedar WarrantyFailureMode 204,1,205.00,1,1,2026-08-24T00:00:00.000
205,WFM000205,226,1,Unity WarrantyFailureMode 205,0,206.00,1,1,2026-08-24T00:00:00.000
206,WFM000206,231,5,Evergreen WarrantyFailureMode 206,1,207.00,1,1,2026-08-24T00:00:00.000
207,WFM000207,95,2,Orion WarrantyFailureMode 207,1,208.00,1,1,2026-08-24T00:00:00.000
208,WFM000208,228,5,Northstar WarrantyFailureMode 208,1,209.00,1,1,2026-08-24T00:00:00.000
209,WFM000209,144,3,Quartz WarrantyFailureMode 209,1,210.00,1,1,2026-08-24T00:00:00.000
210,WFM000210,270,1,Titan WarrantyFailureMode 210,0,211.00,1,1,2026-08-24T00:00:00.000
211,WFM000211,279,4,Keystone WarrantyFailureMode 211,1,212.00,1,1,2026-08-24T00:00:00.000
212,WFM000212,77,3,Delta WarrantyFailureMode 212,1,213.00,1,1,2026-08-24T00:00:00.000
213,WFM000213,254,4,Forge WarrantyFailureMode 213,1,214.00,1,1,2026-08-24T00:00:00.000
214,WFM000214,142,4,Northstar WarrantyFailureMode 214,1,215.00,1,1,2026-08-24T00:00:00.000
215,WFM000215,111,4,Keystone WarrantyFailureMode 215,0,216.00,1,1,2026-08-24T00:00:00.000
216,WFM000216,52,4,Unity WarrantyFailureMode 216,1,217.00,1,1,2026-08-24T00:00:00.000
217,WFM000217,30,4,Granite WarrantyFailureMode 217,1,218.00,1,1,2026-08-24T00:00:00.000
218,WFM000218,235,5,Vertex WarrantyFailureMode 218,1,219.00,1,1,2026-08-24T00:00:00.000
219,WFM000219,1,3,Cedar WarrantyFailureMode 219,1,220.00,1,1,2026-08-24T00:00:00.000
220,WFM000220,208,2,Delta WarrantyFailureMode 220,0,221.00,1,1,2026-08-24T00:00:00.000
221,WFM000221,7,3,Delta WarrantyFailureMode 221,1,222.00,1,1,2026-08-24T00:00:00.000
222,WFM000222,55,1,Orion WarrantyFailureMode 222,1,223.00,1,1,2026-08-24T00:00:00.000
223,WFM000223,194,5,Forge WarrantyFailureMode 223,1,224.00,1,1,2026-08-24T00:00:00.000
224,WFM000224,61,4,Quartz WarrantyFailureMode 224,1,225.00,1,1,2026-08-24T00:00:00.000
225,WFM000225,141,1,Junction WarrantyFailureMode 225,0,226.00,1,1,2026-08-24T00:00:00.000
226,WFM000226,73,2,Pioneer WarrantyFailureMode 226,1,227.00,1,1,2026-08-24T00:00:00.000
227,WFM000227,107,3,Forge WarrantyFailureMode 227,1,228.00,1,1,2026-08-24T00:00:00.000
228,WFM000228,21,4,Granite WarrantyFailureMode 228,1,229.00,1,1,2026-08-24T00:00:00.000
229,WFM000229,216,2,Pioneer WarrantyFailureMode 229,1,230.00,1,1,2026-08-24T00:00:00.000
230,WFM000230,137,1,Willow WarrantyFailureMode 230,0,231.00,1,1,2026-08-24T00:00:00.000
231,WFM000231,185,1,Northstar WarrantyFailureMode 231,1,232.00,1,1,2026-08-24T00:00:00.000
232,WFM000232,208,5,Beacon WarrantyFailureMode 232,1,233.00,1,1,2026-08-24T00:00:00.000
233,WFM000233,160,2,Harbor WarrantyFailureMode 233,1,234.00,1,1,2026-08-24T00:00:00.000
234,WFM000234,245,3,Zenith WarrantyFailureMode 234,1,235.00,1,1,2026-08-24T00:00:00.000
235,WFM000235,17,3,Summit WarrantyFailureMode 235,0,236.00,1,1,2026-08-24T00:00:00.000
236,WFM000236,206,5,Evergreen WarrantyFailureMode 236,1,237.00,1,1,2026-08-24T00:00:00.000
237,WFM000237,190,3,Ion WarrantyFailureMode 237,1,238.00,1,1,2026-08-24T00:00:00.000
238,WFM000238,17,4,Cedar WarrantyFailureMode 238,1,239.00,1,1,2026-08-24T00:00:00.000
239,WFM000239,128,5,Junction WarrantyFailureMode 239,1,240.00,1,1,2026-08-24T00:00:00.000
240,WFM000240,179,5,Quartz WarrantyFailureMode 240,0,241.00,1,1,2026-08-24T00:00:00.000
241,WFM000241,28,3,Granite WarrantyFailureMode 241,1,242.00,1,1,2026-08-24T00:00:00.000
242,WFM000242,250,4,Willow WarrantyFailureMode 242,1,243.00,1,1,2026-08-24T00:00:00.000
243,WFM000243,231,2,Willow WarrantyFailureMode 243,1,244.00,1,1,2026-08-24T00:00:00.000
244,WFM000244,239,5,Beacon WarrantyFailureMode 244,1,245.00,1,1,2026-08-24T00:00:00.000
245,WFM000245,168,3,Northstar WarrantyFailureMode 245,0,246.00,1,1,2026-08-24T00:00:00.000
246,WFM000246,101,4,Titan WarrantyFailureMode 246,1,247.00,1,1,2026-08-24T00:00:00.000
247,WFM000247,269,1,Granite WarrantyFailureMode 247,1,248.00,1,1,2026-08-24T00:00:00.000
248,WFM000248,143,3,Vertex WarrantyFailureMode 248,1,249.00,1,1,2026-08-24T00:00:00.000
249,WFM000249,266,1,Atlas WarrantyFailureMode 249,1,250.00,1,1,2026-08-24T00:00:00.000
250,WFM000250,266,2,Delta WarrantyFailureMode 250,0,251.00,1,1,2026-08-24T00:00:00.000
251,WFM000251,168,5,Orion WarrantyFailureMode 251,1,252.00,1,1,2026-08-24T00:00:00.000
252,WFM000252,220,3,Orion WarrantyFailureMode 252,1,253.00,1,1,2026-08-24T00:00:00.000
253,WFM000253,164,2,Riverton WarrantyFailureMode 253,1,254.00,1,1,2026-08-24T00:00:00.000
254,WFM000254,134,1,Delta WarrantyFailureMode 254,1,255.00,1,1,2026-08-24T00:00:00.000
255,WFM000255,219,4,Pioneer WarrantyFailureMode 255,0,256.00,1,1,2026-08-24T00:00:00.000
256,WFM000256,245,3,Titan WarrantyFailureMode 256,1,257.00,1,1,2026-08-24T00:00:00.000
