GlAccountKey,GlAccountNumber,AccountSubGroupKey,AccountReportingLineKey,PostingTypeKey,CostElementTypeKey,RecordStatusKey,CurrencyKey,GlAccountName,AccountDescription,NormalBalanceCode,FinancialStatementName,AllowPostingFlag,TaxRelevantFlag,IntercompanyFlag,EffectiveStartDate,SourceSystemKey,BatchId,LoadedAtUtc
62,GA000062,44,7,9,2,4,5,Orion GlAccount 62,GlAccount starter record 62,G,Summit GlAccount 62,1,1,1,2020-03-03,1,1,2026-08-24T00:00:00.000
63,GA000063,62,193,11,12,3,5,Forge GlAccount 63,GlAccount starter record 63,G,Quartz GlAccount 63,1,1,1,2020-03-04,1,1,2026-08-24T00:00:00.000
64,GA000064,181,12,14,12,2,1,Orion GlAccount 64,GlAccount starter record 64,G,Zenith GlAccount 64,1,1,1,2020-03-05,1,1,2026-08-24T00:00:00.000
65,GA000065,150,130,1,3,4,1,Meridian GlAccount 65,GlAccount starter record 65,G,Junction GlAccount 65,0,0,0,2020-03-06,1,1,2026-08-24T00:00:00.000
66,GA000066,19,72,15,2,2,1,Liberty GlAccount 66,GlAccount starter record 66,G,Vertex GlAccount 66,1,1,1,2020-03-07,1,1,2026-08-24T00:00:00.000
67,GA000067,16,8,13,4,2,2,Liberty GlAccount 67,GlAccount starter record 67,G,Quartz GlAccount 67,1,1,1,2020-03-08,1,1,2026-08-24T00:00:00.000
68,GA000068,207,32,14,8,2,2,Harbor GlAccount 68,GlAccount starter record 68,G,Junction GlAccount 68,1,1,1,2020-03-09,1,1,2026-08-24T00:00:00.000
69,GA000069,26,73,13,9,3,1,Willow GlAccount 69,GlAccount starter record 69,G,Delta GlAccount 69,1,1,1,2020-03-10,1,1,2026-08-24T00:00:00.000
70,GA000070,6,146,10,3,1,5,Liberty GlAccount 70,GlAccount starter record 70,G,Unity GlAccount 70,0,0,0,2020-03-11,1,1,2026-08-24T00:00:00.000
71,GA000071,205,83,14,6,2,5,Ion GlAccount 71,GlAccount starter record 71,G,Vertex GlAccount 71,1,1,1,2020-03-12,1,1,2026-08-24T00:00:00.000
72,GA000072,124,70,5,1,4,3,Titan GlAccount 72,GlAccount starter record 72,G,Junction GlAccount 72,1,1,1,2020-03-13,1,1,2026-08-24T00:00:00.000
73,GA000073,8,17,16,11,4,3,Liberty GlAccount 73,GlAccount starter record 73,G,Summit GlAccount 73,1,1,1,2020-03-14,1,1,2026-08-24T00:00:00.000
74,GA000074,113,173,2,3,4,1,Quartz GlAccount 74,GlAccount starter record 74,G,Junction GlAccount 74,1,1,1,2020-03-15,1,1,2026-08-24T00:00:00.000
75,GA000075,36,93,13,5,2,3,Vertex GlAccount 75,GlAccount starter record 75,G,Delta GlAccount 75,0,0,0,2020-03-16,1,1,2026-08-24T00:00:00.000
76,GA000076,50,48,5,12,4,2,Beacon GlAccount 76,GlAccount starter record 76,G,Summit GlAccount 76,1,1,1,2020-03-17,1,1,2026-08-24T00:00:00.000
77,GA000077,114,80,10,4,3,3,Atlas GlAccount 77,GlAccount starter record 77,G,Vertex GlAccount 77,1,1,1,2020-03-18,1,1,2026-08-24T00:00:00.000
78,GA000078,77,8,16,11,3,3,Delta GlAccount 78,GlAccount starter record 78,G,Ion GlAccount 78,1,1,1,2020-03-19,1,1,2026-08-24T00:00:00.000
79,GA000079,198,45,14,11,4,3,Forge GlAccount 79,GlAccount starter record 79,G,Atlas GlAccount 79,1,1,1,2020-03-20,1,1,2026-08-24T00:00:00.000
80,GA000080,113,199,14,12,4,2,Cedar GlAccount 80,GlAccount starter record 80,G,Zenith GlAccount 80,0,0,0,2020-03-21,1,1,2026-08-24T00:00:00.000
81,GA000081,136,104,2,9,1,5,Atlas GlAccount 81,GlAccount starter record 81,G,Unity GlAccount 81,1,1,1,2020-03-22,1,1,2026-08-24T00:00:00.000
82,GA000082,198,94,16,9,3,1,Cedar GlAccount 82,GlAccount starter record 82,G,Evergreen GlAccount 82,1,1,1,2020-03-23,1,1,2026-08-24T00:00:00.000
83,GA000083,124,125,9,6,4,1,Beacon GlAccount 83,GlAccount starter record 83,G,Liberty GlAccount 83,1,1,1,2020-03-24,1,1,2026-08-24T00:00:00.000
84,GA000084,123,127,5,5,3,3,Orion GlAccount 84,GlAccount starter record 84,G,Quartz GlAccount 84,1,1,1,2020-03-25,1,1,2026-08-24T00:00:00.000
85,GA000085,187,7,16,10,2,5,Willow GlAccount 85,GlAccount starter record 85,G,Atlas GlAccount 85,0,0,0,2020-03-26,1,1,2026-08-24T00:00:00.000
86,GA000086,70,194,8,4,3,4,Riverton GlAccount 86,GlAccount starter record 86,G,Ion GlAccount 86,1,1,1,2020-03-27,1,1,2026-08-24T00:00:00.000
87,GA000087,186,94,1,2,3,5,Vertex GlAccount 87,GlAccount starter record 87,G,Willow GlAccount 87,1,1,1,2020-03-28,1,1,2026-08-24T00:00:00.000
88,GA000088,53,156,5,9,2,3,Liberty GlAccount 88,GlAccount starter record 88,G,Northstar GlAccount 88,1,1,1,2020-03-29,1,1,2026-08-24T00:00:00.000
89,GA000089,88,192,15,8,2,5,Willow GlAccount 89,GlAccount starter record 89,G,Quartz GlAccount 89,1,1,1,2020-03-30,1,1,2026-08-24T00:00:00.000
90,GA000090,81,85,12,3,3,5,Summit GlAccount 90,GlAccount starter record 90,G,Unity GlAccount 90,0,0,0,2020-03-31,1,1,2026-08-24T00:00:00.000
91,GA000091,40,104,4,7,3,4,Meridian GlAccount 91,GlAccount starter record 91,G,Harbor GlAccount 91,1,1,1,2020-04-01,1,1,2026-08-24T00:00:00.000
92,GA000092,16,103,6,9,1,4,Willow GlAccount 92,GlAccount starter record 92,G,Cedar GlAccount 92,1,1,1,2020-04-02,1,1,2026-08-24T00:00:00.000
93,GA000093,66,66,8,3,1,1,Evergreen GlAccount 93,GlAccount starter record 93,G,Granite GlAccount 93,1,1,1,2020-04-03,1,1,2026-08-24T00:00:00.000
94,GA000094,8,63,13,7,3,5,Harbor GlAccount 94,GlAccount starter record 94,G,Unity GlAccount 94,1,1,1,2020-04-04,1,1,2026-08-24T00:00:00.000
95,GA000095,146,71,11,3,4,2,Pioneer GlAccount 95,GlAccount starter record 95,G,Evergreen GlAccount 95,0,0,0,2020-04-05,1,1,2026-08-24T00:00:00.000
96,GA000096,78,11,10,9,2,1,Titan GlAccount 96,GlAccount starter record 96,G,Quartz GlAccount 96,1,1,1,2020-04-06,1,1,2026-08-24T00:00:00.000
97,GA000097,135,104,14,4,3,1,Atlas GlAccount 97,GlAccount starter record 97,G,Orion GlAccount 97,1,1,1,2020-04-07,1,1,2026-08-24T00:00:00.000
98,GA000098,16,154,16,7,4,3,Harbor GlAccount 98,GlAccount starter record 98,G,Zenith GlAccount 98,1,1,1,2020-04-08,1,1,2026-08-24T00:00:00.000
99,GA000099,97,57,12,1,1,2,Titan GlAccount 99,GlAccount starter record 99,G,Unity GlAccount 99,1,1,1,2020-04-09,1,1,2026-08-24T00:00:00.000
100,GA000100,138,146,4,1,4,5,Atlas GlAccount 100,GlAccount starter record 100,G,Pioneer GlAccount 100,0,0,0,2020-04-10,1,1,2026-08-24T00:00:00.000
101,GA000101,154,54,11,4,2,4,Granite GlAccount 101,GlAccount starter record 101,G,Forge GlAccount 101,1,1,1,2020-04-11,1,1,2026-08-24T00:00:00.000
102,GA000102,200,199,9,3,3,1,Pioneer GlAccount 102,GlAccount starter record 102,G,Evergreen GlAccount 102,1,1,1,2020-04-12,1,1,2026-08-24T00:00:00.000
103,GA000103,135,166,8,6,4,1,Granite GlAccount 103,GlAccount starter record 103,G,Forge GlAccount 103,1,1,1,2020-04-13,1,1,2026-08-24T00:00:00.000
104,GA000104,181,99,10,11,3,3,Atlas GlAccount 104,GlAccount starter record 104,G,Unity GlAccount 104,1,1,1,2020-04-14,1,1,2026-08-24T00:00:00.000
105,GA000105,121,105,5,3,1,1,Riverton GlAccount 105,GlAccount starter record 105,G,Cedar GlAccount 105,0,0,0,2020-04-15,1,1,2026-08-24T00:00:00.000
106,GA000106,206,63,12,1,1,2,Evergreen GlAccount 106,GlAccount starter record 106,G,Zenith GlAccount 106,1,1,1,2020-04-16,1,1,2026-08-24T00:00:00.000
107,GA000107,30,140,2,2,1,5,Meridian GlAccount 107,GlAccount starter record 107,G,Cedar GlAccount 107,1,1,1,2020-04-17,1,1,2026-08-24T00:00:00.000
108,GA000108,25,90,4,1,1,4,Northstar GlAccount 108,GlAccount starter record 108,G,Vertex GlAccount 108,1,1,1,2020-04-18,1,1,2026-08-24T00:00:00.000
109,GA000109,70,165,16,1,2,4,Riverton GlAccount 109,GlAccount starter record 109,G,Forge GlAccount 109,1,1,1,2020-04-19,1,1,2026-08-24T00:00:00.000
110,GA000110,194,119,2,6,2,3,Summit GlAccount 110,GlAccount starter record 110,G,Delta GlAccount 110,0,0,0,2020-04-20,1,1,2026-08-24T00:00:00.000
111,GA000111,106,98,4,7,3,1,Granite GlAccount 111,GlAccount starter record 111,G,Pioneer GlAccount 111,1,1,1,2020-04-21,1,1,2026-08-24T00:00:00.000
112,GA000112,70,78,8,7,4,4,Delta GlAccount 112,GlAccount starter record 112,G,Cedar GlAccount 112,1,1,1,2020-04-22,1,1,2026-08-24T00:00:00.000
113,GA000113,76,64,1,6,1,4,Cedar GlAccount 113,GlAccount starter record 113,G,Junction GlAccount 113,1,1,1,2020-04-23,1,1,2026-08-24T00:00:00.000
114,GA000114,6,151,2,9,3,4,Pioneer GlAccount 114,GlAccount starter record 114,G,Forge GlAccount 114,1,1,1,2020-04-24,1,1,2026-08-24T00:00:00.000
115,GA000115,54,120,10,9,2,4,Liberty GlAccount 115,GlAccount starter record 115,G,Delta GlAccount 115,0,0,0,2020-04-25,1,1,2026-08-24T00:00:00.000
116,GA000116,184,62,7,5,3,4,Evergreen GlAccount 116,GlAccount starter record 116,G,Riverton GlAccount 116,1,1,1,2020-04-26,1,1,2026-08-24T00:00:00.000
117,GA000117,73,97,8,3,1,2,Harbor GlAccount 117,GlAccount starter record 117,G,Meridian GlAccount 117,1,1,1,2020-04-27,1,1,2026-08-24T00:00:00.000
118,GA000118,62,146,13,6,2,2,Orion GlAccount 118,GlAccount starter record 118,G,Cedar GlAccount 118,1,1,1,2020-04-28,1,1,2026-08-24T00:00:00.000
119,GA000119,128,136,11,12,1,3,Zenith GlAccount 119,GlAccount starter record 119,G,Unity GlAccount 119,1,1,1,2020-04-29,1,1,2026-08-24T00:00:00.000
120,GA000120,193,154,8,2,4,4,Delta GlAccount 120,GlAccount starter record 120,G,Meridian GlAccount 120,0,0,0,2020-04-30,1,1,2026-08-24T00:00:00.000
121,GA000121,94,71,15,3,4,1,Orion GlAccount 121,GlAccount starter record 121,G,Evergreen GlAccount 121,1,1,1,2020-05-01,1,1,2026-08-24T00:00:00.000
122,GA000122,39,26,8,6,2,2,Summit GlAccount 122,GlAccount starter record 122,G,Granite GlAccount 122,1,1,1,2020-05-02,1,1,2026-08-24T00:00:00.000
123,GA000123,56,86,3,4,2,2,Zenith GlAccount 123,GlAccount starter record 123,G,Riverton GlAccount 123,1,1,1,2020-05-03,1,1,2026-08-24T00:00:00.000
124,GA000124,146,195,2,7,3,1,Quartz GlAccount 124,GlAccount starter record 124,G,Meridian GlAccount 124,1,1,1,2020-05-04,1,1,2026-08-24T00:00:00.000
125,GA000125,208,107,14,3,3,3,Ion GlAccount 125,GlAccount starter record 125,G,Pioneer GlAccount 125,0,0,0,2020-05-05,1,1,2026-08-24T00:00:00.000
126,GA000126,155,184,13,9,2,4,Northstar GlAccount 126,GlAccount starter record 126,G,Pioneer GlAccount 126,1,1,1,2020-05-06,1,1,2026-08-24T00:00:00.000
127,GA000127,106,182,3,9,1,2,Meridian GlAccount 127,GlAccount starter record 127,G,Vertex GlAccount 127,1,1,1,2020-05-07,1,1,2026-08-24T00:00:00.000
128,GA000128,70,148,6,5,1,3,Titan GlAccount 128,GlAccount starter record 128,G,Beacon GlAccount 128,1,1,1,2020-05-08,1,1,2026-08-24T00:00:00.000
129,GA000129,26,126,6,6,4,2,Beacon GlAccount 129,GlAccount starter record 129,G,Granite GlAccount 129,1,1,1,2020-05-09,1,1,2026-08-24T00:00:00.000
130,GA000130,86,135,9,7,1,5,Orion GlAccount 130,GlAccount starter record 130,G,Zenith GlAccount 130,0,0,0,2020-05-10,1,1,2026-08-24T00:00:00.000
131,GA000131,7,90,4,5,2,3,Beacon GlAccount 131,GlAccount starter record 131,G,Ion GlAccount 131,1,1,1,2020-05-11,1,1,2026-08-24T00:00:00.000
132,GA000132,150,149,11,6,2,5,Orion GlAccount 132,GlAccount starter record 132,G,Evergreen GlAccount 132,1,1,1,2020-05-12,1,1,2026-08-24T00:00:00.000
133,GA000133,68,190,5,4,2,1,Ion GlAccount 133,GlAccount starter record 133,G,Quartz GlAccount 133,1,1,1,2020-05-13,1,1,2026-08-24T00:00:00.000
134,GA000134,152,5,10,2,3,1,Ion GlAccount 134,GlAccount starter record 134,G,Keystone GlAccount 134,1,1,1,2020-05-14,1,1,2026-08-24T00:00:00.000
135,GA000135,218,144,11,5,2,4,Junction GlAccount 135,GlAccount starter record 135,G,Ion GlAccount 135,0,0,0,2020-05-15,1,1,2026-08-24T00:00:00.000
136,GA000136,119,14,15,2,4,5,Quartz GlAccount 136,GlAccount starter record 136,G,Summit GlAccount 136,1,1,1,2020-05-16,1,1,2026-08-24T00:00:00.000
137,GA000137,128,137,6,11,4,3,Vertex GlAccount 137,GlAccount starter record 137,G,Orion GlAccount 137,1,1,1,2020-05-17,1,1,2026-08-24T00:00:00.000
138,GA000138,145,200,7,12,3,4,Summit GlAccount 138,GlAccount starter record 138,G,Granite GlAccount 138,1,1,1,2020-05-18,1,1,2026-08-24T00:00:00.000
139,GA000139,121,197,12,12,2,1,Orion GlAccount 139,GlAccount starter record 139,G,Atlas GlAccount 139,1,1,1,2020-05-19,1,1,2026-08-24T00:00:00.000
140,GA000140,127,57,15,2,4,3,Delta GlAccount 140,GlAccount starter record 140,G,Titan GlAccount 140,0,0,0,2020-05-20,1,1,2026-08-24T00:00:00.000
141,GA000141,72,102,1,9,2,2,Evergreen GlAccount 141,GlAccount starter record 141,G,Pioneer GlAccount 141,1,1,1,2020-05-21,1,1,2026-08-24T00:00:00.000
142,GA000142,189,187,4,5,2,4,Quartz GlAccount 142,GlAccount starter record 142,G,Pioneer GlAccount 142,1,1,1,2020-05-22,1,1,2026-08-24T00:00:00.000
143,GA000143,200,36,15,9,4,5,Riverton GlAccount 143,GlAccount starter record 143,G,Summit GlAccount 143,1,1,1,2020-05-23,1,1,2026-08-24T00:00:00.000
144,GA000144,157,28,11,2,1,1,Granite GlAccount 144,GlAccount starter record 144,G,Keystone GlAccount 144,1,1,1,2020-05-24,1,1,2026-08-24T00:00:00.000
145,GA000145,207,135,14,9,1,4,Meridian GlAccount 145,GlAccount starter record 145,G,Harbor GlAccount 145,0,0,0,2020-05-25,1,1,2026-08-24T00:00:00.000
146,GA000146,167,200,7,8,2,4,Unity GlAccount 146,GlAccount starter record 146,G,Quartz GlAccount 146,1,1,1,2020-05-26,1,1,2026-08-24T00:00:00.000
147,GA000147,146,78,10,7,3,2,Zenith GlAccount 147,GlAccount starter record 147,G,Willow GlAccount 147,1,1,1,2020-05-27,1,1,2026-08-24T00:00:00.000
148,GA000148,82,159,6,11,3,4,Willow GlAccount 148,GlAccount starter record 148,G,Riverton GlAccount 148,1,1,1,2020-05-28,1,1,2026-08-24T00:00:00.000
149,GA000149,155,53,1,9,1,5,Vertex GlAccount 149,GlAccount starter record 149,G,Northstar GlAccount 149,1,1,1,2020-05-29,1,1,2026-08-24T00:00:00.000
150,GA000150,128,111,7,7,4,2,Willow GlAccount 150,GlAccount starter record 150,G,Delta GlAccount 150,0,0,0,2020-05-30,1,1,2026-08-24T00:00:00.000
151,GA000151,48,131,5,8,4,2,Atlas GlAccount 151,GlAccount starter record 151,G,Keystone GlAccount 151,1,1,1,2020-05-31,1,1,2026-08-24T00:00:00.000
152,GA000152,116,36,1,11,2,4,Orion GlAccount 152,GlAccount starter record 152,G,Atlas GlAccount 152,1,1,1,2020-06-01,1,1,2026-08-24T00:00:00.000
153,GA000153,95,177,16,10,3,4,Harbor GlAccount 153,GlAccount starter record 153,G,Summit GlAccount 153,1,1,1,2020-06-02,1,1,2026-08-24T00:00:00.000
154,GA000154,9,94,6,8,4,5,Summit GlAccount 154,GlAccount starter record 154,G,Evergreen GlAccount 154,1,1,1,2020-06-03,1,1,2026-08-24T00:00:00.000
155,GA000155,131,21,16,3,3,5,Summit GlAccount 155,GlAccount starter record 155,G,Zenith GlAccount 155,0,0,0,2020-06-04,1,1,2026-08-24T00:00:00.000
