LaborOvertimePolicyKey,OvertimePolicyCode,LaborJobGradeKey,LaborPayTypeKey,OvertimePolicyName,DailyThresholdHours,WeeklyThresholdHours,PremiumMultiplier,SourceSystemKey,BatchId,LoadedAtUtc
61,LOP000061,3,12,Granite LaborOvertimePolicy 61,14.00,14.00,62.0000,1,1,2026-08-24T00:00:00.000
62,LOP000062,28,6,Cedar LaborOvertimePolicy 62,15.00,15.00,63.0000,1,1,2026-08-24T00:00:00.000
63,LOP000063,31,12,Junction LaborOvertimePolicy 63,16.00,16.00,64.0000,1,1,2026-08-24T00:00:00.000
64,LOP000064,29,6,Zenith LaborOvertimePolicy 64,17.00,17.00,65.0000,1,1,2026-08-24T00:00:00.000
65,LOP000065,21,7,Orion LaborOvertimePolicy 65,18.00,18.00,66.0000,1,1,2026-08-24T00:00:00.000
66,LOP000066,13,8,Delta LaborOvertimePolicy 66,19.00,19.00,67.0000,1,1,2026-08-24T00:00:00.000
67,LOP000067,10,5,Orion LaborOvertimePolicy 67,20.00,20.00,68.0000,1,1,2026-08-24T00:00:00.000
68,LOP000068,4,9,Atlas LaborOvertimePolicy 68,21.00,21.00,69.0000,1,1,2026-08-24T00:00:00.000
69,LOP000069,27,7,Delta LaborOvertimePolicy 69,22.00,22.00,70.0000,1,1,2026-08-24T00:00:00.000
70,LOP000070,30,11,Titan LaborOvertimePolicy 70,23.00,23.00,71.0000,1,1,2026-08-24T00:00:00.000
71,LOP000071,4,7,Titan LaborOvertimePolicy 71,24.00,24.00,72.0000,1,1,2026-08-24T00:00:00.000
72,LOP000072,25,10,Beacon LaborOvertimePolicy 72,1.00,1.00,73.0000,1,1,2026-08-24T00:00:00.000
73,LOP000073,29,9,Forge LaborOvertimePolicy 73,2.00,2.00,74.0000,1,1,2026-08-24T00:00:00.000
74,LOP000074,1,6,Keystone LaborOvertimePolicy 74,3.00,3.00,75.0000,1,1,2026-08-24T00:00:00.000
75,LOP000075,21,12,Summit LaborOvertimePolicy 75,4.00,4.00,76.0000,1,1,2026-08-24T00:00:00.000
76,LOP000076,2,1,Orion LaborOvertimePolicy 76,5.00,5.00,77.0000,1,1,2026-08-24T00:00:00.000
77,LOP000077,25,12,Cedar LaborOvertimePolicy 77,6.00,6.00,78.0000,1,1,2026-08-24T00:00:00.000
78,LOP000078,16,3,Quartz LaborOvertimePolicy 78,7.00,7.00,79.0000,1,1,2026-08-24T00:00:00.000
79,LOP000079,14,10,Forge LaborOvertimePolicy 79,8.00,8.00,80.0000,1,1,2026-08-24T00:00:00.000
80,LOP000080,16,2,Granite LaborOvertimePolicy 80,9.00,9.00,81.0000,1,1,2026-08-24T00:00:00.000
81,LOP000081,16,10,Orion LaborOvertimePolicy 81,10.00,10.00,82.0000,1,1,2026-08-24T00:00:00.000
82,LOP000082,12,7,Forge LaborOvertimePolicy 82,11.00,11.00,83.0000,1,1,2026-08-24T00:00:00.000
83,LOP000083,6,7,Delta LaborOvertimePolicy 83,12.00,12.00,84.0000,1,1,2026-08-24T00:00:00.000
84,LOP000084,15,7,Orion LaborOvertimePolicy 84,13.00,13.00,85.0000,1,1,2026-08-24T00:00:00.000
85,LOP000085,27,12,Northstar LaborOvertimePolicy 85,14.00,14.00,86.0000,1,1,2026-08-24T00:00:00.000
86,LOP000086,15,3,Vertex LaborOvertimePolicy 86,15.00,15.00,87.0000,1,1,2026-08-24T00:00:00.000
87,LOP000087,1,12,Quartz LaborOvertimePolicy 87,16.00,16.00,88.0000,1,1,2026-08-24T00:00:00.000
88,LOP000088,8,8,Cedar LaborOvertimePolicy 88,17.00,17.00,89.0000,1,1,2026-08-24T00:00:00.000
89,LOP000089,13,10,Forge LaborOvertimePolicy 89,18.00,18.00,90.0000,1,1,2026-08-24T00:00:00.000
90,LOP000090,25,2,Atlas LaborOvertimePolicy 90,19.00,19.00,91.0000,1,1,2026-08-24T00:00:00.000
91,LOP000091,33,1,Evergreen LaborOvertimePolicy 91,20.00,20.00,92.0000,1,1,2026-08-24T00:00:00.000
92,LOP000092,4,10,Granite LaborOvertimePolicy 92,21.00,21.00,93.0000,1,1,2026-08-24T00:00:00.000
93,LOP000093,6,8,Titan LaborOvertimePolicy 93,22.00,22.00,94.0000,1,1,2026-08-24T00:00:00.000
94,LOP000094,30,11,Forge LaborOvertimePolicy 94,23.00,23.00,95.0000,1,1,2026-08-24T00:00:00.000
95,LOP000095,5,8,Junction LaborOvertimePolicy 95,24.00,24.00,96.0000,1,1,2026-08-24T00:00:00.000
96,LOP000096,3,6,Delta LaborOvertimePolicy 96,1.00,1.00,97.0000,1,1,2026-08-24T00:00:00.000
97,LOP000097,10,3,Granite LaborOvertimePolicy 97,2.00,2.00,98.0000,1,1,2026-08-24T00:00:00.000
98,LOP000098,10,2,Atlas LaborOvertimePolicy 98,3.00,3.00,99.0000,1,1,2026-08-24T00:00:00.000
99,LOP000099,27,3,Summit LaborOvertimePolicy 99,4.00,4.00,100.0000,1,1,2026-08-24T00:00:00.000
100,LOP000100,10,11,Zenith LaborOvertimePolicy 100,5.00,5.00,101.0000,1,1,2026-08-24T00:00:00.000
101,LOP000101,26,5,Vertex LaborOvertimePolicy 101,6.00,6.00,102.0000,1,1,2026-08-24T00:00:00.000
102,LOP000102,25,3,Summit LaborOvertimePolicy 102,7.00,7.00,103.0000,1,1,2026-08-24T00:00:00.000
103,LOP000103,11,9,Unity LaborOvertimePolicy 103,8.00,8.00,104.0000,1,1,2026-08-24T00:00:00.000
104,LOP000104,11,2,Beacon LaborOvertimePolicy 104,9.00,9.00,105.0000,1,1,2026-08-24T00:00:00.000
105,LOP000105,19,12,Beacon LaborOvertimePolicy 105,10.00,10.00,106.0000,1,1,2026-08-24T00:00:00.000
106,LOP000106,21,11,Orion LaborOvertimePolicy 106,11.00,11.00,107.0000,1,1,2026-08-24T00:00:00.000
107,LOP000107,14,6,Meridian LaborOvertimePolicy 107,12.00,12.00,108.0000,1,1,2026-08-24T00:00:00.000
108,LOP000108,27,2,Summit LaborOvertimePolicy 108,13.00,13.00,109.0000,1,1,2026-08-24T00:00:00.000
109,LOP000109,6,8,Summit LaborOvertimePolicy 109,14.00,14.00,110.0000,1,1,2026-08-24T00:00:00.000
110,LOP000110,27,11,Granite LaborOvertimePolicy 110,15.00,15.00,111.0000,1,1,2026-08-24T00:00:00.000
111,LOP000111,6,5,Vertex LaborOvertimePolicy 111,16.00,16.00,112.0000,1,1,2026-08-24T00:00:00.000
112,LOP000112,32,6,Vertex LaborOvertimePolicy 112,17.00,17.00,113.0000,1,1,2026-08-24T00:00:00.000
113,LOP000113,23,4,Cedar LaborOvertimePolicy 113,18.00,18.00,114.0000,1,1,2026-08-24T00:00:00.000
114,LOP000114,21,3,Summit LaborOvertimePolicy 114,19.00,19.00,115.0000,1,1,2026-08-24T00:00:00.000
115,LOP000115,2,10,Keystone LaborOvertimePolicy 115,20.00,20.00,116.0000,1,1,2026-08-24T00:00:00.000
116,LOP000116,27,11,Quartz LaborOvertimePolicy 116,21.00,21.00,117.0000,1,1,2026-08-24T00:00:00.000
117,LOP000117,14,4,Harbor LaborOvertimePolicy 117,22.00,22.00,118.0000,1,1,2026-08-24T00:00:00.000
118,LOP000118,28,2,Quartz LaborOvertimePolicy 118,23.00,23.00,119.0000,1,1,2026-08-24T00:00:00.000
119,LOP000119,22,7,Riverton LaborOvertimePolicy 119,24.00,24.00,120.0000,1,1,2026-08-24T00:00:00.000
120,LOP000120,2,8,Quartz LaborOvertimePolicy 120,1.00,1.00,121.0000,1,1,2026-08-24T00:00:00.000
121,LOP000121,17,12,Willow LaborOvertimePolicy 121,2.00,2.00,122.0000,1,1,2026-08-24T00:00:00.000
122,LOP000122,2,2,Beacon LaborOvertimePolicy 122,3.00,3.00,123.0000,1,1,2026-08-24T00:00:00.000
123,LOP000123,9,9,Willow LaborOvertimePolicy 123,4.00,4.00,124.0000,1,1,2026-08-24T00:00:00.000
124,LOP000124,31,2,Beacon LaborOvertimePolicy 124,5.00,5.00,125.0000,1,1,2026-08-24T00:00:00.000
125,LOP000125,1,12,Granite LaborOvertimePolicy 125,6.00,6.00,126.0000,1,1,2026-08-24T00:00:00.000
126,LOP000126,21,2,Ion LaborOvertimePolicy 126,7.00,7.00,127.0000,1,1,2026-08-24T00:00:00.000
127,LOP000127,25,11,Evergreen LaborOvertimePolicy 127,8.00,8.00,128.0000,1,1,2026-08-24T00:00:00.000
128,LOP000128,4,4,Liberty LaborOvertimePolicy 128,9.00,9.00,129.0000,1,1,2026-08-24T00:00:00.000
129,LOP000129,34,9,Summit LaborOvertimePolicy 129,10.00,10.00,130.0000,1,1,2026-08-24T00:00:00.000
130,LOP000130,17,9,Atlas LaborOvertimePolicy 130,11.00,11.00,131.0000,1,1,2026-08-24T00:00:00.000
131,LOP000131,12,11,Summit LaborOvertimePolicy 131,12.00,12.00,132.0000,1,1,2026-08-24T00:00:00.000
132,LOP000132,19,6,Ion LaborOvertimePolicy 132,13.00,13.00,133.0000,1,1,2026-08-24T00:00:00.000
133,LOP000133,20,3,Unity LaborOvertimePolicy 133,14.00,14.00,134.0000,1,1,2026-08-24T00:00:00.000
134,LOP000134,14,2,Riverton LaborOvertimePolicy 134,15.00,15.00,135.0000,1,1,2026-08-24T00:00:00.000
135,LOP000135,8,6,Vertex LaborOvertimePolicy 135,16.00,16.00,136.0000,1,1,2026-08-24T00:00:00.000
136,LOP000136,8,1,Vertex LaborOvertimePolicy 136,17.00,17.00,137.0000,1,1,2026-08-24T00:00:00.000
137,LOP000137,28,12,Forge LaborOvertimePolicy 137,18.00,18.00,138.0000,1,1,2026-08-24T00:00:00.000
138,LOP000138,13,8,Titan LaborOvertimePolicy 138,19.00,19.00,139.0000,1,1,2026-08-24T00:00:00.000
139,LOP000139,28,6,Atlas LaborOvertimePolicy 139,20.00,20.00,140.0000,1,1,2026-08-24T00:00:00.000
140,LOP000140,32,11,Northstar LaborOvertimePolicy 140,21.00,21.00,141.0000,1,1,2026-08-24T00:00:00.000
141,LOP000141,24,4,Beacon LaborOvertimePolicy 141,22.00,22.00,142.0000,1,1,2026-08-24T00:00:00.000
142,LOP000142,34,3,Orion LaborOvertimePolicy 142,23.00,23.00,143.0000,1,1,2026-08-24T00:00:00.000
143,LOP000143,30,11,Forge LaborOvertimePolicy 143,24.00,24.00,144.0000,1,1,2026-08-24T00:00:00.000
144,LOP000144,20,7,Junction LaborOvertimePolicy 144,1.00,1.00,145.0000,1,1,2026-08-24T00:00:00.000
145,LOP000145,20,10,Meridian LaborOvertimePolicy 145,2.00,2.00,146.0000,1,1,2026-08-24T00:00:00.000
146,LOP000146,7,3,Riverton LaborOvertimePolicy 146,3.00,3.00,147.0000,1,1,2026-08-24T00:00:00.000
147,LOP000147,6,8,Zenith LaborOvertimePolicy 147,4.00,4.00,148.0000,1,1,2026-08-24T00:00:00.000
148,LOP000148,13,4,Unity LaborOvertimePolicy 148,5.00,5.00,149.0000,1,1,2026-08-24T00:00:00.000
149,LOP000149,5,9,Riverton LaborOvertimePolicy 149,6.00,6.00,150.0000,1,1,2026-08-24T00:00:00.000
150,LOP000150,11,6,Orion LaborOvertimePolicy 150,7.00,7.00,151.0000,1,1,2026-08-24T00:00:00.000
151,LOP000151,2,7,Keystone LaborOvertimePolicy 151,8.00,8.00,152.0000,1,1,2026-08-24T00:00:00.000
152,LOP000152,25,3,Cedar LaborOvertimePolicy 152,9.00,9.00,153.0000,1,1,2026-08-24T00:00:00.000
153,LOP000153,33,1,Beacon LaborOvertimePolicy 153,10.00,10.00,154.0000,1,1,2026-08-24T00:00:00.000
154,LOP000154,27,4,Junction LaborOvertimePolicy 154,11.00,11.00,155.0000,1,1,2026-08-24T00:00:00.000
155,LOP000155,8,3,Unity LaborOvertimePolicy 155,12.00,12.00,156.0000,1,1,2026-08-24T00:00:00.000
156,LOP000156,29,5,Evergreen LaborOvertimePolicy 156,13.00,13.00,157.0000,1,1,2026-08-24T00:00:00.000
157,LOP000157,34,10,Beacon LaborOvertimePolicy 157,14.00,14.00,158.0000,1,1,2026-08-24T00:00:00.000
158,LOP000158,3,6,Keystone LaborOvertimePolicy 158,15.00,15.00,159.0000,1,1,2026-08-24T00:00:00.000
159,LOP000159,14,3,Vertex LaborOvertimePolicy 159,16.00,16.00,160.0000,1,1,2026-08-24T00:00:00.000
160,LOP000160,13,2,Cedar LaborOvertimePolicy 160,17.00,17.00,161.0000,1,1,2026-08-24T00:00:00.000
161,LOP000161,2,6,Quartz LaborOvertimePolicy 161,18.00,18.00,162.0000,1,1,2026-08-24T00:00:00.000
162,LOP000162,21,3,Pioneer LaborOvertimePolicy 162,19.00,19.00,163.0000,1,1,2026-08-24T00:00:00.000
163,LOP000163,12,4,Liberty LaborOvertimePolicy 163,20.00,20.00,164.0000,1,1,2026-08-24T00:00:00.000
164,LOP000164,3,12,Orion LaborOvertimePolicy 164,21.00,21.00,165.0000,1,1,2026-08-24T00:00:00.000
165,LOP000165,11,7,Zenith LaborOvertimePolicy 165,22.00,22.00,166.0000,1,1,2026-08-24T00:00:00.000
166,LOP000166,33,8,Atlas LaborOvertimePolicy 166,23.00,23.00,167.0000,1,1,2026-08-24T00:00:00.000
167,LOP000167,22,12,Northstar LaborOvertimePolicy 167,24.00,24.00,168.0000,1,1,2026-08-24T00:00:00.000
168,LOP000168,12,2,Harbor LaborOvertimePolicy 168,1.00,1.00,169.0000,1,1,2026-08-24T00:00:00.000
169,LOP000169,14,2,Forge LaborOvertimePolicy 169,2.00,2.00,170.0000,1,1,2026-08-24T00:00:00.000
170,LOP000170,23,8,Beacon LaborOvertimePolicy 170,3.00,3.00,171.0000,1,1,2026-08-24T00:00:00.000
171,LOP000171,26,2,Titan LaborOvertimePolicy 171,4.00,4.00,172.0000,1,1,2026-08-24T00:00:00.000
172,LOP000172,4,11,Cedar LaborOvertimePolicy 172,5.00,5.00,173.0000,1,1,2026-08-24T00:00:00.000
173,LOP000173,14,9,Riverton LaborOvertimePolicy 173,6.00,6.00,174.0000,1,1,2026-08-24T00:00:00.000
174,LOP000174,25,10,Quartz LaborOvertimePolicy 174,7.00,7.00,175.0000,1,1,2026-08-24T00:00:00.000
175,LOP000175,1,5,Harbor LaborOvertimePolicy 175,8.00,8.00,176.0000,1,1,2026-08-24T00:00:00.000
176,LOP000176,6,6,Atlas LaborOvertimePolicy 176,9.00,9.00,177.0000,1,1,2026-08-24T00:00:00.000
177,LOP000177,20,11,Riverton LaborOvertimePolicy 177,10.00,10.00,178.0000,1,1,2026-08-24T00:00:00.000
178,LOP000178,2,1,Northstar LaborOvertimePolicy 178,11.00,11.00,179.0000,1,1,2026-08-24T00:00:00.000
179,LOP000179,17,3,Harbor LaborOvertimePolicy 179,12.00,12.00,180.0000,1,1,2026-08-24T00:00:00.000
180,LOP000180,33,9,Liberty LaborOvertimePolicy 180,13.00,13.00,181.0000,1,1,2026-08-24T00:00:00.000
181,LOP000181,30,7,Orion LaborOvertimePolicy 181,14.00,14.00,182.0000,1,1,2026-08-24T00:00:00.000
182,LOP000182,16,9,Keystone LaborOvertimePolicy 182,15.00,15.00,183.0000,1,1,2026-08-24T00:00:00.000
183,LOP000183,26,2,Harbor LaborOvertimePolicy 183,16.00,16.00,184.0000,1,1,2026-08-24T00:00:00.000
184,LOP000184,24,11,Keystone LaborOvertimePolicy 184,17.00,17.00,185.0000,1,1,2026-08-24T00:00:00.000
185,LOP000185,4,3,Meridian LaborOvertimePolicy 185,18.00,18.00,186.0000,1,1,2026-08-24T00:00:00.000
186,LOP000186,22,1,Pioneer LaborOvertimePolicy 186,19.00,19.00,187.0000,1,1,2026-08-24T00:00:00.000
187,LOP000187,29,5,Liberty LaborOvertimePolicy 187,20.00,20.00,188.0000,1,1,2026-08-24T00:00:00.000
188,LOP000188,30,8,Pioneer LaborOvertimePolicy 188,21.00,21.00,189.0000,1,1,2026-08-24T00:00:00.000
189,LOP000189,14,12,Pioneer LaborOvertimePolicy 189,22.00,22.00,190.0000,1,1,2026-08-24T00:00:00.000
190,LOP000190,33,7,Pioneer LaborOvertimePolicy 190,23.00,23.00,191.0000,1,1,2026-08-24T00:00:00.000
191,LOP000191,23,11,Zenith LaborOvertimePolicy 191,24.00,24.00,192.0000,1,1,2026-08-24T00:00:00.000
192,LOP000192,8,11,Beacon LaborOvertimePolicy 192,1.00,1.00,193.0000,1,1,2026-08-24T00:00:00.000
193,LOP000193,9,1,Zenith LaborOvertimePolicy 193,2.00,2.00,194.0000,1,1,2026-08-24T00:00:00.000
194,LOP000194,32,12,Pioneer LaborOvertimePolicy 194,3.00,3.00,195.0000,1,1,2026-08-24T00:00:00.000
195,LOP000195,7,9,Delta LaborOvertimePolicy 195,4.00,4.00,196.0000,1,1,2026-08-24T00:00:00.000
196,LOP000196,11,12,Harbor LaborOvertimePolicy 196,5.00,5.00,197.0000,1,1,2026-08-24T00:00:00.000
197,LOP000197,12,3,Vertex LaborOvertimePolicy 197,6.00,6.00,198.0000,1,1,2026-08-24T00:00:00.000
198,LOP000198,28,6,Riverton LaborOvertimePolicy 198,7.00,7.00,199.0000,1,1,2026-08-24T00:00:00.000
199,LOP000199,29,9,Riverton LaborOvertimePolicy 199,8.00,8.00,200.0000,1,1,2026-08-24T00:00:00.000
200,LOP000200,23,12,Forge LaborOvertimePolicy 200,9.00,9.00,201.0000,1,1,2026-08-24T00:00:00.000
201,LOP000201,9,9,Ion LaborOvertimePolicy 201,10.00,10.00,202.0000,1,1,2026-08-24T00:00:00.000
202,LOP000202,9,8,Ion LaborOvertimePolicy 202,11.00,11.00,203.0000,1,1,2026-08-24T00:00:00.000
203,LOP000203,8,10,Willow LaborOvertimePolicy 203,12.00,12.00,204.0000,1,1,2026-08-24T00:00:00.000
204,LOP000204,28,8,Delta LaborOvertimePolicy 204,13.00,13.00,205.0000,1,1,2026-08-24T00:00:00.000
205,LOP000205,22,10,Orion LaborOvertimePolicy 205,14.00,14.00,206.0000,1,1,2026-08-24T00:00:00.000
206,LOP000206,29,12,Willow LaborOvertimePolicy 206,15.00,15.00,207.0000,1,1,2026-08-24T00:00:00.000
207,LOP000207,13,4,Atlas LaborOvertimePolicy 207,16.00,16.00,208.0000,1,1,2026-08-24T00:00:00.000
208,LOP000208,22,4,Quartz LaborOvertimePolicy 208,17.00,17.00,209.0000,1,1,2026-08-24T00:00:00.000
209,LOP000209,26,6,Quartz LaborOvertimePolicy 209,18.00,18.00,210.0000,1,1,2026-08-24T00:00:00.000
210,LOP000210,4,6,Vertex LaborOvertimePolicy 210,19.00,19.00,211.0000,1,1,2026-08-24T00:00:00.000
211,LOP000211,31,10,Forge LaborOvertimePolicy 211,20.00,20.00,212.0000,1,1,2026-08-24T00:00:00.000
212,LOP000212,17,12,Zenith LaborOvertimePolicy 212,21.00,21.00,213.0000,1,1,2026-08-24T00:00:00.000
213,LOP000213,22,2,Titan LaborOvertimePolicy 213,22.00,22.00,214.0000,1,1,2026-08-24T00:00:00.000
214,LOP000214,27,9,Beacon LaborOvertimePolicy 214,23.00,23.00,215.0000,1,1,2026-08-24T00:00:00.000
215,LOP000215,6,5,Summit LaborOvertimePolicy 215,24.00,24.00,216.0000,1,1,2026-08-24T00:00:00.000
216,LOP000216,1,10,Atlas LaborOvertimePolicy 216,1.00,1.00,217.0000,1,1,2026-08-24T00:00:00.000
217,LOP000217,7,7,Granite LaborOvertimePolicy 217,2.00,2.00,218.0000,1,1,2026-08-24T00:00:00.000
218,LOP000218,3,7,Liberty LaborOvertimePolicy 218,3.00,3.00,219.0000,1,1,2026-08-24T00:00:00.000
219,LOP000219,31,7,Junction LaborOvertimePolicy 219,4.00,4.00,220.0000,1,1,2026-08-24T00:00:00.000
220,LOP000220,10,8,Northstar LaborOvertimePolicy 220,5.00,5.00,221.0000,1,1,2026-08-24T00:00:00.000
221,LOP000221,24,12,Willow LaborOvertimePolicy 221,6.00,6.00,222.0000,1,1,2026-08-24T00:00:00.000
222,LOP000222,10,6,Quartz LaborOvertimePolicy 222,7.00,7.00,223.0000,1,1,2026-08-24T00:00:00.000
