MachineSensorTagKey,SensorTagName,MachineKey,MachineStationKey,MachineSensorTypeKey,UnitOfMeasureKey,MachineSensorTagName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
43,Delta MachineSensorTag 43,64,336,10,5,Willow MachineSensorTag 43,MST000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa8ae1cb7f0056d0b1ad6178b7f59135fa8ae1cb7f0056d0b1ad6178b7f59135
44,Forge MachineSensorTag 44,243,440,2,4,Unity MachineSensorTag 44,MST000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72b627750e485be6ac22378750a938f572b627750e485be6ac22378750a938f5
45,Harbor MachineSensorTag 45,355,152,10,3,Delta MachineSensorTag 45,MST000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31b122b44c2c5537ac729a10c43cc6ef31b122b44c2c5537ac729a10c43cc6ef
46,Atlas MachineSensorTag 46,428,403,12,5,Harbor MachineSensorTag 46,MST000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76386cfcc8235b9c8a0435e0135c540076386cfcc8235b9c8a0435e0135c5400
47,Riverton MachineSensorTag 47,495,473,8,5,Willow MachineSensorTag 47,MST000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05d20c8f83165f7bb5c99b163ec96f3505d20c8f83165f7bb5c99b163ec96f35
48,Cedar MachineSensorTag 48,57,7,5,1,Beacon MachineSensorTag 48,MST000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f62ba51a9725ed392af3c6f40cf091b0f62ba51a9725ed392af3c6f40cf091b
49,Vertex MachineSensorTag 49,189,240,3,3,Quartz MachineSensorTag 49,MST000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9fbfc3c963135634987df9b618024ed79fbfc3c963135634987df9b618024ed7
50,Keystone MachineSensorTag 50,236,454,8,2,Cedar MachineSensorTag 50,MST000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,90194974d1485488a1da33a788727a8990194974d1485488a1da33a788727a89
51,Beacon MachineSensorTag 51,263,289,7,7,Orion MachineSensorTag 51,MST000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df28ebf2f65450428a75942f90f3aadadf28ebf2f65450428a75942f90f3aada
52,Unity MachineSensorTag 52,38,451,2,5,Liberty MachineSensorTag 52,MST000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,10fa3edc31645ba6b4ab835f6dea589410fa3edc31645ba6b4ab835f6dea5894
53,Atlas MachineSensorTag 53,245,314,5,2,Atlas MachineSensorTag 53,MST000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d83abfbd95755f5bb9bc272f5a66f3e6d83abfbd95755f5bb9bc272f5a66f3e6
54,Zenith MachineSensorTag 54,350,36,11,2,Evergreen MachineSensorTag 54,MST000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1512e17133fb5e1c8d31c9ea8fa4ece51512e17133fb5e1c8d31c9ea8fa4ece5
55,Willow MachineSensorTag 55,235,384,12,3,Keystone MachineSensorTag 55,MST000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,957a69f2a9b45bde9021192652a3e83f957a69f2a9b45bde9021192652a3e83f
56,Orion MachineSensorTag 56,45,282,8,6,Granite MachineSensorTag 56,MST000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aaa54d4fa68a5bd48a5686656f49c025aaa54d4fa68a5bd48a5686656f49c025
57,Forge MachineSensorTag 57,272,243,11,7,Liberty MachineSensorTag 57,MST000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db060c8d59a553ad95ae2a6c71d6eab4db060c8d59a553ad95ae2a6c71d6eab4
58,Delta MachineSensorTag 58,287,277,6,1,Unity MachineSensorTag 58,MST000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c0968b58146559ca20c51081d82b4ab9c0968b58146559ca20c51081d82b4ab
59,Harbor MachineSensorTag 59,164,209,9,6,Beacon MachineSensorTag 59,MST000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f4474e7f66bc53a495d28493d9f7a5a3f4474e7f66bc53a495d28493d9f7a5a3
60,Liberty MachineSensorTag 60,75,26,9,7,Harbor MachineSensorTag 60,MST000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5eea3cf0db7457719fffbd3f4fa0d4135eea3cf0db7457719fffbd3f4fa0d413
61,Granite MachineSensorTag 61,50,320,1,7,Forge MachineSensorTag 61,MST000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be4358edc70a5e06ac322f2b7c468cc1be4358edc70a5e06ac322f2b7c468cc1
62,Liberty MachineSensorTag 62,202,216,12,3,Northstar MachineSensorTag 62,MST000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74def7aecbdd5a219e178f70e72e051c74def7aecbdd5a219e178f70e72e051c
63,Vertex MachineSensorTag 63,302,308,9,2,Northstar MachineSensorTag 63,MST000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88503333eb0355fe8fd910b56bb2dc8b88503333eb0355fe8fd910b56bb2dc8b
64,Beacon MachineSensorTag 64,70,366,1,3,Orion MachineSensorTag 64,MST000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a39e382377ce54838eff9f73ba163e1ea39e382377ce54838eff9f73ba163e1e
65,Willow MachineSensorTag 65,206,399,3,5,Granite MachineSensorTag 65,MST000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a83560fb01fb58a0b5bcba8fe2a181cda83560fb01fb58a0b5bcba8fe2a181cd
66,Ion MachineSensorTag 66,237,464,3,7,Delta MachineSensorTag 66,MST000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75c7dda1418756d5b41abc9770a13ee775c7dda1418756d5b41abc9770a13ee7
67,Granite MachineSensorTag 67,439,184,4,6,Willow MachineSensorTag 67,MST000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d12e3c6cfefe53e0be9974cc6b4d5cb7d12e3c6cfefe53e0be9974cc6b4d5cb7
68,Summit MachineSensorTag 68,43,424,9,6,Cedar MachineSensorTag 68,MST000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1743614574cf574f8d116da0a67192a21743614574cf574f8d116da0a67192a2
69,Evergreen MachineSensorTag 69,79,170,6,7,Ion MachineSensorTag 69,MST000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab363b9f3a7e52559935b4d9e1b184dcab363b9f3a7e52559935b4d9e1b184dc
70,Vertex MachineSensorTag 70,47,440,2,5,Northstar MachineSensorTag 70,MST000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13f75991d7a0568f856aa0cf18f0117b13f75991d7a0568f856aa0cf18f0117b
71,Meridian MachineSensorTag 71,265,455,7,4,Zenith MachineSensorTag 71,MST000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a487ae0b52fb5cd9acecb359dd9358baa487ae0b52fb5cd9acecb359dd9358ba
72,Orion MachineSensorTag 72,339,336,2,3,Keystone MachineSensorTag 72,MST000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf269553d9895466add15ee094f29d99bf269553d9895466add15ee094f29d99
73,Riverton MachineSensorTag 73,389,496,11,2,Vertex MachineSensorTag 73,MST000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5dbe927c99125f4e95f23c3fdbd6eafe5dbe927c99125f4e95f23c3fdbd6eafe
74,Willow MachineSensorTag 74,337,494,9,1,Harbor MachineSensorTag 74,MST000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ecee8c41405c5422beafc18e83e12722ecee8c41405c5422beafc18e83e12722
75,Riverton MachineSensorTag 75,491,121,1,1,Northstar MachineSensorTag 75,MST000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0aa82c9247d2595799fe858b05ff0a290aa82c9247d2595799fe858b05ff0a29
76,Pioneer MachineSensorTag 76,239,337,7,1,Evergreen MachineSensorTag 76,MST000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9c6e8106e0b5d6c909088630814e41ce9c6e8106e0b5d6c909088630814e41c
77,Evergreen MachineSensorTag 77,315,405,2,3,Forge MachineSensorTag 77,MST000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec76797fc9da54ddb8cde005ae4f2d08ec76797fc9da54ddb8cde005ae4f2d08
78,Granite MachineSensorTag 78,105,328,8,3,Forge MachineSensorTag 78,MST000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bfaaf365f234525b9e92d42fa3b8db9cbfaaf365f234525b9e92d42fa3b8db9c
79,Northstar MachineSensorTag 79,66,373,3,1,Orion MachineSensorTag 79,MST000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c79302d33f951bcbc18314c5b1edf2f8c79302d33f951bcbc18314c5b1edf2f
80,Atlas MachineSensorTag 80,18,215,1,3,Orion MachineSensorTag 80,MST000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc5b667337535e7dbd8974106d2fee5bbc5b667337535e7dbd8974106d2fee5b
81,Atlas MachineSensorTag 81,99,367,12,4,Summit MachineSensorTag 81,MST000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bf6c0d97c3e51f49644bedb146240d09bf6c0d97c3e51f49644bedb146240d0
82,Forge MachineSensorTag 82,445,86,8,5,Zenith MachineSensorTag 82,MST000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b1ffd86f5635f2c9e9d8d7b840c925f0b1ffd86f5635f2c9e9d8d7b840c925f
83,Forge MachineSensorTag 83,14,394,2,6,Ion MachineSensorTag 83,MST000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9baa47d1e27f55ad8d26ed27ecf1ff9c9baa47d1e27f55ad8d26ed27ecf1ff9c
84,Zenith MachineSensorTag 84,56,410,4,6,Unity MachineSensorTag 84,MST000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c065123a4ce35c7e8dbdc46f9569f7bfc065123a4ce35c7e8dbdc46f9569f7bf
85,Meridian MachineSensorTag 85,222,340,4,1,Ion MachineSensorTag 85,MST000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4d87c1ab55c5f458558c811b26edd0eb4d87c1ab55c5f458558c811b26edd0e
86,Northstar MachineSensorTag 86,196,105,10,2,Meridian MachineSensorTag 86,MST000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e873fa6df9315dfcb1e6573e8639faa8e873fa6df9315dfcb1e6573e8639faa8
87,Harbor MachineSensorTag 87,390,350,8,2,Unity MachineSensorTag 87,MST000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,822973c8aebc5343b17e08e75dffca32822973c8aebc5343b17e08e75dffca32
88,Unity MachineSensorTag 88,87,324,4,5,Liberty MachineSensorTag 88,MST000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9e09fb1bd4b582ab6fa06ebd0aa7b75e9e09fb1bd4b582ab6fa06ebd0aa7b75
89,Meridian MachineSensorTag 89,489,417,4,2,Keystone MachineSensorTag 89,MST000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c28de2ef50f5cd3b7eaa7fe168d72a48c28de2ef50f5cd3b7eaa7fe168d72a4
90,Evergreen MachineSensorTag 90,225,12,5,3,Zenith MachineSensorTag 90,MST000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5b82198e93c54c6bafd7fe64b14ca48d5b82198e93c54c6bafd7fe64b14ca48
91,Zenith MachineSensorTag 91,328,436,10,7,Atlas MachineSensorTag 91,MST000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be922641a7295267a98f6cc53ddb234fbe922641a7295267a98f6cc53ddb234f
92,Zenith MachineSensorTag 92,139,439,5,2,Forge MachineSensorTag 92,MST000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8fae4d0ca91511ba54677f6a0057774f8fae4d0ca91511ba54677f6a0057774
93,Vertex MachineSensorTag 93,202,462,7,1,Delta MachineSensorTag 93,MST000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a8b03889401151cebef891e435a1390aa8b03889401151cebef891e435a1390a
