InventorySerialNumberKey,SerialNumber,ProductKey,InventoryLotKey,InventoryStockStatusKey,SerialDescription,ActivationDate,WarrantyEndDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
12,ISN000012,146,407,1,InventorySerialNumber starter record 12,2020-01-13,2021-01-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f74d4168882d555a93679e30aaa840a7f74d4168882d555a93679e30aaa840a7
13,ISN000013,125,471,3,InventorySerialNumber starter record 13,2020-01-14,2021-01-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,177d9efe50a25cbb8d4d84f654e80d00177d9efe50a25cbb8d4d84f654e80d00
14,ISN000014,141,36,9,InventorySerialNumber starter record 14,2020-01-15,2021-01-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd7fc9f9533756fe9867989feac3d0f8fd7fc9f9533756fe9867989feac3d0f8
15,ISN000015,79,416,1,InventorySerialNumber starter record 15,2020-01-16,2021-01-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d41cc8e0267959ef8621375f2f2e862ad41cc8e0267959ef8621375f2f2e862a
16,ISN000016,450,187,6,InventorySerialNumber starter record 16,2020-01-17,2021-01-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb0f2f92c71d57d3a7d7f927b8bdb584fb0f2f92c71d57d3a7d7f927b8bdb584
17,ISN000017,415,-1,5,InventorySerialNumber starter record 17,2020-01-18,2021-01-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06e658f7692c5f14acbe813f93b07fce06e658f7692c5f14acbe813f93b07fce
18,ISN000018,259,92,2,InventorySerialNumber starter record 18,2020-01-19,2021-01-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f1491d7b301500aa0fb96783fb4d5124f1491d7b301500aa0fb96783fb4d512
19,ISN000019,5,232,7,InventorySerialNumber starter record 19,2020-01-20,2021-01-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d19a0e4696f5f839afa8dc03ab602db3d19a0e4696f5f839afa8dc03ab602db
20,ISN000020,324,80,7,InventorySerialNumber starter record 20,2020-01-21,2021-01-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f586eb3744965873aad52070165fa7f9f586eb3744965873aad52070165fa7f9
21,ISN000021,349,49,1,InventorySerialNumber starter record 21,2020-01-22,2021-01-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da38e08bdffc5c10947ddaafd440e550da38e08bdffc5c10947ddaafd440e550
22,ISN000022,256,129,9,InventorySerialNumber starter record 22,2020-01-23,2021-01-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f19b1616fc7e532799f511e1b4c2410ff19b1616fc7e532799f511e1b4c2410f
23,ISN000023,232,43,4,InventorySerialNumber starter record 23,2020-01-24,2021-01-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cfe8af6d8b6a5e58a7c35b2f79736c94cfe8af6d8b6a5e58a7c35b2f79736c94
24,ISN000024,496,125,7,InventorySerialNumber starter record 24,2020-01-25,2021-01-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61a8277e46175f43afcab2496ceba36b61a8277e46175f43afcab2496ceba36b
25,ISN000025,137,313,1,InventorySerialNumber starter record 25,2020-01-26,2021-01-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c5207a24aa405e8391260489f63808a4c5207a24aa405e8391260489f63808a4
26,ISN000026,35,374,10,InventorySerialNumber starter record 26,2020-01-27,2021-01-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c30716742bd564194a0950e737bcf414c30716742bd564194a0950e737bcf41
27,ISN000027,13,113,4,InventorySerialNumber starter record 27,2020-01-28,2021-01-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,79fec32ee86c5d1893f03795ecaf92ee79fec32ee86c5d1893f03795ecaf92ee
28,ISN000028,86,117,2,InventorySerialNumber starter record 28,2020-01-29,2021-01-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,edd0da4901e1590e8bf54458c7920993edd0da4901e1590e8bf54458c7920993
29,ISN000029,234,191,2,InventorySerialNumber starter record 29,2020-01-30,2021-01-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,24bd6d79962e5d5fa98ec9c79f85a76b24bd6d79962e5d5fa98ec9c79f85a76b
30,ISN000030,123,246,8,InventorySerialNumber starter record 30,2020-01-31,2021-01-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a873e97f6d95a2681f778db33c2e46a7a873e97f6d95a2681f778db33c2e46a
31,ISN000031,36,265,2,InventorySerialNumber starter record 31,2020-02-01,2021-01-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd165b8986b35c23abd99654ad119107fd165b8986b35c23abd99654ad119107
32,ISN000032,329,114,5,InventorySerialNumber starter record 32,2020-02-02,2021-02-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45c58a9fed0c5e3cac1bb89c10ac0b5045c58a9fed0c5e3cac1bb89c10ac0b50
33,ISN000033,241,99,3,InventorySerialNumber starter record 33,2020-02-03,2021-02-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,724ae897c07156459d2ceb047eb88628724ae897c07156459d2ceb047eb88628
34,ISN000034,378,-1,9,InventorySerialNumber starter record 34,2020-02-04,2021-02-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34cbf97c3c27531e9709b59b640f60b534cbf97c3c27531e9709b59b640f60b5
35,ISN000035,471,308,8,InventorySerialNumber starter record 35,2020-02-05,2021-02-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7ebde9c67745e3f8be3e8ab79f29569c7ebde9c67745e3f8be3e8ab79f29569
36,ISN000036,129,193,5,InventorySerialNumber starter record 36,2020-02-06,2021-02-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71363e60b04753beb4186ab5fe73e21071363e60b04753beb4186ab5fe73e210
37,ISN000037,434,351,6,InventorySerialNumber starter record 37,2020-02-07,2021-02-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ddb3690cc7b5f08aa5750c536fdd5880ddb3690cc7b5f08aa5750c536fdd588
38,ISN000038,76,385,5,InventorySerialNumber starter record 38,2020-02-08,2021-02-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58428632ab2f551aaf6ced215c1bab7f58428632ab2f551aaf6ced215c1bab7f
39,ISN000039,106,116,3,InventorySerialNumber starter record 39,2020-02-09,2021-02-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29cfe7323dc459ed8f1325305f93b2ce29cfe7323dc459ed8f1325305f93b2ce
40,ISN000040,18,481,10,InventorySerialNumber starter record 40,2020-02-10,2021-02-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d8eb98efae15e54a17b7715e3fec02c8d8eb98efae15e54a17b7715e3fec02c
41,ISN000041,181,284,5,InventorySerialNumber starter record 41,2020-02-11,2021-02-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96aeedd4011a5df3bded31b28a63142f96aeedd4011a5df3bded31b28a63142f
42,ISN000042,192,440,2,InventorySerialNumber starter record 42,2020-02-12,2021-02-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,207ffce9fdfc57b6bdba30d5bcadf523207ffce9fdfc57b6bdba30d5bcadf523
43,ISN000043,483,299,3,InventorySerialNumber starter record 43,2020-02-13,2021-02-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71bf226ee31e5d07bf4554d3d3b9c0a071bf226ee31e5d07bf4554d3d3b9c0a0
44,ISN000044,39,434,10,InventorySerialNumber starter record 44,2020-02-14,2021-02-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed27890f0db65deba2d3573cd1791f69ed27890f0db65deba2d3573cd1791f69
45,ISN000045,206,123,2,InventorySerialNumber starter record 45,2020-02-15,2021-02-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c5506f6230d252f5b37b0549189c8fa6c5506f6230d252f5b37b0549189c8fa6
46,ISN000046,360,15,8,InventorySerialNumber starter record 46,2020-02-16,2021-02-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c3fad5cfb4c508f968fc8fc7b6b3fcb3c3fad5cfb4c508f968fc8fc7b6b3fcb
47,ISN000047,119,356,7,InventorySerialNumber starter record 47,2020-02-17,2021-02-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49b3b415ad5c557f9d33cd5c252d160049b3b415ad5c557f9d33cd5c252d1600
48,ISN000048,126,368,8,InventorySerialNumber starter record 48,2020-02-18,2021-02-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58e97373b6c35f129ca48f949a5a968e58e97373b6c35f129ca48f949a5a968e
49,ISN000049,81,322,4,InventorySerialNumber starter record 49,2020-02-19,2021-02-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7177c0784f205d4686cc9d77a8aca60c7177c0784f205d4686cc9d77a8aca60c
50,ISN000050,455,485,7,InventorySerialNumber starter record 50,2020-02-20,2021-02-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e27e627c787c54af8634bce2aba2246ee27e627c787c54af8634bce2aba2246e
51,ISN000051,15,-1,1,InventorySerialNumber starter record 51,2020-02-21,2021-02-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b507dd3283f553cb943710fa7819b63db507dd3283f553cb943710fa7819b63d
52,ISN000052,260,335,1,InventorySerialNumber starter record 52,2020-02-22,2021-02-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0978e65ccc125b68a166da13f20a44b70978e65ccc125b68a166da13f20a44b7
53,ISN000053,113,79,1,InventorySerialNumber starter record 53,2020-02-23,2021-02-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbfb6d9a35bc56cfb82a550e5f77de92bbfb6d9a35bc56cfb82a550e5f77de92
54,ISN000054,449,270,8,InventorySerialNumber starter record 54,2020-02-24,2021-02-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ff496988ba65135ab4fe5d55c2943d29ff496988ba65135ab4fe5d55c2943d2
55,ISN000055,471,420,1,InventorySerialNumber starter record 55,2020-02-25,2021-02-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3e79558e30f5936b0ff7b69a728afe1f3e79558e30f5936b0ff7b69a728afe1
56,ISN000056,232,41,8,InventorySerialNumber starter record 56,2020-02-26,2021-02-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,952dda9eaeff5e8384fdf256ae9771cb952dda9eaeff5e8384fdf256ae9771cb
57,ISN000057,161,160,2,InventorySerialNumber starter record 57,2020-02-27,2021-02-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c99e71d1cc2554db9c2fc1f5271b06e6c99e71d1cc2554db9c2fc1f5271b06e
58,ISN000058,320,31,3,InventorySerialNumber starter record 58,2020-02-28,2021-02-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29028a2393fc5603a436285dd6a1fdf429028a2393fc5603a436285dd6a1fdf4
59,ISN000059,386,235,1,InventorySerialNumber starter record 59,2020-02-29,2021-02-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,657564ab9d8c5bbbbe2311a2357c0a38657564ab9d8c5bbbbe2311a2357c0a38
60,ISN000060,207,299,8,InventorySerialNumber starter record 60,2020-03-01,2021-03-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7272b7ee0005c618ca63c2d7c9c9d7fc7272b7ee0005c618ca63c2d7c9c9d7f
61,ISN000061,42,117,1,InventorySerialNumber starter record 61,2020-03-02,2021-03-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5db944a7469858bc8368e349e100985b5db944a7469858bc8368e349e100985b
62,ISN000062,353,178,6,InventorySerialNumber starter record 62,2020-03-03,2021-03-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbe783c652a85cd8bef552795bb0d646dbe783c652a85cd8bef552795bb0d646
63,ISN000063,342,80,3,InventorySerialNumber starter record 63,2020-03-04,2021-03-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,051abb70857f5716b2a9dee3af3d6d3c051abb70857f5716b2a9dee3af3d6d3c
64,ISN000064,144,319,2,InventorySerialNumber starter record 64,2020-03-05,2021-03-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a148c7ce04358a8ab98996aabdf6bd87a148c7ce04358a8ab98996aabdf6bd8
65,ISN000065,367,280,8,InventorySerialNumber starter record 65,2020-03-06,2021-03-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b39e6c55b9da52e0b8e032485e1318d3b39e6c55b9da52e0b8e032485e1318d3
66,ISN000066,428,464,8,InventorySerialNumber starter record 66,2020-03-07,2021-03-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e3f63b569655552976a8fa1588d3dea1e3f63b569655552976a8fa1588d3dea
67,ISN000067,142,306,9,InventorySerialNumber starter record 67,2020-03-08,2021-03-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e8c2cfb596e5974b0ab04eabd2e3e001e8c2cfb596e5974b0ab04eabd2e3e00
68,ISN000068,177,-1,3,InventorySerialNumber starter record 68,2020-03-09,2021-03-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ecf28ca76b8516384a721f95f9624c52ecf28ca76b8516384a721f95f9624c5
69,ISN000069,431,12,3,InventorySerialNumber starter record 69,2020-03-10,2021-03-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e3686a053dd5782a95c7cbcbdabd1b33e3686a053dd5782a95c7cbcbdabd1b3
70,ISN000070,91,82,3,InventorySerialNumber starter record 70,2020-03-11,2021-03-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34904ca442ad5c6595c57ddcaa15ed6034904ca442ad5c6595c57ddcaa15ed60
71,ISN000071,223,461,2,InventorySerialNumber starter record 71,2020-03-12,2021-03-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51e6b53b7ebf51a8a20621f747745f4451e6b53b7ebf51a8a20621f747745f44
72,ISN000072,403,457,10,InventorySerialNumber starter record 72,2020-03-13,2021-03-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,693f9f4a7e0657a9a00c1ac6e5aa2cf5693f9f4a7e0657a9a00c1ac6e5aa2cf5
73,ISN000073,385,489,9,InventorySerialNumber starter record 73,2020-03-14,2021-03-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e570d29ec14d5736bff6a98d7433cbbce570d29ec14d5736bff6a98d7433cbbc
74,ISN000074,62,488,7,InventorySerialNumber starter record 74,2020-03-15,2021-03-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,353cc58dc8485f488224803d8faa5fee353cc58dc8485f488224803d8faa5fee
75,ISN000075,109,124,2,InventorySerialNumber starter record 75,2020-03-16,2021-03-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8c8c39e39725237b6a8c12a7e4b23e9f8c8c39e39725237b6a8c12a7e4b23e9
76,ISN000076,342,50,5,InventorySerialNumber starter record 76,2020-03-17,2021-03-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d129170ffd4455e98fcd552c58b60fddd129170ffd4455e98fcd552c58b60fdd
77,ISN000077,479,492,9,InventorySerialNumber starter record 77,2020-03-18,2021-03-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7a214c7537f5b65aa8feb3bb003f910c7a214c7537f5b65aa8feb3bb003f910
78,ISN000078,392,426,8,InventorySerialNumber starter record 78,2020-03-19,2021-03-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8403237beac54859fcf27905817f4b1d8403237beac54859fcf27905817f4b1
79,ISN000079,458,209,1,InventorySerialNumber starter record 79,2020-03-20,2021-03-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc33bfb60d455eb7a1e83c6cd9e83340cc33bfb60d455eb7a1e83c6cd9e83340
80,ISN000080,384,495,3,InventorySerialNumber starter record 80,2020-03-21,2021-03-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30702c478a7c533eb118c493f622f65d30702c478a7c533eb118c493f622f65d
81,ISN000081,85,312,7,InventorySerialNumber starter record 81,2020-03-22,2021-03-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6e2e19a0f0955ff9716ab04c2160218f6e2e19a0f0955ff9716ab04c2160218
82,ISN000082,4,346,4,InventorySerialNumber starter record 82,2020-03-23,2021-03-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,450509ac9cc35dd18a4a41337c6589fc450509ac9cc35dd18a4a41337c6589fc
83,ISN000083,361,38,2,InventorySerialNumber starter record 83,2020-03-24,2021-03-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bed9f111b12954ffb9d8e3a6d7fd3a8dbed9f111b12954ffb9d8e3a6d7fd3a8d
84,ISN000084,89,239,6,InventorySerialNumber starter record 84,2020-03-25,2021-03-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31c8631e0fb656ae831f63ac18e8786e31c8631e0fb656ae831f63ac18e8786e
85,ISN000085,273,-1,8,InventorySerialNumber starter record 85,2020-03-26,2021-03-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a17e69233865e628e02321fcabe4f361a17e69233865e628e02321fcabe4f36
86,ISN000086,80,132,9,InventorySerialNumber starter record 86,2020-03-27,2021-03-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94a0cd417cb550d9922ed71be042ddee94a0cd417cb550d9922ed71be042ddee
87,ISN000087,354,314,5,InventorySerialNumber starter record 87,2020-03-28,2021-03-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc61e0734a9b543ea9f252b8a42edd79cc61e0734a9b543ea9f252b8a42edd79
88,ISN000088,176,353,2,InventorySerialNumber starter record 88,2020-03-29,2021-03-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b51e4dc2437d5595b3b6c05fd269328bb51e4dc2437d5595b3b6c05fd269328b
89,ISN000089,408,177,1,InventorySerialNumber starter record 89,2020-03-30,2021-03-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6945ffca6d7258ae8f5766de5a41e36a6945ffca6d7258ae8f5766de5a41e36a
90,ISN000090,443,63,1,InventorySerialNumber starter record 90,2020-03-31,2021-03-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,157b2ffc2aca5f4d8ef1f586518b9fe5157b2ffc2aca5f4d8ef1f586518b9fe5
91,ISN000091,175,476,4,InventorySerialNumber starter record 91,2020-04-01,2021-04-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c26b8fbe06457e4ae287d90742bbea34c26b8fbe06457e4ae287d90742bbea3
92,ISN000092,428,441,5,InventorySerialNumber starter record 92,2020-04-02,2021-04-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b0b499757c95caca243bcedc283ea584b0b499757c95caca243bcedc283ea58
93,ISN000093,339,91,3,InventorySerialNumber starter record 93,2020-04-03,2021-04-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8517c869e3e581db9d49317dabc0c90d8517c869e3e581db9d49317dabc0c90
94,ISN000094,267,478,5,InventorySerialNumber starter record 94,2020-04-04,2021-04-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0cc63ef1249358839f644769ffd099ce0cc63ef1249358839f644769ffd099ce
95,ISN000095,65,136,9,InventorySerialNumber starter record 95,2020-04-05,2021-04-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,244813fea00f5eb0b78e67bb4e1f067a244813fea00f5eb0b78e67bb4e1f067a
96,ISN000096,35,53,6,InventorySerialNumber starter record 96,2020-04-06,2021-04-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7a04eac0b3b50a3863c809e4ebbfe0eb7a04eac0b3b50a3863c809e4ebbfe0e
97,ISN000097,294,93,1,InventorySerialNumber starter record 97,2020-04-07,2021-04-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa939ac3e1645bf4a900f079eeb66a9aaa939ac3e1645bf4a900f079eeb66a9a
98,ISN000098,336,169,2,InventorySerialNumber starter record 98,2020-04-08,2021-04-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4be6b0a3b6cd5b9a889a2482d61e30bf4be6b0a3b6cd5b9a889a2482d61e30bf
