FiscalPeriodKey,FiscalPeriodCode,FiscalQuarterKey,FiscalPeriodName,SourceSystemKey,BatchId,LoadedAtUtc
100,FP000100,53,Evergreen FiscalPeriod 100,1,1,2026-08-24T00:00:00.000
101,FP000101,37,Vertex FiscalPeriod 101,1,1,2026-08-24T00:00:00.000
102,FP000102,44,Northstar FiscalPeriod 102,1,1,2026-08-24T00:00:00.000
103,FP000103,53,Evergreen FiscalPeriod 103,1,1,2026-08-24T00:00:00.000
104,FP000104,26,Riverton FiscalPeriod 104,1,1,2026-08-24T00:00:00.000
105,FP000105,42,Summit FiscalPeriod 105,1,1,2026-08-24T00:00:00.000
106,FP000106,65,Unity FiscalPeriod 106,1,1,2026-08-24T00:00:00.000
107,FP000107,61,Pioneer FiscalPeriod 107,1,1,2026-08-24T00:00:00.000
108,FP000108,77,Unity FiscalPeriod 108,1,1,2026-08-24T00:00:00.000
109,FP000109,57,Summit FiscalPeriod 109,1,1,2026-08-24T00:00:00.000
110,FP000110,73,Summit FiscalPeriod 110,1,1,2026-08-24T00:00:00.000
111,FP000111,26,Pioneer FiscalPeriod 111,1,1,2026-08-24T00:00:00.000
112,FP000112,15,Titan FiscalPeriod 112,1,1,2026-08-24T00:00:00.000
113,FP000113,51,Orion FiscalPeriod 113,1,1,2026-08-24T00:00:00.000
114,FP000114,70,Liberty FiscalPeriod 114,1,1,2026-08-24T00:00:00.000
115,FP000115,3,Harbor FiscalPeriod 115,1,1,2026-08-24T00:00:00.000
116,FP000116,69,Meridian FiscalPeriod 116,1,1,2026-08-24T00:00:00.000
117,FP000117,8,Northstar FiscalPeriod 117,1,1,2026-08-24T00:00:00.000
118,FP000118,23,Junction FiscalPeriod 118,1,1,2026-08-24T00:00:00.000
119,FP000119,44,Evergreen FiscalPeriod 119,1,1,2026-08-24T00:00:00.000
120,FP000120,79,Junction FiscalPeriod 120,1,1,2026-08-24T00:00:00.000
121,FP000121,7,Vertex FiscalPeriod 121,1,1,2026-08-24T00:00:00.000
122,FP000122,37,Quartz FiscalPeriod 122,1,1,2026-08-24T00:00:00.000
123,FP000123,4,Junction FiscalPeriod 123,1,1,2026-08-24T00:00:00.000
124,FP000124,66,Forge FiscalPeriod 124,1,1,2026-08-24T00:00:00.000
125,FP000125,38,Pioneer FiscalPeriod 125,1,1,2026-08-24T00:00:00.000
126,FP000126,46,Beacon FiscalPeriod 126,1,1,2026-08-24T00:00:00.000
127,FP000127,79,Ion FiscalPeriod 127,1,1,2026-08-24T00:00:00.000
128,FP000128,64,Willow FiscalPeriod 128,1,1,2026-08-24T00:00:00.000
129,FP000129,1,Riverton FiscalPeriod 129,1,1,2026-08-24T00:00:00.000
130,FP000130,39,Titan FiscalPeriod 130,1,1,2026-08-24T00:00:00.000
131,FP000131,67,Titan FiscalPeriod 131,1,1,2026-08-24T00:00:00.000
132,FP000132,76,Titan FiscalPeriod 132,1,1,2026-08-24T00:00:00.000
133,FP000133,26,Riverton FiscalPeriod 133,1,1,2026-08-24T00:00:00.000
134,FP000134,76,Titan FiscalPeriod 134,1,1,2026-08-24T00:00:00.000
135,FP000135,31,Ion FiscalPeriod 135,1,1,2026-08-24T00:00:00.000
136,FP000136,60,Liberty FiscalPeriod 136,1,1,2026-08-24T00:00:00.000
137,FP000137,49,Riverton FiscalPeriod 137,1,1,2026-08-24T00:00:00.000
138,FP000138,23,Riverton FiscalPeriod 138,1,1,2026-08-24T00:00:00.000
139,FP000139,11,Beacon FiscalPeriod 139,1,1,2026-08-24T00:00:00.000
140,FP000140,28,Meridian FiscalPeriod 140,1,1,2026-08-24T00:00:00.000
141,FP000141,2,Atlas FiscalPeriod 141,1,1,2026-08-24T00:00:00.000
142,FP000142,13,Riverton FiscalPeriod 142,1,1,2026-08-24T00:00:00.000
143,FP000143,24,Vertex FiscalPeriod 143,1,1,2026-08-24T00:00:00.000
144,FP000144,47,Vertex FiscalPeriod 144,1,1,2026-08-24T00:00:00.000
145,FP000145,53,Junction FiscalPeriod 145,1,1,2026-08-24T00:00:00.000
146,FP000146,48,Cedar FiscalPeriod 146,1,1,2026-08-24T00:00:00.000
147,FP000147,24,Summit FiscalPeriod 147,1,1,2026-08-24T00:00:00.000
148,FP000148,79,Titan FiscalPeriod 148,1,1,2026-08-24T00:00:00.000
149,FP000149,79,Unity FiscalPeriod 149,1,1,2026-08-24T00:00:00.000
150,FP000150,15,Summit FiscalPeriod 150,1,1,2026-08-24T00:00:00.000
151,FP000151,27,Quartz FiscalPeriod 151,1,1,2026-08-24T00:00:00.000
152,FP000152,6,Northstar FiscalPeriod 152,1,1,2026-08-24T00:00:00.000
153,FP000153,43,Pioneer FiscalPeriod 153,1,1,2026-08-24T00:00:00.000
154,FP000154,51,Titan FiscalPeriod 154,1,1,2026-08-24T00:00:00.000
155,FP000155,57,Pioneer FiscalPeriod 155,1,1,2026-08-24T00:00:00.000
156,FP000156,56,Willow FiscalPeriod 156,1,1,2026-08-24T00:00:00.000
157,FP000157,78,Unity FiscalPeriod 157,1,1,2026-08-24T00:00:00.000
158,FP000158,20,Willow FiscalPeriod 158,1,1,2026-08-24T00:00:00.000
159,FP000159,67,Beacon FiscalPeriod 159,1,1,2026-08-24T00:00:00.000
160,FP000160,53,Delta FiscalPeriod 160,1,1,2026-08-24T00:00:00.000
161,FP000161,6,Meridian FiscalPeriod 161,1,1,2026-08-24T00:00:00.000
162,FP000162,57,Delta FiscalPeriod 162,1,1,2026-08-24T00:00:00.000
163,FP000163,25,Cedar FiscalPeriod 163,1,1,2026-08-24T00:00:00.000
164,FP000164,13,Forge FiscalPeriod 164,1,1,2026-08-24T00:00:00.000
165,FP000165,42,Meridian FiscalPeriod 165,1,1,2026-08-24T00:00:00.000
166,FP000166,23,Atlas FiscalPeriod 166,1,1,2026-08-24T00:00:00.000
167,FP000167,18,Harbor FiscalPeriod 167,1,1,2026-08-24T00:00:00.000
168,FP000168,77,Cedar FiscalPeriod 168,1,1,2026-08-24T00:00:00.000
169,FP000169,58,Ion FiscalPeriod 169,1,1,2026-08-24T00:00:00.000
170,FP000170,12,Evergreen FiscalPeriod 170,1,1,2026-08-24T00:00:00.000
171,FP000171,54,Vertex FiscalPeriod 171,1,1,2026-08-24T00:00:00.000
172,FP000172,73,Forge FiscalPeriod 172,1,1,2026-08-24T00:00:00.000
173,FP000173,19,Zenith FiscalPeriod 173,1,1,2026-08-24T00:00:00.000
174,FP000174,70,Ion FiscalPeriod 174,1,1,2026-08-24T00:00:00.000
175,FP000175,71,Liberty FiscalPeriod 175,1,1,2026-08-24T00:00:00.000
176,FP000176,27,Atlas FiscalPeriod 176,1,1,2026-08-24T00:00:00.000
177,FP000177,18,Delta FiscalPeriod 177,1,1,2026-08-24T00:00:00.000
178,FP000178,46,Ion FiscalPeriod 178,1,1,2026-08-24T00:00:00.000
179,FP000179,13,Beacon FiscalPeriod 179,1,1,2026-08-24T00:00:00.000
180,FP000180,30,Liberty FiscalPeriod 180,1,1,2026-08-24T00:00:00.000
181,FP000181,73,Pioneer FiscalPeriod 181,1,1,2026-08-24T00:00:00.000
182,FP000182,9,Willow FiscalPeriod 182,1,1,2026-08-24T00:00:00.000
183,FP000183,78,Forge FiscalPeriod 183,1,1,2026-08-24T00:00:00.000
184,FP000184,37,Meridian FiscalPeriod 184,1,1,2026-08-24T00:00:00.000
185,FP000185,5,Forge FiscalPeriod 185,1,1,2026-08-24T00:00:00.000
186,FP000186,40,Orion FiscalPeriod 186,1,1,2026-08-24T00:00:00.000
187,FP000187,70,Junction FiscalPeriod 187,1,1,2026-08-24T00:00:00.000
188,FP000188,27,Cedar FiscalPeriod 188,1,1,2026-08-24T00:00:00.000
189,FP000189,22,Delta FiscalPeriod 189,1,1,2026-08-24T00:00:00.000
190,FP000190,44,Northstar FiscalPeriod 190,1,1,2026-08-24T00:00:00.000
191,FP000191,4,Vertex FiscalPeriod 191,1,1,2026-08-24T00:00:00.000
192,FP000192,13,Forge FiscalPeriod 192,1,1,2026-08-24T00:00:00.000
193,FP000193,1,Harbor FiscalPeriod 193,1,1,2026-08-24T00:00:00.000
194,FP000194,50,Summit FiscalPeriod 194,1,1,2026-08-24T00:00:00.000
195,FP000195,28,Unity FiscalPeriod 195,1,1,2026-08-24T00:00:00.000
196,FP000196,54,Junction FiscalPeriod 196,1,1,2026-08-24T00:00:00.000
197,FP000197,25,Unity FiscalPeriod 197,1,1,2026-08-24T00:00:00.000
198,FP000198,67,Titan FiscalPeriod 198,1,1,2026-08-24T00:00:00.000
199,FP000199,22,Granite FiscalPeriod 199,1,1,2026-08-24T00:00:00.000
200,FP000200,16,Meridian FiscalPeriod 200,1,1,2026-08-24T00:00:00.000
201,FP000201,41,Atlas FiscalPeriod 201,1,1,2026-08-24T00:00:00.000
202,FP000202,79,Willow FiscalPeriod 202,1,1,2026-08-24T00:00:00.000
203,FP000203,23,Riverton FiscalPeriod 203,1,1,2026-08-24T00:00:00.000
204,FP000204,56,Evergreen FiscalPeriod 204,1,1,2026-08-24T00:00:00.000
205,FP000205,1,Cedar FiscalPeriod 205,1,1,2026-08-24T00:00:00.000
206,FP000206,40,Junction FiscalPeriod 206,1,1,2026-08-24T00:00:00.000
207,FP000207,49,Junction FiscalPeriod 207,1,1,2026-08-24T00:00:00.000
208,FP000208,77,Titan FiscalPeriod 208,1,1,2026-08-24T00:00:00.000
209,FP000209,4,Riverton FiscalPeriod 209,1,1,2026-08-24T00:00:00.000
210,FP000210,47,Zenith FiscalPeriod 210,1,1,2026-08-24T00:00:00.000
211,FP000211,41,Beacon FiscalPeriod 211,1,1,2026-08-24T00:00:00.000
212,FP000212,17,Beacon FiscalPeriod 212,1,1,2026-08-24T00:00:00.000
213,FP000213,70,Forge FiscalPeriod 213,1,1,2026-08-24T00:00:00.000
214,FP000214,21,Unity FiscalPeriod 214,1,1,2026-08-24T00:00:00.000
215,FP000215,44,Riverton FiscalPeriod 215,1,1,2026-08-24T00:00:00.000
216,FP000216,19,Riverton FiscalPeriod 216,1,1,2026-08-24T00:00:00.000
217,FP000217,11,Zenith FiscalPeriod 217,1,1,2026-08-24T00:00:00.000
218,FP000218,45,Riverton FiscalPeriod 218,1,1,2026-08-24T00:00:00.000
219,FP000219,51,Willow FiscalPeriod 219,1,1,2026-08-24T00:00:00.000
220,FP000220,47,Riverton FiscalPeriod 220,1,1,2026-08-24T00:00:00.000
221,FP000221,8,Harbor FiscalPeriod 221,1,1,2026-08-24T00:00:00.000
222,FP000222,20,Zenith FiscalPeriod 222,1,1,2026-08-24T00:00:00.000
223,FP000223,40,Cedar FiscalPeriod 223,1,1,2026-08-24T00:00:00.000
224,FP000224,78,Orion FiscalPeriod 224,1,1,2026-08-24T00:00:00.000
225,FP000225,27,Granite FiscalPeriod 225,1,1,2026-08-24T00:00:00.000
226,FP000226,23,Beacon FiscalPeriod 226,1,1,2026-08-24T00:00:00.000
227,FP000227,21,Ion FiscalPeriod 227,1,1,2026-08-24T00:00:00.000
228,FP000228,64,Evergreen FiscalPeriod 228,1,1,2026-08-24T00:00:00.000
229,FP000229,75,Evergreen FiscalPeriod 229,1,1,2026-08-24T00:00:00.000
230,FP000230,40,Keystone FiscalPeriod 230,1,1,2026-08-24T00:00:00.000
231,FP000231,42,Forge FiscalPeriod 231,1,1,2026-08-24T00:00:00.000
232,FP000232,4,Riverton FiscalPeriod 232,1,1,2026-08-24T00:00:00.000
233,FP000233,70,Delta FiscalPeriod 233,1,1,2026-08-24T00:00:00.000
234,FP000234,29,Meridian FiscalPeriod 234,1,1,2026-08-24T00:00:00.000
235,FP000235,72,Keystone FiscalPeriod 235,1,1,2026-08-24T00:00:00.000
236,FP000236,5,Harbor FiscalPeriod 236,1,1,2026-08-24T00:00:00.000
237,FP000237,76,Vertex FiscalPeriod 237,1,1,2026-08-24T00:00:00.000
238,FP000238,64,Harbor FiscalPeriod 238,1,1,2026-08-24T00:00:00.000
239,FP000239,66,Meridian FiscalPeriod 239,1,1,2026-08-24T00:00:00.000
240,FP000240,25,Quartz FiscalPeriod 240,1,1,2026-08-24T00:00:00.000
241,FP000241,43,Liberty FiscalPeriod 241,1,1,2026-08-24T00:00:00.000
242,FP000242,13,Willow FiscalPeriod 242,1,1,2026-08-24T00:00:00.000
243,FP000243,65,Granite FiscalPeriod 243,1,1,2026-08-24T00:00:00.000
244,FP000244,1,Pioneer FiscalPeriod 244,1,1,2026-08-24T00:00:00.000
245,FP000245,41,Titan FiscalPeriod 245,1,1,2026-08-24T00:00:00.000
246,FP000246,24,Beacon FiscalPeriod 246,1,1,2026-08-24T00:00:00.000
247,FP000247,24,Orion FiscalPeriod 247,1,1,2026-08-24T00:00:00.000
248,FP000248,3,Unity FiscalPeriod 248,1,1,2026-08-24T00:00:00.000
249,FP000249,46,Zenith FiscalPeriod 249,1,1,2026-08-24T00:00:00.000
250,FP000250,20,Quartz FiscalPeriod 250,1,1,2026-08-24T00:00:00.000
251,FP000251,64,Northstar FiscalPeriod 251,1,1,2026-08-24T00:00:00.000
252,FP000252,64,Cedar FiscalPeriod 252,1,1,2026-08-24T00:00:00.000
253,FP000253,25,Granite FiscalPeriod 253,1,1,2026-08-24T00:00:00.000
254,FP000254,30,Cedar FiscalPeriod 254,1,1,2026-08-24T00:00:00.000
255,FP000255,9,Harbor FiscalPeriod 255,1,1,2026-08-24T00:00:00.000
256,FP000256,39,Orion FiscalPeriod 256,1,1,2026-08-24T00:00:00.000
257,FP000257,48,Forge FiscalPeriod 257,1,1,2026-08-24T00:00:00.000
258,FP000258,21,Forge FiscalPeriod 258,1,1,2026-08-24T00:00:00.000
259,FP000259,75,Beacon FiscalPeriod 259,1,1,2026-08-24T00:00:00.000
260,FP000260,51,Liberty FiscalPeriod 260,1,1,2026-08-24T00:00:00.000
