MachineStateKey,MachineStateCode,MachineStateReasonKey,MachineStateTypeKey,MachineStateName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc
29,MS000029,131,4,Riverton MachineState 29,MS000029,1,49.7300,1,1,2026-08-24T00:00:00.000
30,MS000030,467,8,Northstar MachineState 30,MS000030,0,51.1000,1,1,2026-08-24T00:00:00.000
31,MS000031,50,8,Junction MachineState 31,MS000031,1,52.4700,1,1,2026-08-24T00:00:00.000
32,MS000032,466,10,Evergreen MachineState 32,MS000032,1,53.8400,1,1,2026-08-24T00:00:00.000
33,MS000033,373,11,Delta MachineState 33,MS000033,1,55.2100,1,1,2026-08-24T00:00:00.000
34,MS000034,329,9,Delta MachineState 34,MS000034,1,56.5800,1,1,2026-08-24T00:00:00.000
35,MS000035,77,1,Titan MachineState 35,MS000035,0,57.9500,1,1,2026-08-24T00:00:00.000
36,MS000036,45,2,Willow MachineState 36,MS000036,1,59.3200,1,1,2026-08-24T00:00:00.000
37,MS000037,40,1,Pioneer MachineState 37,MS000037,1,60.6900,1,1,2026-08-24T00:00:00.000
38,MS000038,279,10,Atlas MachineState 38,MS000038,1,62.0600,1,1,2026-08-24T00:00:00.000
39,MS000039,270,7,Granite MachineState 39,MS000039,1,63.4300,1,1,2026-08-24T00:00:00.000
40,MS000040,43,5,Harbor MachineState 40,MS000040,0,64.8000,1,1,2026-08-24T00:00:00.000
41,MS000041,139,5,Unity MachineState 41,MS000041,1,66.1700,1,1,2026-08-24T00:00:00.000
42,MS000042,263,2,Beacon MachineState 42,MS000042,1,67.5400,1,1,2026-08-24T00:00:00.000
43,MS000043,346,9,Beacon MachineState 43,MS000043,1,68.9100,1,1,2026-08-24T00:00:00.000
44,MS000044,252,11,Willow MachineState 44,MS000044,1,70.2800,1,1,2026-08-24T00:00:00.000
45,MS000045,280,6,Riverton MachineState 45,MS000045,0,71.6500,1,1,2026-08-24T00:00:00.000
46,MS000046,73,12,Atlas MachineState 46,MS000046,1,73.0200,1,1,2026-08-24T00:00:00.000
47,MS000047,296,1,Pioneer MachineState 47,MS000047,1,74.3900,1,1,2026-08-24T00:00:00.000
48,MS000048,166,8,Ion MachineState 48,MS000048,1,75.7600,1,1,2026-08-24T00:00:00.000
49,MS000049,372,7,Northstar MachineState 49,MS000049,1,77.1300,1,1,2026-08-24T00:00:00.000
50,MS000050,180,3,Orion MachineState 50,MS000050,0,78.5000,1,1,2026-08-24T00:00:00.000
51,MS000051,231,4,Delta MachineState 51,MS000051,1,79.8700,1,1,2026-08-24T00:00:00.000
52,MS000052,408,12,Delta MachineState 52,MS000052,1,81.2400,1,1,2026-08-24T00:00:00.000
53,MS000053,288,12,Titan MachineState 53,MS000053,1,82.6100,1,1,2026-08-24T00:00:00.000
54,MS000054,39,1,Unity MachineState 54,MS000054,1,83.9800,1,1,2026-08-24T00:00:00.000
55,MS000055,285,11,Beacon MachineState 55,MS000055,0,85.3500,1,1,2026-08-24T00:00:00.000
56,MS000056,131,5,Granite MachineState 56,MS000056,1,86.7200,1,1,2026-08-24T00:00:00.000
57,MS000057,103,2,Willow MachineState 57,MS000057,1,88.0900,1,1,2026-08-24T00:00:00.000
58,MS000058,309,8,Cedar MachineState 58,MS000058,1,89.4600,1,1,2026-08-24T00:00:00.000
59,MS000059,315,7,Atlas MachineState 59,MS000059,1,90.8300,1,1,2026-08-24T00:00:00.000
60,MS000060,92,2,Willow MachineState 60,MS000060,0,92.2000,1,1,2026-08-24T00:00:00.000
61,MS000061,424,12,Forge MachineState 61,MS000061,1,93.5700,1,1,2026-08-24T00:00:00.000
62,MS000062,341,2,Evergreen MachineState 62,MS000062,1,94.9400,1,1,2026-08-24T00:00:00.000
63,MS000063,436,12,Keystone MachineState 63,MS000063,1,96.3100,1,1,2026-08-24T00:00:00.000
64,MS000064,157,1,Atlas MachineState 64,MS000064,1,97.6800,1,1,2026-08-24T00:00:00.000
65,MS000065,311,11,Summit MachineState 65,MS000065,0,99.0500,1,1,2026-08-24T00:00:00.000
66,MS000066,198,10,Pioneer MachineState 66,MS000066,1,100.4200,1,1,2026-08-24T00:00:00.000
67,MS000067,261,9,Harbor MachineState 67,MS000067,1,101.7900,1,1,2026-08-24T00:00:00.000
68,MS000068,100,1,Northstar MachineState 68,MS000068,1,103.1600,1,1,2026-08-24T00:00:00.000
69,MS000069,67,10,Cedar MachineState 69,MS000069,1,104.5300,1,1,2026-08-24T00:00:00.000
70,MS000070,4,12,Cedar MachineState 70,MS000070,0,105.9000,1,1,2026-08-24T00:00:00.000
71,MS000071,218,11,Evergreen MachineState 71,MS000071,1,107.2700,1,1,2026-08-24T00:00:00.000
72,MS000072,178,7,Junction MachineState 72,MS000072,1,108.6400,1,1,2026-08-24T00:00:00.000
73,MS000073,355,6,Cedar MachineState 73,MS000073,1,110.0100,1,1,2026-08-24T00:00:00.000
74,MS000074,311,4,Granite MachineState 74,MS000074,1,111.3800,1,1,2026-08-24T00:00:00.000
75,MS000075,130,6,Orion MachineState 75,MS000075,0,112.7500,1,1,2026-08-24T00:00:00.000
76,MS000076,279,9,Meridian MachineState 76,MS000076,1,114.1200,1,1,2026-08-24T00:00:00.000
77,MS000077,461,6,Willow MachineState 77,MS000077,1,115.4900,1,1,2026-08-24T00:00:00.000
78,MS000078,337,10,Forge MachineState 78,MS000078,1,116.8600,1,1,2026-08-24T00:00:00.000
79,MS000079,257,11,Forge MachineState 79,MS000079,1,118.2300,1,1,2026-08-24T00:00:00.000
80,MS000080,14,3,Orion MachineState 80,MS000080,0,119.6000,1,1,2026-08-24T00:00:00.000
81,MS000081,299,5,Meridian MachineState 81,MS000081,1,120.9700,1,1,2026-08-24T00:00:00.000
82,MS000082,345,4,Quartz MachineState 82,MS000082,1,122.3400,1,1,2026-08-24T00:00:00.000
83,MS000083,405,6,Delta MachineState 83,MS000083,1,123.7100,1,1,2026-08-24T00:00:00.000
84,MS000084,1,4,Forge MachineState 84,MS000084,1,125.0800,1,1,2026-08-24T00:00:00.000
85,MS000085,364,5,Forge MachineState 85,MS000085,0,126.4500,1,1,2026-08-24T00:00:00.000
86,MS000086,64,5,Northstar MachineState 86,MS000086,1,127.8200,1,1,2026-08-24T00:00:00.000
87,MS000087,265,7,Vertex MachineState 87,MS000087,1,129.1900,1,1,2026-08-24T00:00:00.000
88,MS000088,386,8,Keystone MachineState 88,MS000088,1,130.5600,1,1,2026-08-24T00:00:00.000
89,MS000089,394,10,Orion MachineState 89,MS000089,1,131.9300,1,1,2026-08-24T00:00:00.000
90,MS000090,300,8,Quartz MachineState 90,MS000090,0,133.3000,1,1,2026-08-24T00:00:00.000
91,MS000091,2,12,Pioneer MachineState 91,MS000091,1,134.6700,1,1,2026-08-24T00:00:00.000
92,MS000092,488,10,Granite MachineState 92,MS000092,1,136.0400,1,1,2026-08-24T00:00:00.000
93,MS000093,85,2,Summit MachineState 93,MS000093,1,137.4100,1,1,2026-08-24T00:00:00.000
94,MS000094,431,3,Granite MachineState 94,MS000094,1,138.7800,1,1,2026-08-24T00:00:00.000
95,MS000095,248,2,Northstar MachineState 95,MS000095,0,140.1500,1,1,2026-08-24T00:00:00.000
96,MS000096,201,4,Quartz MachineState 96,MS000096,1,141.5200,1,1,2026-08-24T00:00:00.000
97,MS000097,441,4,Riverton MachineState 97,MS000097,1,142.8900,1,1,2026-08-24T00:00:00.000
98,MS000098,82,2,Ion MachineState 98,MS000098,1,144.2600,1,1,2026-08-24T00:00:00.000
99,MS000099,3,10,Atlas MachineState 99,MS000099,1,145.6300,1,1,2026-08-24T00:00:00.000
100,MS000100,443,5,Riverton MachineState 100,MS000100,0,147.0000,1,1,2026-08-24T00:00:00.000
101,MS000101,446,9,Summit MachineState 101,MS000101,1,148.3700,1,1,2026-08-24T00:00:00.000
102,MS000102,456,12,Cedar MachineState 102,MS000102,1,149.7400,1,1,2026-08-24T00:00:00.000
103,MS000103,400,10,Keystone MachineState 103,MS000103,1,151.1100,1,1,2026-08-24T00:00:00.000
104,MS000104,381,10,Granite MachineState 104,MS000104,1,152.4800,1,1,2026-08-24T00:00:00.000
105,MS000105,330,9,Vertex MachineState 105,MS000105,0,153.8500,1,1,2026-08-24T00:00:00.000
106,MS000106,182,4,Cedar MachineState 106,MS000106,1,155.2200,1,1,2026-08-24T00:00:00.000
107,MS000107,113,5,Vertex MachineState 107,MS000107,1,156.5900,1,1,2026-08-24T00:00:00.000
108,MS000108,365,2,Titan MachineState 108,MS000108,1,157.9600,1,1,2026-08-24T00:00:00.000
109,MS000109,33,7,Junction MachineState 109,MS000109,1,159.3300,1,1,2026-08-24T00:00:00.000
110,MS000110,421,11,Harbor MachineState 110,MS000110,0,160.7000,1,1,2026-08-24T00:00:00.000
111,MS000111,13,7,Titan MachineState 111,MS000111,1,162.0700,1,1,2026-08-24T00:00:00.000
112,MS000112,224,6,Granite MachineState 112,MS000112,1,163.4400,1,1,2026-08-24T00:00:00.000
113,MS000113,77,11,Atlas MachineState 113,MS000113,1,164.8100,1,1,2026-08-24T00:00:00.000
114,MS000114,233,5,Summit MachineState 114,MS000114,1,166.1800,1,1,2026-08-24T00:00:00.000
115,MS000115,172,12,Meridian MachineState 115,MS000115,0,167.5500,1,1,2026-08-24T00:00:00.000
116,MS000116,231,11,Willow MachineState 116,MS000116,1,168.9200,1,1,2026-08-24T00:00:00.000
117,MS000117,168,10,Atlas MachineState 117,MS000117,1,170.2900,1,1,2026-08-24T00:00:00.000
118,MS000118,428,5,Pioneer MachineState 118,MS000118,1,171.6600,1,1,2026-08-24T00:00:00.000
119,MS000119,381,2,Northstar MachineState 119,MS000119,1,173.0300,1,1,2026-08-24T00:00:00.000
120,MS000120,469,5,Willow MachineState 120,MS000120,0,174.4000,1,1,2026-08-24T00:00:00.000
121,MS000121,49,7,Ion MachineState 121,MS000121,1,175.7700,1,1,2026-08-24T00:00:00.000
122,MS000122,377,2,Evergreen MachineState 122,MS000122,1,177.1400,1,1,2026-08-24T00:00:00.000
123,MS000123,295,3,Cedar MachineState 123,MS000123,1,178.5100,1,1,2026-08-24T00:00:00.000
124,MS000124,339,10,Atlas MachineState 124,MS000124,1,179.8800,1,1,2026-08-24T00:00:00.000
125,MS000125,361,9,Willow MachineState 125,MS000125,0,181.2500,1,1,2026-08-24T00:00:00.000
126,MS000126,226,5,Harbor MachineState 126,MS000126,1,182.6200,1,1,2026-08-24T00:00:00.000
127,MS000127,395,7,Summit MachineState 127,MS000127,1,183.9900,1,1,2026-08-24T00:00:00.000
128,MS000128,378,6,Cedar MachineState 128,MS000128,1,185.3600,1,1,2026-08-24T00:00:00.000
129,MS000129,268,8,Cedar MachineState 129,MS000129,1,186.7300,1,1,2026-08-24T00:00:00.000
130,MS000130,399,5,Evergreen MachineState 130,MS000130,0,188.1000,1,1,2026-08-24T00:00:00.000
131,MS000131,385,1,Delta MachineState 131,MS000131,1,189.4700,1,1,2026-08-24T00:00:00.000
132,MS000132,125,12,Pioneer MachineState 132,MS000132,1,190.8400,1,1,2026-08-24T00:00:00.000
133,MS000133,105,8,Riverton MachineState 133,MS000133,1,192.2100,1,1,2026-08-24T00:00:00.000
134,MS000134,324,10,Willow MachineState 134,MS000134,1,193.5800,1,1,2026-08-24T00:00:00.000
135,MS000135,317,8,Meridian MachineState 135,MS000135,0,194.9500,1,1,2026-08-24T00:00:00.000
136,MS000136,451,11,Liberty MachineState 136,MS000136,1,196.3200,1,1,2026-08-24T00:00:00.000
137,MS000137,437,6,Pioneer MachineState 137,MS000137,1,197.6900,1,1,2026-08-24T00:00:00.000
138,MS000138,305,4,Pioneer MachineState 138,MS000138,1,199.0600,1,1,2026-08-24T00:00:00.000
139,MS000139,268,3,Beacon MachineState 139,MS000139,1,200.4300,1,1,2026-08-24T00:00:00.000
140,MS000140,270,1,Pioneer MachineState 140,MS000140,0,201.8000,1,1,2026-08-24T00:00:00.000
141,MS000141,27,3,Summit MachineState 141,MS000141,1,203.1700,1,1,2026-08-24T00:00:00.000
142,MS000142,270,5,Unity MachineState 142,MS000142,1,204.5400,1,1,2026-08-24T00:00:00.000
143,MS000143,361,6,Meridian MachineState 143,MS000143,1,205.9100,1,1,2026-08-24T00:00:00.000
144,MS000144,202,6,Cedar MachineState 144,MS000144,1,207.2800,1,1,2026-08-24T00:00:00.000
145,MS000145,339,3,Harbor MachineState 145,MS000145,0,208.6500,1,1,2026-08-24T00:00:00.000
146,MS000146,162,10,Harbor MachineState 146,MS000146,1,210.0200,1,1,2026-08-24T00:00:00.000
147,MS000147,5,6,Zenith MachineState 147,MS000147,1,211.3900,1,1,2026-08-24T00:00:00.000
148,MS000148,147,6,Evergreen MachineState 148,MS000148,1,212.7600,1,1,2026-08-24T00:00:00.000
149,MS000149,85,5,Keystone MachineState 149,MS000149,1,214.1300,1,1,2026-08-24T00:00:00.000
150,MS000150,452,3,Keystone MachineState 150,MS000150,0,215.5000,1,1,2026-08-24T00:00:00.000
151,MS000151,204,10,Cedar MachineState 151,MS000151,1,216.8700,1,1,2026-08-24T00:00:00.000
152,MS000152,367,5,Harbor MachineState 152,MS000152,1,218.2400,1,1,2026-08-24T00:00:00.000
153,MS000153,88,3,Forge MachineState 153,MS000153,1,219.6100,1,1,2026-08-24T00:00:00.000
154,MS000154,329,10,Willow MachineState 154,MS000154,1,220.9800,1,1,2026-08-24T00:00:00.000
155,MS000155,491,3,Keystone MachineState 155,MS000155,0,222.3500,1,1,2026-08-24T00:00:00.000
156,MS000156,436,1,Summit MachineState 156,MS000156,1,223.7200,1,1,2026-08-24T00:00:00.000
157,MS000157,358,8,Harbor MachineState 157,MS000157,1,225.0900,1,1,2026-08-24T00:00:00.000
158,MS000158,157,6,Vertex MachineState 158,MS000158,1,226.4600,1,1,2026-08-24T00:00:00.000
159,MS000159,167,3,Delta MachineState 159,MS000159,1,227.8300,1,1,2026-08-24T00:00:00.000
160,MS000160,355,2,Junction MachineState 160,MS000160,0,229.2000,1,1,2026-08-24T00:00:00.000
161,MS000161,249,8,Pioneer MachineState 161,MS000161,1,230.5700,1,1,2026-08-24T00:00:00.000
162,MS000162,263,2,Orion MachineState 162,MS000162,1,231.9400,1,1,2026-08-24T00:00:00.000
163,MS000163,410,11,Forge MachineState 163,MS000163,1,233.3100,1,1,2026-08-24T00:00:00.000
164,MS000164,454,5,Ion MachineState 164,MS000164,1,234.6800,1,1,2026-08-24T00:00:00.000
165,MS000165,112,12,Orion MachineState 165,MS000165,0,236.0500,1,1,2026-08-24T00:00:00.000
166,MS000166,385,7,Willow MachineState 166,MS000166,1,237.4200,1,1,2026-08-24T00:00:00.000
167,MS000167,238,10,Northstar MachineState 167,MS000167,1,238.7900,1,1,2026-08-24T00:00:00.000
168,MS000168,249,8,Meridian MachineState 168,MS000168,1,240.1600,1,1,2026-08-24T00:00:00.000
169,MS000169,372,6,Liberty MachineState 169,MS000169,1,241.5300,1,1,2026-08-24T00:00:00.000
170,MS000170,79,6,Forge MachineState 170,MS000170,0,242.9000,1,1,2026-08-24T00:00:00.000
171,MS000171,174,3,Ion MachineState 171,MS000171,1,244.2700,1,1,2026-08-24T00:00:00.000
172,MS000172,474,1,Unity MachineState 172,MS000172,1,245.6400,1,1,2026-08-24T00:00:00.000
173,MS000173,378,5,Delta MachineState 173,MS000173,1,247.0100,1,1,2026-08-24T00:00:00.000
174,MS000174,180,8,Titan MachineState 174,MS000174,1,248.3800,1,1,2026-08-24T00:00:00.000
175,MS000175,339,11,Pioneer MachineState 175,MS000175,0,249.7500,1,1,2026-08-24T00:00:00.000
176,MS000176,298,6,Beacon MachineState 176,MS000176,1,251.1200,1,1,2026-08-24T00:00:00.000
177,MS000177,34,1,Ion MachineState 177,MS000177,1,252.4900,1,1,2026-08-24T00:00:00.000
178,MS000178,219,8,Beacon MachineState 178,MS000178,1,253.8600,1,1,2026-08-24T00:00:00.000
179,MS000179,230,8,Vertex MachineState 179,MS000179,1,255.2300,1,1,2026-08-24T00:00:00.000
180,MS000180,99,9,Atlas MachineState 180,MS000180,0,256.6000,1,1,2026-08-24T00:00:00.000
181,MS000181,476,12,Junction MachineState 181,MS000181,1,257.9700,1,1,2026-08-24T00:00:00.000
182,MS000182,179,4,Quartz MachineState 182,MS000182,1,259.3400,1,1,2026-08-24T00:00:00.000
183,MS000183,396,4,Summit MachineState 183,MS000183,1,260.7100,1,1,2026-08-24T00:00:00.000
184,MS000184,120,8,Liberty MachineState 184,MS000184,1,262.0800,1,1,2026-08-24T00:00:00.000
185,MS000185,168,4,Ion MachineState 185,MS000185,0,263.4500,1,1,2026-08-24T00:00:00.000
186,MS000186,4,10,Northstar MachineState 186,MS000186,1,264.8200,1,1,2026-08-24T00:00:00.000
187,MS000187,386,3,Cedar MachineState 187,MS000187,1,266.1900,1,1,2026-08-24T00:00:00.000
188,MS000188,42,7,Pioneer MachineState 188,MS000188,1,267.5600,1,1,2026-08-24T00:00:00.000
189,MS000189,119,6,Orion MachineState 189,MS000189,1,268.9300,1,1,2026-08-24T00:00:00.000
190,MS000190,2,2,Granite MachineState 190,MS000190,0,270.3000,1,1,2026-08-24T00:00:00.000
191,MS000191,450,11,Quartz MachineState 191,MS000191,1,271.6700,1,1,2026-08-24T00:00:00.000
192,MS000192,315,5,Beacon MachineState 192,MS000192,1,273.0400,1,1,2026-08-24T00:00:00.000
193,MS000193,82,7,Titan MachineState 193,MS000193,1,274.4100,1,1,2026-08-24T00:00:00.000
194,MS000194,104,9,Pioneer MachineState 194,MS000194,1,275.7800,1,1,2026-08-24T00:00:00.000
195,MS000195,358,10,Summit MachineState 195,MS000195,0,277.1500,1,1,2026-08-24T00:00:00.000
196,MS000196,473,4,Summit MachineState 196,MS000196,1,278.5200,1,1,2026-08-24T00:00:00.000
197,MS000197,444,12,Meridian MachineState 197,MS000197,1,279.8900,1,1,2026-08-24T00:00:00.000
198,MS000198,143,7,Willow MachineState 198,MS000198,1,281.2600,1,1,2026-08-24T00:00:00.000
199,MS000199,54,11,Summit MachineState 199,MS000199,1,282.6300,1,1,2026-08-24T00:00:00.000
200,MS000200,398,11,Evergreen MachineState 200,MS000200,0,284.0000,1,1,2026-08-24T00:00:00.000
201,MS000201,77,2,Junction MachineState 201,MS000201,1,285.3700,1,1,2026-08-24T00:00:00.000
202,MS000202,110,1,Northstar MachineState 202,MS000202,1,286.7400,1,1,2026-08-24T00:00:00.000
203,MS000203,232,6,Unity MachineState 203,MS000203,1,288.1100,1,1,2026-08-24T00:00:00.000
204,MS000204,119,1,Liberty MachineState 204,MS000204,1,289.4800,1,1,2026-08-24T00:00:00.000
205,MS000205,193,1,Harbor MachineState 205,MS000205,0,290.8500,1,1,2026-08-24T00:00:00.000
206,MS000206,146,6,Summit MachineState 206,MS000206,1,292.2200,1,1,2026-08-24T00:00:00.000
207,MS000207,339,12,Forge MachineState 207,MS000207,1,293.5900,1,1,2026-08-24T00:00:00.000
208,MS000208,231,7,Ion MachineState 208,MS000208,1,294.9600,1,1,2026-08-24T00:00:00.000
209,MS000209,229,5,Forge MachineState 209,MS000209,1,296.3300,1,1,2026-08-24T00:00:00.000
210,MS000210,21,9,Atlas MachineState 210,MS000210,0,297.7000,1,1,2026-08-24T00:00:00.000
211,MS000211,480,12,Riverton MachineState 211,MS000211,1,299.0700,1,1,2026-08-24T00:00:00.000
212,MS000212,206,9,Cedar MachineState 212,MS000212,1,300.4400,1,1,2026-08-24T00:00:00.000
213,MS000213,184,6,Unity MachineState 213,MS000213,1,301.8100,1,1,2026-08-24T00:00:00.000
214,MS000214,202,11,Pioneer MachineState 214,MS000214,1,303.1800,1,1,2026-08-24T00:00:00.000
215,MS000215,485,4,Delta MachineState 215,MS000215,0,304.5500,1,1,2026-08-24T00:00:00.000
216,MS000216,259,9,Pioneer MachineState 216,MS000216,1,305.9200,1,1,2026-08-24T00:00:00.000
217,MS000217,124,12,Titan MachineState 217,MS000217,1,307.2900,1,1,2026-08-24T00:00:00.000
218,MS000218,392,1,Ion MachineState 218,MS000218,1,308.6600,1,1,2026-08-24T00:00:00.000
219,MS000219,110,12,Northstar MachineState 219,MS000219,1,310.0300,1,1,2026-08-24T00:00:00.000
220,MS000220,14,9,Granite MachineState 220,MS000220,0,311.4000,1,1,2026-08-24T00:00:00.000
221,MS000221,440,6,Evergreen MachineState 221,MS000221,1,312.7700,1,1,2026-08-24T00:00:00.000
222,MS000222,337,1,Zenith MachineState 222,MS000222,1,314.1400,1,1,2026-08-24T00:00:00.000
223,MS000223,442,6,Junction MachineState 223,MS000223,1,315.5100,1,1,2026-08-24T00:00:00.000
224,MS000224,79,9,Liberty MachineState 224,MS000224,1,316.8800,1,1,2026-08-24T00:00:00.000
225,MS000225,122,3,Evergreen MachineState 225,MS000225,0,318.2500,1,1,2026-08-24T00:00:00.000
226,MS000226,131,12,Quartz MachineState 226,MS000226,1,319.6200,1,1,2026-08-24T00:00:00.000
227,MS000227,270,1,Titan MachineState 227,MS000227,1,320.9900,1,1,2026-08-24T00:00:00.000
228,MS000228,14,6,Quartz MachineState 228,MS000228,1,322.3600,1,1,2026-08-24T00:00:00.000
229,MS000229,429,7,Riverton MachineState 229,MS000229,1,323.7300,1,1,2026-08-24T00:00:00.000
230,MS000230,181,9,Quartz MachineState 230,MS000230,0,325.1000,1,1,2026-08-24T00:00:00.000
231,MS000231,205,5,Delta MachineState 231,MS000231,1,326.4700,1,1,2026-08-24T00:00:00.000
232,MS000232,342,6,Pioneer MachineState 232,MS000232,1,327.8400,1,1,2026-08-24T00:00:00.000
233,MS000233,216,11,Granite MachineState 233,MS000233,1,329.2100,1,1,2026-08-24T00:00:00.000
234,MS000234,41,3,Meridian MachineState 234,MS000234,1,330.5800,1,1,2026-08-24T00:00:00.000
235,MS000235,83,10,Granite MachineState 235,MS000235,0,331.9500,1,1,2026-08-24T00:00:00.000
236,MS000236,59,9,Vertex MachineState 236,MS000236,1,333.3200,1,1,2026-08-24T00:00:00.000
237,MS000237,437,5,Junction MachineState 237,MS000237,1,334.6900,1,1,2026-08-24T00:00:00.000
238,MS000238,124,5,Forge MachineState 238,MS000238,1,336.0600,1,1,2026-08-24T00:00:00.000
239,MS000239,310,4,Harbor MachineState 239,MS000239,1,337.4300,1,1,2026-08-24T00:00:00.000
240,MS000240,199,9,Zenith MachineState 240,MS000240,0,338.8000,1,1,2026-08-24T00:00:00.000
241,MS000241,433,4,Forge MachineState 241,MS000241,1,340.1700,1,1,2026-08-24T00:00:00.000
242,MS000242,302,5,Unity MachineState 242,MS000242,1,341.5400,1,1,2026-08-24T00:00:00.000
243,MS000243,180,8,Vertex MachineState 243,MS000243,1,342.9100,1,1,2026-08-24T00:00:00.000
244,MS000244,330,6,Cedar MachineState 244,MS000244,1,344.2800,1,1,2026-08-24T00:00:00.000
245,MS000245,337,4,Keystone MachineState 245,MS000245,0,345.6500,1,1,2026-08-24T00:00:00.000
246,MS000246,12,3,Ion MachineState 246,MS000246,1,347.0200,1,1,2026-08-24T00:00:00.000
247,MS000247,265,8,Granite MachineState 247,MS000247,1,348.3900,1,1,2026-08-24T00:00:00.000
248,MS000248,418,5,Harbor MachineState 248,MS000248,1,349.7600,1,1,2026-08-24T00:00:00.000
249,MS000249,106,7,Summit MachineState 249,MS000249,1,351.1300,1,1,2026-08-24T00:00:00.000
250,MS000250,15,6,Northstar MachineState 250,MS000250,0,352.5000,1,1,2026-08-24T00:00:00.000
251,MS000251,443,3,Junction MachineState 251,MS000251,1,353.8700,1,1,2026-08-24T00:00:00.000
252,MS000252,177,6,Keystone MachineState 252,MS000252,1,355.2400,1,1,2026-08-24T00:00:00.000
253,MS000253,308,12,Meridian MachineState 253,MS000253,1,356.6100,1,1,2026-08-24T00:00:00.000
254,MS000254,220,8,Willow MachineState 254,MS000254,1,357.9800,1,1,2026-08-24T00:00:00.000
255,MS000255,148,8,Summit MachineState 255,MS000255,0,359.3500,1,1,2026-08-24T00:00:00.000
256,MS000256,308,1,Cedar MachineState 256,MS000256,1,360.7200,1,1,2026-08-24T00:00:00.000
257,MS000257,395,9,Willow MachineState 257,MS000257,1,362.0900,1,1,2026-08-24T00:00:00.000
258,MS000258,11,2,Meridian MachineState 258,MS000258,1,363.4600,1,1,2026-08-24T00:00:00.000
259,MS000259,412,11,Summit MachineState 259,MS000259,1,364.8300,1,1,2026-08-24T00:00:00.000
260,MS000260,399,2,Meridian MachineState 260,MS000260,0,366.2000,1,1,2026-08-24T00:00:00.000
261,MS000261,176,7,Orion MachineState 261,MS000261,1,367.5700,1,1,2026-08-24T00:00:00.000
