EnergyUtilityAccountKey,UtilityAccountNumber,PlantKey,UtilityProviderSupplierKey,CostCenterKey,EnergyUtilityAccountStatusKey,CurrencyKey,UtilityAccountName,BillingCycleCode,IsInternalAccount,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
25,EUA000025,20,265,328,1,1,Riverton EnergyUtilityAccount 25,EUA000025,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,494026f0d5b45e3dbd08a42232b9acdf494026f0d5b45e3dbd08a42232b9acdf
26,EUA000026,226,340,343,1,5,Titan EnergyUtilityAccount 26,EUA000026,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b198f7dc48245618b1de6b1039b9278cb198f7dc48245618b1de6b1039b9278c
27,EUA000027,87,226,376,6,1,Meridian EnergyUtilityAccount 27,EUA000027,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d97876d68e958258c5a36afd7aa38304d97876d68e958258c5a36afd7aa3830
28,EUA000028,276,113,51,1,2,Meridian EnergyUtilityAccount 28,EUA000028,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,afcd4845928a5d9c817559d617831468afcd4845928a5d9c817559d617831468
29,EUA000029,129,134,192,4,1,Cedar EnergyUtilityAccount 29,EUA000029,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,306118fd15e55a6ba04f6fcb3410e876306118fd15e55a6ba04f6fcb3410e876
30,EUA000030,259,168,423,3,1,Meridian EnergyUtilityAccount 30,EUA000030,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ece06b5f035d57fc89d9c5eb68590968ece06b5f035d57fc89d9c5eb68590968
31,EUA000031,137,317,28,1,3,Vertex EnergyUtilityAccount 31,EUA000031,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d67297cb226959f6a78e04ec66c3895fd67297cb226959f6a78e04ec66c3895f
32,EUA000032,136,106,444,4,2,Keystone EnergyUtilityAccount 32,EUA000032,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7efd1f9f8a8057e68d90ea428e48fa7f7efd1f9f8a8057e68d90ea428e48fa7f
33,EUA000033,96,364,485,2,2,Orion EnergyUtilityAccount 33,EUA000033,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,015e273298df5854b45088dd869f1e11015e273298df5854b45088dd869f1e11
34,EUA000034,179,-1,-1,6,5,Liberty EnergyUtilityAccount 34,EUA000034,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,370902c8ac2d5f1d81b6b9429c6b8c52370902c8ac2d5f1d81b6b9429c6b8c52
35,EUA000035,10,303,288,5,1,Delta EnergyUtilityAccount 35,EUA000035,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6fa10818500750899507caf3bdb75ab66fa10818500750899507caf3bdb75ab6
36,EUA000036,265,468,366,2,1,Delta EnergyUtilityAccount 36,EUA000036,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42b3191594c8549680285d562bcc606442b3191594c8549680285d562bcc6064
37,EUA000037,187,173,346,3,1,Beacon EnergyUtilityAccount 37,EUA000037,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc4c9954ca4c5dc899e9346170db5dc4cc4c9954ca4c5dc899e9346170db5dc4
38,EUA000038,175,320,218,5,4,Meridian EnergyUtilityAccount 38,EUA000038,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a0696adbcb8548daca088d0be3405e66a0696adbcb8548daca088d0be3405e6
39,EUA000039,273,10,389,3,4,Atlas EnergyUtilityAccount 39,EUA000039,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0f1f5e6d0dd58b6a89806c40ace4ba4f0f1f5e6d0dd58b6a89806c40ace4ba4
40,EUA000040,309,291,310,3,4,Titan EnergyUtilityAccount 40,EUA000040,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a18859b8205575685cdf28725a61f848a18859b8205575685cdf28725a61f84
41,EUA000041,1,244,372,4,1,Meridian EnergyUtilityAccount 41,EUA000041,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd821341071f568897112fee5c235f5fcd821341071f568897112fee5c235f5f
42,EUA000042,275,402,289,3,5,Quartz EnergyUtilityAccount 42,EUA000042,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76434e9f68d75cf09cfebabef387325b76434e9f68d75cf09cfebabef387325b
43,EUA000043,68,309,351,3,2,Ion EnergyUtilityAccount 43,EUA000043,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ef66efbd6515f25bca5536058ad5cf96ef66efbd6515f25bca5536058ad5cf9
44,EUA000044,47,151,302,6,5,Keystone EnergyUtilityAccount 44,EUA000044,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b052b00ab3a252f8bb98772846d1e051b052b00ab3a252f8bb98772846d1e051
45,EUA000045,280,326,133,6,5,Liberty EnergyUtilityAccount 45,EUA000045,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,08102a79da6f5d8984a90ec2010d5f0608102a79da6f5d8984a90ec2010d5f06
46,EUA000046,65,212,78,1,3,Meridian EnergyUtilityAccount 46,EUA000046,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8803f017627353fb86c6d2ceec2033248803f017627353fb86c6d2ceec203324
47,EUA000047,6,448,472,6,5,Harbor EnergyUtilityAccount 47,EUA000047,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dfb3d3a8803e5c8f96b2145900232bd9dfb3d3a8803e5c8f96b2145900232bd9
48,EUA000048,299,124,430,5,3,Pioneer EnergyUtilityAccount 48,EUA000048,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f30bdd1ddaf5501aeda46468438b62c1f30bdd1ddaf5501aeda46468438b62c
49,EUA000049,29,110,356,2,5,Evergreen EnergyUtilityAccount 49,EUA000049,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a4692d338545ddb825eb1b0725be8c81a4692d338545ddb825eb1b0725be8c8
50,EUA000050,7,363,45,1,1,Harbor EnergyUtilityAccount 50,EUA000050,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53f97f2593fc5226b2aa1c10a085bb8553f97f2593fc5226b2aa1c10a085bb85
51,EUA000051,169,-1,-1,6,5,Vertex EnergyUtilityAccount 51,EUA000051,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec70237964b35c678a44a7851eeb82eaec70237964b35c678a44a7851eeb82ea
52,EUA000052,87,374,239,6,3,Unity EnergyUtilityAccount 52,EUA000052,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed8536f930d55e959b0b4717d8e144cfed8536f930d55e959b0b4717d8e144cf
53,EUA000053,172,74,189,6,1,Delta EnergyUtilityAccount 53,EUA000053,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64f6f36fa53a512e8a074d7f61579d6064f6f36fa53a512e8a074d7f61579d60
54,EUA000054,68,260,461,4,4,Ion EnergyUtilityAccount 54,EUA000054,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f27247ef2ae59cb9740028d875c43da5f27247ef2ae59cb9740028d875c43da
55,EUA000055,62,234,139,2,4,Northstar EnergyUtilityAccount 55,EUA000055,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a8a788a85b4523bb5410226af24b5894a8a788a85b4523bb5410226af24b589
56,EUA000056,345,30,441,4,5,Evergreen EnergyUtilityAccount 56,EUA000056,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63f6ba9ffb1655b1a0ca56fe1d8e5ac463f6ba9ffb1655b1a0ca56fe1d8e5ac4
57,EUA000057,257,73,261,1,5,Keystone EnergyUtilityAccount 57,EUA000057,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be4eb453cbe05af6b554479bf64b83c5be4eb453cbe05af6b554479bf64b83c5
58,EUA000058,133,486,281,3,3,Cedar EnergyUtilityAccount 58,EUA000058,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef530a9c56e8598683b036d48d636571ef530a9c56e8598683b036d48d636571
59,EUA000059,197,484,354,4,4,Meridian EnergyUtilityAccount 59,EUA000059,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5597d61dd675718ab10fbd8f87f79a6e5597d61dd675718ab10fbd8f87f79a6
60,EUA000060,46,465,243,4,4,Pioneer EnergyUtilityAccount 60,EUA000060,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b725be400d355e249d62d348bba7fa9fb725be400d355e249d62d348bba7fa9f
61,EUA000061,330,152,320,6,5,Meridian EnergyUtilityAccount 61,EUA000061,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,768ae2fe999058498896b683d7e4118d768ae2fe999058498896b683d7e4118d
62,EUA000062,19,178,52,1,3,Atlas EnergyUtilityAccount 62,EUA000062,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e03280d979d5db68eb0addd44c0fcab4e03280d979d5db68eb0addd44c0fcab
63,EUA000063,201,193,397,1,1,Cedar EnergyUtilityAccount 63,EUA000063,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f93469316f655fc3afae47c6f3e01021f93469316f655fc3afae47c6f3e01021
64,EUA000064,301,205,96,1,5,Summit EnergyUtilityAccount 64,EUA000064,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2cd18f3937b55e3a0259b23861ef3a9f2cd18f3937b55e3a0259b23861ef3a9
65,EUA000065,330,370,334,6,5,Riverton EnergyUtilityAccount 65,EUA000065,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,840bb78691fe5db28a1435bb508b13df840bb78691fe5db28a1435bb508b13df
66,EUA000066,264,487,469,5,4,Cedar EnergyUtilityAccount 66,EUA000066,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c6963896c895bcda7bb15dade721b664c6963896c895bcda7bb15dade721b66
67,EUA000067,189,158,349,6,2,Quartz EnergyUtilityAccount 67,EUA000067,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04e9373f2537581cb6e99e44fe2356bf04e9373f2537581cb6e99e44fe2356bf
68,EUA000068,230,-1,-1,5,3,Riverton EnergyUtilityAccount 68,EUA000068,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e49cd10287db57d08de54815ff0f011be49cd10287db57d08de54815ff0f011b
69,EUA000069,230,256,493,4,4,Delta EnergyUtilityAccount 69,EUA000069,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09ee38f810715c01a93e58dff4c5230209ee38f810715c01a93e58dff4c52302
70,EUA000070,6,499,497,1,3,Liberty EnergyUtilityAccount 70,EUA000070,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0ab3293912054ac8bd4d388426fc0a5b0ab3293912054ac8bd4d388426fc0a5
71,EUA000071,13,491,117,2,5,Evergreen EnergyUtilityAccount 71,EUA000071,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec1693b1aa615cb99bcd2e7d4d4f7ac0ec1693b1aa615cb99bcd2e7d4d4f7ac0
72,EUA000072,35,394,136,2,4,Granite EnergyUtilityAccount 72,EUA000072,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db33350619ee5c9c8b5479334e4c717cdb33350619ee5c9c8b5479334e4c717c
73,EUA000073,34,114,128,2,1,Junction EnergyUtilityAccount 73,EUA000073,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd555e8ce3a950df969e7898b42f5ff4fd555e8ce3a950df969e7898b42f5ff4
74,EUA000074,102,395,426,5,5,Willow EnergyUtilityAccount 74,EUA000074,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab1f2a1546455f47ad2b26f7512cda87ab1f2a1546455f47ad2b26f7512cda87
75,EUA000075,134,290,317,5,2,Vertex EnergyUtilityAccount 75,EUA000075,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a4acac788cd5fad8ab848254ceb99377a4acac788cd5fad8ab848254ceb9937
76,EUA000076,164,4,60,5,2,Vertex EnergyUtilityAccount 76,EUA000076,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3fa861d23bf5c7d80e6ba70e40b0c48c3fa861d23bf5c7d80e6ba70e40b0c48
77,EUA000077,96,144,88,4,5,Liberty EnergyUtilityAccount 77,EUA000077,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa918b83ab0353ecb589b43dcd3d7547fa918b83ab0353ecb589b43dcd3d7547
78,EUA000078,41,386,330,4,1,Pioneer EnergyUtilityAccount 78,EUA000078,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b51501cc2cc55a758b8a18261f1bada6b51501cc2cc55a758b8a18261f1bada6
79,EUA000079,294,10,76,6,2,Evergreen EnergyUtilityAccount 79,EUA000079,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27db68a6c72651f897e6fd64027681b627db68a6c72651f897e6fd64027681b6
80,EUA000080,349,373,439,5,5,Meridian EnergyUtilityAccount 80,EUA000080,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b3647ee0e915a58ab0c90d846aed4076b3647ee0e915a58ab0c90d846aed407
81,EUA000081,318,329,436,6,3,Meridian EnergyUtilityAccount 81,EUA000081,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0280f21b4425a29ab6acb50d58825e4d0280f21b4425a29ab6acb50d58825e4
82,EUA000082,244,252,88,2,4,Unity EnergyUtilityAccount 82,EUA000082,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f12bb650c70561d9600b3ed388079b47f12bb650c70561d9600b3ed388079b4
83,EUA000083,87,344,231,1,2,Harbor EnergyUtilityAccount 83,EUA000083,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e13359964155dda9444a0ded8b6a39e8e13359964155dda9444a0ded8b6a39e
84,EUA000084,39,343,246,5,3,Harbor EnergyUtilityAccount 84,EUA000084,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,423e916964f05b7395c8cc6b5679579b423e916964f05b7395c8cc6b5679579b
85,EUA000085,276,-1,-1,2,1,Zenith EnergyUtilityAccount 85,EUA000085,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4531693bb165e909f1396c2ed76b38bd4531693bb165e909f1396c2ed76b38b
86,EUA000086,215,52,298,4,4,Beacon EnergyUtilityAccount 86,EUA000086,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d4da34ced305896ba9443a4b10fc2de4d4da34ced305896ba9443a4b10fc2de
87,EUA000087,28,133,124,2,4,Pioneer EnergyUtilityAccount 87,EUA000087,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ca31c9551645bc48c02ea2cd66e574e6ca31c9551645bc48c02ea2cd66e574e
88,EUA000088,273,256,396,2,5,Riverton EnergyUtilityAccount 88,EUA000088,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d9b64321bd15d2b99db58842c6292681d9b64321bd15d2b99db58842c629268
89,EUA000089,17,61,307,4,1,Beacon EnergyUtilityAccount 89,EUA000089,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f5466955927503c84520c1fd2a90ab32f5466955927503c84520c1fd2a90ab3
90,EUA000090,59,166,147,6,2,Evergreen EnergyUtilityAccount 90,EUA000090,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f53ef1d21c525e089449d71c4fbb3101f53ef1d21c525e089449d71c4fbb3101
91,EUA000091,305,368,104,6,3,Junction EnergyUtilityAccount 91,EUA000091,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b442af43fef5f90ad3f3b923cbfbadc2b442af43fef5f90ad3f3b923cbfbadc
92,EUA000092,310,344,303,6,4,Liberty EnergyUtilityAccount 92,EUA000092,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6d66e9628155956bd0529d94fd2db29e6d66e9628155956bd0529d94fd2db29
93,EUA000093,29,167,122,5,5,Evergreen EnergyUtilityAccount 93,EUA000093,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30b0977e6d4052099753a18b4d6dac3130b0977e6d4052099753a18b4d6dac31
94,EUA000094,171,201,380,2,1,Summit EnergyUtilityAccount 94,EUA000094,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,950bc444c2465d6ebaf1de0d8a299adc950bc444c2465d6ebaf1de0d8a299adc
95,EUA000095,180,130,206,6,2,Harbor EnergyUtilityAccount 95,EUA000095,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,858828d90d63519cb3b360acd0cc49f2858828d90d63519cb3b360acd0cc49f2
96,EUA000096,128,198,11,2,2,Granite EnergyUtilityAccount 96,EUA000096,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59ea3d963f0a5738b83192c0575d89a059ea3d963f0a5738b83192c0575d89a0
97,EUA000097,289,308,41,3,5,Forge EnergyUtilityAccount 97,EUA000097,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1edb4d11ea1854ca9a9997eddddf16901edb4d11ea1854ca9a9997eddddf1690
98,EUA000098,171,80,3,5,5,Vertex EnergyUtilityAccount 98,EUA000098,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c4753246fe059089cbea788ff933cb55c4753246fe059089cbea788ff933cb5
