InventoryContainerKey,ContainerNumber,InventoryStorageProfileKey,UnitOfMeasureKey,ContainerName,TareWeightKg,CapacityQuantity,SourceSystemKey,BatchId,LoadedAtUtc
130,IC000130,124,5,Cedar InventoryContainer 130,131.0000,91.1000,1,1,2026-08-24T00:00:00.000
131,IC000131,422,7,Northstar InventoryContainer 131,132.0000,91.8000,1,1,2026-08-24T00:00:00.000
132,IC000132,73,2,Meridian InventoryContainer 132,133.0000,92.5000,1,1,2026-08-24T00:00:00.000
133,IC000133,354,6,Forge InventoryContainer 133,134.0000,93.2000,1,1,2026-08-24T00:00:00.000
134,IC000134,300,7,Evergreen InventoryContainer 134,135.0000,93.9000,1,1,2026-08-24T00:00:00.000
135,IC000135,80,4,Pioneer InventoryContainer 135,136.0000,94.6000,1,1,2026-08-24T00:00:00.000
136,IC000136,383,5,Junction InventoryContainer 136,137.0000,95.3000,1,1,2026-08-24T00:00:00.000
137,IC000137,179,7,Evergreen InventoryContainer 137,138.0000,96.0000,1,1,2026-08-24T00:00:00.000
138,IC000138,208,4,Liberty InventoryContainer 138,139.0000,96.7000,1,1,2026-08-24T00:00:00.000
139,IC000139,425,4,Liberty InventoryContainer 139,140.0000,97.4000,1,1,2026-08-24T00:00:00.000
140,IC000140,486,6,Beacon InventoryContainer 140,141.0000,98.1000,1,1,2026-08-24T00:00:00.000
141,IC000141,372,2,Unity InventoryContainer 141,142.0000,98.8000,1,1,2026-08-24T00:00:00.000
142,IC000142,475,5,Vertex InventoryContainer 142,143.0000,99.5000,1,1,2026-08-24T00:00:00.000
143,IC000143,388,7,Cedar InventoryContainer 143,144.0000,100.2000,1,1,2026-08-24T00:00:00.000
144,IC000144,267,3,Zenith InventoryContainer 144,145.0000,100.9000,1,1,2026-08-24T00:00:00.000
145,IC000145,495,5,Harbor InventoryContainer 145,146.0000,101.6000,1,1,2026-08-24T00:00:00.000
146,IC000146,325,7,Evergreen InventoryContainer 146,147.0000,102.3000,1,1,2026-08-24T00:00:00.000
147,IC000147,174,3,Vertex InventoryContainer 147,148.0000,103.0000,1,1,2026-08-24T00:00:00.000
148,IC000148,52,6,Summit InventoryContainer 148,149.0000,103.7000,1,1,2026-08-24T00:00:00.000
149,IC000149,394,2,Vertex InventoryContainer 149,150.0000,104.4000,1,1,2026-08-24T00:00:00.000
150,IC000150,276,6,Summit InventoryContainer 150,151.0000,105.1000,1,1,2026-08-24T00:00:00.000
151,IC000151,148,4,Junction InventoryContainer 151,152.0000,105.8000,1,1,2026-08-24T00:00:00.000
152,IC000152,454,4,Vertex InventoryContainer 152,153.0000,106.5000,1,1,2026-08-24T00:00:00.000
153,IC000153,304,5,Riverton InventoryContainer 153,154.0000,107.2000,1,1,2026-08-24T00:00:00.000
154,IC000154,490,6,Evergreen InventoryContainer 154,155.0000,107.9000,1,1,2026-08-24T00:00:00.000
155,IC000155,158,6,Northstar InventoryContainer 155,156.0000,108.6000,1,1,2026-08-24T00:00:00.000
156,IC000156,179,4,Granite InventoryContainer 156,157.0000,109.3000,1,1,2026-08-24T00:00:00.000
157,IC000157,465,7,Riverton InventoryContainer 157,158.0000,110.0000,1,1,2026-08-24T00:00:00.000
158,IC000158,440,3,Summit InventoryContainer 158,159.0000,110.7000,1,1,2026-08-24T00:00:00.000
159,IC000159,444,1,Keystone InventoryContainer 159,160.0000,111.4000,1,1,2026-08-24T00:00:00.000
160,IC000160,345,2,Summit InventoryContainer 160,161.0000,112.1000,1,1,2026-08-24T00:00:00.000
161,IC000161,202,2,Quartz InventoryContainer 161,162.0000,112.8000,1,1,2026-08-24T00:00:00.000
162,IC000162,42,6,Summit InventoryContainer 162,163.0000,113.5000,1,1,2026-08-24T00:00:00.000
163,IC000163,165,1,Liberty InventoryContainer 163,164.0000,114.2000,1,1,2026-08-24T00:00:00.000
164,IC000164,106,3,Cedar InventoryContainer 164,165.0000,114.9000,1,1,2026-08-24T00:00:00.000
165,IC000165,302,6,Northstar InventoryContainer 165,166.0000,115.6000,1,1,2026-08-24T00:00:00.000
166,IC000166,32,6,Zenith InventoryContainer 166,167.0000,116.3000,1,1,2026-08-24T00:00:00.000
167,IC000167,28,5,Keystone InventoryContainer 167,168.0000,117.0000,1,1,2026-08-24T00:00:00.000
168,IC000168,325,4,Harbor InventoryContainer 168,169.0000,117.7000,1,1,2026-08-24T00:00:00.000
169,IC000169,379,3,Ion InventoryContainer 169,170.0000,118.4000,1,1,2026-08-24T00:00:00.000
170,IC000170,316,6,Summit InventoryContainer 170,171.0000,119.1000,1,1,2026-08-24T00:00:00.000
171,IC000171,101,6,Riverton InventoryContainer 171,172.0000,119.8000,1,1,2026-08-24T00:00:00.000
172,IC000172,166,1,Harbor InventoryContainer 172,173.0000,120.5000,1,1,2026-08-24T00:00:00.000
173,IC000173,365,3,Ion InventoryContainer 173,174.0000,121.2000,1,1,2026-08-24T00:00:00.000
174,IC000174,408,7,Cedar InventoryContainer 174,175.0000,121.9000,1,1,2026-08-24T00:00:00.000
175,IC000175,131,1,Northstar InventoryContainer 175,176.0000,122.6000,1,1,2026-08-24T00:00:00.000
176,IC000176,126,7,Evergreen InventoryContainer 176,177.0000,123.3000,1,1,2026-08-24T00:00:00.000
177,IC000177,252,7,Quartz InventoryContainer 177,178.0000,124.0000,1,1,2026-08-24T00:00:00.000
178,IC000178,285,6,Ion InventoryContainer 178,179.0000,124.7000,1,1,2026-08-24T00:00:00.000
179,IC000179,496,6,Unity InventoryContainer 179,180.0000,125.4000,1,1,2026-08-24T00:00:00.000
180,IC000180,36,2,Ion InventoryContainer 180,181.0000,126.1000,1,1,2026-08-24T00:00:00.000
181,IC000181,271,6,Beacon InventoryContainer 181,182.0000,126.8000,1,1,2026-08-24T00:00:00.000
182,IC000182,420,3,Ion InventoryContainer 182,183.0000,127.5000,1,1,2026-08-24T00:00:00.000
183,IC000183,278,5,Junction InventoryContainer 183,184.0000,128.2000,1,1,2026-08-24T00:00:00.000
184,IC000184,323,6,Titan InventoryContainer 184,185.0000,128.9000,1,1,2026-08-24T00:00:00.000
185,IC000185,281,6,Delta InventoryContainer 185,186.0000,129.6000,1,1,2026-08-24T00:00:00.000
186,IC000186,12,6,Summit InventoryContainer 186,187.0000,130.3000,1,1,2026-08-24T00:00:00.000
187,IC000187,278,2,Junction InventoryContainer 187,188.0000,131.0000,1,1,2026-08-24T00:00:00.000
188,IC000188,394,6,Granite InventoryContainer 188,189.0000,131.7000,1,1,2026-08-24T00:00:00.000
189,IC000189,109,7,Pioneer InventoryContainer 189,190.0000,132.4000,1,1,2026-08-24T00:00:00.000
190,IC000190,349,5,Titan InventoryContainer 190,191.0000,133.1000,1,1,2026-08-24T00:00:00.000
191,IC000191,160,6,Keystone InventoryContainer 191,192.0000,133.8000,1,1,2026-08-24T00:00:00.000
192,IC000192,243,4,Keystone InventoryContainer 192,193.0000,134.5000,1,1,2026-08-24T00:00:00.000
193,IC000193,106,5,Riverton InventoryContainer 193,194.0000,135.2000,1,1,2026-08-24T00:00:00.000
194,IC000194,39,3,Titan InventoryContainer 194,195.0000,135.9000,1,1,2026-08-24T00:00:00.000
195,IC000195,152,4,Junction InventoryContainer 195,196.0000,136.6000,1,1,2026-08-24T00:00:00.000
196,IC000196,467,1,Ion InventoryContainer 196,197.0000,137.3000,1,1,2026-08-24T00:00:00.000
197,IC000197,372,4,Evergreen InventoryContainer 197,198.0000,138.0000,1,1,2026-08-24T00:00:00.000
198,IC000198,437,5,Delta InventoryContainer 198,199.0000,138.7000,1,1,2026-08-24T00:00:00.000
199,IC000199,79,3,Beacon InventoryContainer 199,200.0000,139.4000,1,1,2026-08-24T00:00:00.000
200,IC000200,449,6,Forge InventoryContainer 200,201.0000,140.1000,1,1,2026-08-24T00:00:00.000
201,IC000201,222,7,Quartz InventoryContainer 201,202.0000,140.8000,1,1,2026-08-24T00:00:00.000
202,IC000202,415,1,Evergreen InventoryContainer 202,203.0000,141.5000,1,1,2026-08-24T00:00:00.000
203,IC000203,472,4,Zenith InventoryContainer 203,204.0000,142.2000,1,1,2026-08-24T00:00:00.000
204,IC000204,358,6,Riverton InventoryContainer 204,205.0000,142.9000,1,1,2026-08-24T00:00:00.000
205,IC000205,431,2,Titan InventoryContainer 205,206.0000,143.6000,1,1,2026-08-24T00:00:00.000
206,IC000206,424,1,Unity InventoryContainer 206,207.0000,144.3000,1,1,2026-08-24T00:00:00.000
207,IC000207,372,1,Quartz InventoryContainer 207,208.0000,145.0000,1,1,2026-08-24T00:00:00.000
208,IC000208,172,6,Willow InventoryContainer 208,209.0000,145.7000,1,1,2026-08-24T00:00:00.000
209,IC000209,422,7,Cedar InventoryContainer 209,210.0000,146.4000,1,1,2026-08-24T00:00:00.000
210,IC000210,274,4,Pioneer InventoryContainer 210,211.0000,147.1000,1,1,2026-08-24T00:00:00.000
211,IC000211,494,1,Harbor InventoryContainer 211,212.0000,147.8000,1,1,2026-08-24T00:00:00.000
212,IC000212,266,6,Willow InventoryContainer 212,213.0000,148.5000,1,1,2026-08-24T00:00:00.000
213,IC000213,79,3,Unity InventoryContainer 213,214.0000,149.2000,1,1,2026-08-24T00:00:00.000
214,IC000214,189,3,Zenith InventoryContainer 214,215.0000,149.9000,1,1,2026-08-24T00:00:00.000
215,IC000215,325,3,Orion InventoryContainer 215,216.0000,150.6000,1,1,2026-08-24T00:00:00.000
216,IC000216,110,6,Harbor InventoryContainer 216,217.0000,151.3000,1,1,2026-08-24T00:00:00.000
217,IC000217,347,5,Harbor InventoryContainer 217,218.0000,152.0000,1,1,2026-08-24T00:00:00.000
218,IC000218,449,6,Zenith InventoryContainer 218,219.0000,152.7000,1,1,2026-08-24T00:00:00.000
219,IC000219,234,2,Junction InventoryContainer 219,220.0000,153.4000,1,1,2026-08-24T00:00:00.000
220,IC000220,248,3,Liberty InventoryContainer 220,221.0000,154.1000,1,1,2026-08-24T00:00:00.000
221,IC000221,193,6,Forge InventoryContainer 221,222.0000,154.8000,1,1,2026-08-24T00:00:00.000
222,IC000222,342,6,Riverton InventoryContainer 222,223.0000,155.5000,1,1,2026-08-24T00:00:00.000
223,IC000223,294,2,Willow InventoryContainer 223,224.0000,156.2000,1,1,2026-08-24T00:00:00.000
224,IC000224,364,1,Orion InventoryContainer 224,225.0000,156.9000,1,1,2026-08-24T00:00:00.000
225,IC000225,155,6,Vertex InventoryContainer 225,226.0000,157.6000,1,1,2026-08-24T00:00:00.000
226,IC000226,134,2,Summit InventoryContainer 226,227.0000,158.3000,1,1,2026-08-24T00:00:00.000
227,IC000227,147,1,Meridian InventoryContainer 227,228.0000,159.0000,1,1,2026-08-24T00:00:00.000
228,IC000228,165,1,Liberty InventoryContainer 228,229.0000,159.7000,1,1,2026-08-24T00:00:00.000
229,IC000229,82,3,Granite InventoryContainer 229,230.0000,160.4000,1,1,2026-08-24T00:00:00.000
230,IC000230,348,5,Meridian InventoryContainer 230,231.0000,161.1000,1,1,2026-08-24T00:00:00.000
231,IC000231,402,6,Liberty InventoryContainer 231,232.0000,161.8000,1,1,2026-08-24T00:00:00.000
232,IC000232,16,2,Atlas InventoryContainer 232,233.0000,162.5000,1,1,2026-08-24T00:00:00.000
233,IC000233,191,7,Forge InventoryContainer 233,234.0000,163.2000,1,1,2026-08-24T00:00:00.000
234,IC000234,57,1,Delta InventoryContainer 234,235.0000,163.9000,1,1,2026-08-24T00:00:00.000
235,IC000235,38,5,Unity InventoryContainer 235,236.0000,164.6000,1,1,2026-08-24T00:00:00.000
236,IC000236,18,3,Vertex InventoryContainer 236,237.0000,165.3000,1,1,2026-08-24T00:00:00.000
237,IC000237,126,7,Harbor InventoryContainer 237,238.0000,166.0000,1,1,2026-08-24T00:00:00.000
238,IC000238,63,5,Harbor InventoryContainer 238,239.0000,166.7000,1,1,2026-08-24T00:00:00.000
239,IC000239,154,6,Evergreen InventoryContainer 239,240.0000,167.4000,1,1,2026-08-24T00:00:00.000
240,IC000240,418,5,Summit InventoryContainer 240,241.0000,168.1000,1,1,2026-08-24T00:00:00.000
241,IC000241,300,1,Quartz InventoryContainer 241,242.0000,168.8000,1,1,2026-08-24T00:00:00.000
242,IC000242,12,5,Keystone InventoryContainer 242,243.0000,169.5000,1,1,2026-08-24T00:00:00.000
243,IC000243,376,4,Titan InventoryContainer 243,244.0000,170.2000,1,1,2026-08-24T00:00:00.000
244,IC000244,65,4,Pioneer InventoryContainer 244,245.0000,170.9000,1,1,2026-08-24T00:00:00.000
245,IC000245,213,2,Summit InventoryContainer 245,246.0000,171.6000,1,1,2026-08-24T00:00:00.000
246,IC000246,11,2,Delta InventoryContainer 246,247.0000,172.3000,1,1,2026-08-24T00:00:00.000
247,IC000247,115,5,Beacon InventoryContainer 247,248.0000,173.0000,1,1,2026-08-24T00:00:00.000
248,IC000248,439,1,Zenith InventoryContainer 248,249.0000,173.7000,1,1,2026-08-24T00:00:00.000
249,IC000249,73,2,Beacon InventoryContainer 249,250.0000,174.4000,1,1,2026-08-24T00:00:00.000
250,IC000250,342,7,Unity InventoryContainer 250,251.0000,175.1000,1,1,2026-08-24T00:00:00.000
251,IC000251,251,3,Keystone InventoryContainer 251,252.0000,175.8000,1,1,2026-08-24T00:00:00.000
252,IC000252,33,5,Vertex InventoryContainer 252,253.0000,176.5000,1,1,2026-08-24T00:00:00.000
253,IC000253,238,4,Forge InventoryContainer 253,254.0000,177.2000,1,1,2026-08-24T00:00:00.000
254,IC000254,494,3,Keystone InventoryContainer 254,255.0000,177.9000,1,1,2026-08-24T00:00:00.000
255,IC000255,181,7,Northstar InventoryContainer 255,256.0000,178.6000,1,1,2026-08-24T00:00:00.000
256,IC000256,318,2,Delta InventoryContainer 256,257.0000,179.3000,1,1,2026-08-24T00:00:00.000
