EnergyMeterPointKey,MeterPointNumber,PlantKey,SiteKey,EnergyMeterPointClassKey,EnergySubmeterZoneKey,EnergySourceKey,UnitOfMeasureKey,MeterPointName,MeterSerialNumber,MultiplierValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
14,EMP000014,163,267,335,4,5,7,Beacon EnergyMeterPoint 14,EMP000014,29.180000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,208060d24ef25c759050ef3e7a40e10e208060d24ef25c759050ef3e7a40e10e
15,EMP000015,154,467,287,112,12,5,Beacon EnergyMeterPoint 15,EMP000015,30.550000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b986c6e2f2c15c7084e3e2c21ac971ceb986c6e2f2c15c7084e3e2c21ac971ce
16,EMP000016,160,424,37,42,7,4,Titan EnergyMeterPoint 16,EMP000016,31.920000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00cce7ae1ea45e5d8664c9a5c03c419a00cce7ae1ea45e5d8664c9a5c03c419a
17,EMP000017,128,-1,77,296,10,1,Keystone EnergyMeterPoint 17,EMP000017,33.290000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,966806dac41957c3a5e57d33b69e0cf0966806dac41957c3a5e57d33b69e0cf0
18,EMP000018,331,177,313,17,14,5,Quartz EnergyMeterPoint 18,EMP000018,34.660000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b3de7a397775dcd86c00d9ad53d22d91b3de7a397775dcd86c00d9ad53d22d9
19,EMP000019,82,485,240,447,9,7,Harbor EnergyMeterPoint 19,EMP000019,36.030000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf510278a2eb503a9d595ee0b79dfc60cf510278a2eb503a9d595ee0b79dfc60
20,EMP000020,9,35,88,105,9,5,Pioneer EnergyMeterPoint 20,EMP000020,37.400000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eac2e15381185aeeabcb0a3c1a7d2868eac2e15381185aeeabcb0a3c1a7d2868
21,EMP000021,260,485,14,454,11,6,Summit EnergyMeterPoint 21,EMP000021,38.770000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3fc1d8136a6a5d8f8cda2886db26c56a3fc1d8136a6a5d8f8cda2886db26c56a
22,EMP000022,170,44,312,336,1,3,Willow EnergyMeterPoint 22,EMP000022,40.140000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,996ad1a2bb0c54599d545e6523166d79996ad1a2bb0c54599d545e6523166d79
23,EMP000023,225,174,300,254,9,4,Pioneer EnergyMeterPoint 23,EMP000023,41.510000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9480ff22b3905b68babed8366166fac29480ff22b3905b68babed8366166fac2
24,EMP000024,265,265,102,154,4,7,Quartz EnergyMeterPoint 24,EMP000024,42.880000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c78a1b707156586c9c20dea5e3d7ee60c78a1b707156586c9c20dea5e3d7ee60
25,EMP000025,305,465,343,325,1,1,Atlas EnergyMeterPoint 25,EMP000025,44.250000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2544be2484235dfbb03da8de01b91ce32544be2484235dfbb03da8de01b91ce3
26,EMP000026,304,360,195,479,3,5,Cedar EnergyMeterPoint 26,EMP000026,45.620000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ad6cd45a9ec59aa8aec2f7196e0fad80ad6cd45a9ec59aa8aec2f7196e0fad8
27,EMP000027,258,340,225,207,10,2,Zenith EnergyMeterPoint 27,EMP000027,46.990000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37ff61664b115f34bbc6c78be8690ed737ff61664b115f34bbc6c78be8690ed7
28,EMP000028,41,15,113,165,2,3,Delta EnergyMeterPoint 28,EMP000028,48.360000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,425436032f71512d9e017be661afa59e425436032f71512d9e017be661afa59e
29,EMP000029,63,131,285,265,3,6,Ion EnergyMeterPoint 29,EMP000029,49.730000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9382ada6770c5716a593201de6d7cee79382ada6770c5716a593201de6d7cee7
30,EMP000030,78,223,379,362,1,7,Granite EnergyMeterPoint 30,EMP000030,51.100000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b7008f259d15b479564ffeb7255e6ff7b7008f259d15b479564ffeb7255e6ff
31,EMP000031,217,395,36,160,7,7,Unity EnergyMeterPoint 31,EMP000031,52.470000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e457058f6005e77aaaa8931b4a299d50e457058f6005e77aaaa8931b4a299d5
32,EMP000032,153,429,336,70,9,6,Atlas EnergyMeterPoint 32,EMP000032,53.840000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0a2f52ade955177b03d0d4b642bdde4b0a2f52ade955177b03d0d4b642bdde4
33,EMP000033,334,468,474,87,7,3,Junction EnergyMeterPoint 33,EMP000033,55.210000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa4e24e39e6b522ea403895633defc23aa4e24e39e6b522ea403895633defc23
34,EMP000034,80,-1,126,130,11,7,Beacon EnergyMeterPoint 34,EMP000034,56.580000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,806a28e9995050c1b4c84b8125cce573806a28e9995050c1b4c84b8125cce573
35,EMP000035,119,62,435,471,2,7,Unity EnergyMeterPoint 35,EMP000035,57.950000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbc2b78a18ba59e38d3098c1a913a4eebbc2b78a18ba59e38d3098c1a913a4ee
36,EMP000036,27,265,25,463,16,5,Forge EnergyMeterPoint 36,EMP000036,59.320000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,daa60b1f8bd1510f8337c89ae07d2f00daa60b1f8bd1510f8337c89ae07d2f00
37,EMP000037,173,166,138,82,7,5,Summit EnergyMeterPoint 37,EMP000037,60.690000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,24be925389465b15b719192f9a321b1d24be925389465b15b719192f9a321b1d
38,EMP000038,83,322,65,192,5,5,Northstar EnergyMeterPoint 38,EMP000038,62.060000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1904a298109952fea3b9b486f34b30381904a298109952fea3b9b486f34b3038
39,EMP000039,284,203,403,100,1,3,Willow EnergyMeterPoint 39,EMP000039,63.430000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b96533cb575b55e5bceaea2b894fa5dbb96533cb575b55e5bceaea2b894fa5db
40,EMP000040,341,446,187,430,9,3,Titan EnergyMeterPoint 40,EMP000040,64.800000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3efbe2833870551a84d32b0486c4d44e3efbe2833870551a84d32b0486c4d44e
41,EMP000041,151,485,42,353,4,3,Atlas EnergyMeterPoint 41,EMP000041,66.170000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,792bed594655580d9c98a727bced63ba792bed594655580d9c98a727bced63ba
42,EMP000042,41,231,202,342,4,4,Summit EnergyMeterPoint 42,EMP000042,67.540000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5ff81104d93544fa66d2ff6238acce7e5ff81104d93544fa66d2ff6238acce7
43,EMP000043,71,276,275,274,1,6,Pioneer EnergyMeterPoint 43,EMP000043,68.910000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7bd92e88874a57c9bc11407e46f812b07bd92e88874a57c9bc11407e46f812b0
44,EMP000044,171,486,91,489,9,5,Vertex EnergyMeterPoint 44,EMP000044,70.280000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a597ee8dbd505fa9aa659de956bc5dd9a597ee8dbd505fa9aa659de956bc5dd9
45,EMP000045,51,19,9,293,5,6,Zenith EnergyMeterPoint 45,EMP000045,71.650000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c6772b9c8b550fb83671bf5b3752ddf2c6772b9c8b550fb83671bf5b3752ddf
46,EMP000046,105,283,182,41,13,1,Cedar EnergyMeterPoint 46,EMP000046,73.020000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f105fcb1a8e15d1ebb6c98abf509d832f105fcb1a8e15d1ebb6c98abf509d832
47,EMP000047,176,251,433,482,4,2,Ion EnergyMeterPoint 47,EMP000047,74.390000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,402dcb1cee21536180719ee5bcdaecc3402dcb1cee21536180719ee5bcdaecc3
48,EMP000048,18,92,476,352,13,7,Pioneer EnergyMeterPoint 48,EMP000048,75.760000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be96c70c30245e3aaa1ece4b56c4e54dbe96c70c30245e3aaa1ece4b56c4e54d
49,EMP000049,115,351,490,68,10,5,Riverton EnergyMeterPoint 49,EMP000049,77.130000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23134c87398b5f2caf6ccc65e687efcc23134c87398b5f2caf6ccc65e687efcc
50,EMP000050,41,169,87,349,6,4,Titan EnergyMeterPoint 50,EMP000050,78.500000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9251ecb1471c538d819a37255d8bc76f9251ecb1471c538d819a37255d8bc76f
51,EMP000051,64,-1,481,446,14,2,Harbor EnergyMeterPoint 51,EMP000051,79.870000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74ce2a3b0bc05e17af3a996e8212271e74ce2a3b0bc05e17af3a996e8212271e
52,EMP000052,296,214,222,274,6,2,Delta EnergyMeterPoint 52,EMP000052,81.240000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1cd323fac1b25abd97416399ebe649b51cd323fac1b25abd97416399ebe649b5
53,EMP000053,131,351,373,231,1,2,Keystone EnergyMeterPoint 53,EMP000053,82.610000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56b58cf217ba50f0a1bd4c0022a1840c56b58cf217ba50f0a1bd4c0022a1840c
54,EMP000054,39,286,71,216,7,3,Vertex EnergyMeterPoint 54,EMP000054,83.980000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b78ac5c123c2516a86295c2eb3fdb5e0b78ac5c123c2516a86295c2eb3fdb5e0
55,EMP000055,289,129,83,317,7,5,Granite EnergyMeterPoint 55,EMP000055,85.350000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a04cd5d658435b31b601e1743e167681a04cd5d658435b31b601e1743e167681
56,EMP000056,327,18,377,135,16,3,Zenith EnergyMeterPoint 56,EMP000056,86.720000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5cbe298589251128bdd96208d928e9dd5cbe298589251128bdd96208d928e9d
57,EMP000057,183,425,90,120,7,5,Ion EnergyMeterPoint 57,EMP000057,88.090000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,406ad734347c5bf7ad195057beeec1ca406ad734347c5bf7ad195057beeec1ca
58,EMP000058,120,95,143,75,13,1,Atlas EnergyMeterPoint 58,EMP000058,89.460000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8dc1121b161d5f3db46c8d03e87fd7e88dc1121b161d5f3db46c8d03e87fd7e8
59,EMP000059,107,43,470,336,4,2,Granite EnergyMeterPoint 59,EMP000059,90.830000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a8a06f73380a5afd9cf25a46387f59a1a8a06f73380a5afd9cf25a46387f59a1
60,EMP000060,307,116,83,447,12,4,Liberty EnergyMeterPoint 60,EMP000060,92.200000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20ec1c575a2959bf9f82986a9b5c621820ec1c575a2959bf9f82986a9b5c6218
61,EMP000061,29,260,74,416,5,4,Titan EnergyMeterPoint 61,EMP000061,93.570000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf1fd5f91704577fa2cc69d32bbb174fcf1fd5f91704577fa2cc69d32bbb174f
62,EMP000062,15,298,158,309,14,2,Liberty EnergyMeterPoint 62,EMP000062,94.940000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9131c8070465491b2d0cb4692db85e8e9131c8070465491b2d0cb4692db85e8
63,EMP000063,225,221,303,484,16,4,Delta EnergyMeterPoint 63,EMP000063,96.310000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,41b86b8d1d94521687c19cc66a091cfc41b86b8d1d94521687c19cc66a091cfc
64,EMP000064,85,381,302,262,13,2,Ion EnergyMeterPoint 64,EMP000064,97.680000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b617303afd15347ac280b2c8f15cc7a2b617303afd15347ac280b2c8f15cc7a
65,EMP000065,141,142,403,124,13,6,Northstar EnergyMeterPoint 65,EMP000065,99.050000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b593188b846252a6a0191cf4a9832315b593188b846252a6a0191cf4a9832315
66,EMP000066,228,451,296,411,6,2,Atlas EnergyMeterPoint 66,EMP000066,100.420000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5057274b5e885bf682efbe6137b5be035057274b5e885bf682efbe6137b5be03
67,EMP000067,230,145,20,93,12,2,Meridian EnergyMeterPoint 67,EMP000067,101.790000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,267521c29aeb5d76964276811794d4f6267521c29aeb5d76964276811794d4f6
68,EMP000068,142,-1,42,330,6,1,Quartz EnergyMeterPoint 68,EMP000068,103.160000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04ee92806d955810a3ed089bd3419f2c04ee92806d955810a3ed089bd3419f2c
69,EMP000069,323,238,92,355,2,6,Harbor EnergyMeterPoint 69,EMP000069,104.530000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,623185cbfdec51ea92079dffe53a0de0623185cbfdec51ea92079dffe53a0de0
70,EMP000070,147,229,150,500,10,2,Atlas EnergyMeterPoint 70,EMP000070,105.900000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f8e269d7efc5a8d8f7f6edb66b12f306f8e269d7efc5a8d8f7f6edb66b12f30
71,EMP000071,334,45,214,68,1,1,Delta EnergyMeterPoint 71,EMP000071,107.270000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1483ff4ad9f455c4be4d7af32c9e29891483ff4ad9f455c4be4d7af32c9e2989
72,EMP000072,324,55,203,111,5,3,Willow EnergyMeterPoint 72,EMP000072,108.640000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2adef3223fbd5a218c76310a3c0846de2adef3223fbd5a218c76310a3c0846de
73,EMP000073,264,274,288,299,15,3,Cedar EnergyMeterPoint 73,EMP000073,110.010000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,414f4b8aec5f52aba4abb138d29dcd3b414f4b8aec5f52aba4abb138d29dcd3b
74,EMP000074,111,492,408,85,16,2,Granite EnergyMeterPoint 74,EMP000074,111.380000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7dae99a6c6575d36bbdf9a95cc64f8a67dae99a6c6575d36bbdf9a95cc64f8a6
75,EMP000075,250,360,498,370,10,1,Northstar EnergyMeterPoint 75,EMP000075,112.750000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2b0aea18af65ba7876d642338d39677e2b0aea18af65ba7876d642338d39677
76,EMP000076,47,196,62,150,12,7,Quartz EnergyMeterPoint 76,EMP000076,114.120000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b36a3d92bb5e503eac1540d648092218b36a3d92bb5e503eac1540d648092218
77,EMP000077,81,264,386,27,13,3,Forge EnergyMeterPoint 77,EMP000077,115.490000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f587d65cbd05768aea48723ea1f80bb0f587d65cbd05768aea48723ea1f80bb
78,EMP000078,150,2,78,231,4,1,Unity EnergyMeterPoint 78,EMP000078,116.860000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,08cf9cd0963e5612900762704c86ec2b08cf9cd0963e5612900762704c86ec2b
79,EMP000079,330,261,403,487,13,4,Orion EnergyMeterPoint 79,EMP000079,118.230000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,122ac3f72acc5d358f7a9e41c35545cf122ac3f72acc5d358f7a9e41c35545cf
80,EMP000080,137,438,213,269,10,1,Northstar EnergyMeterPoint 80,EMP000080,119.600000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c526d748403589387f3c10ef24981816c526d748403589387f3c10ef2498181
81,EMP000081,313,358,348,61,5,4,Atlas EnergyMeterPoint 81,EMP000081,120.970000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49e796914ab75989a7446c4413489ed749e796914ab75989a7446c4413489ed7
82,EMP000082,117,5,411,110,3,2,Unity EnergyMeterPoint 82,EMP000082,122.340000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74787e086b4f54f1a24df08ccc47f56674787e086b4f54f1a24df08ccc47f566
83,EMP000083,146,22,3,115,16,5,Meridian EnergyMeterPoint 83,EMP000083,123.710000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c5c8da29f3f5978aaa98d905905fdb59c5c8da29f3f5978aaa98d905905fdb5
84,EMP000084,271,486,116,284,7,1,Northstar EnergyMeterPoint 84,EMP000084,125.080000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1606319305565ba0a583f12028b1308d1606319305565ba0a583f12028b1308d
85,EMP000085,217,-1,500,118,15,6,Granite EnergyMeterPoint 85,EMP000085,126.450000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a01458fb745f5f65ad5f58909b5cc9bda01458fb745f5f65ad5f58909b5cc9bd
86,EMP000086,26,177,488,387,9,3,Riverton EnergyMeterPoint 86,EMP000086,127.820000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed2d080be36a5ddab15da48da4071997ed2d080be36a5ddab15da48da4071997
87,EMP000087,40,463,335,393,7,5,Riverton EnergyMeterPoint 87,EMP000087,129.190000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4fca205c0e135dc7ae9ed8fe524f8b484fca205c0e135dc7ae9ed8fe524f8b48
88,EMP000088,245,496,14,183,10,6,Vertex EnergyMeterPoint 88,EMP000088,130.560000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb01a8fa5ad058ba8bbc7b9bff6d24f6eb01a8fa5ad058ba8bbc7b9bff6d24f6
89,EMP000089,202,64,331,360,13,2,Orion EnergyMeterPoint 89,EMP000089,131.930000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f23f636d4135a9a849a74d02439a20f3f23f636d4135a9a849a74d02439a20f
90,EMP000090,343,87,130,196,8,6,Vertex EnergyMeterPoint 90,EMP000090,133.300000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a1b4da9ef53c58e0a529410cef7767dba1b4da9ef53c58e0a529410cef7767db
91,EMP000091,208,328,169,335,8,2,Delta EnergyMeterPoint 91,EMP000091,134.670000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36332b7132f254ffb6614c9133d273e136332b7132f254ffb6614c9133d273e1
92,EMP000092,332,229,374,45,2,3,Zenith EnergyMeterPoint 92,EMP000092,136.040000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64c6bf135b645a439bb108b38183a9f364c6bf135b645a439bb108b38183a9f3
93,EMP000093,330,351,272,279,7,2,Orion EnergyMeterPoint 93,EMP000093,137.410000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c7946e9aa0558a9a8763b6077bf570a1c7946e9aa0558a9a8763b6077bf570a
94,EMP000094,223,219,224,346,3,7,Beacon EnergyMeterPoint 94,EMP000094,138.780000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99a73e1b912355dda3b773be3007be0999a73e1b912355dda3b773be3007be09
95,EMP000095,191,307,128,116,1,2,Liberty EnergyMeterPoint 95,EMP000095,140.150000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,19d66f38e0195a179b4bd7b48233534f19d66f38e0195a179b4bd7b48233534f
