QualityInspectionPlanKey,InspectionPlanNumber,ProductKey,SupplierKey,QualityMethodProcedureKey,QualityInspectionTypeKey,EngineeringLifecycleStatusKey,QualityInspectionPlanName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
10,QIP000010,331,392,199,11,2,Pioneer QualityInspectionPlan 10,QIP000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0000a01c19065a20b10a41b5ea4b752c0000a01c19065a20b10a41b5ea4b752c
11,QIP000011,33,102,79,5,7,Cedar QualityInspectionPlan 11,QIP000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee565ac56604551ea965cd5d6d0ae0e5ee565ac56604551ea965cd5d6d0ae0e5
12,QIP000012,270,41,197,9,1,Willow QualityInspectionPlan 12,QIP000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,672a89e7c8095dd9857020711c2ddeed672a89e7c8095dd9857020711c2ddeed
13,QIP000013,321,470,224,3,8,Titan QualityInspectionPlan 13,QIP000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f052afa8435353fc9c300a1aec5bc9d7f052afa8435353fc9c300a1aec5bc9d7
14,QIP000014,343,159,218,7,5,Beacon QualityInspectionPlan 14,QIP000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,870a9dd3f1ce5c92bb7a244075b4be01870a9dd3f1ce5c92bb7a244075b4be01
15,QIP000015,20,28,112,5,7,Granite QualityInspectionPlan 15,QIP000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,43e51e4f59875a74a844a44d12f3c15643e51e4f59875a74a844a44d12f3c156
16,QIP000016,412,500,117,10,5,Meridian QualityInspectionPlan 16,QIP000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14ac7c4426b55c369ebbfb691687578a14ac7c4426b55c369ebbfb691687578a
17,QIP000017,-1,-1,36,2,-1,Forge QualityInspectionPlan 17,QIP000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30a7d67dafe45ee5a1481e818e99853c30a7d67dafe45ee5a1481e818e99853c
18,QIP000018,276,449,165,4,10,Liberty QualityInspectionPlan 18,QIP000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,719fe19f6b8955cba240df822da1fb1c719fe19f6b8955cba240df822da1fb1c
19,QIP000019,69,54,194,11,4,Quartz QualityInspectionPlan 19,QIP000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc23dd873c935edeaa5d84ca1cad38b6cc23dd873c935edeaa5d84ca1cad38b6
20,QIP000020,68,157,60,2,8,Granite QualityInspectionPlan 20,QIP000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8bd6340e99065d2d9a9e59b112608a908bd6340e99065d2d9a9e59b112608a90
21,QIP000021,10,258,22,2,7,Willow QualityInspectionPlan 21,QIP000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29291c8d20df5da3a8d1bfd7fe64def329291c8d20df5da3a8d1bfd7fe64def3
22,QIP000022,66,213,37,5,8,Granite QualityInspectionPlan 22,QIP000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b414d8aeedf85574aa5ad7d47c030e81b414d8aeedf85574aa5ad7d47c030e81
23,QIP000023,408,316,236,4,8,Vertex QualityInspectionPlan 23,QIP000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fca6bfe1bab158189beeab4ff884fde9fca6bfe1bab158189beeab4ff884fde9
24,QIP000024,403,139,225,11,9,Summit QualityInspectionPlan 24,QIP000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04b96cd166e650daa11f72612ef78b6204b96cd166e650daa11f72612ef78b62
25,QIP000025,414,208,158,4,6,Pioneer QualityInspectionPlan 25,QIP000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c529d8216475f999570add842052b5e7c529d8216475f999570add842052b5e
26,QIP000026,24,82,204,6,5,Riverton QualityInspectionPlan 26,QIP000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,110666300e03540ba09cfe931836d2e1110666300e03540ba09cfe931836d2e1
27,QIP000027,351,135,114,8,4,Vertex QualityInspectionPlan 27,QIP000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf95f586e3595c73a59b99f5dba751f6cf95f586e3595c73a59b99f5dba751f6
28,QIP000028,170,103,196,4,8,Keystone QualityInspectionPlan 28,QIP000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a9bf0af74895c8ea0866c3e408a01991a9bf0af74895c8ea0866c3e408a0199
29,QIP000029,92,363,238,10,8,Granite QualityInspectionPlan 29,QIP000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b509c6817dbc57ee98ddd544ca189304b509c6817dbc57ee98ddd544ca189304
30,QIP000030,46,72,36,10,5,Atlas QualityInspectionPlan 30,QIP000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,220a7d73ab0e56f7b435b8f28fd7c348220a7d73ab0e56f7b435b8f28fd7c348
31,QIP000031,494,463,136,12,4,Harbor QualityInspectionPlan 31,QIP000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ba8d36a82af5ddfb9a29b4b0f04e1681ba8d36a82af5ddfb9a29b4b0f04e168
32,QIP000032,426,236,102,11,1,Northstar QualityInspectionPlan 32,QIP000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b9f1946b7da592da229228090e79d736b9f1946b7da592da229228090e79d73
33,QIP000033,446,461,125,5,9,Granite QualityInspectionPlan 33,QIP000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,190fb84dc094595f93f7f25e94a00f13190fb84dc094595f93f7f25e94a00f13
34,QIP000034,-1,-1,28,3,-1,Cedar QualityInspectionPlan 34,QIP000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8ce0b860b0f5fe4b5145bf07f534470f8ce0b860b0f5fe4b5145bf07f534470
35,QIP000035,378,161,34,1,8,Unity QualityInspectionPlan 35,QIP000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55e075ec589d5c2e852d8d9f94addf5755e075ec589d5c2e852d8d9f94addf57
36,QIP000036,197,258,127,7,6,Harbor QualityInspectionPlan 36,QIP000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f10a81b29695e539c5e37a71fabb1991f10a81b29695e539c5e37a71fabb199
37,QIP000037,272,265,217,11,8,Junction QualityInspectionPlan 37,QIP000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4e3339401295b32befee67bff440bdda4e3339401295b32befee67bff440bdd
38,QIP000038,391,339,66,6,1,Meridian QualityInspectionPlan 38,QIP000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc6509bbe52551ab8b2fa2c3fdc65111bc6509bbe52551ab8b2fa2c3fdc65111
39,QIP000039,113,260,155,8,3,Summit QualityInspectionPlan 39,QIP000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db84d52858915742a01ee2b703c933a5db84d52858915742a01ee2b703c933a5
40,QIP000040,19,67,193,3,4,Cedar QualityInspectionPlan 40,QIP000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f52e68f610e8546ea758b813eaff185df52e68f610e8546ea758b813eaff185d
41,QIP000041,113,98,109,1,9,Delta QualityInspectionPlan 41,QIP000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2686f294cdfd5102a22812bb5234262c2686f294cdfd5102a22812bb5234262c
42,QIP000042,248,377,233,11,3,Evergreen QualityInspectionPlan 42,QIP000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20db90f9d4675b83a491a148d9072d6d20db90f9d4675b83a491a148d9072d6d
43,QIP000043,16,98,88,5,3,Evergreen QualityInspectionPlan 43,QIP000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c86bce9fa3e95fe89c63d20c7371a50ac86bce9fa3e95fe89c63d20c7371a50a
44,QIP000044,229,464,111,4,3,Atlas QualityInspectionPlan 44,QIP000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,388270109adc5fb68de52a660d7e4b91388270109adc5fb68de52a660d7e4b91
45,QIP000045,234,432,122,9,6,Cedar QualityInspectionPlan 45,QIP000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a508e8f24b605a558363ac0278c6edb7a508e8f24b605a558363ac0278c6edb7
46,QIP000046,487,28,69,6,10,Northstar QualityInspectionPlan 46,QIP000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b3c90c57a6258f18e72eea8cbd488de2b3c90c57a6258f18e72eea8cbd488de
47,QIP000047,92,343,188,9,7,Meridian QualityInspectionPlan 47,QIP000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ea1091dd85a599e8366cb5138a684132ea1091dd85a599e8366cb5138a68413
48,QIP000048,274,256,186,4,7,Cedar QualityInspectionPlan 48,QIP000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd3156c7a4c45b339eb1fbf81b339f64dd3156c7a4c45b339eb1fbf81b339f64
49,QIP000049,438,4,189,10,3,Delta QualityInspectionPlan 49,QIP000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91645903bb865af5be9def6a0926f1ad91645903bb865af5be9def6a0926f1ad
50,QIP000050,407,123,198,3,4,Northstar QualityInspectionPlan 50,QIP000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5f024058b1d5e9091cad51e51ad5083d5f024058b1d5e9091cad51e51ad5083
51,QIP000051,-1,-1,114,3,-1,Willow QualityInspectionPlan 51,QIP000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c5a2574470ce5e2b9a7f4ffdad4b3a5dc5a2574470ce5e2b9a7f4ffdad4b3a5d
52,QIP000052,186,424,79,5,10,Evergreen QualityInspectionPlan 52,QIP000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,068f14cb4eb35ade8f73a86168beb123068f14cb4eb35ade8f73a86168beb123
53,QIP000053,250,428,224,9,10,Keystone QualityInspectionPlan 53,QIP000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c5ea609e87055b54af5e7a42c9329bddc5ea609e87055b54af5e7a42c9329bdd
54,QIP000054,381,207,74,1,6,Northstar QualityInspectionPlan 54,QIP000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad3be72f3e4d53e1be4251b159c4ab5dad3be72f3e4d53e1be4251b159c4ab5d
55,QIP000055,397,495,52,10,8,Junction QualityInspectionPlan 55,QIP000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e61f530e97f75bb3b2adffbd5c4cab24e61f530e97f75bb3b2adffbd5c4cab24
56,QIP000056,234,343,197,7,8,Vertex QualityInspectionPlan 56,QIP000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac2cc0e0baaf55159bca1eb8af9cb45aac2cc0e0baaf55159bca1eb8af9cb45a
57,QIP000057,214,488,108,10,7,Atlas QualityInspectionPlan 57,QIP000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d5fe3b6f6b458a788b67469101295cc1d5fe3b6f6b458a788b67469101295cc
58,QIP000058,264,47,126,1,10,Evergreen QualityInspectionPlan 58,QIP000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17fc2fb9c0db5488ab9c5667ae73c6d917fc2fb9c0db5488ab9c5667ae73c6d9
59,QIP000059,185,498,216,4,8,Ion QualityInspectionPlan 59,QIP000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0681e19fc6e15f5a9155873def6688710681e19fc6e15f5a9155873def668871
60,QIP000060,496,469,236,7,2,Atlas QualityInspectionPlan 60,QIP000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54bff71688c35fe194711007b03441ba54bff71688c35fe194711007b03441ba
61,QIP000061,420,344,109,3,5,Forge QualityInspectionPlan 61,QIP000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77f2f8aae5bd548d82949215bece3a3b77f2f8aae5bd548d82949215bece3a3b
62,QIP000062,169,381,230,9,4,Evergreen QualityInspectionPlan 62,QIP000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd02c25002115481bf04ec3f976a1b1edd02c25002115481bf04ec3f976a1b1e
63,QIP000063,349,254,35,4,7,Granite QualityInspectionPlan 63,QIP000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc10abf6ee285e368a4474769657abebcc10abf6ee285e368a4474769657abeb
64,QIP000064,306,103,197,11,5,Titan QualityInspectionPlan 64,QIP000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f63b2e08fdf55d2581eebc5348fe40f8f63b2e08fdf55d2581eebc5348fe40f8
65,QIP000065,61,319,110,3,1,Cedar QualityInspectionPlan 65,QIP000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11fcd55cb8805ae2af9eb87dbc47714711fcd55cb8805ae2af9eb87dbc477147
66,QIP000066,424,456,101,1,6,Granite QualityInspectionPlan 66,QIP000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40caafb6cc27548798eb42dbbfa0caf940caafb6cc27548798eb42dbbfa0caf9
67,QIP000067,428,156,223,2,7,Junction QualityInspectionPlan 67,QIP000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,350b9b3cb49c55298aaf877b4b4b7ceb350b9b3cb49c55298aaf877b4b4b7ceb
68,QIP000068,-1,-1,7,7,-1,Granite QualityInspectionPlan 68,QIP000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f198ce482d0450f19937c26af900ae91f198ce482d0450f19937c26af900ae91
69,QIP000069,271,75,101,12,7,Liberty QualityInspectionPlan 69,QIP000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9147384bce485d7ea782287a2234ef389147384bce485d7ea782287a2234ef38
70,QIP000070,175,353,145,8,6,Titan QualityInspectionPlan 70,QIP000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9707356a53a5a33b490462c97684013a9707356a53a5a33b490462c97684013
71,QIP000071,64,144,120,3,10,Unity QualityInspectionPlan 71,QIP000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ffd6af10065755599973ce5f23af44fdffd6af10065755599973ce5f23af44fd
72,QIP000072,145,171,156,9,5,Northstar QualityInspectionPlan 72,QIP000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eddc65881567557285106c8b9da22759eddc65881567557285106c8b9da22759
73,QIP000073,248,472,229,4,3,Riverton QualityInspectionPlan 73,QIP000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7172cdbe59f354a184019981198fa4937172cdbe59f354a184019981198fa493
74,QIP000074,7,273,168,1,10,Unity QualityInspectionPlan 74,QIP000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4cac6e74c1055bcaeeec6ca7a7d997da4cac6e74c1055bcaeeec6ca7a7d997d
75,QIP000075,426,238,185,1,8,Delta QualityInspectionPlan 75,QIP000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b859d4ffac9a580a996b92dd03c1ba51b859d4ffac9a580a996b92dd03c1ba51
76,QIP000076,27,469,119,5,7,Willow QualityInspectionPlan 76,QIP000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff89f1cca2ac5e1e9a5f4c5fc8b08db4ff89f1cca2ac5e1e9a5f4c5fc8b08db4
77,QIP000077,388,322,51,9,2,Quartz QualityInspectionPlan 77,QIP000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0767358f539587e8406f5d1cf47bae2b0767358f539587e8406f5d1cf47bae2
78,QIP000078,73,230,12,5,1,Delta QualityInspectionPlan 78,QIP000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3de8a9924a457008aa84f20331320f0c3de8a9924a457008aa84f20331320f0
79,QIP000079,157,45,32,9,4,Orion QualityInspectionPlan 79,QIP000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e303a373db6d5d06a1efa501193b47aae303a373db6d5d06a1efa501193b47aa
80,QIP000080,251,343,171,9,7,Liberty QualityInspectionPlan 80,QIP000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e7cee07f3fdc5f97aacacd748e039e5de7cee07f3fdc5f97aacacd748e039e5d
81,QIP000081,464,474,215,12,4,Titan QualityInspectionPlan 81,QIP000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4cf49c3c5f985a1a9e6f2fd9352710aa4cf49c3c5f985a1a9e6f2fd9352710aa
82,QIP000082,151,52,232,3,4,Ion QualityInspectionPlan 82,QIP000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30fe1dda2443513eb242dcc54526d1dd30fe1dda2443513eb242dcc54526d1dd
83,QIP000083,202,373,62,8,5,Liberty QualityInspectionPlan 83,QIP000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb00aba8b4de5564b63ecd9cafee7f49fb00aba8b4de5564b63ecd9cafee7f49
84,QIP000084,76,18,180,3,5,Granite QualityInspectionPlan 84,QIP000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b273eca11ed554d88aa10419ada60467b273eca11ed554d88aa10419ada60467
85,QIP000085,-1,-1,143,2,-1,Orion QualityInspectionPlan 85,QIP000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f711e124b7857c186d120c0701828ed8f711e124b7857c186d120c0701828ed
86,QIP000086,381,442,62,3,1,Harbor QualityInspectionPlan 86,QIP000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcd1490a7ce350ce82784fa53efe2752fcd1490a7ce350ce82784fa53efe2752
87,QIP000087,19,421,116,12,9,Orion QualityInspectionPlan 87,QIP000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,33e331182a6a5171822a9100bfa49bf533e331182a6a5171822a9100bfa49bf5
88,QIP000088,44,22,218,8,3,Pioneer QualityInspectionPlan 88,QIP000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d532f0a694751d5b6ed7611919de7f02d532f0a694751d5b6ed7611919de7f0
89,QIP000089,276,235,135,1,7,Forge QualityInspectionPlan 89,QIP000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85388545631b59028f278ceda2ccb2ca85388545631b59028f278ceda2ccb2ca
90,QIP000090,187,312,85,2,7,Vertex QualityInspectionPlan 90,QIP000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f12fc230419154eeaf690a7994cd7687f12fc230419154eeaf690a7994cd7687
91,QIP000091,178,242,192,2,2,Zenith QualityInspectionPlan 91,QIP000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba90bc7ea44859d6a5ac93884a456a82ba90bc7ea44859d6a5ac93884a456a82
92,QIP000092,492,381,48,2,1,Meridian QualityInspectionPlan 92,QIP000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,adca9610f78c5f1c95d2e38e0187fb89adca9610f78c5f1c95d2e38e0187fb89
93,QIP000093,419,5,130,2,3,Summit QualityInspectionPlan 93,QIP000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40a93ec3d79a5137977343ce2d70280b40a93ec3d79a5137977343ce2d70280b
94,QIP000094,38,256,197,2,4,Unity QualityInspectionPlan 94,QIP000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68701e020efd55b580256aa6f2b6494768701e020efd55b580256aa6f2b64947
95,QIP000095,42,121,55,2,4,Willow QualityInspectionPlan 95,QIP000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c740a9d279df5fb7a1ab2a08f24457b9c740a9d279df5fb7a1ab2a08f24457b9
