SalesChannelSegmentKey,SalesChannelSegmentCode,SalesChannelKey,SalesChannelSegmentName,SourceSystemKey,BatchId,LoadedAtUtc
55,SCS000055,39,Granite SalesChannelSegment 55,1,1,2026-08-24T00:00:00.000
56,SCS000056,78,Unity SalesChannelSegment 56,1,1,2026-08-24T00:00:00.000
57,SCS000057,65,Cedar SalesChannelSegment 57,1,1,2026-08-24T00:00:00.000
58,SCS000058,22,Willow SalesChannelSegment 58,1,1,2026-08-24T00:00:00.000
59,SCS000059,18,Cedar SalesChannelSegment 59,1,1,2026-08-24T00:00:00.000
60,SCS000060,58,Riverton SalesChannelSegment 60,1,1,2026-08-24T00:00:00.000
61,SCS000061,44,Delta SalesChannelSegment 61,1,1,2026-08-24T00:00:00.000
62,SCS000062,12,Harbor SalesChannelSegment 62,1,1,2026-08-24T00:00:00.000
63,SCS000063,38,Ion SalesChannelSegment 63,1,1,2026-08-24T00:00:00.000
64,SCS000064,92,Liberty SalesChannelSegment 64,1,1,2026-08-24T00:00:00.000
65,SCS000065,112,Titan SalesChannelSegment 65,1,1,2026-08-24T00:00:00.000
66,SCS000066,19,Summit SalesChannelSegment 66,1,1,2026-08-24T00:00:00.000
67,SCS000067,71,Unity SalesChannelSegment 67,1,1,2026-08-24T00:00:00.000
68,SCS000068,112,Meridian SalesChannelSegment 68,1,1,2026-08-24T00:00:00.000
69,SCS000069,62,Evergreen SalesChannelSegment 69,1,1,2026-08-24T00:00:00.000
70,SCS000070,79,Keystone SalesChannelSegment 70,1,1,2026-08-24T00:00:00.000
71,SCS000071,69,Evergreen SalesChannelSegment 71,1,1,2026-08-24T00:00:00.000
72,SCS000072,45,Meridian SalesChannelSegment 72,1,1,2026-08-24T00:00:00.000
73,SCS000073,77,Beacon SalesChannelSegment 73,1,1,2026-08-24T00:00:00.000
74,SCS000074,43,Keystone SalesChannelSegment 74,1,1,2026-08-24T00:00:00.000
75,SCS000075,10,Titan SalesChannelSegment 75,1,1,2026-08-24T00:00:00.000
76,SCS000076,17,Keystone SalesChannelSegment 76,1,1,2026-08-24T00:00:00.000
77,SCS000077,54,Ion SalesChannelSegment 77,1,1,2026-08-24T00:00:00.000
78,SCS000078,99,Liberty SalesChannelSegment 78,1,1,2026-08-24T00:00:00.000
79,SCS000079,26,Quartz SalesChannelSegment 79,1,1,2026-08-24T00:00:00.000
80,SCS000080,92,Riverton SalesChannelSegment 80,1,1,2026-08-24T00:00:00.000
81,SCS000081,23,Cedar SalesChannelSegment 81,1,1,2026-08-24T00:00:00.000
82,SCS000082,4,Pioneer SalesChannelSegment 82,1,1,2026-08-24T00:00:00.000
83,SCS000083,70,Liberty SalesChannelSegment 83,1,1,2026-08-24T00:00:00.000
84,SCS000084,15,Zenith SalesChannelSegment 84,1,1,2026-08-24T00:00:00.000
85,SCS000085,110,Meridian SalesChannelSegment 85,1,1,2026-08-24T00:00:00.000
86,SCS000086,53,Zenith SalesChannelSegment 86,1,1,2026-08-24T00:00:00.000
87,SCS000087,13,Pioneer SalesChannelSegment 87,1,1,2026-08-24T00:00:00.000
88,SCS000088,22,Liberty SalesChannelSegment 88,1,1,2026-08-24T00:00:00.000
89,SCS000089,44,Meridian SalesChannelSegment 89,1,1,2026-08-24T00:00:00.000
90,SCS000090,44,Forge SalesChannelSegment 90,1,1,2026-08-24T00:00:00.000
91,SCS000091,30,Cedar SalesChannelSegment 91,1,1,2026-08-24T00:00:00.000
92,SCS000092,14,Cedar SalesChannelSegment 92,1,1,2026-08-24T00:00:00.000
93,SCS000093,33,Titan SalesChannelSegment 93,1,1,2026-08-24T00:00:00.000
94,SCS000094,108,Evergreen SalesChannelSegment 94,1,1,2026-08-24T00:00:00.000
95,SCS000095,16,Liberty SalesChannelSegment 95,1,1,2026-08-24T00:00:00.000
96,SCS000096,89,Pioneer SalesChannelSegment 96,1,1,2026-08-24T00:00:00.000
97,SCS000097,7,Willow SalesChannelSegment 97,1,1,2026-08-24T00:00:00.000
98,SCS000098,109,Riverton SalesChannelSegment 98,1,1,2026-08-24T00:00:00.000
99,SCS000099,49,Pioneer SalesChannelSegment 99,1,1,2026-08-24T00:00:00.000
100,SCS000100,12,Orion SalesChannelSegment 100,1,1,2026-08-24T00:00:00.000
101,SCS000101,78,Willow SalesChannelSegment 101,1,1,2026-08-24T00:00:00.000
102,SCS000102,22,Vertex SalesChannelSegment 102,1,1,2026-08-24T00:00:00.000
103,SCS000103,15,Willow SalesChannelSegment 103,1,1,2026-08-24T00:00:00.000
104,SCS000104,108,Meridian SalesChannelSegment 104,1,1,2026-08-24T00:00:00.000
105,SCS000105,60,Atlas SalesChannelSegment 105,1,1,2026-08-24T00:00:00.000
106,SCS000106,12,Summit SalesChannelSegment 106,1,1,2026-08-24T00:00:00.000
107,SCS000107,10,Northstar SalesChannelSegment 107,1,1,2026-08-24T00:00:00.000
108,SCS000108,76,Forge SalesChannelSegment 108,1,1,2026-08-24T00:00:00.000
109,SCS000109,3,Delta SalesChannelSegment 109,1,1,2026-08-24T00:00:00.000
110,SCS000110,49,Evergreen SalesChannelSegment 110,1,1,2026-08-24T00:00:00.000
111,SCS000111,62,Summit SalesChannelSegment 111,1,1,2026-08-24T00:00:00.000
112,SCS000112,94,Titan SalesChannelSegment 112,1,1,2026-08-24T00:00:00.000
113,SCS000113,23,Junction SalesChannelSegment 113,1,1,2026-08-24T00:00:00.000
114,SCS000114,3,Cedar SalesChannelSegment 114,1,1,2026-08-24T00:00:00.000
115,SCS000115,120,Forge SalesChannelSegment 115,1,1,2026-08-24T00:00:00.000
116,SCS000116,9,Northstar SalesChannelSegment 116,1,1,2026-08-24T00:00:00.000
117,SCS000117,14,Unity SalesChannelSegment 117,1,1,2026-08-24T00:00:00.000
118,SCS000118,113,Vertex SalesChannelSegment 118,1,1,2026-08-24T00:00:00.000
119,SCS000119,15,Pioneer SalesChannelSegment 119,1,1,2026-08-24T00:00:00.000
120,SCS000120,60,Meridian SalesChannelSegment 120,1,1,2026-08-24T00:00:00.000
121,SCS000121,21,Granite SalesChannelSegment 121,1,1,2026-08-24T00:00:00.000
122,SCS000122,56,Pioneer SalesChannelSegment 122,1,1,2026-08-24T00:00:00.000
123,SCS000123,71,Summit SalesChannelSegment 123,1,1,2026-08-24T00:00:00.000
124,SCS000124,106,Keystone SalesChannelSegment 124,1,1,2026-08-24T00:00:00.000
125,SCS000125,34,Delta SalesChannelSegment 125,1,1,2026-08-24T00:00:00.000
126,SCS000126,51,Liberty SalesChannelSegment 126,1,1,2026-08-24T00:00:00.000
127,SCS000127,41,Unity SalesChannelSegment 127,1,1,2026-08-24T00:00:00.000
128,SCS000128,105,Harbor SalesChannelSegment 128,1,1,2026-08-24T00:00:00.000
129,SCS000129,41,Forge SalesChannelSegment 129,1,1,2026-08-24T00:00:00.000
130,SCS000130,111,Cedar SalesChannelSegment 130,1,1,2026-08-24T00:00:00.000
131,SCS000131,30,Orion SalesChannelSegment 131,1,1,2026-08-24T00:00:00.000
132,SCS000132,94,Vertex SalesChannelSegment 132,1,1,2026-08-24T00:00:00.000
133,SCS000133,18,Titan SalesChannelSegment 133,1,1,2026-08-24T00:00:00.000
134,SCS000134,43,Vertex SalesChannelSegment 134,1,1,2026-08-24T00:00:00.000
135,SCS000135,110,Forge SalesChannelSegment 135,1,1,2026-08-24T00:00:00.000
136,SCS000136,43,Delta SalesChannelSegment 136,1,1,2026-08-24T00:00:00.000
137,SCS000137,56,Ion SalesChannelSegment 137,1,1,2026-08-24T00:00:00.000
138,SCS000138,83,Forge SalesChannelSegment 138,1,1,2026-08-24T00:00:00.000
139,SCS000139,78,Cedar SalesChannelSegment 139,1,1,2026-08-24T00:00:00.000
140,SCS000140,61,Quartz SalesChannelSegment 140,1,1,2026-08-24T00:00:00.000
141,SCS000141,85,Delta SalesChannelSegment 141,1,1,2026-08-24T00:00:00.000
142,SCS000142,84,Evergreen SalesChannelSegment 142,1,1,2026-08-24T00:00:00.000
143,SCS000143,94,Cedar SalesChannelSegment 143,1,1,2026-08-24T00:00:00.000
144,SCS000144,3,Willow SalesChannelSegment 144,1,1,2026-08-24T00:00:00.000
145,SCS000145,22,Zenith SalesChannelSegment 145,1,1,2026-08-24T00:00:00.000
146,SCS000146,86,Unity SalesChannelSegment 146,1,1,2026-08-24T00:00:00.000
147,SCS000147,83,Ion SalesChannelSegment 147,1,1,2026-08-24T00:00:00.000
148,SCS000148,105,Quartz SalesChannelSegment 148,1,1,2026-08-24T00:00:00.000
149,SCS000149,72,Liberty SalesChannelSegment 149,1,1,2026-08-24T00:00:00.000
150,SCS000150,82,Willow SalesChannelSegment 150,1,1,2026-08-24T00:00:00.000
151,SCS000151,103,Meridian SalesChannelSegment 151,1,1,2026-08-24T00:00:00.000
152,SCS000152,35,Riverton SalesChannelSegment 152,1,1,2026-08-24T00:00:00.000
153,SCS000153,81,Northstar SalesChannelSegment 153,1,1,2026-08-24T00:00:00.000
154,SCS000154,117,Forge SalesChannelSegment 154,1,1,2026-08-24T00:00:00.000
155,SCS000155,2,Granite SalesChannelSegment 155,1,1,2026-08-24T00:00:00.000
156,SCS000156,114,Summit SalesChannelSegment 156,1,1,2026-08-24T00:00:00.000
157,SCS000157,18,Unity SalesChannelSegment 157,1,1,2026-08-24T00:00:00.000
158,SCS000158,22,Beacon SalesChannelSegment 158,1,1,2026-08-24T00:00:00.000
159,SCS000159,46,Orion SalesChannelSegment 159,1,1,2026-08-24T00:00:00.000
160,SCS000160,1,Unity SalesChannelSegment 160,1,1,2026-08-24T00:00:00.000
161,SCS000161,15,Cedar SalesChannelSegment 161,1,1,2026-08-24T00:00:00.000
162,SCS000162,24,Ion SalesChannelSegment 162,1,1,2026-08-24T00:00:00.000
163,SCS000163,35,Delta SalesChannelSegment 163,1,1,2026-08-24T00:00:00.000
164,SCS000164,109,Cedar SalesChannelSegment 164,1,1,2026-08-24T00:00:00.000
165,SCS000165,68,Liberty SalesChannelSegment 165,1,1,2026-08-24T00:00:00.000
166,SCS000166,98,Summit SalesChannelSegment 166,1,1,2026-08-24T00:00:00.000
167,SCS000167,100,Forge SalesChannelSegment 167,1,1,2026-08-24T00:00:00.000
168,SCS000168,97,Pioneer SalesChannelSegment 168,1,1,2026-08-24T00:00:00.000
169,SCS000169,31,Forge SalesChannelSegment 169,1,1,2026-08-24T00:00:00.000
170,SCS000170,92,Northstar SalesChannelSegment 170,1,1,2026-08-24T00:00:00.000
171,SCS000171,106,Vertex SalesChannelSegment 171,1,1,2026-08-24T00:00:00.000
172,SCS000172,27,Cedar SalesChannelSegment 172,1,1,2026-08-24T00:00:00.000
173,SCS000173,34,Cedar SalesChannelSegment 173,1,1,2026-08-24T00:00:00.000
174,SCS000174,11,Granite SalesChannelSegment 174,1,1,2026-08-24T00:00:00.000
175,SCS000175,88,Meridian SalesChannelSegment 175,1,1,2026-08-24T00:00:00.000
176,SCS000176,35,Pioneer SalesChannelSegment 176,1,1,2026-08-24T00:00:00.000
177,SCS000177,99,Granite SalesChannelSegment 177,1,1,2026-08-24T00:00:00.000
178,SCS000178,31,Unity SalesChannelSegment 178,1,1,2026-08-24T00:00:00.000
179,SCS000179,3,Titan SalesChannelSegment 179,1,1,2026-08-24T00:00:00.000
180,SCS000180,51,Cedar SalesChannelSegment 180,1,1,2026-08-24T00:00:00.000
181,SCS000181,61,Riverton SalesChannelSegment 181,1,1,2026-08-24T00:00:00.000
182,SCS000182,115,Quartz SalesChannelSegment 182,1,1,2026-08-24T00:00:00.000
183,SCS000183,110,Keystone SalesChannelSegment 183,1,1,2026-08-24T00:00:00.000
184,SCS000184,76,Beacon SalesChannelSegment 184,1,1,2026-08-24T00:00:00.000
185,SCS000185,23,Harbor SalesChannelSegment 185,1,1,2026-08-24T00:00:00.000
186,SCS000186,7,Evergreen SalesChannelSegment 186,1,1,2026-08-24T00:00:00.000
187,SCS000187,119,Ion SalesChannelSegment 187,1,1,2026-08-24T00:00:00.000
188,SCS000188,30,Liberty SalesChannelSegment 188,1,1,2026-08-24T00:00:00.000
189,SCS000189,39,Orion SalesChannelSegment 189,1,1,2026-08-24T00:00:00.000
190,SCS000190,21,Vertex SalesChannelSegment 190,1,1,2026-08-24T00:00:00.000
191,SCS000191,104,Evergreen SalesChannelSegment 191,1,1,2026-08-24T00:00:00.000
192,SCS000192,32,Riverton SalesChannelSegment 192,1,1,2026-08-24T00:00:00.000
193,SCS000193,12,Junction SalesChannelSegment 193,1,1,2026-08-24T00:00:00.000
194,SCS000194,10,Atlas SalesChannelSegment 194,1,1,2026-08-24T00:00:00.000
195,SCS000195,39,Willow SalesChannelSegment 195,1,1,2026-08-24T00:00:00.000
196,SCS000196,31,Harbor SalesChannelSegment 196,1,1,2026-08-24T00:00:00.000
197,SCS000197,14,Ion SalesChannelSegment 197,1,1,2026-08-24T00:00:00.000
198,SCS000198,37,Harbor SalesChannelSegment 198,1,1,2026-08-24T00:00:00.000
199,SCS000199,97,Titan SalesChannelSegment 199,1,1,2026-08-24T00:00:00.000
200,SCS000200,11,Orion SalesChannelSegment 200,1,1,2026-08-24T00:00:00.000
201,SCS000201,7,Orion SalesChannelSegment 201,1,1,2026-08-24T00:00:00.000
202,SCS000202,118,Northstar SalesChannelSegment 202,1,1,2026-08-24T00:00:00.000
203,SCS000203,98,Zenith SalesChannelSegment 203,1,1,2026-08-24T00:00:00.000
204,SCS000204,37,Pioneer SalesChannelSegment 204,1,1,2026-08-24T00:00:00.000
205,SCS000205,23,Northstar SalesChannelSegment 205,1,1,2026-08-24T00:00:00.000
206,SCS000206,115,Pioneer SalesChannelSegment 206,1,1,2026-08-24T00:00:00.000
207,SCS000207,41,Willow SalesChannelSegment 207,1,1,2026-08-24T00:00:00.000
208,SCS000208,62,Cedar SalesChannelSegment 208,1,1,2026-08-24T00:00:00.000
209,SCS000209,109,Junction SalesChannelSegment 209,1,1,2026-08-24T00:00:00.000
210,SCS000210,105,Harbor SalesChannelSegment 210,1,1,2026-08-24T00:00:00.000
211,SCS000211,68,Delta SalesChannelSegment 211,1,1,2026-08-24T00:00:00.000
212,SCS000212,81,Forge SalesChannelSegment 212,1,1,2026-08-24T00:00:00.000
213,SCS000213,35,Beacon SalesChannelSegment 213,1,1,2026-08-24T00:00:00.000
214,SCS000214,118,Quartz SalesChannelSegment 214,1,1,2026-08-24T00:00:00.000
215,SCS000215,55,Quartz SalesChannelSegment 215,1,1,2026-08-24T00:00:00.000
216,SCS000216,22,Orion SalesChannelSegment 216,1,1,2026-08-24T00:00:00.000
217,SCS000217,42,Liberty SalesChannelSegment 217,1,1,2026-08-24T00:00:00.000
218,SCS000218,68,Pioneer SalesChannelSegment 218,1,1,2026-08-24T00:00:00.000
219,SCS000219,89,Beacon SalesChannelSegment 219,1,1,2026-08-24T00:00:00.000
220,SCS000220,31,Ion SalesChannelSegment 220,1,1,2026-08-24T00:00:00.000
221,SCS000221,47,Willow SalesChannelSegment 221,1,1,2026-08-24T00:00:00.000
222,SCS000222,94,Beacon SalesChannelSegment 222,1,1,2026-08-24T00:00:00.000
223,SCS000223,78,Northstar SalesChannelSegment 223,1,1,2026-08-24T00:00:00.000
224,SCS000224,22,Liberty SalesChannelSegment 224,1,1,2026-08-24T00:00:00.000
225,SCS000225,98,Riverton SalesChannelSegment 225,1,1,2026-08-24T00:00:00.000
226,SCS000226,39,Orion SalesChannelSegment 226,1,1,2026-08-24T00:00:00.000
227,SCS000227,47,Harbor SalesChannelSegment 227,1,1,2026-08-24T00:00:00.000
228,SCS000228,40,Orion SalesChannelSegment 228,1,1,2026-08-24T00:00:00.000
229,SCS000229,76,Harbor SalesChannelSegment 229,1,1,2026-08-24T00:00:00.000
230,SCS000230,94,Evergreen SalesChannelSegment 230,1,1,2026-08-24T00:00:00.000
231,SCS000231,75,Riverton SalesChannelSegment 231,1,1,2026-08-24T00:00:00.000
232,SCS000232,61,Keystone SalesChannelSegment 232,1,1,2026-08-24T00:00:00.000
233,SCS000233,14,Junction SalesChannelSegment 233,1,1,2026-08-24T00:00:00.000
234,SCS000234,52,Pioneer SalesChannelSegment 234,1,1,2026-08-24T00:00:00.000
235,SCS000235,1,Delta SalesChannelSegment 235,1,1,2026-08-24T00:00:00.000
236,SCS000236,70,Riverton SalesChannelSegment 236,1,1,2026-08-24T00:00:00.000
237,SCS000237,19,Harbor SalesChannelSegment 237,1,1,2026-08-24T00:00:00.000
238,SCS000238,91,Orion SalesChannelSegment 238,1,1,2026-08-24T00:00:00.000
239,SCS000239,75,Forge SalesChannelSegment 239,1,1,2026-08-24T00:00:00.000
240,SCS000240,108,Vertex SalesChannelSegment 240,1,1,2026-08-24T00:00:00.000
241,SCS000241,108,Granite SalesChannelSegment 241,1,1,2026-08-24T00:00:00.000
242,SCS000242,82,Meridian SalesChannelSegment 242,1,1,2026-08-24T00:00:00.000
243,SCS000243,24,Zenith SalesChannelSegment 243,1,1,2026-08-24T00:00:00.000
244,SCS000244,112,Atlas SalesChannelSegment 244,1,1,2026-08-24T00:00:00.000
245,SCS000245,114,Northstar SalesChannelSegment 245,1,1,2026-08-24T00:00:00.000
246,SCS000246,90,Zenith SalesChannelSegment 246,1,1,2026-08-24T00:00:00.000
247,SCS000247,81,Vertex SalesChannelSegment 247,1,1,2026-08-24T00:00:00.000
248,SCS000248,73,Riverton SalesChannelSegment 248,1,1,2026-08-24T00:00:00.000
249,SCS000249,55,Delta SalesChannelSegment 249,1,1,2026-08-24T00:00:00.000
250,SCS000250,47,Cedar SalesChannelSegment 250,1,1,2026-08-24T00:00:00.000
251,SCS000251,18,Evergreen SalesChannelSegment 251,1,1,2026-08-24T00:00:00.000
252,SCS000252,20,Junction SalesChannelSegment 252,1,1,2026-08-24T00:00:00.000
253,SCS000253,11,Quartz SalesChannelSegment 253,1,1,2026-08-24T00:00:00.000
254,SCS000254,104,Liberty SalesChannelSegment 254,1,1,2026-08-24T00:00:00.000
255,SCS000255,91,Atlas SalesChannelSegment 255,1,1,2026-08-24T00:00:00.000
256,SCS000256,7,Riverton SalesChannelSegment 256,1,1,2026-08-24T00:00:00.000
257,SCS000257,66,Unity SalesChannelSegment 257,1,1,2026-08-24T00:00:00.000
258,SCS000258,26,Harbor SalesChannelSegment 258,1,1,2026-08-24T00:00:00.000
259,SCS000259,47,Summit SalesChannelSegment 259,1,1,2026-08-24T00:00:00.000
260,SCS000260,114,Atlas SalesChannelSegment 260,1,1,2026-08-24T00:00:00.000
261,SCS000261,55,Vertex SalesChannelSegment 261,1,1,2026-08-24T00:00:00.000
262,SCS000262,15,Zenith SalesChannelSegment 262,1,1,2026-08-24T00:00:00.000
263,SCS000263,100,Pioneer SalesChannelSegment 263,1,1,2026-08-24T00:00:00.000
264,SCS000264,119,Summit SalesChannelSegment 264,1,1,2026-08-24T00:00:00.000
265,SCS000265,46,Unity SalesChannelSegment 265,1,1,2026-08-24T00:00:00.000
266,SCS000266,91,Riverton SalesChannelSegment 266,1,1,2026-08-24T00:00:00.000
267,SCS000267,111,Harbor SalesChannelSegment 267,1,1,2026-08-24T00:00:00.000
268,SCS000268,26,Zenith SalesChannelSegment 268,1,1,2026-08-24T00:00:00.000
269,SCS000269,108,Willow SalesChannelSegment 269,1,1,2026-08-24T00:00:00.000
270,SCS000270,9,Quartz SalesChannelSegment 270,1,1,2026-08-24T00:00:00.000
271,SCS000271,94,Beacon SalesChannelSegment 271,1,1,2026-08-24T00:00:00.000
272,SCS000272,62,Unity SalesChannelSegment 272,1,1,2026-08-24T00:00:00.000
273,SCS000273,33,Summit SalesChannelSegment 273,1,1,2026-08-24T00:00:00.000
274,SCS000274,41,Cedar SalesChannelSegment 274,1,1,2026-08-24T00:00:00.000
275,SCS000275,83,Willow SalesChannelSegment 275,1,1,2026-08-24T00:00:00.000
276,SCS000276,77,Northstar SalesChannelSegment 276,1,1,2026-08-24T00:00:00.000
277,SCS000277,22,Forge SalesChannelSegment 277,1,1,2026-08-24T00:00:00.000
278,SCS000278,112,Evergreen SalesChannelSegment 278,1,1,2026-08-24T00:00:00.000
279,SCS000279,86,Evergreen SalesChannelSegment 279,1,1,2026-08-24T00:00:00.000
280,SCS000280,97,Pioneer SalesChannelSegment 280,1,1,2026-08-24T00:00:00.000
281,SCS000281,91,Pioneer SalesChannelSegment 281,1,1,2026-08-24T00:00:00.000
282,SCS000282,48,Orion SalesChannelSegment 282,1,1,2026-08-24T00:00:00.000
283,SCS000283,34,Ion SalesChannelSegment 283,1,1,2026-08-24T00:00:00.000
284,SCS000284,104,Meridian SalesChannelSegment 284,1,1,2026-08-24T00:00:00.000
285,SCS000285,94,Evergreen SalesChannelSegment 285,1,1,2026-08-24T00:00:00.000
286,SCS000286,91,Atlas SalesChannelSegment 286,1,1,2026-08-24T00:00:00.000
287,SCS000287,111,Atlas SalesChannelSegment 287,1,1,2026-08-24T00:00:00.000
288,SCS000288,17,Meridian SalesChannelSegment 288,1,1,2026-08-24T00:00:00.000
289,SCS000289,22,Zenith SalesChannelSegment 289,1,1,2026-08-24T00:00:00.000
290,SCS000290,32,Pioneer SalesChannelSegment 290,1,1,2026-08-24T00:00:00.000
291,SCS000291,71,Zenith SalesChannelSegment 291,1,1,2026-08-24T00:00:00.000
292,SCS000292,14,Pioneer SalesChannelSegment 292,1,1,2026-08-24T00:00:00.000
293,SCS000293,23,Northstar SalesChannelSegment 293,1,1,2026-08-24T00:00:00.000
294,SCS000294,65,Beacon SalesChannelSegment 294,1,1,2026-08-24T00:00:00.000
295,SCS000295,52,Unity SalesChannelSegment 295,1,1,2026-08-24T00:00:00.000
296,SCS000296,115,Forge SalesChannelSegment 296,1,1,2026-08-24T00:00:00.000
297,SCS000297,117,Atlas SalesChannelSegment 297,1,1,2026-08-24T00:00:00.000
298,SCS000298,110,Junction SalesChannelSegment 298,1,1,2026-08-24T00:00:00.000
299,SCS000299,50,Cedar SalesChannelSegment 299,1,1,2026-08-24T00:00:00.000
300,SCS000300,40,Junction SalesChannelSegment 300,1,1,2026-08-24T00:00:00.000
301,SCS000301,67,Beacon SalesChannelSegment 301,1,1,2026-08-24T00:00:00.000
302,SCS000302,26,Orion SalesChannelSegment 302,1,1,2026-08-24T00:00:00.000
303,SCS000303,75,Quartz SalesChannelSegment 303,1,1,2026-08-24T00:00:00.000
304,SCS000304,27,Meridian SalesChannelSegment 304,1,1,2026-08-24T00:00:00.000
305,SCS000305,65,Junction SalesChannelSegment 305,1,1,2026-08-24T00:00:00.000
306,SCS000306,55,Beacon SalesChannelSegment 306,1,1,2026-08-24T00:00:00.000
307,SCS000307,61,Vertex SalesChannelSegment 307,1,1,2026-08-24T00:00:00.000
308,SCS000308,113,Summit SalesChannelSegment 308,1,1,2026-08-24T00:00:00.000
309,SCS000309,109,Northstar SalesChannelSegment 309,1,1,2026-08-24T00:00:00.000
