LaborCrewAreaKey,LaborCrewAreaCode,LaborCrewOrganizationKey,LaborCrewAreaName,SourceSystemKey,BatchId,LoadedAtUtc
61,LCA000061,11,Titan LaborCrewArea 61,1,1,2026-08-24T00:00:00.000
62,LCA000062,5,Evergreen LaborCrewArea 62,1,1,2026-08-24T00:00:00.000
63,LCA000063,20,Vertex LaborCrewArea 63,1,1,2026-08-24T00:00:00.000
64,LCA000064,8,Quartz LaborCrewArea 64,1,1,2026-08-24T00:00:00.000
65,LCA000065,12,Vertex LaborCrewArea 65,1,1,2026-08-24T00:00:00.000
66,LCA000066,13,Quartz LaborCrewArea 66,1,1,2026-08-24T00:00:00.000
67,LCA000067,18,Harbor LaborCrewArea 67,1,1,2026-08-24T00:00:00.000
68,LCA000068,1,Quartz LaborCrewArea 68,1,1,2026-08-24T00:00:00.000
69,LCA000069,5,Keystone LaborCrewArea 69,1,1,2026-08-24T00:00:00.000
70,LCA000070,7,Zenith LaborCrewArea 70,1,1,2026-08-24T00:00:00.000
71,LCA000071,16,Quartz LaborCrewArea 71,1,1,2026-08-24T00:00:00.000
72,LCA000072,12,Beacon LaborCrewArea 72,1,1,2026-08-24T00:00:00.000
73,LCA000073,15,Beacon LaborCrewArea 73,1,1,2026-08-24T00:00:00.000
74,LCA000074,2,Delta LaborCrewArea 74,1,1,2026-08-24T00:00:00.000
75,LCA000075,14,Summit LaborCrewArea 75,1,1,2026-08-24T00:00:00.000
76,LCA000076,17,Zenith LaborCrewArea 76,1,1,2026-08-24T00:00:00.000
77,LCA000077,18,Quartz LaborCrewArea 77,1,1,2026-08-24T00:00:00.000
78,LCA000078,19,Quartz LaborCrewArea 78,1,1,2026-08-24T00:00:00.000
79,LCA000079,6,Liberty LaborCrewArea 79,1,1,2026-08-24T00:00:00.000
80,LCA000080,17,Harbor LaborCrewArea 80,1,1,2026-08-24T00:00:00.000
81,LCA000081,16,Liberty LaborCrewArea 81,1,1,2026-08-24T00:00:00.000
82,LCA000082,1,Forge LaborCrewArea 82,1,1,2026-08-24T00:00:00.000
83,LCA000083,9,Delta LaborCrewArea 83,1,1,2026-08-24T00:00:00.000
84,LCA000084,7,Liberty LaborCrewArea 84,1,1,2026-08-24T00:00:00.000
85,LCA000085,18,Liberty LaborCrewArea 85,1,1,2026-08-24T00:00:00.000
86,LCA000086,20,Harbor LaborCrewArea 86,1,1,2026-08-24T00:00:00.000
87,LCA000087,1,Forge LaborCrewArea 87,1,1,2026-08-24T00:00:00.000
88,LCA000088,15,Atlas LaborCrewArea 88,1,1,2026-08-24T00:00:00.000
89,LCA000089,9,Evergreen LaborCrewArea 89,1,1,2026-08-24T00:00:00.000
90,LCA000090,18,Evergreen LaborCrewArea 90,1,1,2026-08-24T00:00:00.000
91,LCA000091,19,Meridian LaborCrewArea 91,1,1,2026-08-24T00:00:00.000
92,LCA000092,16,Unity LaborCrewArea 92,1,1,2026-08-24T00:00:00.000
93,LCA000093,15,Beacon LaborCrewArea 93,1,1,2026-08-24T00:00:00.000
94,LCA000094,4,Keystone LaborCrewArea 94,1,1,2026-08-24T00:00:00.000
95,LCA000095,7,Keystone LaborCrewArea 95,1,1,2026-08-24T00:00:00.000
96,LCA000096,11,Ion LaborCrewArea 96,1,1,2026-08-24T00:00:00.000
97,LCA000097,14,Zenith LaborCrewArea 97,1,1,2026-08-24T00:00:00.000
98,LCA000098,16,Zenith LaborCrewArea 98,1,1,2026-08-24T00:00:00.000
99,LCA000099,10,Riverton LaborCrewArea 99,1,1,2026-08-24T00:00:00.000
100,LCA000100,4,Unity LaborCrewArea 100,1,1,2026-08-24T00:00:00.000
101,LCA000101,14,Evergreen LaborCrewArea 101,1,1,2026-08-24T00:00:00.000
102,LCA000102,15,Unity LaborCrewArea 102,1,1,2026-08-24T00:00:00.000
103,LCA000103,20,Riverton LaborCrewArea 103,1,1,2026-08-24T00:00:00.000
104,LCA000104,11,Delta LaborCrewArea 104,1,1,2026-08-24T00:00:00.000
105,LCA000105,4,Meridian LaborCrewArea 105,1,1,2026-08-24T00:00:00.000
106,LCA000106,12,Quartz LaborCrewArea 106,1,1,2026-08-24T00:00:00.000
107,LCA000107,16,Zenith LaborCrewArea 107,1,1,2026-08-24T00:00:00.000
108,LCA000108,4,Unity LaborCrewArea 108,1,1,2026-08-24T00:00:00.000
109,LCA000109,5,Forge LaborCrewArea 109,1,1,2026-08-24T00:00:00.000
110,LCA000110,7,Keystone LaborCrewArea 110,1,1,2026-08-24T00:00:00.000
111,LCA000111,14,Willow LaborCrewArea 111,1,1,2026-08-24T00:00:00.000
112,LCA000112,19,Ion LaborCrewArea 112,1,1,2026-08-24T00:00:00.000
113,LCA000113,1,Harbor LaborCrewArea 113,1,1,2026-08-24T00:00:00.000
114,LCA000114,5,Forge LaborCrewArea 114,1,1,2026-08-24T00:00:00.000
115,LCA000115,6,Ion LaborCrewArea 115,1,1,2026-08-24T00:00:00.000
116,LCA000116,13,Cedar LaborCrewArea 116,1,1,2026-08-24T00:00:00.000
117,LCA000117,3,Willow LaborCrewArea 117,1,1,2026-08-24T00:00:00.000
118,LCA000118,16,Beacon LaborCrewArea 118,1,1,2026-08-24T00:00:00.000
119,LCA000119,11,Zenith LaborCrewArea 119,1,1,2026-08-24T00:00:00.000
120,LCA000120,15,Quartz LaborCrewArea 120,1,1,2026-08-24T00:00:00.000
121,LCA000121,14,Evergreen LaborCrewArea 121,1,1,2026-08-24T00:00:00.000
122,LCA000122,11,Granite LaborCrewArea 122,1,1,2026-08-24T00:00:00.000
123,LCA000123,7,Pioneer LaborCrewArea 123,1,1,2026-08-24T00:00:00.000
124,LCA000124,16,Willow LaborCrewArea 124,1,1,2026-08-24T00:00:00.000
125,LCA000125,10,Cedar LaborCrewArea 125,1,1,2026-08-24T00:00:00.000
126,LCA000126,14,Harbor LaborCrewArea 126,1,1,2026-08-24T00:00:00.000
127,LCA000127,8,Summit LaborCrewArea 127,1,1,2026-08-24T00:00:00.000
128,LCA000128,3,Granite LaborCrewArea 128,1,1,2026-08-24T00:00:00.000
129,LCA000129,6,Atlas LaborCrewArea 129,1,1,2026-08-24T00:00:00.000
130,LCA000130,12,Vertex LaborCrewArea 130,1,1,2026-08-24T00:00:00.000
131,LCA000131,7,Granite LaborCrewArea 131,1,1,2026-08-24T00:00:00.000
132,LCA000132,15,Junction LaborCrewArea 132,1,1,2026-08-24T00:00:00.000
133,LCA000133,17,Atlas LaborCrewArea 133,1,1,2026-08-24T00:00:00.000
134,LCA000134,17,Ion LaborCrewArea 134,1,1,2026-08-24T00:00:00.000
135,LCA000135,1,Cedar LaborCrewArea 135,1,1,2026-08-24T00:00:00.000
136,LCA000136,9,Summit LaborCrewArea 136,1,1,2026-08-24T00:00:00.000
137,LCA000137,1,Beacon LaborCrewArea 137,1,1,2026-08-24T00:00:00.000
138,LCA000138,8,Liberty LaborCrewArea 138,1,1,2026-08-24T00:00:00.000
139,LCA000139,5,Evergreen LaborCrewArea 139,1,1,2026-08-24T00:00:00.000
140,LCA000140,12,Northstar LaborCrewArea 140,1,1,2026-08-24T00:00:00.000
141,LCA000141,5,Riverton LaborCrewArea 141,1,1,2026-08-24T00:00:00.000
142,LCA000142,8,Vertex LaborCrewArea 142,1,1,2026-08-24T00:00:00.000
143,LCA000143,14,Delta LaborCrewArea 143,1,1,2026-08-24T00:00:00.000
144,LCA000144,11,Vertex LaborCrewArea 144,1,1,2026-08-24T00:00:00.000
145,LCA000145,12,Zenith LaborCrewArea 145,1,1,2026-08-24T00:00:00.000
146,LCA000146,19,Titan LaborCrewArea 146,1,1,2026-08-24T00:00:00.000
147,LCA000147,4,Summit LaborCrewArea 147,1,1,2026-08-24T00:00:00.000
148,LCA000148,2,Meridian LaborCrewArea 148,1,1,2026-08-24T00:00:00.000
149,LCA000149,11,Orion LaborCrewArea 149,1,1,2026-08-24T00:00:00.000
150,LCA000150,9,Titan LaborCrewArea 150,1,1,2026-08-24T00:00:00.000
151,LCA000151,20,Pioneer LaborCrewArea 151,1,1,2026-08-24T00:00:00.000
152,LCA000152,4,Keystone LaborCrewArea 152,1,1,2026-08-24T00:00:00.000
153,LCA000153,13,Pioneer LaborCrewArea 153,1,1,2026-08-24T00:00:00.000
154,LCA000154,19,Cedar LaborCrewArea 154,1,1,2026-08-24T00:00:00.000
155,LCA000155,12,Liberty LaborCrewArea 155,1,1,2026-08-24T00:00:00.000
156,LCA000156,7,Meridian LaborCrewArea 156,1,1,2026-08-24T00:00:00.000
157,LCA000157,20,Titan LaborCrewArea 157,1,1,2026-08-24T00:00:00.000
158,LCA000158,17,Keystone LaborCrewArea 158,1,1,2026-08-24T00:00:00.000
159,LCA000159,16,Quartz LaborCrewArea 159,1,1,2026-08-24T00:00:00.000
160,LCA000160,1,Junction LaborCrewArea 160,1,1,2026-08-24T00:00:00.000
