LogisticsTariffHeadingKey,LogisticsTariffHeadingCode,LogisticsTariffChapterKey,LogisticsTariffHeadingName,SourceSystemKey,BatchId,LoadedAtUtc
112,LTH000112,49,Northstar LogisticsTariffHeading 112,1,1,2026-08-24T00:00:00.000
113,LTH000113,64,Granite LogisticsTariffHeading 113,1,1,2026-08-24T00:00:00.000
114,LTH000114,51,Harbor LogisticsTariffHeading 114,1,1,2026-08-24T00:00:00.000
115,LTH000115,90,Keystone LogisticsTariffHeading 115,1,1,2026-08-24T00:00:00.000
116,LTH000116,47,Quartz LogisticsTariffHeading 116,1,1,2026-08-24T00:00:00.000
117,LTH000117,86,Harbor LogisticsTariffHeading 117,1,1,2026-08-24T00:00:00.000
118,LTH000118,40,Granite LogisticsTariffHeading 118,1,1,2026-08-24T00:00:00.000
119,LTH000119,9,Beacon LogisticsTariffHeading 119,1,1,2026-08-24T00:00:00.000
120,LTH000120,14,Vertex LogisticsTariffHeading 120,1,1,2026-08-24T00:00:00.000
121,LTH000121,97,Titan LogisticsTariffHeading 121,1,1,2026-08-24T00:00:00.000
122,LTH000122,56,Keystone LogisticsTariffHeading 122,1,1,2026-08-24T00:00:00.000
123,LTH000123,57,Pioneer LogisticsTariffHeading 123,1,1,2026-08-24T00:00:00.000
124,LTH000124,5,Delta LogisticsTariffHeading 124,1,1,2026-08-24T00:00:00.000
125,LTH000125,58,Vertex LogisticsTariffHeading 125,1,1,2026-08-24T00:00:00.000
126,LTH000126,62,Delta LogisticsTariffHeading 126,1,1,2026-08-24T00:00:00.000
127,LTH000127,48,Delta LogisticsTariffHeading 127,1,1,2026-08-24T00:00:00.000
128,LTH000128,66,Riverton LogisticsTariffHeading 128,1,1,2026-08-24T00:00:00.000
129,LTH000129,77,Forge LogisticsTariffHeading 129,1,1,2026-08-24T00:00:00.000
130,LTH000130,84,Atlas LogisticsTariffHeading 130,1,1,2026-08-24T00:00:00.000
131,LTH000131,86,Delta LogisticsTariffHeading 131,1,1,2026-08-24T00:00:00.000
132,LTH000132,16,Orion LogisticsTariffHeading 132,1,1,2026-08-24T00:00:00.000
133,LTH000133,73,Orion LogisticsTariffHeading 133,1,1,2026-08-24T00:00:00.000
134,LTH000134,98,Harbor LogisticsTariffHeading 134,1,1,2026-08-24T00:00:00.000
135,LTH000135,20,Ion LogisticsTariffHeading 135,1,1,2026-08-24T00:00:00.000
136,LTH000136,58,Northstar LogisticsTariffHeading 136,1,1,2026-08-24T00:00:00.000
137,LTH000137,90,Ion LogisticsTariffHeading 137,1,1,2026-08-24T00:00:00.000
138,LTH000138,22,Orion LogisticsTariffHeading 138,1,1,2026-08-24T00:00:00.000
139,LTH000139,64,Delta LogisticsTariffHeading 139,1,1,2026-08-24T00:00:00.000
140,LTH000140,91,Zenith LogisticsTariffHeading 140,1,1,2026-08-24T00:00:00.000
141,LTH000141,94,Riverton LogisticsTariffHeading 141,1,1,2026-08-24T00:00:00.000
142,LTH000142,24,Unity LogisticsTariffHeading 142,1,1,2026-08-24T00:00:00.000
143,LTH000143,95,Unity LogisticsTariffHeading 143,1,1,2026-08-24T00:00:00.000
144,LTH000144,81,Meridian LogisticsTariffHeading 144,1,1,2026-08-24T00:00:00.000
145,LTH000145,24,Atlas LogisticsTariffHeading 145,1,1,2026-08-24T00:00:00.000
146,LTH000146,77,Quartz LogisticsTariffHeading 146,1,1,2026-08-24T00:00:00.000
147,LTH000147,36,Unity LogisticsTariffHeading 147,1,1,2026-08-24T00:00:00.000
148,LTH000148,11,Atlas LogisticsTariffHeading 148,1,1,2026-08-24T00:00:00.000
149,LTH000149,74,Meridian LogisticsTariffHeading 149,1,1,2026-08-24T00:00:00.000
150,LTH000150,92,Evergreen LogisticsTariffHeading 150,1,1,2026-08-24T00:00:00.000
151,LTH000151,6,Northstar LogisticsTariffHeading 151,1,1,2026-08-24T00:00:00.000
152,LTH000152,42,Atlas LogisticsTariffHeading 152,1,1,2026-08-24T00:00:00.000
153,LTH000153,18,Junction LogisticsTariffHeading 153,1,1,2026-08-24T00:00:00.000
154,LTH000154,82,Pioneer LogisticsTariffHeading 154,1,1,2026-08-24T00:00:00.000
155,LTH000155,34,Cedar LogisticsTariffHeading 155,1,1,2026-08-24T00:00:00.000
156,LTH000156,38,Riverton LogisticsTariffHeading 156,1,1,2026-08-24T00:00:00.000
157,LTH000157,13,Orion LogisticsTariffHeading 157,1,1,2026-08-24T00:00:00.000
158,LTH000158,1,Summit LogisticsTariffHeading 158,1,1,2026-08-24T00:00:00.000
159,LTH000159,70,Keystone LogisticsTariffHeading 159,1,1,2026-08-24T00:00:00.000
160,LTH000160,2,Riverton LogisticsTariffHeading 160,1,1,2026-08-24T00:00:00.000
161,LTH000161,100,Cedar LogisticsTariffHeading 161,1,1,2026-08-24T00:00:00.000
162,LTH000162,24,Summit LogisticsTariffHeading 162,1,1,2026-08-24T00:00:00.000
163,LTH000163,93,Forge LogisticsTariffHeading 163,1,1,2026-08-24T00:00:00.000
164,LTH000164,100,Orion LogisticsTariffHeading 164,1,1,2026-08-24T00:00:00.000
165,LTH000165,19,Pioneer LogisticsTariffHeading 165,1,1,2026-08-24T00:00:00.000
166,LTH000166,82,Evergreen LogisticsTariffHeading 166,1,1,2026-08-24T00:00:00.000
167,LTH000167,2,Northstar LogisticsTariffHeading 167,1,1,2026-08-24T00:00:00.000
168,LTH000168,30,Cedar LogisticsTariffHeading 168,1,1,2026-08-24T00:00:00.000
169,LTH000169,35,Summit LogisticsTariffHeading 169,1,1,2026-08-24T00:00:00.000
170,LTH000170,49,Willow LogisticsTariffHeading 170,1,1,2026-08-24T00:00:00.000
171,LTH000171,28,Liberty LogisticsTariffHeading 171,1,1,2026-08-24T00:00:00.000
172,LTH000172,18,Cedar LogisticsTariffHeading 172,1,1,2026-08-24T00:00:00.000
173,LTH000173,75,Summit LogisticsTariffHeading 173,1,1,2026-08-24T00:00:00.000
174,LTH000174,69,Cedar LogisticsTariffHeading 174,1,1,2026-08-24T00:00:00.000
175,LTH000175,58,Atlas LogisticsTariffHeading 175,1,1,2026-08-24T00:00:00.000
176,LTH000176,94,Willow LogisticsTariffHeading 176,1,1,2026-08-24T00:00:00.000
177,LTH000177,13,Pioneer LogisticsTariffHeading 177,1,1,2026-08-24T00:00:00.000
178,LTH000178,81,Zenith LogisticsTariffHeading 178,1,1,2026-08-24T00:00:00.000
179,LTH000179,55,Ion LogisticsTariffHeading 179,1,1,2026-08-24T00:00:00.000
180,LTH000180,67,Zenith LogisticsTariffHeading 180,1,1,2026-08-24T00:00:00.000
181,LTH000181,46,Liberty LogisticsTariffHeading 181,1,1,2026-08-24T00:00:00.000
182,LTH000182,64,Forge LogisticsTariffHeading 182,1,1,2026-08-24T00:00:00.000
183,LTH000183,43,Keystone LogisticsTariffHeading 183,1,1,2026-08-24T00:00:00.000
184,LTH000184,74,Orion LogisticsTariffHeading 184,1,1,2026-08-24T00:00:00.000
185,LTH000185,15,Meridian LogisticsTariffHeading 185,1,1,2026-08-24T00:00:00.000
186,LTH000186,43,Granite LogisticsTariffHeading 186,1,1,2026-08-24T00:00:00.000
187,LTH000187,69,Liberty LogisticsTariffHeading 187,1,1,2026-08-24T00:00:00.000
188,LTH000188,43,Riverton LogisticsTariffHeading 188,1,1,2026-08-24T00:00:00.000
189,LTH000189,80,Junction LogisticsTariffHeading 189,1,1,2026-08-24T00:00:00.000
190,LTH000190,60,Evergreen LogisticsTariffHeading 190,1,1,2026-08-24T00:00:00.000
191,LTH000191,48,Northstar LogisticsTariffHeading 191,1,1,2026-08-24T00:00:00.000
192,LTH000192,25,Vertex LogisticsTariffHeading 192,1,1,2026-08-24T00:00:00.000
193,LTH000193,78,Riverton LogisticsTariffHeading 193,1,1,2026-08-24T00:00:00.000
194,LTH000194,34,Harbor LogisticsTariffHeading 194,1,1,2026-08-24T00:00:00.000
195,LTH000195,50,Junction LogisticsTariffHeading 195,1,1,2026-08-24T00:00:00.000
196,LTH000196,87,Junction LogisticsTariffHeading 196,1,1,2026-08-24T00:00:00.000
197,LTH000197,83,Vertex LogisticsTariffHeading 197,1,1,2026-08-24T00:00:00.000
198,LTH000198,40,Cedar LogisticsTariffHeading 198,1,1,2026-08-24T00:00:00.000
199,LTH000199,61,Junction LogisticsTariffHeading 199,1,1,2026-08-24T00:00:00.000
200,LTH000200,52,Quartz LogisticsTariffHeading 200,1,1,2026-08-24T00:00:00.000
201,LTH000201,21,Delta LogisticsTariffHeading 201,1,1,2026-08-24T00:00:00.000
202,LTH000202,74,Delta LogisticsTariffHeading 202,1,1,2026-08-24T00:00:00.000
203,LTH000203,3,Meridian LogisticsTariffHeading 203,1,1,2026-08-24T00:00:00.000
204,LTH000204,68,Evergreen LogisticsTariffHeading 204,1,1,2026-08-24T00:00:00.000
205,LTH000205,25,Ion LogisticsTariffHeading 205,1,1,2026-08-24T00:00:00.000
206,LTH000206,40,Forge LogisticsTariffHeading 206,1,1,2026-08-24T00:00:00.000
207,LTH000207,47,Forge LogisticsTariffHeading 207,1,1,2026-08-24T00:00:00.000
208,LTH000208,88,Junction LogisticsTariffHeading 208,1,1,2026-08-24T00:00:00.000
209,LTH000209,84,Quartz LogisticsTariffHeading 209,1,1,2026-08-24T00:00:00.000
210,LTH000210,55,Granite LogisticsTariffHeading 210,1,1,2026-08-24T00:00:00.000
211,LTH000211,67,Summit LogisticsTariffHeading 211,1,1,2026-08-24T00:00:00.000
212,LTH000212,9,Northstar LogisticsTariffHeading 212,1,1,2026-08-24T00:00:00.000
213,LTH000213,93,Ion LogisticsTariffHeading 213,1,1,2026-08-24T00:00:00.000
214,LTH000214,37,Unity LogisticsTariffHeading 214,1,1,2026-08-24T00:00:00.000
215,LTH000215,52,Granite LogisticsTariffHeading 215,1,1,2026-08-24T00:00:00.000
216,LTH000216,46,Riverton LogisticsTariffHeading 216,1,1,2026-08-24T00:00:00.000
217,LTH000217,93,Junction LogisticsTariffHeading 217,1,1,2026-08-24T00:00:00.000
218,LTH000218,42,Pioneer LogisticsTariffHeading 218,1,1,2026-08-24T00:00:00.000
219,LTH000219,8,Keystone LogisticsTariffHeading 219,1,1,2026-08-24T00:00:00.000
220,LTH000220,82,Granite LogisticsTariffHeading 220,1,1,2026-08-24T00:00:00.000
221,LTH000221,86,Evergreen LogisticsTariffHeading 221,1,1,2026-08-24T00:00:00.000
222,LTH000222,45,Zenith LogisticsTariffHeading 222,1,1,2026-08-24T00:00:00.000
223,LTH000223,15,Beacon LogisticsTariffHeading 223,1,1,2026-08-24T00:00:00.000
224,LTH000224,60,Cedar LogisticsTariffHeading 224,1,1,2026-08-24T00:00:00.000
225,LTH000225,54,Forge LogisticsTariffHeading 225,1,1,2026-08-24T00:00:00.000
226,LTH000226,76,Granite LogisticsTariffHeading 226,1,1,2026-08-24T00:00:00.000
227,LTH000227,57,Summit LogisticsTariffHeading 227,1,1,2026-08-24T00:00:00.000
228,LTH000228,14,Zenith LogisticsTariffHeading 228,1,1,2026-08-24T00:00:00.000
229,LTH000229,24,Summit LogisticsTariffHeading 229,1,1,2026-08-24T00:00:00.000
230,LTH000230,12,Riverton LogisticsTariffHeading 230,1,1,2026-08-24T00:00:00.000
231,LTH000231,88,Northstar LogisticsTariffHeading 231,1,1,2026-08-24T00:00:00.000
232,LTH000232,83,Riverton LogisticsTariffHeading 232,1,1,2026-08-24T00:00:00.000
233,LTH000233,71,Cedar LogisticsTariffHeading 233,1,1,2026-08-24T00:00:00.000
234,LTH000234,17,Willow LogisticsTariffHeading 234,1,1,2026-08-24T00:00:00.000
235,LTH000235,89,Cedar LogisticsTariffHeading 235,1,1,2026-08-24T00:00:00.000
236,LTH000236,82,Vertex LogisticsTariffHeading 236,1,1,2026-08-24T00:00:00.000
237,LTH000237,61,Zenith LogisticsTariffHeading 237,1,1,2026-08-24T00:00:00.000
238,LTH000238,18,Keystone LogisticsTariffHeading 238,1,1,2026-08-24T00:00:00.000
239,LTH000239,61,Granite LogisticsTariffHeading 239,1,1,2026-08-24T00:00:00.000
240,LTH000240,60,Quartz LogisticsTariffHeading 240,1,1,2026-08-24T00:00:00.000
241,LTH000241,4,Cedar LogisticsTariffHeading 241,1,1,2026-08-24T00:00:00.000
242,LTH000242,96,Forge LogisticsTariffHeading 242,1,1,2026-08-24T00:00:00.000
243,LTH000243,35,Riverton LogisticsTariffHeading 243,1,1,2026-08-24T00:00:00.000
244,LTH000244,96,Atlas LogisticsTariffHeading 244,1,1,2026-08-24T00:00:00.000
245,LTH000245,61,Northstar LogisticsTariffHeading 245,1,1,2026-08-24T00:00:00.000
246,LTH000246,33,Northstar LogisticsTariffHeading 246,1,1,2026-08-24T00:00:00.000
247,LTH000247,76,Zenith LogisticsTariffHeading 247,1,1,2026-08-24T00:00:00.000
248,LTH000248,75,Riverton LogisticsTariffHeading 248,1,1,2026-08-24T00:00:00.000
249,LTH000249,51,Vertex LogisticsTariffHeading 249,1,1,2026-08-24T00:00:00.000
250,LTH000250,39,Delta LogisticsTariffHeading 250,1,1,2026-08-24T00:00:00.000
251,LTH000251,64,Harbor LogisticsTariffHeading 251,1,1,2026-08-24T00:00:00.000
252,LTH000252,33,Evergreen LogisticsTariffHeading 252,1,1,2026-08-24T00:00:00.000
253,LTH000253,11,Cedar LogisticsTariffHeading 253,1,1,2026-08-24T00:00:00.000
254,LTH000254,73,Willow LogisticsTariffHeading 254,1,1,2026-08-24T00:00:00.000
255,LTH000255,32,Keystone LogisticsTariffHeading 255,1,1,2026-08-24T00:00:00.000
256,LTH000256,76,Meridian LogisticsTariffHeading 256,1,1,2026-08-24T00:00:00.000
257,LTH000257,56,Willow LogisticsTariffHeading 257,1,1,2026-08-24T00:00:00.000
258,LTH000258,86,Granite LogisticsTariffHeading 258,1,1,2026-08-24T00:00:00.000
259,LTH000259,85,Unity LogisticsTariffHeading 259,1,1,2026-08-24T00:00:00.000
260,LTH000260,75,Evergreen LogisticsTariffHeading 260,1,1,2026-08-24T00:00:00.000
261,LTH000261,1,Harbor LogisticsTariffHeading 261,1,1,2026-08-24T00:00:00.000
262,LTH000262,20,Riverton LogisticsTariffHeading 262,1,1,2026-08-24T00:00:00.000
263,LTH000263,32,Cedar LogisticsTariffHeading 263,1,1,2026-08-24T00:00:00.000
264,LTH000264,22,Zenith LogisticsTariffHeading 264,1,1,2026-08-24T00:00:00.000
265,LTH000265,9,Orion LogisticsTariffHeading 265,1,1,2026-08-24T00:00:00.000
266,LTH000266,78,Keystone LogisticsTariffHeading 266,1,1,2026-08-24T00:00:00.000
267,LTH000267,94,Meridian LogisticsTariffHeading 267,1,1,2026-08-24T00:00:00.000
268,LTH000268,68,Evergreen LogisticsTariffHeading 268,1,1,2026-08-24T00:00:00.000
269,LTH000269,97,Northstar LogisticsTariffHeading 269,1,1,2026-08-24T00:00:00.000
270,LTH000270,75,Pioneer LogisticsTariffHeading 270,1,1,2026-08-24T00:00:00.000
271,LTH000271,46,Atlas LogisticsTariffHeading 271,1,1,2026-08-24T00:00:00.000
272,LTH000272,62,Northstar LogisticsTariffHeading 272,1,1,2026-08-24T00:00:00.000
273,LTH000273,37,Unity LogisticsTariffHeading 273,1,1,2026-08-24T00:00:00.000
274,LTH000274,68,Meridian LogisticsTariffHeading 274,1,1,2026-08-24T00:00:00.000
275,LTH000275,79,Harbor LogisticsTariffHeading 275,1,1,2026-08-24T00:00:00.000
276,LTH000276,84,Orion LogisticsTariffHeading 276,1,1,2026-08-24T00:00:00.000
277,LTH000277,59,Meridian LogisticsTariffHeading 277,1,1,2026-08-24T00:00:00.000
278,LTH000278,42,Quartz LogisticsTariffHeading 278,1,1,2026-08-24T00:00:00.000
279,LTH000279,46,Orion LogisticsTariffHeading 279,1,1,2026-08-24T00:00:00.000
280,LTH000280,11,Unity LogisticsTariffHeading 280,1,1,2026-08-24T00:00:00.000
281,LTH000281,38,Unity LogisticsTariffHeading 281,1,1,2026-08-24T00:00:00.000
282,LTH000282,78,Riverton LogisticsTariffHeading 282,1,1,2026-08-24T00:00:00.000
283,LTH000283,61,Ion LogisticsTariffHeading 283,1,1,2026-08-24T00:00:00.000
284,LTH000284,48,Keystone LogisticsTariffHeading 284,1,1,2026-08-24T00:00:00.000
285,LTH000285,86,Beacon LogisticsTariffHeading 285,1,1,2026-08-24T00:00:00.000
286,LTH000286,31,Willow LogisticsTariffHeading 286,1,1,2026-08-24T00:00:00.000
287,LTH000287,10,Willow LogisticsTariffHeading 287,1,1,2026-08-24T00:00:00.000
288,LTH000288,34,Orion LogisticsTariffHeading 288,1,1,2026-08-24T00:00:00.000
289,LTH000289,27,Unity LogisticsTariffHeading 289,1,1,2026-08-24T00:00:00.000
290,LTH000290,12,Quartz LogisticsTariffHeading 290,1,1,2026-08-24T00:00:00.000
291,LTH000291,82,Liberty LogisticsTariffHeading 291,1,1,2026-08-24T00:00:00.000
292,LTH000292,62,Orion LogisticsTariffHeading 292,1,1,2026-08-24T00:00:00.000
293,LTH000293,45,Willow LogisticsTariffHeading 293,1,1,2026-08-24T00:00:00.000
294,LTH000294,98,Cedar LogisticsTariffHeading 294,1,1,2026-08-24T00:00:00.000
295,LTH000295,79,Keystone LogisticsTariffHeading 295,1,1,2026-08-24T00:00:00.000
