QualityCharacteristicTypeKey,QualityCharacteristicTypeCode,QualityCharacteristicGroupKey,QualityCharacteristicTypeName,SourceSystemKey,BatchId,LoadedAtUtc
27,QCT000027,252,Quartz QualityCharacteristicType 27,1,1,2026-08-24T00:00:00.000
28,QCT000028,201,Northstar QualityCharacteristicType 28,1,1,2026-08-24T00:00:00.000
29,QCT000029,22,Harbor QualityCharacteristicType 29,1,1,2026-08-24T00:00:00.000
30,QCT000030,201,Atlas QualityCharacteristicType 30,1,1,2026-08-24T00:00:00.000
31,QCT000031,196,Unity QualityCharacteristicType 31,1,1,2026-08-24T00:00:00.000
32,QCT000032,215,Pioneer QualityCharacteristicType 32,1,1,2026-08-24T00:00:00.000
33,QCT000033,109,Delta QualityCharacteristicType 33,1,1,2026-08-24T00:00:00.000
34,QCT000034,84,Granite QualityCharacteristicType 34,1,1,2026-08-24T00:00:00.000
35,QCT000035,20,Atlas QualityCharacteristicType 35,1,1,2026-08-24T00:00:00.000
36,QCT000036,1,Delta QualityCharacteristicType 36,1,1,2026-08-24T00:00:00.000
37,QCT000037,104,Riverton QualityCharacteristicType 37,1,1,2026-08-24T00:00:00.000
38,QCT000038,203,Liberty QualityCharacteristicType 38,1,1,2026-08-24T00:00:00.000
39,QCT000039,207,Willow QualityCharacteristicType 39,1,1,2026-08-24T00:00:00.000
40,QCT000040,181,Riverton QualityCharacteristicType 40,1,1,2026-08-24T00:00:00.000
41,QCT000041,243,Delta QualityCharacteristicType 41,1,1,2026-08-24T00:00:00.000
42,QCT000042,70,Forge QualityCharacteristicType 42,1,1,2026-08-24T00:00:00.000
43,QCT000043,258,Junction QualityCharacteristicType 43,1,1,2026-08-24T00:00:00.000
44,QCT000044,252,Vertex QualityCharacteristicType 44,1,1,2026-08-24T00:00:00.000
45,QCT000045,103,Granite QualityCharacteristicType 45,1,1,2026-08-24T00:00:00.000
46,QCT000046,135,Orion QualityCharacteristicType 46,1,1,2026-08-24T00:00:00.000
47,QCT000047,123,Beacon QualityCharacteristicType 47,1,1,2026-08-24T00:00:00.000
48,QCT000048,163,Beacon QualityCharacteristicType 48,1,1,2026-08-24T00:00:00.000
49,QCT000049,50,Pioneer QualityCharacteristicType 49,1,1,2026-08-24T00:00:00.000
50,QCT000050,78,Liberty QualityCharacteristicType 50,1,1,2026-08-24T00:00:00.000
51,QCT000051,181,Evergreen QualityCharacteristicType 51,1,1,2026-08-24T00:00:00.000
52,QCT000052,179,Granite QualityCharacteristicType 52,1,1,2026-08-24T00:00:00.000
53,QCT000053,36,Delta QualityCharacteristicType 53,1,1,2026-08-24T00:00:00.000
54,QCT000054,25,Evergreen QualityCharacteristicType 54,1,1,2026-08-24T00:00:00.000
55,QCT000055,170,Titan QualityCharacteristicType 55,1,1,2026-08-24T00:00:00.000
56,QCT000056,22,Keystone QualityCharacteristicType 56,1,1,2026-08-24T00:00:00.000
57,QCT000057,186,Willow QualityCharacteristicType 57,1,1,2026-08-24T00:00:00.000
58,QCT000058,103,Vertex QualityCharacteristicType 58,1,1,2026-08-24T00:00:00.000
59,QCT000059,248,Titan QualityCharacteristicType 59,1,1,2026-08-24T00:00:00.000
60,QCT000060,121,Unity QualityCharacteristicType 60,1,1,2026-08-24T00:00:00.000
61,QCT000061,193,Evergreen QualityCharacteristicType 61,1,1,2026-08-24T00:00:00.000
62,QCT000062,70,Unity QualityCharacteristicType 62,1,1,2026-08-24T00:00:00.000
63,QCT000063,34,Pioneer QualityCharacteristicType 63,1,1,2026-08-24T00:00:00.000
64,QCT000064,179,Willow QualityCharacteristicType 64,1,1,2026-08-24T00:00:00.000
65,QCT000065,101,Junction QualityCharacteristicType 65,1,1,2026-08-24T00:00:00.000
66,QCT000066,246,Ion QualityCharacteristicType 66,1,1,2026-08-24T00:00:00.000
67,QCT000067,152,Liberty QualityCharacteristicType 67,1,1,2026-08-24T00:00:00.000
68,QCT000068,159,Keystone QualityCharacteristicType 68,1,1,2026-08-24T00:00:00.000
69,QCT000069,229,Delta QualityCharacteristicType 69,1,1,2026-08-24T00:00:00.000
70,QCT000070,171,Atlas QualityCharacteristicType 70,1,1,2026-08-24T00:00:00.000
71,QCT000071,183,Junction QualityCharacteristicType 71,1,1,2026-08-24T00:00:00.000
72,QCT000072,93,Riverton QualityCharacteristicType 72,1,1,2026-08-24T00:00:00.000
73,QCT000073,24,Beacon QualityCharacteristicType 73,1,1,2026-08-24T00:00:00.000
74,QCT000074,152,Evergreen QualityCharacteristicType 74,1,1,2026-08-24T00:00:00.000
75,QCT000075,4,Granite QualityCharacteristicType 75,1,1,2026-08-24T00:00:00.000
76,QCT000076,189,Pioneer QualityCharacteristicType 76,1,1,2026-08-24T00:00:00.000
77,QCT000077,95,Meridian QualityCharacteristicType 77,1,1,2026-08-24T00:00:00.000
78,QCT000078,23,Evergreen QualityCharacteristicType 78,1,1,2026-08-24T00:00:00.000
79,QCT000079,227,Harbor QualityCharacteristicType 79,1,1,2026-08-24T00:00:00.000
80,QCT000080,36,Cedar QualityCharacteristicType 80,1,1,2026-08-24T00:00:00.000
81,QCT000081,203,Orion QualityCharacteristicType 81,1,1,2026-08-24T00:00:00.000
82,QCT000082,105,Summit QualityCharacteristicType 82,1,1,2026-08-24T00:00:00.000
83,QCT000083,128,Meridian QualityCharacteristicType 83,1,1,2026-08-24T00:00:00.000
84,QCT000084,62,Liberty QualityCharacteristicType 84,1,1,2026-08-24T00:00:00.000
85,QCT000085,184,Willow QualityCharacteristicType 85,1,1,2026-08-24T00:00:00.000
86,QCT000086,232,Vertex QualityCharacteristicType 86,1,1,2026-08-24T00:00:00.000
87,QCT000087,180,Junction QualityCharacteristicType 87,1,1,2026-08-24T00:00:00.000
88,QCT000088,111,Beacon QualityCharacteristicType 88,1,1,2026-08-24T00:00:00.000
89,QCT000089,24,Orion QualityCharacteristicType 89,1,1,2026-08-24T00:00:00.000
90,QCT000090,211,Atlas QualityCharacteristicType 90,1,1,2026-08-24T00:00:00.000
91,QCT000091,99,Unity QualityCharacteristicType 91,1,1,2026-08-24T00:00:00.000
92,QCT000092,20,Zenith QualityCharacteristicType 92,1,1,2026-08-24T00:00:00.000
93,QCT000093,105,Northstar QualityCharacteristicType 93,1,1,2026-08-24T00:00:00.000
94,QCT000094,215,Granite QualityCharacteristicType 94,1,1,2026-08-24T00:00:00.000
95,QCT000095,94,Zenith QualityCharacteristicType 95,1,1,2026-08-24T00:00:00.000
96,QCT000096,201,Unity QualityCharacteristicType 96,1,1,2026-08-24T00:00:00.000
97,QCT000097,7,Forge QualityCharacteristicType 97,1,1,2026-08-24T00:00:00.000
98,QCT000098,225,Harbor QualityCharacteristicType 98,1,1,2026-08-24T00:00:00.000
99,QCT000099,166,Pioneer QualityCharacteristicType 99,1,1,2026-08-24T00:00:00.000
100,QCT000100,195,Quartz QualityCharacteristicType 100,1,1,2026-08-24T00:00:00.000
101,QCT000101,211,Orion QualityCharacteristicType 101,1,1,2026-08-24T00:00:00.000
102,QCT000102,232,Pioneer QualityCharacteristicType 102,1,1,2026-08-24T00:00:00.000
103,QCT000103,256,Pioneer QualityCharacteristicType 103,1,1,2026-08-24T00:00:00.000
104,QCT000104,170,Northstar QualityCharacteristicType 104,1,1,2026-08-24T00:00:00.000
105,QCT000105,28,Summit QualityCharacteristicType 105,1,1,2026-08-24T00:00:00.000
106,QCT000106,100,Forge QualityCharacteristicType 106,1,1,2026-08-24T00:00:00.000
107,QCT000107,51,Titan QualityCharacteristicType 107,1,1,2026-08-24T00:00:00.000
108,QCT000108,162,Beacon QualityCharacteristicType 108,1,1,2026-08-24T00:00:00.000
109,QCT000109,259,Beacon QualityCharacteristicType 109,1,1,2026-08-24T00:00:00.000
110,QCT000110,13,Granite QualityCharacteristicType 110,1,1,2026-08-24T00:00:00.000
111,QCT000111,17,Beacon QualityCharacteristicType 111,1,1,2026-08-24T00:00:00.000
112,QCT000112,160,Riverton QualityCharacteristicType 112,1,1,2026-08-24T00:00:00.000
113,QCT000113,65,Willow QualityCharacteristicType 113,1,1,2026-08-24T00:00:00.000
114,QCT000114,254,Beacon QualityCharacteristicType 114,1,1,2026-08-24T00:00:00.000
115,QCT000115,83,Orion QualityCharacteristicType 115,1,1,2026-08-24T00:00:00.000
116,QCT000116,140,Summit QualityCharacteristicType 116,1,1,2026-08-24T00:00:00.000
117,QCT000117,119,Riverton QualityCharacteristicType 117,1,1,2026-08-24T00:00:00.000
118,QCT000118,27,Orion QualityCharacteristicType 118,1,1,2026-08-24T00:00:00.000
119,QCT000119,124,Titan QualityCharacteristicType 119,1,1,2026-08-24T00:00:00.000
120,QCT000120,28,Forge QualityCharacteristicType 120,1,1,2026-08-24T00:00:00.000
121,QCT000121,114,Titan QualityCharacteristicType 121,1,1,2026-08-24T00:00:00.000
122,QCT000122,159,Quartz QualityCharacteristicType 122,1,1,2026-08-24T00:00:00.000
123,QCT000123,176,Orion QualityCharacteristicType 123,1,1,2026-08-24T00:00:00.000
124,QCT000124,233,Junction QualityCharacteristicType 124,1,1,2026-08-24T00:00:00.000
125,QCT000125,164,Unity QualityCharacteristicType 125,1,1,2026-08-24T00:00:00.000
126,QCT000126,181,Cedar QualityCharacteristicType 126,1,1,2026-08-24T00:00:00.000
127,QCT000127,257,Summit QualityCharacteristicType 127,1,1,2026-08-24T00:00:00.000
128,QCT000128,216,Forge QualityCharacteristicType 128,1,1,2026-08-24T00:00:00.000
129,QCT000129,83,Harbor QualityCharacteristicType 129,1,1,2026-08-24T00:00:00.000
130,QCT000130,97,Cedar QualityCharacteristicType 130,1,1,2026-08-24T00:00:00.000
131,QCT000131,219,Quartz QualityCharacteristicType 131,1,1,2026-08-24T00:00:00.000
132,QCT000132,22,Meridian QualityCharacteristicType 132,1,1,2026-08-24T00:00:00.000
133,QCT000133,247,Orion QualityCharacteristicType 133,1,1,2026-08-24T00:00:00.000
134,QCT000134,207,Evergreen QualityCharacteristicType 134,1,1,2026-08-24T00:00:00.000
135,QCT000135,76,Orion QualityCharacteristicType 135,1,1,2026-08-24T00:00:00.000
136,QCT000136,140,Titan QualityCharacteristicType 136,1,1,2026-08-24T00:00:00.000
137,QCT000137,223,Zenith QualityCharacteristicType 137,1,1,2026-08-24T00:00:00.000
138,QCT000138,140,Atlas QualityCharacteristicType 138,1,1,2026-08-24T00:00:00.000
139,QCT000139,20,Harbor QualityCharacteristicType 139,1,1,2026-08-24T00:00:00.000
140,QCT000140,175,Cedar QualityCharacteristicType 140,1,1,2026-08-24T00:00:00.000
141,QCT000141,37,Meridian QualityCharacteristicType 141,1,1,2026-08-24T00:00:00.000
142,QCT000142,29,Zenith QualityCharacteristicType 142,1,1,2026-08-24T00:00:00.000
143,QCT000143,256,Zenith QualityCharacteristicType 143,1,1,2026-08-24T00:00:00.000
144,QCT000144,116,Unity QualityCharacteristicType 144,1,1,2026-08-24T00:00:00.000
145,QCT000145,213,Willow QualityCharacteristicType 145,1,1,2026-08-24T00:00:00.000
146,QCT000146,57,Vertex QualityCharacteristicType 146,1,1,2026-08-24T00:00:00.000
147,QCT000147,101,Ion QualityCharacteristicType 147,1,1,2026-08-24T00:00:00.000
148,QCT000148,40,Granite QualityCharacteristicType 148,1,1,2026-08-24T00:00:00.000
149,QCT000149,121,Orion QualityCharacteristicType 149,1,1,2026-08-24T00:00:00.000
150,QCT000150,73,Zenith QualityCharacteristicType 150,1,1,2026-08-24T00:00:00.000
151,QCT000151,56,Atlas QualityCharacteristicType 151,1,1,2026-08-24T00:00:00.000
152,QCT000152,10,Vertex QualityCharacteristicType 152,1,1,2026-08-24T00:00:00.000
153,QCT000153,167,Willow QualityCharacteristicType 153,1,1,2026-08-24T00:00:00.000
154,QCT000154,126,Keystone QualityCharacteristicType 154,1,1,2026-08-24T00:00:00.000
155,QCT000155,124,Titan QualityCharacteristicType 155,1,1,2026-08-24T00:00:00.000
156,QCT000156,180,Northstar QualityCharacteristicType 156,1,1,2026-08-24T00:00:00.000
157,QCT000157,252,Riverton QualityCharacteristicType 157,1,1,2026-08-24T00:00:00.000
158,QCT000158,152,Willow QualityCharacteristicType 158,1,1,2026-08-24T00:00:00.000
159,QCT000159,127,Evergreen QualityCharacteristicType 159,1,1,2026-08-24T00:00:00.000
160,QCT000160,205,Delta QualityCharacteristicType 160,1,1,2026-08-24T00:00:00.000
161,QCT000161,181,Keystone QualityCharacteristicType 161,1,1,2026-08-24T00:00:00.000
162,QCT000162,33,Titan QualityCharacteristicType 162,1,1,2026-08-24T00:00:00.000
163,QCT000163,135,Beacon QualityCharacteristicType 163,1,1,2026-08-24T00:00:00.000
164,QCT000164,55,Delta QualityCharacteristicType 164,1,1,2026-08-24T00:00:00.000
165,QCT000165,151,Zenith QualityCharacteristicType 165,1,1,2026-08-24T00:00:00.000
166,QCT000166,243,Granite QualityCharacteristicType 166,1,1,2026-08-24T00:00:00.000
167,QCT000167,141,Granite QualityCharacteristicType 167,1,1,2026-08-24T00:00:00.000
168,QCT000168,40,Harbor QualityCharacteristicType 168,1,1,2026-08-24T00:00:00.000
169,QCT000169,227,Junction QualityCharacteristicType 169,1,1,2026-08-24T00:00:00.000
170,QCT000170,98,Unity QualityCharacteristicType 170,1,1,2026-08-24T00:00:00.000
171,QCT000171,13,Forge QualityCharacteristicType 171,1,1,2026-08-24T00:00:00.000
172,QCT000172,109,Granite QualityCharacteristicType 172,1,1,2026-08-24T00:00:00.000
173,QCT000173,13,Atlas QualityCharacteristicType 173,1,1,2026-08-24T00:00:00.000
174,QCT000174,88,Northstar QualityCharacteristicType 174,1,1,2026-08-24T00:00:00.000
175,QCT000175,256,Orion QualityCharacteristicType 175,1,1,2026-08-24T00:00:00.000
176,QCT000176,209,Willow QualityCharacteristicType 176,1,1,2026-08-24T00:00:00.000
177,QCT000177,53,Meridian QualityCharacteristicType 177,1,1,2026-08-24T00:00:00.000
178,QCT000178,188,Ion QualityCharacteristicType 178,1,1,2026-08-24T00:00:00.000
179,QCT000179,179,Keystone QualityCharacteristicType 179,1,1,2026-08-24T00:00:00.000
180,QCT000180,110,Willow QualityCharacteristicType 180,1,1,2026-08-24T00:00:00.000
181,QCT000181,82,Keystone QualityCharacteristicType 181,1,1,2026-08-24T00:00:00.000
182,QCT000182,229,Keystone QualityCharacteristicType 182,1,1,2026-08-24T00:00:00.000
183,QCT000183,254,Granite QualityCharacteristicType 183,1,1,2026-08-24T00:00:00.000
184,QCT000184,128,Riverton QualityCharacteristicType 184,1,1,2026-08-24T00:00:00.000
185,QCT000185,222,Orion QualityCharacteristicType 185,1,1,2026-08-24T00:00:00.000
186,QCT000186,222,Keystone QualityCharacteristicType 186,1,1,2026-08-24T00:00:00.000
187,QCT000187,169,Cedar QualityCharacteristicType 187,1,1,2026-08-24T00:00:00.000
188,QCT000188,159,Quartz QualityCharacteristicType 188,1,1,2026-08-24T00:00:00.000
189,QCT000189,36,Keystone QualityCharacteristicType 189,1,1,2026-08-24T00:00:00.000
190,QCT000190,218,Unity QualityCharacteristicType 190,1,1,2026-08-24T00:00:00.000
191,QCT000191,17,Keystone QualityCharacteristicType 191,1,1,2026-08-24T00:00:00.000
192,QCT000192,5,Beacon QualityCharacteristicType 192,1,1,2026-08-24T00:00:00.000
193,QCT000193,168,Meridian QualityCharacteristicType 193,1,1,2026-08-24T00:00:00.000
194,QCT000194,63,Ion QualityCharacteristicType 194,1,1,2026-08-24T00:00:00.000
195,QCT000195,120,Riverton QualityCharacteristicType 195,1,1,2026-08-24T00:00:00.000
196,QCT000196,200,Zenith QualityCharacteristicType 196,1,1,2026-08-24T00:00:00.000
197,QCT000197,16,Riverton QualityCharacteristicType 197,1,1,2026-08-24T00:00:00.000
198,QCT000198,93,Granite QualityCharacteristicType 198,1,1,2026-08-24T00:00:00.000
199,QCT000199,29,Harbor QualityCharacteristicType 199,1,1,2026-08-24T00:00:00.000
200,QCT000200,212,Keystone QualityCharacteristicType 200,1,1,2026-08-24T00:00:00.000
201,QCT000201,192,Orion QualityCharacteristicType 201,1,1,2026-08-24T00:00:00.000
202,QCT000202,183,Atlas QualityCharacteristicType 202,1,1,2026-08-24T00:00:00.000
203,QCT000203,46,Junction QualityCharacteristicType 203,1,1,2026-08-24T00:00:00.000
204,QCT000204,180,Junction QualityCharacteristicType 204,1,1,2026-08-24T00:00:00.000
205,QCT000205,1,Beacon QualityCharacteristicType 205,1,1,2026-08-24T00:00:00.000
206,QCT000206,118,Atlas QualityCharacteristicType 206,1,1,2026-08-24T00:00:00.000
207,QCT000207,10,Quartz QualityCharacteristicType 207,1,1,2026-08-24T00:00:00.000
208,QCT000208,108,Keystone QualityCharacteristicType 208,1,1,2026-08-24T00:00:00.000
209,QCT000209,20,Junction QualityCharacteristicType 209,1,1,2026-08-24T00:00:00.000
210,QCT000210,225,Northstar QualityCharacteristicType 210,1,1,2026-08-24T00:00:00.000
211,QCT000211,54,Harbor QualityCharacteristicType 211,1,1,2026-08-24T00:00:00.000
212,QCT000212,235,Riverton QualityCharacteristicType 212,1,1,2026-08-24T00:00:00.000
213,QCT000213,12,Atlas QualityCharacteristicType 213,1,1,2026-08-24T00:00:00.000
214,QCT000214,172,Titan QualityCharacteristicType 214,1,1,2026-08-24T00:00:00.000
215,QCT000215,119,Meridian QualityCharacteristicType 215,1,1,2026-08-24T00:00:00.000
216,QCT000216,5,Beacon QualityCharacteristicType 216,1,1,2026-08-24T00:00:00.000
217,QCT000217,158,Willow QualityCharacteristicType 217,1,1,2026-08-24T00:00:00.000
218,QCT000218,214,Cedar QualityCharacteristicType 218,1,1,2026-08-24T00:00:00.000
219,QCT000219,190,Delta QualityCharacteristicType 219,1,1,2026-08-24T00:00:00.000
220,QCT000220,120,Beacon QualityCharacteristicType 220,1,1,2026-08-24T00:00:00.000
221,QCT000221,86,Ion QualityCharacteristicType 221,1,1,2026-08-24T00:00:00.000
222,QCT000222,236,Summit QualityCharacteristicType 222,1,1,2026-08-24T00:00:00.000
223,QCT000223,80,Harbor QualityCharacteristicType 223,1,1,2026-08-24T00:00:00.000
224,QCT000224,245,Northstar QualityCharacteristicType 224,1,1,2026-08-24T00:00:00.000
225,QCT000225,77,Harbor QualityCharacteristicType 225,1,1,2026-08-24T00:00:00.000
226,QCT000226,125,Cedar QualityCharacteristicType 226,1,1,2026-08-24T00:00:00.000
227,QCT000227,62,Willow QualityCharacteristicType 227,1,1,2026-08-24T00:00:00.000
228,QCT000228,196,Vertex QualityCharacteristicType 228,1,1,2026-08-24T00:00:00.000
229,QCT000229,91,Harbor QualityCharacteristicType 229,1,1,2026-08-24T00:00:00.000
230,QCT000230,152,Riverton QualityCharacteristicType 230,1,1,2026-08-24T00:00:00.000
231,QCT000231,45,Titan QualityCharacteristicType 231,1,1,2026-08-24T00:00:00.000
232,QCT000232,199,Riverton QualityCharacteristicType 232,1,1,2026-08-24T00:00:00.000
233,QCT000233,140,Orion QualityCharacteristicType 233,1,1,2026-08-24T00:00:00.000
234,QCT000234,71,Quartz QualityCharacteristicType 234,1,1,2026-08-24T00:00:00.000
235,QCT000235,153,Vertex QualityCharacteristicType 235,1,1,2026-08-24T00:00:00.000
236,QCT000236,180,Titan QualityCharacteristicType 236,1,1,2026-08-24T00:00:00.000
237,QCT000237,75,Atlas QualityCharacteristicType 237,1,1,2026-08-24T00:00:00.000
238,QCT000238,16,Zenith QualityCharacteristicType 238,1,1,2026-08-24T00:00:00.000
239,QCT000239,8,Riverton QualityCharacteristicType 239,1,1,2026-08-24T00:00:00.000
240,QCT000240,7,Liberty QualityCharacteristicType 240,1,1,2026-08-24T00:00:00.000
241,QCT000241,258,Summit QualityCharacteristicType 241,1,1,2026-08-24T00:00:00.000
242,QCT000242,89,Pioneer QualityCharacteristicType 242,1,1,2026-08-24T00:00:00.000
243,QCT000243,232,Willow QualityCharacteristicType 243,1,1,2026-08-24T00:00:00.000
244,QCT000244,100,Titan QualityCharacteristicType 244,1,1,2026-08-24T00:00:00.000
245,QCT000245,95,Forge QualityCharacteristicType 245,1,1,2026-08-24T00:00:00.000
246,QCT000246,155,Unity QualityCharacteristicType 246,1,1,2026-08-24T00:00:00.000
247,QCT000247,192,Summit QualityCharacteristicType 247,1,1,2026-08-24T00:00:00.000
248,QCT000248,9,Evergreen QualityCharacteristicType 248,1,1,2026-08-24T00:00:00.000
249,QCT000249,179,Atlas QualityCharacteristicType 249,1,1,2026-08-24T00:00:00.000
250,QCT000250,238,Titan QualityCharacteristicType 250,1,1,2026-08-24T00:00:00.000
251,QCT000251,108,Evergreen QualityCharacteristicType 251,1,1,2026-08-24T00:00:00.000
252,QCT000252,147,Evergreen QualityCharacteristicType 252,1,1,2026-08-24T00:00:00.000
253,QCT000253,108,Quartz QualityCharacteristicType 253,1,1,2026-08-24T00:00:00.000
254,QCT000254,51,Riverton QualityCharacteristicType 254,1,1,2026-08-24T00:00:00.000
255,QCT000255,192,Harbor QualityCharacteristicType 255,1,1,2026-08-24T00:00:00.000
256,QCT000256,135,Ion QualityCharacteristicType 256,1,1,2026-08-24T00:00:00.000
257,QCT000257,149,Titan QualityCharacteristicType 257,1,1,2026-08-24T00:00:00.000
258,QCT000258,241,Beacon QualityCharacteristicType 258,1,1,2026-08-24T00:00:00.000
259,QCT000259,151,Titan QualityCharacteristicType 259,1,1,2026-08-24T00:00:00.000
260,QCT000260,140,Junction QualityCharacteristicType 260,1,1,2026-08-24T00:00:00.000
261,QCT000261,216,Cedar QualityCharacteristicType 261,1,1,2026-08-24T00:00:00.000
262,QCT000262,40,Junction QualityCharacteristicType 262,1,1,2026-08-24T00:00:00.000
263,QCT000263,213,Ion QualityCharacteristicType 263,1,1,2026-08-24T00:00:00.000
264,QCT000264,214,Northstar QualityCharacteristicType 264,1,1,2026-08-24T00:00:00.000
265,QCT000265,195,Meridian QualityCharacteristicType 265,1,1,2026-08-24T00:00:00.000
266,QCT000266,222,Vertex QualityCharacteristicType 266,1,1,2026-08-24T00:00:00.000
267,QCT000267,189,Ion QualityCharacteristicType 267,1,1,2026-08-24T00:00:00.000
268,QCT000268,7,Beacon QualityCharacteristicType 268,1,1,2026-08-24T00:00:00.000
269,QCT000269,179,Cedar QualityCharacteristicType 269,1,1,2026-08-24T00:00:00.000
270,QCT000270,112,Forge QualityCharacteristicType 270,1,1,2026-08-24T00:00:00.000
271,QCT000271,217,Beacon QualityCharacteristicType 271,1,1,2026-08-24T00:00:00.000
272,QCT000272,91,Keystone QualityCharacteristicType 272,1,1,2026-08-24T00:00:00.000
273,QCT000273,246,Zenith QualityCharacteristicType 273,1,1,2026-08-24T00:00:00.000
274,QCT000274,34,Summit QualityCharacteristicType 274,1,1,2026-08-24T00:00:00.000
275,QCT000275,213,Pioneer QualityCharacteristicType 275,1,1,2026-08-24T00:00:00.000
276,QCT000276,145,Riverton QualityCharacteristicType 276,1,1,2026-08-24T00:00:00.000
277,QCT000277,130,Meridian QualityCharacteristicType 277,1,1,2026-08-24T00:00:00.000
278,QCT000278,195,Junction QualityCharacteristicType 278,1,1,2026-08-24T00:00:00.000
279,QCT000279,213,Delta QualityCharacteristicType 279,1,1,2026-08-24T00:00:00.000
280,QCT000280,20,Titan QualityCharacteristicType 280,1,1,2026-08-24T00:00:00.000
281,QCT000281,166,Harbor QualityCharacteristicType 281,1,1,2026-08-24T00:00:00.000
282,QCT000282,257,Atlas QualityCharacteristicType 282,1,1,2026-08-24T00:00:00.000
283,QCT000283,250,Ion QualityCharacteristicType 283,1,1,2026-08-24T00:00:00.000
284,QCT000284,250,Titan QualityCharacteristicType 284,1,1,2026-08-24T00:00:00.000
285,QCT000285,72,Keystone QualityCharacteristicType 285,1,1,2026-08-24T00:00:00.000
286,QCT000286,194,Delta QualityCharacteristicType 286,1,1,2026-08-24T00:00:00.000
287,QCT000287,130,Pioneer QualityCharacteristicType 287,1,1,2026-08-24T00:00:00.000
288,QCT000288,195,Pioneer QualityCharacteristicType 288,1,1,2026-08-24T00:00:00.000
289,QCT000289,162,Liberty QualityCharacteristicType 289,1,1,2026-08-24T00:00:00.000
290,QCT000290,167,Atlas QualityCharacteristicType 290,1,1,2026-08-24T00:00:00.000
291,QCT000291,74,Titan QualityCharacteristicType 291,1,1,2026-08-24T00:00:00.000
292,QCT000292,128,Titan QualityCharacteristicType 292,1,1,2026-08-24T00:00:00.000
293,QCT000293,114,Keystone QualityCharacteristicType 293,1,1,2026-08-24T00:00:00.000
294,QCT000294,103,Keystone QualityCharacteristicType 294,1,1,2026-08-24T00:00:00.000
295,QCT000295,54,Liberty QualityCharacteristicType 295,1,1,2026-08-24T00:00:00.000
296,QCT000296,3,Harbor QualityCharacteristicType 296,1,1,2026-08-24T00:00:00.000
297,QCT000297,178,Evergreen QualityCharacteristicType 297,1,1,2026-08-24T00:00:00.000
298,QCT000298,256,Harbor QualityCharacteristicType 298,1,1,2026-08-24T00:00:00.000
299,QCT000299,255,Orion QualityCharacteristicType 299,1,1,2026-08-24T00:00:00.000
300,QCT000300,56,Meridian QualityCharacteristicType 300,1,1,2026-08-24T00:00:00.000
301,QCT000301,179,Junction QualityCharacteristicType 301,1,1,2026-08-24T00:00:00.000
302,QCT000302,212,Granite QualityCharacteristicType 302,1,1,2026-08-24T00:00:00.000
