SafetyPermitTypeKey,PermitTypeCode,SafetyHazardCategoryKey,PermitTypeName,RequiresIsolation,RequiresGasTest,SourceSystemKey,BatchId,LoadedAtUtc
52,SPT000052,61,Quartz SafetyPermitType 52,0,0,1,1,2026-08-24T00:00:00.000
53,SPT000053,3,Titan SafetyPermitType 53,1,1,1,1,2026-08-24T00:00:00.000
54,SPT000054,16,Orion SafetyPermitType 54,0,0,1,1,2026-08-24T00:00:00.000
55,SPT000055,26,Keystone SafetyPermitType 55,1,1,1,1,2026-08-24T00:00:00.000
56,SPT000056,64,Northstar SafetyPermitType 56,0,0,1,1,2026-08-24T00:00:00.000
57,SPT000057,57,Keystone SafetyPermitType 57,1,1,1,1,2026-08-24T00:00:00.000
58,SPT000058,45,Ion SafetyPermitType 58,0,0,1,1,2026-08-24T00:00:00.000
59,SPT000059,57,Zenith SafetyPermitType 59,1,1,1,1,2026-08-24T00:00:00.000
60,SPT000060,16,Harbor SafetyPermitType 60,0,0,1,1,2026-08-24T00:00:00.000
61,SPT000061,38,Liberty SafetyPermitType 61,1,1,1,1,2026-08-24T00:00:00.000
62,SPT000062,67,Granite SafetyPermitType 62,0,0,1,1,2026-08-24T00:00:00.000
63,SPT000063,32,Granite SafetyPermitType 63,1,1,1,1,2026-08-24T00:00:00.000
64,SPT000064,54,Quartz SafetyPermitType 64,0,0,1,1,2026-08-24T00:00:00.000
65,SPT000065,30,Granite SafetyPermitType 65,1,1,1,1,2026-08-24T00:00:00.000
66,SPT000066,10,Cedar SafetyPermitType 66,0,0,1,1,2026-08-24T00:00:00.000
67,SPT000067,13,Quartz SafetyPermitType 67,1,1,1,1,2026-08-24T00:00:00.000
68,SPT000068,7,Zenith SafetyPermitType 68,0,0,1,1,2026-08-24T00:00:00.000
69,SPT000069,26,Summit SafetyPermitType 69,1,1,1,1,2026-08-24T00:00:00.000
70,SPT000070,24,Summit SafetyPermitType 70,0,0,1,1,2026-08-24T00:00:00.000
71,SPT000071,20,Keystone SafetyPermitType 71,1,1,1,1,2026-08-24T00:00:00.000
72,SPT000072,18,Unity SafetyPermitType 72,0,0,1,1,2026-08-24T00:00:00.000
73,SPT000073,22,Granite SafetyPermitType 73,1,1,1,1,2026-08-24T00:00:00.000
74,SPT000074,33,Junction SafetyPermitType 74,0,0,1,1,2026-08-24T00:00:00.000
75,SPT000075,21,Riverton SafetyPermitType 75,1,1,1,1,2026-08-24T00:00:00.000
76,SPT000076,42,Granite SafetyPermitType 76,0,0,1,1,2026-08-24T00:00:00.000
77,SPT000077,27,Harbor SafetyPermitType 77,1,1,1,1,2026-08-24T00:00:00.000
78,SPT000078,31,Northstar SafetyPermitType 78,0,0,1,1,2026-08-24T00:00:00.000
79,SPT000079,52,Riverton SafetyPermitType 79,1,1,1,1,2026-08-24T00:00:00.000
80,SPT000080,16,Titan SafetyPermitType 80,0,0,1,1,2026-08-24T00:00:00.000
81,SPT000081,15,Riverton SafetyPermitType 81,1,1,1,1,2026-08-24T00:00:00.000
82,SPT000082,18,Meridian SafetyPermitType 82,0,0,1,1,2026-08-24T00:00:00.000
83,SPT000083,6,Forge SafetyPermitType 83,1,1,1,1,2026-08-24T00:00:00.000
84,SPT000084,62,Evergreen SafetyPermitType 84,0,0,1,1,2026-08-24T00:00:00.000
85,SPT000085,17,Orion SafetyPermitType 85,1,1,1,1,2026-08-24T00:00:00.000
86,SPT000086,45,Quartz SafetyPermitType 86,0,0,1,1,2026-08-24T00:00:00.000
87,SPT000087,35,Granite SafetyPermitType 87,1,1,1,1,2026-08-24T00:00:00.000
88,SPT000088,64,Liberty SafetyPermitType 88,0,0,1,1,2026-08-24T00:00:00.000
89,SPT000089,36,Willow SafetyPermitType 89,1,1,1,1,2026-08-24T00:00:00.000
90,SPT000090,54,Riverton SafetyPermitType 90,0,0,1,1,2026-08-24T00:00:00.000
91,SPT000091,66,Granite SafetyPermitType 91,1,1,1,1,2026-08-24T00:00:00.000
92,SPT000092,34,Beacon SafetyPermitType 92,0,0,1,1,2026-08-24T00:00:00.000
93,SPT000093,17,Meridian SafetyPermitType 93,1,1,1,1,2026-08-24T00:00:00.000
94,SPT000094,25,Beacon SafetyPermitType 94,0,0,1,1,2026-08-24T00:00:00.000
95,SPT000095,23,Delta SafetyPermitType 95,1,1,1,1,2026-08-24T00:00:00.000
96,SPT000096,28,Summit SafetyPermitType 96,0,0,1,1,2026-08-24T00:00:00.000
97,SPT000097,43,Orion SafetyPermitType 97,1,1,1,1,2026-08-24T00:00:00.000
98,SPT000098,69,Liberty SafetyPermitType 98,0,0,1,1,2026-08-24T00:00:00.000
99,SPT000099,35,Summit SafetyPermitType 99,1,1,1,1,2026-08-24T00:00:00.000
100,SPT000100,58,Quartz SafetyPermitType 100,0,0,1,1,2026-08-24T00:00:00.000
101,SPT000101,65,Northstar SafetyPermitType 101,1,1,1,1,2026-08-24T00:00:00.000
102,SPT000102,13,Evergreen SafetyPermitType 102,0,0,1,1,2026-08-24T00:00:00.000
103,SPT000103,32,Unity SafetyPermitType 103,1,1,1,1,2026-08-24T00:00:00.000
104,SPT000104,23,Northstar SafetyPermitType 104,0,0,1,1,2026-08-24T00:00:00.000
105,SPT000105,22,Orion SafetyPermitType 105,1,1,1,1,2026-08-24T00:00:00.000
106,SPT000106,4,Forge SafetyPermitType 106,0,0,1,1,2026-08-24T00:00:00.000
107,SPT000107,35,Northstar SafetyPermitType 107,1,1,1,1,2026-08-24T00:00:00.000
108,SPT000108,43,Orion SafetyPermitType 108,0,0,1,1,2026-08-24T00:00:00.000
109,SPT000109,60,Orion SafetyPermitType 109,1,1,1,1,2026-08-24T00:00:00.000
110,SPT000110,71,Cedar SafetyPermitType 110,0,0,1,1,2026-08-24T00:00:00.000
111,SPT000111,14,Riverton SafetyPermitType 111,1,1,1,1,2026-08-24T00:00:00.000
112,SPT000112,8,Beacon SafetyPermitType 112,0,0,1,1,2026-08-24T00:00:00.000
113,SPT000113,29,Junction SafetyPermitType 113,1,1,1,1,2026-08-24T00:00:00.000
114,SPT000114,4,Evergreen SafetyPermitType 114,0,0,1,1,2026-08-24T00:00:00.000
115,SPT000115,13,Granite SafetyPermitType 115,1,1,1,1,2026-08-24T00:00:00.000
116,SPT000116,62,Cedar SafetyPermitType 116,0,0,1,1,2026-08-24T00:00:00.000
117,SPT000117,3,Pioneer SafetyPermitType 117,1,1,1,1,2026-08-24T00:00:00.000
118,SPT000118,43,Willow SafetyPermitType 118,0,0,1,1,2026-08-24T00:00:00.000
119,SPT000119,72,Pioneer SafetyPermitType 119,1,1,1,1,2026-08-24T00:00:00.000
120,SPT000120,34,Vertex SafetyPermitType 120,0,0,1,1,2026-08-24T00:00:00.000
121,SPT000121,51,Pioneer SafetyPermitType 121,1,1,1,1,2026-08-24T00:00:00.000
122,SPT000122,29,Pioneer SafetyPermitType 122,0,0,1,1,2026-08-24T00:00:00.000
123,SPT000123,1,Vertex SafetyPermitType 123,1,1,1,1,2026-08-24T00:00:00.000
124,SPT000124,45,Northstar SafetyPermitType 124,0,0,1,1,2026-08-24T00:00:00.000
125,SPT000125,7,Unity SafetyPermitType 125,1,1,1,1,2026-08-24T00:00:00.000
126,SPT000126,53,Quartz SafetyPermitType 126,0,0,1,1,2026-08-24T00:00:00.000
127,SPT000127,43,Atlas SafetyPermitType 127,1,1,1,1,2026-08-24T00:00:00.000
128,SPT000128,34,Liberty SafetyPermitType 128,0,0,1,1,2026-08-24T00:00:00.000
129,SPT000129,10,Summit SafetyPermitType 129,1,1,1,1,2026-08-24T00:00:00.000
130,SPT000130,60,Quartz SafetyPermitType 130,0,0,1,1,2026-08-24T00:00:00.000
131,SPT000131,11,Cedar SafetyPermitType 131,1,1,1,1,2026-08-24T00:00:00.000
132,SPT000132,49,Titan SafetyPermitType 132,0,0,1,1,2026-08-24T00:00:00.000
133,SPT000133,70,Delta SafetyPermitType 133,1,1,1,1,2026-08-24T00:00:00.000
134,SPT000134,49,Vertex SafetyPermitType 134,0,0,1,1,2026-08-24T00:00:00.000
135,SPT000135,44,Vertex SafetyPermitType 135,1,1,1,1,2026-08-24T00:00:00.000
136,SPT000136,69,Pioneer SafetyPermitType 136,0,0,1,1,2026-08-24T00:00:00.000
137,SPT000137,32,Delta SafetyPermitType 137,1,1,1,1,2026-08-24T00:00:00.000
138,SPT000138,64,Keystone SafetyPermitType 138,0,0,1,1,2026-08-24T00:00:00.000
139,SPT000139,57,Willow SafetyPermitType 139,1,1,1,1,2026-08-24T00:00:00.000
140,SPT000140,26,Willow SafetyPermitType 140,0,0,1,1,2026-08-24T00:00:00.000
141,SPT000141,23,Quartz SafetyPermitType 141,1,1,1,1,2026-08-24T00:00:00.000
142,SPT000142,12,Quartz SafetyPermitType 142,0,0,1,1,2026-08-24T00:00:00.000
143,SPT000143,11,Pioneer SafetyPermitType 143,1,1,1,1,2026-08-24T00:00:00.000
144,SPT000144,28,Junction SafetyPermitType 144,0,0,1,1,2026-08-24T00:00:00.000
145,SPT000145,38,Beacon SafetyPermitType 145,1,1,1,1,2026-08-24T00:00:00.000
146,SPT000146,70,Willow SafetyPermitType 146,0,0,1,1,2026-08-24T00:00:00.000
147,SPT000147,34,Liberty SafetyPermitType 147,1,1,1,1,2026-08-24T00:00:00.000
148,SPT000148,27,Junction SafetyPermitType 148,0,0,1,1,2026-08-24T00:00:00.000
149,SPT000149,16,Ion SafetyPermitType 149,1,1,1,1,2026-08-24T00:00:00.000
150,SPT000150,63,Forge SafetyPermitType 150,0,0,1,1,2026-08-24T00:00:00.000
151,SPT000151,10,Atlas SafetyPermitType 151,1,1,1,1,2026-08-24T00:00:00.000
152,SPT000152,12,Orion SafetyPermitType 152,0,0,1,1,2026-08-24T00:00:00.000
153,SPT000153,72,Atlas SafetyPermitType 153,1,1,1,1,2026-08-24T00:00:00.000
154,SPT000154,21,Willow SafetyPermitType 154,0,0,1,1,2026-08-24T00:00:00.000
155,SPT000155,32,Beacon SafetyPermitType 155,1,1,1,1,2026-08-24T00:00:00.000
156,SPT000156,25,Northstar SafetyPermitType 156,0,0,1,1,2026-08-24T00:00:00.000
157,SPT000157,5,Summit SafetyPermitType 157,1,1,1,1,2026-08-24T00:00:00.000
158,SPT000158,69,Ion SafetyPermitType 158,0,0,1,1,2026-08-24T00:00:00.000
159,SPT000159,58,Junction SafetyPermitType 159,1,1,1,1,2026-08-24T00:00:00.000
160,SPT000160,41,Ion SafetyPermitType 160,0,0,1,1,2026-08-24T00:00:00.000
161,SPT000161,19,Zenith SafetyPermitType 161,1,1,1,1,2026-08-24T00:00:00.000
162,SPT000162,34,Delta SafetyPermitType 162,0,0,1,1,2026-08-24T00:00:00.000
163,SPT000163,3,Liberty SafetyPermitType 163,1,1,1,1,2026-08-24T00:00:00.000
164,SPT000164,56,Vertex SafetyPermitType 164,0,0,1,1,2026-08-24T00:00:00.000
165,SPT000165,31,Beacon SafetyPermitType 165,1,1,1,1,2026-08-24T00:00:00.000
166,SPT000166,68,Beacon SafetyPermitType 166,0,0,1,1,2026-08-24T00:00:00.000
167,SPT000167,58,Summit SafetyPermitType 167,1,1,1,1,2026-08-24T00:00:00.000
168,SPT000168,25,Orion SafetyPermitType 168,0,0,1,1,2026-08-24T00:00:00.000
169,SPT000169,46,Quartz SafetyPermitType 169,1,1,1,1,2026-08-24T00:00:00.000
170,SPT000170,44,Willow SafetyPermitType 170,0,0,1,1,2026-08-24T00:00:00.000
171,SPT000171,51,Summit SafetyPermitType 171,1,1,1,1,2026-08-24T00:00:00.000
172,SPT000172,14,Zenith SafetyPermitType 172,0,0,1,1,2026-08-24T00:00:00.000
173,SPT000173,48,Atlas SafetyPermitType 173,1,1,1,1,2026-08-24T00:00:00.000
174,SPT000174,17,Forge SafetyPermitType 174,0,0,1,1,2026-08-24T00:00:00.000
175,SPT000175,31,Granite SafetyPermitType 175,1,1,1,1,2026-08-24T00:00:00.000
176,SPT000176,71,Beacon SafetyPermitType 176,0,0,1,1,2026-08-24T00:00:00.000
177,SPT000177,12,Titan SafetyPermitType 177,1,1,1,1,2026-08-24T00:00:00.000
178,SPT000178,11,Zenith SafetyPermitType 178,0,0,1,1,2026-08-24T00:00:00.000
179,SPT000179,8,Summit SafetyPermitType 179,1,1,1,1,2026-08-24T00:00:00.000
180,SPT000180,5,Delta SafetyPermitType 180,0,0,1,1,2026-08-24T00:00:00.000
181,SPT000181,40,Liberty SafetyPermitType 181,1,1,1,1,2026-08-24T00:00:00.000
182,SPT000182,28,Beacon SafetyPermitType 182,0,0,1,1,2026-08-24T00:00:00.000
183,SPT000183,34,Delta SafetyPermitType 183,1,1,1,1,2026-08-24T00:00:00.000
184,SPT000184,2,Vertex SafetyPermitType 184,0,0,1,1,2026-08-24T00:00:00.000
185,SPT000185,12,Harbor SafetyPermitType 185,1,1,1,1,2026-08-24T00:00:00.000
186,SPT000186,4,Unity SafetyPermitType 186,0,0,1,1,2026-08-24T00:00:00.000
187,SPT000187,57,Atlas SafetyPermitType 187,1,1,1,1,2026-08-24T00:00:00.000
188,SPT000188,43,Meridian SafetyPermitType 188,0,0,1,1,2026-08-24T00:00:00.000
189,SPT000189,24,Harbor SafetyPermitType 189,1,1,1,1,2026-08-24T00:00:00.000
190,SPT000190,6,Delta SafetyPermitType 190,0,0,1,1,2026-08-24T00:00:00.000
191,SPT000191,32,Northstar SafetyPermitType 191,1,1,1,1,2026-08-24T00:00:00.000
192,SPT000192,69,Titan SafetyPermitType 192,0,0,1,1,2026-08-24T00:00:00.000
193,SPT000193,55,Summit SafetyPermitType 193,1,1,1,1,2026-08-24T00:00:00.000
194,SPT000194,61,Unity SafetyPermitType 194,0,0,1,1,2026-08-24T00:00:00.000
195,SPT000195,21,Granite SafetyPermitType 195,1,1,1,1,2026-08-24T00:00:00.000
196,SPT000196,41,Forge SafetyPermitType 196,0,0,1,1,2026-08-24T00:00:00.000
197,SPT000197,3,Quartz SafetyPermitType 197,1,1,1,1,2026-08-24T00:00:00.000
198,SPT000198,1,Willow SafetyPermitType 198,0,0,1,1,2026-08-24T00:00:00.000
199,SPT000199,2,Meridian SafetyPermitType 199,1,1,1,1,2026-08-24T00:00:00.000
200,SPT000200,38,Titan SafetyPermitType 200,0,0,1,1,2026-08-24T00:00:00.000
201,SPT000201,18,Orion SafetyPermitType 201,1,1,1,1,2026-08-24T00:00:00.000
202,SPT000202,69,Atlas SafetyPermitType 202,0,0,1,1,2026-08-24T00:00:00.000
203,SPT000203,20,Unity SafetyPermitType 203,1,1,1,1,2026-08-24T00:00:00.000
204,SPT000204,50,Evergreen SafetyPermitType 204,0,0,1,1,2026-08-24T00:00:00.000
205,SPT000205,48,Liberty SafetyPermitType 205,1,1,1,1,2026-08-24T00:00:00.000
206,SPT000206,16,Granite SafetyPermitType 206,0,0,1,1,2026-08-24T00:00:00.000
207,SPT000207,10,Granite SafetyPermitType 207,1,1,1,1,2026-08-24T00:00:00.000
208,SPT000208,29,Zenith SafetyPermitType 208,0,0,1,1,2026-08-24T00:00:00.000
209,SPT000209,13,Quartz SafetyPermitType 209,1,1,1,1,2026-08-24T00:00:00.000
210,SPT000210,31,Junction SafetyPermitType 210,0,0,1,1,2026-08-24T00:00:00.000
211,SPT000211,38,Willow SafetyPermitType 211,1,1,1,1,2026-08-24T00:00:00.000
212,SPT000212,58,Titan SafetyPermitType 212,0,0,1,1,2026-08-24T00:00:00.000
213,SPT000213,29,Pioneer SafetyPermitType 213,1,1,1,1,2026-08-24T00:00:00.000
214,SPT000214,25,Vertex SafetyPermitType 214,0,0,1,1,2026-08-24T00:00:00.000
215,SPT000215,7,Willow SafetyPermitType 215,1,1,1,1,2026-08-24T00:00:00.000
216,SPT000216,2,Pioneer SafetyPermitType 216,0,0,1,1,2026-08-24T00:00:00.000
217,SPT000217,22,Unity SafetyPermitType 217,1,1,1,1,2026-08-24T00:00:00.000
218,SPT000218,68,Granite SafetyPermitType 218,0,0,1,1,2026-08-24T00:00:00.000
219,SPT000219,10,Keystone SafetyPermitType 219,1,1,1,1,2026-08-24T00:00:00.000
220,SPT000220,39,Northstar SafetyPermitType 220,0,0,1,1,2026-08-24T00:00:00.000
221,SPT000221,56,Junction SafetyPermitType 221,1,1,1,1,2026-08-24T00:00:00.000
222,SPT000222,44,Evergreen SafetyPermitType 222,0,0,1,1,2026-08-24T00:00:00.000
223,SPT000223,52,Zenith SafetyPermitType 223,1,1,1,1,2026-08-24T00:00:00.000
224,SPT000224,32,Evergreen SafetyPermitType 224,0,0,1,1,2026-08-24T00:00:00.000
225,SPT000225,57,Keystone SafetyPermitType 225,1,1,1,1,2026-08-24T00:00:00.000
226,SPT000226,67,Cedar SafetyPermitType 226,0,0,1,1,2026-08-24T00:00:00.000
227,SPT000227,50,Keystone SafetyPermitType 227,1,1,1,1,2026-08-24T00:00:00.000
228,SPT000228,48,Willow SafetyPermitType 228,0,0,1,1,2026-08-24T00:00:00.000
229,SPT000229,16,Orion SafetyPermitType 229,1,1,1,1,2026-08-24T00:00:00.000
230,SPT000230,39,Unity SafetyPermitType 230,0,0,1,1,2026-08-24T00:00:00.000
231,SPT000231,36,Pioneer SafetyPermitType 231,1,1,1,1,2026-08-24T00:00:00.000
232,SPT000232,4,Cedar SafetyPermitType 232,0,0,1,1,2026-08-24T00:00:00.000
233,SPT000233,17,Ion SafetyPermitType 233,1,1,1,1,2026-08-24T00:00:00.000
234,SPT000234,56,Unity SafetyPermitType 234,0,0,1,1,2026-08-24T00:00:00.000
235,SPT000235,33,Riverton SafetyPermitType 235,1,1,1,1,2026-08-24T00:00:00.000
236,SPT000236,60,Vertex SafetyPermitType 236,0,0,1,1,2026-08-24T00:00:00.000
237,SPT000237,50,Forge SafetyPermitType 237,1,1,1,1,2026-08-24T00:00:00.000
238,SPT000238,64,Harbor SafetyPermitType 238,0,0,1,1,2026-08-24T00:00:00.000
239,SPT000239,43,Riverton SafetyPermitType 239,1,1,1,1,2026-08-24T00:00:00.000
240,SPT000240,58,Zenith SafetyPermitType 240,0,0,1,1,2026-08-24T00:00:00.000
241,SPT000241,71,Granite SafetyPermitType 241,1,1,1,1,2026-08-24T00:00:00.000
242,SPT000242,22,Orion SafetyPermitType 242,0,0,1,1,2026-08-24T00:00:00.000
243,SPT000243,46,Atlas SafetyPermitType 243,1,1,1,1,2026-08-24T00:00:00.000
244,SPT000244,24,Granite SafetyPermitType 244,0,0,1,1,2026-08-24T00:00:00.000
245,SPT000245,63,Junction SafetyPermitType 245,1,1,1,1,2026-08-24T00:00:00.000
246,SPT000246,60,Meridian SafetyPermitType 246,0,0,1,1,2026-08-24T00:00:00.000
247,SPT000247,37,Beacon SafetyPermitType 247,1,1,1,1,2026-08-24T00:00:00.000
248,SPT000248,36,Unity SafetyPermitType 248,0,0,1,1,2026-08-24T00:00:00.000
249,SPT000249,32,Northstar SafetyPermitType 249,1,1,1,1,2026-08-24T00:00:00.000
250,SPT000250,21,Delta SafetyPermitType 250,0,0,1,1,2026-08-24T00:00:00.000
251,SPT000251,68,Granite SafetyPermitType 251,1,1,1,1,2026-08-24T00:00:00.000
252,SPT000252,38,Cedar SafetyPermitType 252,0,0,1,1,2026-08-24T00:00:00.000
253,SPT000253,57,Cedar SafetyPermitType 253,1,1,1,1,2026-08-24T00:00:00.000
254,SPT000254,49,Granite SafetyPermitType 254,0,0,1,1,2026-08-24T00:00:00.000
255,SPT000255,25,Northstar SafetyPermitType 255,1,1,1,1,2026-08-24T00:00:00.000
256,SPT000256,41,Evergreen SafetyPermitType 256,0,0,1,1,2026-08-24T00:00:00.000
257,SPT000257,22,Summit SafetyPermitType 257,1,1,1,1,2026-08-24T00:00:00.000
258,SPT000258,33,Summit SafetyPermitType 258,0,0,1,1,2026-08-24T00:00:00.000
259,SPT000259,48,Summit SafetyPermitType 259,1,1,1,1,2026-08-24T00:00:00.000
260,SPT000260,57,Titan SafetyPermitType 260,0,0,1,1,2026-08-24T00:00:00.000
261,SPT000261,46,Unity SafetyPermitType 261,1,1,1,1,2026-08-24T00:00:00.000
262,SPT000262,10,Liberty SafetyPermitType 262,0,0,1,1,2026-08-24T00:00:00.000
263,SPT000263,21,Titan SafetyPermitType 263,1,1,1,1,2026-08-24T00:00:00.000
264,SPT000264,64,Meridian SafetyPermitType 264,0,0,1,1,2026-08-24T00:00:00.000
265,SPT000265,14,Keystone SafetyPermitType 265,1,1,1,1,2026-08-24T00:00:00.000
266,SPT000266,17,Vertex SafetyPermitType 266,0,0,1,1,2026-08-24T00:00:00.000
267,SPT000267,41,Vertex SafetyPermitType 267,1,1,1,1,2026-08-24T00:00:00.000
268,SPT000268,45,Titan SafetyPermitType 268,0,0,1,1,2026-08-24T00:00:00.000
269,SPT000269,1,Zenith SafetyPermitType 269,1,1,1,1,2026-08-24T00:00:00.000
270,SPT000270,50,Ion SafetyPermitType 270,0,0,1,1,2026-08-24T00:00:00.000
271,SPT000271,30,Northstar SafetyPermitType 271,1,1,1,1,2026-08-24T00:00:00.000
272,SPT000272,32,Unity SafetyPermitType 272,0,0,1,1,2026-08-24T00:00:00.000
273,SPT000273,13,Riverton SafetyPermitType 273,1,1,1,1,2026-08-24T00:00:00.000
274,SPT000274,5,Northstar SafetyPermitType 274,0,0,1,1,2026-08-24T00:00:00.000
275,SPT000275,56,Willow SafetyPermitType 275,1,1,1,1,2026-08-24T00:00:00.000
276,SPT000276,8,Beacon SafetyPermitType 276,0,0,1,1,2026-08-24T00:00:00.000
277,SPT000277,22,Beacon SafetyPermitType 277,1,1,1,1,2026-08-24T00:00:00.000
278,SPT000278,42,Willow SafetyPermitType 278,0,0,1,1,2026-08-24T00:00:00.000
279,SPT000279,25,Meridian SafetyPermitType 279,1,1,1,1,2026-08-24T00:00:00.000
280,SPT000280,35,Pioneer SafetyPermitType 280,0,0,1,1,2026-08-24T00:00:00.000
281,SPT000281,11,Harbor SafetyPermitType 281,1,1,1,1,2026-08-24T00:00:00.000
282,SPT000282,54,Pioneer SafetyPermitType 282,0,0,1,1,2026-08-24T00:00:00.000
283,SPT000283,32,Cedar SafetyPermitType 283,1,1,1,1,2026-08-24T00:00:00.000
284,SPT000284,28,Cedar SafetyPermitType 284,0,0,1,1,2026-08-24T00:00:00.000
285,SPT000285,44,Titan SafetyPermitType 285,1,1,1,1,2026-08-24T00:00:00.000
286,SPT000286,64,Quartz SafetyPermitType 286,0,0,1,1,2026-08-24T00:00:00.000
287,SPT000287,66,Vertex SafetyPermitType 287,1,1,1,1,2026-08-24T00:00:00.000
288,SPT000288,71,Orion SafetyPermitType 288,0,0,1,1,2026-08-24T00:00:00.000
289,SPT000289,16,Forge SafetyPermitType 289,1,1,1,1,2026-08-24T00:00:00.000
