SalesChannelKey,SalesChannelCode,SalesChannelFamilyKey,SalesChannelName,SourceSystemKey,BatchId,LoadedAtUtc
78,SC000078,5,Atlas SalesChannel 78,1,1,2026-08-24T00:00:00.000
79,SC000079,4,Riverton SalesChannel 79,1,1,2026-08-24T00:00:00.000
80,SC000080,18,Granite SalesChannel 80,1,1,2026-08-24T00:00:00.000
81,SC000081,25,Orion SalesChannel 81,1,1,2026-08-24T00:00:00.000
82,SC000082,31,Harbor SalesChannel 82,1,1,2026-08-24T00:00:00.000
83,SC000083,27,Granite SalesChannel 83,1,1,2026-08-24T00:00:00.000
84,SC000084,2,Beacon SalesChannel 84,1,1,2026-08-24T00:00:00.000
85,SC000085,28,Vertex SalesChannel 85,1,1,2026-08-24T00:00:00.000
86,SC000086,7,Delta SalesChannel 86,1,1,2026-08-24T00:00:00.000
87,SC000087,2,Delta SalesChannel 87,1,1,2026-08-24T00:00:00.000
88,SC000088,9,Titan SalesChannel 88,1,1,2026-08-24T00:00:00.000
89,SC000089,25,Evergreen SalesChannel 89,1,1,2026-08-24T00:00:00.000
90,SC000090,19,Zenith SalesChannel 90,1,1,2026-08-24T00:00:00.000
91,SC000091,19,Pioneer SalesChannel 91,1,1,2026-08-24T00:00:00.000
92,SC000092,10,Unity SalesChannel 92,1,1,2026-08-24T00:00:00.000
93,SC000093,8,Beacon SalesChannel 93,1,1,2026-08-24T00:00:00.000
94,SC000094,24,Ion SalesChannel 94,1,1,2026-08-24T00:00:00.000
95,SC000095,14,Delta SalesChannel 95,1,1,2026-08-24T00:00:00.000
96,SC000096,8,Zenith SalesChannel 96,1,1,2026-08-24T00:00:00.000
97,SC000097,13,Harbor SalesChannel 97,1,1,2026-08-24T00:00:00.000
98,SC000098,2,Cedar SalesChannel 98,1,1,2026-08-24T00:00:00.000
99,SC000099,9,Harbor SalesChannel 99,1,1,2026-08-24T00:00:00.000
100,SC000100,13,Liberty SalesChannel 100,1,1,2026-08-24T00:00:00.000
101,SC000101,32,Unity SalesChannel 101,1,1,2026-08-24T00:00:00.000
102,SC000102,19,Cedar SalesChannel 102,1,1,2026-08-24T00:00:00.000
103,SC000103,16,Zenith SalesChannel 103,1,1,2026-08-24T00:00:00.000
104,SC000104,2,Quartz SalesChannel 104,1,1,2026-08-24T00:00:00.000
105,SC000105,20,Evergreen SalesChannel 105,1,1,2026-08-24T00:00:00.000
106,SC000106,12,Unity SalesChannel 106,1,1,2026-08-24T00:00:00.000
107,SC000107,17,Orion SalesChannel 107,1,1,2026-08-24T00:00:00.000
108,SC000108,26,Evergreen SalesChannel 108,1,1,2026-08-24T00:00:00.000
109,SC000109,31,Liberty SalesChannel 109,1,1,2026-08-24T00:00:00.000
110,SC000110,6,Cedar SalesChannel 110,1,1,2026-08-24T00:00:00.000
111,SC000111,9,Zenith SalesChannel 111,1,1,2026-08-24T00:00:00.000
112,SC000112,27,Zenith SalesChannel 112,1,1,2026-08-24T00:00:00.000
113,SC000113,30,Keystone SalesChannel 113,1,1,2026-08-24T00:00:00.000
114,SC000114,24,Beacon SalesChannel 114,1,1,2026-08-24T00:00:00.000
115,SC000115,28,Quartz SalesChannel 115,1,1,2026-08-24T00:00:00.000
116,SC000116,27,Evergreen SalesChannel 116,1,1,2026-08-24T00:00:00.000
117,SC000117,20,Northstar SalesChannel 117,1,1,2026-08-24T00:00:00.000
118,SC000118,27,Atlas SalesChannel 118,1,1,2026-08-24T00:00:00.000
119,SC000119,27,Delta SalesChannel 119,1,1,2026-08-24T00:00:00.000
120,SC000120,13,Evergreen SalesChannel 120,1,1,2026-08-24T00:00:00.000
