EnergyMeterTypeKey,EnergyMeterTypeCode,EnergyCarrierKey,EnergyMeterTypeName,SourceSystemKey,BatchId,LoadedAtUtc
29,EMT000029,9,Orion EnergyMeterType 29,1,1,2026-08-24T00:00:00.000
30,EMT000030,20,Meridian EnergyMeterType 30,1,1,2026-08-24T00:00:00.000
31,EMT000031,47,Zenith EnergyMeterType 31,1,1,2026-08-24T00:00:00.000
32,EMT000032,13,Ion EnergyMeterType 32,1,1,2026-08-24T00:00:00.000
33,EMT000033,34,Keystone EnergyMeterType 33,1,1,2026-08-24T00:00:00.000
34,EMT000034,26,Liberty EnergyMeterType 34,1,1,2026-08-24T00:00:00.000
35,EMT000035,47,Cedar EnergyMeterType 35,1,1,2026-08-24T00:00:00.000
36,EMT000036,36,Titan EnergyMeterType 36,1,1,2026-08-24T00:00:00.000
37,EMT000037,1,Keystone EnergyMeterType 37,1,1,2026-08-24T00:00:00.000
38,EMT000038,18,Zenith EnergyMeterType 38,1,1,2026-08-24T00:00:00.000
39,EMT000039,16,Northstar EnergyMeterType 39,1,1,2026-08-24T00:00:00.000
40,EMT000040,15,Northstar EnergyMeterType 40,1,1,2026-08-24T00:00:00.000
41,EMT000041,20,Granite EnergyMeterType 41,1,1,2026-08-24T00:00:00.000
42,EMT000042,26,Ion EnergyMeterType 42,1,1,2026-08-24T00:00:00.000
43,EMT000043,36,Quartz EnergyMeterType 43,1,1,2026-08-24T00:00:00.000
44,EMT000044,40,Unity EnergyMeterType 44,1,1,2026-08-24T00:00:00.000
45,EMT000045,21,Riverton EnergyMeterType 45,1,1,2026-08-24T00:00:00.000
46,EMT000046,8,Titan EnergyMeterType 46,1,1,2026-08-24T00:00:00.000
47,EMT000047,40,Vertex EnergyMeterType 47,1,1,2026-08-24T00:00:00.000
48,EMT000048,19,Cedar EnergyMeterType 48,1,1,2026-08-24T00:00:00.000
49,EMT000049,19,Keystone EnergyMeterType 49,1,1,2026-08-24T00:00:00.000
50,EMT000050,36,Beacon EnergyMeterType 50,1,1,2026-08-24T00:00:00.000
51,EMT000051,45,Beacon EnergyMeterType 51,1,1,2026-08-24T00:00:00.000
52,EMT000052,24,Summit EnergyMeterType 52,1,1,2026-08-24T00:00:00.000
53,EMT000053,5,Summit EnergyMeterType 53,1,1,2026-08-24T00:00:00.000
54,EMT000054,53,Northstar EnergyMeterType 54,1,1,2026-08-24T00:00:00.000
55,EMT000055,23,Granite EnergyMeterType 55,1,1,2026-08-24T00:00:00.000
56,EMT000056,54,Harbor EnergyMeterType 56,1,1,2026-08-24T00:00:00.000
57,EMT000057,40,Liberty EnergyMeterType 57,1,1,2026-08-24T00:00:00.000
58,EMT000058,6,Junction EnergyMeterType 58,1,1,2026-08-24T00:00:00.000
59,EMT000059,40,Quartz EnergyMeterType 59,1,1,2026-08-24T00:00:00.000
60,EMT000060,16,Titan EnergyMeterType 60,1,1,2026-08-24T00:00:00.000
61,EMT000061,15,Riverton EnergyMeterType 61,1,1,2026-08-24T00:00:00.000
62,EMT000062,9,Riverton EnergyMeterType 62,1,1,2026-08-24T00:00:00.000
63,EMT000063,39,Pioneer EnergyMeterType 63,1,1,2026-08-24T00:00:00.000
64,EMT000064,53,Forge EnergyMeterType 64,1,1,2026-08-24T00:00:00.000
65,EMT000065,12,Delta EnergyMeterType 65,1,1,2026-08-24T00:00:00.000
66,EMT000066,21,Liberty EnergyMeterType 66,1,1,2026-08-24T00:00:00.000
67,EMT000067,40,Unity EnergyMeterType 67,1,1,2026-08-24T00:00:00.000
68,EMT000068,50,Harbor EnergyMeterType 68,1,1,2026-08-24T00:00:00.000
69,EMT000069,50,Titan EnergyMeterType 69,1,1,2026-08-24T00:00:00.000
70,EMT000070,14,Willow EnergyMeterType 70,1,1,2026-08-24T00:00:00.000
71,EMT000071,28,Riverton EnergyMeterType 71,1,1,2026-08-24T00:00:00.000
72,EMT000072,6,Delta EnergyMeterType 72,1,1,2026-08-24T00:00:00.000
73,EMT000073,36,Junction EnergyMeterType 73,1,1,2026-08-24T00:00:00.000
74,EMT000074,15,Liberty EnergyMeterType 74,1,1,2026-08-24T00:00:00.000
75,EMT000075,20,Beacon EnergyMeterType 75,1,1,2026-08-24T00:00:00.000
76,EMT000076,4,Titan EnergyMeterType 76,1,1,2026-08-24T00:00:00.000
77,EMT000077,34,Willow EnergyMeterType 77,1,1,2026-08-24T00:00:00.000
78,EMT000078,19,Beacon EnergyMeterType 78,1,1,2026-08-24T00:00:00.000
79,EMT000079,40,Granite EnergyMeterType 79,1,1,2026-08-24T00:00:00.000
80,EMT000080,48,Northstar EnergyMeterType 80,1,1,2026-08-24T00:00:00.000
81,EMT000081,55,Atlas EnergyMeterType 81,1,1,2026-08-24T00:00:00.000
82,EMT000082,40,Meridian EnergyMeterType 82,1,1,2026-08-24T00:00:00.000
83,EMT000083,37,Evergreen EnergyMeterType 83,1,1,2026-08-24T00:00:00.000
84,EMT000084,54,Orion EnergyMeterType 84,1,1,2026-08-24T00:00:00.000
85,EMT000085,55,Ion EnergyMeterType 85,1,1,2026-08-24T00:00:00.000
86,EMT000086,16,Vertex EnergyMeterType 86,1,1,2026-08-24T00:00:00.000
87,EMT000087,29,Unity EnergyMeterType 87,1,1,2026-08-24T00:00:00.000
88,EMT000088,25,Summit EnergyMeterType 88,1,1,2026-08-24T00:00:00.000
89,EMT000089,11,Harbor EnergyMeterType 89,1,1,2026-08-24T00:00:00.000
90,EMT000090,21,Meridian EnergyMeterType 90,1,1,2026-08-24T00:00:00.000
91,EMT000091,46,Titan EnergyMeterType 91,1,1,2026-08-24T00:00:00.000
92,EMT000092,48,Junction EnergyMeterType 92,1,1,2026-08-24T00:00:00.000
93,EMT000093,31,Quartz EnergyMeterType 93,1,1,2026-08-24T00:00:00.000
94,EMT000094,26,Summit EnergyMeterType 94,1,1,2026-08-24T00:00:00.000
95,EMT000095,16,Liberty EnergyMeterType 95,1,1,2026-08-24T00:00:00.000
96,EMT000096,24,Meridian EnergyMeterType 96,1,1,2026-08-24T00:00:00.000
97,EMT000097,28,Cedar EnergyMeterType 97,1,1,2026-08-24T00:00:00.000
98,EMT000098,48,Summit EnergyMeterType 98,1,1,2026-08-24T00:00:00.000
99,EMT000099,12,Liberty EnergyMeterType 99,1,1,2026-08-24T00:00:00.000
100,EMT000100,24,Quartz EnergyMeterType 100,1,1,2026-08-24T00:00:00.000
101,EMT000101,2,Unity EnergyMeterType 101,1,1,2026-08-24T00:00:00.000
102,EMT000102,6,Ion EnergyMeterType 102,1,1,2026-08-24T00:00:00.000
103,EMT000103,7,Delta EnergyMeterType 103,1,1,2026-08-24T00:00:00.000
104,EMT000104,23,Unity EnergyMeterType 104,1,1,2026-08-24T00:00:00.000
105,EMT000105,21,Ion EnergyMeterType 105,1,1,2026-08-24T00:00:00.000
106,EMT000106,10,Meridian EnergyMeterType 106,1,1,2026-08-24T00:00:00.000
107,EMT000107,13,Riverton EnergyMeterType 107,1,1,2026-08-24T00:00:00.000
108,EMT000108,5,Beacon EnergyMeterType 108,1,1,2026-08-24T00:00:00.000
109,EMT000109,7,Summit EnergyMeterType 109,1,1,2026-08-24T00:00:00.000
110,EMT000110,35,Beacon EnergyMeterType 110,1,1,2026-08-24T00:00:00.000
111,EMT000111,46,Junction EnergyMeterType 111,1,1,2026-08-24T00:00:00.000
112,EMT000112,13,Delta EnergyMeterType 112,1,1,2026-08-24T00:00:00.000
113,EMT000113,25,Evergreen EnergyMeterType 113,1,1,2026-08-24T00:00:00.000
114,EMT000114,7,Orion EnergyMeterType 114,1,1,2026-08-24T00:00:00.000
115,EMT000115,45,Junction EnergyMeterType 115,1,1,2026-08-24T00:00:00.000
116,EMT000116,33,Harbor EnergyMeterType 116,1,1,2026-08-24T00:00:00.000
117,EMT000117,8,Beacon EnergyMeterType 117,1,1,2026-08-24T00:00:00.000
118,EMT000118,10,Harbor EnergyMeterType 118,1,1,2026-08-24T00:00:00.000
119,EMT000119,36,Titan EnergyMeterType 119,1,1,2026-08-24T00:00:00.000
120,EMT000120,20,Junction EnergyMeterType 120,1,1,2026-08-24T00:00:00.000
121,EMT000121,25,Northstar EnergyMeterType 121,1,1,2026-08-24T00:00:00.000
122,EMT000122,11,Riverton EnergyMeterType 122,1,1,2026-08-24T00:00:00.000
123,EMT000123,36,Quartz EnergyMeterType 123,1,1,2026-08-24T00:00:00.000
124,EMT000124,34,Granite EnergyMeterType 124,1,1,2026-08-24T00:00:00.000
125,EMT000125,46,Orion EnergyMeterType 125,1,1,2026-08-24T00:00:00.000
126,EMT000126,34,Riverton EnergyMeterType 126,1,1,2026-08-24T00:00:00.000
127,EMT000127,24,Quartz EnergyMeterType 127,1,1,2026-08-24T00:00:00.000
128,EMT000128,23,Willow EnergyMeterType 128,1,1,2026-08-24T00:00:00.000
129,EMT000129,32,Atlas EnergyMeterType 129,1,1,2026-08-24T00:00:00.000
130,EMT000130,15,Harbor EnergyMeterType 130,1,1,2026-08-24T00:00:00.000
131,EMT000131,14,Meridian EnergyMeterType 131,1,1,2026-08-24T00:00:00.000
132,EMT000132,46,Titan EnergyMeterType 132,1,1,2026-08-24T00:00:00.000
133,EMT000133,19,Harbor EnergyMeterType 133,1,1,2026-08-24T00:00:00.000
134,EMT000134,16,Evergreen EnergyMeterType 134,1,1,2026-08-24T00:00:00.000
135,EMT000135,39,Forge EnergyMeterType 135,1,1,2026-08-24T00:00:00.000
136,EMT000136,27,Harbor EnergyMeterType 136,1,1,2026-08-24T00:00:00.000
137,EMT000137,18,Cedar EnergyMeterType 137,1,1,2026-08-24T00:00:00.000
138,EMT000138,43,Delta EnergyMeterType 138,1,1,2026-08-24T00:00:00.000
139,EMT000139,5,Meridian EnergyMeterType 139,1,1,2026-08-24T00:00:00.000
140,EMT000140,8,Junction EnergyMeterType 140,1,1,2026-08-24T00:00:00.000
141,EMT000141,5,Junction EnergyMeterType 141,1,1,2026-08-24T00:00:00.000
142,EMT000142,45,Keystone EnergyMeterType 142,1,1,2026-08-24T00:00:00.000
143,EMT000143,29,Ion EnergyMeterType 143,1,1,2026-08-24T00:00:00.000
144,EMT000144,13,Beacon EnergyMeterType 144,1,1,2026-08-24T00:00:00.000
145,EMT000145,55,Vertex EnergyMeterType 145,1,1,2026-08-24T00:00:00.000
146,EMT000146,10,Meridian EnergyMeterType 146,1,1,2026-08-24T00:00:00.000
147,EMT000147,41,Keystone EnergyMeterType 147,1,1,2026-08-24T00:00:00.000
148,EMT000148,31,Delta EnergyMeterType 148,1,1,2026-08-24T00:00:00.000
149,EMT000149,14,Northstar EnergyMeterType 149,1,1,2026-08-24T00:00:00.000
150,EMT000150,2,Beacon EnergyMeterType 150,1,1,2026-08-24T00:00:00.000
151,EMT000151,21,Pioneer EnergyMeterType 151,1,1,2026-08-24T00:00:00.000
152,EMT000152,30,Beacon EnergyMeterType 152,1,1,2026-08-24T00:00:00.000
153,EMT000153,31,Atlas EnergyMeterType 153,1,1,2026-08-24T00:00:00.000
154,EMT000154,15,Evergreen EnergyMeterType 154,1,1,2026-08-24T00:00:00.000
155,EMT000155,30,Forge EnergyMeterType 155,1,1,2026-08-24T00:00:00.000
156,EMT000156,10,Orion EnergyMeterType 156,1,1,2026-08-24T00:00:00.000
157,EMT000157,26,Liberty EnergyMeterType 157,1,1,2026-08-24T00:00:00.000
158,EMT000158,14,Unity EnergyMeterType 158,1,1,2026-08-24T00:00:00.000
159,EMT000159,19,Meridian EnergyMeterType 159,1,1,2026-08-24T00:00:00.000
160,EMT000160,21,Titan EnergyMeterType 160,1,1,2026-08-24T00:00:00.000
161,EMT000161,24,Junction EnergyMeterType 161,1,1,2026-08-24T00:00:00.000
162,EMT000162,2,Willow EnergyMeterType 162,1,1,2026-08-24T00:00:00.000
163,EMT000163,2,Orion EnergyMeterType 163,1,1,2026-08-24T00:00:00.000
164,EMT000164,18,Zenith EnergyMeterType 164,1,1,2026-08-24T00:00:00.000
165,EMT000165,32,Riverton EnergyMeterType 165,1,1,2026-08-24T00:00:00.000
166,EMT000166,23,Vertex EnergyMeterType 166,1,1,2026-08-24T00:00:00.000
167,EMT000167,15,Titan EnergyMeterType 167,1,1,2026-08-24T00:00:00.000
168,EMT000168,16,Keystone EnergyMeterType 168,1,1,2026-08-24T00:00:00.000
169,EMT000169,19,Delta EnergyMeterType 169,1,1,2026-08-24T00:00:00.000
170,EMT000170,23,Forge EnergyMeterType 170,1,1,2026-08-24T00:00:00.000
171,EMT000171,46,Delta EnergyMeterType 171,1,1,2026-08-24T00:00:00.000
172,EMT000172,17,Northstar EnergyMeterType 172,1,1,2026-08-24T00:00:00.000
173,EMT000173,40,Atlas EnergyMeterType 173,1,1,2026-08-24T00:00:00.000
174,EMT000174,42,Unity EnergyMeterType 174,1,1,2026-08-24T00:00:00.000
175,EMT000175,49,Meridian EnergyMeterType 175,1,1,2026-08-24T00:00:00.000
176,EMT000176,1,Liberty EnergyMeterType 176,1,1,2026-08-24T00:00:00.000
177,EMT000177,9,Ion EnergyMeterType 177,1,1,2026-08-24T00:00:00.000
178,EMT000178,15,Titan EnergyMeterType 178,1,1,2026-08-24T00:00:00.000
179,EMT000179,29,Zenith EnergyMeterType 179,1,1,2026-08-24T00:00:00.000
180,EMT000180,33,Atlas EnergyMeterType 180,1,1,2026-08-24T00:00:00.000
