EnergySubmeterZoneKey,EnergySubmeterZoneCode,EnergyUtilityCircuitKey,EnergySubmeterZoneName,SourceSystemKey,BatchId,LoadedAtUtc
46,ESZ000046,89,Liberty EnergySubmeterZone 46,1,1,2026-08-24T00:00:00.000
47,ESZ000047,322,Keystone EnergySubmeterZone 47,1,1,2026-08-24T00:00:00.000
48,ESZ000048,260,Meridian EnergySubmeterZone 48,1,1,2026-08-24T00:00:00.000
49,ESZ000049,261,Unity EnergySubmeterZone 49,1,1,2026-08-24T00:00:00.000
50,ESZ000050,408,Vertex EnergySubmeterZone 50,1,1,2026-08-24T00:00:00.000
51,ESZ000051,248,Cedar EnergySubmeterZone 51,1,1,2026-08-24T00:00:00.000
52,ESZ000052,461,Zenith EnergySubmeterZone 52,1,1,2026-08-24T00:00:00.000
53,ESZ000053,367,Unity EnergySubmeterZone 53,1,1,2026-08-24T00:00:00.000
54,ESZ000054,208,Beacon EnergySubmeterZone 54,1,1,2026-08-24T00:00:00.000
55,ESZ000055,485,Vertex EnergySubmeterZone 55,1,1,2026-08-24T00:00:00.000
56,ESZ000056,38,Liberty EnergySubmeterZone 56,1,1,2026-08-24T00:00:00.000
57,ESZ000057,356,Unity EnergySubmeterZone 57,1,1,2026-08-24T00:00:00.000
58,ESZ000058,87,Beacon EnergySubmeterZone 58,1,1,2026-08-24T00:00:00.000
59,ESZ000059,422,Titan EnergySubmeterZone 59,1,1,2026-08-24T00:00:00.000
60,ESZ000060,245,Cedar EnergySubmeterZone 60,1,1,2026-08-24T00:00:00.000
61,ESZ000061,134,Orion EnergySubmeterZone 61,1,1,2026-08-24T00:00:00.000
62,ESZ000062,136,Junction EnergySubmeterZone 62,1,1,2026-08-24T00:00:00.000
63,ESZ000063,95,Harbor EnergySubmeterZone 63,1,1,2026-08-24T00:00:00.000
64,ESZ000064,474,Junction EnergySubmeterZone 64,1,1,2026-08-24T00:00:00.000
65,ESZ000065,212,Atlas EnergySubmeterZone 65,1,1,2026-08-24T00:00:00.000
66,ESZ000066,224,Zenith EnergySubmeterZone 66,1,1,2026-08-24T00:00:00.000
67,ESZ000067,162,Riverton EnergySubmeterZone 67,1,1,2026-08-24T00:00:00.000
68,ESZ000068,335,Ion EnergySubmeterZone 68,1,1,2026-08-24T00:00:00.000
69,ESZ000069,137,Keystone EnergySubmeterZone 69,1,1,2026-08-24T00:00:00.000
70,ESZ000070,436,Atlas EnergySubmeterZone 70,1,1,2026-08-24T00:00:00.000
71,ESZ000071,119,Ion EnergySubmeterZone 71,1,1,2026-08-24T00:00:00.000
72,ESZ000072,284,Willow EnergySubmeterZone 72,1,1,2026-08-24T00:00:00.000
73,ESZ000073,114,Beacon EnergySubmeterZone 73,1,1,2026-08-24T00:00:00.000
74,ESZ000074,30,Liberty EnergySubmeterZone 74,1,1,2026-08-24T00:00:00.000
75,ESZ000075,420,Riverton EnergySubmeterZone 75,1,1,2026-08-24T00:00:00.000
76,ESZ000076,126,Granite EnergySubmeterZone 76,1,1,2026-08-24T00:00:00.000
77,ESZ000077,213,Beacon EnergySubmeterZone 77,1,1,2026-08-24T00:00:00.000
78,ESZ000078,8,Evergreen EnergySubmeterZone 78,1,1,2026-08-24T00:00:00.000
79,ESZ000079,265,Harbor EnergySubmeterZone 79,1,1,2026-08-24T00:00:00.000
80,ESZ000080,384,Ion EnergySubmeterZone 80,1,1,2026-08-24T00:00:00.000
81,ESZ000081,448,Liberty EnergySubmeterZone 81,1,1,2026-08-24T00:00:00.000
82,ESZ000082,69,Meridian EnergySubmeterZone 82,1,1,2026-08-24T00:00:00.000
83,ESZ000083,234,Keystone EnergySubmeterZone 83,1,1,2026-08-24T00:00:00.000
84,ESZ000084,28,Junction EnergySubmeterZone 84,1,1,2026-08-24T00:00:00.000
85,ESZ000085,195,Ion EnergySubmeterZone 85,1,1,2026-08-24T00:00:00.000
86,ESZ000086,23,Pioneer EnergySubmeterZone 86,1,1,2026-08-24T00:00:00.000
87,ESZ000087,438,Northstar EnergySubmeterZone 87,1,1,2026-08-24T00:00:00.000
88,ESZ000088,285,Pioneer EnergySubmeterZone 88,1,1,2026-08-24T00:00:00.000
89,ESZ000089,405,Atlas EnergySubmeterZone 89,1,1,2026-08-24T00:00:00.000
90,ESZ000090,168,Quartz EnergySubmeterZone 90,1,1,2026-08-24T00:00:00.000
91,ESZ000091,123,Evergreen EnergySubmeterZone 91,1,1,2026-08-24T00:00:00.000
92,ESZ000092,122,Vertex EnergySubmeterZone 92,1,1,2026-08-24T00:00:00.000
93,ESZ000093,60,Liberty EnergySubmeterZone 93,1,1,2026-08-24T00:00:00.000
94,ESZ000094,314,Meridian EnergySubmeterZone 94,1,1,2026-08-24T00:00:00.000
95,ESZ000095,263,Vertex EnergySubmeterZone 95,1,1,2026-08-24T00:00:00.000
96,ESZ000096,132,Meridian EnergySubmeterZone 96,1,1,2026-08-24T00:00:00.000
97,ESZ000097,189,Pioneer EnergySubmeterZone 97,1,1,2026-08-24T00:00:00.000
98,ESZ000098,144,Cedar EnergySubmeterZone 98,1,1,2026-08-24T00:00:00.000
99,ESZ000099,192,Forge EnergySubmeterZone 99,1,1,2026-08-24T00:00:00.000
100,ESZ000100,321,Pioneer EnergySubmeterZone 100,1,1,2026-08-24T00:00:00.000
101,ESZ000101,410,Unity EnergySubmeterZone 101,1,1,2026-08-24T00:00:00.000
102,ESZ000102,108,Northstar EnergySubmeterZone 102,1,1,2026-08-24T00:00:00.000
103,ESZ000103,339,Liberty EnergySubmeterZone 103,1,1,2026-08-24T00:00:00.000
104,ESZ000104,92,Ion EnergySubmeterZone 104,1,1,2026-08-24T00:00:00.000
105,ESZ000105,352,Vertex EnergySubmeterZone 105,1,1,2026-08-24T00:00:00.000
106,ESZ000106,146,Granite EnergySubmeterZone 106,1,1,2026-08-24T00:00:00.000
107,ESZ000107,105,Liberty EnergySubmeterZone 107,1,1,2026-08-24T00:00:00.000
108,ESZ000108,98,Junction EnergySubmeterZone 108,1,1,2026-08-24T00:00:00.000
109,ESZ000109,234,Atlas EnergySubmeterZone 109,1,1,2026-08-24T00:00:00.000
110,ESZ000110,431,Quartz EnergySubmeterZone 110,1,1,2026-08-24T00:00:00.000
111,ESZ000111,105,Unity EnergySubmeterZone 111,1,1,2026-08-24T00:00:00.000
112,ESZ000112,366,Ion EnergySubmeterZone 112,1,1,2026-08-24T00:00:00.000
113,ESZ000113,185,Delta EnergySubmeterZone 113,1,1,2026-08-24T00:00:00.000
114,ESZ000114,487,Zenith EnergySubmeterZone 114,1,1,2026-08-24T00:00:00.000
115,ESZ000115,257,Delta EnergySubmeterZone 115,1,1,2026-08-24T00:00:00.000
116,ESZ000116,369,Forge EnergySubmeterZone 116,1,1,2026-08-24T00:00:00.000
117,ESZ000117,282,Junction EnergySubmeterZone 117,1,1,2026-08-24T00:00:00.000
118,ESZ000118,93,Northstar EnergySubmeterZone 118,1,1,2026-08-24T00:00:00.000
119,ESZ000119,329,Unity EnergySubmeterZone 119,1,1,2026-08-24T00:00:00.000
120,ESZ000120,72,Liberty EnergySubmeterZone 120,1,1,2026-08-24T00:00:00.000
121,ESZ000121,342,Junction EnergySubmeterZone 121,1,1,2026-08-24T00:00:00.000
122,ESZ000122,356,Northstar EnergySubmeterZone 122,1,1,2026-08-24T00:00:00.000
123,ESZ000123,395,Zenith EnergySubmeterZone 123,1,1,2026-08-24T00:00:00.000
124,ESZ000124,105,Riverton EnergySubmeterZone 124,1,1,2026-08-24T00:00:00.000
125,ESZ000125,1,Northstar EnergySubmeterZone 125,1,1,2026-08-24T00:00:00.000
126,ESZ000126,404,Orion EnergySubmeterZone 126,1,1,2026-08-24T00:00:00.000
127,ESZ000127,464,Delta EnergySubmeterZone 127,1,1,2026-08-24T00:00:00.000
128,ESZ000128,477,Evergreen EnergySubmeterZone 128,1,1,2026-08-24T00:00:00.000
129,ESZ000129,261,Granite EnergySubmeterZone 129,1,1,2026-08-24T00:00:00.000
130,ESZ000130,12,Keystone EnergySubmeterZone 130,1,1,2026-08-24T00:00:00.000
131,ESZ000131,363,Northstar EnergySubmeterZone 131,1,1,2026-08-24T00:00:00.000
132,ESZ000132,209,Evergreen EnergySubmeterZone 132,1,1,2026-08-24T00:00:00.000
133,ESZ000133,196,Riverton EnergySubmeterZone 133,1,1,2026-08-24T00:00:00.000
134,ESZ000134,117,Quartz EnergySubmeterZone 134,1,1,2026-08-24T00:00:00.000
135,ESZ000135,463,Delta EnergySubmeterZone 135,1,1,2026-08-24T00:00:00.000
136,ESZ000136,372,Vertex EnergySubmeterZone 136,1,1,2026-08-24T00:00:00.000
137,ESZ000137,253,Atlas EnergySubmeterZone 137,1,1,2026-08-24T00:00:00.000
138,ESZ000138,208,Junction EnergySubmeterZone 138,1,1,2026-08-24T00:00:00.000
139,ESZ000139,275,Summit EnergySubmeterZone 139,1,1,2026-08-24T00:00:00.000
140,ESZ000140,233,Titan EnergySubmeterZone 140,1,1,2026-08-24T00:00:00.000
141,ESZ000141,461,Orion EnergySubmeterZone 141,1,1,2026-08-24T00:00:00.000
142,ESZ000142,197,Beacon EnergySubmeterZone 142,1,1,2026-08-24T00:00:00.000
143,ESZ000143,469,Riverton EnergySubmeterZone 143,1,1,2026-08-24T00:00:00.000
144,ESZ000144,494,Forge EnergySubmeterZone 144,1,1,2026-08-24T00:00:00.000
145,ESZ000145,390,Evergreen EnergySubmeterZone 145,1,1,2026-08-24T00:00:00.000
146,ESZ000146,134,Riverton EnergySubmeterZone 146,1,1,2026-08-24T00:00:00.000
147,ESZ000147,95,Riverton EnergySubmeterZone 147,1,1,2026-08-24T00:00:00.000
148,ESZ000148,360,Keystone EnergySubmeterZone 148,1,1,2026-08-24T00:00:00.000
149,ESZ000149,332,Unity EnergySubmeterZone 149,1,1,2026-08-24T00:00:00.000
150,ESZ000150,395,Orion EnergySubmeterZone 150,1,1,2026-08-24T00:00:00.000
151,ESZ000151,397,Willow EnergySubmeterZone 151,1,1,2026-08-24T00:00:00.000
152,ESZ000152,500,Cedar EnergySubmeterZone 152,1,1,2026-08-24T00:00:00.000
153,ESZ000153,34,Summit EnergySubmeterZone 153,1,1,2026-08-24T00:00:00.000
154,ESZ000154,355,Zenith EnergySubmeterZone 154,1,1,2026-08-24T00:00:00.000
155,ESZ000155,208,Granite EnergySubmeterZone 155,1,1,2026-08-24T00:00:00.000
156,ESZ000156,379,Zenith EnergySubmeterZone 156,1,1,2026-08-24T00:00:00.000
157,ESZ000157,194,Titan EnergySubmeterZone 157,1,1,2026-08-24T00:00:00.000
158,ESZ000158,258,Zenith EnergySubmeterZone 158,1,1,2026-08-24T00:00:00.000
159,ESZ000159,311,Quartz EnergySubmeterZone 159,1,1,2026-08-24T00:00:00.000
160,ESZ000160,203,Titan EnergySubmeterZone 160,1,1,2026-08-24T00:00:00.000
161,ESZ000161,368,Harbor EnergySubmeterZone 161,1,1,2026-08-24T00:00:00.000
162,ESZ000162,116,Unity EnergySubmeterZone 162,1,1,2026-08-24T00:00:00.000
163,ESZ000163,463,Titan EnergySubmeterZone 163,1,1,2026-08-24T00:00:00.000
164,ESZ000164,114,Ion EnergySubmeterZone 164,1,1,2026-08-24T00:00:00.000
165,ESZ000165,250,Forge EnergySubmeterZone 165,1,1,2026-08-24T00:00:00.000
166,ESZ000166,108,Unity EnergySubmeterZone 166,1,1,2026-08-24T00:00:00.000
167,ESZ000167,251,Unity EnergySubmeterZone 167,1,1,2026-08-24T00:00:00.000
168,ESZ000168,318,Keystone EnergySubmeterZone 168,1,1,2026-08-24T00:00:00.000
169,ESZ000169,443,Northstar EnergySubmeterZone 169,1,1,2026-08-24T00:00:00.000
170,ESZ000170,497,Cedar EnergySubmeterZone 170,1,1,2026-08-24T00:00:00.000
171,ESZ000171,245,Forge EnergySubmeterZone 171,1,1,2026-08-24T00:00:00.000
172,ESZ000172,295,Titan EnergySubmeterZone 172,1,1,2026-08-24T00:00:00.000
173,ESZ000173,196,Keystone EnergySubmeterZone 173,1,1,2026-08-24T00:00:00.000
174,ESZ000174,389,Quartz EnergySubmeterZone 174,1,1,2026-08-24T00:00:00.000
175,ESZ000175,44,Evergreen EnergySubmeterZone 175,1,1,2026-08-24T00:00:00.000
176,ESZ000176,87,Northstar EnergySubmeterZone 176,1,1,2026-08-24T00:00:00.000
177,ESZ000177,155,Northstar EnergySubmeterZone 177,1,1,2026-08-24T00:00:00.000
178,ESZ000178,242,Pioneer EnergySubmeterZone 178,1,1,2026-08-24T00:00:00.000
179,ESZ000179,479,Keystone EnergySubmeterZone 179,1,1,2026-08-24T00:00:00.000
180,ESZ000180,28,Vertex EnergySubmeterZone 180,1,1,2026-08-24T00:00:00.000
181,ESZ000181,426,Delta EnergySubmeterZone 181,1,1,2026-08-24T00:00:00.000
182,ESZ000182,260,Meridian EnergySubmeterZone 182,1,1,2026-08-24T00:00:00.000
183,ESZ000183,140,Granite EnergySubmeterZone 183,1,1,2026-08-24T00:00:00.000
184,ESZ000184,46,Summit EnergySubmeterZone 184,1,1,2026-08-24T00:00:00.000
185,ESZ000185,216,Beacon EnergySubmeterZone 185,1,1,2026-08-24T00:00:00.000
186,ESZ000186,189,Riverton EnergySubmeterZone 186,1,1,2026-08-24T00:00:00.000
187,ESZ000187,136,Summit EnergySubmeterZone 187,1,1,2026-08-24T00:00:00.000
188,ESZ000188,376,Riverton EnergySubmeterZone 188,1,1,2026-08-24T00:00:00.000
189,ESZ000189,239,Evergreen EnergySubmeterZone 189,1,1,2026-08-24T00:00:00.000
190,ESZ000190,208,Granite EnergySubmeterZone 190,1,1,2026-08-24T00:00:00.000
191,ESZ000191,356,Zenith EnergySubmeterZone 191,1,1,2026-08-24T00:00:00.000
192,ESZ000192,190,Atlas EnergySubmeterZone 192,1,1,2026-08-24T00:00:00.000
193,ESZ000193,117,Meridian EnergySubmeterZone 193,1,1,2026-08-24T00:00:00.000
194,ESZ000194,158,Keystone EnergySubmeterZone 194,1,1,2026-08-24T00:00:00.000
195,ESZ000195,336,Ion EnergySubmeterZone 195,1,1,2026-08-24T00:00:00.000
196,ESZ000196,104,Riverton EnergySubmeterZone 196,1,1,2026-08-24T00:00:00.000
197,ESZ000197,472,Vertex EnergySubmeterZone 197,1,1,2026-08-24T00:00:00.000
198,ESZ000198,190,Titan EnergySubmeterZone 198,1,1,2026-08-24T00:00:00.000
199,ESZ000199,289,Harbor EnergySubmeterZone 199,1,1,2026-08-24T00:00:00.000
200,ESZ000200,69,Riverton EnergySubmeterZone 200,1,1,2026-08-24T00:00:00.000
201,ESZ000201,83,Riverton EnergySubmeterZone 201,1,1,2026-08-24T00:00:00.000
202,ESZ000202,4,Keystone EnergySubmeterZone 202,1,1,2026-08-24T00:00:00.000
203,ESZ000203,305,Orion EnergySubmeterZone 203,1,1,2026-08-24T00:00:00.000
204,ESZ000204,433,Liberty EnergySubmeterZone 204,1,1,2026-08-24T00:00:00.000
205,ESZ000205,222,Beacon EnergySubmeterZone 205,1,1,2026-08-24T00:00:00.000
206,ESZ000206,272,Vertex EnergySubmeterZone 206,1,1,2026-08-24T00:00:00.000
207,ESZ000207,1,Zenith EnergySubmeterZone 207,1,1,2026-08-24T00:00:00.000
208,ESZ000208,243,Harbor EnergySubmeterZone 208,1,1,2026-08-24T00:00:00.000
209,ESZ000209,466,Granite EnergySubmeterZone 209,1,1,2026-08-24T00:00:00.000
210,ESZ000210,286,Willow EnergySubmeterZone 210,1,1,2026-08-24T00:00:00.000
211,ESZ000211,448,Keystone EnergySubmeterZone 211,1,1,2026-08-24T00:00:00.000
212,ESZ000212,142,Willow EnergySubmeterZone 212,1,1,2026-08-24T00:00:00.000
213,ESZ000213,254,Meridian EnergySubmeterZone 213,1,1,2026-08-24T00:00:00.000
214,ESZ000214,99,Meridian EnergySubmeterZone 214,1,1,2026-08-24T00:00:00.000
215,ESZ000215,410,Northstar EnergySubmeterZone 215,1,1,2026-08-24T00:00:00.000
216,ESZ000216,62,Cedar EnergySubmeterZone 216,1,1,2026-08-24T00:00:00.000
217,ESZ000217,150,Harbor EnergySubmeterZone 217,1,1,2026-08-24T00:00:00.000
218,ESZ000218,316,Orion EnergySubmeterZone 218,1,1,2026-08-24T00:00:00.000
219,ESZ000219,139,Granite EnergySubmeterZone 219,1,1,2026-08-24T00:00:00.000
220,ESZ000220,405,Quartz EnergySubmeterZone 220,1,1,2026-08-24T00:00:00.000
221,ESZ000221,93,Pioneer EnergySubmeterZone 221,1,1,2026-08-24T00:00:00.000
222,ESZ000222,207,Zenith EnergySubmeterZone 222,1,1,2026-08-24T00:00:00.000
223,ESZ000223,2,Meridian EnergySubmeterZone 223,1,1,2026-08-24T00:00:00.000
224,ESZ000224,185,Willow EnergySubmeterZone 224,1,1,2026-08-24T00:00:00.000
225,ESZ000225,101,Summit EnergySubmeterZone 225,1,1,2026-08-24T00:00:00.000
226,ESZ000226,224,Zenith EnergySubmeterZone 226,1,1,2026-08-24T00:00:00.000
227,ESZ000227,333,Unity EnergySubmeterZone 227,1,1,2026-08-24T00:00:00.000
228,ESZ000228,250,Orion EnergySubmeterZone 228,1,1,2026-08-24T00:00:00.000
229,ESZ000229,451,Keystone EnergySubmeterZone 229,1,1,2026-08-24T00:00:00.000
230,ESZ000230,205,Unity EnergySubmeterZone 230,1,1,2026-08-24T00:00:00.000
231,ESZ000231,172,Orion EnergySubmeterZone 231,1,1,2026-08-24T00:00:00.000
232,ESZ000232,246,Atlas EnergySubmeterZone 232,1,1,2026-08-24T00:00:00.000
233,ESZ000233,164,Unity EnergySubmeterZone 233,1,1,2026-08-24T00:00:00.000
234,ESZ000234,68,Junction EnergySubmeterZone 234,1,1,2026-08-24T00:00:00.000
235,ESZ000235,488,Junction EnergySubmeterZone 235,1,1,2026-08-24T00:00:00.000
236,ESZ000236,174,Keystone EnergySubmeterZone 236,1,1,2026-08-24T00:00:00.000
237,ESZ000237,323,Vertex EnergySubmeterZone 237,1,1,2026-08-24T00:00:00.000
238,ESZ000238,337,Riverton EnergySubmeterZone 238,1,1,2026-08-24T00:00:00.000
239,ESZ000239,136,Meridian EnergySubmeterZone 239,1,1,2026-08-24T00:00:00.000
240,ESZ000240,131,Orion EnergySubmeterZone 240,1,1,2026-08-24T00:00:00.000
241,ESZ000241,185,Junction EnergySubmeterZone 241,1,1,2026-08-24T00:00:00.000
242,ESZ000242,274,Summit EnergySubmeterZone 242,1,1,2026-08-24T00:00:00.000
243,ESZ000243,235,Liberty EnergySubmeterZone 243,1,1,2026-08-24T00:00:00.000
244,ESZ000244,267,Summit EnergySubmeterZone 244,1,1,2026-08-24T00:00:00.000
245,ESZ000245,273,Delta EnergySubmeterZone 245,1,1,2026-08-24T00:00:00.000
246,ESZ000246,171,Vertex EnergySubmeterZone 246,1,1,2026-08-24T00:00:00.000
247,ESZ000247,351,Granite EnergySubmeterZone 247,1,1,2026-08-24T00:00:00.000
248,ESZ000248,344,Quartz EnergySubmeterZone 248,1,1,2026-08-24T00:00:00.000
249,ESZ000249,484,Northstar EnergySubmeterZone 249,1,1,2026-08-24T00:00:00.000
250,ESZ000250,377,Cedar EnergySubmeterZone 250,1,1,2026-08-24T00:00:00.000
251,ESZ000251,192,Keystone EnergySubmeterZone 251,1,1,2026-08-24T00:00:00.000
252,ESZ000252,40,Junction EnergySubmeterZone 252,1,1,2026-08-24T00:00:00.000
253,ESZ000253,54,Liberty EnergySubmeterZone 253,1,1,2026-08-24T00:00:00.000
254,ESZ000254,495,Meridian EnergySubmeterZone 254,1,1,2026-08-24T00:00:00.000
255,ESZ000255,409,Evergreen EnergySubmeterZone 255,1,1,2026-08-24T00:00:00.000
256,ESZ000256,297,Willow EnergySubmeterZone 256,1,1,2026-08-24T00:00:00.000
257,ESZ000257,210,Vertex EnergySubmeterZone 257,1,1,2026-08-24T00:00:00.000
258,ESZ000258,457,Unity EnergySubmeterZone 258,1,1,2026-08-24T00:00:00.000
259,ESZ000259,303,Northstar EnergySubmeterZone 259,1,1,2026-08-24T00:00:00.000
260,ESZ000260,222,Cedar EnergySubmeterZone 260,1,1,2026-08-24T00:00:00.000
261,ESZ000261,48,Granite EnergySubmeterZone 261,1,1,2026-08-24T00:00:00.000
262,ESZ000262,433,Pioneer EnergySubmeterZone 262,1,1,2026-08-24T00:00:00.000
263,ESZ000263,2,Riverton EnergySubmeterZone 263,1,1,2026-08-24T00:00:00.000
264,ESZ000264,466,Evergreen EnergySubmeterZone 264,1,1,2026-08-24T00:00:00.000
265,ESZ000265,7,Orion EnergySubmeterZone 265,1,1,2026-08-24T00:00:00.000
266,ESZ000266,366,Harbor EnergySubmeterZone 266,1,1,2026-08-24T00:00:00.000
267,ESZ000267,411,Willow EnergySubmeterZone 267,1,1,2026-08-24T00:00:00.000
268,ESZ000268,194,Riverton EnergySubmeterZone 268,1,1,2026-08-24T00:00:00.000
269,ESZ000269,421,Zenith EnergySubmeterZone 269,1,1,2026-08-24T00:00:00.000
270,ESZ000270,398,Orion EnergySubmeterZone 270,1,1,2026-08-24T00:00:00.000
271,ESZ000271,188,Orion EnergySubmeterZone 271,1,1,2026-08-24T00:00:00.000
272,ESZ000272,69,Vertex EnergySubmeterZone 272,1,1,2026-08-24T00:00:00.000
273,ESZ000273,371,Liberty EnergySubmeterZone 273,1,1,2026-08-24T00:00:00.000
274,ESZ000274,313,Forge EnergySubmeterZone 274,1,1,2026-08-24T00:00:00.000
275,ESZ000275,185,Meridian EnergySubmeterZone 275,1,1,2026-08-24T00:00:00.000
276,ESZ000276,280,Ion EnergySubmeterZone 276,1,1,2026-08-24T00:00:00.000
277,ESZ000277,92,Delta EnergySubmeterZone 277,1,1,2026-08-24T00:00:00.000
278,ESZ000278,77,Delta EnergySubmeterZone 278,1,1,2026-08-24T00:00:00.000
279,ESZ000279,292,Forge EnergySubmeterZone 279,1,1,2026-08-24T00:00:00.000
280,ESZ000280,293,Willow EnergySubmeterZone 280,1,1,2026-08-24T00:00:00.000
281,ESZ000281,341,Pioneer EnergySubmeterZone 281,1,1,2026-08-24T00:00:00.000
282,ESZ000282,127,Forge EnergySubmeterZone 282,1,1,2026-08-24T00:00:00.000
283,ESZ000283,7,Forge EnergySubmeterZone 283,1,1,2026-08-24T00:00:00.000
284,ESZ000284,54,Liberty EnergySubmeterZone 284,1,1,2026-08-24T00:00:00.000
285,ESZ000285,255,Pioneer EnergySubmeterZone 285,1,1,2026-08-24T00:00:00.000
286,ESZ000286,465,Northstar EnergySubmeterZone 286,1,1,2026-08-24T00:00:00.000
287,ESZ000287,73,Evergreen EnergySubmeterZone 287,1,1,2026-08-24T00:00:00.000
288,ESZ000288,50,Northstar EnergySubmeterZone 288,1,1,2026-08-24T00:00:00.000
289,ESZ000289,181,Northstar EnergySubmeterZone 289,1,1,2026-08-24T00:00:00.000
290,ESZ000290,112,Keystone EnergySubmeterZone 290,1,1,2026-08-24T00:00:00.000
291,ESZ000291,156,Ion EnergySubmeterZone 291,1,1,2026-08-24T00:00:00.000
292,ESZ000292,366,Keystone EnergySubmeterZone 292,1,1,2026-08-24T00:00:00.000
293,ESZ000293,237,Zenith EnergySubmeterZone 293,1,1,2026-08-24T00:00:00.000
294,ESZ000294,177,Forge EnergySubmeterZone 294,1,1,2026-08-24T00:00:00.000
295,ESZ000295,83,Titan EnergySubmeterZone 295,1,1,2026-08-24T00:00:00.000
