EnergyEfficiencyMeasureKey,EnergyEfficiencyMeasureCode,EnergyProjectTypeKey,EnergyEfficiencyMeasureName,ExpectedUsefulLifeYears,SourceSystemKey,BatchId,LoadedAtUtc
42,EEM000042,410,Vertex EnergyEfficiencyMeasure 42,2022,1,1,2026-08-24T00:00:00.000
43,EEM000043,211,Ion EnergyEfficiencyMeasure 43,2023,1,1,2026-08-24T00:00:00.000
44,EEM000044,363,Unity EnergyEfficiencyMeasure 44,2024,1,1,2026-08-24T00:00:00.000
45,EEM000045,45,Pioneer EnergyEfficiencyMeasure 45,2025,1,1,2026-08-24T00:00:00.000
46,EEM000046,159,Junction EnergyEfficiencyMeasure 46,2026,1,1,2026-08-24T00:00:00.000
47,EEM000047,375,Liberty EnergyEfficiencyMeasure 47,2027,1,1,2026-08-24T00:00:00.000
48,EEM000048,133,Cedar EnergyEfficiencyMeasure 48,2028,1,1,2026-08-24T00:00:00.000
49,EEM000049,286,Granite EnergyEfficiencyMeasure 49,2029,1,1,2026-08-24T00:00:00.000
50,EEM000050,370,Ion EnergyEfficiencyMeasure 50,2020,1,1,2026-08-24T00:00:00.000
51,EEM000051,408,Beacon EnergyEfficiencyMeasure 51,2021,1,1,2026-08-24T00:00:00.000
52,EEM000052,8,Forge EnergyEfficiencyMeasure 52,2022,1,1,2026-08-24T00:00:00.000
53,EEM000053,167,Northstar EnergyEfficiencyMeasure 53,2023,1,1,2026-08-24T00:00:00.000
54,EEM000054,399,Titan EnergyEfficiencyMeasure 54,2024,1,1,2026-08-24T00:00:00.000
55,EEM000055,262,Quartz EnergyEfficiencyMeasure 55,2025,1,1,2026-08-24T00:00:00.000
56,EEM000056,141,Vertex EnergyEfficiencyMeasure 56,2026,1,1,2026-08-24T00:00:00.000
57,EEM000057,240,Willow EnergyEfficiencyMeasure 57,2027,1,1,2026-08-24T00:00:00.000
58,EEM000058,253,Meridian EnergyEfficiencyMeasure 58,2028,1,1,2026-08-24T00:00:00.000
59,EEM000059,293,Titan EnergyEfficiencyMeasure 59,2029,1,1,2026-08-24T00:00:00.000
60,EEM000060,244,Harbor EnergyEfficiencyMeasure 60,2020,1,1,2026-08-24T00:00:00.000
61,EEM000061,92,Harbor EnergyEfficiencyMeasure 61,2021,1,1,2026-08-24T00:00:00.000
62,EEM000062,66,Beacon EnergyEfficiencyMeasure 62,2022,1,1,2026-08-24T00:00:00.000
63,EEM000063,358,Vertex EnergyEfficiencyMeasure 63,2023,1,1,2026-08-24T00:00:00.000
64,EEM000064,122,Atlas EnergyEfficiencyMeasure 64,2024,1,1,2026-08-24T00:00:00.000
65,EEM000065,388,Pioneer EnergyEfficiencyMeasure 65,2025,1,1,2026-08-24T00:00:00.000
66,EEM000066,200,Summit EnergyEfficiencyMeasure 66,2026,1,1,2026-08-24T00:00:00.000
67,EEM000067,57,Junction EnergyEfficiencyMeasure 67,2027,1,1,2026-08-24T00:00:00.000
68,EEM000068,95,Harbor EnergyEfficiencyMeasure 68,2028,1,1,2026-08-24T00:00:00.000
69,EEM000069,286,Evergreen EnergyEfficiencyMeasure 69,2029,1,1,2026-08-24T00:00:00.000
70,EEM000070,419,Ion EnergyEfficiencyMeasure 70,2020,1,1,2026-08-24T00:00:00.000
71,EEM000071,419,Quartz EnergyEfficiencyMeasure 71,2021,1,1,2026-08-24T00:00:00.000
72,EEM000072,111,Beacon EnergyEfficiencyMeasure 72,2022,1,1,2026-08-24T00:00:00.000
73,EEM000073,163,Orion EnergyEfficiencyMeasure 73,2023,1,1,2026-08-24T00:00:00.000
74,EEM000074,167,Vertex EnergyEfficiencyMeasure 74,2024,1,1,2026-08-24T00:00:00.000
75,EEM000075,362,Cedar EnergyEfficiencyMeasure 75,2025,1,1,2026-08-24T00:00:00.000
76,EEM000076,44,Beacon EnergyEfficiencyMeasure 76,2026,1,1,2026-08-24T00:00:00.000
77,EEM000077,283,Keystone EnergyEfficiencyMeasure 77,2027,1,1,2026-08-24T00:00:00.000
78,EEM000078,153,Zenith EnergyEfficiencyMeasure 78,2028,1,1,2026-08-24T00:00:00.000
79,EEM000079,322,Summit EnergyEfficiencyMeasure 79,2029,1,1,2026-08-24T00:00:00.000
80,EEM000080,172,Zenith EnergyEfficiencyMeasure 80,2020,1,1,2026-08-24T00:00:00.000
81,EEM000081,233,Willow EnergyEfficiencyMeasure 81,2021,1,1,2026-08-24T00:00:00.000
82,EEM000082,131,Liberty EnergyEfficiencyMeasure 82,2022,1,1,2026-08-24T00:00:00.000
83,EEM000083,47,Atlas EnergyEfficiencyMeasure 83,2023,1,1,2026-08-24T00:00:00.000
84,EEM000084,67,Liberty EnergyEfficiencyMeasure 84,2024,1,1,2026-08-24T00:00:00.000
85,EEM000085,236,Willow EnergyEfficiencyMeasure 85,2025,1,1,2026-08-24T00:00:00.000
86,EEM000086,281,Keystone EnergyEfficiencyMeasure 86,2026,1,1,2026-08-24T00:00:00.000
87,EEM000087,220,Northstar EnergyEfficiencyMeasure 87,2027,1,1,2026-08-24T00:00:00.000
88,EEM000088,304,Delta EnergyEfficiencyMeasure 88,2028,1,1,2026-08-24T00:00:00.000
89,EEM000089,121,Unity EnergyEfficiencyMeasure 89,2029,1,1,2026-08-24T00:00:00.000
90,EEM000090,343,Meridian EnergyEfficiencyMeasure 90,2020,1,1,2026-08-24T00:00:00.000
91,EEM000091,218,Summit EnergyEfficiencyMeasure 91,2021,1,1,2026-08-24T00:00:00.000
92,EEM000092,263,Willow EnergyEfficiencyMeasure 92,2022,1,1,2026-08-24T00:00:00.000
93,EEM000093,123,Willow EnergyEfficiencyMeasure 93,2023,1,1,2026-08-24T00:00:00.000
94,EEM000094,246,Quartz EnergyEfficiencyMeasure 94,2024,1,1,2026-08-24T00:00:00.000
95,EEM000095,222,Cedar EnergyEfficiencyMeasure 95,2025,1,1,2026-08-24T00:00:00.000
96,EEM000096,233,Willow EnergyEfficiencyMeasure 96,2026,1,1,2026-08-24T00:00:00.000
97,EEM000097,96,Northstar EnergyEfficiencyMeasure 97,2027,1,1,2026-08-24T00:00:00.000
98,EEM000098,58,Titan EnergyEfficiencyMeasure 98,2028,1,1,2026-08-24T00:00:00.000
99,EEM000099,21,Liberty EnergyEfficiencyMeasure 99,2029,1,1,2026-08-24T00:00:00.000
100,EEM000100,311,Ion EnergyEfficiencyMeasure 100,2020,1,1,2026-08-24T00:00:00.000
101,EEM000101,197,Cedar EnergyEfficiencyMeasure 101,2021,1,1,2026-08-24T00:00:00.000
102,EEM000102,315,Willow EnergyEfficiencyMeasure 102,2022,1,1,2026-08-24T00:00:00.000
103,EEM000103,176,Riverton EnergyEfficiencyMeasure 103,2023,1,1,2026-08-24T00:00:00.000
104,EEM000104,257,Liberty EnergyEfficiencyMeasure 104,2024,1,1,2026-08-24T00:00:00.000
105,EEM000105,359,Orion EnergyEfficiencyMeasure 105,2025,1,1,2026-08-24T00:00:00.000
106,EEM000106,296,Ion EnergyEfficiencyMeasure 106,2026,1,1,2026-08-24T00:00:00.000
107,EEM000107,206,Keystone EnergyEfficiencyMeasure 107,2027,1,1,2026-08-24T00:00:00.000
108,EEM000108,373,Willow EnergyEfficiencyMeasure 108,2028,1,1,2026-08-24T00:00:00.000
109,EEM000109,339,Liberty EnergyEfficiencyMeasure 109,2029,1,1,2026-08-24T00:00:00.000
110,EEM000110,196,Cedar EnergyEfficiencyMeasure 110,2020,1,1,2026-08-24T00:00:00.000
111,EEM000111,345,Evergreen EnergyEfficiencyMeasure 111,2021,1,1,2026-08-24T00:00:00.000
112,EEM000112,132,Forge EnergyEfficiencyMeasure 112,2022,1,1,2026-08-24T00:00:00.000
113,EEM000113,273,Pioneer EnergyEfficiencyMeasure 113,2023,1,1,2026-08-24T00:00:00.000
114,EEM000114,334,Quartz EnergyEfficiencyMeasure 114,2024,1,1,2026-08-24T00:00:00.000
115,EEM000115,229,Forge EnergyEfficiencyMeasure 115,2025,1,1,2026-08-24T00:00:00.000
116,EEM000116,133,Atlas EnergyEfficiencyMeasure 116,2026,1,1,2026-08-24T00:00:00.000
117,EEM000117,133,Junction EnergyEfficiencyMeasure 117,2027,1,1,2026-08-24T00:00:00.000
118,EEM000118,298,Atlas EnergyEfficiencyMeasure 118,2028,1,1,2026-08-24T00:00:00.000
119,EEM000119,29,Atlas EnergyEfficiencyMeasure 119,2029,1,1,2026-08-24T00:00:00.000
120,EEM000120,382,Junction EnergyEfficiencyMeasure 120,2020,1,1,2026-08-24T00:00:00.000
121,EEM000121,327,Meridian EnergyEfficiencyMeasure 121,2021,1,1,2026-08-24T00:00:00.000
122,EEM000122,169,Titan EnergyEfficiencyMeasure 122,2022,1,1,2026-08-24T00:00:00.000
123,EEM000123,85,Titan EnergyEfficiencyMeasure 123,2023,1,1,2026-08-24T00:00:00.000
124,EEM000124,197,Titan EnergyEfficiencyMeasure 124,2024,1,1,2026-08-24T00:00:00.000
125,EEM000125,157,Evergreen EnergyEfficiencyMeasure 125,2025,1,1,2026-08-24T00:00:00.000
126,EEM000126,224,Pioneer EnergyEfficiencyMeasure 126,2026,1,1,2026-08-24T00:00:00.000
127,EEM000127,404,Cedar EnergyEfficiencyMeasure 127,2027,1,1,2026-08-24T00:00:00.000
128,EEM000128,242,Cedar EnergyEfficiencyMeasure 128,2028,1,1,2026-08-24T00:00:00.000
129,EEM000129,42,Forge EnergyEfficiencyMeasure 129,2029,1,1,2026-08-24T00:00:00.000
130,EEM000130,218,Quartz EnergyEfficiencyMeasure 130,2020,1,1,2026-08-24T00:00:00.000
131,EEM000131,341,Atlas EnergyEfficiencyMeasure 131,2021,1,1,2026-08-24T00:00:00.000
132,EEM000132,146,Harbor EnergyEfficiencyMeasure 132,2022,1,1,2026-08-24T00:00:00.000
133,EEM000133,37,Meridian EnergyEfficiencyMeasure 133,2023,1,1,2026-08-24T00:00:00.000
134,EEM000134,237,Zenith EnergyEfficiencyMeasure 134,2024,1,1,2026-08-24T00:00:00.000
135,EEM000135,115,Zenith EnergyEfficiencyMeasure 135,2025,1,1,2026-08-24T00:00:00.000
136,EEM000136,254,Summit EnergyEfficiencyMeasure 136,2026,1,1,2026-08-24T00:00:00.000
137,EEM000137,46,Cedar EnergyEfficiencyMeasure 137,2027,1,1,2026-08-24T00:00:00.000
138,EEM000138,350,Beacon EnergyEfficiencyMeasure 138,2028,1,1,2026-08-24T00:00:00.000
139,EEM000139,40,Willow EnergyEfficiencyMeasure 139,2029,1,1,2026-08-24T00:00:00.000
140,EEM000140,160,Delta EnergyEfficiencyMeasure 140,2020,1,1,2026-08-24T00:00:00.000
141,EEM000141,122,Willow EnergyEfficiencyMeasure 141,2021,1,1,2026-08-24T00:00:00.000
142,EEM000142,34,Zenith EnergyEfficiencyMeasure 142,2022,1,1,2026-08-24T00:00:00.000
143,EEM000143,65,Meridian EnergyEfficiencyMeasure 143,2023,1,1,2026-08-24T00:00:00.000
144,EEM000144,182,Northstar EnergyEfficiencyMeasure 144,2024,1,1,2026-08-24T00:00:00.000
145,EEM000145,141,Vertex EnergyEfficiencyMeasure 145,2025,1,1,2026-08-24T00:00:00.000
146,EEM000146,335,Atlas EnergyEfficiencyMeasure 146,2026,1,1,2026-08-24T00:00:00.000
147,EEM000147,9,Atlas EnergyEfficiencyMeasure 147,2027,1,1,2026-08-24T00:00:00.000
148,EEM000148,141,Atlas EnergyEfficiencyMeasure 148,2028,1,1,2026-08-24T00:00:00.000
149,EEM000149,398,Ion EnergyEfficiencyMeasure 149,2029,1,1,2026-08-24T00:00:00.000
150,EEM000150,280,Pioneer EnergyEfficiencyMeasure 150,2020,1,1,2026-08-24T00:00:00.000
151,EEM000151,86,Delta EnergyEfficiencyMeasure 151,2021,1,1,2026-08-24T00:00:00.000
152,EEM000152,281,Forge EnergyEfficiencyMeasure 152,2022,1,1,2026-08-24T00:00:00.000
153,EEM000153,115,Atlas EnergyEfficiencyMeasure 153,2023,1,1,2026-08-24T00:00:00.000
154,EEM000154,172,Delta EnergyEfficiencyMeasure 154,2024,1,1,2026-08-24T00:00:00.000
155,EEM000155,10,Titan EnergyEfficiencyMeasure 155,2025,1,1,2026-08-24T00:00:00.000
156,EEM000156,71,Vertex EnergyEfficiencyMeasure 156,2026,1,1,2026-08-24T00:00:00.000
157,EEM000157,141,Atlas EnergyEfficiencyMeasure 157,2027,1,1,2026-08-24T00:00:00.000
158,EEM000158,137,Riverton EnergyEfficiencyMeasure 158,2028,1,1,2026-08-24T00:00:00.000
159,EEM000159,85,Vertex EnergyEfficiencyMeasure 159,2029,1,1,2026-08-24T00:00:00.000
160,EEM000160,166,Harbor EnergyEfficiencyMeasure 160,2020,1,1,2026-08-24T00:00:00.000
161,EEM000161,368,Northstar EnergyEfficiencyMeasure 161,2021,1,1,2026-08-24T00:00:00.000
162,EEM000162,1,Orion EnergyEfficiencyMeasure 162,2022,1,1,2026-08-24T00:00:00.000
163,EEM000163,91,Liberty EnergyEfficiencyMeasure 163,2023,1,1,2026-08-24T00:00:00.000
164,EEM000164,271,Northstar EnergyEfficiencyMeasure 164,2024,1,1,2026-08-24T00:00:00.000
165,EEM000165,16,Willow EnergyEfficiencyMeasure 165,2025,1,1,2026-08-24T00:00:00.000
166,EEM000166,340,Cedar EnergyEfficiencyMeasure 166,2026,1,1,2026-08-24T00:00:00.000
167,EEM000167,5,Keystone EnergyEfficiencyMeasure 167,2027,1,1,2026-08-24T00:00:00.000
168,EEM000168,86,Summit EnergyEfficiencyMeasure 168,2028,1,1,2026-08-24T00:00:00.000
169,EEM000169,132,Forge EnergyEfficiencyMeasure 169,2029,1,1,2026-08-24T00:00:00.000
170,EEM000170,156,Cedar EnergyEfficiencyMeasure 170,2020,1,1,2026-08-24T00:00:00.000
171,EEM000171,418,Zenith EnergyEfficiencyMeasure 171,2021,1,1,2026-08-24T00:00:00.000
172,EEM000172,58,Zenith EnergyEfficiencyMeasure 172,2022,1,1,2026-08-24T00:00:00.000
173,EEM000173,169,Liberty EnergyEfficiencyMeasure 173,2023,1,1,2026-08-24T00:00:00.000
174,EEM000174,46,Titan EnergyEfficiencyMeasure 174,2024,1,1,2026-08-24T00:00:00.000
175,EEM000175,201,Pioneer EnergyEfficiencyMeasure 175,2025,1,1,2026-08-24T00:00:00.000
176,EEM000176,381,Ion EnergyEfficiencyMeasure 176,2026,1,1,2026-08-24T00:00:00.000
177,EEM000177,188,Riverton EnergyEfficiencyMeasure 177,2027,1,1,2026-08-24T00:00:00.000
178,EEM000178,64,Riverton EnergyEfficiencyMeasure 178,2028,1,1,2026-08-24T00:00:00.000
179,EEM000179,125,Willow EnergyEfficiencyMeasure 179,2029,1,1,2026-08-24T00:00:00.000
180,EEM000180,337,Pioneer EnergyEfficiencyMeasure 180,2020,1,1,2026-08-24T00:00:00.000
181,EEM000181,259,Ion EnergyEfficiencyMeasure 181,2021,1,1,2026-08-24T00:00:00.000
182,EEM000182,172,Evergreen EnergyEfficiencyMeasure 182,2022,1,1,2026-08-24T00:00:00.000
183,EEM000183,283,Beacon EnergyEfficiencyMeasure 183,2023,1,1,2026-08-24T00:00:00.000
184,EEM000184,66,Pioneer EnergyEfficiencyMeasure 184,2024,1,1,2026-08-24T00:00:00.000
185,EEM000185,95,Meridian EnergyEfficiencyMeasure 185,2025,1,1,2026-08-24T00:00:00.000
186,EEM000186,63,Liberty EnergyEfficiencyMeasure 186,2026,1,1,2026-08-24T00:00:00.000
187,EEM000187,297,Meridian EnergyEfficiencyMeasure 187,2027,1,1,2026-08-24T00:00:00.000
188,EEM000188,370,Meridian EnergyEfficiencyMeasure 188,2028,1,1,2026-08-24T00:00:00.000
189,EEM000189,111,Atlas EnergyEfficiencyMeasure 189,2029,1,1,2026-08-24T00:00:00.000
190,EEM000190,376,Granite EnergyEfficiencyMeasure 190,2020,1,1,2026-08-24T00:00:00.000
191,EEM000191,36,Evergreen EnergyEfficiencyMeasure 191,2021,1,1,2026-08-24T00:00:00.000
192,EEM000192,328,Riverton EnergyEfficiencyMeasure 192,2022,1,1,2026-08-24T00:00:00.000
193,EEM000193,226,Pioneer EnergyEfficiencyMeasure 193,2023,1,1,2026-08-24T00:00:00.000
194,EEM000194,84,Junction EnergyEfficiencyMeasure 194,2024,1,1,2026-08-24T00:00:00.000
195,EEM000195,185,Willow EnergyEfficiencyMeasure 195,2025,1,1,2026-08-24T00:00:00.000
196,EEM000196,311,Cedar EnergyEfficiencyMeasure 196,2026,1,1,2026-08-24T00:00:00.000
197,EEM000197,135,Vertex EnergyEfficiencyMeasure 197,2027,1,1,2026-08-24T00:00:00.000
198,EEM000198,141,Granite EnergyEfficiencyMeasure 198,2028,1,1,2026-08-24T00:00:00.000
199,EEM000199,43,Evergreen EnergyEfficiencyMeasure 199,2029,1,1,2026-08-24T00:00:00.000
200,EEM000200,166,Meridian EnergyEfficiencyMeasure 200,2020,1,1,2026-08-24T00:00:00.000
201,EEM000201,135,Beacon EnergyEfficiencyMeasure 201,2021,1,1,2026-08-24T00:00:00.000
202,EEM000202,270,Beacon EnergyEfficiencyMeasure 202,2022,1,1,2026-08-24T00:00:00.000
203,EEM000203,6,Cedar EnergyEfficiencyMeasure 203,2023,1,1,2026-08-24T00:00:00.000
204,EEM000204,167,Riverton EnergyEfficiencyMeasure 204,2024,1,1,2026-08-24T00:00:00.000
205,EEM000205,365,Atlas EnergyEfficiencyMeasure 205,2025,1,1,2026-08-24T00:00:00.000
206,EEM000206,98,Liberty EnergyEfficiencyMeasure 206,2026,1,1,2026-08-24T00:00:00.000
207,EEM000207,301,Forge EnergyEfficiencyMeasure 207,2027,1,1,2026-08-24T00:00:00.000
208,EEM000208,145,Beacon EnergyEfficiencyMeasure 208,2028,1,1,2026-08-24T00:00:00.000
209,EEM000209,124,Junction EnergyEfficiencyMeasure 209,2029,1,1,2026-08-24T00:00:00.000
210,EEM000210,267,Vertex EnergyEfficiencyMeasure 210,2020,1,1,2026-08-24T00:00:00.000
211,EEM000211,374,Zenith EnergyEfficiencyMeasure 211,2021,1,1,2026-08-24T00:00:00.000
212,EEM000212,398,Summit EnergyEfficiencyMeasure 212,2022,1,1,2026-08-24T00:00:00.000
213,EEM000213,239,Evergreen EnergyEfficiencyMeasure 213,2023,1,1,2026-08-24T00:00:00.000
214,EEM000214,30,Delta EnergyEfficiencyMeasure 214,2024,1,1,2026-08-24T00:00:00.000
215,EEM000215,97,Keystone EnergyEfficiencyMeasure 215,2025,1,1,2026-08-24T00:00:00.000
216,EEM000216,248,Orion EnergyEfficiencyMeasure 216,2026,1,1,2026-08-24T00:00:00.000
217,EEM000217,209,Ion EnergyEfficiencyMeasure 217,2027,1,1,2026-08-24T00:00:00.000
218,EEM000218,344,Meridian EnergyEfficiencyMeasure 218,2028,1,1,2026-08-24T00:00:00.000
219,EEM000219,87,Cedar EnergyEfficiencyMeasure 219,2029,1,1,2026-08-24T00:00:00.000
220,EEM000220,347,Vertex EnergyEfficiencyMeasure 220,2020,1,1,2026-08-24T00:00:00.000
221,EEM000221,14,Meridian EnergyEfficiencyMeasure 221,2021,1,1,2026-08-24T00:00:00.000
222,EEM000222,393,Beacon EnergyEfficiencyMeasure 222,2022,1,1,2026-08-24T00:00:00.000
223,EEM000223,47,Junction EnergyEfficiencyMeasure 223,2023,1,1,2026-08-24T00:00:00.000
224,EEM000224,37,Riverton EnergyEfficiencyMeasure 224,2024,1,1,2026-08-24T00:00:00.000
225,EEM000225,290,Harbor EnergyEfficiencyMeasure 225,2025,1,1,2026-08-24T00:00:00.000
226,EEM000226,4,Willow EnergyEfficiencyMeasure 226,2026,1,1,2026-08-24T00:00:00.000
227,EEM000227,248,Keystone EnergyEfficiencyMeasure 227,2027,1,1,2026-08-24T00:00:00.000
228,EEM000228,81,Beacon EnergyEfficiencyMeasure 228,2028,1,1,2026-08-24T00:00:00.000
229,EEM000229,230,Quartz EnergyEfficiencyMeasure 229,2029,1,1,2026-08-24T00:00:00.000
230,EEM000230,126,Forge EnergyEfficiencyMeasure 230,2020,1,1,2026-08-24T00:00:00.000
231,EEM000231,303,Junction EnergyEfficiencyMeasure 231,2021,1,1,2026-08-24T00:00:00.000
232,EEM000232,240,Junction EnergyEfficiencyMeasure 232,2022,1,1,2026-08-24T00:00:00.000
233,EEM000233,234,Summit EnergyEfficiencyMeasure 233,2023,1,1,2026-08-24T00:00:00.000
234,EEM000234,267,Vertex EnergyEfficiencyMeasure 234,2024,1,1,2026-08-24T00:00:00.000
235,EEM000235,252,Beacon EnergyEfficiencyMeasure 235,2025,1,1,2026-08-24T00:00:00.000
236,EEM000236,132,Forge EnergyEfficiencyMeasure 236,2026,1,1,2026-08-24T00:00:00.000
237,EEM000237,371,Liberty EnergyEfficiencyMeasure 237,2027,1,1,2026-08-24T00:00:00.000
238,EEM000238,188,Beacon EnergyEfficiencyMeasure 238,2028,1,1,2026-08-24T00:00:00.000
239,EEM000239,371,Granite EnergyEfficiencyMeasure 239,2029,1,1,2026-08-24T00:00:00.000
240,EEM000240,215,Meridian EnergyEfficiencyMeasure 240,2020,1,1,2026-08-24T00:00:00.000
241,EEM000241,298,Vertex EnergyEfficiencyMeasure 241,2021,1,1,2026-08-24T00:00:00.000
242,EEM000242,95,Delta EnergyEfficiencyMeasure 242,2022,1,1,2026-08-24T00:00:00.000
243,EEM000243,111,Evergreen EnergyEfficiencyMeasure 243,2023,1,1,2026-08-24T00:00:00.000
244,EEM000244,71,Zenith EnergyEfficiencyMeasure 244,2024,1,1,2026-08-24T00:00:00.000
245,EEM000245,419,Cedar EnergyEfficiencyMeasure 245,2025,1,1,2026-08-24T00:00:00.000
246,EEM000246,283,Junction EnergyEfficiencyMeasure 246,2026,1,1,2026-08-24T00:00:00.000
247,EEM000247,50,Evergreen EnergyEfficiencyMeasure 247,2027,1,1,2026-08-24T00:00:00.000
248,EEM000248,112,Zenith EnergyEfficiencyMeasure 248,2028,1,1,2026-08-24T00:00:00.000
249,EEM000249,390,Atlas EnergyEfficiencyMeasure 249,2029,1,1,2026-08-24T00:00:00.000
250,EEM000250,146,Granite EnergyEfficiencyMeasure 250,2020,1,1,2026-08-24T00:00:00.000
251,EEM000251,105,Liberty EnergyEfficiencyMeasure 251,2021,1,1,2026-08-24T00:00:00.000
252,EEM000252,203,Titan EnergyEfficiencyMeasure 252,2022,1,1,2026-08-24T00:00:00.000
253,EEM000253,55,Granite EnergyEfficiencyMeasure 253,2023,1,1,2026-08-24T00:00:00.000
254,EEM000254,321,Delta EnergyEfficiencyMeasure 254,2024,1,1,2026-08-24T00:00:00.000
255,EEM000255,399,Summit EnergyEfficiencyMeasure 255,2025,1,1,2026-08-24T00:00:00.000
256,EEM000256,183,Keystone EnergyEfficiencyMeasure 256,2026,1,1,2026-08-24T00:00:00.000
257,EEM000257,17,Riverton EnergyEfficiencyMeasure 257,2027,1,1,2026-08-24T00:00:00.000
258,EEM000258,252,Ion EnergyEfficiencyMeasure 258,2028,1,1,2026-08-24T00:00:00.000
259,EEM000259,105,Titan EnergyEfficiencyMeasure 259,2029,1,1,2026-08-24T00:00:00.000
260,EEM000260,198,Keystone EnergyEfficiencyMeasure 260,2020,1,1,2026-08-24T00:00:00.000
261,EEM000261,138,Vertex EnergyEfficiencyMeasure 261,2021,1,1,2026-08-24T00:00:00.000
