PlantCampusKey,CampusCode,GeoCityKey,RecordStatusKey,CampusName,CampusDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
22,PC000022,471,3,Atlas PlantCampus 22,PlantCampus starter record 22,Riley Evans,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,PC000023,493,1,Ion PlantCampus 23,PlantCampus starter record 23,Harper Reed,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,PC000024,424,3,Zenith PlantCampus 24,PlantCampus starter record 24,Alex Patel,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,PC000025,209,2,Unity PlantCampus 25,PlantCampus starter record 25,Jordan Diaz,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,PC000026,159,1,Quartz PlantCampus 26,PlantCampus starter record 26,Taylor Chen,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,PC000027,200,2,Vertex PlantCampus 27,PlantCampus starter record 27,Harper Reed,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,PC000028,282,4,Vertex PlantCampus 28,PlantCampus starter record 28,Taylor Hughes,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,PC000029,18,3,Orion PlantCampus 29,PlantCampus starter record 29,Morgan Evans,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,PC000030,11,1,Willow PlantCampus 30,PlantCampus starter record 30,Alex Garcia,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,PC000031,450,2,Vertex PlantCampus 31,PlantCampus starter record 31,Finley Garcia,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,PC000032,129,2,Granite PlantCampus 32,PlantCampus starter record 32,Emerson Garcia,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,PC000033,12,4,Summit PlantCampus 33,PlantCampus starter record 33,Taylor Bennett,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,PC000034,202,2,Quartz PlantCampus 34,PlantCampus starter record 34,Harper Singh,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,PC000035,54,2,Forge PlantCampus 35,PlantCampus starter record 35,Devon Evans,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,PC000036,273,4,Northstar PlantCampus 36,PlantCampus starter record 36,Finley Diaz,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,PC000037,69,3,Orion PlantCampus 37,PlantCampus starter record 37,Alex Diaz,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,PC000038,19,4,Unity PlantCampus 38,PlantCampus starter record 38,Emerson Evans,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,PC000039,83,2,Riverton PlantCampus 39,PlantCampus starter record 39,Blair Patel,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,PC000040,284,3,Summit PlantCampus 40,PlantCampus starter record 40,Quinn Adams,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,PC000041,419,3,Pioneer PlantCampus 41,PlantCampus starter record 41,Riley Adams,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,PC000042,440,4,Unity PlantCampus 42,PlantCampus starter record 42,Devon Evans,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,PC000043,380,2,Delta PlantCampus 43,PlantCampus starter record 43,Taylor Singh,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,PC000044,33,1,Harbor PlantCampus 44,PlantCampus starter record 44,Blair Garcia,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,PC000045,284,1,Quartz PlantCampus 45,PlantCampus starter record 45,Blair Singh,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
46,PC000046,28,2,Quartz PlantCampus 46,PlantCampus starter record 46,Riley Singh,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
47,PC000047,149,4,Northstar PlantCampus 47,PlantCampus starter record 47,Emerson Adams,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,PC000048,438,1,Northstar PlantCampus 48,PlantCampus starter record 48,Morgan Adams,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,PC000049,47,4,Quartz PlantCampus 49,PlantCampus starter record 49,Finley Diaz,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,PC000050,317,4,Quartz PlantCampus 50,PlantCampus starter record 50,Alex Garcia,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,PC000051,414,4,Liberty PlantCampus 51,PlantCampus starter record 51,Riley Patel,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,PC000052,386,3,Forge PlantCampus 52,PlantCampus starter record 52,Casey Reed,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
53,PC000053,38,3,Summit PlantCampus 53,PlantCampus starter record 53,Taylor Singh,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,PC000054,20,3,Summit PlantCampus 54,PlantCampus starter record 54,Casey Khan,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,PC000055,256,4,Keystone PlantCampus 55,PlantCampus starter record 55,Riley Bennett,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,PC000056,83,2,Riverton PlantCampus 56,PlantCampus starter record 56,Riley Diaz,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,PC000057,167,1,Harbor PlantCampus 57,PlantCampus starter record 57,Devon Diaz,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,PC000058,229,2,Unity PlantCampus 58,PlantCampus starter record 58,Emerson Khan,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,PC000059,398,1,Meridian PlantCampus 59,PlantCampus starter record 59,Riley Patel,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,PC000060,400,1,Northstar PlantCampus 60,PlantCampus starter record 60,Morgan Garcia,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
61,PC000061,407,3,Junction PlantCampus 61,PlantCampus starter record 61,Casey Chen,2020-03-02,2021-03-02,1,1,1,2026-08-24T00:00:00.000
62,PC000062,495,1,Ion PlantCampus 62,PlantCampus starter record 62,Morgan Garcia,2020-03-03,2021-03-03,1,1,1,2026-08-24T00:00:00.000
63,PC000063,265,1,Ion PlantCampus 63,PlantCampus starter record 63,Harper Patel,2020-03-04,2021-03-04,1,1,1,2026-08-24T00:00:00.000
64,PC000064,66,2,Summit PlantCampus 64,PlantCampus starter record 64,Jordan Patel,2020-03-05,2021-03-05,1,1,1,2026-08-24T00:00:00.000
65,PC000065,497,3,Delta PlantCampus 65,PlantCampus starter record 65,Casey Garcia,2020-03-06,2021-03-06,0,1,1,2026-08-24T00:00:00.000
66,PC000066,243,3,Pioneer PlantCampus 66,PlantCampus starter record 66,Alex Hughes,2020-03-07,2021-03-07,1,1,1,2026-08-24T00:00:00.000
67,PC000067,438,3,Junction PlantCampus 67,PlantCampus starter record 67,Harper Chen,2020-03-08,2021-03-08,1,1,1,2026-08-24T00:00:00.000
68,PC000068,248,4,Forge PlantCampus 68,PlantCampus starter record 68,Blair Adams,2020-03-09,2021-03-09,1,1,1,2026-08-24T00:00:00.000
69,PC000069,349,2,Liberty PlantCampus 69,PlantCampus starter record 69,Blair Evans,2020-03-10,2021-03-10,1,1,1,2026-08-24T00:00:00.000
70,PC000070,29,3,Meridian PlantCampus 70,PlantCampus starter record 70,Quinn Hughes,2020-03-11,2021-03-11,0,1,1,2026-08-24T00:00:00.000
71,PC000071,392,4,Harbor PlantCampus 71,PlantCampus starter record 71,Blair Bennett,2020-03-12,2021-03-12,1,1,1,2026-08-24T00:00:00.000
72,PC000072,375,2,Evergreen PlantCampus 72,PlantCampus starter record 72,Riley Adams,2020-03-13,2021-03-13,1,1,1,2026-08-24T00:00:00.000
73,PC000073,200,4,Willow PlantCampus 73,PlantCampus starter record 73,Jordan Singh,2020-03-14,2021-03-14,1,1,1,2026-08-24T00:00:00.000
74,PC000074,109,1,Unity PlantCampus 74,PlantCampus starter record 74,Alex Bennett,2020-03-15,2021-03-15,1,1,1,2026-08-24T00:00:00.000
75,PC000075,326,1,Northstar PlantCampus 75,PlantCampus starter record 75,Riley Khan,2020-03-16,2021-03-16,0,1,1,2026-08-24T00:00:00.000
76,PC000076,298,2,Evergreen PlantCampus 76,PlantCampus starter record 76,Devon Khan,2020-03-17,2021-03-17,1,1,1,2026-08-24T00:00:00.000
77,PC000077,217,4,Cedar PlantCampus 77,PlantCampus starter record 77,Casey Reed,2020-03-18,2021-03-18,1,1,1,2026-08-24T00:00:00.000
78,PC000078,6,2,Atlas PlantCampus 78,PlantCampus starter record 78,Finley Adams,2020-03-19,2021-03-19,1,1,1,2026-08-24T00:00:00.000
79,PC000079,201,2,Evergreen PlantCampus 79,PlantCampus starter record 79,Emerson Bennett,2020-03-20,2021-03-20,1,1,1,2026-08-24T00:00:00.000
80,PC000080,408,3,Forge PlantCampus 80,PlantCampus starter record 80,Casey Martin,2020-03-21,2021-03-21,0,1,1,2026-08-24T00:00:00.000
81,PC000081,281,1,Atlas PlantCampus 81,PlantCampus starter record 81,Finley Bennett,2020-03-22,2021-03-22,1,1,1,2026-08-24T00:00:00.000
82,PC000082,386,1,Atlas PlantCampus 82,PlantCampus starter record 82,Devon Bennett,2020-03-23,2021-03-23,1,1,1,2026-08-24T00:00:00.000
83,PC000083,196,4,Meridian PlantCampus 83,PlantCampus starter record 83,Devon Khan,2020-03-24,2021-03-24,1,1,1,2026-08-24T00:00:00.000
84,PC000084,100,1,Pioneer PlantCampus 84,PlantCampus starter record 84,Quinn Chen,2020-03-25,2021-03-25,1,1,1,2026-08-24T00:00:00.000
85,PC000085,154,1,Beacon PlantCampus 85,PlantCampus starter record 85,Taylor Garcia,2020-03-26,2021-03-26,0,1,1,2026-08-24T00:00:00.000
86,PC000086,188,2,Northstar PlantCampus 86,PlantCampus starter record 86,Casey Reed,2020-03-27,2021-03-27,1,1,1,2026-08-24T00:00:00.000
87,PC000087,34,1,Riverton PlantCampus 87,PlantCampus starter record 87,Blair Khan,2020-03-28,2021-03-28,1,1,1,2026-08-24T00:00:00.000
88,PC000088,120,4,Quartz PlantCampus 88,PlantCampus starter record 88,Jordan Patel,2020-03-29,2021-03-29,1,1,1,2026-08-24T00:00:00.000
89,PC000089,444,3,Liberty PlantCampus 89,PlantCampus starter record 89,Casey Bennett,2020-03-30,2021-03-30,1,1,1,2026-08-24T00:00:00.000
90,PC000090,429,2,Cedar PlantCampus 90,PlantCampus starter record 90,Devon Adams,2020-03-31,2021-03-31,0,1,1,2026-08-24T00:00:00.000
91,PC000091,93,2,Granite PlantCampus 91,PlantCampus starter record 91,Jordan Patel,2020-04-01,2021-04-01,1,1,1,2026-08-24T00:00:00.000
92,PC000092,21,1,Zenith PlantCampus 92,PlantCampus starter record 92,Alex Garcia,2020-04-02,2021-04-02,1,1,1,2026-08-24T00:00:00.000
93,PC000093,7,1,Unity PlantCampus 93,PlantCampus starter record 93,Morgan Khan,2020-04-03,2021-04-03,1,1,1,2026-08-24T00:00:00.000
94,PC000094,403,3,Liberty PlantCampus 94,PlantCampus starter record 94,Blair Bennett,2020-04-04,2021-04-04,1,1,1,2026-08-24T00:00:00.000
95,PC000095,190,4,Pioneer PlantCampus 95,PlantCampus starter record 95,Quinn Garcia,2020-04-05,2021-04-05,0,1,1,2026-08-24T00:00:00.000
96,PC000096,211,4,Beacon PlantCampus 96,PlantCampus starter record 96,Devon Martin,2020-04-06,2021-04-06,1,1,1,2026-08-24T00:00:00.000
97,PC000097,352,3,Harbor PlantCampus 97,PlantCampus starter record 97,Morgan Reed,2020-04-07,2021-04-07,1,1,1,2026-08-24T00:00:00.000
98,PC000098,203,3,Quartz PlantCampus 98,PlantCampus starter record 98,Emerson Adams,2020-04-08,2021-04-08,1,1,1,2026-08-24T00:00:00.000
99,PC000099,90,4,Meridian PlantCampus 99,PlantCampus starter record 99,Riley Evans,2020-04-09,2021-04-09,1,1,1,2026-08-24T00:00:00.000
100,PC000100,193,2,Harbor PlantCampus 100,PlantCampus starter record 100,Blair Bennett,2020-04-10,2021-04-10,0,1,1,2026-08-24T00:00:00.000
101,PC000101,117,4,Unity PlantCampus 101,PlantCampus starter record 101,Emerson Bennett,2020-04-11,2021-04-11,1,1,1,2026-08-24T00:00:00.000
102,PC000102,385,4,Keystone PlantCampus 102,PlantCampus starter record 102,Riley Bennett,2020-04-12,2021-04-12,1,1,1,2026-08-24T00:00:00.000
103,PC000103,476,3,Titan PlantCampus 103,PlantCampus starter record 103,Casey Martin,2020-04-13,2021-04-13,1,1,1,2026-08-24T00:00:00.000
104,PC000104,492,2,Granite PlantCampus 104,PlantCampus starter record 104,Devon Martin,2020-04-14,2021-04-14,1,1,1,2026-08-24T00:00:00.000
105,PC000105,87,2,Pioneer PlantCampus 105,PlantCampus starter record 105,Alex Khan,2020-04-15,2021-04-15,0,1,1,2026-08-24T00:00:00.000
106,PC000106,457,3,Harbor PlantCampus 106,PlantCampus starter record 106,Jordan Bennett,2020-04-16,2021-04-16,1,1,1,2026-08-24T00:00:00.000
107,PC000107,259,3,Vertex PlantCampus 107,PlantCampus starter record 107,Quinn Singh,2020-04-17,2021-04-17,1,1,1,2026-08-24T00:00:00.000
108,PC000108,203,4,Ion PlantCampus 108,PlantCampus starter record 108,Morgan Bennett,2020-04-18,2021-04-18,1,1,1,2026-08-24T00:00:00.000
109,PC000109,489,1,Northstar PlantCampus 109,PlantCampus starter record 109,Alex Chen,2020-04-19,2021-04-19,1,1,1,2026-08-24T00:00:00.000
110,PC000110,347,4,Summit PlantCampus 110,PlantCampus starter record 110,Quinn Martin,2020-04-20,2021-04-20,0,1,1,2026-08-24T00:00:00.000
111,PC000111,132,2,Keystone PlantCampus 111,PlantCampus starter record 111,Quinn Evans,2020-04-21,2021-04-21,1,1,1,2026-08-24T00:00:00.000
112,PC000112,422,4,Orion PlantCampus 112,PlantCampus starter record 112,Morgan Hughes,2020-04-22,2021-04-22,1,1,1,2026-08-24T00:00:00.000
113,PC000113,21,1,Titan PlantCampus 113,PlantCampus starter record 113,Devon Bennett,2020-04-23,2021-04-23,1,1,1,2026-08-24T00:00:00.000
114,PC000114,144,3,Liberty PlantCampus 114,PlantCampus starter record 114,Morgan Martin,2020-04-24,2021-04-24,1,1,1,2026-08-24T00:00:00.000
115,PC000115,130,3,Atlas PlantCampus 115,PlantCampus starter record 115,Harper Hughes,2020-04-25,2021-04-25,0,1,1,2026-08-24T00:00:00.000
116,PC000116,115,2,Keystone PlantCampus 116,PlantCampus starter record 116,Jordan Patel,2020-04-26,2021-04-26,1,1,1,2026-08-24T00:00:00.000
117,PC000117,198,2,Titan PlantCampus 117,PlantCampus starter record 117,Finley Evans,2020-04-27,2021-04-27,1,1,1,2026-08-24T00:00:00.000
118,PC000118,168,1,Junction PlantCampus 118,PlantCampus starter record 118,Taylor Hughes,2020-04-28,2021-04-28,1,1,1,2026-08-24T00:00:00.000
119,PC000119,428,2,Beacon PlantCampus 119,PlantCampus starter record 119,Jordan Patel,2020-04-29,2021-04-29,1,1,1,2026-08-24T00:00:00.000
120,PC000120,35,3,Willow PlantCampus 120,PlantCampus starter record 120,Blair Patel,2020-04-30,2021-04-30,0,1,1,2026-08-24T00:00:00.000
121,PC000121,257,4,Harbor PlantCampus 121,PlantCampus starter record 121,Alex Garcia,2020-05-01,2021-05-01,1,1,1,2026-08-24T00:00:00.000
122,PC000122,217,2,Cedar PlantCampus 122,PlantCampus starter record 122,Morgan Garcia,2020-05-02,2021-05-02,1,1,1,2026-08-24T00:00:00.000
123,PC000123,145,1,Quartz PlantCampus 123,PlantCampus starter record 123,Riley Hughes,2020-05-03,2021-05-03,1,1,1,2026-08-24T00:00:00.000
124,PC000124,182,4,Vertex PlantCampus 124,PlantCampus starter record 124,Finley Khan,2020-05-04,2021-05-04,1,1,1,2026-08-24T00:00:00.000
125,PC000125,339,2,Meridian PlantCampus 125,PlantCampus starter record 125,Riley Hughes,2020-05-05,2021-05-05,0,1,1,2026-08-24T00:00:00.000
126,PC000126,413,2,Ion PlantCampus 126,PlantCampus starter record 126,Casey Adams,2020-05-06,2021-05-06,1,1,1,2026-08-24T00:00:00.000
127,PC000127,473,1,Quartz PlantCampus 127,PlantCampus starter record 127,Morgan Patel,2020-05-07,2021-05-07,1,1,1,2026-08-24T00:00:00.000
128,PC000128,184,1,Junction PlantCampus 128,PlantCampus starter record 128,Alex Bennett,2020-05-08,2021-05-08,1,1,1,2026-08-24T00:00:00.000
129,PC000129,161,2,Keystone PlantCampus 129,PlantCampus starter record 129,Devon Patel,2020-05-09,2021-05-09,1,1,1,2026-08-24T00:00:00.000
130,PC000130,229,2,Summit PlantCampus 130,PlantCampus starter record 130,Casey Khan,2020-05-10,2021-05-10,0,1,1,2026-08-24T00:00:00.000
131,PC000131,403,3,Keystone PlantCampus 131,PlantCampus starter record 131,Casey Garcia,2020-05-11,2021-05-11,1,1,1,2026-08-24T00:00:00.000
132,PC000132,307,4,Unity PlantCampus 132,PlantCampus starter record 132,Emerson Chen,2020-05-12,2021-05-12,1,1,1,2026-08-24T00:00:00.000
133,PC000133,402,1,Granite PlantCampus 133,PlantCampus starter record 133,Devon Singh,2020-05-13,2021-05-13,1,1,1,2026-08-24T00:00:00.000
134,PC000134,4,1,Delta PlantCampus 134,PlantCampus starter record 134,Jordan Adams,2020-05-14,2021-05-14,1,1,1,2026-08-24T00:00:00.000
135,PC000135,375,1,Ion PlantCampus 135,PlantCampus starter record 135,Alex Adams,2020-05-15,2021-05-15,0,1,1,2026-08-24T00:00:00.000
136,PC000136,258,2,Liberty PlantCampus 136,PlantCampus starter record 136,Blair Garcia,2020-05-16,2021-05-16,1,1,1,2026-08-24T00:00:00.000
137,PC000137,315,2,Quartz PlantCampus 137,PlantCampus starter record 137,Riley Chen,2020-05-17,2021-05-17,1,1,1,2026-08-24T00:00:00.000
138,PC000138,97,2,Pioneer PlantCampus 138,PlantCampus starter record 138,Emerson Diaz,2020-05-18,2021-05-18,1,1,1,2026-08-24T00:00:00.000
139,PC000139,131,1,Summit PlantCampus 139,PlantCampus starter record 139,Devon Garcia,2020-05-19,2021-05-19,1,1,1,2026-08-24T00:00:00.000
140,PC000140,46,2,Delta PlantCampus 140,PlantCampus starter record 140,Jordan Garcia,2020-05-20,2021-05-20,0,1,1,2026-08-24T00:00:00.000
141,PC000141,336,3,Ion PlantCampus 141,PlantCampus starter record 141,Emerson Bennett,2020-05-21,2021-05-21,1,1,1,2026-08-24T00:00:00.000
142,PC000142,152,2,Evergreen PlantCampus 142,PlantCampus starter record 142,Finley Chen,2020-05-22,2021-05-22,1,1,1,2026-08-24T00:00:00.000
143,PC000143,423,1,Delta PlantCampus 143,PlantCampus starter record 143,Devon Hughes,2020-05-23,2021-05-23,1,1,1,2026-08-24T00:00:00.000
144,PC000144,475,3,Ion PlantCampus 144,PlantCampus starter record 144,Emerson Evans,2020-05-24,2021-05-24,1,1,1,2026-08-24T00:00:00.000
145,PC000145,266,1,Delta PlantCampus 145,PlantCampus starter record 145,Taylor Patel,2020-05-25,2021-05-25,0,1,1,2026-08-24T00:00:00.000
146,PC000146,178,4,Meridian PlantCampus 146,PlantCampus starter record 146,Harper Evans,2020-05-26,2021-05-26,1,1,1,2026-08-24T00:00:00.000
147,PC000147,16,1,Forge PlantCampus 147,PlantCampus starter record 147,Riley Chen,2020-05-27,2021-05-27,1,1,1,2026-08-24T00:00:00.000
148,PC000148,220,2,Titan PlantCampus 148,PlantCampus starter record 148,Alex Patel,2020-05-28,2021-05-28,1,1,1,2026-08-24T00:00:00.000
149,PC000149,486,2,Delta PlantCampus 149,PlantCampus starter record 149,Taylor Patel,2020-05-29,2021-05-29,1,1,1,2026-08-24T00:00:00.000
150,PC000150,393,3,Quartz PlantCampus 150,PlantCampus starter record 150,Blair Patel,2020-05-30,2021-05-30,0,1,1,2026-08-24T00:00:00.000
151,PC000151,301,2,Harbor PlantCampus 151,PlantCampus starter record 151,Blair Reed,2020-05-31,2021-05-31,1,1,1,2026-08-24T00:00:00.000
152,PC000152,442,2,Ion PlantCampus 152,PlantCampus starter record 152,Alex Diaz,2020-06-01,2021-06-01,1,1,1,2026-08-24T00:00:00.000
153,PC000153,191,3,Ion PlantCampus 153,PlantCampus starter record 153,Blair Hughes,2020-06-02,2021-06-02,1,1,1,2026-08-24T00:00:00.000
154,PC000154,97,3,Summit PlantCampus 154,PlantCampus starter record 154,Riley Evans,2020-06-03,2021-06-03,1,1,1,2026-08-24T00:00:00.000
155,PC000155,164,1,Titan PlantCampus 155,PlantCampus starter record 155,Morgan Patel,2020-06-04,2021-06-04,0,1,1,2026-08-24T00:00:00.000
156,PC000156,52,1,Granite PlantCampus 156,PlantCampus starter record 156,Alex Martin,2020-06-05,2021-06-05,1,1,1,2026-08-24T00:00:00.000
157,PC000157,15,3,Granite PlantCampus 157,PlantCampus starter record 157,Emerson Hughes,2020-06-06,2021-06-06,1,1,1,2026-08-24T00:00:00.000
158,PC000158,410,4,Evergreen PlantCampus 158,PlantCampus starter record 158,Emerson Chen,2020-06-07,2021-06-07,1,1,1,2026-08-24T00:00:00.000
159,PC000159,95,4,Keystone PlantCampus 159,PlantCampus starter record 159,Morgan Khan,2020-06-08,2021-06-08,1,1,1,2026-08-24T00:00:00.000
160,PC000160,291,1,Zenith PlantCampus 160,PlantCampus starter record 160,Casey Hughes,2020-06-09,2021-06-09,0,1,1,2026-08-24T00:00:00.000
161,PC000161,260,1,Zenith PlantCampus 161,PlantCampus starter record 161,Jordan Bennett,2020-06-10,2021-06-10,1,1,1,2026-08-24T00:00:00.000
162,PC000162,56,3,Titan PlantCampus 162,PlantCampus starter record 162,Blair Bennett,2020-06-11,2021-06-11,1,1,1,2026-08-24T00:00:00.000
163,PC000163,446,4,Summit PlantCampus 163,PlantCampus starter record 163,Morgan Khan,2020-06-12,2021-06-12,1,1,1,2026-08-24T00:00:00.000
164,PC000164,497,2,Pioneer PlantCampus 164,PlantCampus starter record 164,Blair Garcia,2020-06-13,2021-06-13,1,1,1,2026-08-24T00:00:00.000
165,PC000165,310,4,Ion PlantCampus 165,PlantCampus starter record 165,Devon Chen,2020-06-14,2021-06-14,0,1,1,2026-08-24T00:00:00.000
166,PC000166,492,2,Liberty PlantCampus 166,PlantCampus starter record 166,Blair Martin,2020-06-15,2021-06-15,1,1,1,2026-08-24T00:00:00.000
167,PC000167,486,2,Northstar PlantCampus 167,PlantCampus starter record 167,Blair Khan,2020-06-16,2021-06-16,1,1,1,2026-08-24T00:00:00.000
168,PC000168,11,2,Granite PlantCampus 168,PlantCampus starter record 168,Jordan Diaz,2020-06-17,2021-06-17,1,1,1,2026-08-24T00:00:00.000
169,PC000169,102,3,Meridian PlantCampus 169,PlantCampus starter record 169,Quinn Evans,2020-06-18,2021-06-18,1,1,1,2026-08-24T00:00:00.000
170,PC000170,353,3,Vertex PlantCampus 170,PlantCampus starter record 170,Devon Singh,2020-06-19,2021-06-19,0,1,1,2026-08-24T00:00:00.000
171,PC000171,176,2,Keystone PlantCampus 171,PlantCampus starter record 171,Finley Reed,2020-06-20,2021-06-20,1,1,1,2026-08-24T00:00:00.000
172,PC000172,387,4,Ion PlantCampus 172,PlantCampus starter record 172,Riley Evans,2020-06-21,2021-06-21,1,1,1,2026-08-24T00:00:00.000
173,PC000173,25,2,Liberty PlantCampus 173,PlantCampus starter record 173,Riley Garcia,2020-06-22,2021-06-22,1,1,1,2026-08-24T00:00:00.000
174,PC000174,253,3,Meridian PlantCampus 174,PlantCampus starter record 174,Finley Hughes,2020-06-23,2021-06-23,1,1,1,2026-08-24T00:00:00.000
175,PC000175,208,4,Quartz PlantCampus 175,PlantCampus starter record 175,Alex Martin,2020-06-24,2021-06-24,0,1,1,2026-08-24T00:00:00.000
