LaborTrainingCourseKey,TrainingCourseCode,LaborSkillCategoryKey,TrainingCourseName,DurationHours,RenewalMonths,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
11,LTC000011,80,Cedar LaborTrainingCourse 11,12.00,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d621b46328a5a158c846440259649ea1d621b46328a5a158c846440259649ea
12,LTC000012,49,Forge LaborTrainingCourse 12,13.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb9fd1b47ca652ecb8105ed000a13862eb9fd1b47ca652ecb8105ed000a13862
13,LTC000013,71,Zenith LaborTrainingCourse 13,14.00,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,afd297a5062c5c80993400788a0cccbeafd297a5062c5c80993400788a0cccbe
14,LTC000014,56,Willow LaborTrainingCourse 14,15.00,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8b83ef43f9f52b1afc900036e7a7040e8b83ef43f9f52b1afc900036e7a7040
15,LTC000015,25,Orion LaborTrainingCourse 15,16.00,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b39b9b93c56514ba6ce34be1753418b2b39b9b93c56514ba6ce34be1753418b
16,LTC000016,50,Delta LaborTrainingCourse 16,17.00,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa912c0c203d5f4ebc5dd5d41a03a85aaa912c0c203d5f4ebc5dd5d41a03a85a
17,LTC000017,43,Granite LaborTrainingCourse 17,18.00,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1457eded0b535503af774207800757641457eded0b535503af77420780075764
18,LTC000018,56,Summit LaborTrainingCourse 18,19.00,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5009a0cb9dba557d8b8d8c7b5688802e5009a0cb9dba557d8b8d8c7b5688802e
19,LTC000019,23,Quartz LaborTrainingCourse 19,20.00,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6387ce02bac53069abfa58f694b7152d6387ce02bac53069abfa58f694b7152
20,LTC000020,60,Unity LaborTrainingCourse 20,21.00,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5054c8ee2b915b6d9171ccfc6e427f265054c8ee2b915b6d9171ccfc6e427f26
21,LTC000021,18,Unity LaborTrainingCourse 21,22.00,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a4e1016e1305de6878453e61d3427e23a4e1016e1305de6878453e61d3427e2
22,LTC000022,70,Atlas LaborTrainingCourse 22,23.00,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3a1643b984d5ca3afd9b6f8554d7316b3a1643b984d5ca3afd9b6f8554d7316
23,LTC000023,2,Liberty LaborTrainingCourse 23,24.00,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20743971ceb6594788c8433cc510825420743971ceb6594788c8433cc5108254
24,LTC000024,87,Evergreen LaborTrainingCourse 24,1.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c632d9046c25f0a975658b47c5b558b3c632d9046c25f0a975658b47c5b558b
25,LTC000025,53,Quartz LaborTrainingCourse 25,2.00,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e137c433d9cf5ce1874dfb6d394206cee137c433d9cf5ce1874dfb6d394206ce
26,LTC000026,44,Delta LaborTrainingCourse 26,3.00,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2866fc213bdd55b091434e7e240c4f172866fc213bdd55b091434e7e240c4f17
27,LTC000027,50,Zenith LaborTrainingCourse 27,4.00,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7c9e7bb1ecf53649b67a33110312354c7c9e7bb1ecf53649b67a33110312354
28,LTC000028,20,Summit LaborTrainingCourse 28,5.00,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42ab6fe5307656cbab254932fa05520b42ab6fe5307656cbab254932fa05520b
29,LTC000029,7,Liberty LaborTrainingCourse 29,6.00,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ff0eb913ea65a179f387455f3a538432ff0eb913ea65a179f387455f3a53843
30,LTC000030,50,Ion LaborTrainingCourse 30,7.00,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5c320e2bea1522ea98936dd5f86f6a3a5c320e2bea1522ea98936dd5f86f6a3
31,LTC000031,61,Vertex LaborTrainingCourse 31,8.00,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0fd1e06b96875f4f890209c9b6631c260fd1e06b96875f4f890209c9b6631c26
32,LTC000032,33,Vertex LaborTrainingCourse 32,9.00,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd70da1835ff5c2ab0ea70a6b273efb0fd70da1835ff5c2ab0ea70a6b273efb0
33,LTC000033,39,Junction LaborTrainingCourse 33,10.00,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac1b8218832d5cd0a441763e087339b7ac1b8218832d5cd0a441763e087339b7
34,LTC000034,27,Unity LaborTrainingCourse 34,11.00,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,228f39eddff754ec883b3b4e74bf6628228f39eddff754ec883b3b4e74bf6628
35,LTC000035,84,Vertex LaborTrainingCourse 35,12.00,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1210d2fcd7f853828c183c0231fc950f1210d2fcd7f853828c183c0231fc950f
36,LTC000036,63,Vertex LaborTrainingCourse 36,13.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3779a925cdf05272b33363ffdc1b962f3779a925cdf05272b33363ffdc1b962f
37,LTC000037,44,Forge LaborTrainingCourse 37,14.00,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0fb901fe3c015240bfb10f652183cf320fb901fe3c015240bfb10f652183cf32
38,LTC000038,22,Riverton LaborTrainingCourse 38,15.00,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99f6a023b45b53ccb367fdc3c74e646099f6a023b45b53ccb367fdc3c74e6460
39,LTC000039,13,Zenith LaborTrainingCourse 39,16.00,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54663a9ae27f5b2596472315eaf61aa454663a9ae27f5b2596472315eaf61aa4
40,LTC000040,24,Orion LaborTrainingCourse 40,17.00,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a54cdf52da725173a7c736d6951b52dea54cdf52da725173a7c736d6951b52de
41,LTC000041,15,Keystone LaborTrainingCourse 41,18.00,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0369381b1d9356cfb38e632d1a7b07370369381b1d9356cfb38e632d1a7b0737
42,LTC000042,84,Evergreen LaborTrainingCourse 42,19.00,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9800539db1b596fb3dadf31ca96ada8c9800539db1b596fb3dadf31ca96ada8
43,LTC000043,13,Beacon LaborTrainingCourse 43,20.00,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40598c39a23f59e4af1043fb4608d88940598c39a23f59e4af1043fb4608d889
44,LTC000044,39,Vertex LaborTrainingCourse 44,21.00,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4f1cebafa3557cfbb94201b79ff6ef5c4f1cebafa3557cfbb94201b79ff6ef5
45,LTC000045,16,Northstar LaborTrainingCourse 45,22.00,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5e16797c38d5d6abef0cd8e83ada084f5e16797c38d5d6abef0cd8e83ada084
46,LTC000046,59,Evergreen LaborTrainingCourse 46,23.00,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df8cf1950c155d2089810a1cbf0b55a7df8cf1950c155d2089810a1cbf0b55a7
47,LTC000047,13,Granite LaborTrainingCourse 47,24.00,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7635ad06d4cb589d9b25479b8b61c5237635ad06d4cb589d9b25479b8b61c523
48,LTC000048,27,Harbor LaborTrainingCourse 48,1.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80d0567d973a5736bf3e4b9ef5e0c22580d0567d973a5736bf3e4b9ef5e0c225
49,LTC000049,50,Willow LaborTrainingCourse 49,2.00,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc9f41d07eb4557bb1e610e1df2eccc5cc9f41d07eb4557bb1e610e1df2eccc5
50,LTC000050,7,Keystone LaborTrainingCourse 50,3.00,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,755edf8e922459a690e3974207575714755edf8e922459a690e3974207575714
51,LTC000051,67,Orion LaborTrainingCourse 51,4.00,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f99f2108015a5d6097a6cd67401f9ccff99f2108015a5d6097a6cd67401f9ccf
52,LTC000052,8,Riverton LaborTrainingCourse 52,5.00,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8f52bb5349c56e7801be37c05b9fdb5c8f52bb5349c56e7801be37c05b9fdb5
53,LTC000053,24,Liberty LaborTrainingCourse 53,6.00,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,052eb14b6ed35c37a7eda8a3585e8b72052eb14b6ed35c37a7eda8a3585e8b72
54,LTC000054,63,Northstar LaborTrainingCourse 54,7.00,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ac480f6ac25513ebec099c1b71cb3756ac480f6ac25513ebec099c1b71cb375
55,LTC000055,86,Riverton LaborTrainingCourse 55,8.00,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,409d65a60d8857c0a59aa13113eaddfa409d65a60d8857c0a59aa13113eaddfa
56,LTC000056,83,Riverton LaborTrainingCourse 56,9.00,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ecac7a6e07c856cfb2677497adaf491cecac7a6e07c856cfb2677497adaf491c
57,LTC000057,37,Keystone LaborTrainingCourse 57,10.00,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,976133b9d8a654cc9b5338e14c11ec0a976133b9d8a654cc9b5338e14c11ec0a
58,LTC000058,7,Keystone LaborTrainingCourse 58,11.00,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3257b2d6a5bb527f8563b4e3296fb0103257b2d6a5bb527f8563b4e3296fb010
59,LTC000059,61,Quartz LaborTrainingCourse 59,12.00,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed1dbd64cd5b5ce28f0592b9df5bfc86ed1dbd64cd5b5ce28f0592b9df5bfc86
60,LTC000060,22,Granite LaborTrainingCourse 60,13.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9077eb6defce5df8ba35ff721ddf269a9077eb6defce5df8ba35ff721ddf269a
61,LTC000061,16,Quartz LaborTrainingCourse 61,14.00,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,155ed1780b3658a0ae8eee4129fb63eb155ed1780b3658a0ae8eee4129fb63eb
62,LTC000062,75,Titan LaborTrainingCourse 62,15.00,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b68d1dde40ec5358baa391a80529f70fb68d1dde40ec5358baa391a80529f70f
63,LTC000063,54,Beacon LaborTrainingCourse 63,16.00,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,004e323e9bd3532d94a29c869afb0ff8004e323e9bd3532d94a29c869afb0ff8
64,LTC000064,21,Unity LaborTrainingCourse 64,17.00,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,023b615636f75a839be9680e90fad228023b615636f75a839be9680e90fad228
65,LTC000065,47,Orion LaborTrainingCourse 65,18.00,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3467e34d8465630aee67b8eff936378b3467e34d8465630aee67b8eff936378
66,LTC000066,88,Riverton LaborTrainingCourse 66,19.00,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96a7d3f82f0b54b5bfc04dcaf543592096a7d3f82f0b54b5bfc04dcaf5435920
67,LTC000067,63,Forge LaborTrainingCourse 67,20.00,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6108284ba9d752c3b78dbeb9c66462bc6108284ba9d752c3b78dbeb9c66462bc
68,LTC000068,55,Cedar LaborTrainingCourse 68,21.00,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e2a28ab37ca58148b2602a22a52222b2e2a28ab37ca58148b2602a22a52222b
69,LTC000069,34,Northstar LaborTrainingCourse 69,22.00,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,340f6352aeca5904acae25ef071e259c340f6352aeca5904acae25ef071e259c
70,LTC000070,54,Delta LaborTrainingCourse 70,23.00,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61ab78f54f4e57dea6d0a8a7cf1045ff61ab78f54f4e57dea6d0a8a7cf1045ff
71,LTC000071,27,Summit LaborTrainingCourse 71,24.00,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03b51a3b34225d5287fbe7b9632c5a2e03b51a3b34225d5287fbe7b9632c5a2e
72,LTC000072,48,Atlas LaborTrainingCourse 72,1.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77e03d869a6453fd975a8d9afb99687a77e03d869a6453fd975a8d9afb99687a
73,LTC000073,81,Delta LaborTrainingCourse 73,2.00,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42078caca76556b38d68ca8b8e951f9642078caca76556b38d68ca8b8e951f96
74,LTC000074,50,Quartz LaborTrainingCourse 74,3.00,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7776adc279be50c695e221d9526fdf897776adc279be50c695e221d9526fdf89
75,LTC000075,47,Forge LaborTrainingCourse 75,4.00,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ccb14594ff9c5f00b3e0b1766b20c165ccb14594ff9c5f00b3e0b1766b20c165
76,LTC000076,4,Titan LaborTrainingCourse 76,5.00,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6fda6bfd7e945c3fa261955d94bc5ad86fda6bfd7e945c3fa261955d94bc5ad8
77,LTC000077,33,Orion LaborTrainingCourse 77,6.00,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba3a5705f9f35b12a2606841f76b4005ba3a5705f9f35b12a2606841f76b4005
78,LTC000078,44,Forge LaborTrainingCourse 78,7.00,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3d4ba799f0d5522b67fda6a2959aa72d3d4ba799f0d5522b67fda6a2959aa72
79,LTC000079,23,Beacon LaborTrainingCourse 79,8.00,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f95d7773637451dda0ec971a33daf8c9f95d7773637451dda0ec971a33daf8c9
80,LTC000080,16,Cedar LaborTrainingCourse 80,9.00,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7894153dc7fd58d4a06b2fc9f745508b7894153dc7fd58d4a06b2fc9f745508b
81,LTC000081,14,Evergreen LaborTrainingCourse 81,10.00,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9263d829fefa5d1da7d96e2bc856d5449263d829fefa5d1da7d96e2bc856d544
82,LTC000082,72,Liberty LaborTrainingCourse 82,11.00,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,02b12e16e9c555109c89c8e769dfaeff02b12e16e9c555109c89c8e769dfaeff
83,LTC000083,42,Granite LaborTrainingCourse 83,12.00,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e132f98fdcdc597791d58d0333d2ade4e132f98fdcdc597791d58d0333d2ade4
84,LTC000084,8,Atlas LaborTrainingCourse 84,13.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c742c7af9195578a111181dffc714550c742c7af9195578a111181dffc71455
85,LTC000085,43,Atlas LaborTrainingCourse 85,14.00,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6d3712996be5971860189852dcfb4bff6d3712996be5971860189852dcfb4bf
86,LTC000086,7,Keystone LaborTrainingCourse 86,15.00,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c67bba4f9d025755b7e633f669fa32a0c67bba4f9d025755b7e633f669fa32a0
87,LTC000087,68,Quartz LaborTrainingCourse 87,16.00,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a77b354edf854fba8ee52873e695c165a77b354edf854fba8ee52873e695c16
88,LTC000088,22,Unity LaborTrainingCourse 88,17.00,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0380482ac144500482609b1439f466090380482ac144500482609b1439f46609
89,LTC000089,14,Northstar LaborTrainingCourse 89,18.00,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ecfcb533f6355b928d6ffea7289af9f8ecfcb533f6355b928d6ffea7289af9f8
90,LTC000090,44,Beacon LaborTrainingCourse 90,19.00,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31e301872964526097c2dcc93b1cf52931e301872964526097c2dcc93b1cf529
91,LTC000091,82,Junction LaborTrainingCourse 91,20.00,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64736066845a578e932d4277389f71e764736066845a578e932d4277389f71e7
92,LTC000092,82,Forge LaborTrainingCourse 92,21.00,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,33c404f0789a5b05b404eee33bcb3a7f33c404f0789a5b05b404eee33bcb3a7f
93,LTC000093,41,Vertex LaborTrainingCourse 93,22.00,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36611b68ff285dac8aeb6e41d0579c8336611b68ff285dac8aeb6e41d0579c83
94,LTC000094,50,Orion LaborTrainingCourse 94,23.00,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f17a774437cb5c0da9d2e01c29a7be5ef17a774437cb5c0da9d2e01c29a7be5e
95,LTC000095,41,Pioneer LaborTrainingCourse 95,24.00,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,315aeab0439b5247b62c6bb8442dc061315aeab0439b5247b62c6bb8442dc061
96,LTC000096,61,Quartz LaborTrainingCourse 96,1.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81a50b9e243a5efc81da190b47dbf96881a50b9e243a5efc81da190b47dbf968
97,LTC000097,73,Unity LaborTrainingCourse 97,2.00,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,08c6d71040f855b397197da9883f85a208c6d71040f855b397197da9883f85a2
98,LTC000098,84,Harbor LaborTrainingCourse 98,3.00,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fe5d097f6ea54cd9d164a5fd5966e2e7fe5d097f6ea54cd9d164a5fd5966e2e
99,LTC000099,57,Willow LaborTrainingCourse 99,4.00,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef7c0af79a885e60afcae4087b99cf4bef7c0af79a885e60afcae4087b99cf4b
100,LTC000100,40,Harbor LaborTrainingCourse 100,5.00,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1bd7be6f9f055c4092936a123f608b521bd7be6f9f055c4092936a123f608b52
101,LTC000101,26,Delta LaborTrainingCourse 101,6.00,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,732fa89e9dac53f2a631c8f0daa7f912732fa89e9dac53f2a631c8f0daa7f912
102,LTC000102,73,Beacon LaborTrainingCourse 102,7.00,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fda5d3f3a5a35c5293dcbbb3fbd080eefda5d3f3a5a35c5293dcbbb3fbd080ee
103,LTC000103,16,Zenith LaborTrainingCourse 103,8.00,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c1a0faa970858d7971acb19b814a7fb7c1a0faa970858d7971acb19b814a7fb
104,LTC000104,35,Granite LaborTrainingCourse 104,9.00,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,347f979b510655b7b05a8edf3acf40a9347f979b510655b7b05a8edf3acf40a9
105,LTC000105,70,Junction LaborTrainingCourse 105,10.00,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2903f03e882500c823de4ad3da0ff58a2903f03e882500c823de4ad3da0ff58
106,LTC000106,11,Granite LaborTrainingCourse 106,11.00,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,806a234f9b9654a1995db9576cb27cf6806a234f9b9654a1995db9576cb27cf6
107,LTC000107,54,Delta LaborTrainingCourse 107,12.00,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d3d30e794ff5c18bee860ecf76799d34d3d30e794ff5c18bee860ecf76799d3
108,LTC000108,85,Keystone LaborTrainingCourse 108,13.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,354d3c483f535e3fbabe80e06ba2d6a5354d3c483f535e3fbabe80e06ba2d6a5
