PlantKey,PlantCode,GeoPostalCodeKey,OrgBusinessUnitKey,PlantTypeKey,PlantCampusKey,CurrencyKey,TimeZoneKey,RecordStatusKey,CountryKey,PlantName,LegalEntityCode,PlantManagerName,OpenedDate,ClosedDate,TotalFloorAreaSquareMeter,DefaultCurrencyCode,TimeZoneName,LatitudeValue,LongitudeValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
10,P000010,185,112,15,163,5,46,2,218,Northstar Plant 10,P000010,Granite Plant 10,2020-01-11,2020-01-11,11.00,MXN,Pioneer Plant 10,23.700000,23.700000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5111af0a436d5efe8f297cd9b9e29f5b5111af0a436d5efe8f297cd9b9e29f5b
11,P000011,478,5,1,189,3,5,2,237,Beacon Plant 11,P000011,Keystone Plant 11,2020-01-12,2020-01-12,12.00,JPY,Ion Plant 11,25.070000,25.070000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ab38d826e8b52dc962957f456eab7335ab38d826e8b52dc962957f456eab733
12,P000012,175,135,3,195,3,18,4,181,Granite Plant 12,P000012,Riverton Plant 12,2020-01-13,2020-01-13,13.00,USD,Ion Plant 12,26.440000,26.440000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,427e5cf669715c81a753f66a7c60b6e1427e5cf669715c81a753f66a7c60b6e1
13,P000013,231,1,3,104,5,4,4,193,Harbor Plant 13,P000013,Pioneer Plant 13,2020-01-14,2020-01-14,14.00,EUR,Delta Plant 13,27.810000,27.810000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf012bcd44665a2182479859b966f85dbf012bcd44665a2182479859b966f85d
14,P000014,90,141,3,35,1,26,2,205,Evergreen Plant 14,P000014,Junction Plant 14,2020-01-15,2020-01-15,15.00,GBP,Unity Plant 14,29.180000,29.180000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,428df5506e8f51fa9a06009b5f37b08c428df5506e8f51fa9a06009b5f37b08c
15,P000015,139,38,3,10,3,55,2,68,Zenith Plant 15,P000015,Junction Plant 15,2020-01-16,2020-01-16,16.00,CAD,Meridian Plant 15,30.550000,30.550000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5936f706e5295b8b8028cb9b7193cf085936f706e5295b8b8028cb9b7193cf08
16,P000016,434,6,8,236,1,46,1,195,Summit Plant 16,P000016,Granite Plant 16,2020-01-17,2020-01-17,17.00,MXN,Meridian Plant 16,31.920000,31.920000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f368aaae2e855c0967b50689b1af7da4f368aaae2e855c0967b50689b1af7da
17,P000017,32,84,12,292,2,36,1,245,Harbor Plant 17,P000017,Forge Plant 17,2020-01-18,2020-01-18,18.00,JPY,Liberty Plant 17,33.290000,33.290000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8bf793219f455766a9a5332be71e64658bf793219f455766a9a5332be71e6465
18,P000018,347,43,6,185,4,15,1,107,Granite Plant 18,P000018,Atlas Plant 18,2020-01-19,2020-01-19,19.00,USD,Beacon Plant 18,34.660000,34.660000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb1cb9eaae20573a9163d1e32c35a15aeb1cb9eaae20573a9163d1e32c35a15a
19,P000019,290,150,12,55,1,39,4,124,Ion Plant 19,P000019,Riverton Plant 19,2020-01-20,2020-01-20,20.00,EUR,Beacon Plant 19,36.030000,36.030000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27a48746a4cc534e8b4c6c9da2d451ca27a48746a4cc534e8b4c6c9da2d451ca
20,P000020,192,126,12,166,4,24,3,118,Atlas Plant 20,P000020,Orion Plant 20,2020-01-21,2020-01-21,21.00,GBP,Summit Plant 20,37.400000,37.400000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0376034a71b45746943ea3b7bc1942470376034a71b45746943ea3b7bc194247
21,P000021,221,139,16,284,5,41,1,35,Riverton Plant 21,P000021,Riverton Plant 21,2020-01-22,2020-01-22,22.00,CAD,Zenith Plant 21,38.770000,38.770000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89cb5cafba535da7926e1b19ad408edd89cb5cafba535da7926e1b19ad408edd
22,P000022,103,104,13,145,3,49,2,32,Northstar Plant 22,P000022,Orion Plant 22,2020-01-23,2020-01-23,23.00,MXN,Junction Plant 22,40.140000,40.140000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1752a629ba359a2a1d7fddf85fa58efe1752a629ba359a2a1d7fddf85fa58ef
23,P000023,352,39,12,154,3,27,4,120,Liberty Plant 23,P000023,Orion Plant 23,2020-01-24,2020-01-24,24.00,JPY,Cedar Plant 23,41.510000,41.510000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09d44daa77ad5ef29e8a89c2766b6cdf09d44daa77ad5ef29e8a89c2766b6cdf
24,P000024,179,142,1,111,5,38,3,96,Granite Plant 24,P000024,Vertex Plant 24,2020-01-25,2020-01-25,25.00,USD,Vertex Plant 24,42.880000,42.880000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,759c32a6e2495ebf8ed6635659a68056759c32a6e2495ebf8ed6635659a68056
25,P000025,442,90,5,215,3,52,2,231,Meridian Plant 25,P000025,Riverton Plant 25,2020-01-26,2020-01-26,26.00,EUR,Northstar Plant 25,44.250000,44.250000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,418e38144c085e9bbc7486d63e68221f418e38144c085e9bbc7486d63e68221f
26,P000026,179,54,1,48,4,11,4,109,Orion Plant 26,P000026,Willow Plant 26,2020-01-27,2020-01-27,27.00,GBP,Northstar Plant 26,45.620000,45.620000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a153c63a1531594bb84488421f28cfb4a153c63a1531594bb84488421f28cfb4
27,P000027,334,156,18,196,5,51,4,181,Liberty Plant 27,P000027,Atlas Plant 27,2020-01-28,2020-01-28,28.00,CAD,Summit Plant 27,46.990000,46.990000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c54679655a8456eaa4cc5f7c5a0cf567c54679655a8456eaa4cc5f7c5a0cf567
28,P000028,386,1,9,91,5,21,2,248,Northstar Plant 28,P000028,Atlas Plant 28,2020-01-29,2020-01-29,29.00,MXN,Granite Plant 28,48.360000,48.360000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b006bcf4268501c836e27f4199a85120b006bcf4268501c836e27f4199a8512
29,P000029,14,117,13,140,3,24,1,127,Meridian Plant 29,P000029,Liberty Plant 29,2020-01-30,2020-01-30,30.00,JPY,Liberty Plant 29,49.730000,49.730000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b80278d6c0a55a38d8568ba018be1093b80278d6c0a55a38d8568ba018be109
30,P000030,403,61,3,250,4,36,4,90,Vertex Plant 30,P000030,Meridian Plant 30,2020-01-31,2020-01-31,31.00,USD,Harbor Plant 30,51.100000,51.100000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fd1612c99c1583baadaafbab544aae32fd1612c99c1583baadaafbab544aae3
31,P000031,76,61,11,113,3,46,1,146,Meridian Plant 31,P000031,Evergreen Plant 31,2020-02-01,2020-02-01,32.00,EUR,Titan Plant 31,52.470000,52.470000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7645bc0dc1a6535cb2e69d81280cc58a7645bc0dc1a6535cb2e69d81280cc58a
32,P000032,270,122,12,244,5,51,3,115,Quartz Plant 32,P000032,Cedar Plant 32,2020-02-02,2020-02-02,33.00,GBP,Orion Plant 32,53.840000,53.840000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8daf140bd145407bdd104008e5c8d38d8daf140bd145407bdd104008e5c8d38
33,P000033,305,55,17,214,4,51,4,7,Vertex Plant 33,P000033,Cedar Plant 33,2020-02-03,2020-02-03,34.00,CAD,Titan Plant 33,55.210000,55.210000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e942e4d0bdf65bbcbdd2e804beeeaacee942e4d0bdf65bbcbdd2e804beeeaace
34,P000034,100,63,4,206,4,18,2,213,Beacon Plant 34,P000034,Meridian Plant 34,2020-02-04,2020-02-04,35.00,MXN,Orion Plant 34,56.580000,56.580000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,834204376c8355aaa443903014fbf2ba834204376c8355aaa443903014fbf2ba
35,P000035,299,41,15,141,4,9,4,114,Beacon Plant 35,P000035,Harbor Plant 35,2020-02-05,2020-02-05,36.00,JPY,Junction Plant 35,57.950000,57.950000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c398939836425b519cdd34a22296a4f3c398939836425b519cdd34a22296a4f3
36,P000036,347,31,11,201,5,40,4,210,Junction Plant 36,P000036,Liberty Plant 36,2020-02-06,2020-02-06,37.00,USD,Summit Plant 36,59.320000,59.320000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c291e366b5d15094a514fb7f077921e4c291e366b5d15094a514fb7f077921e4
37,P000037,194,8,1,165,4,13,3,220,Zenith Plant 37,P000037,Riverton Plant 37,2020-02-07,2020-02-07,38.00,EUR,Evergreen Plant 37,60.690000,60.690000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1eb9f4399f425929a57ae9329ebd7eeb1eb9f4399f425929a57ae9329ebd7eeb
38,P000038,71,115,12,13,2,46,4,146,Evergreen Plant 38,P000038,Atlas Plant 38,2020-02-08,2020-02-08,39.00,GBP,Delta Plant 38,62.060000,62.060000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e280201509715739b627f1752444d006e280201509715739b627f1752444d006
39,P000039,236,93,7,224,4,23,4,222,Atlas Plant 39,P000039,Vertex Plant 39,2020-02-09,2020-02-09,40.00,CAD,Beacon Plant 39,63.430000,63.430000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b93e107035ee563ca961314a955d3c6ab93e107035ee563ca961314a955d3c6a
40,P000040,269,100,5,205,1,36,4,144,Granite Plant 40,P000040,Evergreen Plant 40,2020-02-10,2020-02-10,41.00,MXN,Unity Plant 40,64.800000,64.800000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81f283731da85420acae75a90248609281f283731da85420acae75a902486092
41,P000041,209,20,12,30,5,57,3,108,Riverton Plant 41,P000041,Ion Plant 41,2020-02-11,2020-02-11,42.00,JPY,Forge Plant 41,66.170000,66.170000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e708924befb52edb343a18c57d441da0e708924befb52edb343a18c57d441da
42,P000042,464,47,5,238,4,10,1,79,Titan Plant 42,P000042,Willow Plant 42,2020-02-12,2020-02-12,43.00,USD,Forge Plant 42,67.540000,67.540000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9526fc42a638585f8ee13a5b0ddf67e69526fc42a638585f8ee13a5b0ddf67e6
43,P000043,73,152,5,208,4,14,2,10,Harbor Plant 43,P000043,Delta Plant 43,2020-02-13,2020-02-13,44.00,EUR,Northstar Plant 43,68.910000,68.910000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,114bea936ea35787965125d052f92d89114bea936ea35787965125d052f92d89
44,P000044,224,117,3,256,2,55,2,68,Ion Plant 44,P000044,Zenith Plant 44,2020-02-14,2020-02-14,45.00,GBP,Riverton Plant 44,70.280000,70.280000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f9b9129ef475502896d88fc67b3c13dff9b9129ef475502896d88fc67b3c13df
45,P000045,44,7,11,85,4,18,2,129,Harbor Plant 45,P000045,Titan Plant 45,2020-02-15,2020-02-15,46.00,CAD,Meridian Plant 45,71.650000,71.650000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e10c29a23c95618bd96851fe39b52b37e10c29a23c95618bd96851fe39b52b3
46,P000046,344,26,5,249,3,2,1,107,Zenith Plant 46,P000046,Orion Plant 46,2020-02-16,2020-02-16,47.00,MXN,Granite Plant 46,73.020000,73.020000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce8cab1e53105e22bf08a7740a55a6c0ce8cab1e53105e22bf08a7740a55a6c0
47,P000047,156,8,11,190,5,57,1,220,Ion Plant 47,P000047,Liberty Plant 47,2020-02-17,2020-02-17,48.00,JPY,Riverton Plant 47,74.390000,74.390000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c35304ee76335739ba382a1b522345c0c35304ee76335739ba382a1b522345c0
48,P000048,418,108,3,150,2,51,1,125,Granite Plant 48,P000048,Pioneer Plant 48,2020-02-18,2020-02-18,49.00,USD,Forge Plant 48,75.760000,75.760000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,052fc446e9a65afd9becc12c4f31878e052fc446e9a65afd9becc12c4f31878e
49,P000049,6,35,14,31,5,23,4,72,Beacon Plant 49,P000049,Ion Plant 49,2020-02-19,2020-02-19,50.00,EUR,Summit Plant 49,77.130000,77.130000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,abb978bdd95e534e88cd79d97eb5408cabb978bdd95e534e88cd79d97eb5408c
50,P000050,11,98,3,165,3,21,3,140,Evergreen Plant 50,P000050,Forge Plant 50,2020-02-20,2020-02-20,51.00,GBP,Orion Plant 50,78.500000,78.500000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0fb29a547133578db4dacc1a6a15c5e90fb29a547133578db4dacc1a6a15c5e9
51,P000051,86,129,16,146,3,12,2,95,Keystone Plant 51,P000051,Evergreen Plant 51,2020-02-21,2020-02-21,52.00,CAD,Unity Plant 51,79.870000,79.870000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1435bbb9154b5fbd84b6e766dfb22bd21435bbb9154b5fbd84b6e766dfb22bd2
52,P000052,270,115,15,54,3,50,2,194,Pioneer Plant 52,P000052,Orion Plant 52,2020-02-22,2020-02-22,53.00,MXN,Liberty Plant 52,81.240000,81.240000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c35f40efa69a5ab18c75c4eef5a6d000c35f40efa69a5ab18c75c4eef5a6d000
53,P000053,193,85,19,31,4,32,2,225,Northstar Plant 53,P000053,Vertex Plant 53,2020-02-23,2020-02-23,54.00,JPY,Forge Plant 53,82.610000,82.610000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5561ae15b1a5bb6983558873f72beb8e5561ae15b1a5bb6983558873f72beb8
54,P000054,249,30,19,293,3,6,2,94,Pioneer Plant 54,P000054,Harbor Plant 54,2020-02-24,2020-02-24,55.00,USD,Harbor Plant 54,83.980000,83.980000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a589430f09cb5cc186cbb67652d0fc48a589430f09cb5cc186cbb67652d0fc48
55,P000055,398,54,13,262,3,42,3,187,Ion Plant 55,P000055,Delta Plant 55,2020-02-25,2020-02-25,56.00,EUR,Delta Plant 55,85.350000,85.350000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6c064d30e2c58ea81b7eb265c5514b5e6c064d30e2c58ea81b7eb265c5514b5
56,P000056,28,11,7,55,4,55,2,193,Orion Plant 56,P000056,Zenith Plant 56,2020-02-26,2020-02-26,57.00,GBP,Willow Plant 56,86.720000,86.720000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7017a6eb27d159ef8377a7dce3574be47017a6eb27d159ef8377a7dce3574be4
57,P000057,471,114,4,16,5,14,3,67,Vertex Plant 57,P000057,Delta Plant 57,2020-02-27,2020-02-27,58.00,CAD,Northstar Plant 57,88.090000,88.090000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91d263ecb7965849a8698bd67bbded5d91d263ecb7965849a8698bd67bbded5d
58,P000058,386,120,4,280,2,38,4,78,Willow Plant 58,P000058,Ion Plant 58,2020-02-28,2020-02-28,59.00,MXN,Junction Plant 58,89.460000,89.460000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9570f6c101552bbbd53e4374035216ba9570f6c101552bbbd53e4374035216b
59,P000059,350,18,7,232,3,5,4,47,Forge Plant 59,P000059,Unity Plant 59,2020-02-29,2020-02-29,60.00,JPY,Evergreen Plant 59,90.830000,90.830000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f4e42ddbccb3536fb22875b6d32856cdf4e42ddbccb3536fb22875b6d32856cd
60,P000060,479,40,3,226,5,4,2,126,Delta Plant 60,P000060,Evergreen Plant 60,2020-03-01,2020-03-01,61.00,USD,Vertex Plant 60,92.200000,92.200000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4e0ce1e378d5a3282e7fcade94cdf30e4e0ce1e378d5a3282e7fcade94cdf30
61,P000061,466,59,8,180,2,13,4,212,Orion Plant 61,P000061,Ion Plant 61,2020-03-02,2020-03-02,62.00,EUR,Meridian Plant 61,93.570000,93.570000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fdba90d5972551d1a7f133e178e974b4fdba90d5972551d1a7f133e178e974b4
62,P000062,118,62,11,66,1,37,1,95,Harbor Plant 62,P000062,Forge Plant 62,2020-03-03,2020-03-03,63.00,GBP,Harbor Plant 62,94.940000,94.940000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fce4d8807cb25ae9ae46e1b0e9d25427fce4d8807cb25ae9ae46e1b0e9d25427
63,P000063,127,20,11,192,2,53,4,77,Riverton Plant 63,P000063,Ion Plant 63,2020-03-04,2020-03-04,64.00,CAD,Willow Plant 63,96.310000,96.310000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44816568cb425ae19040fa4b3aac9afc44816568cb425ae19040fa4b3aac9afc
64,P000064,486,80,15,228,3,37,3,119,Unity Plant 64,P000064,Orion Plant 64,2020-03-05,2020-03-05,65.00,MXN,Riverton Plant 64,97.680000,97.680000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7263109c3fe85e6e87e30b49153ae1887263109c3fe85e6e87e30b49153ae188
65,P000065,352,47,16,287,1,12,4,240,Evergreen Plant 65,P000065,Vertex Plant 65,2020-03-06,2020-03-06,66.00,JPY,Quartz Plant 65,99.050000,99.050000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb4c17b85fe952fb8855db2d631b7d0ecb4c17b85fe952fb8855db2d631b7d0e
66,P000066,41,143,20,40,5,36,2,131,Junction Plant 66,P000066,Keystone Plant 66,2020-03-07,2020-03-07,67.00,USD,Junction Plant 66,100.420000,100.420000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70083342053f58d796b4cf076be2ea5570083342053f58d796b4cf076be2ea55
67,P000067,207,154,4,46,5,58,3,177,Beacon Plant 67,P000067,Harbor Plant 67,2020-03-08,2020-03-08,68.00,EUR,Summit Plant 67,101.790000,101.790000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39973ba314205905a6aef87db1a5f0f239973ba314205905a6aef87db1a5f0f2
68,P000068,206,111,15,237,4,56,4,57,Liberty Plant 68,P000068,Willow Plant 68,2020-03-09,2020-03-09,69.00,GBP,Liberty Plant 68,103.160000,103.160000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e36430de1dc55805b5de4d2eb4be816de36430de1dc55805b5de4d2eb4be816d
69,P000069,442,30,5,200,5,50,3,136,Zenith Plant 69,P000069,Willow Plant 69,2020-03-10,2020-03-10,70.00,CAD,Pioneer Plant 69,104.530000,104.530000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a2896301c705f058ec63faa9d1f66f18a2896301c705f058ec63faa9d1f66f1
70,P000070,489,133,18,281,5,55,1,236,Willow Plant 70,P000070,Vertex Plant 70,2020-03-11,2020-03-11,71.00,MXN,Harbor Plant 70,105.900000,105.900000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42124ea03cca59c3a75beed1511bdbbd42124ea03cca59c3a75beed1511bdbbd
71,P000071,460,103,19,290,3,2,4,39,Summit Plant 71,P000071,Beacon Plant 71,2020-03-12,2020-03-12,72.00,JPY,Unity Plant 71,107.270000,107.270000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd4250091f645ac8a4b66c6f79c2b3a0bd4250091f645ac8a4b66c6f79c2b3a0
72,P000072,39,15,2,268,1,23,2,116,Granite Plant 72,P000072,Riverton Plant 72,2020-03-13,2020-03-13,73.00,USD,Keystone Plant 72,108.640000,108.640000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f468efa348205c438b30f29ddecf4880f468efa348205c438b30f29ddecf4880
73,P000073,247,94,7,55,3,49,1,202,Cedar Plant 73,P000073,Keystone Plant 73,2020-03-14,2020-03-14,74.00,EUR,Granite Plant 73,110.010000,110.010000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,847bdc9a303e52e785936b5715a47107847bdc9a303e52e785936b5715a47107
74,P000074,241,46,12,197,3,1,2,20,Cedar Plant 74,P000074,Riverton Plant 74,2020-03-15,2020-03-15,75.00,GBP,Atlas Plant 74,111.380000,111.380000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa11aeec4a9450ec88aec7ff1f97a222fa11aeec4a9450ec88aec7ff1f97a222
