LaborCostRateKey,LaborCostRateCode,LaborJobGradeKey,CostCenterKey,CurrencyKey,LaborPayTypeKey,HourlyCostAmount,OverheadCostAmount,PremiumMultiplier,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
11,LCR000011,27,114,5,1,25.0700,25.0700,12.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e18442a910e958b0b2f8f01cf6badb06e18442a910e958b0b2f8f01cf6badb06
12,LCR000012,14,332,3,11,26.4400,26.4400,13.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ceaf598565f65e24a1b3d7fe15c46cc4ceaf598565f65e24a1b3d7fe15c46cc4
13,LCR000013,19,65,1,1,27.8100,27.8100,14.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,503efc00aa2a55b1af7a22ddf54bdfd1503efc00aa2a55b1af7a22ddf54bdfd1
14,LCR000014,22,149,1,8,29.1800,29.1800,15.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,756a0a95aeb25359b3a45fbcca24869d756a0a95aeb25359b3a45fbcca24869d
15,LCR000015,28,43,4,4,30.5500,30.5500,16.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb80315422395a50bc70d888fd519704cb80315422395a50bc70d888fd519704
16,LCR000016,20,19,5,8,31.9200,31.9200,17.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6b89614e9b35229b0c168902305a83cc6b89614e9b35229b0c168902305a83c
17,LCR000017,11,377,2,2,33.2900,33.2900,18.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75dd5e14d8ac57718d6c69a9917b04ca75dd5e14d8ac57718d6c69a9917b04ca
18,LCR000018,19,279,2,11,34.6600,34.6600,19.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ed0be0da61d50648ca221ca9834d7105ed0be0da61d50648ca221ca9834d710
19,LCR000019,26,80,3,11,36.0300,36.0300,20.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d69d5944006a5048bee09651c8dc0947d69d5944006a5048bee09651c8dc0947
20,LCR000020,20,272,2,3,37.4000,37.4000,21.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,67571088588c55ab907da6c3ec7e85c567571088588c55ab907da6c3ec7e85c5
21,LCR000021,11,275,3,12,38.7700,38.7700,22.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db28c63f890b5145848b92abe73af80fdb28c63f890b5145848b92abe73af80f
22,LCR000022,16,426,2,8,40.1400,40.1400,23.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a866308d0cb5963a53b6c2f471f4cfc3a866308d0cb5963a53b6c2f471f4cfc
23,LCR000023,23,325,4,1,41.5100,41.5100,24.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5979fb39338f5caf9a5a38ed17180a575979fb39338f5caf9a5a38ed17180a57
24,LCR000024,34,248,5,4,42.8800,42.8800,25.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,581378ea5bb3520980b6168d973ea4a6581378ea5bb3520980b6168d973ea4a6
25,LCR000025,27,42,2,12,44.2500,44.2500,26.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b12a8e67820153d4a695ef36fe10bc06b12a8e67820153d4a695ef36fe10bc06
26,LCR000026,20,354,1,2,45.6200,45.6200,27.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,516059ad91fe52f5b9e9d6f6740faa52516059ad91fe52f5b9e9d6f6740faa52
27,LCR000027,30,87,3,11,46.9900,46.9900,28.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,992723ea23b352f380fde13384a3e990992723ea23b352f380fde13384a3e990
28,LCR000028,21,378,2,11,48.3600,48.3600,29.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ff2bb1a0e9f551ba7fbaadbe3038b685ff2bb1a0e9f551ba7fbaadbe3038b68
29,LCR000029,6,390,4,12,49.7300,49.7300,30.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2cb33918c77545b9e1a3d494fa87978e2cb33918c77545b9e1a3d494fa87978
30,LCR000030,4,37,3,8,51.1000,51.1000,31.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2771b6d3802555a8832d589a1077dca32771b6d3802555a8832d589a1077dca3
31,LCR000031,7,325,4,8,52.4700,52.4700,32.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2521d99216154038f7bc16194b6ea69b2521d99216154038f7bc16194b6ea69
32,LCR000032,29,465,5,6,53.8400,53.8400,33.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,79da04a62fa85c92b07ebeda63130d0c79da04a62fa85c92b07ebeda63130d0c
33,LCR000033,2,167,5,12,55.2100,55.2100,34.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2cfb3cd3de85176b81963ef181d27e3b2cfb3cd3de85176b81963ef181d27e3
34,LCR000034,29,144,4,1,56.5800,56.5800,35.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f76ed94c2135951adac77f315632bf31f76ed94c2135951adac77f315632bf3
35,LCR000035,6,264,1,12,57.9500,57.9500,36.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37505cf7c3d4560f8b0290f88545c7ba37505cf7c3d4560f8b0290f88545c7ba
36,LCR000036,22,223,4,3,59.3200,59.3200,37.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5baaaa33aa02549782ea6ed74f7e46935baaaa33aa02549782ea6ed74f7e4693
37,LCR000037,1,117,1,2,60.6900,60.6900,38.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7f0eab21b7d551ca7616ca0f3587931a7f0eab21b7d551ca7616ca0f3587931
38,LCR000038,22,46,4,3,62.0600,62.0600,39.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22cbff60f97f5913b661805303006ddb22cbff60f97f5913b661805303006ddb
39,LCR000039,17,391,3,10,63.4300,63.4300,40.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de83286e8b5450a1b8f0360ed8b7b6eade83286e8b5450a1b8f0360ed8b7b6ea
40,LCR000040,34,274,2,6,64.8000,64.8000,41.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,161975b59ccb5ab982cfb3a99777a576161975b59ccb5ab982cfb3a99777a576
41,LCR000041,32,390,2,4,66.1700,66.1700,42.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,affc07f6d70a59de9ab923163772802faffc07f6d70a59de9ab923163772802f
42,LCR000042,10,322,4,7,67.5400,67.5400,43.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0cc00aeb8dcd52998c930f428b49f7820cc00aeb8dcd52998c930f428b49f782
43,LCR000043,30,211,5,3,68.9100,68.9100,44.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,389f99592a0d5372a1516493b67fa9d8389f99592a0d5372a1516493b67fa9d8
44,LCR000044,30,365,1,7,70.2800,70.2800,45.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76273b74908255fc9884282cfd1d5c9c76273b74908255fc9884282cfd1d5c9c
45,LCR000045,8,126,4,5,71.6500,71.6500,46.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ff7587f514e5af6bb02a64d554a32f73ff7587f514e5af6bb02a64d554a32f7
46,LCR000046,16,31,1,3,73.0200,73.0200,47.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc443941bb9654a08b4c6d8d45c85709bc443941bb9654a08b4c6d8d45c85709
47,LCR000047,5,120,3,12,74.3900,74.3900,48.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b1008acb1e358c995f8b5055f2063334b1008acb1e358c995f8b5055f206333
48,LCR000048,32,185,5,10,75.7600,75.7600,49.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd950b4d55fb542ba537144311ce3123fd950b4d55fb542ba537144311ce3123
49,LCR000049,2,74,4,4,77.1300,77.1300,50.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df599024c839533085032248f3586fd4df599024c839533085032248f3586fd4
50,LCR000050,31,315,1,10,78.5000,78.5000,51.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37ab78e6a16055c883ac90e0a2454caf37ab78e6a16055c883ac90e0a2454caf
51,LCR000051,33,453,5,7,79.8700,79.8700,52.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96809bfc8f9e504ea76e8ebd3efa608196809bfc8f9e504ea76e8ebd3efa6081
52,LCR000052,18,116,2,11,81.2400,81.2400,53.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af80ea74cb565f9cb8e71e1d9312c245af80ea74cb565f9cb8e71e1d9312c245
53,LCR000053,33,52,4,9,82.6100,82.6100,54.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce8aec9750da50fd955fd0d1481d748cce8aec9750da50fd955fd0d1481d748c
54,LCR000054,13,460,2,8,83.9800,83.9800,55.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49395bab9ab752f08e3b6a86c3912b3349395bab9ab752f08e3b6a86c3912b33
55,LCR000055,31,213,5,1,85.3500,85.3500,56.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d082fc17b9ee5b7fab44338f431f6e2ad082fc17b9ee5b7fab44338f431f6e2a
56,LCR000056,13,31,1,4,86.7200,86.7200,57.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,151028e1b281599986b6482e322afb7f151028e1b281599986b6482e322afb7f
57,LCR000057,13,351,1,11,88.0900,88.0900,58.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0516957358f255629b782ed2bb5dca860516957358f255629b782ed2bb5dca86
58,LCR000058,13,387,3,2,89.4600,89.4600,59.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e07dcca31c43539a8c1bbc1c495c7884e07dcca31c43539a8c1bbc1c495c7884
59,LCR000059,22,269,5,2,90.8300,90.8300,60.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc618eb43e4e54fd81a5c24da6276368dc618eb43e4e54fd81a5c24da6276368
60,LCR000060,29,127,2,7,92.2000,92.2000,61.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38e3d2661b7856118e10df1998733e1038e3d2661b7856118e10df1998733e10
61,LCR000061,14,122,2,1,93.5700,93.5700,62.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8c910278dc75e14928e5216a32bdfb1e8c910278dc75e14928e5216a32bdfb1
62,LCR000062,13,138,2,4,94.9400,94.9400,63.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b048b4c8df19523ea26b3de5df4142d2b048b4c8df19523ea26b3de5df4142d2
63,LCR000063,3,73,3,8,96.3100,96.3100,64.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3af7a073e5f15f1c92843dfd983ec0bc3af7a073e5f15f1c92843dfd983ec0bc
64,LCR000064,30,256,1,8,97.6800,97.6800,65.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,829b5ea36f005debbc9f5ec128abb313829b5ea36f005debbc9f5ec128abb313
65,LCR000065,34,487,3,5,99.0500,99.0500,66.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bfda8cc829955cfbece0ce06c690d509bfda8cc829955cfbece0ce06c690d50
66,LCR000066,14,393,3,1,100.4200,100.4200,67.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d96cdf5a70bb553a99a0a93f519c9ccbd96cdf5a70bb553a99a0a93f519c9ccb
67,LCR000067,4,362,2,6,101.7900,101.7900,68.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99195d699e765c89a580a3ae27e5d11a99195d699e765c89a580a3ae27e5d11a
68,LCR000068,29,279,3,8,103.1600,103.1600,69.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e29cd6efb0f5908823b148b1aa028d17e29cd6efb0f5908823b148b1aa028d1
69,LCR000069,4,478,1,11,104.5300,104.5300,70.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d29a78b767f529284445df8ab2f33446d29a78b767f529284445df8ab2f3344
70,LCR000070,13,115,4,2,105.9000,105.9000,71.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,651e4752f657574cb40477f89ce051a0651e4752f657574cb40477f89ce051a0
71,LCR000071,21,244,4,6,107.2700,107.2700,72.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,900626cfd6c05394b78d4cc28cccbbab900626cfd6c05394b78d4cc28cccbbab
72,LCR000072,25,185,1,6,108.6400,108.6400,73.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4da3084807a5b73bd1bb6e11f106cb6c4da3084807a5b73bd1bb6e11f106cb6
73,LCR000073,8,16,2,8,110.0100,110.0100,74.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,486c6798eb2d595ea5dd4e5afc32ba54486c6798eb2d595ea5dd4e5afc32ba54
74,LCR000074,34,147,5,3,111.3800,111.3800,75.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7410620325725312aba70df4ced2a54d7410620325725312aba70df4ced2a54d
75,LCR000075,31,452,1,7,112.7500,112.7500,76.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7e88cc76c215d06a4fa610e31ac69b9c7e88cc76c215d06a4fa610e31ac69b9
76,LCR000076,13,324,1,11,114.1200,114.1200,77.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8560addd98cf54a190b0a239b2ad646f8560addd98cf54a190b0a239b2ad646f
77,LCR000077,11,469,5,7,115.4900,115.4900,78.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46a5ec4a44a35899a530f33d82273a8946a5ec4a44a35899a530f33d82273a89
78,LCR000078,9,236,4,9,116.8600,116.8600,79.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97045033b84055c4a89f3ad60b2fc4ff97045033b84055c4a89f3ad60b2fc4ff
79,LCR000079,34,367,1,11,118.2300,118.2300,80.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9b7b187c4065460ae6bc246d576a2c1c9b7b187c4065460ae6bc246d576a2c1
80,LCR000080,6,152,1,4,119.6000,119.6000,81.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65d432a24d965ecfabd41cf565e66da065d432a24d965ecfabd41cf565e66da0
81,LCR000081,12,3,4,4,120.9700,120.9700,82.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45a3af901ce655f2b8bc5488314a333545a3af901ce655f2b8bc5488314a3335
82,LCR000082,7,127,2,5,122.3400,122.3400,83.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7842650bb4b25213a0161ed1f81877c97842650bb4b25213a0161ed1f81877c9
83,LCR000083,31,396,2,6,123.7100,123.7100,84.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46ae8cb2efab5facbb1ff8a6b078ecc846ae8cb2efab5facbb1ff8a6b078ecc8
84,LCR000084,24,25,5,12,125.0800,125.0800,85.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2b76b65cec55588926ec77b9d89c560f2b76b65cec55588926ec77b9d89c560
85,LCR000085,8,304,1,2,126.4500,126.4500,86.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,393ab7b8f8ab508abf66e7837a618974393ab7b8f8ab508abf66e7837a618974
86,LCR000086,14,213,3,12,127.8200,127.8200,87.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be043b893e5a55cbad15d6316fa4f679be043b893e5a55cbad15d6316fa4f679
87,LCR000087,11,300,3,10,129.1900,129.1900,88.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c61c31fc0338576cac369f77185a67ccc61c31fc0338576cac369f77185a67cc
88,LCR000088,19,150,2,6,130.5600,130.5600,89.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3517821929359c6b40dbd89c81acc29e3517821929359c6b40dbd89c81acc29
89,LCR000089,7,321,2,2,131.9300,131.9300,90.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c6052561dca56c49deafa3503c3d6c66c6052561dca56c49deafa3503c3d6c6
90,LCR000090,25,248,4,9,133.3000,133.3000,91.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1593f0b3da1e5023bd49353f783f07021593f0b3da1e5023bd49353f783f0702
91,LCR000091,11,325,5,4,134.6700,134.6700,92.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc9a80a167755b0a9fce075401da9607fc9a80a167755b0a9fce075401da9607
92,LCR000092,3,287,5,10,136.0400,136.0400,93.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a14abc92c2805af3ac53cab5adafb6a1a14abc92c2805af3ac53cab5adafb6a1
93,LCR000093,11,121,4,8,137.4100,137.4100,94.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07ae2945d90359d494cf90cb069e965707ae2945d90359d494cf90cb069e9657
94,LCR000094,22,224,4,5,138.7800,138.7800,95.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1df9c7e3f37253b7ac87b5bed37687d61df9c7e3f37253b7ac87b5bed37687d6
95,LCR000095,30,309,2,5,140.1500,140.1500,96.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58cecfa102955715b7939675cf0670a458cecfa102955715b7939675cf0670a4
96,LCR000096,21,367,3,9,141.5200,141.5200,97.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d328fe45b0b25299b7566195fc707cc0d328fe45b0b25299b7566195fc707cc0
97,LCR000097,23,167,3,8,142.8900,142.8900,98.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9f4cf4da13759ac9d69a4e2ea4d5a92c9f4cf4da13759ac9d69a4e2ea4d5a92
98,LCR000098,14,216,5,1,144.2600,144.2600,99.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d619ceda863561a92ff437341ac3eee5d619ceda863561a92ff437341ac3eee
99,LCR000099,3,473,2,7,145.6300,145.6300,100.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de152bb2947155dcaae530c2c55bdd8ede152bb2947155dcaae530c2c55bdd8e
100,LCR000100,32,277,2,8,147.0000,147.0000,101.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc28ffd13a31506b9aee0bfb8a84ea5cbc28ffd13a31506b9aee0bfb8a84ea5c
101,LCR000101,3,335,2,6,148.3700,148.3700,102.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca5a7b3bd4ea5d77b6010f55ab1337b1ca5a7b3bd4ea5d77b6010f55ab1337b1
102,LCR000102,24,206,2,5,149.7400,149.7400,103.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,19158c7d89095ddb9bac60e195a05e9a19158c7d89095ddb9bac60e195a05e9a
103,LCR000103,19,473,5,1,151.1100,151.1100,104.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27bfb92cdfac5ac6ad2c2ed9fbc571a927bfb92cdfac5ac6ad2c2ed9fbc571a9
104,LCR000104,5,184,1,11,152.4800,152.4800,105.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f29662c259c35760975f20532cfb54adf29662c259c35760975f20532cfb54ad
105,LCR000105,31,337,3,4,153.8500,153.8500,106.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32df8cbf50e558dc90d6b2d2c94fbf3132df8cbf50e558dc90d6b2d2c94fbf31
106,LCR000106,17,291,2,7,155.2200,155.2200,107.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55e93c0d8fd955ae96660318589b1b7e55e93c0d8fd955ae96660318589b1b7e
107,LCR000107,15,183,4,12,156.5900,156.5900,108.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbca59749b665ffa87728973f5aafa80bbca59749b665ffa87728973f5aafa80
108,LCR000108,24,433,1,8,157.9600,157.9600,109.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,080b38163ce05222ba80b5a8b5b71a34080b38163ce05222ba80b5a8b5b71a34
109,LCR000109,7,72,5,12,159.3300,159.3300,110.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,79efb8fe98615108bed2ad8b81da81ee79efb8fe98615108bed2ad8b81da81ee
