BomHeaderKey,BomNumber,ProductKey,BomUsageCategoryKey,EngineeringLifecycleStatusKey,BomHeaderName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
13,BH000013,141,80,3,Willow BomHeader 13,BH000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11b230008d7f55b9848ed579210938e711b230008d7f55b9848ed579210938e7
14,BH000014,115,442,10,Willow BomHeader 14,BH000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93fdaf6cb9c35c219e1e37d61f56638093fdaf6cb9c35c219e1e37d61f566380
15,BH000015,154,109,2,Harbor BomHeader 15,BH000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba3b36d095285cd68954bc162e8119c5ba3b36d095285cd68954bc162e8119c5
16,BH000016,366,331,6,Junction BomHeader 16,BH000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2f1c177388e53cc982534f0b6eab334f2f1c177388e53cc982534f0b6eab334
17,BH000017,206,251,8,Meridian BomHeader 17,BH000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7288bc17a770541e80ef922c98f6ba147288bc17a770541e80ef922c98f6ba14
18,BH000018,390,91,9,Evergreen BomHeader 18,BH000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9416ac8b0e845bd48c7388c12bceb12d9416ac8b0e845bd48c7388c12bceb12d
19,BH000019,33,420,9,Ion BomHeader 19,BH000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3332403431995893af6063af79deaf483332403431995893af6063af79deaf48
20,BH000020,126,282,4,Summit BomHeader 20,BH000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6a67aefb6c45bb789acf621e3c6bee2d6a67aefb6c45bb789acf621e3c6bee2
21,BH000021,267,172,4,Willow BomHeader 21,BH000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc2ad6227593523a91ffe3c6bbcbc331bc2ad6227593523a91ffe3c6bbcbc331
22,BH000022,398,105,8,Liberty BomHeader 22,BH000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b9bd39a74915a3ebe2bbd014622ac600b9bd39a74915a3ebe2bbd014622ac60
23,BH000023,143,117,5,Harbor BomHeader 23,BH000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b13656ad2b05148b8a79fa87e3d33734b13656ad2b05148b8a79fa87e3d3373
24,BH000024,14,428,2,Evergreen BomHeader 24,BH000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f6c3a6949aa5e00a4112d9fb89aca460f6c3a6949aa5e00a4112d9fb89aca46
25,BH000025,346,429,5,Unity BomHeader 25,BH000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91a0b30a3ad35acc8ea2777a207d748d91a0b30a3ad35acc8ea2777a207d748d
26,BH000026,6,148,9,Beacon BomHeader 26,BH000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eec40a50b0a35705a90aaa0e3e81db69eec40a50b0a35705a90aaa0e3e81db69
27,BH000027,77,437,2,Quartz BomHeader 27,BH000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7323a8efc8c51e48f9675d62249b276a7323a8efc8c51e48f9675d62249b276
28,BH000028,152,296,9,Pioneer BomHeader 28,BH000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2040b0c0477e5d9393a78f6c99890e9a2040b0c0477e5d9393a78f6c99890e9a
29,BH000029,424,424,9,Titan BomHeader 29,BH000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bebe16a387aa5a099f9c0981e504ce1abebe16a387aa5a099f9c0981e504ce1a
30,BH000030,100,259,3,Delta BomHeader 30,BH000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cdd2409ad2e05b15a43036c685f3a5cccdd2409ad2e05b15a43036c685f3a5cc
31,BH000031,334,206,5,Orion BomHeader 31,BH000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb06cfa662675870aa956c186280d986cb06cfa662675870aa956c186280d986
32,BH000032,459,345,2,Forge BomHeader 32,BH000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f07d7a755614526ca0bd591f5392d1d3f07d7a755614526ca0bd591f5392d1d3
33,BH000033,378,376,6,Zenith BomHeader 33,BH000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3bfa93ef4e1c508990097d443da385513bfa93ef4e1c508990097d443da38551
34,BH000034,402,310,10,Vertex BomHeader 34,BH000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92be8b7f469150409980596b5b22430e92be8b7f469150409980596b5b22430e
35,BH000035,163,70,4,Willow BomHeader 35,BH000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bccd29427e745f3697ee857fb6850450bccd29427e745f3697ee857fb6850450
36,BH000036,228,26,3,Junction BomHeader 36,BH000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a10270b88412512b8bf85352acff64d7a10270b88412512b8bf85352acff64d7
37,BH000037,248,183,9,Willow BomHeader 37,BH000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5734ed8b366b54f1bf60834e4032b7215734ed8b366b54f1bf60834e4032b721
38,BH000038,40,241,7,Northstar BomHeader 38,BH000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aff2f8e2f4f65fdda7b86dcee1a6a42aaff2f8e2f4f65fdda7b86dcee1a6a42a
39,BH000039,166,301,1,Evergreen BomHeader 39,BH000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,888f1d3b2d265c3087a43194572ac7ca888f1d3b2d265c3087a43194572ac7ca
40,BH000040,67,189,6,Harbor BomHeader 40,BH000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e179b4a81bc55c5596fe475bacec1610e179b4a81bc55c5596fe475bacec1610
41,BH000041,332,60,8,Ion BomHeader 41,BH000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7cce26a09f665a858b22016c59f3cd507cce26a09f665a858b22016c59f3cd50
42,BH000042,274,170,8,Granite BomHeader 42,BH000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f7cf4b165d09534ea6b24774bafc0f43f7cf4b165d09534ea6b24774bafc0f43
43,BH000043,79,434,10,Northstar BomHeader 43,BH000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c409b4d7a675986be20df263162b8f62c409b4d7a675986be20df263162b8f6
44,BH000044,303,107,5,Evergreen BomHeader 44,BH000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b453a81757951c38c7b8237a9b8a0bd1b453a81757951c38c7b8237a9b8a0bd
45,BH000045,222,484,5,Willow BomHeader 45,BH000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd24f1b6f1765143811d0d5b1eb0fc01fd24f1b6f1765143811d0d5b1eb0fc01
46,BH000046,317,449,1,Ion BomHeader 46,BH000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a963474dc6aa5a9a9e0217ce8d41e64ca963474dc6aa5a9a9e0217ce8d41e64c
47,BH000047,457,268,7,Beacon BomHeader 47,BH000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4160626369356c5aa117a2d9e650139d4160626369356c5aa117a2d9e650139
48,BH000048,471,289,4,Keystone BomHeader 48,BH000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd930e5479c55f00b3e2ba209ae24755fd930e5479c55f00b3e2ba209ae24755
49,BH000049,29,456,8,Liberty BomHeader 49,BH000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e78c4a2bf0e851cc8b5179f52cda4ba7e78c4a2bf0e851cc8b5179f52cda4ba7
50,BH000050,318,299,4,Pioneer BomHeader 50,BH000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dec7296b000951a48607deb79d88fe98dec7296b000951a48607deb79d88fe98
51,BH000051,73,446,1,Forge BomHeader 51,BH000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b45513d57dd5383ab53e402346c963b1b45513d57dd5383ab53e402346c963b
52,BH000052,201,394,9,Delta BomHeader 52,BH000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0e2ae27ba9f5e9ca213bb89ea516665b0e2ae27ba9f5e9ca213bb89ea516665
53,BH000053,352,273,7,Summit BomHeader 53,BH000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c2f432a3c5950b98bee168c0d6b03f10c2f432a3c5950b98bee168c0d6b03f1
54,BH000054,49,456,3,Granite BomHeader 54,BH000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,895957a06cc85ad4a52006c05d187e50895957a06cc85ad4a52006c05d187e50
55,BH000055,137,409,3,Northstar BomHeader 55,BH000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2322b8962225378bc709126f4dc267bc2322b8962225378bc709126f4dc267b
56,BH000056,334,83,1,Delta BomHeader 56,BH000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c42f828e73ca51a6bdcc9401f46cd891c42f828e73ca51a6bdcc9401f46cd891
57,BH000057,142,360,6,Atlas BomHeader 57,BH000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7856ec7b1af53589d8d3c222cc320b3c7856ec7b1af53589d8d3c222cc320b3
58,BH000058,67,476,9,Meridian BomHeader 58,BH000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21fc859f08a45334beffd482caa65ea921fc859f08a45334beffd482caa65ea9
59,BH000059,73,494,3,Quartz BomHeader 59,BH000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6288c237f35c56c9aa15aaefcf3b26936288c237f35c56c9aa15aaefcf3b2693
60,BH000060,434,274,8,Meridian BomHeader 60,BH000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23ba81c0bbf05978ac1960c5a395324423ba81c0bbf05978ac1960c5a3953244
61,BH000061,383,260,3,Orion BomHeader 61,BH000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55654633d6e35cf7906559647cf1f31855654633d6e35cf7906559647cf1f318
62,BH000062,350,342,2,Northstar BomHeader 62,BH000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4a3e5ed7ec959b98c4ce7e7357fbbedc4a3e5ed7ec959b98c4ce7e7357fbbed
63,BH000063,323,56,4,Orion BomHeader 63,BH000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d6adfb167e8502ba8f41471ec2d02990d6adfb167e8502ba8f41471ec2d0299
64,BH000064,193,225,10,Ion BomHeader 64,BH000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ac8bbc73d30583ba6191346796f64b63ac8bbc73d30583ba6191346796f64b6
65,BH000065,242,138,5,Beacon BomHeader 65,BH000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8fdb804266f5a08abca5fc421873790b8fdb804266f5a08abca5fc421873790
66,BH000066,346,119,5,Quartz BomHeader 66,BH000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05d8581a5c535fcbb8d3081e916984f505d8581a5c535fcbb8d3081e916984f5
67,BH000067,50,497,4,Cedar BomHeader 67,BH000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,622d89c9d51e56f7a51a76862586669c622d89c9d51e56f7a51a76862586669c
68,BH000068,201,174,2,Vertex BomHeader 68,BH000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f64105262c9541386680d98c2d627482f64105262c9541386680d98c2d62748
69,BH000069,103,60,8,Granite BomHeader 69,BH000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6645689df1c057a2b09248963c481df46645689df1c057a2b09248963c481df4
70,BH000070,413,327,7,Keystone BomHeader 70,BH000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75f41b0525275eb79a6518633f0579c475f41b0525275eb79a6518633f0579c4
71,BH000071,111,175,2,Delta BomHeader 71,BH000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1499219646715933aeca98748d5d95df1499219646715933aeca98748d5d95df
72,BH000072,313,277,2,Zenith BomHeader 72,BH000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac160f1b1cc957ecab583a54c45fb383ac160f1b1cc957ecab583a54c45fb383
73,BH000073,169,438,8,Forge BomHeader 73,BH000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37286e257c9d578a82d90ab47d02196c37286e257c9d578a82d90ab47d02196c
74,BH000074,497,427,4,Beacon BomHeader 74,BH000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,643d8a127ee952a2914f796ecd206863643d8a127ee952a2914f796ecd206863
75,BH000075,161,450,5,Delta BomHeader 75,BH000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b108792a1ac6562eaaa6750cee7764f1b108792a1ac6562eaaa6750cee7764f1
76,BH000076,91,92,3,Quartz BomHeader 76,BH000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e5d5c8f47c751c28d5fc9f08866facc2e5d5c8f47c751c28d5fc9f08866facc
77,BH000077,237,44,7,Granite BomHeader 77,BH000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,849eba6ce650558fb22b75f907a49be0849eba6ce650558fb22b75f907a49be0
78,BH000078,158,356,6,Vertex BomHeader 78,BH000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22a24638aa865656aae0d8692fb93ec522a24638aa865656aae0d8692fb93ec5
79,BH000079,125,250,10,Atlas BomHeader 79,BH000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4176246b6ad56089de3ef3f4eb0ed8dc4176246b6ad56089de3ef3f4eb0ed8d
80,BH000080,182,350,5,Pioneer BomHeader 80,BH000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1089c45a14825580887115a08755afbc1089c45a14825580887115a08755afbc
81,BH000081,463,49,3,Harbor BomHeader 81,BH000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c45ca76e3632564bbe01a804a52abe63c45ca76e3632564bbe01a804a52abe63
82,BH000082,92,484,1,Cedar BomHeader 82,BH000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec44afbb186952f0acea637148d471c0ec44afbb186952f0acea637148d471c0
83,BH000083,132,277,8,Beacon BomHeader 83,BH000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c5226fea820a517392fa81226b80afe5c5226fea820a517392fa81226b80afe5
84,BH000084,54,6,9,Harbor BomHeader 84,BH000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebd05f1ce8c75ec080c4b026de6219c3ebd05f1ce8c75ec080c4b026de6219c3
85,BH000085,146,365,8,Willow BomHeader 85,BH000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3e197f39300596ea8cd756140a5bb8aa3e197f39300596ea8cd756140a5bb8a
86,BH000086,266,311,5,Cedar BomHeader 86,BH000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f164c531cf3453c5ac165a910eb7759ef164c531cf3453c5ac165a910eb7759e
87,BH000087,226,477,8,Northstar BomHeader 87,BH000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d93ae57eb3d35c32974447e72b1c063dd93ae57eb3d35c32974447e72b1c063d
88,BH000088,11,202,3,Granite BomHeader 88,BH000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,182c04ecfe205b9890157c5fe193bad8182c04ecfe205b9890157c5fe193bad8
89,BH000089,339,136,8,Orion BomHeader 89,BH000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3243fb6135c65a28bc9bfb2bf6dfbbb63243fb6135c65a28bc9bfb2bf6dfbbb6
90,BH000090,214,2,6,Cedar BomHeader 90,BH000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a83e590d717c5578b2d6998293b06c2ea83e590d717c5578b2d6998293b06c2e
91,BH000091,397,416,1,Willow BomHeader 91,BH000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7eb0c4cc47505791bc0eb99c74596fc37eb0c4cc47505791bc0eb99c74596fc3
92,BH000092,462,277,1,Quartz BomHeader 92,BH000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1bc486b1f2f58e9b7615ab6241c473be1bc486b1f2f58e9b7615ab6241c473b
93,BH000093,181,467,7,Pioneer BomHeader 93,BH000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a5a04abf3ce5b528a4a1549b1fb93132a5a04abf3ce5b528a4a1549b1fb9313
94,BH000094,193,109,10,Junction BomHeader 94,BH000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad89021dd7d8588f82a39e76919eb40fad89021dd7d8588f82a39e76919eb40f
95,BH000095,95,278,2,Forge BomHeader 95,BH000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26166ebdc11d5e659421aa0e51efc95426166ebdc11d5e659421aa0e51efc954
96,BH000096,451,487,9,Cedar BomHeader 96,BH000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5281caaf1425e03aee74e3c34ad2b83e5281caaf1425e03aee74e3c34ad2b83
97,BH000097,180,274,5,Granite BomHeader 97,BH000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fae4f3a17715502e9610f8966f250bcbfae4f3a17715502e9610f8966f250bcb
98,BH000098,260,389,6,Delta BomHeader 98,BH000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2224e68f028e5c7c88956f5cf2e951582224e68f028e5c7c88956f5cf2e95158
99,BH000099,449,273,3,Atlas BomHeader 99,BH000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6ad06523415538b927a2d48a73ecd8fd6ad06523415538b927a2d48a73ecd8f
100,BH000100,442,353,6,Granite BomHeader 100,BH000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a35f8d16750e5b1fbc048dca2ce30796a35f8d16750e5b1fbc048dca2ce30796
101,BH000101,387,5,8,Riverton BomHeader 101,BH000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e908ca5a8ab546e9ff9a113f9f78bb42e908ca5a8ab546e9ff9a113f9f78bb4
102,BH000102,411,152,2,Pioneer BomHeader 102,BH000102,1,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e913b13be275e928d039abf2ee5e4e00e913b13be275e928d039abf2ee5e4e0
103,BH000103,186,323,4,Liberty BomHeader 103,BH000103,1,151.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6bc0a1e09575f0890794b26629e9358f6bc0a1e09575f0890794b26629e9358
104,BH000104,204,261,6,Zenith BomHeader 104,BH000104,1,152.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,407b42f252bf5144a057a6ff0bcafd00407b42f252bf5144a057a6ff0bcafd00
