QualityCertificateAnalysisKey,CertificateAnalysisNumber,ProductKey,SupplierKey,QualityMethodProcedureKey,ComplianceStandardKey,ApprovalStatusKey,QualityCertificateAnalysisName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
20,QCA000020,159,294,237,10,5,Willow QualityCertificateAnalysis 20,QCA000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3075371ac46857a9b0cfbac1fc3b7e7c3075371ac46857a9b0cfbac1fc3b7e7c
21,QCA000021,116,416,118,3,1,Zenith QualityCertificateAnalysis 21,QCA000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b090fe0db8d7570ab3e4367aa7d1f240b090fe0db8d7570ab3e4367aa7d1f240
22,QCA000022,131,451,169,22,4,Evergreen QualityCertificateAnalysis 22,QCA000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b23d9c8be745e0baea74ae3c347641b1b23d9c8be745e0baea74ae3c347641b
23,QCA000023,14,403,102,9,5,Harbor QualityCertificateAnalysis 23,QCA000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8901bed8f54c5389bf136c6c3a1685198901bed8f54c5389bf136c6c3a168519
24,QCA000024,115,99,105,22,1,Delta QualityCertificateAnalysis 24,QCA000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,844aa6c49e005200b6e9575cdefa7823844aa6c49e005200b6e9575cdefa7823
25,QCA000025,133,126,138,11,3,Willow QualityCertificateAnalysis 25,QCA000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68172f86cffc5115a5308267836947c668172f86cffc5115a5308267836947c6
26,QCA000026,90,123,152,22,1,Forge QualityCertificateAnalysis 26,QCA000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0847d9d09b245c19b3f00f649d4b75590847d9d09b245c19b3f00f649d4b7559
27,QCA000027,404,187,170,18,3,Willow QualityCertificateAnalysis 27,QCA000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56397a8efaf45170bc3845e5db19ca3f56397a8efaf45170bc3845e5db19ca3f
28,QCA000028,355,419,239,11,3,Summit QualityCertificateAnalysis 28,QCA000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a0a1058d5d9e5351bacd9a29215d5dfea0a1058d5d9e5351bacd9a29215d5dfe
29,QCA000029,154,423,129,13,5,Willow QualityCertificateAnalysis 29,QCA000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3eccd73a36c155bfb810d348db97fcba3eccd73a36c155bfb810d348db97fcba
30,QCA000030,34,423,197,10,1,Evergreen QualityCertificateAnalysis 30,QCA000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7bce93fbead7529a841efbaa58d4b60c7bce93fbead7529a841efbaa58d4b60c
31,QCA000031,247,285,231,5,2,Northstar QualityCertificateAnalysis 31,QCA000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d70cc882b12587d9879924564d811442d70cc882b12587d9879924564d81144
32,QCA000032,129,460,99,5,3,Vertex QualityCertificateAnalysis 32,QCA000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,754d0b32a64a56ec9ffccb6257c320c7754d0b32a64a56ec9ffccb6257c320c7
33,QCA000033,444,130,32,25,3,Pioneer QualityCertificateAnalysis 33,QCA000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac219a44376e515984e90433d0ca19c5ac219a44376e515984e90433d0ca19c5
34,QCA000034,110,-1,140,11,3,Keystone QualityCertificateAnalysis 34,QCA000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df49edbefc245440b306fa583242baeddf49edbefc245440b306fa583242baed
35,QCA000035,475,21,47,12,5,Atlas QualityCertificateAnalysis 35,QCA000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4896e155dda56fe87931715cd8b4a49d4896e155dda56fe87931715cd8b4a49
36,QCA000036,414,340,179,10,2,Forge QualityCertificateAnalysis 36,QCA000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f62fea3db2d542ab4ddc6d25c5e53fe4f62fea3db2d542ab4ddc6d25c5e53fe
37,QCA000037,15,304,115,6,4,Vertex QualityCertificateAnalysis 37,QCA000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1bded63a1b525eb89475960083144a101bded63a1b525eb89475960083144a10
38,QCA000038,93,264,233,9,3,Harbor QualityCertificateAnalysis 38,QCA000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92ceb7c4ae8c5d5a9f155fed4aedcb9192ceb7c4ae8c5d5a9f155fed4aedcb91
39,QCA000039,469,106,160,15,3,Delta QualityCertificateAnalysis 39,QCA000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d52ed1d847c459579de183ee0656cfcdd52ed1d847c459579de183ee0656cfcd
40,QCA000040,283,358,151,21,3,Orion QualityCertificateAnalysis 40,QCA000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ff67f1061105d3b8d13c08640a6b0eb8ff67f1061105d3b8d13c08640a6b0eb
41,QCA000041,173,201,230,2,2,Riverton QualityCertificateAnalysis 41,QCA000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6151e0819b256a099fdb08ffebc5107e6151e0819b256a099fdb08ffebc5107
42,QCA000042,417,49,59,9,5,Northstar QualityCertificateAnalysis 42,QCA000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ce135839a775829b642c8af4d1bf1d20ce135839a775829b642c8af4d1bf1d2
43,QCA000043,200,85,133,25,1,Harbor QualityCertificateAnalysis 43,QCA000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4811b9fb11fd54f489d57ddbc765e1014811b9fb11fd54f489d57ddbc765e101
44,QCA000044,183,55,13,7,3,Harbor QualityCertificateAnalysis 44,QCA000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd9dcdabeea1576ba6427d5aee47bfebdd9dcdabeea1576ba6427d5aee47bfeb
45,QCA000045,251,391,96,18,4,Delta QualityCertificateAnalysis 45,QCA000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e94c1190f0e35c1d9fbc5991a4baa9e3e94c1190f0e35c1d9fbc5991a4baa9e3
46,QCA000046,318,158,208,22,2,Zenith QualityCertificateAnalysis 46,QCA000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cae0f205e58c50ccb1ef882fd1bba9cccae0f205e58c50ccb1ef882fd1bba9cc
47,QCA000047,266,111,215,4,5,Forge QualityCertificateAnalysis 47,QCA000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3cfecb824b9f584a827fbc554c7a5fab3cfecb824b9f584a827fbc554c7a5fab
48,QCA000048,411,216,35,9,1,Quartz QualityCertificateAnalysis 48,QCA000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7eb9e506ec395af490b7a4ddce0643fa7eb9e506ec395af490b7a4ddce0643fa
49,QCA000049,459,360,44,19,2,Willow QualityCertificateAnalysis 49,QCA000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec0bde46f8b55ddd98ae508578955a14ec0bde46f8b55ddd98ae508578955a14
50,QCA000050,106,168,85,14,4,Unity QualityCertificateAnalysis 50,QCA000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83749da08cb95590a789b489663f93eb83749da08cb95590a789b489663f93eb
51,QCA000051,374,-1,184,11,4,Pioneer QualityCertificateAnalysis 51,QCA000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3cfb94837819546eae3e908a33473a2d3cfb94837819546eae3e908a33473a2d
52,QCA000052,8,168,91,9,2,Riverton QualityCertificateAnalysis 52,QCA000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea9527c200165e0c9b61981f76c51f02ea9527c200165e0c9b61981f76c51f02
53,QCA000053,273,351,124,17,2,Northstar QualityCertificateAnalysis 53,QCA000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d7f50166c505c5a8e9387bf283a9a6f6d7f50166c505c5a8e9387bf283a9a6f
54,QCA000054,361,237,183,8,1,Vertex QualityCertificateAnalysis 54,QCA000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,edb3849c14585a5ba1958a3bcdc80095edb3849c14585a5ba1958a3bcdc80095
55,QCA000055,281,60,168,21,4,Titan QualityCertificateAnalysis 55,QCA000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7c1483163f15d9080b30610e0f092ccc7c1483163f15d9080b30610e0f092cc
56,QCA000056,5,118,232,24,4,Granite QualityCertificateAnalysis 56,QCA000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,069806f1b0495604899941bfc7b06653069806f1b0495604899941bfc7b06653
57,QCA000057,296,257,218,24,5,Riverton QualityCertificateAnalysis 57,QCA000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad401ad683eb5dd789adcd380947c1dbad401ad683eb5dd789adcd380947c1db
58,QCA000058,115,78,24,23,3,Riverton QualityCertificateAnalysis 58,QCA000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23b996789cfa5af48f83c6f0dd167dfb23b996789cfa5af48f83c6f0dd167dfb
59,QCA000059,389,472,139,9,5,Ion QualityCertificateAnalysis 59,QCA000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ba1d32dbf67520b8d79abcfae9841467ba1d32dbf67520b8d79abcfae984146
60,QCA000060,499,314,122,24,5,Cedar QualityCertificateAnalysis 60,QCA000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb8643ff054b5484a5e076a533e3d913eb8643ff054b5484a5e076a533e3d913
61,QCA000061,256,34,118,13,2,Orion QualityCertificateAnalysis 61,QCA000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1008338ae7015e0cb55f52a7bf00af031008338ae7015e0cb55f52a7bf00af03
62,QCA000062,21,210,122,6,4,Willow QualityCertificateAnalysis 62,QCA000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d336a0682dd1541ebfc2850b4ea88fb6d336a0682dd1541ebfc2850b4ea88fb6
63,QCA000063,225,317,91,18,5,Pioneer QualityCertificateAnalysis 63,QCA000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da5ccf0871dc52069547cbf0e255f827da5ccf0871dc52069547cbf0e255f827
64,QCA000064,17,137,178,24,5,Keystone QualityCertificateAnalysis 64,QCA000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e073c494357d58a1bbdcdb6f6ca45bdae073c494357d58a1bbdcdb6f6ca45bda
65,QCA000065,486,276,33,20,1,Delta QualityCertificateAnalysis 65,QCA000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e914f37736f9585fb6044205cb39e234e914f37736f9585fb6044205cb39e234
66,QCA000066,58,468,9,11,3,Evergreen QualityCertificateAnalysis 66,QCA000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7aac090ade1b55bfa132875bde29ae0f7aac090ade1b55bfa132875bde29ae0f
67,QCA000067,89,95,237,9,2,Ion QualityCertificateAnalysis 67,QCA000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cbec2c7d9d9f59069f56ba82b451e3dbcbec2c7d9d9f59069f56ba82b451e3db
68,QCA000068,492,-1,177,2,3,Quartz QualityCertificateAnalysis 68,QCA000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a2acbf823605eaf8efbb7e6f54e6ce75a2acbf823605eaf8efbb7e6f54e6ce7
69,QCA000069,133,262,239,7,4,Ion QualityCertificateAnalysis 69,QCA000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7384b8b5e6465c7c9d0bc5dcb0695af17384b8b5e6465c7c9d0bc5dcb0695af1
70,QCA000070,212,111,100,11,3,Evergreen QualityCertificateAnalysis 70,QCA000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1614c77efd6e52f9add674d21f7ee9ff1614c77efd6e52f9add674d21f7ee9ff
71,QCA000071,172,434,220,19,2,Evergreen QualityCertificateAnalysis 71,QCA000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68c3cf415cfe5228b65293ae9e600b6668c3cf415cfe5228b65293ae9e600b66
72,QCA000072,148,101,192,1,2,Meridian QualityCertificateAnalysis 72,QCA000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b93a38eb44b5982bff569d83e8e5f209b93a38eb44b5982bff569d83e8e5f20
73,QCA000073,449,78,23,17,1,Summit QualityCertificateAnalysis 73,QCA000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,62202739ed7e5fb6a79f0b27b2b1e88562202739ed7e5fb6a79f0b27b2b1e885
74,QCA000074,395,267,41,17,2,Summit QualityCertificateAnalysis 74,QCA000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49c1e5d5a3f15463bea6c43ad059ea0a49c1e5d5a3f15463bea6c43ad059ea0a
75,QCA000075,277,399,166,16,1,Forge QualityCertificateAnalysis 75,QCA000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a45a5217923509aadf04049320f4d875a45a5217923509aadf04049320f4d87
76,QCA000076,190,271,22,10,2,Harbor QualityCertificateAnalysis 76,QCA000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a06cfbf902e0512b8e7ddb77cfa2be9fa06cfbf902e0512b8e7ddb77cfa2be9f
77,QCA000077,149,39,222,20,4,Ion QualityCertificateAnalysis 77,QCA000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d47f7bf43ed55b5a2e558a71b58e2da6d47f7bf43ed55b5a2e558a71b58e2da
78,QCA000078,40,125,100,19,4,Pioneer QualityCertificateAnalysis 78,QCA000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d962e9fb5dec5f5c90b68a555a76127fd962e9fb5dec5f5c90b68a555a76127f
79,QCA000079,321,28,103,21,5,Meridian QualityCertificateAnalysis 79,QCA000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa2eb74b4c635357a32d756cd613bf28fa2eb74b4c635357a32d756cd613bf28
80,QCA000080,412,353,215,14,3,Liberty QualityCertificateAnalysis 80,QCA000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1cb2ddf98b6e5ddba846cad1b5a29f5b1cb2ddf98b6e5ddba846cad1b5a29f5b
81,QCA000081,107,428,120,18,5,Junction QualityCertificateAnalysis 81,QCA000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,456722363feb57049c213a17066f027b456722363feb57049c213a17066f027b
82,QCA000082,235,23,240,4,4,Orion QualityCertificateAnalysis 82,QCA000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d980ded43cb0592f9de045c1d63ae75cd980ded43cb0592f9de045c1d63ae75c
83,QCA000083,29,108,169,23,2,Riverton QualityCertificateAnalysis 83,QCA000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d51eb1c16f235740b53bb5dc7718e691d51eb1c16f235740b53bb5dc7718e691
84,QCA000084,210,282,38,1,4,Beacon QualityCertificateAnalysis 84,QCA000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b28035cbaf0555dba2b5b25cecedaaedb28035cbaf0555dba2b5b25cecedaaed
85,QCA000085,330,-1,54,4,2,Harbor QualityCertificateAnalysis 85,QCA000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf275b4e6c5553dd9df3fc47d6804899cf275b4e6c5553dd9df3fc47d6804899
86,QCA000086,14,387,9,12,3,Meridian QualityCertificateAnalysis 86,QCA000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b96ab8bff018542f9588607ef6fba970b96ab8bff018542f9588607ef6fba970
87,QCA000087,160,360,228,25,3,Beacon QualityCertificateAnalysis 87,QCA000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce2abfceeed7524e9c4eb7310871386dce2abfceeed7524e9c4eb7310871386d
88,QCA000088,254,330,192,17,4,Evergreen QualityCertificateAnalysis 88,QCA000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a456e05ed7d542c9e021db1c3c5daf23a456e05ed7d542c9e021db1c3c5daf2
89,QCA000089,241,488,127,13,5,Liberty QualityCertificateAnalysis 89,QCA000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bbce409855b5ff8b3914b4a7b9a0da44bbce409855b5ff8b3914b4a7b9a0da4
90,QCA000090,317,376,155,10,4,Vertex QualityCertificateAnalysis 90,QCA000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9a7d264cfc059cfa6bd501c487d5e88a9a7d264cfc059cfa6bd501c487d5e88
91,QCA000091,435,218,164,17,2,Zenith QualityCertificateAnalysis 91,QCA000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7078ac1cf43555cbd2a24d741fac990b7078ac1cf43555cbd2a24d741fac990
92,QCA000092,13,467,53,11,5,Atlas QualityCertificateAnalysis 92,QCA000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4596ff4496c5579d910db6cfb7d7a5b84596ff4496c5579d910db6cfb7d7a5b8
93,QCA000093,344,54,37,5,4,Harbor QualityCertificateAnalysis 93,QCA000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be0232a69c105de9b5b042971b438573be0232a69c105de9b5b042971b438573
