TimeOfDayKey,ShiftCodeKey,TimeValue,HourNumber,MinuteNumber,SecondNumber,MinuteOfDayNumber,SecondOfDayNumber,AmPmCode,HourBucketName,ShiftBucketName,IsBusinessHour,DisplayTime,SourceSystemKey,BatchId,LoadedAtUtc
3180,1,00:53:00,0,53,0,53,3180,AM,00:00-00:59,Night,0,12:53 AM,1,1,2026-08-24T00:00:00.000
3240,1,00:54:00,0,54,0,54,3240,AM,00:00-00:59,Night,0,12:54 AM,1,1,2026-08-24T00:00:00.000
3300,1,00:55:00,0,55,0,55,3300,AM,00:00-00:59,Night,0,12:55 AM,1,1,2026-08-24T00:00:00.000
3360,1,00:56:00,0,56,0,56,3360,AM,00:00-00:59,Night,0,12:56 AM,1,1,2026-08-24T00:00:00.000
3420,1,00:57:00,0,57,0,57,3420,AM,00:00-00:59,Night,0,12:57 AM,1,1,2026-08-24T00:00:00.000
3480,1,00:58:00,0,58,0,58,3480,AM,00:00-00:59,Night,0,12:58 AM,1,1,2026-08-24T00:00:00.000
3540,1,00:59:00,0,59,0,59,3540,AM,00:00-00:59,Night,0,12:59 AM,1,1,2026-08-24T00:00:00.000
3600,1,01:00:00,1,0,0,60,3600,AM,01:00-01:59,Night,0,01:00 AM,1,1,2026-08-24T00:00:00.000
3660,1,01:01:00,1,1,0,61,3660,AM,01:00-01:59,Night,0,01:01 AM,1,1,2026-08-24T00:00:00.000
3720,1,01:02:00,1,2,0,62,3720,AM,01:00-01:59,Night,0,01:02 AM,1,1,2026-08-24T00:00:00.000
3780,1,01:03:00,1,3,0,63,3780,AM,01:00-01:59,Night,0,01:03 AM,1,1,2026-08-24T00:00:00.000
3840,1,01:04:00,1,4,0,64,3840,AM,01:00-01:59,Night,0,01:04 AM,1,1,2026-08-24T00:00:00.000
3900,1,01:05:00,1,5,0,65,3900,AM,01:00-01:59,Night,0,01:05 AM,1,1,2026-08-24T00:00:00.000
3960,1,01:06:00,1,6,0,66,3960,AM,01:00-01:59,Night,0,01:06 AM,1,1,2026-08-24T00:00:00.000
4020,1,01:07:00,1,7,0,67,4020,AM,01:00-01:59,Night,0,01:07 AM,1,1,2026-08-24T00:00:00.000
4080,1,01:08:00,1,8,0,68,4080,AM,01:00-01:59,Night,0,01:08 AM,1,1,2026-08-24T00:00:00.000
4140,1,01:09:00,1,9,0,69,4140,AM,01:00-01:59,Night,0,01:09 AM,1,1,2026-08-24T00:00:00.000
4200,1,01:10:00,1,10,0,70,4200,AM,01:00-01:59,Night,0,01:10 AM,1,1,2026-08-24T00:00:00.000
4260,1,01:11:00,1,11,0,71,4260,AM,01:00-01:59,Night,0,01:11 AM,1,1,2026-08-24T00:00:00.000
4320,1,01:12:00,1,12,0,72,4320,AM,01:00-01:59,Night,0,01:12 AM,1,1,2026-08-24T00:00:00.000
4380,1,01:13:00,1,13,0,73,4380,AM,01:00-01:59,Night,0,01:13 AM,1,1,2026-08-24T00:00:00.000
4440,1,01:14:00,1,14,0,74,4440,AM,01:00-01:59,Night,0,01:14 AM,1,1,2026-08-24T00:00:00.000
4500,1,01:15:00,1,15,0,75,4500,AM,01:00-01:59,Night,0,01:15 AM,1,1,2026-08-24T00:00:00.000
4560,1,01:16:00,1,16,0,76,4560,AM,01:00-01:59,Night,0,01:16 AM,1,1,2026-08-24T00:00:00.000
4620,1,01:17:00,1,17,0,77,4620,AM,01:00-01:59,Night,0,01:17 AM,1,1,2026-08-24T00:00:00.000
4680,1,01:18:00,1,18,0,78,4680,AM,01:00-01:59,Night,0,01:18 AM,1,1,2026-08-24T00:00:00.000
4740,1,01:19:00,1,19,0,79,4740,AM,01:00-01:59,Night,0,01:19 AM,1,1,2026-08-24T00:00:00.000
4800,1,01:20:00,1,20,0,80,4800,AM,01:00-01:59,Night,0,01:20 AM,1,1,2026-08-24T00:00:00.000
4860,1,01:21:00,1,21,0,81,4860,AM,01:00-01:59,Night,0,01:21 AM,1,1,2026-08-24T00:00:00.000
4920,1,01:22:00,1,22,0,82,4920,AM,01:00-01:59,Night,0,01:22 AM,1,1,2026-08-24T00:00:00.000
4980,1,01:23:00,1,23,0,83,4980,AM,01:00-01:59,Night,0,01:23 AM,1,1,2026-08-24T00:00:00.000
5040,1,01:24:00,1,24,0,84,5040,AM,01:00-01:59,Night,0,01:24 AM,1,1,2026-08-24T00:00:00.000
5100,1,01:25:00,1,25,0,85,5100,AM,01:00-01:59,Night,0,01:25 AM,1,1,2026-08-24T00:00:00.000
5160,1,01:26:00,1,26,0,86,5160,AM,01:00-01:59,Night,0,01:26 AM,1,1,2026-08-24T00:00:00.000
5220,1,01:27:00,1,27,0,87,5220,AM,01:00-01:59,Night,0,01:27 AM,1,1,2026-08-24T00:00:00.000
5280,1,01:28:00,1,28,0,88,5280,AM,01:00-01:59,Night,0,01:28 AM,1,1,2026-08-24T00:00:00.000
5340,1,01:29:00,1,29,0,89,5340,AM,01:00-01:59,Night,0,01:29 AM,1,1,2026-08-24T00:00:00.000
5400,1,01:30:00,1,30,0,90,5400,AM,01:00-01:59,Night,0,01:30 AM,1,1,2026-08-24T00:00:00.000
5460,1,01:31:00,1,31,0,91,5460,AM,01:00-01:59,Night,0,01:31 AM,1,1,2026-08-24T00:00:00.000
5520,1,01:32:00,1,32,0,92,5520,AM,01:00-01:59,Night,0,01:32 AM,1,1,2026-08-24T00:00:00.000
5580,1,01:33:00,1,33,0,93,5580,AM,01:00-01:59,Night,0,01:33 AM,1,1,2026-08-24T00:00:00.000
5640,1,01:34:00,1,34,0,94,5640,AM,01:00-01:59,Night,0,01:34 AM,1,1,2026-08-24T00:00:00.000
5700,1,01:35:00,1,35,0,95,5700,AM,01:00-01:59,Night,0,01:35 AM,1,1,2026-08-24T00:00:00.000
5760,1,01:36:00,1,36,0,96,5760,AM,01:00-01:59,Night,0,01:36 AM,1,1,2026-08-24T00:00:00.000
5820,1,01:37:00,1,37,0,97,5820,AM,01:00-01:59,Night,0,01:37 AM,1,1,2026-08-24T00:00:00.000
5880,1,01:38:00,1,38,0,98,5880,AM,01:00-01:59,Night,0,01:38 AM,1,1,2026-08-24T00:00:00.000
5940,1,01:39:00,1,39,0,99,5940,AM,01:00-01:59,Night,0,01:39 AM,1,1,2026-08-24T00:00:00.000
6000,1,01:40:00,1,40,0,100,6000,AM,01:00-01:59,Night,0,01:40 AM,1,1,2026-08-24T00:00:00.000
6060,1,01:41:00,1,41,0,101,6060,AM,01:00-01:59,Night,0,01:41 AM,1,1,2026-08-24T00:00:00.000
6120,1,01:42:00,1,42,0,102,6120,AM,01:00-01:59,Night,0,01:42 AM,1,1,2026-08-24T00:00:00.000
6180,1,01:43:00,1,43,0,103,6180,AM,01:00-01:59,Night,0,01:43 AM,1,1,2026-08-24T00:00:00.000
6240,1,01:44:00,1,44,0,104,6240,AM,01:00-01:59,Night,0,01:44 AM,1,1,2026-08-24T00:00:00.000
6300,1,01:45:00,1,45,0,105,6300,AM,01:00-01:59,Night,0,01:45 AM,1,1,2026-08-24T00:00:00.000
6360,1,01:46:00,1,46,0,106,6360,AM,01:00-01:59,Night,0,01:46 AM,1,1,2026-08-24T00:00:00.000
6420,1,01:47:00,1,47,0,107,6420,AM,01:00-01:59,Night,0,01:47 AM,1,1,2026-08-24T00:00:00.000
6480,1,01:48:00,1,48,0,108,6480,AM,01:00-01:59,Night,0,01:48 AM,1,1,2026-08-24T00:00:00.000
6540,1,01:49:00,1,49,0,109,6540,AM,01:00-01:59,Night,0,01:49 AM,1,1,2026-08-24T00:00:00.000
6600,1,01:50:00,1,50,0,110,6600,AM,01:00-01:59,Night,0,01:50 AM,1,1,2026-08-24T00:00:00.000
6660,1,01:51:00,1,51,0,111,6660,AM,01:00-01:59,Night,0,01:51 AM,1,1,2026-08-24T00:00:00.000
6720,1,01:52:00,1,52,0,112,6720,AM,01:00-01:59,Night,0,01:52 AM,1,1,2026-08-24T00:00:00.000
6780,1,01:53:00,1,53,0,113,6780,AM,01:00-01:59,Night,0,01:53 AM,1,1,2026-08-24T00:00:00.000
6840,1,01:54:00,1,54,0,114,6840,AM,01:00-01:59,Night,0,01:54 AM,1,1,2026-08-24T00:00:00.000
6900,1,01:55:00,1,55,0,115,6900,AM,01:00-01:59,Night,0,01:55 AM,1,1,2026-08-24T00:00:00.000
6960,1,01:56:00,1,56,0,116,6960,AM,01:00-01:59,Night,0,01:56 AM,1,1,2026-08-24T00:00:00.000
7020,1,01:57:00,1,57,0,117,7020,AM,01:00-01:59,Night,0,01:57 AM,1,1,2026-08-24T00:00:00.000
7080,1,01:58:00,1,58,0,118,7080,AM,01:00-01:59,Night,0,01:58 AM,1,1,2026-08-24T00:00:00.000
7140,1,01:59:00,1,59,0,119,7140,AM,01:00-01:59,Night,0,01:59 AM,1,1,2026-08-24T00:00:00.000
7200,1,02:00:00,2,0,0,120,7200,AM,02:00-02:59,Night,0,02:00 AM,1,1,2026-08-24T00:00:00.000
7260,1,02:01:00,2,1,0,121,7260,AM,02:00-02:59,Night,0,02:01 AM,1,1,2026-08-24T00:00:00.000
7320,1,02:02:00,2,2,0,122,7320,AM,02:00-02:59,Night,0,02:02 AM,1,1,2026-08-24T00:00:00.000
7380,1,02:03:00,2,3,0,123,7380,AM,02:00-02:59,Night,0,02:03 AM,1,1,2026-08-24T00:00:00.000
7440,1,02:04:00,2,4,0,124,7440,AM,02:00-02:59,Night,0,02:04 AM,1,1,2026-08-24T00:00:00.000
7500,1,02:05:00,2,5,0,125,7500,AM,02:00-02:59,Night,0,02:05 AM,1,1,2026-08-24T00:00:00.000
7560,1,02:06:00,2,6,0,126,7560,AM,02:00-02:59,Night,0,02:06 AM,1,1,2026-08-24T00:00:00.000
7620,1,02:07:00,2,7,0,127,7620,AM,02:00-02:59,Night,0,02:07 AM,1,1,2026-08-24T00:00:00.000
7680,1,02:08:00,2,8,0,128,7680,AM,02:00-02:59,Night,0,02:08 AM,1,1,2026-08-24T00:00:00.000
7740,1,02:09:00,2,9,0,129,7740,AM,02:00-02:59,Night,0,02:09 AM,1,1,2026-08-24T00:00:00.000
7800,1,02:10:00,2,10,0,130,7800,AM,02:00-02:59,Night,0,02:10 AM,1,1,2026-08-24T00:00:00.000
7860,1,02:11:00,2,11,0,131,7860,AM,02:00-02:59,Night,0,02:11 AM,1,1,2026-08-24T00:00:00.000
7920,1,02:12:00,2,12,0,132,7920,AM,02:00-02:59,Night,0,02:12 AM,1,1,2026-08-24T00:00:00.000
7980,1,02:13:00,2,13,0,133,7980,AM,02:00-02:59,Night,0,02:13 AM,1,1,2026-08-24T00:00:00.000
8040,1,02:14:00,2,14,0,134,8040,AM,02:00-02:59,Night,0,02:14 AM,1,1,2026-08-24T00:00:00.000
8100,1,02:15:00,2,15,0,135,8100,AM,02:00-02:59,Night,0,02:15 AM,1,1,2026-08-24T00:00:00.000
8160,1,02:16:00,2,16,0,136,8160,AM,02:00-02:59,Night,0,02:16 AM,1,1,2026-08-24T00:00:00.000
8220,1,02:17:00,2,17,0,137,8220,AM,02:00-02:59,Night,0,02:17 AM,1,1,2026-08-24T00:00:00.000
8280,1,02:18:00,2,18,0,138,8280,AM,02:00-02:59,Night,0,02:18 AM,1,1,2026-08-24T00:00:00.000
8340,1,02:19:00,2,19,0,139,8340,AM,02:00-02:59,Night,0,02:19 AM,1,1,2026-08-24T00:00:00.000
8400,1,02:20:00,2,20,0,140,8400,AM,02:00-02:59,Night,0,02:20 AM,1,1,2026-08-24T00:00:00.000
8460,1,02:21:00,2,21,0,141,8460,AM,02:00-02:59,Night,0,02:21 AM,1,1,2026-08-24T00:00:00.000
8520,1,02:22:00,2,22,0,142,8520,AM,02:00-02:59,Night,0,02:22 AM,1,1,2026-08-24T00:00:00.000
8580,1,02:23:00,2,23,0,143,8580,AM,02:00-02:59,Night,0,02:23 AM,1,1,2026-08-24T00:00:00.000
8640,1,02:24:00,2,24,0,144,8640,AM,02:00-02:59,Night,0,02:24 AM,1,1,2026-08-24T00:00:00.000
8700,1,02:25:00,2,25,0,145,8700,AM,02:00-02:59,Night,0,02:25 AM,1,1,2026-08-24T00:00:00.000
8760,1,02:26:00,2,26,0,146,8760,AM,02:00-02:59,Night,0,02:26 AM,1,1,2026-08-24T00:00:00.000
8820,1,02:27:00,2,27,0,147,8820,AM,02:00-02:59,Night,0,02:27 AM,1,1,2026-08-24T00:00:00.000
8880,1,02:28:00,2,28,0,148,8880,AM,02:00-02:59,Night,0,02:28 AM,1,1,2026-08-24T00:00:00.000
8940,1,02:29:00,2,29,0,149,8940,AM,02:00-02:59,Night,0,02:29 AM,1,1,2026-08-24T00:00:00.000
9000,1,02:30:00,2,30,0,150,9000,AM,02:00-02:59,Night,0,02:30 AM,1,1,2026-08-24T00:00:00.000
9060,1,02:31:00,2,31,0,151,9060,AM,02:00-02:59,Night,0,02:31 AM,1,1,2026-08-24T00:00:00.000
9120,1,02:32:00,2,32,0,152,9120,AM,02:00-02:59,Night,0,02:32 AM,1,1,2026-08-24T00:00:00.000
9180,1,02:33:00,2,33,0,153,9180,AM,02:00-02:59,Night,0,02:33 AM,1,1,2026-08-24T00:00:00.000
9240,1,02:34:00,2,34,0,154,9240,AM,02:00-02:59,Night,0,02:34 AM,1,1,2026-08-24T00:00:00.000
9300,1,02:35:00,2,35,0,155,9300,AM,02:00-02:59,Night,0,02:35 AM,1,1,2026-08-24T00:00:00.000
9360,1,02:36:00,2,36,0,156,9360,AM,02:00-02:59,Night,0,02:36 AM,1,1,2026-08-24T00:00:00.000
9420,1,02:37:00,2,37,0,157,9420,AM,02:00-02:59,Night,0,02:37 AM,1,1,2026-08-24T00:00:00.000
9480,1,02:38:00,2,38,0,158,9480,AM,02:00-02:59,Night,0,02:38 AM,1,1,2026-08-24T00:00:00.000
9540,1,02:39:00,2,39,0,159,9540,AM,02:00-02:59,Night,0,02:39 AM,1,1,2026-08-24T00:00:00.000
9600,1,02:40:00,2,40,0,160,9600,AM,02:00-02:59,Night,0,02:40 AM,1,1,2026-08-24T00:00:00.000
9660,1,02:41:00,2,41,0,161,9660,AM,02:00-02:59,Night,0,02:41 AM,1,1,2026-08-24T00:00:00.000
9720,1,02:42:00,2,42,0,162,9720,AM,02:00-02:59,Night,0,02:42 AM,1,1,2026-08-24T00:00:00.000
9780,1,02:43:00,2,43,0,163,9780,AM,02:00-02:59,Night,0,02:43 AM,1,1,2026-08-24T00:00:00.000
9840,1,02:44:00,2,44,0,164,9840,AM,02:00-02:59,Night,0,02:44 AM,1,1,2026-08-24T00:00:00.000
9900,1,02:45:00,2,45,0,165,9900,AM,02:00-02:59,Night,0,02:45 AM,1,1,2026-08-24T00:00:00.000
9960,1,02:46:00,2,46,0,166,9960,AM,02:00-02:59,Night,0,02:46 AM,1,1,2026-08-24T00:00:00.000
10020,1,02:47:00,2,47,0,167,10020,AM,02:00-02:59,Night,0,02:47 AM,1,1,2026-08-24T00:00:00.000
10080,1,02:48:00,2,48,0,168,10080,AM,02:00-02:59,Night,0,02:48 AM,1,1,2026-08-24T00:00:00.000
10140,1,02:49:00,2,49,0,169,10140,AM,02:00-02:59,Night,0,02:49 AM,1,1,2026-08-24T00:00:00.000
10200,1,02:50:00,2,50,0,170,10200,AM,02:00-02:59,Night,0,02:50 AM,1,1,2026-08-24T00:00:00.000
10260,1,02:51:00,2,51,0,171,10260,AM,02:00-02:59,Night,0,02:51 AM,1,1,2026-08-24T00:00:00.000
10320,1,02:52:00,2,52,0,172,10320,AM,02:00-02:59,Night,0,02:52 AM,1,1,2026-08-24T00:00:00.000
10380,1,02:53:00,2,53,0,173,10380,AM,02:00-02:59,Night,0,02:53 AM,1,1,2026-08-24T00:00:00.000
10440,1,02:54:00,2,54,0,174,10440,AM,02:00-02:59,Night,0,02:54 AM,1,1,2026-08-24T00:00:00.000
10500,1,02:55:00,2,55,0,175,10500,AM,02:00-02:59,Night,0,02:55 AM,1,1,2026-08-24T00:00:00.000
10560,1,02:56:00,2,56,0,176,10560,AM,02:00-02:59,Night,0,02:56 AM,1,1,2026-08-24T00:00:00.000
10620,1,02:57:00,2,57,0,177,10620,AM,02:00-02:59,Night,0,02:57 AM,1,1,2026-08-24T00:00:00.000
10680,1,02:58:00,2,58,0,178,10680,AM,02:00-02:59,Night,0,02:58 AM,1,1,2026-08-24T00:00:00.000
10740,1,02:59:00,2,59,0,179,10740,AM,02:00-02:59,Night,0,02:59 AM,1,1,2026-08-24T00:00:00.000
10800,1,03:00:00,3,0,0,180,10800,AM,03:00-03:59,Night,0,03:00 AM,1,1,2026-08-24T00:00:00.000
10860,1,03:01:00,3,1,0,181,10860,AM,03:00-03:59,Night,0,03:01 AM,1,1,2026-08-24T00:00:00.000
10920,1,03:02:00,3,2,0,182,10920,AM,03:00-03:59,Night,0,03:02 AM,1,1,2026-08-24T00:00:00.000
10980,1,03:03:00,3,3,0,183,10980,AM,03:00-03:59,Night,0,03:03 AM,1,1,2026-08-24T00:00:00.000
11040,1,03:04:00,3,4,0,184,11040,AM,03:00-03:59,Night,0,03:04 AM,1,1,2026-08-24T00:00:00.000
11100,1,03:05:00,3,5,0,185,11100,AM,03:00-03:59,Night,0,03:05 AM,1,1,2026-08-24T00:00:00.000
11160,1,03:06:00,3,6,0,186,11160,AM,03:00-03:59,Night,0,03:06 AM,1,1,2026-08-24T00:00:00.000
11220,1,03:07:00,3,7,0,187,11220,AM,03:00-03:59,Night,0,03:07 AM,1,1,2026-08-24T00:00:00.000
11280,1,03:08:00,3,8,0,188,11280,AM,03:00-03:59,Night,0,03:08 AM,1,1,2026-08-24T00:00:00.000
11340,1,03:09:00,3,9,0,189,11340,AM,03:00-03:59,Night,0,03:09 AM,1,1,2026-08-24T00:00:00.000
11400,1,03:10:00,3,10,0,190,11400,AM,03:00-03:59,Night,0,03:10 AM,1,1,2026-08-24T00:00:00.000
11460,1,03:11:00,3,11,0,191,11460,AM,03:00-03:59,Night,0,03:11 AM,1,1,2026-08-24T00:00:00.000
11520,1,03:12:00,3,12,0,192,11520,AM,03:00-03:59,Night,0,03:12 AM,1,1,2026-08-24T00:00:00.000
11580,1,03:13:00,3,13,0,193,11580,AM,03:00-03:59,Night,0,03:13 AM,1,1,2026-08-24T00:00:00.000
11640,1,03:14:00,3,14,0,194,11640,AM,03:00-03:59,Night,0,03:14 AM,1,1,2026-08-24T00:00:00.000
11700,1,03:15:00,3,15,0,195,11700,AM,03:00-03:59,Night,0,03:15 AM,1,1,2026-08-24T00:00:00.000
11760,1,03:16:00,3,16,0,196,11760,AM,03:00-03:59,Night,0,03:16 AM,1,1,2026-08-24T00:00:00.000
11820,1,03:17:00,3,17,0,197,11820,AM,03:00-03:59,Night,0,03:17 AM,1,1,2026-08-24T00:00:00.000
11880,1,03:18:00,3,18,0,198,11880,AM,03:00-03:59,Night,0,03:18 AM,1,1,2026-08-24T00:00:00.000
11940,1,03:19:00,3,19,0,199,11940,AM,03:00-03:59,Night,0,03:19 AM,1,1,2026-08-24T00:00:00.000
12000,1,03:20:00,3,20,0,200,12000,AM,03:00-03:59,Night,0,03:20 AM,1,1,2026-08-24T00:00:00.000
12060,1,03:21:00,3,21,0,201,12060,AM,03:00-03:59,Night,0,03:21 AM,1,1,2026-08-24T00:00:00.000
12120,1,03:22:00,3,22,0,202,12120,AM,03:00-03:59,Night,0,03:22 AM,1,1,2026-08-24T00:00:00.000
12180,1,03:23:00,3,23,0,203,12180,AM,03:00-03:59,Night,0,03:23 AM,1,1,2026-08-24T00:00:00.000
12240,1,03:24:00,3,24,0,204,12240,AM,03:00-03:59,Night,0,03:24 AM,1,1,2026-08-24T00:00:00.000
12300,1,03:25:00,3,25,0,205,12300,AM,03:00-03:59,Night,0,03:25 AM,1,1,2026-08-24T00:00:00.000
12360,1,03:26:00,3,26,0,206,12360,AM,03:00-03:59,Night,0,03:26 AM,1,1,2026-08-24T00:00:00.000
12420,1,03:27:00,3,27,0,207,12420,AM,03:00-03:59,Night,0,03:27 AM,1,1,2026-08-24T00:00:00.000
12480,1,03:28:00,3,28,0,208,12480,AM,03:00-03:59,Night,0,03:28 AM,1,1,2026-08-24T00:00:00.000
12540,1,03:29:00,3,29,0,209,12540,AM,03:00-03:59,Night,0,03:29 AM,1,1,2026-08-24T00:00:00.000
12600,1,03:30:00,3,30,0,210,12600,AM,03:00-03:59,Night,0,03:30 AM,1,1,2026-08-24T00:00:00.000
12660,1,03:31:00,3,31,0,211,12660,AM,03:00-03:59,Night,0,03:31 AM,1,1,2026-08-24T00:00:00.000
12720,1,03:32:00,3,32,0,212,12720,AM,03:00-03:59,Night,0,03:32 AM,1,1,2026-08-24T00:00:00.000
12780,1,03:33:00,3,33,0,213,12780,AM,03:00-03:59,Night,0,03:33 AM,1,1,2026-08-24T00:00:00.000
