MaintenanceWorkRequestKey,WorkRequestNumber,AssetKey,PlantKey,RequesterEmployeeKey,PriorityKey,MaintenanceWorkTypeKey,MaintenanceOrderStatusKey,MaintenanceWorkRequestName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
28,MWR000028,48,78,151,4,2,10,Granite MaintenanceWorkRequest 28,MWR000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef303544129c55fd8ce345f384b95624ef303544129c55fd8ce345f384b95624
29,MWR000029,416,140,399,3,7,7,Summit MaintenanceWorkRequest 29,MWR000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,085ab42e875b5d01b0f6fc7b30df0bb5085ab42e875b5d01b0f6fc7b30df0bb5
30,MWR000030,140,240,32,1,10,6,Ion MaintenanceWorkRequest 30,MWR000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25fa8732247f582083fb2985ce9a509425fa8732247f582083fb2985ce9a5094
31,MWR000031,22,305,111,3,7,7,Summit MaintenanceWorkRequest 31,MWR000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34aea0cea06655c4a780212c4929461034aea0cea06655c4a780212c49294610
32,MWR000032,9,170,450,2,12,4,Liberty MaintenanceWorkRequest 32,MWR000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12a933bad3b25fefb4a9d0bbb76e944e12a933bad3b25fefb4a9d0bbb76e944e
33,MWR000033,435,342,399,5,12,10,Harbor MaintenanceWorkRequest 33,MWR000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5168499c77a35b4bac376c5ca157fc5a5168499c77a35b4bac376c5ca157fc5a
34,MWR000034,86,344,-1,5,7,7,Willow MaintenanceWorkRequest 34,MWR000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3756583bdfeb51679c17a4ac366614273756583bdfeb51679c17a4ac36661427
35,MWR000035,257,166,396,2,7,1,Titan MaintenanceWorkRequest 35,MWR000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f55204f586f45682ba3da3e6948b4ab4f55204f586f45682ba3da3e6948b4ab4
36,MWR000036,461,292,48,5,10,7,Harbor MaintenanceWorkRequest 36,MWR000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,08b5229a173456d29fbc294029db8fc008b5229a173456d29fbc294029db8fc0
37,MWR000037,392,7,55,1,4,8,Summit MaintenanceWorkRequest 37,MWR000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a8e8c27a09135fe4ac06f01b33ad9593a8e8c27a09135fe4ac06f01b33ad9593
38,MWR000038,48,11,258,1,2,4,Beacon MaintenanceWorkRequest 38,MWR000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30115dd2dfb458719b0a979307721f9430115dd2dfb458719b0a979307721f94
39,MWR000039,371,184,44,1,4,11,Liberty MaintenanceWorkRequest 39,MWR000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2365bd4aa34c5306b57227fc74a7c0832365bd4aa34c5306b57227fc74a7c083
40,MWR000040,379,230,413,4,9,6,Cedar MaintenanceWorkRequest 40,MWR000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,684c3713768f5b918a364aee3b26731a684c3713768f5b918a364aee3b26731a
41,MWR000041,364,185,493,3,9,5,Orion MaintenanceWorkRequest 41,MWR000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0452dbb01e2759fd98770157b80cd35c0452dbb01e2759fd98770157b80cd35c
42,MWR000042,315,37,358,1,6,5,Meridian MaintenanceWorkRequest 42,MWR000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c16779cd3871592cb4e1b73440fa5517c16779cd3871592cb4e1b73440fa5517
43,MWR000043,213,275,97,4,6,8,Atlas MaintenanceWorkRequest 43,MWR000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,18caf86fd4795c398cb560e3d22c269a18caf86fd4795c398cb560e3d22c269a
44,MWR000044,491,264,488,4,5,7,Northstar MaintenanceWorkRequest 44,MWR000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9578b98ab13c54c28a92aca105ac2d239578b98ab13c54c28a92aca105ac2d23
45,MWR000045,209,235,341,5,8,5,Delta MaintenanceWorkRequest 45,MWR000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1976382e5bfd5764a16890817f002d5d1976382e5bfd5764a16890817f002d5d
46,MWR000046,323,295,183,2,10,7,Willow MaintenanceWorkRequest 46,MWR000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,180b4deb31655526947b1e6b303ead17180b4deb31655526947b1e6b303ead17
47,MWR000047,133,37,438,5,2,12,Cedar MaintenanceWorkRequest 47,MWR000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d0177c539cc586d896c568d7e4357131d0177c539cc586d896c568d7e435713
48,MWR000048,62,186,46,2,7,2,Evergreen MaintenanceWorkRequest 48,MWR000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a9e04170fc95f22b7941d337b260e7a7a9e04170fc95f22b7941d337b260e7a
49,MWR000049,284,142,292,3,7,7,Riverton MaintenanceWorkRequest 49,MWR000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32ca8486d9b053eda92d075a636d353732ca8486d9b053eda92d075a636d3537
50,MWR000050,277,144,234,3,8,4,Ion MaintenanceWorkRequest 50,MWR000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63a6a8a02a185318aad3c50c366c132163a6a8a02a185318aad3c50c366c1321
51,MWR000051,401,211,-1,5,2,9,Northstar MaintenanceWorkRequest 51,MWR000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa2b8a148bdf5c05af880c8dfaae1a89fa2b8a148bdf5c05af880c8dfaae1a89
52,MWR000052,181,135,377,4,7,5,Atlas MaintenanceWorkRequest 52,MWR000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a92f48cf8635ebfa119ef75e129e9a05a92f48cf8635ebfa119ef75e129e9a0
53,MWR000053,418,93,248,3,4,2,Unity MaintenanceWorkRequest 53,MWR000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d889ad5a9b575cbe85a7b9d4220c7bbfd889ad5a9b575cbe85a7b9d4220c7bbf
54,MWR000054,417,244,85,3,1,12,Evergreen MaintenanceWorkRequest 54,MWR000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8b76b489af0752dd912a0f297a9b9d168b76b489af0752dd912a0f297a9b9d16
55,MWR000055,279,188,263,2,7,9,Atlas MaintenanceWorkRequest 55,MWR000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e65d4a9237c57498af42b2cf7c23cb81e65d4a9237c57498af42b2cf7c23cb8
56,MWR000056,282,30,110,2,8,1,Keystone MaintenanceWorkRequest 56,MWR000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5740487f0fae595b90dbd6c0235215135740487f0fae595b90dbd6c023521513
57,MWR000057,148,46,161,2,12,10,Vertex MaintenanceWorkRequest 57,MWR000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf95509eeedb509bb0e55e3aed99cf89cf95509eeedb509bb0e55e3aed99cf89
58,MWR000058,173,333,451,3,3,6,Meridian MaintenanceWorkRequest 58,MWR000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30e54cdbcd28557392e0f45887d8c84830e54cdbcd28557392e0f45887d8c848
59,MWR000059,431,53,274,5,6,9,Keystone MaintenanceWorkRequest 59,MWR000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,10d51af81b3a50279e5c2f323da53d3c10d51af81b3a50279e5c2f323da53d3c
60,MWR000060,447,189,53,5,11,1,Harbor MaintenanceWorkRequest 60,MWR000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed515796fc6e5005a19b2761ff40c912ed515796fc6e5005a19b2761ff40c912
61,MWR000061,500,15,414,1,12,2,Vertex MaintenanceWorkRequest 61,MWR000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1163ab93ea715def8cee5e2898f1dde01163ab93ea715def8cee5e2898f1dde0
62,MWR000062,405,56,343,3,3,8,Orion MaintenanceWorkRequest 62,MWR000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80ae54bba97a57d18a00554ecac2ec7c80ae54bba97a57d18a00554ecac2ec7c
63,MWR000063,338,125,300,1,8,11,Atlas MaintenanceWorkRequest 63,MWR000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e2ff869a7845367b5e690b4d455b7372e2ff869a7845367b5e690b4d455b737
64,MWR000064,353,114,175,3,7,11,Unity MaintenanceWorkRequest 64,MWR000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d85013bc958b5ffa98674914fd2b8c40d85013bc958b5ffa98674914fd2b8c40
65,MWR000065,348,100,26,5,2,11,Northstar MaintenanceWorkRequest 65,MWR000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74348c16d6835eb2a2587497fd3b23fb74348c16d6835eb2a2587497fd3b23fb
66,MWR000066,161,117,462,3,1,6,Ion MaintenanceWorkRequest 66,MWR000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd6bd4152bf25a4fae7492498a8ec2e2fd6bd4152bf25a4fae7492498a8ec2e2
67,MWR000067,456,135,378,3,1,6,Harbor MaintenanceWorkRequest 67,MWR000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82a42c6b41c55608971995df75ee5ac082a42c6b41c55608971995df75ee5ac0
68,MWR000068,488,312,-1,1,1,11,Forge MaintenanceWorkRequest 68,MWR000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9320b7aa697b5e1194d44d50adbeea1b9320b7aa697b5e1194d44d50adbeea1b
69,MWR000069,321,46,436,2,11,2,Evergreen MaintenanceWorkRequest 69,MWR000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c42ba4e861945345b14952a4722f6310c42ba4e861945345b14952a4722f6310
70,MWR000070,274,112,85,1,10,8,Junction MaintenanceWorkRequest 70,MWR000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6fd64f0bc8025d0ebb11bb46fcce95596fd64f0bc8025d0ebb11bb46fcce9559
71,MWR000071,226,163,244,4,9,1,Meridian MaintenanceWorkRequest 71,MWR000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,580f36ab9a2253dbbc58d1c24672837f580f36ab9a2253dbbc58d1c24672837f
72,MWR000072,57,142,230,3,12,2,Summit MaintenanceWorkRequest 72,MWR000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54df64f4928754f1bacebf705b15dc4654df64f4928754f1bacebf705b15dc46
73,MWR000073,466,88,376,2,9,2,Keystone MaintenanceWorkRequest 73,MWR000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e7c8a849a6254718e6269c25cb8f41d1e7c8a849a6254718e6269c25cb8f41d
74,MWR000074,187,171,180,4,8,1,Unity MaintenanceWorkRequest 74,MWR000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ec6a30d774f55eda9ece8eb4ec821615ec6a30d774f55eda9ece8eb4ec82161
75,MWR000075,56,275,169,2,10,9,Atlas MaintenanceWorkRequest 75,MWR000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6dc3173b2b2c5e15b004696bf75f30e16dc3173b2b2c5e15b004696bf75f30e1
76,MWR000076,304,115,488,4,9,9,Keystone MaintenanceWorkRequest 76,MWR000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3a7784d9b9451348a859e4acf6bc8cdc3a7784d9b9451348a859e4acf6bc8cd
77,MWR000077,263,65,386,2,6,3,Willow MaintenanceWorkRequest 77,MWR000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4ffb9e692b45d5cba52e9c4d42bb573b4ffb9e692b45d5cba52e9c4d42bb573
78,MWR000078,227,299,90,1,7,8,Quartz MaintenanceWorkRequest 78,MWR000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3fca511c232534496cdddf6380a3233b3fca511c232534496cdddf6380a3233
79,MWR000079,200,309,162,1,12,9,Atlas MaintenanceWorkRequest 79,MWR000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1bc1e11a9d8854beb8cbf5e49965ff081bc1e11a9d8854beb8cbf5e49965ff08
80,MWR000080,74,32,23,5,4,4,Pioneer MaintenanceWorkRequest 80,MWR000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c77705098dcd5f57b148bb5552d9b2e0c77705098dcd5f57b148bb5552d9b2e0
81,MWR000081,448,296,6,2,12,4,Delta MaintenanceWorkRequest 81,MWR000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4cd3c5ec4d735b10b74be771e6e3227e4cd3c5ec4d735b10b74be771e6e3227e
82,MWR000082,470,286,238,2,3,3,Liberty MaintenanceWorkRequest 82,MWR000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86e4eee9c3665832b5d3dc2b5f4a028886e4eee9c3665832b5d3dc2b5f4a0288
83,MWR000083,499,106,189,3,7,8,Cedar MaintenanceWorkRequest 83,MWR000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,326c7e873e9152f68258e56e8cb62991326c7e873e9152f68258e56e8cb62991
84,MWR000084,316,104,141,3,4,9,Unity MaintenanceWorkRequest 84,MWR000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0a8b65ea9e7523fbbec69edc9749a46e0a8b65ea9e7523fbbec69edc9749a46
85,MWR000085,169,230,-1,2,5,4,Delta MaintenanceWorkRequest 85,MWR000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8ae09aff0b35801813f2c743bab0057c8ae09aff0b35801813f2c743bab0057
86,MWR000086,379,75,90,3,5,7,Ion MaintenanceWorkRequest 86,MWR000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff62cc48ca805fcabffcbf069ecfd5baff62cc48ca805fcabffcbf069ecfd5ba
87,MWR000087,137,222,77,5,10,3,Riverton MaintenanceWorkRequest 87,MWR000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f4af366bb3f6570abb71c64eb3e52a93f4af366bb3f6570abb71c64eb3e52a93
88,MWR000088,270,79,345,3,10,2,Unity MaintenanceWorkRequest 88,MWR000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9bd8df6d4825af4957ba864b464dfb0a9bd8df6d4825af4957ba864b464dfb0
89,MWR000089,137,192,382,2,8,3,Northstar MaintenanceWorkRequest 89,MWR000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17c976a3e62f53af926ab4bc9fab0d4017c976a3e62f53af926ab4bc9fab0d40
90,MWR000090,262,131,127,1,2,10,Forge MaintenanceWorkRequest 90,MWR000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09c2eb12072c59b4bda73f5308ed3aaf09c2eb12072c59b4bda73f5308ed3aaf
91,MWR000091,196,259,245,2,8,2,Pioneer MaintenanceWorkRequest 91,MWR000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87bc438bfdfa5f42a248b979903d22f587bc438bfdfa5f42a248b979903d22f5
92,MWR000092,320,28,2,5,3,10,Junction MaintenanceWorkRequest 92,MWR000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b8bdd98cf835f18914566471a50fafd9b8bdd98cf835f18914566471a50fafd
93,MWR000093,25,324,375,1,3,9,Unity MaintenanceWorkRequest 93,MWR000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4af46e81dce45e3188e51fde8b0711894af46e81dce45e3188e51fde8b071189
