AssetKey,AssetNumber,SiteKey,AssetModelKey,AssetCriticalityKey,ParentAssetKey,AssetStatusKey,MaintenanceStrategyKey,UnitOfMeasureKey,RecordStatusKey,AssetName,AssetDescription,SerialNumber,InstallationDate,CommissionedDate,RetirementDate,ReplacementCostAmount,NameplateCapacityValue,WarrantyEndDate,SafetyCriticalFlag,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
32,A000032,162,128,3,-1,2,5,2,2,Pioneer Asset 32,Asset starter record 32,A000032,2020-02-02,2020-02-02,2021-02-01,53.8400,53.8400,2021-02-01,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6fef1d4cbfe5a56a6a70877cc54111af6fef1d4cbfe5a56a6a70877cc54111a
33,A000033,252,66,3,-1,10,10,3,1,Riverton Asset 33,Asset starter record 33,A000033,2020-02-03,2020-02-03,2021-02-02,55.2100,55.2100,2021-02-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31bc34a08f5651e8bb880132cf1cdf9731bc34a08f5651e8bb880132cf1cdf97
34,A000034,116,455,3,-1,15,7,6,2,Pioneer Asset 34,Asset starter record 34,A000034,2020-02-04,2020-02-04,2021-02-03,56.5800,56.5800,2021-02-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df00a2aa017856aba1be56fad4863754df00a2aa017856aba1be56fad4863754
35,A000035,401,73,6,-1,11,3,5,3,Junction Asset 35,Asset starter record 35,A000035,2020-02-05,2020-02-05,2021-02-04,57.9500,57.9500,2021-02-04,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8aa6ee6ad6a95d7f828a6a62a48e5cfa8aa6ee6ad6a95d7f828a6a62a48e5cfa
36,A000036,239,216,8,-1,12,6,2,3,Willow Asset 36,Asset starter record 36,A000036,2020-02-06,2020-02-06,2021-02-05,59.3200,59.3200,2021-02-05,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6bde79b1320c55cd86c03591a5fb3d8f6bde79b1320c55cd86c03591a5fb3d8f
37,A000037,360,500,7,-1,15,5,4,1,Orion Asset 37,Asset starter record 37,A000037,2020-02-07,2020-02-07,2021-02-06,60.6900,60.6900,2021-02-06,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f35039d208ab5c31b298e0fc99af8557f35039d208ab5c31b298e0fc99af8557
38,A000038,352,331,1,-1,4,6,3,4,Orion Asset 38,Asset starter record 38,A000038,2020-02-08,2020-02-08,2021-02-07,62.0600,62.0600,2021-02-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fdc71aa269d578da5605f0bdbf85cf97fdc71aa269d578da5605f0bdbf85cf9
39,A000039,72,187,7,-1,5,10,2,1,Evergreen Asset 39,Asset starter record 39,A000039,2020-02-09,2020-02-09,2021-02-08,63.4300,63.4300,2021-02-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f77a1dc3f8c858fe83a7a43bcde42d92f77a1dc3f8c858fe83a7a43bcde42d92
40,A000040,236,101,10,-1,3,8,4,2,Cedar Asset 40,Asset starter record 40,A000040,2020-02-10,2020-02-10,2021-02-09,64.8000,64.8000,2021-02-09,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,716a98b0b07d5c24a2dc7e98a9a044ff716a98b0b07d5c24a2dc7e98a9a044ff
41,A000041,31,24,1,-1,11,1,2,3,Titan Asset 41,Asset starter record 41,A000041,2020-02-11,2020-02-11,2021-02-10,66.1700,66.1700,2021-02-10,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c7602b7dd5f5985a4039b4836de00fa1c7602b7dd5f5985a4039b4836de00fa
42,A000042,486,473,3,-1,5,10,1,2,Delta Asset 42,Asset starter record 42,A000042,2020-02-12,2020-02-12,2021-02-11,67.5400,67.5400,2021-02-11,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14367ee18c0954e1ab5a4a833e1744fd14367ee18c0954e1ab5a4a833e1744fd
43,A000043,421,112,9,-1,3,4,5,1,Titan Asset 43,Asset starter record 43,A000043,2020-02-13,2020-02-13,2021-02-12,68.9100,68.9100,2021-02-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cffc3f191f1a5929bdb5986e1d5c7e4dcffc3f191f1a5929bdb5986e1d5c7e4d
44,A000044,244,239,3,-1,8,1,3,1,Meridian Asset 44,Asset starter record 44,A000044,2020-02-14,2020-02-14,2021-02-13,70.2800,70.2800,2021-02-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6fb6008479775d1c962bf17932457f6a6fb6008479775d1c962bf17932457f6a
45,A000045,15,98,7,-1,14,1,2,1,Orion Asset 45,Asset starter record 45,A000045,2020-02-15,2020-02-15,2021-02-14,71.6500,71.6500,2021-02-14,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ee40698a3695f1087e038b7724d56263ee40698a3695f1087e038b7724d5626
46,A000046,272,287,8,-1,14,5,4,1,Pioneer Asset 46,Asset starter record 46,A000046,2020-02-16,2020-02-16,2021-02-15,73.0200,73.0200,2021-02-15,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a0fbd6edb88518ba5407b20b1c4d9941a0fbd6edb88518ba5407b20b1c4d994
47,A000047,200,269,1,-1,1,8,6,4,Pioneer Asset 47,Asset starter record 47,A000047,2020-02-17,2020-02-17,2021-02-16,74.3900,74.3900,2021-02-16,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e24dc98d84aa562f818b31acce44995ce24dc98d84aa562f818b31acce44995c
48,A000048,188,233,9,-1,3,9,1,4,Forge Asset 48,Asset starter record 48,A000048,2020-02-18,2020-02-18,2021-02-17,75.7600,75.7600,2021-02-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc4c10db7d7d58058eee627258f3d0d6bc4c10db7d7d58058eee627258f3d0d6
49,A000049,412,228,4,-1,15,8,4,4,Atlas Asset 49,Asset starter record 49,A000049,2020-02-19,2020-02-19,2021-02-18,77.1300,77.1300,2021-02-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d53596b22ef55fff996587fe14f57e3ed53596b22ef55fff996587fe14f57e3e
50,A000050,114,186,7,-1,4,10,5,4,Unity Asset 50,Asset starter record 50,A000050,2020-02-20,2020-02-20,2021-02-19,78.5000,78.5000,2021-02-19,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d72a3fb125465a30ba1096081189b26bd72a3fb125465a30ba1096081189b26b
51,A000051,421,490,9,-1,7,10,3,3,Vertex Asset 51,Asset starter record 51,A000051,2020-02-21,2020-02-21,2021-02-20,79.8700,79.8700,2021-02-20,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8892775452c250f3a29e0faacedaa7048892775452c250f3a29e0faacedaa704
52,A000052,82,390,5,-1,11,1,6,3,Atlas Asset 52,Asset starter record 52,A000052,2020-02-22,2020-02-22,2021-02-21,81.2400,81.2400,2021-02-21,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5773e88bbf15c01b4846a219822b891f5773e88bbf15c01b4846a219822b891
53,A000053,188,76,2,-1,15,5,6,3,Granite Asset 53,Asset starter record 53,A000053,2020-02-23,2020-02-23,2021-02-22,82.6100,82.6100,2021-02-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a75c84dea24e5aca8aba430a19ce6111a75c84dea24e5aca8aba430a19ce6111
54,A000054,286,213,3,-1,10,2,4,2,Willow Asset 54,Asset starter record 54,A000054,2020-02-24,2020-02-24,2021-02-23,83.9800,83.9800,2021-02-23,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,752f80b0e1485c628ffc23e9fed9ee3a752f80b0e1485c628ffc23e9fed9ee3a
55,A000055,304,40,8,-1,4,10,3,4,Zenith Asset 55,Asset starter record 55,A000055,2020-02-25,2020-02-25,2021-02-24,85.3500,85.3500,2021-02-24,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,522b67fa4f3e5052beee670df9863a3c522b67fa4f3e5052beee670df9863a3c
56,A000056,292,166,8,-1,13,9,4,1,Quartz Asset 56,Asset starter record 56,A000056,2020-02-26,2020-02-26,2021-02-25,86.7200,86.7200,2021-02-25,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a01e6821b40a5e7796fbd3f33267220ba01e6821b40a5e7796fbd3f33267220b
57,A000057,381,400,10,-1,12,5,7,1,Junction Asset 57,Asset starter record 57,A000057,2020-02-27,2020-02-27,2021-02-26,88.0900,88.0900,2021-02-26,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39e2b456e00b53ca8175a4ac6c3cd27539e2b456e00b53ca8175a4ac6c3cd275
58,A000058,96,277,7,-1,11,9,5,3,Orion Asset 58,Asset starter record 58,A000058,2020-02-28,2020-02-28,2021-02-27,89.4600,89.4600,2021-02-27,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ee14557ae965881abdffaa33881887b1ee14557ae965881abdffaa33881887b
59,A000059,287,227,5,-1,5,5,6,3,Liberty Asset 59,Asset starter record 59,A000059,2020-02-29,2020-02-29,2021-02-28,90.8300,90.8300,2021-02-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,330708b05d9e53128d4677a13725bda9330708b05d9e53128d4677a13725bda9
60,A000060,489,54,4,-1,9,2,6,1,Unity Asset 60,Asset starter record 60,A000060,2020-03-01,2020-03-01,2021-03-01,92.2000,92.2000,2021-03-01,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d537b249f9d52c5a7823f81fe845dbd6d537b249f9d52c5a7823f81fe845dbd
61,A000061,160,413,2,-1,3,1,6,4,Evergreen Asset 61,Asset starter record 61,A000061,2020-03-02,2020-03-02,2021-03-02,93.5700,93.5700,2021-03-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bffdb6a20676545ca678a99d7217c6a7bffdb6a20676545ca678a99d7217c6a7
62,A000062,230,146,8,-1,8,7,3,1,Forge Asset 62,Asset starter record 62,A000062,2020-03-03,2020-03-03,2021-03-03,94.9400,94.9400,2021-03-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9fe4141b2de65f1d900741da0a02fd8d9fe4141b2de65f1d900741da0a02fd8d
63,A000063,338,7,4,-1,4,1,6,4,Beacon Asset 63,Asset starter record 63,A000063,2020-03-04,2020-03-04,2021-03-04,96.3100,96.3100,2021-03-04,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f003b9d8b415e8a8e4ff75a8b615bfd7f003b9d8b415e8a8e4ff75a8b615bfd
64,A000064,307,315,9,-1,14,8,6,1,Liberty Asset 64,Asset starter record 64,A000064,2020-03-05,2020-03-05,2021-03-05,97.6800,97.6800,2021-03-05,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab494896fd5e52f787bca4ea998f49afab494896fd5e52f787bca4ea998f49af
65,A000065,36,460,7,-1,9,8,1,2,Zenith Asset 65,Asset starter record 65,A000065,2020-03-06,2020-03-06,2021-03-06,99.0500,99.0500,2021-03-06,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3281593f38458af9698d6ea69ddc0dec3281593f38458af9698d6ea69ddc0de
66,A000066,361,290,7,-1,13,4,2,4,Quartz Asset 66,Asset starter record 66,A000066,2020-03-07,2020-03-07,2021-03-07,100.4200,100.4200,2021-03-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b04b932e71a854e3a0f9c072293c22f2b04b932e71a854e3a0f9c072293c22f2
67,A000067,14,224,9,-1,11,9,4,1,Zenith Asset 67,Asset starter record 67,A000067,2020-03-08,2020-03-08,2021-03-08,101.7900,101.7900,2021-03-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e8b377517925d48883cfd805e1974770e8b377517925d48883cfd805e197477
68,A000068,301,265,5,-1,16,6,7,3,Quartz Asset 68,Asset starter record 68,A000068,2020-03-09,2020-03-09,2021-03-09,103.1600,103.1600,2021-03-09,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09c13194d1ae58ceab3cb93b728f89d809c13194d1ae58ceab3cb93b728f89d8
69,A000069,245,298,3,-1,13,2,7,3,Orion Asset 69,Asset starter record 69,A000069,2020-03-10,2020-03-10,2021-03-10,104.5300,104.5300,2021-03-10,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,990ea7892a785ceea57cfbea3053161a990ea7892a785ceea57cfbea3053161a
70,A000070,353,9,7,-1,12,3,5,4,Titan Asset 70,Asset starter record 70,A000070,2020-03-11,2020-03-11,2021-03-11,105.9000,105.9000,2021-03-11,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50c1202d64375cf78c54722d8480091950c1202d64375cf78c54722d84800919
71,A000071,25,341,5,-1,5,10,2,1,Unity Asset 71,Asset starter record 71,A000071,2020-03-12,2020-03-12,2021-03-12,107.2700,107.2700,2021-03-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88fda49bc1b8582abc899789c045897188fda49bc1b8582abc899789c0458971
72,A000072,95,234,10,-1,5,6,6,2,Meridian Asset 72,Asset starter record 72,A000072,2020-03-13,2020-03-13,2021-03-13,108.6400,108.6400,2021-03-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d11fc1e5e2155dfbf852465643562756d11fc1e5e2155dfbf85246564356275
73,A000073,16,484,7,-1,7,4,5,1,Delta Asset 73,Asset starter record 73,A000073,2020-03-14,2020-03-14,2021-03-14,110.0100,110.0100,2021-03-14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25da11521c96572484de312c1d0ecf6f25da11521c96572484de312c1d0ecf6f
74,A000074,500,406,3,-1,15,5,4,4,Evergreen Asset 74,Asset starter record 74,A000074,2020-03-15,2020-03-15,2021-03-15,111.3800,111.3800,2021-03-15,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9423da41ebb7507da58308f6b75b0df99423da41ebb7507da58308f6b75b0df9
