FinanceMarketSegmentKey,FinanceMarketSegmentCode,FinanceProfitSegmentKey,FinanceMarketSegmentName,SourceSystemKey,BatchId,LoadedAtUtc
54,FMS000054,6,Riverton FinanceMarketSegment 54,1,1,2026-08-24T00:00:00.000
55,FMS000055,2,Northstar FinanceMarketSegment 55,1,1,2026-08-24T00:00:00.000
56,FMS000056,20,Harbor FinanceMarketSegment 56,1,1,2026-08-24T00:00:00.000
57,FMS000057,18,Atlas FinanceMarketSegment 57,1,1,2026-08-24T00:00:00.000
58,FMS000058,3,Unity FinanceMarketSegment 58,1,1,2026-08-24T00:00:00.000
59,FMS000059,12,Beacon FinanceMarketSegment 59,1,1,2026-08-24T00:00:00.000
60,FMS000060,3,Orion FinanceMarketSegment 60,1,1,2026-08-24T00:00:00.000
61,FMS000061,12,Pioneer FinanceMarketSegment 61,1,1,2026-08-24T00:00:00.000
62,FMS000062,5,Zenith FinanceMarketSegment 62,1,1,2026-08-24T00:00:00.000
63,FMS000063,8,Forge FinanceMarketSegment 63,1,1,2026-08-24T00:00:00.000
64,FMS000064,5,Willow FinanceMarketSegment 64,1,1,2026-08-24T00:00:00.000
65,FMS000065,17,Willow FinanceMarketSegment 65,1,1,2026-08-24T00:00:00.000
66,FMS000066,8,Keystone FinanceMarketSegment 66,1,1,2026-08-24T00:00:00.000
67,FMS000067,17,Keystone FinanceMarketSegment 67,1,1,2026-08-24T00:00:00.000
68,FMS000068,12,Vertex FinanceMarketSegment 68,1,1,2026-08-24T00:00:00.000
69,FMS000069,9,Junction FinanceMarketSegment 69,1,1,2026-08-24T00:00:00.000
70,FMS000070,17,Orion FinanceMarketSegment 70,1,1,2026-08-24T00:00:00.000
71,FMS000071,7,Meridian FinanceMarketSegment 71,1,1,2026-08-24T00:00:00.000
72,FMS000072,5,Ion FinanceMarketSegment 72,1,1,2026-08-24T00:00:00.000
73,FMS000073,2,Junction FinanceMarketSegment 73,1,1,2026-08-24T00:00:00.000
74,FMS000074,7,Titan FinanceMarketSegment 74,1,1,2026-08-24T00:00:00.000
75,FMS000075,12,Northstar FinanceMarketSegment 75,1,1,2026-08-24T00:00:00.000
76,FMS000076,9,Granite FinanceMarketSegment 76,1,1,2026-08-24T00:00:00.000
77,FMS000077,19,Northstar FinanceMarketSegment 77,1,1,2026-08-24T00:00:00.000
78,FMS000078,9,Evergreen FinanceMarketSegment 78,1,1,2026-08-24T00:00:00.000
79,FMS000079,13,Beacon FinanceMarketSegment 79,1,1,2026-08-24T00:00:00.000
80,FMS000080,16,Liberty FinanceMarketSegment 80,1,1,2026-08-24T00:00:00.000
81,FMS000081,16,Titan FinanceMarketSegment 81,1,1,2026-08-24T00:00:00.000
82,FMS000082,13,Beacon FinanceMarketSegment 82,1,1,2026-08-24T00:00:00.000
83,FMS000083,8,Evergreen FinanceMarketSegment 83,1,1,2026-08-24T00:00:00.000
84,FMS000084,1,Granite FinanceMarketSegment 84,1,1,2026-08-24T00:00:00.000
85,FMS000085,3,Summit FinanceMarketSegment 85,1,1,2026-08-24T00:00:00.000
86,FMS000086,10,Pioneer FinanceMarketSegment 86,1,1,2026-08-24T00:00:00.000
87,FMS000087,19,Evergreen FinanceMarketSegment 87,1,1,2026-08-24T00:00:00.000
88,FMS000088,1,Atlas FinanceMarketSegment 88,1,1,2026-08-24T00:00:00.000
89,FMS000089,2,Cedar FinanceMarketSegment 89,1,1,2026-08-24T00:00:00.000
90,FMS000090,15,Pioneer FinanceMarketSegment 90,1,1,2026-08-24T00:00:00.000
91,FMS000091,18,Evergreen FinanceMarketSegment 91,1,1,2026-08-24T00:00:00.000
92,FMS000092,18,Riverton FinanceMarketSegment 92,1,1,2026-08-24T00:00:00.000
93,FMS000093,9,Quartz FinanceMarketSegment 93,1,1,2026-08-24T00:00:00.000
94,FMS000094,6,Harbor FinanceMarketSegment 94,1,1,2026-08-24T00:00:00.000
95,FMS000095,1,Cedar FinanceMarketSegment 95,1,1,2026-08-24T00:00:00.000
96,FMS000096,6,Vertex FinanceMarketSegment 96,1,1,2026-08-24T00:00:00.000
97,FMS000097,7,Meridian FinanceMarketSegment 97,1,1,2026-08-24T00:00:00.000
98,FMS000098,8,Cedar FinanceMarketSegment 98,1,1,2026-08-24T00:00:00.000
99,FMS000099,5,Vertex FinanceMarketSegment 99,1,1,2026-08-24T00:00:00.000
100,FMS000100,16,Ion FinanceMarketSegment 100,1,1,2026-08-24T00:00:00.000
101,FMS000101,7,Willow FinanceMarketSegment 101,1,1,2026-08-24T00:00:00.000
102,FMS000102,3,Zenith FinanceMarketSegment 102,1,1,2026-08-24T00:00:00.000
103,FMS000103,7,Summit FinanceMarketSegment 103,1,1,2026-08-24T00:00:00.000
104,FMS000104,7,Beacon FinanceMarketSegment 104,1,1,2026-08-24T00:00:00.000
105,FMS000105,1,Beacon FinanceMarketSegment 105,1,1,2026-08-24T00:00:00.000
106,FMS000106,19,Summit FinanceMarketSegment 106,1,1,2026-08-24T00:00:00.000
107,FMS000107,2,Titan FinanceMarketSegment 107,1,1,2026-08-24T00:00:00.000
108,FMS000108,18,Summit FinanceMarketSegment 108,1,1,2026-08-24T00:00:00.000
109,FMS000109,13,Junction FinanceMarketSegment 109,1,1,2026-08-24T00:00:00.000
110,FMS000110,18,Titan FinanceMarketSegment 110,1,1,2026-08-24T00:00:00.000
111,FMS000111,14,Delta FinanceMarketSegment 111,1,1,2026-08-24T00:00:00.000
112,FMS000112,2,Zenith FinanceMarketSegment 112,1,1,2026-08-24T00:00:00.000
113,FMS000113,14,Pioneer FinanceMarketSegment 113,1,1,2026-08-24T00:00:00.000
114,FMS000114,2,Unity FinanceMarketSegment 114,1,1,2026-08-24T00:00:00.000
115,FMS000115,18,Willow FinanceMarketSegment 115,1,1,2026-08-24T00:00:00.000
116,FMS000116,17,Northstar FinanceMarketSegment 116,1,1,2026-08-24T00:00:00.000
117,FMS000117,12,Junction FinanceMarketSegment 117,1,1,2026-08-24T00:00:00.000
118,FMS000118,12,Delta FinanceMarketSegment 118,1,1,2026-08-24T00:00:00.000
119,FMS000119,7,Atlas FinanceMarketSegment 119,1,1,2026-08-24T00:00:00.000
120,FMS000120,18,Zenith FinanceMarketSegment 120,1,1,2026-08-24T00:00:00.000
121,FMS000121,8,Quartz FinanceMarketSegment 121,1,1,2026-08-24T00:00:00.000
122,FMS000122,5,Delta FinanceMarketSegment 122,1,1,2026-08-24T00:00:00.000
123,FMS000123,4,Unity FinanceMarketSegment 123,1,1,2026-08-24T00:00:00.000
124,FMS000124,2,Titan FinanceMarketSegment 124,1,1,2026-08-24T00:00:00.000
125,FMS000125,15,Meridian FinanceMarketSegment 125,1,1,2026-08-24T00:00:00.000
126,FMS000126,20,Harbor FinanceMarketSegment 126,1,1,2026-08-24T00:00:00.000
127,FMS000127,19,Granite FinanceMarketSegment 127,1,1,2026-08-24T00:00:00.000
128,FMS000128,6,Unity FinanceMarketSegment 128,1,1,2026-08-24T00:00:00.000
129,FMS000129,20,Summit FinanceMarketSegment 129,1,1,2026-08-24T00:00:00.000
130,FMS000130,17,Delta FinanceMarketSegment 130,1,1,2026-08-24T00:00:00.000
131,FMS000131,17,Junction FinanceMarketSegment 131,1,1,2026-08-24T00:00:00.000
132,FMS000132,12,Willow FinanceMarketSegment 132,1,1,2026-08-24T00:00:00.000
133,FMS000133,10,Willow FinanceMarketSegment 133,1,1,2026-08-24T00:00:00.000
134,FMS000134,9,Beacon FinanceMarketSegment 134,1,1,2026-08-24T00:00:00.000
135,FMS000135,17,Harbor FinanceMarketSegment 135,1,1,2026-08-24T00:00:00.000
136,FMS000136,10,Evergreen FinanceMarketSegment 136,1,1,2026-08-24T00:00:00.000
137,FMS000137,2,Granite FinanceMarketSegment 137,1,1,2026-08-24T00:00:00.000
138,FMS000138,19,Beacon FinanceMarketSegment 138,1,1,2026-08-24T00:00:00.000
139,FMS000139,17,Delta FinanceMarketSegment 139,1,1,2026-08-24T00:00:00.000
140,FMS000140,16,Titan FinanceMarketSegment 140,1,1,2026-08-24T00:00:00.000
141,FMS000141,7,Atlas FinanceMarketSegment 141,1,1,2026-08-24T00:00:00.000
142,FMS000142,12,Titan FinanceMarketSegment 142,1,1,2026-08-24T00:00:00.000
143,FMS000143,9,Meridian FinanceMarketSegment 143,1,1,2026-08-24T00:00:00.000
144,FMS000144,11,Northstar FinanceMarketSegment 144,1,1,2026-08-24T00:00:00.000
145,FMS000145,17,Cedar FinanceMarketSegment 145,1,1,2026-08-24T00:00:00.000
146,FMS000146,1,Vertex FinanceMarketSegment 146,1,1,2026-08-24T00:00:00.000
147,FMS000147,4,Zenith FinanceMarketSegment 147,1,1,2026-08-24T00:00:00.000
148,FMS000148,20,Vertex FinanceMarketSegment 148,1,1,2026-08-24T00:00:00.000
149,FMS000149,16,Junction FinanceMarketSegment 149,1,1,2026-08-24T00:00:00.000
150,FMS000150,6,Zenith FinanceMarketSegment 150,1,1,2026-08-24T00:00:00.000
151,FMS000151,8,Liberty FinanceMarketSegment 151,1,1,2026-08-24T00:00:00.000
152,FMS000152,12,Liberty FinanceMarketSegment 152,1,1,2026-08-24T00:00:00.000
153,FMS000153,13,Orion FinanceMarketSegment 153,1,1,2026-08-24T00:00:00.000
154,FMS000154,7,Keystone FinanceMarketSegment 154,1,1,2026-08-24T00:00:00.000
155,FMS000155,11,Willow FinanceMarketSegment 155,1,1,2026-08-24T00:00:00.000
156,FMS000156,5,Atlas FinanceMarketSegment 156,1,1,2026-08-24T00:00:00.000
157,FMS000157,16,Beacon FinanceMarketSegment 157,1,1,2026-08-24T00:00:00.000
158,FMS000158,13,Orion FinanceMarketSegment 158,1,1,2026-08-24T00:00:00.000
159,FMS000159,19,Harbor FinanceMarketSegment 159,1,1,2026-08-24T00:00:00.000
160,FMS000160,14,Willow FinanceMarketSegment 160,1,1,2026-08-24T00:00:00.000
161,FMS000161,7,Cedar FinanceMarketSegment 161,1,1,2026-08-24T00:00:00.000
162,FMS000162,10,Junction FinanceMarketSegment 162,1,1,2026-08-24T00:00:00.000
163,FMS000163,14,Riverton FinanceMarketSegment 163,1,1,2026-08-24T00:00:00.000
164,FMS000164,2,Vertex FinanceMarketSegment 164,1,1,2026-08-24T00:00:00.000
165,FMS000165,7,Zenith FinanceMarketSegment 165,1,1,2026-08-24T00:00:00.000
166,FMS000166,2,Meridian FinanceMarketSegment 166,1,1,2026-08-24T00:00:00.000
167,FMS000167,20,Ion FinanceMarketSegment 167,1,1,2026-08-24T00:00:00.000
168,FMS000168,5,Evergreen FinanceMarketSegment 168,1,1,2026-08-24T00:00:00.000
169,FMS000169,15,Zenith FinanceMarketSegment 169,1,1,2026-08-24T00:00:00.000
170,FMS000170,17,Beacon FinanceMarketSegment 170,1,1,2026-08-24T00:00:00.000
171,FMS000171,10,Orion FinanceMarketSegment 171,1,1,2026-08-24T00:00:00.000
172,FMS000172,15,Liberty FinanceMarketSegment 172,1,1,2026-08-24T00:00:00.000
173,FMS000173,5,Delta FinanceMarketSegment 173,1,1,2026-08-24T00:00:00.000
174,FMS000174,2,Cedar FinanceMarketSegment 174,1,1,2026-08-24T00:00:00.000
175,FMS000175,3,Keystone FinanceMarketSegment 175,1,1,2026-08-24T00:00:00.000
176,FMS000176,16,Orion FinanceMarketSegment 176,1,1,2026-08-24T00:00:00.000
177,FMS000177,5,Unity FinanceMarketSegment 177,1,1,2026-08-24T00:00:00.000
178,FMS000178,7,Evergreen FinanceMarketSegment 178,1,1,2026-08-24T00:00:00.000
179,FMS000179,16,Granite FinanceMarketSegment 179,1,1,2026-08-24T00:00:00.000
180,FMS000180,14,Quartz FinanceMarketSegment 180,1,1,2026-08-24T00:00:00.000
181,FMS000181,4,Meridian FinanceMarketSegment 181,1,1,2026-08-24T00:00:00.000
182,FMS000182,6,Northstar FinanceMarketSegment 182,1,1,2026-08-24T00:00:00.000
183,FMS000183,13,Ion FinanceMarketSegment 183,1,1,2026-08-24T00:00:00.000
184,FMS000184,20,Delta FinanceMarketSegment 184,1,1,2026-08-24T00:00:00.000
185,FMS000185,17,Harbor FinanceMarketSegment 185,1,1,2026-08-24T00:00:00.000
186,FMS000186,16,Northstar FinanceMarketSegment 186,1,1,2026-08-24T00:00:00.000
187,FMS000187,15,Harbor FinanceMarketSegment 187,1,1,2026-08-24T00:00:00.000
188,FMS000188,10,Ion FinanceMarketSegment 188,1,1,2026-08-24T00:00:00.000
189,FMS000189,3,Liberty FinanceMarketSegment 189,1,1,2026-08-24T00:00:00.000
190,FMS000190,13,Delta FinanceMarketSegment 190,1,1,2026-08-24T00:00:00.000
191,FMS000191,9,Liberty FinanceMarketSegment 191,1,1,2026-08-24T00:00:00.000
192,FMS000192,16,Summit FinanceMarketSegment 192,1,1,2026-08-24T00:00:00.000
193,FMS000193,8,Unity FinanceMarketSegment 193,1,1,2026-08-24T00:00:00.000
194,FMS000194,8,Titan FinanceMarketSegment 194,1,1,2026-08-24T00:00:00.000
195,FMS000195,20,Liberty FinanceMarketSegment 195,1,1,2026-08-24T00:00:00.000
196,FMS000196,7,Pioneer FinanceMarketSegment 196,1,1,2026-08-24T00:00:00.000
197,FMS000197,11,Vertex FinanceMarketSegment 197,1,1,2026-08-24T00:00:00.000
198,FMS000198,14,Junction FinanceMarketSegment 198,1,1,2026-08-24T00:00:00.000
199,FMS000199,1,Evergreen FinanceMarketSegment 199,1,1,2026-08-24T00:00:00.000
200,FMS000200,10,Titan FinanceMarketSegment 200,1,1,2026-08-24T00:00:00.000
