QualityCharacteristicClassKey,QualityCharacteristicClassCode,QualityCharacteristicDomainKey,QualityCharacteristicClassName,SourceSystemKey,BatchId,LoadedAtUtc
33,QCC000033,10,Orion QualityCharacteristicClass 33,1,1,2026-08-24T00:00:00.000
34,QCC000034,4,Zenith QualityCharacteristicClass 34,1,1,2026-08-24T00:00:00.000
35,QCC000035,12,Vertex QualityCharacteristicClass 35,1,1,2026-08-24T00:00:00.000
36,QCC000036,10,Zenith QualityCharacteristicClass 36,1,1,2026-08-24T00:00:00.000
37,QCC000037,11,Meridian QualityCharacteristicClass 37,1,1,2026-08-24T00:00:00.000
38,QCC000038,9,Summit QualityCharacteristicClass 38,1,1,2026-08-24T00:00:00.000
39,QCC000039,10,Beacon QualityCharacteristicClass 39,1,1,2026-08-24T00:00:00.000
40,QCC000040,4,Quartz QualityCharacteristicClass 40,1,1,2026-08-24T00:00:00.000
41,QCC000041,12,Riverton QualityCharacteristicClass 41,1,1,2026-08-24T00:00:00.000
42,QCC000042,10,Delta QualityCharacteristicClass 42,1,1,2026-08-24T00:00:00.000
43,QCC000043,5,Quartz QualityCharacteristicClass 43,1,1,2026-08-24T00:00:00.000
44,QCC000044,5,Ion QualityCharacteristicClass 44,1,1,2026-08-24T00:00:00.000
45,QCC000045,2,Northstar QualityCharacteristicClass 45,1,1,2026-08-24T00:00:00.000
46,QCC000046,5,Beacon QualityCharacteristicClass 46,1,1,2026-08-24T00:00:00.000
47,QCC000047,3,Beacon QualityCharacteristicClass 47,1,1,2026-08-24T00:00:00.000
48,QCC000048,6,Cedar QualityCharacteristicClass 48,1,1,2026-08-24T00:00:00.000
49,QCC000049,10,Zenith QualityCharacteristicClass 49,1,1,2026-08-24T00:00:00.000
50,QCC000050,2,Beacon QualityCharacteristicClass 50,1,1,2026-08-24T00:00:00.000
51,QCC000051,10,Meridian QualityCharacteristicClass 51,1,1,2026-08-24T00:00:00.000
52,QCC000052,4,Meridian QualityCharacteristicClass 52,1,1,2026-08-24T00:00:00.000
53,QCC000053,4,Junction QualityCharacteristicClass 53,1,1,2026-08-24T00:00:00.000
54,QCC000054,9,Titan QualityCharacteristicClass 54,1,1,2026-08-24T00:00:00.000
55,QCC000055,3,Atlas QualityCharacteristicClass 55,1,1,2026-08-24T00:00:00.000
56,QCC000056,7,Riverton QualityCharacteristicClass 56,1,1,2026-08-24T00:00:00.000
57,QCC000057,2,Pioneer QualityCharacteristicClass 57,1,1,2026-08-24T00:00:00.000
58,QCC000058,8,Ion QualityCharacteristicClass 58,1,1,2026-08-24T00:00:00.000
59,QCC000059,9,Vertex QualityCharacteristicClass 59,1,1,2026-08-24T00:00:00.000
60,QCC000060,4,Evergreen QualityCharacteristicClass 60,1,1,2026-08-24T00:00:00.000
61,QCC000061,4,Willow QualityCharacteristicClass 61,1,1,2026-08-24T00:00:00.000
62,QCC000062,12,Granite QualityCharacteristicClass 62,1,1,2026-08-24T00:00:00.000
63,QCC000063,4,Unity QualityCharacteristicClass 63,1,1,2026-08-24T00:00:00.000
64,QCC000064,8,Riverton QualityCharacteristicClass 64,1,1,2026-08-24T00:00:00.000
65,QCC000065,2,Junction QualityCharacteristicClass 65,1,1,2026-08-24T00:00:00.000
66,QCC000066,8,Summit QualityCharacteristicClass 66,1,1,2026-08-24T00:00:00.000
67,QCC000067,6,Forge QualityCharacteristicClass 67,1,1,2026-08-24T00:00:00.000
68,QCC000068,9,Keystone QualityCharacteristicClass 68,1,1,2026-08-24T00:00:00.000
69,QCC000069,4,Junction QualityCharacteristicClass 69,1,1,2026-08-24T00:00:00.000
70,QCC000070,8,Pioneer QualityCharacteristicClass 70,1,1,2026-08-24T00:00:00.000
