SafetyIncidentTypeKey,SafetyIncidentTypeCode,SafetyHazardTypeKey,HazardClassKey,SafetyIncidentTypeName,IsNearMissEligible,IsRecordableEligible,SourceSystemKey,BatchId,LoadedAtUtc
119,SIT000119,128,11,Orion SafetyIncidentType 119,1,1,1,1,2026-08-24T00:00:00.000
120,SIT000120,196,6,Summit SafetyIncidentType 120,0,0,1,1,2026-08-24T00:00:00.000
121,SIT000121,152,3,Titan SafetyIncidentType 121,1,1,1,1,2026-08-24T00:00:00.000
122,SIT000122,272,10,Forge SafetyIncidentType 122,1,1,1,1,2026-08-24T00:00:00.000
123,SIT000123,266,5,Pioneer SafetyIncidentType 123,1,1,1,1,2026-08-24T00:00:00.000
124,SIT000124,299,8,Liberty SafetyIncidentType 124,1,1,1,1,2026-08-24T00:00:00.000
125,SIT000125,157,9,Junction SafetyIncidentType 125,0,0,1,1,2026-08-24T00:00:00.000
126,SIT000126,186,12,Atlas SafetyIncidentType 126,1,1,1,1,2026-08-24T00:00:00.000
127,SIT000127,97,16,Delta SafetyIncidentType 127,1,1,1,1,2026-08-24T00:00:00.000
128,SIT000128,218,1,Keystone SafetyIncidentType 128,1,1,1,1,2026-08-24T00:00:00.000
129,SIT000129,309,6,Atlas SafetyIncidentType 129,1,1,1,1,2026-08-24T00:00:00.000
130,SIT000130,80,1,Cedar SafetyIncidentType 130,0,0,1,1,2026-08-24T00:00:00.000
131,SIT000131,210,11,Northstar SafetyIncidentType 131,1,1,1,1,2026-08-24T00:00:00.000
132,SIT000132,332,17,Zenith SafetyIncidentType 132,1,1,1,1,2026-08-24T00:00:00.000
133,SIT000133,283,15,Quartz SafetyIncidentType 133,1,1,1,1,2026-08-24T00:00:00.000
134,SIT000134,287,14,Titan SafetyIncidentType 134,1,1,1,1,2026-08-24T00:00:00.000
135,SIT000135,58,9,Junction SafetyIncidentType 135,0,0,1,1,2026-08-24T00:00:00.000
136,SIT000136,387,4,Forge SafetyIncidentType 136,1,1,1,1,2026-08-24T00:00:00.000
137,SIT000137,362,3,Ion SafetyIncidentType 137,1,1,1,1,2026-08-24T00:00:00.000
138,SIT000138,334,4,Cedar SafetyIncidentType 138,1,1,1,1,2026-08-24T00:00:00.000
139,SIT000139,98,2,Beacon SafetyIncidentType 139,1,1,1,1,2026-08-24T00:00:00.000
140,SIT000140,418,13,Ion SafetyIncidentType 140,0,0,1,1,2026-08-24T00:00:00.000
141,SIT000141,356,18,Beacon SafetyIncidentType 141,1,1,1,1,2026-08-24T00:00:00.000
142,SIT000142,214,3,Orion SafetyIncidentType 142,1,1,1,1,2026-08-24T00:00:00.000
143,SIT000143,358,15,Unity SafetyIncidentType 143,1,1,1,1,2026-08-24T00:00:00.000
144,SIT000144,165,7,Atlas SafetyIncidentType 144,1,1,1,1,2026-08-24T00:00:00.000
145,SIT000145,42,16,Harbor SafetyIncidentType 145,0,0,1,1,2026-08-24T00:00:00.000
146,SIT000146,144,14,Orion SafetyIncidentType 146,1,1,1,1,2026-08-24T00:00:00.000
147,SIT000147,209,14,Granite SafetyIncidentType 147,1,1,1,1,2026-08-24T00:00:00.000
148,SIT000148,245,15,Cedar SafetyIncidentType 148,1,1,1,1,2026-08-24T00:00:00.000
149,SIT000149,216,7,Cedar SafetyIncidentType 149,1,1,1,1,2026-08-24T00:00:00.000
150,SIT000150,355,12,Atlas SafetyIncidentType 150,0,0,1,1,2026-08-24T00:00:00.000
151,SIT000151,92,9,Liberty SafetyIncidentType 151,1,1,1,1,2026-08-24T00:00:00.000
152,SIT000152,264,1,Keystone SafetyIncidentType 152,1,1,1,1,2026-08-24T00:00:00.000
153,SIT000153,98,1,Summit SafetyIncidentType 153,1,1,1,1,2026-08-24T00:00:00.000
154,SIT000154,269,6,Cedar SafetyIncidentType 154,1,1,1,1,2026-08-24T00:00:00.000
155,SIT000155,172,14,Willow SafetyIncidentType 155,0,0,1,1,2026-08-24T00:00:00.000
156,SIT000156,150,17,Quartz SafetyIncidentType 156,1,1,1,1,2026-08-24T00:00:00.000
157,SIT000157,235,12,Zenith SafetyIncidentType 157,1,1,1,1,2026-08-24T00:00:00.000
158,SIT000158,187,1,Beacon SafetyIncidentType 158,1,1,1,1,2026-08-24T00:00:00.000
159,SIT000159,222,17,Beacon SafetyIncidentType 159,1,1,1,1,2026-08-24T00:00:00.000
160,SIT000160,327,16,Summit SafetyIncidentType 160,0,0,1,1,2026-08-24T00:00:00.000
161,SIT000161,78,7,Granite SafetyIncidentType 161,1,1,1,1,2026-08-24T00:00:00.000
162,SIT000162,62,7,Forge SafetyIncidentType 162,1,1,1,1,2026-08-24T00:00:00.000
163,SIT000163,314,4,Junction SafetyIncidentType 163,1,1,1,1,2026-08-24T00:00:00.000
164,SIT000164,231,7,Atlas SafetyIncidentType 164,1,1,1,1,2026-08-24T00:00:00.000
165,SIT000165,241,5,Vertex SafetyIncidentType 165,0,0,1,1,2026-08-24T00:00:00.000
166,SIT000166,286,18,Keystone SafetyIncidentType 166,1,1,1,1,2026-08-24T00:00:00.000
167,SIT000167,409,3,Granite SafetyIncidentType 167,1,1,1,1,2026-08-24T00:00:00.000
168,SIT000168,48,7,Zenith SafetyIncidentType 168,1,1,1,1,2026-08-24T00:00:00.000
169,SIT000169,408,13,Orion SafetyIncidentType 169,1,1,1,1,2026-08-24T00:00:00.000
170,SIT000170,271,18,Riverton SafetyIncidentType 170,0,0,1,1,2026-08-24T00:00:00.000
171,SIT000171,396,18,Riverton SafetyIncidentType 171,1,1,1,1,2026-08-24T00:00:00.000
172,SIT000172,23,13,Zenith SafetyIncidentType 172,1,1,1,1,2026-08-24T00:00:00.000
173,SIT000173,150,7,Evergreen SafetyIncidentType 173,1,1,1,1,2026-08-24T00:00:00.000
174,SIT000174,264,16,Orion SafetyIncidentType 174,1,1,1,1,2026-08-24T00:00:00.000
175,SIT000175,298,15,Willow SafetyIncidentType 175,0,0,1,1,2026-08-24T00:00:00.000
176,SIT000176,201,15,Orion SafetyIncidentType 176,1,1,1,1,2026-08-24T00:00:00.000
177,SIT000177,263,9,Harbor SafetyIncidentType 177,1,1,1,1,2026-08-24T00:00:00.000
178,SIT000178,367,11,Delta SafetyIncidentType 178,1,1,1,1,2026-08-24T00:00:00.000
179,SIT000179,416,15,Unity SafetyIncidentType 179,1,1,1,1,2026-08-24T00:00:00.000
180,SIT000180,200,2,Willow SafetyIncidentType 180,0,0,1,1,2026-08-24T00:00:00.000
181,SIT000181,72,12,Riverton SafetyIncidentType 181,1,1,1,1,2026-08-24T00:00:00.000
182,SIT000182,260,18,Atlas SafetyIncidentType 182,1,1,1,1,2026-08-24T00:00:00.000
183,SIT000183,313,13,Meridian SafetyIncidentType 183,1,1,1,1,2026-08-24T00:00:00.000
184,SIT000184,404,1,Zenith SafetyIncidentType 184,1,1,1,1,2026-08-24T00:00:00.000
185,SIT000185,418,14,Atlas SafetyIncidentType 185,0,0,1,1,2026-08-24T00:00:00.000
186,SIT000186,351,5,Delta SafetyIncidentType 186,1,1,1,1,2026-08-24T00:00:00.000
187,SIT000187,334,13,Summit SafetyIncidentType 187,1,1,1,1,2026-08-24T00:00:00.000
188,SIT000188,406,14,Granite SafetyIncidentType 188,1,1,1,1,2026-08-24T00:00:00.000
189,SIT000189,79,9,Vertex SafetyIncidentType 189,1,1,1,1,2026-08-24T00:00:00.000
190,SIT000190,316,9,Vertex SafetyIncidentType 190,0,0,1,1,2026-08-24T00:00:00.000
191,SIT000191,279,3,Orion SafetyIncidentType 191,1,1,1,1,2026-08-24T00:00:00.000
192,SIT000192,254,9,Titan SafetyIncidentType 192,1,1,1,1,2026-08-24T00:00:00.000
193,SIT000193,396,14,Quartz SafetyIncidentType 193,1,1,1,1,2026-08-24T00:00:00.000
194,SIT000194,70,6,Pioneer SafetyIncidentType 194,1,1,1,1,2026-08-24T00:00:00.000
195,SIT000195,141,5,Cedar SafetyIncidentType 195,0,0,1,1,2026-08-24T00:00:00.000
196,SIT000196,237,5,Harbor SafetyIncidentType 196,1,1,1,1,2026-08-24T00:00:00.000
197,SIT000197,360,18,Cedar SafetyIncidentType 197,1,1,1,1,2026-08-24T00:00:00.000
198,SIT000198,388,2,Unity SafetyIncidentType 198,1,1,1,1,2026-08-24T00:00:00.000
199,SIT000199,62,6,Titan SafetyIncidentType 199,1,1,1,1,2026-08-24T00:00:00.000
200,SIT000200,77,9,Delta SafetyIncidentType 200,0,0,1,1,2026-08-24T00:00:00.000
201,SIT000201,237,16,Atlas SafetyIncidentType 201,1,1,1,1,2026-08-24T00:00:00.000
202,SIT000202,318,5,Pioneer SafetyIncidentType 202,1,1,1,1,2026-08-24T00:00:00.000
203,SIT000203,232,13,Junction SafetyIncidentType 203,1,1,1,1,2026-08-24T00:00:00.000
204,SIT000204,350,16,Titan SafetyIncidentType 204,1,1,1,1,2026-08-24T00:00:00.000
205,SIT000205,375,2,Titan SafetyIncidentType 205,0,0,1,1,2026-08-24T00:00:00.000
206,SIT000206,223,9,Evergreen SafetyIncidentType 206,1,1,1,1,2026-08-24T00:00:00.000
207,SIT000207,174,7,Zenith SafetyIncidentType 207,1,1,1,1,2026-08-24T00:00:00.000
208,SIT000208,183,9,Cedar SafetyIncidentType 208,1,1,1,1,2026-08-24T00:00:00.000
209,SIT000209,306,8,Atlas SafetyIncidentType 209,1,1,1,1,2026-08-24T00:00:00.000
210,SIT000210,254,12,Meridian SafetyIncidentType 210,0,0,1,1,2026-08-24T00:00:00.000
211,SIT000211,279,2,Summit SafetyIncidentType 211,1,1,1,1,2026-08-24T00:00:00.000
212,SIT000212,82,3,Zenith SafetyIncidentType 212,1,1,1,1,2026-08-24T00:00:00.000
213,SIT000213,367,18,Evergreen SafetyIncidentType 213,1,1,1,1,2026-08-24T00:00:00.000
214,SIT000214,115,8,Meridian SafetyIncidentType 214,1,1,1,1,2026-08-24T00:00:00.000
215,SIT000215,239,11,Zenith SafetyIncidentType 215,0,0,1,1,2026-08-24T00:00:00.000
216,SIT000216,181,15,Delta SafetyIncidentType 216,1,1,1,1,2026-08-24T00:00:00.000
217,SIT000217,209,12,Granite SafetyIncidentType 217,1,1,1,1,2026-08-24T00:00:00.000
218,SIT000218,310,14,Meridian SafetyIncidentType 218,1,1,1,1,2026-08-24T00:00:00.000
219,SIT000219,338,17,Willow SafetyIncidentType 219,1,1,1,1,2026-08-24T00:00:00.000
220,SIT000220,311,14,Northstar SafetyIncidentType 220,0,0,1,1,2026-08-24T00:00:00.000
221,SIT000221,219,3,Northstar SafetyIncidentType 221,1,1,1,1,2026-08-24T00:00:00.000
222,SIT000222,252,17,Northstar SafetyIncidentType 222,1,1,1,1,2026-08-24T00:00:00.000
223,SIT000223,319,1,Quartz SafetyIncidentType 223,1,1,1,1,2026-08-24T00:00:00.000
224,SIT000224,363,17,Riverton SafetyIncidentType 224,1,1,1,1,2026-08-24T00:00:00.000
225,SIT000225,312,8,Granite SafetyIncidentType 225,0,0,1,1,2026-08-24T00:00:00.000
226,SIT000226,179,7,Pioneer SafetyIncidentType 226,1,1,1,1,2026-08-24T00:00:00.000
227,SIT000227,349,11,Titan SafetyIncidentType 227,1,1,1,1,2026-08-24T00:00:00.000
228,SIT000228,165,18,Zenith SafetyIncidentType 228,1,1,1,1,2026-08-24T00:00:00.000
229,SIT000229,90,13,Vertex SafetyIncidentType 229,1,1,1,1,2026-08-24T00:00:00.000
230,SIT000230,171,8,Pioneer SafetyIncidentType 230,0,0,1,1,2026-08-24T00:00:00.000
231,SIT000231,344,1,Orion SafetyIncidentType 231,1,1,1,1,2026-08-24T00:00:00.000
232,SIT000232,201,15,Forge SafetyIncidentType 232,1,1,1,1,2026-08-24T00:00:00.000
233,SIT000233,280,4,Willow SafetyIncidentType 233,1,1,1,1,2026-08-24T00:00:00.000
234,SIT000234,21,3,Cedar SafetyIncidentType 234,1,1,1,1,2026-08-24T00:00:00.000
235,SIT000235,189,5,Titan SafetyIncidentType 235,0,0,1,1,2026-08-24T00:00:00.000
236,SIT000236,197,18,Evergreen SafetyIncidentType 236,1,1,1,1,2026-08-24T00:00:00.000
237,SIT000237,238,14,Pioneer SafetyIncidentType 237,1,1,1,1,2026-08-24T00:00:00.000
238,SIT000238,381,12,Atlas SafetyIncidentType 238,1,1,1,1,2026-08-24T00:00:00.000
239,SIT000239,197,7,Northstar SafetyIncidentType 239,1,1,1,1,2026-08-24T00:00:00.000
240,SIT000240,358,13,Unity SafetyIncidentType 240,0,0,1,1,2026-08-24T00:00:00.000
241,SIT000241,406,4,Cedar SafetyIncidentType 241,1,1,1,1,2026-08-24T00:00:00.000
242,SIT000242,56,3,Evergreen SafetyIncidentType 242,1,1,1,1,2026-08-24T00:00:00.000
243,SIT000243,144,1,Meridian SafetyIncidentType 243,1,1,1,1,2026-08-24T00:00:00.000
244,SIT000244,138,6,Unity SafetyIncidentType 244,1,1,1,1,2026-08-24T00:00:00.000
245,SIT000245,320,18,Atlas SafetyIncidentType 245,0,0,1,1,2026-08-24T00:00:00.000
246,SIT000246,254,3,Granite SafetyIncidentType 246,1,1,1,1,2026-08-24T00:00:00.000
247,SIT000247,344,3,Delta SafetyIncidentType 247,1,1,1,1,2026-08-24T00:00:00.000
248,SIT000248,365,15,Harbor SafetyIncidentType 248,1,1,1,1,2026-08-24T00:00:00.000
249,SIT000249,333,13,Cedar SafetyIncidentType 249,1,1,1,1,2026-08-24T00:00:00.000
250,SIT000250,35,5,Titan SafetyIncidentType 250,0,0,1,1,2026-08-24T00:00:00.000
251,SIT000251,369,13,Northstar SafetyIncidentType 251,1,1,1,1,2026-08-24T00:00:00.000
252,SIT000252,30,13,Summit SafetyIncidentType 252,1,1,1,1,2026-08-24T00:00:00.000
253,SIT000253,187,12,Keystone SafetyIncidentType 253,1,1,1,1,2026-08-24T00:00:00.000
254,SIT000254,257,7,Atlas SafetyIncidentType 254,1,1,1,1,2026-08-24T00:00:00.000
255,SIT000255,293,3,Pioneer SafetyIncidentType 255,0,0,1,1,2026-08-24T00:00:00.000
256,SIT000256,35,13,Liberty SafetyIncidentType 256,1,1,1,1,2026-08-24T00:00:00.000
257,SIT000257,403,13,Keystone SafetyIncidentType 257,1,1,1,1,2026-08-24T00:00:00.000
258,SIT000258,93,18,Quartz SafetyIncidentType 258,1,1,1,1,2026-08-24T00:00:00.000
259,SIT000259,225,18,Keystone SafetyIncidentType 259,1,1,1,1,2026-08-24T00:00:00.000
260,SIT000260,144,8,Granite SafetyIncidentType 260,0,0,1,1,2026-08-24T00:00:00.000
261,SIT000261,15,13,Pioneer SafetyIncidentType 261,1,1,1,1,2026-08-24T00:00:00.000
262,SIT000262,37,13,Forge SafetyIncidentType 262,1,1,1,1,2026-08-24T00:00:00.000
263,SIT000263,5,6,Delta SafetyIncidentType 263,1,1,1,1,2026-08-24T00:00:00.000
264,SIT000264,49,9,Willow SafetyIncidentType 264,1,1,1,1,2026-08-24T00:00:00.000
265,SIT000265,417,2,Orion SafetyIncidentType 265,0,0,1,1,2026-08-24T00:00:00.000
266,SIT000266,378,15,Northstar SafetyIncidentType 266,1,1,1,1,2026-08-24T00:00:00.000
267,SIT000267,105,6,Harbor SafetyIncidentType 267,1,1,1,1,2026-08-24T00:00:00.000
268,SIT000268,291,4,Riverton SafetyIncidentType 268,1,1,1,1,2026-08-24T00:00:00.000
269,SIT000269,144,5,Cedar SafetyIncidentType 269,1,1,1,1,2026-08-24T00:00:00.000
270,SIT000270,48,15,Meridian SafetyIncidentType 270,0,0,1,1,2026-08-24T00:00:00.000
271,SIT000271,91,2,Keystone SafetyIncidentType 271,1,1,1,1,2026-08-24T00:00:00.000
