SalesPriceListKey,PriceListCode,SalesChannelSegmentKey,ProductKey,CurrencyKey,UnitOfMeasureKey,PriceListName,EffectiveDate,ExpirationDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
11,SPL000011,305,37,3,4,Titan SalesPriceList 11,2020-01-12,2020-01-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,406e5752428758509bf90f5ea048653b406e5752428758509bf90f5ea048653b
12,SPL000012,243,82,2,1,Zenith SalesPriceList 12,2020-01-13,2020-01-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d862d6ce32d2549695f817fd9742ff13d862d6ce32d2549695f817fd9742ff13
13,SPL000013,451,110,3,5,Beacon SalesPriceList 13,2020-01-14,2020-01-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bed4269b69b05e2b933e8577fd11cd3bbed4269b69b05e2b933e8577fd11cd3b
14,SPL000014,19,88,3,4,Summit SalesPriceList 14,2020-01-15,2020-01-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81c2f4ded3215ea3baffaadaa79b889481c2f4ded3215ea3baffaadaa79b8894
15,SPL000015,311,447,4,6,Liberty SalesPriceList 15,2020-01-16,2020-01-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f96679ca45935ae7a5c31bcdb378a624f96679ca45935ae7a5c31bcdb378a624
16,SPL000016,144,280,5,1,Summit SalesPriceList 16,2020-01-17,2020-01-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6468e805f4e5451b60051a08c601c68d6468e805f4e5451b60051a08c601c68
17,SPL000017,399,221,3,1,Cedar SalesPriceList 17,2020-01-18,2020-01-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,582b0108a895550eb63eead5b6e2ad5c582b0108a895550eb63eead5b6e2ad5c
18,SPL000018,445,401,3,4,Titan SalesPriceList 18,2020-01-19,2020-01-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c28dd9a3d1e65d328565a630647af401c28dd9a3d1e65d328565a630647af401
19,SPL000019,74,59,3,7,Harbor SalesPriceList 19,2020-01-20,2020-01-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,79c41cdcd7b6534dbc96ba56536fac3679c41cdcd7b6534dbc96ba56536fac36
20,SPL000020,448,392,5,3,Keystone SalesPriceList 20,2020-01-21,2020-01-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc8089bb9d085727b7e9d6acafa862bdfc8089bb9d085727b7e9d6acafa862bd
21,SPL000021,343,413,3,6,Forge SalesPriceList 21,2020-01-22,2020-01-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a80e240b5c9a5d13b398dea743e896fda80e240b5c9a5d13b398dea743e896fd
22,SPL000022,398,357,1,4,Riverton SalesPriceList 22,2020-01-23,2020-01-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d58359d560505e68bbc172146f191bc1d58359d560505e68bbc172146f191bc1
23,SPL000023,202,329,4,1,Quartz SalesPriceList 23,2020-01-24,2020-01-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f2d3493da4050b9a0876626a0afae988f2d3493da4050b9a0876626a0afae98
24,SPL000024,141,434,5,7,Zenith SalesPriceList 24,2020-01-25,2020-01-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,baa0ee5812875e47ae49a98172d11960baa0ee5812875e47ae49a98172d11960
25,SPL000025,243,224,4,2,Granite SalesPriceList 25,2020-01-26,2020-01-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc2239e7c3715537881037841fb811ecdc2239e7c3715537881037841fb811ec
26,SPL000026,220,104,2,7,Quartz SalesPriceList 26,2020-01-27,2020-01-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d55b3162ab815602877c51d6459e03b1d55b3162ab815602877c51d6459e03b1
27,SPL000027,323,427,5,6,Granite SalesPriceList 27,2020-01-28,2020-01-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81a46ba47cfe5861b12358b5bf79ffe781a46ba47cfe5861b12358b5bf79ffe7
28,SPL000028,409,200,2,2,Beacon SalesPriceList 28,2020-01-29,2020-01-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d8be830bdfb5d3ba9c09b57451b01a95d8be830bdfb5d3ba9c09b57451b01a9
29,SPL000029,329,362,1,4,Delta SalesPriceList 29,2020-01-30,2020-01-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55a8021f20b15ba781ae22838751544c55a8021f20b15ba781ae22838751544c
30,SPL000030,316,305,3,5,Zenith SalesPriceList 30,2020-01-31,2020-01-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6283f665bd857699c0e49574b25e33ee6283f665bd857699c0e49574b25e33e
31,SPL000031,244,140,5,5,Orion SalesPriceList 31,2020-02-01,2020-02-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e18ebf2aab925ac69a6b8886d5061684e18ebf2aab925ac69a6b8886d5061684
32,SPL000032,3,332,4,2,Atlas SalesPriceList 32,2020-02-02,2020-02-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fdf632de88e55e86ae2ac9a550283978fdf632de88e55e86ae2ac9a550283978
33,SPL000033,357,261,4,2,Willow SalesPriceList 33,2020-02-03,2020-02-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f243f1b55a0e58289ed0714eb0978748f243f1b55a0e58289ed0714eb0978748
34,SPL000034,454,262,1,1,Delta SalesPriceList 34,2020-02-04,2020-02-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe1b81c34d3e5502863fd4b2049b5c32fe1b81c34d3e5502863fd4b2049b5c32
35,SPL000035,437,400,1,2,Ion SalesPriceList 35,2020-02-05,2020-02-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,492bebf0d2285085bfc81dfad7e2d18d492bebf0d2285085bfc81dfad7e2d18d
36,SPL000036,389,131,4,7,Orion SalesPriceList 36,2020-02-06,2020-02-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a821a7f6fcc5ced9550af6d911b13d47a821a7f6fcc5ced9550af6d911b13d4
37,SPL000037,348,343,3,1,Quartz SalesPriceList 37,2020-02-07,2020-02-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,48af48681ee452e2acfd3a4ab671459948af48681ee452e2acfd3a4ab6714599
38,SPL000038,18,230,2,1,Quartz SalesPriceList 38,2020-02-08,2020-02-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,880fcedf2e7756438f4c9ecadd665eed880fcedf2e7756438f4c9ecadd665eed
39,SPL000039,60,452,1,6,Forge SalesPriceList 39,2020-02-09,2020-02-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,67197eba6ce9542995d5fe74fa39e16467197eba6ce9542995d5fe74fa39e164
40,SPL000040,360,268,4,6,Atlas SalesPriceList 40,2020-02-10,2020-02-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1e60c051d0850098d83164a7dfa30e0e1e60c051d0850098d83164a7dfa30e0
41,SPL000041,320,258,4,7,Quartz SalesPriceList 41,2020-02-11,2020-02-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dfef66443d65560882fa142f44480302dfef66443d65560882fa142f44480302
42,SPL000042,399,141,1,4,Junction SalesPriceList 42,2020-02-12,2020-02-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dccd1f926a805530b1da82cde439d14edccd1f926a805530b1da82cde439d14e
43,SPL000043,413,372,3,2,Ion SalesPriceList 43,2020-02-13,2020-02-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ae97f3759ee5efbbc2286737e1abcdb8ae97f3759ee5efbbc2286737e1abcdb
44,SPL000044,184,405,3,3,Northstar SalesPriceList 44,2020-02-14,2020-02-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96b0f4e64e7d51fca6911f5256eb9a1c96b0f4e64e7d51fca6911f5256eb9a1c
45,SPL000045,81,274,3,7,Harbor SalesPriceList 45,2020-02-15,2020-02-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4680da800ce15e2ab91afe392a548a0c4680da800ce15e2ab91afe392a548a0c
46,SPL000046,118,169,4,7,Riverton SalesPriceList 46,2020-02-16,2020-02-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff5d3a118a6a513681e89e025e28126fff5d3a118a6a513681e89e025e28126f
47,SPL000047,248,345,3,7,Ion SalesPriceList 47,2020-02-17,2020-02-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd331fc12a4855b2a9b4395cded0eddcfd331fc12a4855b2a9b4395cded0eddc
48,SPL000048,458,61,2,5,Harbor SalesPriceList 48,2020-02-18,2020-02-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d39c1a44e8b585aa58d70c4b1b86fb17d39c1a44e8b585aa58d70c4b1b86fb1
49,SPL000049,300,10,1,3,Liberty SalesPriceList 49,2020-02-19,2020-02-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a7e1e465b635745bc3a1e985bcd34127a7e1e465b635745bc3a1e985bcd3412
50,SPL000050,134,492,1,4,Pioneer SalesPriceList 50,2020-02-20,2020-02-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a208fd87c89d5cdeba0e8c491b7f5a49a208fd87c89d5cdeba0e8c491b7f5a49
51,SPL000051,202,305,2,4,Liberty SalesPriceList 51,2020-02-21,2020-02-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8056208174145494869edc367d864caf8056208174145494869edc367d864caf
52,SPL000052,129,237,1,5,Pioneer SalesPriceList 52,2020-02-22,2020-02-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5173551cc9135078ae41b129924ed0eb5173551cc9135078ae41b129924ed0eb
53,SPL000053,175,134,4,5,Orion SalesPriceList 53,2020-02-23,2020-02-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ccd056281365fada2c30e3c8abc78681ccd056281365fada2c30e3c8abc7868
54,SPL000054,54,245,3,6,Meridian SalesPriceList 54,2020-02-24,2020-02-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99899a3dbaa35904a388d3025e37d3ae99899a3dbaa35904a388d3025e37d3ae
55,SPL000055,103,80,1,5,Keystone SalesPriceList 55,2020-02-25,2020-02-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e1a517cef1d5b51b07f6868e55e1f6b8e1a517cef1d5b51b07f6868e55e1f6b
56,SPL000056,301,139,2,2,Delta SalesPriceList 56,2020-02-26,2020-02-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,256e9c9a63be5de39c159b408410e44a256e9c9a63be5de39c159b408410e44a
57,SPL000057,189,220,3,6,Cedar SalesPriceList 57,2020-02-27,2020-02-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3611c352b26d55fe8ebd237a8dfaeb0f3611c352b26d55fe8ebd237a8dfaeb0f
58,SPL000058,422,297,2,4,Keystone SalesPriceList 58,2020-02-28,2020-02-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3aad9424140e5e18a6792d134acfb0b43aad9424140e5e18a6792d134acfb0b4
59,SPL000059,95,327,4,7,Northstar SalesPriceList 59,2020-02-29,2020-02-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7ee3be6e7865827a958b52585cdba3dc7ee3be6e7865827a958b52585cdba3d
60,SPL000060,17,358,2,6,Zenith SalesPriceList 60,2020-03-01,2020-03-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,828b1e8e29dd53098501bf4dce425865828b1e8e29dd53098501bf4dce425865
61,SPL000061,279,492,2,2,Northstar SalesPriceList 61,2020-03-02,2020-03-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d45fa7df3e955fe684bc9b9180074492d45fa7df3e955fe684bc9b9180074492
62,SPL000062,97,40,5,6,Summit SalesPriceList 62,2020-03-03,2020-03-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bac920cf8d43566e90b152c31819da20bac920cf8d43566e90b152c31819da20
63,SPL000063,166,41,3,7,Unity SalesPriceList 63,2020-03-04,2020-03-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e8492d51c71524fa71384dfd5eba65b0e8492d51c71524fa71384dfd5eba65b
64,SPL000064,419,427,2,7,Pioneer SalesPriceList 64,2020-03-05,2020-03-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f9147eb008745a4baf545b4d4bdeb7d1f9147eb008745a4baf545b4d4bdeb7d1
65,SPL000065,406,288,1,2,Ion SalesPriceList 65,2020-03-06,2020-03-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1a5568468c257799df95b330fee3f28f1a5568468c257799df95b330fee3f28
66,SPL000066,370,21,2,7,Quartz SalesPriceList 66,2020-03-07,2020-03-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd7644cf362652bea9effab24522a0f9dd7644cf362652bea9effab24522a0f9
67,SPL000067,398,314,3,7,Ion SalesPriceList 67,2020-03-08,2020-03-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5bd7487be3c5aa2b6130d0e2e91ed38b5bd7487be3c5aa2b6130d0e2e91ed38
68,SPL000068,144,160,4,7,Titan SalesPriceList 68,2020-03-09,2020-03-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9955257b9afe5b6f93d35d5a1b9b68489955257b9afe5b6f93d35d5a1b9b6848
69,SPL000069,457,342,3,3,Granite SalesPriceList 69,2020-03-10,2020-03-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83149d6e45eb56bea28b12dc8821cae483149d6e45eb56bea28b12dc8821cae4
70,SPL000070,424,458,2,2,Quartz SalesPriceList 70,2020-03-11,2020-03-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc5a9487065e5685968fabdd011bf77ecc5a9487065e5685968fabdd011bf77e
71,SPL000071,471,75,5,2,Delta SalesPriceList 71,2020-03-12,2020-03-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b33a0dec14a45c329ed7de5723455c7cb33a0dec14a45c329ed7de5723455c7c
72,SPL000072,439,441,2,5,Titan SalesPriceList 72,2020-03-13,2020-03-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1c56e03c23554bba0ef8dd5e32e3f16c1c56e03c23554bba0ef8dd5e32e3f16
73,SPL000073,414,13,5,5,Forge SalesPriceList 73,2020-03-14,2020-03-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1abf5b1a298f5cabab5a4e54446ae50e1abf5b1a298f5cabab5a4e54446ae50e
74,SPL000074,168,346,4,4,Orion SalesPriceList 74,2020-03-15,2020-03-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b526f37e3fa56d79114d6a489037e091b526f37e3fa56d79114d6a489037e09
75,SPL000075,304,128,4,7,Riverton SalesPriceList 75,2020-03-16,2020-03-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5491e25c0cb5766b0c1af1b2f1e1cc5b5491e25c0cb5766b0c1af1b2f1e1cc5
76,SPL000076,447,44,2,2,Pioneer SalesPriceList 76,2020-03-17,2020-03-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6043e1ac50e52e9a4e9ed5c8a029264c6043e1ac50e52e9a4e9ed5c8a029264
77,SPL000077,349,11,4,5,Quartz SalesPriceList 77,2020-03-18,2020-03-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54510428397b507e9450096f1f8201f454510428397b507e9450096f1f8201f4
78,SPL000078,368,113,5,7,Granite SalesPriceList 78,2020-03-19,2020-03-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29605b97cff053e6b7267c8d6f7bcf3129605b97cff053e6b7267c8d6f7bcf31
79,SPL000079,416,49,3,2,Summit SalesPriceList 79,2020-03-20,2020-03-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66c75bbe6cc45301b71cb64c4bb609c866c75bbe6cc45301b71cb64c4bb609c8
80,SPL000080,178,59,2,2,Atlas SalesPriceList 80,2020-03-21,2020-03-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b0a7ef105675614a169b88d9536a4b56b0a7ef105675614a169b88d9536a4b5
81,SPL000081,337,312,3,4,Zenith SalesPriceList 81,2020-03-22,2020-03-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9244624786c7549a83d999005bd205209244624786c7549a83d999005bd20520
82,SPL000082,446,94,2,5,Zenith SalesPriceList 82,2020-03-23,2020-03-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa8057ef8bf3506b85a8558ea288403bfa8057ef8bf3506b85a8558ea288403b
83,SPL000083,282,222,1,6,Atlas SalesPriceList 83,2020-03-24,2020-03-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f07ee85612c1572fa234c5e782c51df6f07ee85612c1572fa234c5e782c51df6
84,SPL000084,180,333,4,1,Granite SalesPriceList 84,2020-03-25,2020-03-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d665f96ac6925af7b94ecccd90cee6d8d665f96ac6925af7b94ecccd90cee6d8
85,SPL000085,87,188,4,3,Delta SalesPriceList 85,2020-03-26,2020-03-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,200885e496da538a9db83d95f3f8c2b3200885e496da538a9db83d95f3f8c2b3
86,SPL000086,143,351,3,4,Pioneer SalesPriceList 86,2020-03-27,2020-03-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59e7e6cde6be532eb5437976c5d4112459e7e6cde6be532eb5437976c5d41124
87,SPL000087,269,290,3,3,Liberty SalesPriceList 87,2020-03-28,2020-03-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf08819770be58c190a38f4ee623ccb8cf08819770be58c190a38f4ee623ccb8
88,SPL000088,393,169,3,4,Forge SalesPriceList 88,2020-03-29,2020-03-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6428be745fbd5361aebfbccebddc95f46428be745fbd5361aebfbccebddc95f4
89,SPL000089,21,379,1,3,Pioneer SalesPriceList 89,2020-03-30,2020-03-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15cd23f48a8d5e6abed6ed088189de8115cd23f48a8d5e6abed6ed088189de81
90,SPL000090,272,424,1,1,Titan SalesPriceList 90,2020-03-31,2020-03-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04e7c0daf22d5e77b5d2195a74f4850804e7c0daf22d5e77b5d2195a74f48508
91,SPL000091,9,446,2,4,Zenith SalesPriceList 91,2020-04-01,2020-04-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37c9cd4b04a753c98e7243510bb95d7c37c9cd4b04a753c98e7243510bb95d7c
92,SPL000092,91,295,1,2,Titan SalesPriceList 92,2020-04-02,2020-04-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b78d284764575caf976b01d4809f9f80b78d284764575caf976b01d4809f9f80
93,SPL000093,45,73,2,7,Delta SalesPriceList 93,2020-04-03,2020-04-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6d402934db15fe0b58a7b7689238e8fe6d402934db15fe0b58a7b7689238e8f
94,SPL000094,223,467,1,2,Harbor SalesPriceList 94,2020-04-04,2020-04-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,853d859edc8454e9a496fd30b5c75e4c853d859edc8454e9a496fd30b5c75e4c
95,SPL000095,120,334,1,6,Riverton SalesPriceList 95,2020-04-05,2020-04-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d19557441a65ac58dd3cf1458afe4ca3d19557441a65ac58dd3cf1458afe4ca
96,SPL000096,319,65,3,3,Quartz SalesPriceList 96,2020-04-06,2020-04-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2f0bd5e767a5569a516b1f3fdb7ea59b2f0bd5e767a5569a516b1f3fdb7ea59
97,SPL000097,327,196,1,7,Ion SalesPriceList 97,2020-04-07,2020-04-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f66de980964c5b56943fb8d47074e08af66de980964c5b56943fb8d47074e08a
98,SPL000098,141,130,2,2,Delta SalesPriceList 98,2020-04-08,2020-04-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3cae5bf04f3856a788760dbc000f3df93cae5bf04f3856a788760dbc000f3df9
99,SPL000099,264,425,4,4,Forge SalesPriceList 99,2020-04-09,2020-04-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,577ae1884bf65fe2b02209b9d82f4f90577ae1884bf65fe2b02209b9d82f4f90
