OeeLossReasonGroupKey,OeeLossReasonGroupCode,OeeLossClassKey,OeeLossReasonGroupName,SourceSystemKey,BatchId,LoadedAtUtc
90,OLRG000090,7,Beacon OeeLossReasonGroup 90,1,1,2026-08-24T00:00:00.000
91,OLRG000091,17,Keystone OeeLossReasonGroup 91,1,1,2026-08-24T00:00:00.000
92,OLRG000092,24,Meridian OeeLossReasonGroup 92,1,1,2026-08-24T00:00:00.000
93,OLRG000093,29,Beacon OeeLossReasonGroup 93,1,1,2026-08-24T00:00:00.000
94,OLRG000094,33,Ion OeeLossReasonGroup 94,1,1,2026-08-24T00:00:00.000
95,OLRG000095,22,Pioneer OeeLossReasonGroup 95,1,1,2026-08-24T00:00:00.000
96,OLRG000096,21,Cedar OeeLossReasonGroup 96,1,1,2026-08-24T00:00:00.000
97,OLRG000097,6,Beacon OeeLossReasonGroup 97,1,1,2026-08-24T00:00:00.000
98,OLRG000098,38,Evergreen OeeLossReasonGroup 98,1,1,2026-08-24T00:00:00.000
99,OLRG000099,24,Titan OeeLossReasonGroup 99,1,1,2026-08-24T00:00:00.000
100,OLRG000100,23,Evergreen OeeLossReasonGroup 100,1,1,2026-08-24T00:00:00.000
101,OLRG000101,7,Pioneer OeeLossReasonGroup 101,1,1,2026-08-24T00:00:00.000
102,OLRG000102,38,Cedar OeeLossReasonGroup 102,1,1,2026-08-24T00:00:00.000
103,OLRG000103,37,Cedar OeeLossReasonGroup 103,1,1,2026-08-24T00:00:00.000
104,OLRG000104,22,Titan OeeLossReasonGroup 104,1,1,2026-08-24T00:00:00.000
105,OLRG000105,27,Cedar OeeLossReasonGroup 105,1,1,2026-08-24T00:00:00.000
106,OLRG000106,17,Granite OeeLossReasonGroup 106,1,1,2026-08-24T00:00:00.000
107,OLRG000107,1,Junction OeeLossReasonGroup 107,1,1,2026-08-24T00:00:00.000
108,OLRG000108,9,Liberty OeeLossReasonGroup 108,1,1,2026-08-24T00:00:00.000
109,OLRG000109,15,Willow OeeLossReasonGroup 109,1,1,2026-08-24T00:00:00.000
110,OLRG000110,36,Keystone OeeLossReasonGroup 110,1,1,2026-08-24T00:00:00.000
111,OLRG000111,15,Harbor OeeLossReasonGroup 111,1,1,2026-08-24T00:00:00.000
112,OLRG000112,24,Unity OeeLossReasonGroup 112,1,1,2026-08-24T00:00:00.000
113,OLRG000113,22,Ion OeeLossReasonGroup 113,1,1,2026-08-24T00:00:00.000
114,OLRG000114,28,Northstar OeeLossReasonGroup 114,1,1,2026-08-24T00:00:00.000
115,OLRG000115,18,Granite OeeLossReasonGroup 115,1,1,2026-08-24T00:00:00.000
116,OLRG000116,12,Beacon OeeLossReasonGroup 116,1,1,2026-08-24T00:00:00.000
117,OLRG000117,31,Pioneer OeeLossReasonGroup 117,1,1,2026-08-24T00:00:00.000
118,OLRG000118,30,Harbor OeeLossReasonGroup 118,1,1,2026-08-24T00:00:00.000
119,OLRG000119,20,Riverton OeeLossReasonGroup 119,1,1,2026-08-24T00:00:00.000
120,OLRG000120,14,Beacon OeeLossReasonGroup 120,1,1,2026-08-24T00:00:00.000
121,OLRG000121,4,Zenith OeeLossReasonGroup 121,1,1,2026-08-24T00:00:00.000
122,OLRG000122,22,Atlas OeeLossReasonGroup 122,1,1,2026-08-24T00:00:00.000
123,OLRG000123,20,Riverton OeeLossReasonGroup 123,1,1,2026-08-24T00:00:00.000
124,OLRG000124,30,Summit OeeLossReasonGroup 124,1,1,2026-08-24T00:00:00.000
125,OLRG000125,40,Harbor OeeLossReasonGroup 125,1,1,2026-08-24T00:00:00.000
126,OLRG000126,18,Titan OeeLossReasonGroup 126,1,1,2026-08-24T00:00:00.000
127,OLRG000127,21,Ion OeeLossReasonGroup 127,1,1,2026-08-24T00:00:00.000
128,OLRG000128,35,Unity OeeLossReasonGroup 128,1,1,2026-08-24T00:00:00.000
129,OLRG000129,15,Vertex OeeLossReasonGroup 129,1,1,2026-08-24T00:00:00.000
130,OLRG000130,18,Forge OeeLossReasonGroup 130,1,1,2026-08-24T00:00:00.000
131,OLRG000131,30,Titan OeeLossReasonGroup 131,1,1,2026-08-24T00:00:00.000
132,OLRG000132,4,Ion OeeLossReasonGroup 132,1,1,2026-08-24T00:00:00.000
133,OLRG000133,14,Orion OeeLossReasonGroup 133,1,1,2026-08-24T00:00:00.000
134,OLRG000134,3,Riverton OeeLossReasonGroup 134,1,1,2026-08-24T00:00:00.000
135,OLRG000135,10,Vertex OeeLossReasonGroup 135,1,1,2026-08-24T00:00:00.000
136,OLRG000136,4,Pioneer OeeLossReasonGroup 136,1,1,2026-08-24T00:00:00.000
137,OLRG000137,12,Delta OeeLossReasonGroup 137,1,1,2026-08-24T00:00:00.000
138,OLRG000138,29,Willow OeeLossReasonGroup 138,1,1,2026-08-24T00:00:00.000
139,OLRG000139,17,Junction OeeLossReasonGroup 139,1,1,2026-08-24T00:00:00.000
140,OLRG000140,32,Zenith OeeLossReasonGroup 140,1,1,2026-08-24T00:00:00.000
141,OLRG000141,26,Orion OeeLossReasonGroup 141,1,1,2026-08-24T00:00:00.000
142,OLRG000142,25,Orion OeeLossReasonGroup 142,1,1,2026-08-24T00:00:00.000
143,OLRG000143,5,Unity OeeLossReasonGroup 143,1,1,2026-08-24T00:00:00.000
144,OLRG000144,10,Unity OeeLossReasonGroup 144,1,1,2026-08-24T00:00:00.000
145,OLRG000145,2,Northstar OeeLossReasonGroup 145,1,1,2026-08-24T00:00:00.000
146,OLRG000146,22,Titan OeeLossReasonGroup 146,1,1,2026-08-24T00:00:00.000
147,OLRG000147,35,Orion OeeLossReasonGroup 147,1,1,2026-08-24T00:00:00.000
148,OLRG000148,5,Ion OeeLossReasonGroup 148,1,1,2026-08-24T00:00:00.000
149,OLRG000149,11,Summit OeeLossReasonGroup 149,1,1,2026-08-24T00:00:00.000
150,OLRG000150,9,Willow OeeLossReasonGroup 150,1,1,2026-08-24T00:00:00.000
151,OLRG000151,5,Quartz OeeLossReasonGroup 151,1,1,2026-08-24T00:00:00.000
152,OLRG000152,7,Cedar OeeLossReasonGroup 152,1,1,2026-08-24T00:00:00.000
153,OLRG000153,20,Atlas OeeLossReasonGroup 153,1,1,2026-08-24T00:00:00.000
154,OLRG000154,32,Forge OeeLossReasonGroup 154,1,1,2026-08-24T00:00:00.000
155,OLRG000155,32,Northstar OeeLossReasonGroup 155,1,1,2026-08-24T00:00:00.000
156,OLRG000156,27,Delta OeeLossReasonGroup 156,1,1,2026-08-24T00:00:00.000
157,OLRG000157,28,Junction OeeLossReasonGroup 157,1,1,2026-08-24T00:00:00.000
158,OLRG000158,40,Quartz OeeLossReasonGroup 158,1,1,2026-08-24T00:00:00.000
159,OLRG000159,13,Keystone OeeLossReasonGroup 159,1,1,2026-08-24T00:00:00.000
160,OLRG000160,28,Quartz OeeLossReasonGroup 160,1,1,2026-08-24T00:00:00.000
161,OLRG000161,21,Unity OeeLossReasonGroup 161,1,1,2026-08-24T00:00:00.000
162,OLRG000162,28,Beacon OeeLossReasonGroup 162,1,1,2026-08-24T00:00:00.000
163,OLRG000163,27,Pioneer OeeLossReasonGroup 163,1,1,2026-08-24T00:00:00.000
164,OLRG000164,5,Riverton OeeLossReasonGroup 164,1,1,2026-08-24T00:00:00.000
165,OLRG000165,18,Liberty OeeLossReasonGroup 165,1,1,2026-08-24T00:00:00.000
166,OLRG000166,21,Unity OeeLossReasonGroup 166,1,1,2026-08-24T00:00:00.000
167,OLRG000167,7,Zenith OeeLossReasonGroup 167,1,1,2026-08-24T00:00:00.000
168,OLRG000168,1,Pioneer OeeLossReasonGroup 168,1,1,2026-08-24T00:00:00.000
169,OLRG000169,6,Meridian OeeLossReasonGroup 169,1,1,2026-08-24T00:00:00.000
170,OLRG000170,37,Keystone OeeLossReasonGroup 170,1,1,2026-08-24T00:00:00.000
171,OLRG000171,26,Keystone OeeLossReasonGroup 171,1,1,2026-08-24T00:00:00.000
172,OLRG000172,1,Harbor OeeLossReasonGroup 172,1,1,2026-08-24T00:00:00.000
173,OLRG000173,5,Orion OeeLossReasonGroup 173,1,1,2026-08-24T00:00:00.000
174,OLRG000174,26,Forge OeeLossReasonGroup 174,1,1,2026-08-24T00:00:00.000
175,OLRG000175,13,Unity OeeLossReasonGroup 175,1,1,2026-08-24T00:00:00.000
176,OLRG000176,29,Unity OeeLossReasonGroup 176,1,1,2026-08-24T00:00:00.000
177,OLRG000177,19,Granite OeeLossReasonGroup 177,1,1,2026-08-24T00:00:00.000
178,OLRG000178,2,Junction OeeLossReasonGroup 178,1,1,2026-08-24T00:00:00.000
179,OLRG000179,12,Vertex OeeLossReasonGroup 179,1,1,2026-08-24T00:00:00.000
180,OLRG000180,9,Quartz OeeLossReasonGroup 180,1,1,2026-08-24T00:00:00.000
