SalesOrderLineKey,SalesOrderLineCode,SalesOrderHeaderKey,ProductKey,CustomerKey,SalesOrderLifecycleStatusKey,UnitOfMeasureKey,LineSequenceNumber,CustomerLineReference,RequestedDeliveryDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
32,SOL000032,113,197,88,14,4,32,SalesOrderLine-CustomerLineReference-32,2020-02-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e29a7d503515647a542ae282a8e95d74e29a7d503515647a542ae282a8e95d7
33,SOL000033,367,432,475,5,3,33,SalesOrderLine-CustomerLineReference-33,2020-02-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d78103417c795e16aa29154d41ba58b0d78103417c795e16aa29154d41ba58b0
34,SOL000034,39,342,348,1,5,34,SalesOrderLine-CustomerLineReference-34,2020-02-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f1b5427b30553edb331a1c7933584563f1b5427b30553edb331a1c793358456
35,SOL000035,13,243,186,12,4,35,SalesOrderLine-CustomerLineReference-35,2020-02-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49f24f7dea515f678b08ca8735a14fbe49f24f7dea515f678b08ca8735a14fbe
36,SOL000036,80,291,331,10,5,36,SalesOrderLine-CustomerLineReference-36,2020-02-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63371438431f5de7a63096bf01f1d62963371438431f5de7a63096bf01f1d629
37,SOL000037,472,276,62,4,1,37,SalesOrderLine-CustomerLineReference-37,2020-02-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6d881bfb6ff546ab687571438f04a29d6d881bfb6ff546ab687571438f04a29
38,SOL000038,350,449,407,11,6,38,SalesOrderLine-CustomerLineReference-38,2020-02-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d20570f29d5e5ba09c6c772928ad4240d20570f29d5e5ba09c6c772928ad4240
39,SOL000039,140,395,51,2,1,39,SalesOrderLine-CustomerLineReference-39,2020-02-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4038c4dd79d05572b297ea7e2e1bd9d44038c4dd79d05572b297ea7e2e1bd9d4
40,SOL000040,425,374,35,5,7,40,SalesOrderLine-CustomerLineReference-40,2020-02-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52acdac20e01532a9116f30991a616bb52acdac20e01532a9116f30991a616bb
41,SOL000041,382,150,466,11,7,41,SalesOrderLine-CustomerLineReference-41,2020-02-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97d1bcb5a71a59e5b5d50444406620d197d1bcb5a71a59e5b5d50444406620d1
42,SOL000042,299,23,87,4,5,42,SalesOrderLine-CustomerLineReference-42,2020-02-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f47a4f2bbc695b0c854bd7618c299272f47a4f2bbc695b0c854bd7618c299272
43,SOL000043,291,161,478,14,5,43,SalesOrderLine-CustomerLineReference-43,2020-02-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6426160d469155b2a69d1c0bd39652a46426160d469155b2a69d1c0bd39652a4
44,SOL000044,215,211,200,5,4,44,SalesOrderLine-CustomerLineReference-44,2020-02-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1172b53633ce5612aad26416cb017d871172b53633ce5612aad26416cb017d87
45,SOL000045,336,82,393,4,1,45,SalesOrderLine-CustomerLineReference-45,2020-02-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ce3c1a28add5b33a49a985bbd914a2c3ce3c1a28add5b33a49a985bbd914a2c
46,SOL000046,403,471,15,3,1,46,SalesOrderLine-CustomerLineReference-46,2020-02-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20c510d36455565794825fb87309e56020c510d36455565794825fb87309e560
47,SOL000047,36,454,42,10,4,47,SalesOrderLine-CustomerLineReference-47,2020-02-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a88e4440fa7507a958e2f78a1c6dd489a88e4440fa7507a958e2f78a1c6dd48
48,SOL000048,324,101,108,4,4,48,SalesOrderLine-CustomerLineReference-48,2020-02-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee364ed7c0bc5817a804eda9b4c1beb7ee364ed7c0bc5817a804eda9b4c1beb7
49,SOL000049,330,479,338,11,3,49,SalesOrderLine-CustomerLineReference-49,2020-02-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,02c1c80f6c925feba671dcd509a2436102c1c80f6c925feba671dcd509a24361
50,SOL000050,468,290,461,10,6,50,SalesOrderLine-CustomerLineReference-50,2020-02-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4004396ad845939a5536b034c4e9f96b4004396ad845939a5536b034c4e9f96
51,SOL000051,360,176,237,2,3,51,SalesOrderLine-CustomerLineReference-51,2020-02-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c0baf40039954869720ce6d887a4ef50c0baf40039954869720ce6d887a4ef5
52,SOL000052,157,433,405,10,5,52,SalesOrderLine-CustomerLineReference-52,2020-02-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb5c915af9135b199a74858cdb4e71b8bb5c915af9135b199a74858cdb4e71b8
53,SOL000053,336,489,299,2,6,53,SalesOrderLine-CustomerLineReference-53,2020-02-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94be9333c3c75933994c0278860e898c94be9333c3c75933994c0278860e898c
54,SOL000054,308,413,2,13,5,54,SalesOrderLine-CustomerLineReference-54,2020-02-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6bf824018955527a9f85ff0077c2e3f26bf824018955527a9f85ff0077c2e3f2
55,SOL000055,75,395,329,6,3,55,SalesOrderLine-CustomerLineReference-55,2020-02-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04743c5e6f6b52a48bb2fc54a1bb7f5c04743c5e6f6b52a48bb2fc54a1bb7f5c
56,SOL000056,476,148,51,8,4,56,SalesOrderLine-CustomerLineReference-56,2020-02-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e403b374487d516f81916b8c1bad14b6e403b374487d516f81916b8c1bad14b6
57,SOL000057,441,49,97,4,2,57,SalesOrderLine-CustomerLineReference-57,2020-02-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b1d31a8d8fb5403b059ee47c6f0653c9b1d31a8d8fb5403b059ee47c6f0653c
58,SOL000058,371,261,254,13,6,58,SalesOrderLine-CustomerLineReference-58,2020-02-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,172857e434f35f8f9f1212a66af2aaae172857e434f35f8f9f1212a66af2aaae
59,SOL000059,439,254,450,12,6,59,SalesOrderLine-CustomerLineReference-59,2020-02-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8a4191684965fadb1970fb7ae133d49f8a4191684965fadb1970fb7ae133d49
60,SOL000060,350,453,298,4,4,60,SalesOrderLine-CustomerLineReference-60,2020-03-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4bda039337b5379ab218ff088e88395e4bda039337b5379ab218ff088e88395
61,SOL000061,395,308,174,14,5,61,SalesOrderLine-CustomerLineReference-61,2020-03-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c97535eb120571494c6a7df7f685f626c97535eb120571494c6a7df7f685f62
62,SOL000062,269,429,189,2,4,62,SalesOrderLine-CustomerLineReference-62,2020-03-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aebc84ae145e57c5b7927796350b088caebc84ae145e57c5b7927796350b088c
63,SOL000063,389,145,70,14,7,63,SalesOrderLine-CustomerLineReference-63,2020-03-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f4c09de982b516f95303fd478f1f5786f4c09de982b516f95303fd478f1f578
64,SOL000064,361,177,73,6,3,64,SalesOrderLine-CustomerLineReference-64,2020-03-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76b371bb65b8583ab64f5fa913d5bc4e76b371bb65b8583ab64f5fa913d5bc4e
65,SOL000065,284,269,482,14,2,65,SalesOrderLine-CustomerLineReference-65,2020-03-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e1c4db6b45a5075afa6da296a3652d30e1c4db6b45a5075afa6da296a3652d3
66,SOL000066,376,56,453,14,6,66,SalesOrderLine-CustomerLineReference-66,2020-03-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eaa29cf7e8c155da9d95551d87c47eb6eaa29cf7e8c155da9d95551d87c47eb6
67,SOL000067,278,478,190,5,3,67,SalesOrderLine-CustomerLineReference-67,2020-03-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3ab1788d2935b02bc03ec7a49d96d93b3ab1788d2935b02bc03ec7a49d96d93
68,SOL000068,443,193,192,11,1,68,SalesOrderLine-CustomerLineReference-68,2020-03-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,713e88b9b5b35410ab1c80b47dc2fa44713e88b9b5b35410ab1c80b47dc2fa44
69,SOL000069,480,38,14,4,4,69,SalesOrderLine-CustomerLineReference-69,2020-03-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1aa605f41a35f069c7f7d8db3017070b1aa605f41a35f069c7f7d8db3017070
70,SOL000070,46,244,84,3,5,70,SalesOrderLine-CustomerLineReference-70,2020-03-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36dd22fd52825f448b06e9b2a92c7d9636dd22fd52825f448b06e9b2a92c7d96
71,SOL000071,282,203,307,11,3,71,SalesOrderLine-CustomerLineReference-71,2020-03-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28bd0d3536d65b8f872a2d8ef9a5f89128bd0d3536d65b8f872a2d8ef9a5f891
72,SOL000072,67,2,76,9,7,72,SalesOrderLine-CustomerLineReference-72,2020-03-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f0f35ba55455d3abfce07ac12550da58f0f35ba55455d3abfce07ac12550da5
73,SOL000073,396,261,262,8,6,73,SalesOrderLine-CustomerLineReference-73,2020-03-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6cc6fb50a965afa948655b5eafd8cdba6cc6fb50a965afa948655b5eafd8cdb
74,SOL000074,483,8,170,6,4,74,SalesOrderLine-CustomerLineReference-74,2020-03-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00caae767ef65c5a99e38aefdef0455400caae767ef65c5a99e38aefdef04554
75,SOL000075,434,8,410,4,2,75,SalesOrderLine-CustomerLineReference-75,2020-03-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b222f5a78785805bedaf42769e961e11b222f5a78785805bedaf42769e961e1
76,SOL000076,310,488,269,9,1,76,SalesOrderLine-CustomerLineReference-76,2020-03-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,420622384b2f57dba0016a617f09a9d3420622384b2f57dba0016a617f09a9d3
77,SOL000077,396,223,189,14,2,77,SalesOrderLine-CustomerLineReference-77,2020-03-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee23e5b7fa0653eab0d785f19f322f54ee23e5b7fa0653eab0d785f19f322f54
78,SOL000078,213,278,396,5,2,78,SalesOrderLine-CustomerLineReference-78,2020-03-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28770eeba24d5cbd870d77cefd73761b28770eeba24d5cbd870d77cefd73761b
79,SOL000079,37,74,75,2,4,79,SalesOrderLine-CustomerLineReference-79,2020-03-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bda762decab56a190000a5544eba2f85bda762decab56a190000a5544eba2f8
80,SOL000080,37,158,328,13,2,80,SalesOrderLine-CustomerLineReference-80,2020-03-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,997736aac7fc5db4a50d8db0c1adcf60997736aac7fc5db4a50d8db0c1adcf60
81,SOL000081,33,302,408,10,2,81,SalesOrderLine-CustomerLineReference-81,2020-03-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf9abc49ecf25351ad3ab1976795e517bf9abc49ecf25351ad3ab1976795e517
82,SOL000082,7,200,421,3,1,82,SalesOrderLine-CustomerLineReference-82,2020-03-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbd72ddd390455ad802b0c90608350e6dbd72ddd390455ad802b0c90608350e6
83,SOL000083,247,85,138,12,4,83,SalesOrderLine-CustomerLineReference-83,2020-03-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8f7d52c4e985bee917f1203bbb61290d8f7d52c4e985bee917f1203bbb61290
84,SOL000084,91,257,14,1,4,84,SalesOrderLine-CustomerLineReference-84,2020-03-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5879b1cde6bb579db1e6f6f4a199f2b95879b1cde6bb579db1e6f6f4a199f2b9
85,SOL000085,216,150,419,10,5,85,SalesOrderLine-CustomerLineReference-85,2020-03-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4381d5af89c3544ca63b913e0edef6204381d5af89c3544ca63b913e0edef620
86,SOL000086,367,441,455,1,3,86,SalesOrderLine-CustomerLineReference-86,2020-03-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45cc00dd058a5171938a7c4eadf3611545cc00dd058a5171938a7c4eadf36115
87,SOL000087,474,178,200,6,1,87,SalesOrderLine-CustomerLineReference-87,2020-03-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3813cf1b74dc5da8ac8d8645741acbef3813cf1b74dc5da8ac8d8645741acbef
88,SOL000088,481,58,467,14,3,88,SalesOrderLine-CustomerLineReference-88,2020-03-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1bbd24ec6195069abc634f02c5b868df1bbd24ec6195069abc634f02c5b868d
89,SOL000089,100,37,313,1,4,89,SalesOrderLine-CustomerLineReference-89,2020-03-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a494c716c0c4550783ba70669295ca7ba494c716c0c4550783ba70669295ca7b
90,SOL000090,186,22,257,4,7,90,SalesOrderLine-CustomerLineReference-90,2020-03-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bcafd0af27ff5c28b41c1cb5361cbcf1bcafd0af27ff5c28b41c1cb5361cbcf1
91,SOL000091,157,255,232,1,1,91,SalesOrderLine-CustomerLineReference-91,2020-04-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,766bbfe505d95554b1c39671174be4e3766bbfe505d95554b1c39671174be4e3
92,SOL000092,480,471,388,11,1,92,SalesOrderLine-CustomerLineReference-92,2020-04-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45f400871e6c59f081bdb992262141f045f400871e6c59f081bdb992262141f0
93,SOL000093,438,143,242,2,1,93,SalesOrderLine-CustomerLineReference-93,2020-04-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d66c01e32a0556ba4d9670ea81199492d66c01e32a0556ba4d9670ea8119949
94,SOL000094,152,285,403,3,6,94,SalesOrderLine-CustomerLineReference-94,2020-04-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64835e7d650d55d9ad2a7e8bceefe7bd64835e7d650d55d9ad2a7e8bceefe7bd
95,SOL000095,274,386,6,2,4,95,SalesOrderLine-CustomerLineReference-95,2020-04-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,758969c399bb51aaae6476ec533a4cf9758969c399bb51aaae6476ec533a4cf9
96,SOL000096,371,287,253,1,1,96,SalesOrderLine-CustomerLineReference-96,2020-04-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e6f701acf255d12bd13c92afe6eda928e6f701acf255d12bd13c92afe6eda92
