PurchaseCommodityCategoryKey,PurchaseCommodityCategoryCode,PurchaseCommodityDomainKey,PurchaseCommodityCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
39,PCC000039,3,Orion PurchaseCommodityCategory 39,1,1,2026-08-24T00:00:00.000
40,PCC000040,11,Beacon PurchaseCommodityCategory 40,1,1,2026-08-24T00:00:00.000
41,PCC000041,4,Zenith PurchaseCommodityCategory 41,1,1,2026-08-24T00:00:00.000
42,PCC000042,8,Beacon PurchaseCommodityCategory 42,1,1,2026-08-24T00:00:00.000
43,PCC000043,1,Beacon PurchaseCommodityCategory 43,1,1,2026-08-24T00:00:00.000
44,PCC000044,10,Cedar PurchaseCommodityCategory 44,1,1,2026-08-24T00:00:00.000
45,PCC000045,4,Zenith PurchaseCommodityCategory 45,1,1,2026-08-24T00:00:00.000
46,PCC000046,2,Pioneer PurchaseCommodityCategory 46,1,1,2026-08-24T00:00:00.000
47,PCC000047,5,Riverton PurchaseCommodityCategory 47,1,1,2026-08-24T00:00:00.000
48,PCC000048,12,Unity PurchaseCommodityCategory 48,1,1,2026-08-24T00:00:00.000
49,PCC000049,2,Pioneer PurchaseCommodityCategory 49,1,1,2026-08-24T00:00:00.000
50,PCC000050,8,Zenith PurchaseCommodityCategory 50,1,1,2026-08-24T00:00:00.000
51,PCC000051,6,Northstar PurchaseCommodityCategory 51,1,1,2026-08-24T00:00:00.000
52,PCC000052,7,Harbor PurchaseCommodityCategory 52,1,1,2026-08-24T00:00:00.000
53,PCC000053,7,Unity PurchaseCommodityCategory 53,1,1,2026-08-24T00:00:00.000
54,PCC000054,1,Forge PurchaseCommodityCategory 54,1,1,2026-08-24T00:00:00.000
55,PCC000055,2,Evergreen PurchaseCommodityCategory 55,1,1,2026-08-24T00:00:00.000
56,PCC000056,4,Delta PurchaseCommodityCategory 56,1,1,2026-08-24T00:00:00.000
57,PCC000057,1,Zenith PurchaseCommodityCategory 57,1,1,2026-08-24T00:00:00.000
58,PCC000058,9,Liberty PurchaseCommodityCategory 58,1,1,2026-08-24T00:00:00.000
59,PCC000059,4,Atlas PurchaseCommodityCategory 59,1,1,2026-08-24T00:00:00.000
60,PCC000060,7,Evergreen PurchaseCommodityCategory 60,1,1,2026-08-24T00:00:00.000
61,PCC000061,5,Orion PurchaseCommodityCategory 61,1,1,2026-08-24T00:00:00.000
62,PCC000062,10,Atlas PurchaseCommodityCategory 62,1,1,2026-08-24T00:00:00.000
63,PCC000063,7,Beacon PurchaseCommodityCategory 63,1,1,2026-08-24T00:00:00.000
64,PCC000064,9,Orion PurchaseCommodityCategory 64,1,1,2026-08-24T00:00:00.000
65,PCC000065,3,Pioneer PurchaseCommodityCategory 65,1,1,2026-08-24T00:00:00.000
66,PCC000066,9,Liberty PurchaseCommodityCategory 66,1,1,2026-08-24T00:00:00.000
67,PCC000067,12,Vertex PurchaseCommodityCategory 67,1,1,2026-08-24T00:00:00.000
68,PCC000068,11,Titan PurchaseCommodityCategory 68,1,1,2026-08-24T00:00:00.000
69,PCC000069,1,Titan PurchaseCommodityCategory 69,1,1,2026-08-24T00:00:00.000
70,PCC000070,8,Beacon PurchaseCommodityCategory 70,1,1,2026-08-24T00:00:00.000
71,PCC000071,10,Atlas PurchaseCommodityCategory 71,1,1,2026-08-24T00:00:00.000
72,PCC000072,1,Cedar PurchaseCommodityCategory 72,1,1,2026-08-24T00:00:00.000
73,PCC000073,7,Zenith PurchaseCommodityCategory 73,1,1,2026-08-24T00:00:00.000
74,PCC000074,5,Zenith PurchaseCommodityCategory 74,1,1,2026-08-24T00:00:00.000
75,PCC000075,1,Meridian PurchaseCommodityCategory 75,1,1,2026-08-24T00:00:00.000
76,PCC000076,8,Unity PurchaseCommodityCategory 76,1,1,2026-08-24T00:00:00.000
77,PCC000077,4,Ion PurchaseCommodityCategory 77,1,1,2026-08-24T00:00:00.000
78,PCC000078,10,Atlas PurchaseCommodityCategory 78,1,1,2026-08-24T00:00:00.000
79,PCC000079,10,Unity PurchaseCommodityCategory 79,1,1,2026-08-24T00:00:00.000
80,PCC000080,6,Meridian PurchaseCommodityCategory 80,1,1,2026-08-24T00:00:00.000
81,PCC000081,1,Orion PurchaseCommodityCategory 81,1,1,2026-08-24T00:00:00.000
82,PCC000082,5,Pioneer PurchaseCommodityCategory 82,1,1,2026-08-24T00:00:00.000
83,PCC000083,3,Meridian PurchaseCommodityCategory 83,1,1,2026-08-24T00:00:00.000
84,PCC000084,10,Harbor PurchaseCommodityCategory 84,1,1,2026-08-24T00:00:00.000
85,PCC000085,10,Quartz PurchaseCommodityCategory 85,1,1,2026-08-24T00:00:00.000
86,PCC000086,12,Unity PurchaseCommodityCategory 86,1,1,2026-08-24T00:00:00.000
87,PCC000087,1,Atlas PurchaseCommodityCategory 87,1,1,2026-08-24T00:00:00.000
88,PCC000088,11,Orion PurchaseCommodityCategory 88,1,1,2026-08-24T00:00:00.000
89,PCC000089,10,Beacon PurchaseCommodityCategory 89,1,1,2026-08-24T00:00:00.000
90,PCC000090,9,Unity PurchaseCommodityCategory 90,1,1,2026-08-24T00:00:00.000
