RoutingHeaderKey,RoutingNumber,ProductKey,RoutingOperationTypeKey,EngineeringLifecycleStatusKey,RoutingHeaderName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
47,RH000047,244,150,10,Quartz RoutingHeader 47,RH000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3faac3051a550ce8a7f8df7cfa150faa3faac3051a550ce8a7f8df7cfa150fa
48,RH000048,153,330,9,Evergreen RoutingHeader 48,RH000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2484a13ce14f5c91bcadc0f3dce36f362484a13ce14f5c91bcadc0f3dce36f36
49,RH000049,375,395,3,Harbor RoutingHeader 49,RH000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,958f525c4bff591c871da48644428506958f525c4bff591c871da48644428506
50,RH000050,330,237,3,Ion RoutingHeader 50,RH000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,669977de4ad15379b3b5a80c7d320edd669977de4ad15379b3b5a80c7d320edd
51,RH000051,133,62,2,Liberty RoutingHeader 51,RH000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c698992506159f5bfef3ab1f4b802444c698992506159f5bfef3ab1f4b80244
52,RH000052,133,234,5,Ion RoutingHeader 52,RH000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75a1784984ec55d9943c2c88fb2d7a8475a1784984ec55d9943c2c88fb2d7a84
53,RH000053,352,394,3,Cedar RoutingHeader 53,RH000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52ea106bdb1b5e308a76d98ef9e8a96a52ea106bdb1b5e308a76d98ef9e8a96a
54,RH000054,110,172,1,Zenith RoutingHeader 54,RH000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,919748be74eb5e6991871470aefaba41919748be74eb5e6991871470aefaba41
55,RH000055,228,179,5,Meridian RoutingHeader 55,RH000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ba366e19f4b56d9aabb923945c5f2e17ba366e19f4b56d9aabb923945c5f2e1
56,RH000056,483,209,5,Meridian RoutingHeader 56,RH000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc820e4d948459eeb32868568fdf3a73cc820e4d948459eeb32868568fdf3a73
57,RH000057,357,351,9,Evergreen RoutingHeader 57,RH000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25c182f1530a5e77ab56e29cbd856e1b25c182f1530a5e77ab56e29cbd856e1b
58,RH000058,86,116,8,Ion RoutingHeader 58,RH000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ca9ab2991715a5286ebbc4c1c943eeb4ca9ab2991715a5286ebbc4c1c943eeb
59,RH000059,22,328,4,Orion RoutingHeader 59,RH000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb71c2886b2351a5b0d2f24cbbeb1165cb71c2886b2351a5b0d2f24cbbeb1165
60,RH000060,327,51,2,Willow RoutingHeader 60,RH000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bafcefb64f72578bb0821e2225149f20bafcefb64f72578bb0821e2225149f20
61,RH000061,286,36,7,Riverton RoutingHeader 61,RH000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e19fe1a4c2e1531599778c9da08ec818e19fe1a4c2e1531599778c9da08ec818
62,RH000062,206,490,1,Junction RoutingHeader 62,RH000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c4c275c59575095a9e1906368b818461c4c275c59575095a9e1906368b81846
63,RH000063,244,191,5,Meridian RoutingHeader 63,RH000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b2e0243e38d524cadee4f68cc7533e56b2e0243e38d524cadee4f68cc7533e5
64,RH000064,196,126,4,Zenith RoutingHeader 64,RH000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae8b4fd5876e57438174429fee45733eae8b4fd5876e57438174429fee45733e
65,RH000065,469,128,6,Junction RoutingHeader 65,RH000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9abf110c585f598fb31ab973955d816e9abf110c585f598fb31ab973955d816e
66,RH000066,185,454,10,Atlas RoutingHeader 66,RH000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1fa452d883d5ae09ad63811a719f090f1fa452d883d5ae09ad63811a719f090
67,RH000067,318,208,7,Atlas RoutingHeader 67,RH000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,24e47d293c9f5e95a9b9f6559ec0d9a424e47d293c9f5e95a9b9f6559ec0d9a4
68,RH000068,460,306,8,Quartz RoutingHeader 68,RH000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e1c7ea0784855febe7eaaa1342b4eec5e1c7ea0784855febe7eaaa1342b4eec
69,RH000069,408,157,8,Vertex RoutingHeader 69,RH000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8dda3557bb43529ba53e83109f09c4588dda3557bb43529ba53e83109f09c458
70,RH000070,62,51,10,Unity RoutingHeader 70,RH000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb61a68cd1715663a47cc1ff53c63262cb61a68cd1715663a47cc1ff53c63262
71,RH000071,164,341,1,Forge RoutingHeader 71,RH000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f7504ca6d8d59be9e0ac3481f1db0f58f7504ca6d8d59be9e0ac3481f1db0f5
72,RH000072,492,12,1,Cedar RoutingHeader 72,RH000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51c350e627e65d84b0e55bdf3a087ae151c350e627e65d84b0e55bdf3a087ae1
73,RH000073,230,146,3,Meridian RoutingHeader 73,RH000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbfda6533f9d51dcb7290a20f8f1c944fbfda6533f9d51dcb7290a20f8f1c944
74,RH000074,92,314,9,Granite RoutingHeader 74,RH000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce435997069b5e5db53921e4ce0695e8ce435997069b5e5db53921e4ce0695e8
75,RH000075,275,65,9,Cedar RoutingHeader 75,RH000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88b7ea719c7450f19362d1eb7ec6581588b7ea719c7450f19362d1eb7ec65815
76,RH000076,428,134,10,Orion RoutingHeader 76,RH000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8ba3afa3d4759c3a754ad116dab73a7f8ba3afa3d4759c3a754ad116dab73a7
77,RH000077,390,390,7,Pioneer RoutingHeader 77,RH000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4711c28760c5738af31cfc4c5d21498d4711c28760c5738af31cfc4c5d21498
78,RH000078,113,39,9,Granite RoutingHeader 78,RH000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d40352c2a41050f088bb864a4f93f81ed40352c2a41050f088bb864a4f93f81e
79,RH000079,338,166,2,Delta RoutingHeader 79,RH000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,33e6016e9bc85b9b89c318a4241fb82233e6016e9bc85b9b89c318a4241fb822
80,RH000080,135,388,10,Beacon RoutingHeader 80,RH000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c942df735a5d5462afcfe5294962b3c0c942df735a5d5462afcfe5294962b3c0
81,RH000081,265,43,1,Vertex RoutingHeader 81,RH000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a36b5d28a6fb53b4aa585238e228f135a36b5d28a6fb53b4aa585238e228f135
82,RH000082,352,63,4,Unity RoutingHeader 82,RH000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,420a42ced9375342ab70b94411e48cde420a42ced9375342ab70b94411e48cde
83,RH000083,439,342,6,Titan RoutingHeader 83,RH000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69ba5a00755f5bcea88624b9c9bb507669ba5a00755f5bcea88624b9c9bb5076
84,RH000084,430,301,9,Delta RoutingHeader 84,RH000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,112f477d2d685a44a171b63116520b69112f477d2d685a44a171b63116520b69
85,RH000085,272,83,1,Quartz RoutingHeader 85,RH000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ccea41cd27215f2bafc8fa6f83bbe7e9ccea41cd27215f2bafc8fa6f83bbe7e9
86,RH000086,87,206,9,Ion RoutingHeader 86,RH000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5fc378038d925a97b13368a9f1dfe4c95fc378038d925a97b13368a9f1dfe4c9
87,RH000087,279,417,2,Beacon RoutingHeader 87,RH000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1d4d6b9f8e1587db60ff94342be2c54b1d4d6b9f8e1587db60ff94342be2c54
88,RH000088,141,214,8,Delta RoutingHeader 88,RH000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5c9ad4f125b54e1b7a7f2bc360210f9e5c9ad4f125b54e1b7a7f2bc360210f9
89,RH000089,74,86,3,Unity RoutingHeader 89,RH000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ce07eeec74d54a7aaded7d672a79b066ce07eeec74d54a7aaded7d672a79b06
90,RH000090,206,231,10,Evergreen RoutingHeader 90,RH000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57aa3b7b4d6b54ea9bcc1d45ea2a5cd057aa3b7b4d6b54ea9bcc1d45ea2a5cd0
91,RH000091,208,316,6,Vertex RoutingHeader 91,RH000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ced5fec4b5f65bb0922ce04675cca97fced5fec4b5f65bb0922ce04675cca97f
92,RH000092,15,2,3,Cedar RoutingHeader 92,RH000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b720e9ffe4c5cb19ef77418b80b978f6b720e9ffe4c5cb19ef77418b80b978f
93,RH000093,191,141,8,Delta RoutingHeader 93,RH000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0941d315b51b5ea6998aea0b1ef9c8cc0941d315b51b5ea6998aea0b1ef9c8cc
94,RH000094,69,193,6,Delta RoutingHeader 94,RH000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f16307de350f5d41b7610ca7af6f0ce5f16307de350f5d41b7610ca7af6f0ce5
95,RH000095,277,104,5,Quartz RoutingHeader 95,RH000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,90845aa4b0405a71ab6ac8541e7958e990845aa4b0405a71ab6ac8541e7958e9
96,RH000096,437,472,9,Summit RoutingHeader 96,RH000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f28ac71318da54ee8cdec95e7cda99ccf28ac71318da54ee8cdec95e7cda99cc
97,RH000097,385,153,1,Zenith RoutingHeader 97,RH000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6156dee837635569860cb7e1a14a5eeb6156dee837635569860cb7e1a14a5eeb
98,RH000098,86,220,7,Evergreen RoutingHeader 98,RH000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01644186807b5be3accc8b657510b2f901644186807b5be3accc8b657510b2f9
99,RH000099,73,242,2,Willow RoutingHeader 99,RH000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a701486c20b5ce49d140f7bda49ea1f9a701486c20b5ce49d140f7bda49ea1f
100,RH000100,232,140,5,Quartz RoutingHeader 100,RH000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9cdb9eab875578f936ba8d812f452a3c9cdb9eab875578f936ba8d812f452a3
101,RH000101,189,441,9,Riverton RoutingHeader 101,RH000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,520da6edbc195ae3a825b7dd67994420520da6edbc195ae3a825b7dd67994420
102,RH000102,14,171,7,Cedar RoutingHeader 102,RH000102,1,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a9293843ff45199b6e2a0d5a0844d7b3a9293843ff45199b6e2a0d5a0844d7b
