QualityInspectionLotKey,InspectionLotNumber,ProductKey,PlantKey,SupplierKey,ProductionLotKey,QualityInspectionTypeKey,QualityResultStatusKey,UnitOfMeasureKey,QualityInspectionLotName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
18,QIL000018,291,96,370,401,11,11,7,Junction QualityInspectionLot 18,QIL000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3485e10f3d375628a5174215fd5601bc3485e10f3d375628a5174215fd5601bc
19,QIL000019,466,306,473,261,7,10,5,Junction QualityInspectionLot 19,QIL000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9522778f5d4581781444ed9121a0797e9522778f5d4581781444ed9121a0797
20,QIL000020,280,219,442,60,10,1,7,Orion QualityInspectionLot 20,QIL000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcee8e2e420b5bc0a9aca5f104384297fcee8e2e420b5bc0a9aca5f104384297
21,QIL000021,135,76,379,14,3,6,3,Ion QualityInspectionLot 21,QIL000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ecfda6691b105d6caae519b5e8b63e37ecfda6691b105d6caae519b5e8b63e37
22,QIL000022,335,224,193,246,12,1,7,Junction QualityInspectionLot 22,QIL000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbcdda11413a5a7c8f97bbe76b776397dbcdda11413a5a7c8f97bbe76b776397
23,QIL000023,47,327,307,434,6,1,7,Forge QualityInspectionLot 23,QIL000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0fe2de4c28235a1a883fe51c3a2d6c310fe2de4c28235a1a883fe51c3a2d6c31
24,QIL000024,473,56,209,459,7,7,1,Pioneer QualityInspectionLot 24,QIL000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4d87933a4a75af280f845d66285ebc9a4d87933a4a75af280f845d66285ebc9
25,QIL000025,283,71,98,201,1,6,3,Meridian QualityInspectionLot 25,QIL000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7923e87802ca5084b94ce08076dfa3b77923e87802ca5084b94ce08076dfa3b7
26,QIL000026,195,60,279,373,10,6,5,Liberty QualityInspectionLot 26,QIL000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad6077b5ced65e3aacc18187edae50c8ad6077b5ced65e3aacc18187edae50c8
27,QIL000027,267,332,495,486,2,7,2,Liberty QualityInspectionLot 27,QIL000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8cb7a7d45d1d526dbcb91822e180d07b8cb7a7d45d1d526dbcb91822e180d07b
28,QIL000028,187,161,500,441,4,7,3,Atlas QualityInspectionLot 28,QIL000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fc28740abb7553a91aa59a7c04999a47fc28740abb7553a91aa59a7c04999a4
29,QIL000029,454,148,356,175,10,9,3,Meridian QualityInspectionLot 29,QIL000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1ac94951aeb59a39e980f38dec1c293e1ac94951aeb59a39e980f38dec1c293
30,QIL000030,424,209,336,358,2,6,1,Northstar QualityInspectionLot 30,QIL000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38a87094a9705c9f982dc4f4b9cdeeb438a87094a9705c9f982dc4f4b9cdeeb4
31,QIL000031,8,62,241,131,11,3,1,Vertex QualityInspectionLot 31,QIL000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63f748904b7f5321883a64c58a02c5fb63f748904b7f5321883a64c58a02c5fb
32,QIL000032,9,183,171,371,2,1,7,Orion QualityInspectionLot 32,QIL000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,621d63b79885512983199fbc7f1c8882621d63b79885512983199fbc7f1c8882
33,QIL000033,89,57,387,487,3,3,6,Evergreen QualityInspectionLot 33,QIL000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a244ea047545144b55933fbcf4116cb0a244ea047545144b55933fbcf4116cb
34,QIL000034,394,294,-1,-1,6,1,5,Summit QualityInspectionLot 34,QIL000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b177b4f5b875336a0626442a9b171ec1b177b4f5b875336a0626442a9b171ec
35,QIL000035,107,178,86,449,11,1,4,Pioneer QualityInspectionLot 35,QIL000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8e32c78cd865db79d7223f6ef7eef4fb8e32c78cd865db79d7223f6ef7eef4f
36,QIL000036,143,310,334,439,11,10,5,Pioneer QualityInspectionLot 36,QIL000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae9ed309bfd85f6d9a0f82cd334dd9e2ae9ed309bfd85f6d9a0f82cd334dd9e2
37,QIL000037,120,89,397,281,5,1,5,Cedar QualityInspectionLot 37,QIL000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83f411c609b55dd68de6d3747845124f83f411c609b55dd68de6d3747845124f
38,QIL000038,251,312,377,54,7,1,1,Cedar QualityInspectionLot 38,QIL000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6153b6dbde1e5601baf9b0bf3429fc1c6153b6dbde1e5601baf9b0bf3429fc1c
39,QIL000039,177,137,144,490,1,8,2,Keystone QualityInspectionLot 39,QIL000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,62e69e4fb1b05d4ba843df509206649762e69e4fb1b05d4ba843df5092066497
40,QIL000040,153,207,257,221,10,3,2,Zenith QualityInspectionLot 40,QIL000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf7059682f7b5d2aa40eded8cd021aa5bf7059682f7b5d2aa40eded8cd021aa5
41,QIL000041,303,17,44,491,12,2,3,Atlas QualityInspectionLot 41,QIL000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a31a2bae271d50caa23d1b0aadc5953ba31a2bae271d50caa23d1b0aadc5953b
42,QIL000042,405,300,488,237,7,7,7,Vertex QualityInspectionLot 42,QIL000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,880de865cbad58718b2da897ddc2cd24880de865cbad58718b2da897ddc2cd24
43,QIL000043,270,81,45,466,3,6,2,Titan QualityInspectionLot 43,QIL000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e89cc25a9b97553d8a5738a85fcdc284e89cc25a9b97553d8a5738a85fcdc284
44,QIL000044,403,109,319,172,12,9,5,Harbor QualityInspectionLot 44,QIL000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4636cf039be753f48e2c35ebdeebf6c84636cf039be753f48e2c35ebdeebf6c8
45,QIL000045,157,23,224,260,6,4,2,Willow QualityInspectionLot 45,QIL000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c65fa1869a150bfab6e31a2216958106c65fa1869a150bfab6e31a221695810
46,QIL000046,149,259,374,456,2,10,3,Zenith QualityInspectionLot 46,QIL000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31a18cb3e6335530a58e59c7dca6e3d831a18cb3e6335530a58e59c7dca6e3d8
47,QIL000047,346,149,480,49,6,7,2,Northstar QualityInspectionLot 47,QIL000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,540eb83369bd52eca7f3f299b605701d540eb83369bd52eca7f3f299b605701d
48,QIL000048,280,62,382,404,4,6,3,Orion QualityInspectionLot 48,QIL000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31e8f9009ef25984b4a359ce14c708c931e8f9009ef25984b4a359ce14c708c9
49,QIL000049,68,216,488,160,5,4,5,Cedar QualityInspectionLot 49,QIL000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b749532e39353cea213c88a066efa9e5b749532e39353cea213c88a066efa9e
50,QIL000050,487,92,327,264,4,11,3,Unity QualityInspectionLot 50,QIL000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed8feddff6f852fba00051fa94b4b32aed8feddff6f852fba00051fa94b4b32a
51,QIL000051,436,289,-1,-1,5,11,1,Harbor QualityInspectionLot 51,QIL000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f75eafb2890f53a08f8f628ae2f94acaf75eafb2890f53a08f8f628ae2f94aca
52,QIL000052,342,59,92,265,11,10,1,Zenith QualityInspectionLot 52,QIL000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7e5caba81f75f779942cfa898fb1955a7e5caba81f75f779942cfa898fb1955
53,QIL000053,68,119,451,459,3,4,4,Evergreen QualityInspectionLot 53,QIL000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2e46c6e40655efd9b3bed1219aeb9b8f2e46c6e40655efd9b3bed1219aeb9b8
54,QIL000054,262,286,276,72,8,1,5,Unity QualityInspectionLot 54,QIL000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc671cbf386b5ee19311238d844540e4bc671cbf386b5ee19311238d844540e4
55,QIL000055,95,58,312,115,5,2,2,Northstar QualityInspectionLot 55,QIL000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0ebb649c6ac5e49b0ee17db553b6abbc0ebb649c6ac5e49b0ee17db553b6abb
56,QIL000056,146,299,91,5,2,1,7,Keystone QualityInspectionLot 56,QIL000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f5a68b8372e51d49de65cc5e9b956d42f5a68b8372e51d49de65cc5e9b956d4
57,QIL000057,45,225,350,478,1,11,5,Northstar QualityInspectionLot 57,QIL000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75ead74b2a295b39af1f3c4327a17af675ead74b2a295b39af1f3c4327a17af6
58,QIL000058,210,220,62,211,12,1,7,Summit QualityInspectionLot 58,QIL000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4efdee67d8a15db3a8144f0e00d743164efdee67d8a15db3a8144f0e00d74316
59,QIL000059,199,51,483,456,3,10,3,Forge QualityInspectionLot 59,QIL000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23de0ec61b055cb0be50c3a8d202580d23de0ec61b055cb0be50c3a8d202580d
60,QIL000060,409,132,99,286,7,5,1,Riverton QualityInspectionLot 60,QIL000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1c27320b1d55e248ec365d50b0267a5b1c27320b1d55e248ec365d50b0267a5
61,QIL000061,495,264,350,453,1,5,2,Pioneer QualityInspectionLot 61,QIL000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,027c8a027f1f5fd7a1123dd4765c98b3027c8a027f1f5fd7a1123dd4765c98b3
62,QIL000062,375,6,213,189,12,9,6,Granite QualityInspectionLot 62,QIL000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a63414036f7d5529994f4a6c5f543535a63414036f7d5529994f4a6c5f543535
63,QIL000063,78,63,373,40,3,3,3,Zenith QualityInspectionLot 63,QIL000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f8daae1d74055488bdf0b3956f40d266f8daae1d74055488bdf0b3956f40d26
64,QIL000064,457,131,154,212,8,4,6,Orion QualityInspectionLot 64,QIL000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6aca8397eb72571381d94b1b2d31ef0f6aca8397eb72571381d94b1b2d31ef0f
65,QIL000065,410,337,487,335,7,7,7,Atlas QualityInspectionLot 65,QIL000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bdffd33a68ca5392bb6ba876201e919cbdffd33a68ca5392bb6ba876201e919c
66,QIL000066,378,252,97,447,7,11,4,Junction QualityInspectionLot 66,QIL000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a49c839d9af0551f96454a00a1a2319ea49c839d9af0551f96454a00a1a2319e
67,QIL000067,429,183,19,110,2,9,4,Evergreen QualityInspectionLot 67,QIL000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,576ab6e3b8bb52289c2d3ec8d8ce759f576ab6e3b8bb52289c2d3ec8d8ce759f
68,QIL000068,39,102,-1,-1,1,3,6,Vertex QualityInspectionLot 68,QIL000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,caa97f63595c5b9bb6cd8a0417a267eecaa97f63595c5b9bb6cd8a0417a267ee
69,QIL000069,230,54,394,490,2,5,3,Summit QualityInspectionLot 69,QIL000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21dae544dd985f6a870fd67815bed96821dae544dd985f6a870fd67815bed968
70,QIL000070,464,295,225,336,6,2,5,Atlas QualityInspectionLot 70,QIL000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce6f9e070cbf5cec851a8258e23900efce6f9e070cbf5cec851a8258e23900ef
71,QIL000071,163,17,19,486,12,9,1,Junction QualityInspectionLot 71,QIL000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,506c4d2796aa5c96bd2a8e041eec47e2506c4d2796aa5c96bd2a8e041eec47e2
72,QIL000072,19,210,417,437,9,8,2,Atlas QualityInspectionLot 72,QIL000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b5f20b42ff55b32b67e2cf0fc97120d7b5f20b42ff55b32b67e2cf0fc97120d
73,QIL000073,294,323,39,383,10,3,4,Forge QualityInspectionLot 73,QIL000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,649a9fc0844c5d7b80620fe21b9b95a5649a9fc0844c5d7b80620fe21b9b95a5
74,QIL000074,58,325,238,409,6,4,5,Atlas QualityInspectionLot 74,QIL000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4003664e6c15c69995ff2fd42893dcfd4003664e6c15c69995ff2fd42893dcf
75,QIL000075,295,57,294,15,9,7,6,Beacon QualityInspectionLot 75,QIL000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b659b30db5215dd08a41c5f9dde475afb659b30db5215dd08a41c5f9dde475af
76,QIL000076,435,277,455,439,11,9,4,Meridian QualityInspectionLot 76,QIL000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcb568bdf6d558d4b407e6d56f4194e1fcb568bdf6d558d4b407e6d56f4194e1
77,QIL000077,487,205,491,374,3,6,6,Cedar QualityInspectionLot 77,QIL000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebaf54e87cdb57bf8d2e2a9a9b528744ebaf54e87cdb57bf8d2e2a9a9b528744
78,QIL000078,4,271,175,283,12,7,4,Cedar QualityInspectionLot 78,QIL000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54bc2d235c5a52db93bbc199e72894ec54bc2d235c5a52db93bbc199e72894ec
79,QIL000079,270,321,429,187,10,12,1,Summit QualityInspectionLot 79,QIL000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39eb2dfdc21956dea5eb89d8c3d13b5839eb2dfdc21956dea5eb89d8c3d13b58
80,QIL000080,432,12,430,246,8,3,7,Granite QualityInspectionLot 80,QIL000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56b3d04ca83452ce93d367b44455df5056b3d04ca83452ce93d367b44455df50
81,QIL000081,304,153,210,353,8,7,3,Meridian QualityInspectionLot 81,QIL000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a514fba1c0705f568484ad36e1f69248a514fba1c0705f568484ad36e1f69248
82,QIL000082,380,300,494,341,3,1,1,Titan QualityInspectionLot 82,QIL000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd18d68ed073566c830eece8704c73d3dd18d68ed073566c830eece8704c73d3
83,QIL000083,110,326,418,384,7,8,1,Evergreen QualityInspectionLot 83,QIL000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6766b76f8b4653c2a6fd841fefdb08e96766b76f8b4653c2a6fd841fefdb08e9
84,QIL000084,10,173,88,199,9,5,1,Liberty QualityInspectionLot 84,QIL000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9ab0b0828b95fd9bd34887b7ce473e7d9ab0b0828b95fd9bd34887b7ce473e7
85,QIL000085,75,253,-1,-1,4,5,4,Riverton QualityInspectionLot 85,QIL000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb60ad4d054d547f9f6c49caa37e6bd1eb60ad4d054d547f9f6c49caa37e6bd1
86,QIL000086,245,248,19,400,12,7,7,Titan QualityInspectionLot 86,QIL000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6ca178318ba506083a5e7add81f2659a6ca178318ba506083a5e7add81f2659
87,QIL000087,4,27,113,389,10,9,2,Orion QualityInspectionLot 87,QIL000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ef8216bfa3f5ce5b2cca49a631f7ed77ef8216bfa3f5ce5b2cca49a631f7ed7
88,QIL000088,379,48,473,19,1,1,1,Keystone QualityInspectionLot 88,QIL000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b53fa73328f8586da541f37f259b6876b53fa73328f8586da541f37f259b6876
89,QIL000089,404,93,302,272,8,12,7,Granite QualityInspectionLot 89,QIL000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6680df1782f590b8dd12775ba58fe37c6680df1782f590b8dd12775ba58fe37
90,QIL000090,267,53,491,311,7,9,4,Beacon QualityInspectionLot 90,QIL000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,adc8d8c8bcb7564897a48c5d4612c1e2adc8d8c8bcb7564897a48c5d4612c1e2
91,QIL000091,353,107,441,471,7,6,4,Forge QualityInspectionLot 91,QIL000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e60390a7099585d880267b0e1f925d85e60390a7099585d880267b0e1f925d8
92,QIL000092,308,257,48,460,11,5,3,Unity QualityInspectionLot 92,QIL000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39ff55ac8d255700ae85d1a65b3429fb39ff55ac8d255700ae85d1a65b3429fb
93,QIL000093,44,269,165,324,9,3,4,Titan QualityInspectionLot 93,QIL000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4f26dc9e36b5983b19cfd02d9e91754d4f26dc9e36b5983b19cfd02d9e91754
