ProductionCrewKey,ProductionCrewCode,ProductionCrewRoleKey,CostCenterKey,ProductionCrewName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
10,PC000010,308,2,Liberty ProductionCrew 10,PC000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74ff55460f16588284f46a321b49b45f74ff55460f16588284f46a321b49b45f
11,PC000011,465,239,Vertex ProductionCrew 11,PC000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98623639a64759dea011bca0791b687598623639a64759dea011bca0791b6875
12,PC000012,78,441,Vertex ProductionCrew 12,PC000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75f7a66b9b4151fdb7e6bfaea44ededb75f7a66b9b4151fdb7e6bfaea44ededb
13,PC000013,331,403,Delta ProductionCrew 13,PC000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88cdfb38a2285aa3994b9c5fcc32bf1788cdfb38a2285aa3994b9c5fcc32bf17
14,PC000014,392,231,Pioneer ProductionCrew 14,PC000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26042c3268e054dfaf0365eaa781eab326042c3268e054dfaf0365eaa781eab3
15,PC000015,362,77,Harbor ProductionCrew 15,PC000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c59042b9083e50c2a1047e6e113fe376c59042b9083e50c2a1047e6e113fe376
16,PC000016,480,190,Unity ProductionCrew 16,PC000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ebfc2c0d0705068af8268fbd7cda4867ebfc2c0d0705068af8268fbd7cda486
17,PC000017,178,122,Riverton ProductionCrew 17,PC000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6fbb4b0ccd4257628382c3b5bbc944cc6fbb4b0ccd4257628382c3b5bbc944cc
18,PC000018,364,326,Liberty ProductionCrew 18,PC000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89db21a9032c58bd88d7174c2a6f31d389db21a9032c58bd88d7174c2a6f31d3
19,PC000019,390,486,Keystone ProductionCrew 19,PC000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd0171104e775112b1f479830e12bfd2cd0171104e775112b1f479830e12bfd2
20,PC000020,416,377,Ion ProductionCrew 20,PC000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,894597417fab5812b555613221fd7e02894597417fab5812b555613221fd7e02
21,PC000021,396,440,Ion ProductionCrew 21,PC000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d28f7f5c99f5c5aac3753b241ac6d842d28f7f5c99f5c5aac3753b241ac6d84
22,PC000022,324,10,Summit ProductionCrew 22,PC000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95d24ca23968599a902e025906bb94c195d24ca23968599a902e025906bb94c1
23,PC000023,62,394,Zenith ProductionCrew 23,PC000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20b16a1ada3f5ce18e91e5d6c98c01ca20b16a1ada3f5ce18e91e5d6c98c01ca
24,PC000024,432,350,Pioneer ProductionCrew 24,PC000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d18c82d3a476531ca2f3803e9a59214ad18c82d3a476531ca2f3803e9a59214a
25,PC000025,247,95,Titan ProductionCrew 25,PC000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96a14052e73c55a6bf77b76e32208e6096a14052e73c55a6bf77b76e32208e60
26,PC000026,371,348,Pioneer ProductionCrew 26,PC000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,08ee0f3baf40535fa3166010a47466e908ee0f3baf40535fa3166010a47466e9
27,PC000027,358,438,Atlas ProductionCrew 27,PC000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a325f9f9f645bd48e4b9a871fa99dad5a325f9f9f645bd48e4b9a871fa99dad
28,PC000028,72,393,Granite ProductionCrew 28,PC000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a52e3b4ede2e55839465459b9185205fa52e3b4ede2e55839465459b9185205f
29,PC000029,266,375,Willow ProductionCrew 29,PC000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5395715870ac53dfa8584e3227e454905395715870ac53dfa8584e3227e45490
30,PC000030,144,238,Titan ProductionCrew 30,PC000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c5d6d481b3645b48bffee20aa4da10e7c5d6d481b3645b48bffee20aa4da10e7
31,PC000031,481,78,Forge ProductionCrew 31,PC000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f1dc3baf5dc51dd882c68daf859a0fe6f1dc3baf5dc51dd882c68daf859a0fe
32,PC000032,262,37,Delta ProductionCrew 32,PC000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c562733c46a5601b97b929a71129b553c562733c46a5601b97b929a71129b55
33,PC000033,404,467,Forge ProductionCrew 33,PC000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5241d20ba915b3c83d2fb777f184fe2a5241d20ba915b3c83d2fb777f184fe2
34,PC000034,130,71,Willow ProductionCrew 34,PC000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a9cfba04bf55dcc9a487ea76782a69b9a9cfba04bf55dcc9a487ea76782a69b
35,PC000035,94,265,Liberty ProductionCrew 35,PC000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5a5cfb04d66540a9d9f2c466bd2dc8fd5a5cfb04d66540a9d9f2c466bd2dc8f
36,PC000036,321,421,Ion ProductionCrew 36,PC000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,baf23c9b7d86550388dbac1ebc8cbf59baf23c9b7d86550388dbac1ebc8cbf59
37,PC000037,224,300,Granite ProductionCrew 37,PC000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf6bfe6c8a1a5b608bd6322c9bf4ada1cf6bfe6c8a1a5b608bd6322c9bf4ada1
38,PC000038,306,273,Zenith ProductionCrew 38,PC000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4f8d2573c665456907a80a3fced7169c4f8d2573c665456907a80a3fced7169
39,PC000039,96,334,Forge ProductionCrew 39,PC000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ec3b96be1fb5e73afb5eacffe41b3698ec3b96be1fb5e73afb5eacffe41b369
40,PC000040,181,214,Granite ProductionCrew 40,PC000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b98dcf0219415db2b1cd594ddce0c07eb98dcf0219415db2b1cd594ddce0c07e
41,PC000041,264,434,Northstar ProductionCrew 41,PC000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac4168325cc1548994189b3438579a44ac4168325cc1548994189b3438579a44
42,PC000042,181,248,Quartz ProductionCrew 42,PC000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72f2561d0400509f8faf60153df6fec672f2561d0400509f8faf60153df6fec6
43,PC000043,316,310,Summit ProductionCrew 43,PC000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,180ed2c4cc8a540b8acd9bdad7de79b1180ed2c4cc8a540b8acd9bdad7de79b1
44,PC000044,114,89,Keystone ProductionCrew 44,PC000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4bff4baabd7566a94aa6613e515a292d4bff4baabd7566a94aa6613e515a292
45,PC000045,360,257,Beacon ProductionCrew 45,PC000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e466d0bb766515ea33770a63ea7f1ff9e466d0bb766515ea33770a63ea7f1ff
46,PC000046,361,115,Meridian ProductionCrew 46,PC000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0eb464d223d155b48ef5be2aefe4acc20eb464d223d155b48ef5be2aefe4acc2
47,PC000047,47,70,Delta ProductionCrew 47,PC000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ec7c4e06043581ea281f6d3ad0b7ddd0ec7c4e06043581ea281f6d3ad0b7ddd
48,PC000048,429,476,Forge ProductionCrew 48,PC000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75a6a59bfb19534a96cd20742543cc1375a6a59bfb19534a96cd20742543cc13
49,PC000049,420,463,Cedar ProductionCrew 49,PC000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cee3f87adb0556c4819f28f9196bbfadcee3f87adb0556c4819f28f9196bbfad
50,PC000050,162,260,Liberty ProductionCrew 50,PC000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b09596e1264d5c57ab093b0e6e058e2cb09596e1264d5c57ab093b0e6e058e2c
51,PC000051,419,489,Keystone ProductionCrew 51,PC000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4c72b8d8a7652758fecf919bc486641b4c72b8d8a7652758fecf919bc486641
52,PC000052,44,418,Meridian ProductionCrew 52,PC000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8b1e6cb9d84659b3b9868c11c7890f738b1e6cb9d84659b3b9868c11c7890f73
53,PC000053,173,98,Quartz ProductionCrew 53,PC000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc19dd1433205c0dba2e9ebb1d5333a4bc19dd1433205c0dba2e9ebb1d5333a4
54,PC000054,129,235,Forge ProductionCrew 54,PC000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2aaeafe158bf5f4ba77e15fc08f796572aaeafe158bf5f4ba77e15fc08f79657
55,PC000055,481,416,Cedar ProductionCrew 55,PC000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a910b2e51aa553abe0503f6e640846f6a910b2e51aa553abe0503f6e640846f
56,PC000056,385,355,Evergreen ProductionCrew 56,PC000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d52b6660d2535269bfb65df4c81c09c4d52b6660d2535269bfb65df4c81c09c4
57,PC000057,11,98,Summit ProductionCrew 57,PC000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,807f966e1729550a8597b5dee56f4fa0807f966e1729550a8597b5dee56f4fa0
58,PC000058,170,399,Zenith ProductionCrew 58,PC000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a601a608182c5430802d168c3ed74545a601a608182c5430802d168c3ed74545
59,PC000059,15,422,Northstar ProductionCrew 59,PC000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d411978da1f54bca2b3db898b8b428c2d411978da1f54bca2b3db898b8b428c
60,PC000060,187,366,Titan ProductionCrew 60,PC000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06d67d52c1725abc89b314bce0994af506d67d52c1725abc89b314bce0994af5
61,PC000061,479,499,Atlas ProductionCrew 61,PC000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ba5b5ce19de510c907251dd2a99bfea9ba5b5ce19de510c907251dd2a99bfea
62,PC000062,164,358,Keystone ProductionCrew 62,PC000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,134532fcf04d5a06bd747120004b9558134532fcf04d5a06bd747120004b9558
63,PC000063,143,337,Beacon ProductionCrew 63,PC000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d0eb50fe9ce5bf0bb1fe6ff29a224ce7d0eb50fe9ce5bf0bb1fe6ff29a224ce
64,PC000064,400,400,Quartz ProductionCrew 64,PC000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a23361cb55285f8b9fe7923daf2d6708a23361cb55285f8b9fe7923daf2d6708
65,PC000065,171,346,Summit ProductionCrew 65,PC000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,596872dcbc0a5a1ea3c9e99c4f7ea9fb596872dcbc0a5a1ea3c9e99c4f7ea9fb
66,PC000066,481,203,Harbor ProductionCrew 66,PC000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b753f75e89a8583fb2e5cad6dddb72c0b753f75e89a8583fb2e5cad6dddb72c0
67,PC000067,366,110,Northstar ProductionCrew 67,PC000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aee2aeb79df958aba5f9f99721d169e7aee2aeb79df958aba5f9f99721d169e7
68,PC000068,395,409,Beacon ProductionCrew 68,PC000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,607f2dc53b275ea68c2cd970f46021cb607f2dc53b275ea68c2cd970f46021cb
69,PC000069,132,306,Cedar ProductionCrew 69,PC000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cbd6114df0005745ad0cf29fc63d6de1cbd6114df0005745ad0cf29fc63d6de1
70,PC000070,498,14,Titan ProductionCrew 70,PC000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0882f37eeb3250969ec472118ad81ad60882f37eeb3250969ec472118ad81ad6
71,PC000071,393,129,Keystone ProductionCrew 71,PC000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2dc75fe820e564ebec124b0119d94aca2dc75fe820e564ebec124b0119d94ac
72,PC000072,149,132,Summit ProductionCrew 72,PC000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f6f35f77c6f5d6698869428c4814a411f6f35f77c6f5d6698869428c4814a41
73,PC000073,260,372,Granite ProductionCrew 73,PC000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa7bdc3f17fc538b80121a6fd3eb56ccaa7bdc3f17fc538b80121a6fd3eb56cc
74,PC000074,188,412,Unity ProductionCrew 74,PC000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30de18589abd578ca24adf9668f2b97e30de18589abd578ca24adf9668f2b97e
75,PC000075,241,395,Keystone ProductionCrew 75,PC000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ea0b470962a5301b58b8059e7c3b76a6ea0b470962a5301b58b8059e7c3b76a
76,PC000076,288,214,Titan ProductionCrew 76,PC000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4593ad9e4f86515b8557578c01b2ee0d4593ad9e4f86515b8557578c01b2ee0d
77,PC000077,455,174,Ion ProductionCrew 77,PC000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20a5edcf4d0658c0b7da6c8a0e94b6c020a5edcf4d0658c0b7da6c8a0e94b6c0
78,PC000078,54,77,Vertex ProductionCrew 78,PC000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5cf39563450d584694c62c394fff8aa95cf39563450d584694c62c394fff8aa9
79,PC000079,82,367,Vertex ProductionCrew 79,PC000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5acf5a9586251f4956665b6b51d1599b5acf5a9586251f4956665b6b51d1599
80,PC000080,104,451,Titan ProductionCrew 80,PC000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c582f50537158b59be4eacdb20b3aa46c582f50537158b59be4eacdb20b3aa4
81,PC000081,159,253,Vertex ProductionCrew 81,PC000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1041b4376ac57daad4e09f341a7d45cb1041b4376ac57daad4e09f341a7d45c
82,PC000082,206,28,Liberty ProductionCrew 82,PC000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a61055ea07b5c649962071521ea8aa82a61055ea07b5c649962071521ea8aa8
83,PC000083,1,424,Orion ProductionCrew 83,PC000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c2efd5ed6955a6a90d4e76c19010aa89c2efd5ed6955a6a90d4e76c19010aa8
84,PC000084,221,122,Delta ProductionCrew 84,PC000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b0032b448115aa095a4749b14ba18946b0032b448115aa095a4749b14ba1894
85,PC000085,97,63,Liberty ProductionCrew 85,PC000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,832a930c0ab0573a802488abf0b0a9bb832a930c0ab0573a802488abf0b0a9bb
86,PC000086,62,95,Atlas ProductionCrew 86,PC000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ea9d04736385e6c8a4856905404e7a60ea9d04736385e6c8a4856905404e7a6
87,PC000087,38,385,Zenith ProductionCrew 87,PC000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0776e5ce597a56bb919e8e381ab66f760776e5ce597a56bb919e8e381ab66f76
88,PC000088,345,489,Summit ProductionCrew 88,PC000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6286955da405fe48b15a1b70df7e8b3f6286955da405fe48b15a1b70df7e8b3
89,PC000089,229,78,Unity ProductionCrew 89,PC000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4787143a785e5110a6bd37e35c51699a4787143a785e5110a6bd37e35c51699a
90,PC000090,483,334,Orion ProductionCrew 90,PC000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,893b6e65db025a6a872a00ad8ef30b76893b6e65db025a6a872a00ad8ef30b76
91,PC000091,227,313,Harbor ProductionCrew 91,PC000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a20f3ddd07c15080a95daf4150520ec7a20f3ddd07c15080a95daf4150520ec7
92,PC000092,370,32,Keystone ProductionCrew 92,PC000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b08eccd6dfb75af3972b166ebf76d62cb08eccd6dfb75af3972b166ebf76d62c
93,PC000093,320,47,Summit ProductionCrew 93,PC000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7bd00de995935aee94f5ffb369514ce57bd00de995935aee94f5ffb369514ce5
94,PC000094,27,450,Titan ProductionCrew 94,PC000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a21a9b142ee59adb647cc9c384886f68a21a9b142ee59adb647cc9c384886f6
95,PC000095,267,489,Unity ProductionCrew 95,PC000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,906486b6f12258c3be20765f12dbae2b906486b6f12258c3be20765f12dbae2b
96,PC000096,246,348,Quartz ProductionCrew 96,PC000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5e3c5691c595546abc0d2e548a27570a5e3c5691c595546abc0d2e548a27570
97,PC000097,139,28,Keystone ProductionCrew 97,PC000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,112a8ed50de25f079b22ffb6029c77bf112a8ed50de25f079b22ffb6029c77bf
98,PC000098,147,36,Willow ProductionCrew 98,PC000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c093747a526501cb34648ccea10fcdc0c093747a526501cb34648ccea10fcdc
99,PC000099,336,227,Junction ProductionCrew 99,PC000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,697c6d6b1ca454b89bf49bbeda6a1967697c6d6b1ca454b89bf49bbeda6a1967
100,PC000100,74,282,Titan ProductionCrew 100,PC000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27d4ac07dd0c5852b74cdec5e9311c0627d4ac07dd0c5852b74cdec5e9311c06
101,PC000101,463,275,Titan ProductionCrew 101,PC000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,255ce75f491e5128bde5c135f59d04ec255ce75f491e5128bde5c135f59d04ec
102,PC000102,196,340,Northstar ProductionCrew 102,PC000102,1,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,73dbbe9de6685b10ba7e6fec5c1995ca73dbbe9de6685b10ba7e6fec5c1995ca
103,PC000103,360,416,Willow ProductionCrew 103,PC000103,1,151.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26366936e5235c01b0cb8b303329988626366936e5235c01b0cb8b3033299886
104,PC000104,19,251,Vertex ProductionCrew 104,PC000104,1,152.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35c58b11cf3e553d9bf4066a198cc44c35c58b11cf3e553d9bf4066a198cc44c
