LogisticsCarrierKey,LogisticsCarrierCode,LogisticsCarrierGroupKey,LogisticsCarrierName,SourceSystemKey,BatchId,LoadedAtUtc
96,LC000096,15,Keystone LogisticsCarrier 96,1,1,2026-08-24T00:00:00.000
97,LC000097,1,Pioneer LogisticsCarrier 97,1,1,2026-08-24T00:00:00.000
98,LC000098,5,Vertex LogisticsCarrier 98,1,1,2026-08-24T00:00:00.000
99,LC000099,4,Vertex LogisticsCarrier 99,1,1,2026-08-24T00:00:00.000
100,LC000100,16,Willow LogisticsCarrier 100,1,1,2026-08-24T00:00:00.000
101,LC000101,15,Delta LogisticsCarrier 101,1,1,2026-08-24T00:00:00.000
102,LC000102,8,Forge LogisticsCarrier 102,1,1,2026-08-24T00:00:00.000
103,LC000103,16,Cedar LogisticsCarrier 103,1,1,2026-08-24T00:00:00.000
104,LC000104,6,Titan LogisticsCarrier 104,1,1,2026-08-24T00:00:00.000
105,LC000105,7,Forge LogisticsCarrier 105,1,1,2026-08-24T00:00:00.000
106,LC000106,8,Zenith LogisticsCarrier 106,1,1,2026-08-24T00:00:00.000
107,LC000107,8,Meridian LogisticsCarrier 107,1,1,2026-08-24T00:00:00.000
108,LC000108,19,Titan LogisticsCarrier 108,1,1,2026-08-24T00:00:00.000
109,LC000109,15,Granite LogisticsCarrier 109,1,1,2026-08-24T00:00:00.000
110,LC000110,7,Granite LogisticsCarrier 110,1,1,2026-08-24T00:00:00.000
111,LC000111,19,Keystone LogisticsCarrier 111,1,1,2026-08-24T00:00:00.000
112,LC000112,13,Summit LogisticsCarrier 112,1,1,2026-08-24T00:00:00.000
113,LC000113,9,Unity LogisticsCarrier 113,1,1,2026-08-24T00:00:00.000
114,LC000114,3,Granite LogisticsCarrier 114,1,1,2026-08-24T00:00:00.000
115,LC000115,10,Harbor LogisticsCarrier 115,1,1,2026-08-24T00:00:00.000
116,LC000116,8,Junction LogisticsCarrier 116,1,1,2026-08-24T00:00:00.000
117,LC000117,9,Keystone LogisticsCarrier 117,1,1,2026-08-24T00:00:00.000
118,LC000118,7,Quartz LogisticsCarrier 118,1,1,2026-08-24T00:00:00.000
119,LC000119,1,Forge LogisticsCarrier 119,1,1,2026-08-24T00:00:00.000
120,LC000120,4,Orion LogisticsCarrier 120,1,1,2026-08-24T00:00:00.000
121,LC000121,7,Northstar LogisticsCarrier 121,1,1,2026-08-24T00:00:00.000
122,LC000122,6,Willow LogisticsCarrier 122,1,1,2026-08-24T00:00:00.000
123,LC000123,9,Meridian LogisticsCarrier 123,1,1,2026-08-24T00:00:00.000
124,LC000124,12,Ion LogisticsCarrier 124,1,1,2026-08-24T00:00:00.000
125,LC000125,4,Unity LogisticsCarrier 125,1,1,2026-08-24T00:00:00.000
126,LC000126,6,Cedar LogisticsCarrier 126,1,1,2026-08-24T00:00:00.000
127,LC000127,2,Northstar LogisticsCarrier 127,1,1,2026-08-24T00:00:00.000
128,LC000128,18,Willow LogisticsCarrier 128,1,1,2026-08-24T00:00:00.000
129,LC000129,10,Liberty LogisticsCarrier 129,1,1,2026-08-24T00:00:00.000
130,LC000130,10,Northstar LogisticsCarrier 130,1,1,2026-08-24T00:00:00.000
131,LC000131,1,Atlas LogisticsCarrier 131,1,1,2026-08-24T00:00:00.000
132,LC000132,2,Delta LogisticsCarrier 132,1,1,2026-08-24T00:00:00.000
133,LC000133,6,Delta LogisticsCarrier 133,1,1,2026-08-24T00:00:00.000
134,LC000134,2,Vertex LogisticsCarrier 134,1,1,2026-08-24T00:00:00.000
135,LC000135,2,Riverton LogisticsCarrier 135,1,1,2026-08-24T00:00:00.000
136,LC000136,8,Unity LogisticsCarrier 136,1,1,2026-08-24T00:00:00.000
137,LC000137,15,Liberty LogisticsCarrier 137,1,1,2026-08-24T00:00:00.000
138,LC000138,2,Granite LogisticsCarrier 138,1,1,2026-08-24T00:00:00.000
139,LC000139,2,Cedar LogisticsCarrier 139,1,1,2026-08-24T00:00:00.000
140,LC000140,11,Keystone LogisticsCarrier 140,1,1,2026-08-24T00:00:00.000
141,LC000141,11,Meridian LogisticsCarrier 141,1,1,2026-08-24T00:00:00.000
142,LC000142,11,Riverton LogisticsCarrier 142,1,1,2026-08-24T00:00:00.000
143,LC000143,8,Quartz LogisticsCarrier 143,1,1,2026-08-24T00:00:00.000
144,LC000144,9,Summit LogisticsCarrier 144,1,1,2026-08-24T00:00:00.000
145,LC000145,1,Vertex LogisticsCarrier 145,1,1,2026-08-24T00:00:00.000
146,LC000146,7,Vertex LogisticsCarrier 146,1,1,2026-08-24T00:00:00.000
147,LC000147,16,Pioneer LogisticsCarrier 147,1,1,2026-08-24T00:00:00.000
148,LC000148,13,Zenith LogisticsCarrier 148,1,1,2026-08-24T00:00:00.000
149,LC000149,16,Vertex LogisticsCarrier 149,1,1,2026-08-24T00:00:00.000
150,LC000150,7,Delta LogisticsCarrier 150,1,1,2026-08-24T00:00:00.000
151,LC000151,3,Harbor LogisticsCarrier 151,1,1,2026-08-24T00:00:00.000
152,LC000152,13,Cedar LogisticsCarrier 152,1,1,2026-08-24T00:00:00.000
153,LC000153,3,Delta LogisticsCarrier 153,1,1,2026-08-24T00:00:00.000
154,LC000154,6,Riverton LogisticsCarrier 154,1,1,2026-08-24T00:00:00.000
155,LC000155,5,Evergreen LogisticsCarrier 155,1,1,2026-08-24T00:00:00.000
156,LC000156,3,Northstar LogisticsCarrier 156,1,1,2026-08-24T00:00:00.000
157,LC000157,8,Beacon LogisticsCarrier 157,1,1,2026-08-24T00:00:00.000
158,LC000158,19,Forge LogisticsCarrier 158,1,1,2026-08-24T00:00:00.000
159,LC000159,6,Cedar LogisticsCarrier 159,1,1,2026-08-24T00:00:00.000
160,LC000160,6,Orion LogisticsCarrier 160,1,1,2026-08-24T00:00:00.000
161,LC000161,13,Harbor LogisticsCarrier 161,1,1,2026-08-24T00:00:00.000
162,LC000162,11,Cedar LogisticsCarrier 162,1,1,2026-08-24T00:00:00.000
163,LC000163,1,Meridian LogisticsCarrier 163,1,1,2026-08-24T00:00:00.000
164,LC000164,1,Titan LogisticsCarrier 164,1,1,2026-08-24T00:00:00.000
165,LC000165,6,Harbor LogisticsCarrier 165,1,1,2026-08-24T00:00:00.000
166,LC000166,7,Delta LogisticsCarrier 166,1,1,2026-08-24T00:00:00.000
167,LC000167,16,Ion LogisticsCarrier 167,1,1,2026-08-24T00:00:00.000
168,LC000168,18,Liberty LogisticsCarrier 168,1,1,2026-08-24T00:00:00.000
169,LC000169,7,Zenith LogisticsCarrier 169,1,1,2026-08-24T00:00:00.000
170,LC000170,10,Summit LogisticsCarrier 170,1,1,2026-08-24T00:00:00.000
171,LC000171,15,Pioneer LogisticsCarrier 171,1,1,2026-08-24T00:00:00.000
172,LC000172,7,Orion LogisticsCarrier 172,1,1,2026-08-24T00:00:00.000
173,LC000173,2,Forge LogisticsCarrier 173,1,1,2026-08-24T00:00:00.000
174,LC000174,7,Atlas LogisticsCarrier 174,1,1,2026-08-24T00:00:00.000
175,LC000175,17,Delta LogisticsCarrier 175,1,1,2026-08-24T00:00:00.000
176,LC000176,18,Quartz LogisticsCarrier 176,1,1,2026-08-24T00:00:00.000
177,LC000177,2,Riverton LogisticsCarrier 177,1,1,2026-08-24T00:00:00.000
178,LC000178,13,Northstar LogisticsCarrier 178,1,1,2026-08-24T00:00:00.000
179,LC000179,17,Riverton LogisticsCarrier 179,1,1,2026-08-24T00:00:00.000
180,LC000180,4,Cedar LogisticsCarrier 180,1,1,2026-08-24T00:00:00.000
181,LC000181,1,Northstar LogisticsCarrier 181,1,1,2026-08-24T00:00:00.000
182,LC000182,6,Vertex LogisticsCarrier 182,1,1,2026-08-24T00:00:00.000
183,LC000183,8,Ion LogisticsCarrier 183,1,1,2026-08-24T00:00:00.000
184,LC000184,3,Junction LogisticsCarrier 184,1,1,2026-08-24T00:00:00.000
185,LC000185,11,Quartz LogisticsCarrier 185,1,1,2026-08-24T00:00:00.000
186,LC000186,11,Atlas LogisticsCarrier 186,1,1,2026-08-24T00:00:00.000
187,LC000187,17,Keystone LogisticsCarrier 187,1,1,2026-08-24T00:00:00.000
188,LC000188,9,Northstar LogisticsCarrier 188,1,1,2026-08-24T00:00:00.000
189,LC000189,20,Harbor LogisticsCarrier 189,1,1,2026-08-24T00:00:00.000
190,LC000190,1,Northstar LogisticsCarrier 190,1,1,2026-08-24T00:00:00.000
191,LC000191,1,Meridian LogisticsCarrier 191,1,1,2026-08-24T00:00:00.000
192,LC000192,15,Unity LogisticsCarrier 192,1,1,2026-08-24T00:00:00.000
193,LC000193,1,Keystone LogisticsCarrier 193,1,1,2026-08-24T00:00:00.000
194,LC000194,8,Northstar LogisticsCarrier 194,1,1,2026-08-24T00:00:00.000
195,LC000195,18,Atlas LogisticsCarrier 195,1,1,2026-08-24T00:00:00.000
196,LC000196,19,Forge LogisticsCarrier 196,1,1,2026-08-24T00:00:00.000
197,LC000197,15,Delta LogisticsCarrier 197,1,1,2026-08-24T00:00:00.000
198,LC000198,14,Keystone LogisticsCarrier 198,1,1,2026-08-24T00:00:00.000
199,LC000199,19,Willow LogisticsCarrier 199,1,1,2026-08-24T00:00:00.000
200,LC000200,20,Cedar LogisticsCarrier 200,1,1,2026-08-24T00:00:00.000
201,LC000201,5,Atlas LogisticsCarrier 201,1,1,2026-08-24T00:00:00.000
202,LC000202,4,Junction LogisticsCarrier 202,1,1,2026-08-24T00:00:00.000
203,LC000203,17,Quartz LogisticsCarrier 203,1,1,2026-08-24T00:00:00.000
204,LC000204,3,Summit LogisticsCarrier 204,1,1,2026-08-24T00:00:00.000
205,LC000205,10,Forge LogisticsCarrier 205,1,1,2026-08-24T00:00:00.000
206,LC000206,9,Delta LogisticsCarrier 206,1,1,2026-08-24T00:00:00.000
207,LC000207,9,Unity LogisticsCarrier 207,1,1,2026-08-24T00:00:00.000
208,LC000208,3,Junction LogisticsCarrier 208,1,1,2026-08-24T00:00:00.000
209,LC000209,3,Titan LogisticsCarrier 209,1,1,2026-08-24T00:00:00.000
210,LC000210,8,Willow LogisticsCarrier 210,1,1,2026-08-24T00:00:00.000
211,LC000211,3,Orion LogisticsCarrier 211,1,1,2026-08-24T00:00:00.000
212,LC000212,9,Liberty LogisticsCarrier 212,1,1,2026-08-24T00:00:00.000
213,LC000213,20,Evergreen LogisticsCarrier 213,1,1,2026-08-24T00:00:00.000
214,LC000214,7,Meridian LogisticsCarrier 214,1,1,2026-08-24T00:00:00.000
215,LC000215,11,Keystone LogisticsCarrier 215,1,1,2026-08-24T00:00:00.000
216,LC000216,14,Liberty LogisticsCarrier 216,1,1,2026-08-24T00:00:00.000
217,LC000217,14,Forge LogisticsCarrier 217,1,1,2026-08-24T00:00:00.000
218,LC000218,13,Summit LogisticsCarrier 218,1,1,2026-08-24T00:00:00.000
219,LC000219,11,Atlas LogisticsCarrier 219,1,1,2026-08-24T00:00:00.000
220,LC000220,14,Forge LogisticsCarrier 220,1,1,2026-08-24T00:00:00.000
221,LC000221,12,Meridian LogisticsCarrier 221,1,1,2026-08-24T00:00:00.000
222,LC000222,6,Ion LogisticsCarrier 222,1,1,2026-08-24T00:00:00.000
223,LC000223,8,Orion LogisticsCarrier 223,1,1,2026-08-24T00:00:00.000
224,LC000224,15,Willow LogisticsCarrier 224,1,1,2026-08-24T00:00:00.000
225,LC000225,13,Forge LogisticsCarrier 225,1,1,2026-08-24T00:00:00.000
226,LC000226,17,Evergreen LogisticsCarrier 226,1,1,2026-08-24T00:00:00.000
227,LC000227,7,Summit LogisticsCarrier 227,1,1,2026-08-24T00:00:00.000
228,LC000228,18,Evergreen LogisticsCarrier 228,1,1,2026-08-24T00:00:00.000
229,LC000229,10,Harbor LogisticsCarrier 229,1,1,2026-08-24T00:00:00.000
230,LC000230,9,Evergreen LogisticsCarrier 230,1,1,2026-08-24T00:00:00.000
231,LC000231,16,Cedar LogisticsCarrier 231,1,1,2026-08-24T00:00:00.000
232,LC000232,14,Pioneer LogisticsCarrier 232,1,1,2026-08-24T00:00:00.000
233,LC000233,15,Riverton LogisticsCarrier 233,1,1,2026-08-24T00:00:00.000
234,LC000234,2,Quartz LogisticsCarrier 234,1,1,2026-08-24T00:00:00.000
235,LC000235,14,Liberty LogisticsCarrier 235,1,1,2026-08-24T00:00:00.000
236,LC000236,17,Riverton LogisticsCarrier 236,1,1,2026-08-24T00:00:00.000
237,LC000237,10,Willow LogisticsCarrier 237,1,1,2026-08-24T00:00:00.000
238,LC000238,13,Unity LogisticsCarrier 238,1,1,2026-08-24T00:00:00.000
239,LC000239,7,Vertex LogisticsCarrier 239,1,1,2026-08-24T00:00:00.000
240,LC000240,19,Cedar LogisticsCarrier 240,1,1,2026-08-24T00:00:00.000
241,LC000241,17,Harbor LogisticsCarrier 241,1,1,2026-08-24T00:00:00.000
242,LC000242,15,Liberty LogisticsCarrier 242,1,1,2026-08-24T00:00:00.000
243,LC000243,4,Granite LogisticsCarrier 243,1,1,2026-08-24T00:00:00.000
244,LC000244,19,Northstar LogisticsCarrier 244,1,1,2026-08-24T00:00:00.000
245,LC000245,11,Meridian LogisticsCarrier 245,1,1,2026-08-24T00:00:00.000
246,LC000246,4,Unity LogisticsCarrier 246,1,1,2026-08-24T00:00:00.000
247,LC000247,11,Ion LogisticsCarrier 247,1,1,2026-08-24T00:00:00.000
248,LC000248,11,Cedar LogisticsCarrier 248,1,1,2026-08-24T00:00:00.000
249,LC000249,18,Beacon LogisticsCarrier 249,1,1,2026-08-24T00:00:00.000
250,LC000250,4,Ion LogisticsCarrier 250,1,1,2026-08-24T00:00:00.000
251,LC000251,4,Quartz LogisticsCarrier 251,1,1,2026-08-24T00:00:00.000
252,LC000252,3,Pioneer LogisticsCarrier 252,1,1,2026-08-24T00:00:00.000
253,LC000253,19,Granite LogisticsCarrier 253,1,1,2026-08-24T00:00:00.000
254,LC000254,2,Liberty LogisticsCarrier 254,1,1,2026-08-24T00:00:00.000
255,LC000255,14,Willow LogisticsCarrier 255,1,1,2026-08-24T00:00:00.000
256,LC000256,13,Zenith LogisticsCarrier 256,1,1,2026-08-24T00:00:00.000
257,LC000257,15,Cedar LogisticsCarrier 257,1,1,2026-08-24T00:00:00.000
258,LC000258,17,Cedar LogisticsCarrier 258,1,1,2026-08-24T00:00:00.000
259,LC000259,6,Riverton LogisticsCarrier 259,1,1,2026-08-24T00:00:00.000
260,LC000260,15,Evergreen LogisticsCarrier 260,1,1,2026-08-24T00:00:00.000
261,LC000261,17,Harbor LogisticsCarrier 261,1,1,2026-08-24T00:00:00.000
262,LC000262,8,Unity LogisticsCarrier 262,1,1,2026-08-24T00:00:00.000
263,LC000263,9,Orion LogisticsCarrier 263,1,1,2026-08-24T00:00:00.000
264,LC000264,19,Vertex LogisticsCarrier 264,1,1,2026-08-24T00:00:00.000
265,LC000265,9,Meridian LogisticsCarrier 265,1,1,2026-08-24T00:00:00.000
266,LC000266,12,Liberty LogisticsCarrier 266,1,1,2026-08-24T00:00:00.000
267,LC000267,14,Delta LogisticsCarrier 267,1,1,2026-08-24T00:00:00.000
268,LC000268,16,Harbor LogisticsCarrier 268,1,1,2026-08-24T00:00:00.000
269,LC000269,11,Granite LogisticsCarrier 269,1,1,2026-08-24T00:00:00.000
270,LC000270,9,Ion LogisticsCarrier 270,1,1,2026-08-24T00:00:00.000
271,LC000271,4,Pioneer LogisticsCarrier 271,1,1,2026-08-24T00:00:00.000
272,LC000272,13,Zenith LogisticsCarrier 272,1,1,2026-08-24T00:00:00.000
273,LC000273,19,Vertex LogisticsCarrier 273,1,1,2026-08-24T00:00:00.000
274,LC000274,15,Willow LogisticsCarrier 274,1,1,2026-08-24T00:00:00.000
275,LC000275,19,Vertex LogisticsCarrier 275,1,1,2026-08-24T00:00:00.000
276,LC000276,11,Zenith LogisticsCarrier 276,1,1,2026-08-24T00:00:00.000
277,LC000277,14,Granite LogisticsCarrier 277,1,1,2026-08-24T00:00:00.000
278,LC000278,9,Quartz LogisticsCarrier 278,1,1,2026-08-24T00:00:00.000
279,LC000279,9,Quartz LogisticsCarrier 279,1,1,2026-08-24T00:00:00.000
280,LC000280,7,Cedar LogisticsCarrier 280,1,1,2026-08-24T00:00:00.000
281,LC000281,5,Pioneer LogisticsCarrier 281,1,1,2026-08-24T00:00:00.000
282,LC000282,2,Quartz LogisticsCarrier 282,1,1,2026-08-24T00:00:00.000
283,LC000283,10,Summit LogisticsCarrier 283,1,1,2026-08-24T00:00:00.000
284,LC000284,2,Zenith LogisticsCarrier 284,1,1,2026-08-24T00:00:00.000
285,LC000285,7,Summit LogisticsCarrier 285,1,1,2026-08-24T00:00:00.000
286,LC000286,17,Delta LogisticsCarrier 286,1,1,2026-08-24T00:00:00.000
287,LC000287,4,Granite LogisticsCarrier 287,1,1,2026-08-24T00:00:00.000
288,LC000288,2,Orion LogisticsCarrier 288,1,1,2026-08-24T00:00:00.000
289,LC000289,13,Riverton LogisticsCarrier 289,1,1,2026-08-24T00:00:00.000
290,LC000290,10,Keystone LogisticsCarrier 290,1,1,2026-08-24T00:00:00.000
291,LC000291,1,Liberty LogisticsCarrier 291,1,1,2026-08-24T00:00:00.000
292,LC000292,12,Atlas LogisticsCarrier 292,1,1,2026-08-24T00:00:00.000
293,LC000293,1,Unity LogisticsCarrier 293,1,1,2026-08-24T00:00:00.000
294,LC000294,10,Summit LogisticsCarrier 294,1,1,2026-08-24T00:00:00.000
295,LC000295,12,Northstar LogisticsCarrier 295,1,1,2026-08-24T00:00:00.000
296,LC000296,11,Delta LogisticsCarrier 296,1,1,2026-08-24T00:00:00.000
297,LC000297,2,Junction LogisticsCarrier 297,1,1,2026-08-24T00:00:00.000
298,LC000298,1,Harbor LogisticsCarrier 298,1,1,2026-08-24T00:00:00.000
299,LC000299,6,Harbor LogisticsCarrier 299,1,1,2026-08-24T00:00:00.000
300,LC000300,19,Keystone LogisticsCarrier 300,1,1,2026-08-24T00:00:00.000
301,LC000301,7,Cedar LogisticsCarrier 301,1,1,2026-08-24T00:00:00.000
302,LC000302,13,Meridian LogisticsCarrier 302,1,1,2026-08-24T00:00:00.000
303,LC000303,7,Northstar LogisticsCarrier 303,1,1,2026-08-24T00:00:00.000
304,LC000304,3,Titan LogisticsCarrier 304,1,1,2026-08-24T00:00:00.000
305,LC000305,7,Beacon LogisticsCarrier 305,1,1,2026-08-24T00:00:00.000
306,LC000306,8,Ion LogisticsCarrier 306,1,1,2026-08-24T00:00:00.000
307,LC000307,18,Junction LogisticsCarrier 307,1,1,2026-08-24T00:00:00.000
308,LC000308,15,Harbor LogisticsCarrier 308,1,1,2026-08-24T00:00:00.000
309,LC000309,18,Ion LogisticsCarrier 309,1,1,2026-08-24T00:00:00.000
310,LC000310,19,Beacon LogisticsCarrier 310,1,1,2026-08-24T00:00:00.000
311,LC000311,1,Willow LogisticsCarrier 311,1,1,2026-08-24T00:00:00.000
312,LC000312,4,Orion LogisticsCarrier 312,1,1,2026-08-24T00:00:00.000
313,LC000313,5,Orion LogisticsCarrier 313,1,1,2026-08-24T00:00:00.000
314,LC000314,18,Vertex LogisticsCarrier 314,1,1,2026-08-24T00:00:00.000
315,LC000315,19,Atlas LogisticsCarrier 315,1,1,2026-08-24T00:00:00.000
316,LC000316,10,Summit LogisticsCarrier 316,1,1,2026-08-24T00:00:00.000
