EmployeePayGradeKey,PayGradeCode,CurrencyKey,RecordStatusKey,PayGradeName,PayGradeDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
47,EPG000047,3,1,Northstar EmployeePayGrade 47,EmployeePayGrade starter record 47,Casey Garcia,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,EPG000048,3,4,Keystone EmployeePayGrade 48,EmployeePayGrade starter record 48,Alex Evans,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,EPG000049,5,1,Cedar EmployeePayGrade 49,EmployeePayGrade starter record 49,Riley Diaz,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,EPG000050,3,4,Atlas EmployeePayGrade 50,EmployeePayGrade starter record 50,Blair Patel,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,EPG000051,4,3,Forge EmployeePayGrade 51,EmployeePayGrade starter record 51,Devon Singh,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,EPG000052,5,2,Unity EmployeePayGrade 52,EmployeePayGrade starter record 52,Devon Bennett,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
53,EPG000053,3,3,Vertex EmployeePayGrade 53,EmployeePayGrade starter record 53,Riley Garcia,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,EPG000054,4,1,Summit EmployeePayGrade 54,EmployeePayGrade starter record 54,Blair Diaz,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,EPG000055,5,2,Titan EmployeePayGrade 55,EmployeePayGrade starter record 55,Blair Khan,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,EPG000056,1,3,Granite EmployeePayGrade 56,EmployeePayGrade starter record 56,Jordan Adams,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,EPG000057,2,2,Ion EmployeePayGrade 57,EmployeePayGrade starter record 57,Jordan Chen,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,EPG000058,2,4,Cedar EmployeePayGrade 58,EmployeePayGrade starter record 58,Harper Evans,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,EPG000059,5,4,Willow EmployeePayGrade 59,EmployeePayGrade starter record 59,Morgan Khan,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,EPG000060,4,4,Summit EmployeePayGrade 60,EmployeePayGrade starter record 60,Jordan Evans,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
61,EPG000061,3,1,Liberty EmployeePayGrade 61,EmployeePayGrade starter record 61,Alex Adams,2020-03-02,2021-03-02,1,1,1,2026-08-24T00:00:00.000
62,EPG000062,3,2,Willow EmployeePayGrade 62,EmployeePayGrade starter record 62,Harper Diaz,2020-03-03,2021-03-03,1,1,1,2026-08-24T00:00:00.000
63,EPG000063,3,3,Summit EmployeePayGrade 63,EmployeePayGrade starter record 63,Blair Chen,2020-03-04,2021-03-04,1,1,1,2026-08-24T00:00:00.000
64,EPG000064,4,1,Pioneer EmployeePayGrade 64,EmployeePayGrade starter record 64,Taylor Diaz,2020-03-05,2021-03-05,1,1,1,2026-08-24T00:00:00.000
65,EPG000065,2,2,Forge EmployeePayGrade 65,EmployeePayGrade starter record 65,Casey Hughes,2020-03-06,2021-03-06,0,1,1,2026-08-24T00:00:00.000
66,EPG000066,3,2,Unity EmployeePayGrade 66,EmployeePayGrade starter record 66,Finley Hughes,2020-03-07,2021-03-07,1,1,1,2026-08-24T00:00:00.000
67,EPG000067,5,3,Evergreen EmployeePayGrade 67,EmployeePayGrade starter record 67,Quinn Martin,2020-03-08,2021-03-08,1,1,1,2026-08-24T00:00:00.000
68,EPG000068,1,1,Pioneer EmployeePayGrade 68,EmployeePayGrade starter record 68,Jordan Singh,2020-03-09,2021-03-09,1,1,1,2026-08-24T00:00:00.000
69,EPG000069,1,3,Forge EmployeePayGrade 69,EmployeePayGrade starter record 69,Blair Garcia,2020-03-10,2021-03-10,1,1,1,2026-08-24T00:00:00.000
70,EPG000070,1,3,Quartz EmployeePayGrade 70,EmployeePayGrade starter record 70,Devon Garcia,2020-03-11,2021-03-11,0,1,1,2026-08-24T00:00:00.000
71,EPG000071,5,3,Northstar EmployeePayGrade 71,EmployeePayGrade starter record 71,Morgan Chen,2020-03-12,2021-03-12,1,1,1,2026-08-24T00:00:00.000
72,EPG000072,5,4,Harbor EmployeePayGrade 72,EmployeePayGrade starter record 72,Riley Hughes,2020-03-13,2021-03-13,1,1,1,2026-08-24T00:00:00.000
73,EPG000073,4,4,Titan EmployeePayGrade 73,EmployeePayGrade starter record 73,Casey Martin,2020-03-14,2021-03-14,1,1,1,2026-08-24T00:00:00.000
74,EPG000074,4,1,Titan EmployeePayGrade 74,EmployeePayGrade starter record 74,Emerson Reed,2020-03-15,2021-03-15,1,1,1,2026-08-24T00:00:00.000
75,EPG000075,2,2,Delta EmployeePayGrade 75,EmployeePayGrade starter record 75,Casey Khan,2020-03-16,2021-03-16,0,1,1,2026-08-24T00:00:00.000
76,EPG000076,2,4,Forge EmployeePayGrade 76,EmployeePayGrade starter record 76,Casey Martin,2020-03-17,2021-03-17,1,1,1,2026-08-24T00:00:00.000
77,EPG000077,4,4,Orion EmployeePayGrade 77,EmployeePayGrade starter record 77,Jordan Reed,2020-03-18,2021-03-18,1,1,1,2026-08-24T00:00:00.000
78,EPG000078,1,1,Liberty EmployeePayGrade 78,EmployeePayGrade starter record 78,Morgan Evans,2020-03-19,2021-03-19,1,1,1,2026-08-24T00:00:00.000
79,EPG000079,5,4,Liberty EmployeePayGrade 79,EmployeePayGrade starter record 79,Quinn Hughes,2020-03-20,2021-03-20,1,1,1,2026-08-24T00:00:00.000
80,EPG000080,2,4,Orion EmployeePayGrade 80,EmployeePayGrade starter record 80,Emerson Reed,2020-03-21,2021-03-21,0,1,1,2026-08-24T00:00:00.000
