LogisticsShipmentLineKey,ShipmentLineCode,LogisticsShipmentHeaderKey,ProductKey,OriginPlantKey,LogisticsShipmentStatusKey,UnitOfMeasureKey,ShipmentLineSequenceNumber,HandlingUnitNumber,DeliveryReferenceNumber,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
11,LSL000011,187,48,267,14,4,11,LSL000011,LSL000011,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7af37ecfa4658be8e253ef50711f6e0c7af37ecfa4658be8e253ef50711f6e0
12,LSL000012,135,312,161,1,1,12,LSL000012,LSL000012,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,777e6084b2445439918235be1c605581777e6084b2445439918235be1c605581
13,LSL000013,39,394,81,11,3,13,LSL000013,LSL000013,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c414cc972835168819e55fa794bbe4f3c414cc972835168819e55fa794bbe4f
14,LSL000014,30,160,81,12,2,14,LSL000014,LSL000014,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf9bf4be2278566e8bf865432dc00943bf9bf4be2278566e8bf865432dc00943
15,LSL000015,133,170,34,14,3,15,LSL000015,LSL000015,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,479c7f0aa8315e1eb3c3f20610db05fe479c7f0aa8315e1eb3c3f20610db05fe
16,LSL000016,12,474,78,7,4,16,LSL000016,LSL000016,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3e4b482f8df5c3a8a2764c1a6aace39d3e4b482f8df5c3a8a2764c1a6aace39
17,LSL000017,309,353,-1,14,7,17,LSL000017,LSL000017,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ec48fa7e19d5fa394ede3133b46270c8ec48fa7e19d5fa394ede3133b46270c
18,LSL000018,140,402,271,5,7,18,LSL000018,LSL000018,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c53bad2b542537ca34bcca9bed7fd882c53bad2b542537ca34bcca9bed7fd88
19,LSL000019,469,29,141,9,1,19,LSL000019,LSL000019,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f04412ab67af5243ade6d4c839ffa019f04412ab67af5243ade6d4c839ffa019
20,LSL000020,27,198,348,3,7,20,LSL000020,LSL000020,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31ef8fe7b36e5c7d8d9f92f3a2efffaa31ef8fe7b36e5c7d8d9f92f3a2efffaa
21,LSL000021,36,449,162,1,1,21,LSL000021,LSL000021,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f9609150c2f65e1fb590c7165f4a80b4f9609150c2f65e1fb590c7165f4a80b4
22,LSL000022,193,340,222,3,2,22,LSL000022,LSL000022,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbb388b23b765b90a34db2be1dc99043dbb388b23b765b90a34db2be1dc99043
23,LSL000023,59,349,58,1,7,23,LSL000023,LSL000023,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f4a20e9ee855842a2f3536ac90ac7f81f4a20e9ee855842a2f3536ac90ac7f8
24,LSL000024,343,182,204,9,2,24,LSL000024,LSL000024,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ec1d1fca98f5df6a3f02eb101a1f4351ec1d1fca98f5df6a3f02eb101a1f435
25,LSL000025,55,484,28,6,6,25,LSL000025,LSL000025,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2bf086fc7ad5929a3b09b9ef864ac9cc2bf086fc7ad5929a3b09b9ef864ac9c
26,LSL000026,338,87,144,6,3,26,LSL000026,LSL000026,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4ea117da031528fa36782d02823bf21c4ea117da031528fa36782d02823bf21
27,LSL000027,295,338,183,13,5,27,LSL000027,LSL000027,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f6705c8a23256f29fb29cca64f7d9038f6705c8a23256f29fb29cca64f7d903
28,LSL000028,418,401,42,1,5,28,LSL000028,LSL000028,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e95ddf1329e5e8795e69b53eff9e99c1e95ddf1329e5e8795e69b53eff9e99c
29,LSL000029,412,294,339,4,4,29,LSL000029,LSL000029,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,387c17d03f0857cfb78132f195316f4f387c17d03f0857cfb78132f195316f4f
30,LSL000030,55,107,117,7,2,30,LSL000030,LSL000030,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,100917305c9a5453b91ff12aa0271ed2100917305c9a5453b91ff12aa0271ed2
31,LSL000031,470,131,26,8,1,31,LSL000031,LSL000031,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85aeaa1b859951d2a53c314bd075a9eb85aeaa1b859951d2a53c314bd075a9eb
32,LSL000032,81,257,181,3,5,32,LSL000032,LSL000032,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4fd741aaee935820a3eb40531d9139ef4fd741aaee935820a3eb40531d9139ef
33,LSL000033,368,324,101,10,2,33,LSL000033,LSL000033,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3455674950a45d1799ec1aae5344bc433455674950a45d1799ec1aae5344bc43
34,LSL000034,207,29,-1,10,5,34,LSL000034,LSL000034,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32e00767ea975c10aa2d7d6b36b687cc32e00767ea975c10aa2d7d6b36b687cc
35,LSL000035,292,213,43,4,6,35,LSL000035,LSL000035,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,134cdd1141035822bea340d7e1fceeea134cdd1141035822bea340d7e1fceeea
36,LSL000036,456,4,276,1,6,36,LSL000036,LSL000036,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4457f51cff285fbf921ffe1a3bcb9e354457f51cff285fbf921ffe1a3bcb9e35
37,LSL000037,474,42,131,9,3,37,LSL000037,LSL000037,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c52eb1d492dd5afaa1363e466164c836c52eb1d492dd5afaa1363e466164c836
38,LSL000038,19,250,182,12,6,38,LSL000038,LSL000038,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e4efae39c6556a89cbded49c62316114e4efae39c6556a89cbded49c6231611
39,LSL000039,97,206,229,1,3,39,LSL000039,LSL000039,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e7331b749cd51159ead641486fd201d2e7331b749cd51159ead641486fd201d
40,LSL000040,303,363,311,2,4,40,LSL000040,LSL000040,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d811e76025b5c6bbd8b229750d0f7d90d811e76025b5c6bbd8b229750d0f7d9
41,LSL000041,200,417,287,9,1,41,LSL000041,LSL000041,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aac9d7bd8fb0567f8bc409040a32aef6aac9d7bd8fb0567f8bc409040a32aef6
42,LSL000042,284,81,297,11,3,42,LSL000042,LSL000042,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e096c27a13445f9b869fadd0ff3d078be096c27a13445f9b869fadd0ff3d078b
43,LSL000043,2,455,225,2,1,43,LSL000043,LSL000043,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d8c40982d14582fbf4b646d6c8df15e2d8c40982d14582fbf4b646d6c8df15e
44,LSL000044,22,193,72,6,5,44,LSL000044,LSL000044,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a69de3b6e10157e59fbcbc101ecad5f9a69de3b6e10157e59fbcbc101ecad5f9
45,LSL000045,243,43,192,12,7,45,LSL000045,LSL000045,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e00672bfc5c8559ab4e49da82581b202e00672bfc5c8559ab4e49da82581b202
46,LSL000046,359,447,86,6,4,46,LSL000046,LSL000046,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09c8fed6f5405166b21f4205a9ed626209c8fed6f5405166b21f4205a9ed6262
47,LSL000047,170,304,315,13,6,47,LSL000047,LSL000047,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,703c3471d3575c28ae938e5c7bd883b7703c3471d3575c28ae938e5c7bd883b7
48,LSL000048,267,105,71,9,3,48,LSL000048,LSL000048,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ddb2484ec2ef59069aaff318b75eaadeddb2484ec2ef59069aaff318b75eaade
49,LSL000049,36,154,39,6,6,49,LSL000049,LSL000049,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3cb9fed922aa5cac86b5f807a084a37b3cb9fed922aa5cac86b5f807a084a37b
50,LSL000050,205,25,162,3,6,50,LSL000050,LSL000050,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1bda1c2e1045eaa8ece8cba18225747b1bda1c2e1045eaa8ece8cba18225747
51,LSL000051,95,195,-1,3,5,51,LSL000051,LSL000051,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2144bfb55448507bb19bb977a37ed9ce2144bfb55448507bb19bb977a37ed9ce
52,LSL000052,495,346,112,14,7,52,LSL000052,LSL000052,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7eef17c8f2245dd989b6c23ecdddb9787eef17c8f2245dd989b6c23ecdddb978
53,LSL000053,453,29,78,8,3,53,LSL000053,LSL000053,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bed33e69aed1526aadc1899c31517cd7bed33e69aed1526aadc1899c31517cd7
54,LSL000054,497,254,346,2,4,54,LSL000054,LSL000054,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9d0556068325e269c1e845469396fedd9d0556068325e269c1e845469396fed
55,LSL000055,382,455,278,2,2,55,LSL000055,LSL000055,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1124d73bc9485a02bebe037eb3f69f591124d73bc9485a02bebe037eb3f69f59
56,LSL000056,32,39,190,14,6,56,LSL000056,LSL000056,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2948e0bdf8115f08bdb25c019b2996082948e0bdf8115f08bdb25c019b299608
57,LSL000057,334,15,215,5,3,57,LSL000057,LSL000057,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,381f5bd6b46b5da3ba42b757338713eb381f5bd6b46b5da3ba42b757338713eb
58,LSL000058,250,105,43,14,5,58,LSL000058,LSL000058,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a40d0cf57c1b56e8a83b4d10af157a0ca40d0cf57c1b56e8a83b4d10af157a0c
59,LSL000059,207,398,64,4,2,59,LSL000059,LSL000059,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cbd9b7453e915df18b594b99b0a3fcd4cbd9b7453e915df18b594b99b0a3fcd4
60,LSL000060,246,286,297,6,2,60,LSL000060,LSL000060,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16c3a9e6f1345b279ce269c04c21b90a16c3a9e6f1345b279ce269c04c21b90a
61,LSL000061,489,259,126,13,2,61,LSL000061,LSL000061,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,795f14e79e835206a4e25873b6f1fcf3795f14e79e835206a4e25873b6f1fcf3
62,LSL000062,226,144,246,2,1,62,LSL000062,LSL000062,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,048b35ab0f8f55a1b5da09fdc1534602048b35ab0f8f55a1b5da09fdc1534602
63,LSL000063,35,114,260,6,5,63,LSL000063,LSL000063,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8774e7d584c154298a574c10bd71f2878774e7d584c154298a574c10bd71f287
64,LSL000064,406,423,114,14,5,64,LSL000064,LSL000064,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1551c223034554b4b1ee918718dab9d21551c223034554b4b1ee918718dab9d2
65,LSL000065,171,183,189,8,3,65,LSL000065,LSL000065,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb09626d93df5e71872656927eb779d1cb09626d93df5e71872656927eb779d1
66,LSL000066,497,17,158,4,6,66,LSL000066,LSL000066,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9f0d4b6c85a351d4b21ab2e0a34aafe99f0d4b6c85a351d4b21ab2e0a34aafe9
67,LSL000067,270,80,233,9,4,67,LSL000067,LSL000067,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c354f08ab22353ecabb19b7df8c9970ac354f08ab22353ecabb19b7df8c9970a
68,LSL000068,188,4,-1,14,5,68,LSL000068,LSL000068,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a6e94435e66564f8e98b2ece98b3d567a6e94435e66564f8e98b2ece98b3d56
69,LSL000069,352,132,133,14,2,69,LSL000069,LSL000069,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49789898484c5197bb1bcdb7c476e8e549789898484c5197bb1bcdb7c476e8e5
70,LSL000070,320,200,163,14,5,70,LSL000070,LSL000070,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1461b5adfefe59c2b3e9cbbaddd012f81461b5adfefe59c2b3e9cbbaddd012f8
71,LSL000071,277,108,295,3,1,71,LSL000071,LSL000071,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74e01c2e2c6a5ce9951ce523647df98474e01c2e2c6a5ce9951ce523647df984
72,LSL000072,476,45,38,8,2,72,LSL000072,LSL000072,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e31b4b39db1507db12693e510d540811e31b4b39db1507db12693e510d54081
73,LSL000073,154,261,200,10,2,73,LSL000073,LSL000073,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd6b725d9f4e5838b45aedac2c643507cd6b725d9f4e5838b45aedac2c643507
74,LSL000074,245,390,2,12,7,74,LSL000074,LSL000074,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a94643a08bef52cea77af51377e749e4a94643a08bef52cea77af51377e749e4
75,LSL000075,443,263,114,10,3,75,LSL000075,LSL000075,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b2fc4c5daa55d439aed5fc417542e6b3b2fc4c5daa55d439aed5fc417542e6b
76,LSL000076,10,443,106,14,5,76,LSL000076,LSL000076,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0381e3281cd258069badd871d89334ab0381e3281cd258069badd871d89334ab
77,LSL000077,181,322,233,14,7,77,LSL000077,LSL000077,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3dad9b547f85156bdea4878dfb3567ce3dad9b547f85156bdea4878dfb3567c
78,LSL000078,279,48,292,1,3,78,LSL000078,LSL000078,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,150b50dc8a495779b90e56ccc3b2492c150b50dc8a495779b90e56ccc3b2492c
79,LSL000079,263,233,256,7,2,79,LSL000079,LSL000079,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b84a30ee779545f9cc3b7ffae56d94b2b84a30ee779545f9cc3b7ffae56d94b
80,LSL000080,160,195,276,5,5,80,LSL000080,LSL000080,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,257de8c7ec1b544191d945eebf3093d8257de8c7ec1b544191d945eebf3093d8
81,LSL000081,365,5,158,10,4,81,LSL000081,LSL000081,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,931d17458c455be8a83165d9bf21f9ae931d17458c455be8a83165d9bf21f9ae
82,LSL000082,360,476,35,11,1,82,LSL000082,LSL000082,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39d4527b9e985ba6aabe3dcf3eec200539d4527b9e985ba6aabe3dcf3eec2005
83,LSL000083,258,356,323,8,3,83,LSL000083,LSL000083,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22d0dfea031c57229c0667c37f368f1522d0dfea031c57229c0667c37f368f15
84,LSL000084,161,254,304,5,4,84,LSL000084,LSL000084,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21889a15cdfd5f6e864f0f10b86d586921889a15cdfd5f6e864f0f10b86d5869
85,LSL000085,204,257,-1,1,4,85,LSL000085,LSL000085,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a6c5c75c0495500bf5ba21b6aac2e769a6c5c75c0495500bf5ba21b6aac2e76
86,LSL000086,485,294,100,8,2,86,LSL000086,LSL000086,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85ec90664d025003b7aeec3826d2352585ec90664d025003b7aeec3826d23525
87,LSL000087,199,138,127,12,6,87,LSL000087,LSL000087,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82c6f74f757a54ba900179538db545d582c6f74f757a54ba900179538db545d5
88,LSL000088,400,214,82,1,7,88,LSL000088,LSL000088,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,121145522de9587996c80a0da4bc8ffe121145522de9587996c80a0da4bc8ffe
89,LSL000089,159,116,151,5,7,89,LSL000089,LSL000089,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6540200bc53652abb9ab7e393a1863696540200bc53652abb9ab7e393a186369
90,LSL000090,206,138,140,9,4,90,LSL000090,LSL000090,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6c3ace2c6665cd1a49ca4be12f32334a6c3ace2c6665cd1a49ca4be12f32334
91,LSL000091,350,166,303,7,7,91,LSL000091,LSL000091,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c53302a952635ab28f8a0e7c40be2fc0c53302a952635ab28f8a0e7c40be2fc0
92,LSL000092,414,482,253,3,3,92,LSL000092,LSL000092,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9af259a947c5b3785a03ddadd65b6cec9af259a947c5b3785a03ddadd65b6ce
93,LSL000093,100,474,337,1,4,93,LSL000093,LSL000093,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23c5f5e7ef6a5ca4b83627666453b2b323c5f5e7ef6a5ca4b83627666453b2b3
94,LSL000094,146,318,24,2,1,94,LSL000094,LSL000094,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58249431d01e5a7f88cc670f465e0d1558249431d01e5a7f88cc670f465e0d15
95,LSL000095,173,21,136,13,3,95,LSL000095,LSL000095,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d04f3723a7a574780aa6c8380f6b2581d04f3723a7a574780aa6c8380f6b258
96,LSL000096,100,358,250,2,4,96,LSL000096,LSL000096,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d1a43676fd053689f908944cc1d49024d1a43676fd053689f908944cc1d4902
97,LSL000097,308,456,333,12,6,97,LSL000097,LSL000097,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89d445d49878550882ece17943b62fb589d445d49878550882ece17943b62fb5
98,LSL000098,388,498,246,4,1,98,LSL000098,LSL000098,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,394b4f0f56da55549fe15c79e7809f1f394b4f0f56da55549fe15c79e7809f1f
99,LSL000099,404,312,204,3,1,99,LSL000099,LSL000099,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5b20b25f55c523db6d9fd8461902486d5b20b25f55c523db6d9fd8461902486
100,LSL000100,325,214,334,10,4,100,LSL000100,LSL000100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fab0de2a2b26539f9c044c32b2765e2ffab0de2a2b26539f9c044c32b2765e2f
101,LSL000101,353,183,288,2,7,101,LSL000101,LSL000101,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebfcc8345b0d5be2aee2684a7b941adcebfcc8345b0d5be2aee2684a7b941adc
102,LSL000102,369,450,-1,6,2,102,LSL000102,LSL000102,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,826112e4390058be912cd6a83fa71952826112e4390058be912cd6a83fa71952
103,LSL000103,113,275,214,12,1,103,LSL000103,LSL000103,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7bee0f7ab7bf5f5eb67d2df5d9fad6ab7bee0f7ab7bf5f5eb67d2df5d9fad6ab
104,LSL000104,484,488,293,3,4,104,LSL000104,LSL000104,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52d23f58c2795f9b8a0d102ad22b437b52d23f58c2795f9b8a0d102ad22b437b
105,LSL000105,63,31,206,3,2,105,LSL000105,LSL000105,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a90f55905c4597682ab41b8b03d4b137a90f55905c4597682ab41b8b03d4b13
106,LSL000106,25,9,164,3,6,106,LSL000106,LSL000106,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78605e599ba854ff95926af3592a3ecd78605e599ba854ff95926af3592a3ecd
107,LSL000107,356,32,60,3,2,107,LSL000107,LSL000107,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e5c0b0ce37f5d6091727df478b0b7436e5c0b0ce37f5d6091727df478b0b743
