WorkCenterKey,WorkCenterCode,SiteKey,WorkCenterTypeKey,WorkCenterCapabilityKey,UnitOfMeasureKey,RecordStatusKey,ShiftCodeKey,WorkCenterName,WorkCenterDescription,CapacityPerHourValue,CrewSizeValue,SetupTimeMinutes,QueueTimeMinutes,FiniteCapacityFlag,BottleneckFlag,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
11,WC000011,450,4,93,2,1,3,Meridian WorkCenter 11,WorkCenter starter record 11,25.0700,25.07,16.0000,16.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2592f11c4045392b551dcb3b905b2a2e2592f11c4045392b551dcb3b905b2a2
12,WC000012,82,26,452,4,1,3,Beacon WorkCenter 12,WorkCenter starter record 12,26.4400,26.44,17.0000,17.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2210d3965cec5099b7126b1264102a072210d3965cec5099b7126b1264102a07
13,WC000013,208,23,158,6,2,3,Granite WorkCenter 13,WorkCenter starter record 13,27.8100,27.81,18.0000,18.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb1f3a389b5952b195f626f6cf45b564bb1f3a389b5952b195f626f6cf45b564
14,WC000014,399,6,5,5,4,3,Junction WorkCenter 14,WorkCenter starter record 14,29.1800,29.18,19.0000,19.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b11387f798c059f5a7f8ccf636a15179b11387f798c059f5a7f8ccf636a15179
15,WC000015,130,10,451,4,4,6,Evergreen WorkCenter 15,WorkCenter starter record 15,30.5500,30.55,20.0000,20.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9839aaed1ed597b8917e7f3934fa49dd9839aaed1ed597b8917e7f3934fa49d
16,WC000016,168,26,57,1,4,10,Harbor WorkCenter 16,WorkCenter starter record 16,31.9200,31.92,21.0000,21.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72683be2997e55a3a64017439f9df67272683be2997e55a3a64017439f9df672
17,WC000017,485,23,316,4,2,10,Zenith WorkCenter 17,WorkCenter starter record 17,33.2900,33.29,22.0000,22.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,365b54d6be9b591d8dc55789d870ee61365b54d6be9b591d8dc55789d870ee61
18,WC000018,58,10,180,5,4,8,Riverton WorkCenter 18,WorkCenter starter record 18,34.6600,34.66,23.0000,23.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49d76beb35bd557f8b266461c45d9a6c49d76beb35bd557f8b266461c45d9a6c
19,WC000019,81,13,440,5,1,11,Granite WorkCenter 19,WorkCenter starter record 19,36.0300,36.03,24.0000,24.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2bad9a2f04a2562ba4693cab65ccd2452bad9a2f04a2562ba4693cab65ccd245
20,WC000020,203,33,360,6,3,12,Pioneer WorkCenter 20,WorkCenter starter record 20,37.4000,37.40,25.0000,25.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1f37e51acc752199ee1b00ff8ed3e09f1f37e51acc752199ee1b00ff8ed3e09
21,WC000021,232,7,462,6,1,1,Liberty WorkCenter 21,WorkCenter starter record 21,38.7700,38.77,26.0000,26.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98e41341167858df8e1be1d414044a0298e41341167858df8e1be1d414044a02
22,WC000022,326,4,81,7,3,5,Junction WorkCenter 22,WorkCenter starter record 22,40.1400,40.14,27.0000,27.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8aafd0db7913591e8a2d1ec76d70b8758aafd0db7913591e8a2d1ec76d70b875
23,WC000023,492,28,329,1,2,3,Titan WorkCenter 23,WorkCenter starter record 23,41.5100,41.51,28.0000,28.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68036e49ad625e11916674262c0dee0368036e49ad625e11916674262c0dee03
24,WC000024,443,20,22,6,4,7,Granite WorkCenter 24,WorkCenter starter record 24,42.8800,42.88,29.0000,29.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dfba8f17daa15096a4710917f0867407dfba8f17daa15096a4710917f0867407
25,WC000025,237,14,489,3,1,8,Meridian WorkCenter 25,WorkCenter starter record 25,44.2500,44.25,30.0000,30.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22267b1f13b2519f8ebab8c808dba63322267b1f13b2519f8ebab8c808dba633
26,WC000026,454,3,179,6,1,1,Northstar WorkCenter 26,WorkCenter starter record 26,45.6200,45.62,31.0000,31.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5724774353835ffaab2e17ac698170335724774353835ffaab2e17ac69817033
27,WC000027,372,40,488,7,1,7,Willow WorkCenter 27,WorkCenter starter record 27,46.9900,46.99,32.0000,32.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36f579c4092d53de91f7102121762e0a36f579c4092d53de91f7102121762e0a
28,WC000028,98,13,358,5,4,2,Atlas WorkCenter 28,WorkCenter starter record 28,48.3600,48.36,33.0000,33.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,daabff57fc395722892f8830e14c8b54daabff57fc395722892f8830e14c8b54
29,WC000029,139,21,59,4,4,7,Titan WorkCenter 29,WorkCenter starter record 29,49.7300,49.73,34.0000,34.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17120706a26f554381ad258228643b2817120706a26f554381ad258228643b28
30,WC000030,479,22,134,7,2,11,Liberty WorkCenter 30,WorkCenter starter record 30,51.1000,51.10,35.0000,35.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4cd7134ca545c1ab78a5c1f876cbd28c4cd7134ca545c1ab78a5c1f876cbd28
31,WC000031,11,39,450,2,3,8,Harbor WorkCenter 31,WorkCenter starter record 31,52.4700,52.47,36.0000,36.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,895ca8d04b1750f284bdadd158a7464b895ca8d04b1750f284bdadd158a7464b
32,WC000032,432,21,499,5,1,9,Northstar WorkCenter 32,WorkCenter starter record 32,53.8400,53.84,37.0000,37.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d70c90a0a8f250b0a860c6ce203c85f1d70c90a0a8f250b0a860c6ce203c85f1
33,WC000033,44,36,241,5,4,7,Zenith WorkCenter 33,WorkCenter starter record 33,55.2100,55.21,38.0000,38.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,387a4cdfa8df5bc29ef37df5872334e9387a4cdfa8df5bc29ef37df5872334e9
34,WC000034,90,22,347,1,1,11,Zenith WorkCenter 34,WorkCenter starter record 34,56.5800,56.58,39.0000,39.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f4f28074e5365445895f9bd373dbbdb5f4f28074e5365445895f9bd373dbbdb5
35,WC000035,449,30,177,4,4,6,Granite WorkCenter 35,WorkCenter starter record 35,57.9500,57.95,40.0000,40.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85bb7d46eeec513a9c76a1932ebc35d085bb7d46eeec513a9c76a1932ebc35d0
36,WC000036,193,13,122,2,2,2,Northstar WorkCenter 36,WorkCenter starter record 36,59.3200,59.32,41.0000,41.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,559c24d507ac529c8a3081d77a5f018d559c24d507ac529c8a3081d77a5f018d
37,WC000037,333,12,85,2,1,4,Vertex WorkCenter 37,WorkCenter starter record 37,60.6900,60.69,42.0000,42.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,960f2b1c23de56c998cc4e2202eceeac960f2b1c23de56c998cc4e2202eceeac
38,WC000038,116,34,48,5,4,3,Meridian WorkCenter 38,WorkCenter starter record 38,62.0600,62.06,43.0000,43.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,761ee4cec4615600866951af221c45f5761ee4cec4615600866951af221c45f5
39,WC000039,25,26,424,6,3,6,Titan WorkCenter 39,WorkCenter starter record 39,63.4300,63.43,44.0000,44.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4902169e2cc25c95aadf4b3237e91cd64902169e2cc25c95aadf4b3237e91cd6
40,WC000040,212,36,321,6,3,1,Summit WorkCenter 40,WorkCenter starter record 40,64.8000,64.80,45.0000,45.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a0eed1783545ba2b10970d337ddb5706a0eed1783545ba2b10970d337ddb570
41,WC000041,139,25,52,7,1,1,Keystone WorkCenter 41,WorkCenter starter record 41,66.1700,66.17,46.0000,46.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,919c40d7ea205e42b0cc62f592c0abf9919c40d7ea205e42b0cc62f592c0abf9
42,WC000042,418,15,91,3,2,8,Granite WorkCenter 42,WorkCenter starter record 42,67.5400,67.54,47.0000,47.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,650da81ec81f59f0a7dc5427838bee50650da81ec81f59f0a7dc5427838bee50
43,WC000043,477,38,308,1,1,3,Atlas WorkCenter 43,WorkCenter starter record 43,68.9100,68.91,48.0000,48.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,481d3248a45058c7a56f3d5ff4c69c1a481d3248a45058c7a56f3d5ff4c69c1a
44,WC000044,211,22,313,1,1,5,Liberty WorkCenter 44,WorkCenter starter record 44,70.2800,70.28,49.0000,49.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e6b001bdb25525c93c5260bd014932d3e6b001bdb25525c93c5260bd014932d
45,WC000045,359,40,61,5,4,3,Evergreen WorkCenter 45,WorkCenter starter record 45,71.6500,71.65,50.0000,50.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,afddbeab5a3e50ac8e53e5689f07c5d8afddbeab5a3e50ac8e53e5689f07c5d8
46,WC000046,279,40,368,1,2,12,Vertex WorkCenter 46,WorkCenter starter record 46,73.0200,73.02,51.0000,51.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,375d37343b905913a5e6ded2129381a1375d37343b905913a5e6ded2129381a1
47,WC000047,108,32,371,3,4,6,Liberty WorkCenter 47,WorkCenter starter record 47,74.3900,74.39,52.0000,52.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab5deda3a0205a889a755a47d16d3718ab5deda3a0205a889a755a47d16d3718
48,WC000048,440,15,426,2,4,7,Junction WorkCenter 48,WorkCenter starter record 48,75.7600,75.76,53.0000,53.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8af209425977555092bda040ab1eada98af209425977555092bda040ab1eada9
49,WC000049,183,10,157,6,4,8,Willow WorkCenter 49,WorkCenter starter record 49,77.1300,77.13,54.0000,54.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4695675d45b35ec79d9528119f54ce7c4695675d45b35ec79d9528119f54ce7c
50,WC000050,264,31,301,6,1,11,Keystone WorkCenter 50,WorkCenter starter record 50,78.5000,78.50,55.0000,55.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a1a5bfbc485c5ed8815ed35c55b8667da1a5bfbc485c5ed8815ed35c55b8667d
51,WC000051,346,21,25,5,3,6,Delta WorkCenter 51,WorkCenter starter record 51,79.8700,79.87,56.0000,56.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bc0dffcd2a25445b982ac2df28c1a329bc0dffcd2a25445b982ac2df28c1a32
52,WC000052,216,26,134,5,1,5,Riverton WorkCenter 52,WorkCenter starter record 52,81.2400,81.24,57.0000,57.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df65c6dfa7ba5001b4126adba88a7a74df65c6dfa7ba5001b4126adba88a7a74
53,WC000053,304,21,359,7,1,1,Vertex WorkCenter 53,WorkCenter starter record 53,82.6100,82.61,58.0000,58.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,551b3c6201b7554cac912e56f26321a1551b3c6201b7554cac912e56f26321a1
54,WC000054,355,28,6,7,2,7,Vertex WorkCenter 54,WorkCenter starter record 54,83.9800,83.98,59.0000,59.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a22a166332725ea4abc1ba5cc0e9441ca22a166332725ea4abc1ba5cc0e9441c
55,WC000055,419,13,384,7,1,5,Harbor WorkCenter 55,WorkCenter starter record 55,85.3500,85.35,60.0000,60.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b755f2cb235e567890cf53e86e083e17b755f2cb235e567890cf53e86e083e17
56,WC000056,386,11,347,1,4,5,Atlas WorkCenter 56,WorkCenter starter record 56,86.7200,86.72,61.0000,61.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e38a8ca9be2b55029e61f80411ed0710e38a8ca9be2b55029e61f80411ed0710
57,WC000057,97,22,273,7,3,12,Titan WorkCenter 57,WorkCenter starter record 57,88.0900,88.09,62.0000,62.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4417021add2a501d90a4cf291aa2bad44417021add2a501d90a4cf291aa2bad4
58,WC000058,12,27,153,5,1,9,Orion WorkCenter 58,WorkCenter starter record 58,89.4600,89.46,63.0000,63.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1b3c94f679e569185dcf47a68169fc9b1b3c94f679e569185dcf47a68169fc9
59,WC000059,108,37,180,3,4,6,Riverton WorkCenter 59,WorkCenter starter record 59,90.8300,90.83,64.0000,64.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7814ee3dd45e58d190d1556fc407436d7814ee3dd45e58d190d1556fc407436d
60,WC000060,268,29,493,6,4,3,Orion WorkCenter 60,WorkCenter starter record 60,92.2000,92.20,65.0000,65.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d92e25475a8554c855fa85b6c6ae9866d92e25475a8554c855fa85b6c6ae986
61,WC000061,488,24,312,4,2,12,Pioneer WorkCenter 61,WorkCenter starter record 61,93.5700,93.57,66.0000,66.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db4922806d9b572a8616fe97d437f5b8db4922806d9b572a8616fe97d437f5b8
62,WC000062,198,29,3,2,3,5,Keystone WorkCenter 62,WorkCenter starter record 62,94.9400,94.94,67.0000,67.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2354f06271365ddd8115aa79a4988f662354f06271365ddd8115aa79a4988f66
63,WC000063,174,3,309,1,2,1,Atlas WorkCenter 63,WorkCenter starter record 63,96.3100,96.31,68.0000,68.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a94525c6ba75acb8ce022840f9b77b37a94525c6ba75acb8ce022840f9b77b3
64,WC000064,265,29,265,5,2,7,Evergreen WorkCenter 64,WorkCenter starter record 64,97.6800,97.68,69.0000,69.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4243f17a02a653a18bec9fb5891c99b04243f17a02a653a18bec9fb5891c99b0
65,WC000065,58,7,27,3,1,1,Harbor WorkCenter 65,WorkCenter starter record 65,99.0500,99.05,70.0000,70.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,33d979a52047597a887662cc963c08cd33d979a52047597a887662cc963c08cd
66,WC000066,96,35,212,5,3,7,Pioneer WorkCenter 66,WorkCenter starter record 66,100.4200,100.42,71.0000,71.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe57d13818b2581885091324ce138bf1fe57d13818b2581885091324ce138bf1
67,WC000067,461,9,319,6,1,12,Granite WorkCenter 67,WorkCenter starter record 67,101.7900,101.79,72.0000,72.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3293a5e46935e3eac628bd2b7b9eb73a3293a5e46935e3eac628bd2b7b9eb73
68,WC000068,303,14,245,5,4,3,Atlas WorkCenter 68,WorkCenter starter record 68,103.1600,103.16,73.0000,73.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae8d2e56ba1d50ddaf8127de3c97c561ae8d2e56ba1d50ddaf8127de3c97c561
69,WC000069,274,23,231,5,3,11,Ion WorkCenter 69,WorkCenter starter record 69,104.5300,104.53,74.0000,74.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f806bd5594f5df6b65fe22ba697da117f806bd5594f5df6b65fe22ba697da11
70,WC000070,485,29,219,6,4,3,Orion WorkCenter 70,WorkCenter starter record 70,105.9000,105.90,75.0000,75.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ad8034336185d98bccea874c4b7207d3ad8034336185d98bccea874c4b7207d
71,WC000071,285,13,265,4,1,5,Granite WorkCenter 71,WorkCenter starter record 71,107.2700,107.27,76.0000,76.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2444bf2cd9a5e12b98b3744f1a7df28d2444bf2cd9a5e12b98b3744f1a7df28
72,WC000072,102,3,451,1,2,6,Vertex WorkCenter 72,WorkCenter starter record 72,108.6400,108.64,77.0000,77.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e31c61f1368f505da297f99a36a4e390e31c61f1368f505da297f99a36a4e390
73,WC000073,290,40,23,7,2,9,Keystone WorkCenter 73,WorkCenter starter record 73,110.0100,110.01,78.0000,78.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df4b96583cea5d3d921618a105fd6ed2df4b96583cea5d3d921618a105fd6ed2
74,WC000074,195,36,389,4,1,5,Junction WorkCenter 74,WorkCenter starter record 74,111.3800,111.38,79.0000,79.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12d5c94da9485a40820226ac1387a00112d5c94da9485a40820226ac1387a001
75,WC000075,454,12,272,5,4,11,Granite WorkCenter 75,WorkCenter starter record 75,112.7500,112.75,80.0000,80.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07c4d7a9e8db5142a5f0ea2c11d7525c07c4d7a9e8db5142a5f0ea2c11d7525c
76,WC000076,85,16,418,7,2,11,Zenith WorkCenter 76,WorkCenter starter record 76,114.1200,114.12,81.0000,81.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aeb65da9b00e5124823a867d1d795034aeb65da9b00e5124823a867d1d795034
77,WC000077,378,26,139,5,1,9,Pioneer WorkCenter 77,WorkCenter starter record 77,115.4900,115.49,82.0000,82.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1e1dce244de5f9296c71a8addcc12a5e1e1dce244de5f9296c71a8addcc12a5
78,WC000078,478,30,105,1,1,4,Pioneer WorkCenter 78,WorkCenter starter record 78,116.8600,116.86,83.0000,83.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a3468f13e69575ca2aa91e21c26df5e5a3468f13e69575ca2aa91e21c26df5e
79,WC000079,398,27,98,1,3,6,Junction WorkCenter 79,WorkCenter starter record 79,118.2300,118.23,84.0000,84.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ddb9d9d8937f53408ecf42de32404a32ddb9d9d8937f53408ecf42de32404a32
80,WC000080,118,32,324,2,3,9,Evergreen WorkCenter 80,WorkCenter starter record 80,119.6000,119.60,85.0000,85.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d84b95ecb91454c9bb9379b6e09346e4d84b95ecb91454c9bb9379b6e09346e4
81,WC000081,152,8,282,7,4,11,Atlas WorkCenter 81,WorkCenter starter record 81,120.9700,120.97,86.0000,86.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,786ee231e2245a609f6bd17b13fec890786ee231e2245a609f6bd17b13fec890
82,WC000082,355,4,32,7,2,1,Quartz WorkCenter 82,WorkCenter starter record 82,122.3400,122.34,87.0000,87.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09b3e1defe725f46a5bb9a56f419423e09b3e1defe725f46a5bb9a56f419423e
83,WC000083,155,5,336,6,1,3,Beacon WorkCenter 83,WorkCenter starter record 83,123.7100,123.71,88.0000,88.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,faa68fe350ff5a28bde24a34a0d7f2c5faa68fe350ff5a28bde24a34a0d7f2c5
84,WC000084,413,4,489,3,2,8,Orion WorkCenter 84,WorkCenter starter record 84,125.0800,125.08,89.0000,89.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95aa03ea834d5135b394b67b7540fc0095aa03ea834d5135b394b67b7540fc00
