SafetyCorrectiveActionTypeKey,CorrectiveActionTypeCode,PriorityKey,CorrectiveActionTypeName,DefaultDueDays,RequiresVerification,SourceSystemKey,BatchId,LoadedAtUtc
77,SCAT000077,2,Delta SafetyCorrectiveActionType 77,22,1,1,1,2026-08-24T00:00:00.000
78,SCAT000078,3,Zenith SafetyCorrectiveActionType 78,23,0,1,1,2026-08-24T00:00:00.000
79,SCAT000079,2,Unity SafetyCorrectiveActionType 79,24,1,1,1,2026-08-24T00:00:00.000
80,SCAT000080,5,Northstar SafetyCorrectiveActionType 80,25,0,1,1,2026-08-24T00:00:00.000
81,SCAT000081,4,Delta SafetyCorrectiveActionType 81,26,1,1,1,2026-08-24T00:00:00.000
82,SCAT000082,1,Evergreen SafetyCorrectiveActionType 82,27,0,1,1,2026-08-24T00:00:00.000
83,SCAT000083,4,Delta SafetyCorrectiveActionType 83,28,1,1,1,2026-08-24T00:00:00.000
84,SCAT000084,3,Riverton SafetyCorrectiveActionType 84,1,0,1,1,2026-08-24T00:00:00.000
85,SCAT000085,5,Northstar SafetyCorrectiveActionType 85,2,1,1,1,2026-08-24T00:00:00.000
86,SCAT000086,3,Granite SafetyCorrectiveActionType 86,3,0,1,1,2026-08-24T00:00:00.000
87,SCAT000087,5,Quartz SafetyCorrectiveActionType 87,4,1,1,1,2026-08-24T00:00:00.000
88,SCAT000088,4,Delta SafetyCorrectiveActionType 88,5,0,1,1,2026-08-24T00:00:00.000
89,SCAT000089,2,Orion SafetyCorrectiveActionType 89,6,1,1,1,2026-08-24T00:00:00.000
90,SCAT000090,1,Zenith SafetyCorrectiveActionType 90,7,0,1,1,2026-08-24T00:00:00.000
91,SCAT000091,2,Granite SafetyCorrectiveActionType 91,8,1,1,1,2026-08-24T00:00:00.000
92,SCAT000092,1,Summit SafetyCorrectiveActionType 92,9,0,1,1,2026-08-24T00:00:00.000
93,SCAT000093,2,Meridian SafetyCorrectiveActionType 93,10,1,1,1,2026-08-24T00:00:00.000
94,SCAT000094,5,Cedar SafetyCorrectiveActionType 94,11,0,1,1,2026-08-24T00:00:00.000
95,SCAT000095,5,Vertex SafetyCorrectiveActionType 95,12,1,1,1,2026-08-24T00:00:00.000
96,SCAT000096,4,Junction SafetyCorrectiveActionType 96,13,0,1,1,2026-08-24T00:00:00.000
97,SCAT000097,3,Unity SafetyCorrectiveActionType 97,14,1,1,1,2026-08-24T00:00:00.000
98,SCAT000098,5,Delta SafetyCorrectiveActionType 98,15,0,1,1,2026-08-24T00:00:00.000
99,SCAT000099,1,Keystone SafetyCorrectiveActionType 99,16,1,1,1,2026-08-24T00:00:00.000
100,SCAT000100,3,Titan SafetyCorrectiveActionType 100,17,0,1,1,2026-08-24T00:00:00.000
101,SCAT000101,3,Northstar SafetyCorrectiveActionType 101,18,1,1,1,2026-08-24T00:00:00.000
102,SCAT000102,4,Quartz SafetyCorrectiveActionType 102,19,0,1,1,2026-08-24T00:00:00.000
103,SCAT000103,1,Atlas SafetyCorrectiveActionType 103,20,1,1,1,2026-08-24T00:00:00.000
104,SCAT000104,2,Meridian SafetyCorrectiveActionType 104,21,0,1,1,2026-08-24T00:00:00.000
105,SCAT000105,5,Liberty SafetyCorrectiveActionType 105,22,1,1,1,2026-08-24T00:00:00.000
106,SCAT000106,5,Riverton SafetyCorrectiveActionType 106,23,0,1,1,2026-08-24T00:00:00.000
107,SCAT000107,4,Junction SafetyCorrectiveActionType 107,24,1,1,1,2026-08-24T00:00:00.000
108,SCAT000108,4,Titan SafetyCorrectiveActionType 108,25,0,1,1,2026-08-24T00:00:00.000
109,SCAT000109,4,Northstar SafetyCorrectiveActionType 109,26,1,1,1,2026-08-24T00:00:00.000
110,SCAT000110,2,Liberty SafetyCorrectiveActionType 110,27,0,1,1,2026-08-24T00:00:00.000
111,SCAT000111,4,Titan SafetyCorrectiveActionType 111,28,1,1,1,2026-08-24T00:00:00.000
112,SCAT000112,1,Meridian SafetyCorrectiveActionType 112,1,0,1,1,2026-08-24T00:00:00.000
113,SCAT000113,2,Pioneer SafetyCorrectiveActionType 113,2,1,1,1,2026-08-24T00:00:00.000
114,SCAT000114,5,Meridian SafetyCorrectiveActionType 114,3,0,1,1,2026-08-24T00:00:00.000
115,SCAT000115,2,Unity SafetyCorrectiveActionType 115,4,1,1,1,2026-08-24T00:00:00.000
116,SCAT000116,1,Summit SafetyCorrectiveActionType 116,5,0,1,1,2026-08-24T00:00:00.000
117,SCAT000117,4,Evergreen SafetyCorrectiveActionType 117,6,1,1,1,2026-08-24T00:00:00.000
118,SCAT000118,1,Evergreen SafetyCorrectiveActionType 118,7,0,1,1,2026-08-24T00:00:00.000
119,SCAT000119,5,Northstar SafetyCorrectiveActionType 119,8,1,1,1,2026-08-24T00:00:00.000
120,SCAT000120,3,Zenith SafetyCorrectiveActionType 120,9,0,1,1,2026-08-24T00:00:00.000
121,SCAT000121,3,Ion SafetyCorrectiveActionType 121,10,1,1,1,2026-08-24T00:00:00.000
122,SCAT000122,2,Harbor SafetyCorrectiveActionType 122,11,0,1,1,2026-08-24T00:00:00.000
123,SCAT000123,4,Riverton SafetyCorrectiveActionType 123,12,1,1,1,2026-08-24T00:00:00.000
124,SCAT000124,5,Cedar SafetyCorrectiveActionType 124,13,0,1,1,2026-08-24T00:00:00.000
125,SCAT000125,3,Forge SafetyCorrectiveActionType 125,14,1,1,1,2026-08-24T00:00:00.000
126,SCAT000126,3,Liberty SafetyCorrectiveActionType 126,15,0,1,1,2026-08-24T00:00:00.000
127,SCAT000127,1,Titan SafetyCorrectiveActionType 127,16,1,1,1,2026-08-24T00:00:00.000
128,SCAT000128,3,Quartz SafetyCorrectiveActionType 128,17,0,1,1,2026-08-24T00:00:00.000
129,SCAT000129,2,Keystone SafetyCorrectiveActionType 129,18,1,1,1,2026-08-24T00:00:00.000
130,SCAT000130,3,Forge SafetyCorrectiveActionType 130,19,0,1,1,2026-08-24T00:00:00.000
131,SCAT000131,5,Willow SafetyCorrectiveActionType 131,20,1,1,1,2026-08-24T00:00:00.000
132,SCAT000132,3,Harbor SafetyCorrectiveActionType 132,21,0,1,1,2026-08-24T00:00:00.000
133,SCAT000133,4,Meridian SafetyCorrectiveActionType 133,22,1,1,1,2026-08-24T00:00:00.000
134,SCAT000134,1,Meridian SafetyCorrectiveActionType 134,23,0,1,1,2026-08-24T00:00:00.000
135,SCAT000135,4,Junction SafetyCorrectiveActionType 135,24,1,1,1,2026-08-24T00:00:00.000
136,SCAT000136,3,Cedar SafetyCorrectiveActionType 136,25,0,1,1,2026-08-24T00:00:00.000
137,SCAT000137,1,Keystone SafetyCorrectiveActionType 137,26,1,1,1,2026-08-24T00:00:00.000
138,SCAT000138,5,Vertex SafetyCorrectiveActionType 138,27,0,1,1,2026-08-24T00:00:00.000
139,SCAT000139,2,Delta SafetyCorrectiveActionType 139,28,1,1,1,2026-08-24T00:00:00.000
140,SCAT000140,3,Summit SafetyCorrectiveActionType 140,1,0,1,1,2026-08-24T00:00:00.000
141,SCAT000141,1,Junction SafetyCorrectiveActionType 141,2,1,1,1,2026-08-24T00:00:00.000
142,SCAT000142,1,Junction SafetyCorrectiveActionType 142,3,0,1,1,2026-08-24T00:00:00.000
143,SCAT000143,3,Junction SafetyCorrectiveActionType 143,4,1,1,1,2026-08-24T00:00:00.000
144,SCAT000144,4,Delta SafetyCorrectiveActionType 144,5,0,1,1,2026-08-24T00:00:00.000
145,SCAT000145,1,Ion SafetyCorrectiveActionType 145,6,1,1,1,2026-08-24T00:00:00.000
146,SCAT000146,5,Vertex SafetyCorrectiveActionType 146,7,0,1,1,2026-08-24T00:00:00.000
147,SCAT000147,1,Atlas SafetyCorrectiveActionType 147,8,1,1,1,2026-08-24T00:00:00.000
148,SCAT000148,2,Evergreen SafetyCorrectiveActionType 148,9,0,1,1,2026-08-24T00:00:00.000
149,SCAT000149,4,Zenith SafetyCorrectiveActionType 149,10,1,1,1,2026-08-24T00:00:00.000
150,SCAT000150,4,Junction SafetyCorrectiveActionType 150,11,0,1,1,2026-08-24T00:00:00.000
151,SCAT000151,2,Titan SafetyCorrectiveActionType 151,12,1,1,1,2026-08-24T00:00:00.000
152,SCAT000152,1,Titan SafetyCorrectiveActionType 152,13,0,1,1,2026-08-24T00:00:00.000
153,SCAT000153,3,Northstar SafetyCorrectiveActionType 153,14,1,1,1,2026-08-24T00:00:00.000
154,SCAT000154,1,Willow SafetyCorrectiveActionType 154,15,0,1,1,2026-08-24T00:00:00.000
155,SCAT000155,3,Beacon SafetyCorrectiveActionType 155,16,1,1,1,2026-08-24T00:00:00.000
156,SCAT000156,2,Liberty SafetyCorrectiveActionType 156,17,0,1,1,2026-08-24T00:00:00.000
157,SCAT000157,2,Delta SafetyCorrectiveActionType 157,18,1,1,1,2026-08-24T00:00:00.000
158,SCAT000158,2,Pioneer SafetyCorrectiveActionType 158,19,0,1,1,2026-08-24T00:00:00.000
159,SCAT000159,4,Evergreen SafetyCorrectiveActionType 159,20,1,1,1,2026-08-24T00:00:00.000
160,SCAT000160,5,Junction SafetyCorrectiveActionType 160,21,0,1,1,2026-08-24T00:00:00.000
161,SCAT000161,5,Junction SafetyCorrectiveActionType 161,22,1,1,1,2026-08-24T00:00:00.000
162,SCAT000162,3,Cedar SafetyCorrectiveActionType 162,23,0,1,1,2026-08-24T00:00:00.000
163,SCAT000163,4,Titan SafetyCorrectiveActionType 163,24,1,1,1,2026-08-24T00:00:00.000
164,SCAT000164,2,Titan SafetyCorrectiveActionType 164,25,0,1,1,2026-08-24T00:00:00.000
165,SCAT000165,3,Harbor SafetyCorrectiveActionType 165,26,1,1,1,2026-08-24T00:00:00.000
166,SCAT000166,1,Liberty SafetyCorrectiveActionType 166,27,0,1,1,2026-08-24T00:00:00.000
167,SCAT000167,5,Keystone SafetyCorrectiveActionType 167,28,1,1,1,2026-08-24T00:00:00.000
168,SCAT000168,2,Orion SafetyCorrectiveActionType 168,1,0,1,1,2026-08-24T00:00:00.000
169,SCAT000169,1,Delta SafetyCorrectiveActionType 169,2,1,1,1,2026-08-24T00:00:00.000
170,SCAT000170,4,Atlas SafetyCorrectiveActionType 170,3,0,1,1,2026-08-24T00:00:00.000
171,SCAT000171,3,Titan SafetyCorrectiveActionType 171,4,1,1,1,2026-08-24T00:00:00.000
172,SCAT000172,2,Forge SafetyCorrectiveActionType 172,5,0,1,1,2026-08-24T00:00:00.000
173,SCAT000173,2,Pioneer SafetyCorrectiveActionType 173,6,1,1,1,2026-08-24T00:00:00.000
174,SCAT000174,3,Atlas SafetyCorrectiveActionType 174,7,0,1,1,2026-08-24T00:00:00.000
175,SCAT000175,3,Vertex SafetyCorrectiveActionType 175,8,1,1,1,2026-08-24T00:00:00.000
176,SCAT000176,4,Delta SafetyCorrectiveActionType 176,9,0,1,1,2026-08-24T00:00:00.000
177,SCAT000177,5,Harbor SafetyCorrectiveActionType 177,10,1,1,1,2026-08-24T00:00:00.000
178,SCAT000178,4,Quartz SafetyCorrectiveActionType 178,11,0,1,1,2026-08-24T00:00:00.000
179,SCAT000179,5,Riverton SafetyCorrectiveActionType 179,12,1,1,1,2026-08-24T00:00:00.000
180,SCAT000180,2,Titan SafetyCorrectiveActionType 180,13,0,1,1,2026-08-24T00:00:00.000
181,SCAT000181,1,Keystone SafetyCorrectiveActionType 181,14,1,1,1,2026-08-24T00:00:00.000
182,SCAT000182,5,Titan SafetyCorrectiveActionType 182,15,0,1,1,2026-08-24T00:00:00.000
183,SCAT000183,4,Beacon SafetyCorrectiveActionType 183,16,1,1,1,2026-08-24T00:00:00.000
184,SCAT000184,1,Cedar SafetyCorrectiveActionType 184,17,0,1,1,2026-08-24T00:00:00.000
185,SCAT000185,3,Pioneer SafetyCorrectiveActionType 185,18,1,1,1,2026-08-24T00:00:00.000
186,SCAT000186,1,Unity SafetyCorrectiveActionType 186,19,0,1,1,2026-08-24T00:00:00.000
187,SCAT000187,4,Unity SafetyCorrectiveActionType 187,20,1,1,1,2026-08-24T00:00:00.000
188,SCAT000188,1,Quartz SafetyCorrectiveActionType 188,21,0,1,1,2026-08-24T00:00:00.000
189,SCAT000189,5,Northstar SafetyCorrectiveActionType 189,22,1,1,1,2026-08-24T00:00:00.000
190,SCAT000190,4,Forge SafetyCorrectiveActionType 190,23,0,1,1,2026-08-24T00:00:00.000
191,SCAT000191,2,Meridian SafetyCorrectiveActionType 191,24,1,1,1,2026-08-24T00:00:00.000
192,SCAT000192,2,Granite SafetyCorrectiveActionType 192,25,0,1,1,2026-08-24T00:00:00.000
193,SCAT000193,4,Vertex SafetyCorrectiveActionType 193,26,1,1,1,2026-08-24T00:00:00.000
194,SCAT000194,2,Meridian SafetyCorrectiveActionType 194,27,0,1,1,2026-08-24T00:00:00.000
195,SCAT000195,1,Unity SafetyCorrectiveActionType 195,28,1,1,1,2026-08-24T00:00:00.000
196,SCAT000196,2,Delta SafetyCorrectiveActionType 196,1,0,1,1,2026-08-24T00:00:00.000
197,SCAT000197,3,Granite SafetyCorrectiveActionType 197,2,1,1,1,2026-08-24T00:00:00.000
198,SCAT000198,1,Titan SafetyCorrectiveActionType 198,3,0,1,1,2026-08-24T00:00:00.000
199,SCAT000199,5,Forge SafetyCorrectiveActionType 199,4,1,1,1,2026-08-24T00:00:00.000
200,SCAT000200,1,Liberty SafetyCorrectiveActionType 200,5,0,1,1,2026-08-24T00:00:00.000
201,SCAT000201,2,Meridian SafetyCorrectiveActionType 201,6,1,1,1,2026-08-24T00:00:00.000
202,SCAT000202,2,Summit SafetyCorrectiveActionType 202,7,0,1,1,2026-08-24T00:00:00.000
203,SCAT000203,2,Granite SafetyCorrectiveActionType 203,8,1,1,1,2026-08-24T00:00:00.000
204,SCAT000204,1,Pioneer SafetyCorrectiveActionType 204,9,0,1,1,2026-08-24T00:00:00.000
205,SCAT000205,1,Titan SafetyCorrectiveActionType 205,10,1,1,1,2026-08-24T00:00:00.000
206,SCAT000206,3,Willow SafetyCorrectiveActionType 206,11,0,1,1,2026-08-24T00:00:00.000
207,SCAT000207,4,Riverton SafetyCorrectiveActionType 207,12,1,1,1,2026-08-24T00:00:00.000
208,SCAT000208,1,Titan SafetyCorrectiveActionType 208,13,0,1,1,2026-08-24T00:00:00.000
209,SCAT000209,3,Atlas SafetyCorrectiveActionType 209,14,1,1,1,2026-08-24T00:00:00.000
210,SCAT000210,1,Evergreen SafetyCorrectiveActionType 210,15,0,1,1,2026-08-24T00:00:00.000
211,SCAT000211,4,Meridian SafetyCorrectiveActionType 211,16,1,1,1,2026-08-24T00:00:00.000
212,SCAT000212,2,Vertex SafetyCorrectiveActionType 212,17,0,1,1,2026-08-24T00:00:00.000
213,SCAT000213,4,Northstar SafetyCorrectiveActionType 213,18,1,1,1,2026-08-24T00:00:00.000
214,SCAT000214,3,Harbor SafetyCorrectiveActionType 214,19,0,1,1,2026-08-24T00:00:00.000
215,SCAT000215,3,Atlas SafetyCorrectiveActionType 215,20,1,1,1,2026-08-24T00:00:00.000
216,SCAT000216,4,Pioneer SafetyCorrectiveActionType 216,21,0,1,1,2026-08-24T00:00:00.000
217,SCAT000217,4,Quartz SafetyCorrectiveActionType 217,22,1,1,1,2026-08-24T00:00:00.000
218,SCAT000218,2,Northstar SafetyCorrectiveActionType 218,23,0,1,1,2026-08-24T00:00:00.000
219,SCAT000219,1,Northstar SafetyCorrectiveActionType 219,24,1,1,1,2026-08-24T00:00:00.000
220,SCAT000220,3,Granite SafetyCorrectiveActionType 220,25,0,1,1,2026-08-24T00:00:00.000
221,SCAT000221,2,Quartz SafetyCorrectiveActionType 221,26,1,1,1,2026-08-24T00:00:00.000
222,SCAT000222,5,Atlas SafetyCorrectiveActionType 222,27,0,1,1,2026-08-24T00:00:00.000
223,SCAT000223,4,Junction SafetyCorrectiveActionType 223,28,1,1,1,2026-08-24T00:00:00.000
224,SCAT000224,4,Quartz SafetyCorrectiveActionType 224,1,0,1,1,2026-08-24T00:00:00.000
225,SCAT000225,2,Riverton SafetyCorrectiveActionType 225,2,1,1,1,2026-08-24T00:00:00.000
226,SCAT000226,5,Granite SafetyCorrectiveActionType 226,3,0,1,1,2026-08-24T00:00:00.000
227,SCAT000227,2,Vertex SafetyCorrectiveActionType 227,4,1,1,1,2026-08-24T00:00:00.000
228,SCAT000228,2,Junction SafetyCorrectiveActionType 228,5,0,1,1,2026-08-24T00:00:00.000
229,SCAT000229,5,Liberty SafetyCorrectiveActionType 229,6,1,1,1,2026-08-24T00:00:00.000
230,SCAT000230,1,Ion SafetyCorrectiveActionType 230,7,0,1,1,2026-08-24T00:00:00.000
231,SCAT000231,5,Delta SafetyCorrectiveActionType 231,8,1,1,1,2026-08-24T00:00:00.000
232,SCAT000232,4,Delta SafetyCorrectiveActionType 232,9,0,1,1,2026-08-24T00:00:00.000
233,SCAT000233,5,Beacon SafetyCorrectiveActionType 233,10,1,1,1,2026-08-24T00:00:00.000
234,SCAT000234,3,Keystone SafetyCorrectiveActionType 234,11,0,1,1,2026-08-24T00:00:00.000
235,SCAT000235,3,Granite SafetyCorrectiveActionType 235,12,1,1,1,2026-08-24T00:00:00.000
236,SCAT000236,4,Unity SafetyCorrectiveActionType 236,13,0,1,1,2026-08-24T00:00:00.000
237,SCAT000237,1,Atlas SafetyCorrectiveActionType 237,14,1,1,1,2026-08-24T00:00:00.000
238,SCAT000238,3,Evergreen SafetyCorrectiveActionType 238,15,0,1,1,2026-08-24T00:00:00.000
239,SCAT000239,2,Junction SafetyCorrectiveActionType 239,16,1,1,1,2026-08-24T00:00:00.000
240,SCAT000240,5,Junction SafetyCorrectiveActionType 240,17,0,1,1,2026-08-24T00:00:00.000
