OeeLossReasonKey,OeeLossReasonCode,OeeLossReasonGroupKey,OeeLossReasonName,SourceSystemKey,BatchId,LoadedAtUtc
102,OLR000102,27,Willow OeeLossReason 102,1,1,2026-08-24T00:00:00.000
103,OLR000103,4,Beacon OeeLossReason 103,1,1,2026-08-24T00:00:00.000
104,OLR000104,3,Ion OeeLossReason 104,1,1,2026-08-24T00:00:00.000
105,OLR000105,69,Pioneer OeeLossReason 105,1,1,2026-08-24T00:00:00.000
106,OLR000106,23,Granite OeeLossReason 106,1,1,2026-08-24T00:00:00.000
107,OLR000107,113,Zenith OeeLossReason 107,1,1,2026-08-24T00:00:00.000
108,OLR000108,54,Junction OeeLossReason 108,1,1,2026-08-24T00:00:00.000
109,OLR000109,150,Summit OeeLossReason 109,1,1,2026-08-24T00:00:00.000
110,OLR000110,150,Pioneer OeeLossReason 110,1,1,2026-08-24T00:00:00.000
111,OLR000111,179,Evergreen OeeLossReason 111,1,1,2026-08-24T00:00:00.000
112,OLR000112,115,Junction OeeLossReason 112,1,1,2026-08-24T00:00:00.000
113,OLR000113,120,Pioneer OeeLossReason 113,1,1,2026-08-24T00:00:00.000
114,OLR000114,144,Cedar OeeLossReason 114,1,1,2026-08-24T00:00:00.000
115,OLR000115,18,Riverton OeeLossReason 115,1,1,2026-08-24T00:00:00.000
116,OLR000116,18,Meridian OeeLossReason 116,1,1,2026-08-24T00:00:00.000
117,OLR000117,49,Riverton OeeLossReason 117,1,1,2026-08-24T00:00:00.000
118,OLR000118,172,Liberty OeeLossReason 118,1,1,2026-08-24T00:00:00.000
119,OLR000119,9,Willow OeeLossReason 119,1,1,2026-08-24T00:00:00.000
120,OLR000120,17,Keystone OeeLossReason 120,1,1,2026-08-24T00:00:00.000
121,OLR000121,166,Summit OeeLossReason 121,1,1,2026-08-24T00:00:00.000
122,OLR000122,9,Ion OeeLossReason 122,1,1,2026-08-24T00:00:00.000
123,OLR000123,76,Keystone OeeLossReason 123,1,1,2026-08-24T00:00:00.000
124,OLR000124,25,Liberty OeeLossReason 124,1,1,2026-08-24T00:00:00.000
125,OLR000125,33,Vertex OeeLossReason 125,1,1,2026-08-24T00:00:00.000
126,OLR000126,142,Vertex OeeLossReason 126,1,1,2026-08-24T00:00:00.000
127,OLR000127,35,Beacon OeeLossReason 127,1,1,2026-08-24T00:00:00.000
128,OLR000128,175,Quartz OeeLossReason 128,1,1,2026-08-24T00:00:00.000
129,OLR000129,27,Unity OeeLossReason 129,1,1,2026-08-24T00:00:00.000
130,OLR000130,8,Granite OeeLossReason 130,1,1,2026-08-24T00:00:00.000
131,OLR000131,64,Keystone OeeLossReason 131,1,1,2026-08-24T00:00:00.000
132,OLR000132,143,Unity OeeLossReason 132,1,1,2026-08-24T00:00:00.000
133,OLR000133,32,Unity OeeLossReason 133,1,1,2026-08-24T00:00:00.000
134,OLR000134,76,Quartz OeeLossReason 134,1,1,2026-08-24T00:00:00.000
135,OLR000135,93,Willow OeeLossReason 135,1,1,2026-08-24T00:00:00.000
136,OLR000136,58,Harbor OeeLossReason 136,1,1,2026-08-24T00:00:00.000
137,OLR000137,8,Junction OeeLossReason 137,1,1,2026-08-24T00:00:00.000
138,OLR000138,69,Vertex OeeLossReason 138,1,1,2026-08-24T00:00:00.000
139,OLR000139,161,Summit OeeLossReason 139,1,1,2026-08-24T00:00:00.000
140,OLR000140,41,Delta OeeLossReason 140,1,1,2026-08-24T00:00:00.000
141,OLR000141,40,Titan OeeLossReason 141,1,1,2026-08-24T00:00:00.000
142,OLR000142,178,Quartz OeeLossReason 142,1,1,2026-08-24T00:00:00.000
143,OLR000143,87,Willow OeeLossReason 143,1,1,2026-08-24T00:00:00.000
144,OLR000144,151,Unity OeeLossReason 144,1,1,2026-08-24T00:00:00.000
145,OLR000145,54,Willow OeeLossReason 145,1,1,2026-08-24T00:00:00.000
146,OLR000146,103,Meridian OeeLossReason 146,1,1,2026-08-24T00:00:00.000
147,OLR000147,131,Forge OeeLossReason 147,1,1,2026-08-24T00:00:00.000
148,OLR000148,68,Titan OeeLossReason 148,1,1,2026-08-24T00:00:00.000
149,OLR000149,149,Meridian OeeLossReason 149,1,1,2026-08-24T00:00:00.000
150,OLR000150,101,Granite OeeLossReason 150,1,1,2026-08-24T00:00:00.000
151,OLR000151,41,Junction OeeLossReason 151,1,1,2026-08-24T00:00:00.000
152,OLR000152,11,Pioneer OeeLossReason 152,1,1,2026-08-24T00:00:00.000
153,OLR000153,134,Northstar OeeLossReason 153,1,1,2026-08-24T00:00:00.000
154,OLR000154,50,Northstar OeeLossReason 154,1,1,2026-08-24T00:00:00.000
155,OLR000155,101,Atlas OeeLossReason 155,1,1,2026-08-24T00:00:00.000
156,OLR000156,157,Ion OeeLossReason 156,1,1,2026-08-24T00:00:00.000
157,OLR000157,103,Unity OeeLossReason 157,1,1,2026-08-24T00:00:00.000
158,OLR000158,147,Willow OeeLossReason 158,1,1,2026-08-24T00:00:00.000
159,OLR000159,151,Orion OeeLossReason 159,1,1,2026-08-24T00:00:00.000
160,OLR000160,132,Summit OeeLossReason 160,1,1,2026-08-24T00:00:00.000
161,OLR000161,38,Northstar OeeLossReason 161,1,1,2026-08-24T00:00:00.000
162,OLR000162,49,Keystone OeeLossReason 162,1,1,2026-08-24T00:00:00.000
163,OLR000163,111,Unity OeeLossReason 163,1,1,2026-08-24T00:00:00.000
164,OLR000164,164,Quartz OeeLossReason 164,1,1,2026-08-24T00:00:00.000
165,OLR000165,48,Northstar OeeLossReason 165,1,1,2026-08-24T00:00:00.000
166,OLR000166,126,Evergreen OeeLossReason 166,1,1,2026-08-24T00:00:00.000
167,OLR000167,84,Summit OeeLossReason 167,1,1,2026-08-24T00:00:00.000
168,OLR000168,89,Orion OeeLossReason 168,1,1,2026-08-24T00:00:00.000
169,OLR000169,16,Evergreen OeeLossReason 169,1,1,2026-08-24T00:00:00.000
170,OLR000170,153,Keystone OeeLossReason 170,1,1,2026-08-24T00:00:00.000
171,OLR000171,84,Summit OeeLossReason 171,1,1,2026-08-24T00:00:00.000
172,OLR000172,21,Meridian OeeLossReason 172,1,1,2026-08-24T00:00:00.000
173,OLR000173,51,Evergreen OeeLossReason 173,1,1,2026-08-24T00:00:00.000
174,OLR000174,122,Delta OeeLossReason 174,1,1,2026-08-24T00:00:00.000
175,OLR000175,89,Pioneer OeeLossReason 175,1,1,2026-08-24T00:00:00.000
176,OLR000176,144,Keystone OeeLossReason 176,1,1,2026-08-24T00:00:00.000
177,OLR000177,7,Pioneer OeeLossReason 177,1,1,2026-08-24T00:00:00.000
178,OLR000178,33,Ion OeeLossReason 178,1,1,2026-08-24T00:00:00.000
179,OLR000179,41,Willow OeeLossReason 179,1,1,2026-08-24T00:00:00.000
180,OLR000180,130,Willow OeeLossReason 180,1,1,2026-08-24T00:00:00.000
181,OLR000181,59,Willow OeeLossReason 181,1,1,2026-08-24T00:00:00.000
182,OLR000182,143,Pioneer OeeLossReason 182,1,1,2026-08-24T00:00:00.000
183,OLR000183,89,Quartz OeeLossReason 183,1,1,2026-08-24T00:00:00.000
184,OLR000184,63,Northstar OeeLossReason 184,1,1,2026-08-24T00:00:00.000
185,OLR000185,48,Meridian OeeLossReason 185,1,1,2026-08-24T00:00:00.000
186,OLR000186,132,Zenith OeeLossReason 186,1,1,2026-08-24T00:00:00.000
187,OLR000187,3,Atlas OeeLossReason 187,1,1,2026-08-24T00:00:00.000
188,OLR000188,144,Quartz OeeLossReason 188,1,1,2026-08-24T00:00:00.000
189,OLR000189,66,Orion OeeLossReason 189,1,1,2026-08-24T00:00:00.000
190,OLR000190,35,Beacon OeeLossReason 190,1,1,2026-08-24T00:00:00.000
191,OLR000191,106,Granite OeeLossReason 191,1,1,2026-08-24T00:00:00.000
192,OLR000192,88,Summit OeeLossReason 192,1,1,2026-08-24T00:00:00.000
193,OLR000193,36,Forge OeeLossReason 193,1,1,2026-08-24T00:00:00.000
194,OLR000194,180,Ion OeeLossReason 194,1,1,2026-08-24T00:00:00.000
195,OLR000195,109,Granite OeeLossReason 195,1,1,2026-08-24T00:00:00.000
196,OLR000196,112,Granite OeeLossReason 196,1,1,2026-08-24T00:00:00.000
197,OLR000197,11,Atlas OeeLossReason 197,1,1,2026-08-24T00:00:00.000
198,OLR000198,80,Cedar OeeLossReason 198,1,1,2026-08-24T00:00:00.000
199,OLR000199,36,Vertex OeeLossReason 199,1,1,2026-08-24T00:00:00.000
200,OLR000200,25,Meridian OeeLossReason 200,1,1,2026-08-24T00:00:00.000
201,OLR000201,142,Beacon OeeLossReason 201,1,1,2026-08-24T00:00:00.000
202,OLR000202,97,Pioneer OeeLossReason 202,1,1,2026-08-24T00:00:00.000
203,OLR000203,147,Junction OeeLossReason 203,1,1,2026-08-24T00:00:00.000
204,OLR000204,49,Liberty OeeLossReason 204,1,1,2026-08-24T00:00:00.000
205,OLR000205,146,Harbor OeeLossReason 205,1,1,2026-08-24T00:00:00.000
206,OLR000206,82,Delta OeeLossReason 206,1,1,2026-08-24T00:00:00.000
207,OLR000207,57,Beacon OeeLossReason 207,1,1,2026-08-24T00:00:00.000
208,OLR000208,86,Granite OeeLossReason 208,1,1,2026-08-24T00:00:00.000
209,OLR000209,159,Pioneer OeeLossReason 209,1,1,2026-08-24T00:00:00.000
210,OLR000210,68,Summit OeeLossReason 210,1,1,2026-08-24T00:00:00.000
211,OLR000211,126,Harbor OeeLossReason 211,1,1,2026-08-24T00:00:00.000
212,OLR000212,81,Delta OeeLossReason 212,1,1,2026-08-24T00:00:00.000
213,OLR000213,111,Unity OeeLossReason 213,1,1,2026-08-24T00:00:00.000
214,OLR000214,165,Junction OeeLossReason 214,1,1,2026-08-24T00:00:00.000
215,OLR000215,38,Ion OeeLossReason 215,1,1,2026-08-24T00:00:00.000
216,OLR000216,52,Harbor OeeLossReason 216,1,1,2026-08-24T00:00:00.000
217,OLR000217,167,Meridian OeeLossReason 217,1,1,2026-08-24T00:00:00.000
218,OLR000218,51,Junction OeeLossReason 218,1,1,2026-08-24T00:00:00.000
219,OLR000219,152,Summit OeeLossReason 219,1,1,2026-08-24T00:00:00.000
220,OLR000220,18,Quartz OeeLossReason 220,1,1,2026-08-24T00:00:00.000
221,OLR000221,50,Willow OeeLossReason 221,1,1,2026-08-24T00:00:00.000
222,OLR000222,122,Evergreen OeeLossReason 222,1,1,2026-08-24T00:00:00.000
223,OLR000223,135,Granite OeeLossReason 223,1,1,2026-08-24T00:00:00.000
224,OLR000224,144,Riverton OeeLossReason 224,1,1,2026-08-24T00:00:00.000
225,OLR000225,31,Unity OeeLossReason 225,1,1,2026-08-24T00:00:00.000
226,OLR000226,147,Orion OeeLossReason 226,1,1,2026-08-24T00:00:00.000
227,OLR000227,89,Vertex OeeLossReason 227,1,1,2026-08-24T00:00:00.000
228,OLR000228,36,Delta OeeLossReason 228,1,1,2026-08-24T00:00:00.000
229,OLR000229,27,Vertex OeeLossReason 229,1,1,2026-08-24T00:00:00.000
230,OLR000230,107,Orion OeeLossReason 230,1,1,2026-08-24T00:00:00.000
231,OLR000231,71,Keystone OeeLossReason 231,1,1,2026-08-24T00:00:00.000
232,OLR000232,37,Harbor OeeLossReason 232,1,1,2026-08-24T00:00:00.000
233,OLR000233,156,Pioneer OeeLossReason 233,1,1,2026-08-24T00:00:00.000
234,OLR000234,40,Keystone OeeLossReason 234,1,1,2026-08-24T00:00:00.000
235,OLR000235,19,Granite OeeLossReason 235,1,1,2026-08-24T00:00:00.000
236,OLR000236,175,Unity OeeLossReason 236,1,1,2026-08-24T00:00:00.000
237,OLR000237,110,Summit OeeLossReason 237,1,1,2026-08-24T00:00:00.000
238,OLR000238,37,Junction OeeLossReason 238,1,1,2026-08-24T00:00:00.000
239,OLR000239,129,Willow OeeLossReason 239,1,1,2026-08-24T00:00:00.000
240,OLR000240,58,Keystone OeeLossReason 240,1,1,2026-08-24T00:00:00.000
241,OLR000241,80,Vertex OeeLossReason 241,1,1,2026-08-24T00:00:00.000
242,OLR000242,9,Cedar OeeLossReason 242,1,1,2026-08-24T00:00:00.000
243,OLR000243,174,Ion OeeLossReason 243,1,1,2026-08-24T00:00:00.000
244,OLR000244,105,Northstar OeeLossReason 244,1,1,2026-08-24T00:00:00.000
245,OLR000245,11,Quartz OeeLossReason 245,1,1,2026-08-24T00:00:00.000
246,OLR000246,55,Granite OeeLossReason 246,1,1,2026-08-24T00:00:00.000
247,OLR000247,51,Titan OeeLossReason 247,1,1,2026-08-24T00:00:00.000
248,OLR000248,171,Meridian OeeLossReason 248,1,1,2026-08-24T00:00:00.000
249,OLR000249,113,Summit OeeLossReason 249,1,1,2026-08-24T00:00:00.000
250,OLR000250,141,Pioneer OeeLossReason 250,1,1,2026-08-24T00:00:00.000
251,OLR000251,83,Ion OeeLossReason 251,1,1,2026-08-24T00:00:00.000
252,OLR000252,139,Unity OeeLossReason 252,1,1,2026-08-24T00:00:00.000
253,OLR000253,61,Cedar OeeLossReason 253,1,1,2026-08-24T00:00:00.000
254,OLR000254,9,Ion OeeLossReason 254,1,1,2026-08-24T00:00:00.000
255,OLR000255,126,Evergreen OeeLossReason 255,1,1,2026-08-24T00:00:00.000
256,OLR000256,114,Meridian OeeLossReason 256,1,1,2026-08-24T00:00:00.000
257,OLR000257,151,Granite OeeLossReason 257,1,1,2026-08-24T00:00:00.000
258,OLR000258,118,Orion OeeLossReason 258,1,1,2026-08-24T00:00:00.000
259,OLR000259,12,Harbor OeeLossReason 259,1,1,2026-08-24T00:00:00.000
260,OLR000260,31,Harbor OeeLossReason 260,1,1,2026-08-24T00:00:00.000
261,OLR000261,126,Cedar OeeLossReason 261,1,1,2026-08-24T00:00:00.000
262,OLR000262,163,Quartz OeeLossReason 262,1,1,2026-08-24T00:00:00.000
263,OLR000263,50,Unity OeeLossReason 263,1,1,2026-08-24T00:00:00.000
264,OLR000264,148,Pioneer OeeLossReason 264,1,1,2026-08-24T00:00:00.000
265,OLR000265,104,Meridian OeeLossReason 265,1,1,2026-08-24T00:00:00.000
266,OLR000266,46,Summit OeeLossReason 266,1,1,2026-08-24T00:00:00.000
267,OLR000267,43,Unity OeeLossReason 267,1,1,2026-08-24T00:00:00.000
268,OLR000268,76,Vertex OeeLossReason 268,1,1,2026-08-24T00:00:00.000
269,OLR000269,157,Titan OeeLossReason 269,1,1,2026-08-24T00:00:00.000
270,OLR000270,117,Evergreen OeeLossReason 270,1,1,2026-08-24T00:00:00.000
271,OLR000271,54,Riverton OeeLossReason 271,1,1,2026-08-24T00:00:00.000
272,OLR000272,151,Junction OeeLossReason 272,1,1,2026-08-24T00:00:00.000
273,OLR000273,100,Riverton OeeLossReason 273,1,1,2026-08-24T00:00:00.000
274,OLR000274,101,Meridian OeeLossReason 274,1,1,2026-08-24T00:00:00.000
275,OLR000275,121,Beacon OeeLossReason 275,1,1,2026-08-24T00:00:00.000
276,OLR000276,72,Northstar OeeLossReason 276,1,1,2026-08-24T00:00:00.000
277,OLR000277,97,Keystone OeeLossReason 277,1,1,2026-08-24T00:00:00.000
278,OLR000278,49,Riverton OeeLossReason 278,1,1,2026-08-24T00:00:00.000
279,OLR000279,146,Vertex OeeLossReason 279,1,1,2026-08-24T00:00:00.000
280,OLR000280,80,Pioneer OeeLossReason 280,1,1,2026-08-24T00:00:00.000
281,OLR000281,23,Harbor OeeLossReason 281,1,1,2026-08-24T00:00:00.000
282,OLR000282,42,Harbor OeeLossReason 282,1,1,2026-08-24T00:00:00.000
283,OLR000283,5,Keystone OeeLossReason 283,1,1,2026-08-24T00:00:00.000
284,OLR000284,152,Cedar OeeLossReason 284,1,1,2026-08-24T00:00:00.000
285,OLR000285,38,Riverton OeeLossReason 285,1,1,2026-08-24T00:00:00.000
286,OLR000286,79,Orion OeeLossReason 286,1,1,2026-08-24T00:00:00.000
287,OLR000287,48,Quartz OeeLossReason 287,1,1,2026-08-24T00:00:00.000
288,OLR000288,86,Northstar OeeLossReason 288,1,1,2026-08-24T00:00:00.000
289,OLR000289,77,Zenith OeeLossReason 289,1,1,2026-08-24T00:00:00.000
290,OLR000290,101,Harbor OeeLossReason 290,1,1,2026-08-24T00:00:00.000
291,OLR000291,106,Delta OeeLossReason 291,1,1,2026-08-24T00:00:00.000
292,OLR000292,25,Atlas OeeLossReason 292,1,1,2026-08-24T00:00:00.000
293,OLR000293,105,Unity OeeLossReason 293,1,1,2026-08-24T00:00:00.000
294,OLR000294,120,Forge OeeLossReason 294,1,1,2026-08-24T00:00:00.000
295,OLR000295,162,Unity OeeLossReason 295,1,1,2026-08-24T00:00:00.000
296,OLR000296,180,Evergreen OeeLossReason 296,1,1,2026-08-24T00:00:00.000
297,OLR000297,34,Evergreen OeeLossReason 297,1,1,2026-08-24T00:00:00.000
298,OLR000298,79,Delta OeeLossReason 298,1,1,2026-08-24T00:00:00.000
299,OLR000299,99,Atlas OeeLossReason 299,1,1,2026-08-24T00:00:00.000
300,OLR000300,92,Northstar OeeLossReason 300,1,1,2026-08-24T00:00:00.000
301,OLR000301,73,Pioneer OeeLossReason 301,1,1,2026-08-24T00:00:00.000
302,OLR000302,29,Northstar OeeLossReason 302,1,1,2026-08-24T00:00:00.000
303,OLR000303,147,Delta OeeLossReason 303,1,1,2026-08-24T00:00:00.000
304,OLR000304,154,Pioneer OeeLossReason 304,1,1,2026-08-24T00:00:00.000
305,OLR000305,123,Delta OeeLossReason 305,1,1,2026-08-24T00:00:00.000
306,OLR000306,18,Ion OeeLossReason 306,1,1,2026-08-24T00:00:00.000
307,OLR000307,45,Ion OeeLossReason 307,1,1,2026-08-24T00:00:00.000
308,OLR000308,23,Orion OeeLossReason 308,1,1,2026-08-24T00:00:00.000
309,OLR000309,100,Forge OeeLossReason 309,1,1,2026-08-24T00:00:00.000
310,OLR000310,118,Forge OeeLossReason 310,1,1,2026-08-24T00:00:00.000
311,OLR000311,36,Orion OeeLossReason 311,1,1,2026-08-24T00:00:00.000
312,OLR000312,83,Atlas OeeLossReason 312,1,1,2026-08-24T00:00:00.000
313,OLR000313,158,Riverton OeeLossReason 313,1,1,2026-08-24T00:00:00.000
314,OLR000314,65,Junction OeeLossReason 314,1,1,2026-08-24T00:00:00.000
315,OLR000315,87,Unity OeeLossReason 315,1,1,2026-08-24T00:00:00.000
316,OLR000316,150,Keystone OeeLossReason 316,1,1,2026-08-24T00:00:00.000
317,OLR000317,17,Cedar OeeLossReason 317,1,1,2026-08-24T00:00:00.000
318,OLR000318,26,Pioneer OeeLossReason 318,1,1,2026-08-24T00:00:00.000
319,OLR000319,121,Ion OeeLossReason 319,1,1,2026-08-24T00:00:00.000
320,OLR000320,171,Zenith OeeLossReason 320,1,1,2026-08-24T00:00:00.000
321,OLR000321,44,Delta OeeLossReason 321,1,1,2026-08-24T00:00:00.000
322,OLR000322,175,Pioneer OeeLossReason 322,1,1,2026-08-24T00:00:00.000
323,OLR000323,105,Orion OeeLossReason 323,1,1,2026-08-24T00:00:00.000
