LogisticsTariffChapterKey,LogisticsTariffChapterCode,LogisticsTariffChapterName,SourceSystemKey,BatchId,LoadedAtUtc
41,LTC000041,Delta LogisticsTariffChapter 41,1,1,2026-08-24T00:00:00.000
42,LTC000042,Delta LogisticsTariffChapter 42,1,1,2026-08-24T00:00:00.000
43,LTC000043,Zenith LogisticsTariffChapter 43,1,1,2026-08-24T00:00:00.000
44,LTC000044,Willow LogisticsTariffChapter 44,1,1,2026-08-24T00:00:00.000
45,LTC000045,Granite LogisticsTariffChapter 45,1,1,2026-08-24T00:00:00.000
46,LTC000046,Zenith LogisticsTariffChapter 46,1,1,2026-08-24T00:00:00.000
47,LTC000047,Pioneer LogisticsTariffChapter 47,1,1,2026-08-24T00:00:00.000
48,LTC000048,Willow LogisticsTariffChapter 48,1,1,2026-08-24T00:00:00.000
49,LTC000049,Pioneer LogisticsTariffChapter 49,1,1,2026-08-24T00:00:00.000
50,LTC000050,Northstar LogisticsTariffChapter 50,1,1,2026-08-24T00:00:00.000
51,LTC000051,Evergreen LogisticsTariffChapter 51,1,1,2026-08-24T00:00:00.000
52,LTC000052,Forge LogisticsTariffChapter 52,1,1,2026-08-24T00:00:00.000
53,LTC000053,Titan LogisticsTariffChapter 53,1,1,2026-08-24T00:00:00.000
54,LTC000054,Evergreen LogisticsTariffChapter 54,1,1,2026-08-24T00:00:00.000
55,LTC000055,Atlas LogisticsTariffChapter 55,1,1,2026-08-24T00:00:00.000
56,LTC000056,Liberty LogisticsTariffChapter 56,1,1,2026-08-24T00:00:00.000
57,LTC000057,Willow LogisticsTariffChapter 57,1,1,2026-08-24T00:00:00.000
58,LTC000058,Quartz LogisticsTariffChapter 58,1,1,2026-08-24T00:00:00.000
59,LTC000059,Meridian LogisticsTariffChapter 59,1,1,2026-08-24T00:00:00.000
60,LTC000060,Riverton LogisticsTariffChapter 60,1,1,2026-08-24T00:00:00.000
61,LTC000061,Quartz LogisticsTariffChapter 61,1,1,2026-08-24T00:00:00.000
62,LTC000062,Quartz LogisticsTariffChapter 62,1,1,2026-08-24T00:00:00.000
63,LTC000063,Granite LogisticsTariffChapter 63,1,1,2026-08-24T00:00:00.000
64,LTC000064,Northstar LogisticsTariffChapter 64,1,1,2026-08-24T00:00:00.000
65,LTC000065,Ion LogisticsTariffChapter 65,1,1,2026-08-24T00:00:00.000
66,LTC000066,Titan LogisticsTariffChapter 66,1,1,2026-08-24T00:00:00.000
67,LTC000067,Summit LogisticsTariffChapter 67,1,1,2026-08-24T00:00:00.000
68,LTC000068,Atlas LogisticsTariffChapter 68,1,1,2026-08-24T00:00:00.000
69,LTC000069,Beacon LogisticsTariffChapter 69,1,1,2026-08-24T00:00:00.000
70,LTC000070,Summit LogisticsTariffChapter 70,1,1,2026-08-24T00:00:00.000
71,LTC000071,Atlas LogisticsTariffChapter 71,1,1,2026-08-24T00:00:00.000
72,LTC000072,Ion LogisticsTariffChapter 72,1,1,2026-08-24T00:00:00.000
73,LTC000073,Unity LogisticsTariffChapter 73,1,1,2026-08-24T00:00:00.000
74,LTC000074,Pioneer LogisticsTariffChapter 74,1,1,2026-08-24T00:00:00.000
75,LTC000075,Willow LogisticsTariffChapter 75,1,1,2026-08-24T00:00:00.000
76,LTC000076,Northstar LogisticsTariffChapter 76,1,1,2026-08-24T00:00:00.000
77,LTC000077,Northstar LogisticsTariffChapter 77,1,1,2026-08-24T00:00:00.000
78,LTC000078,Riverton LogisticsTariffChapter 78,1,1,2026-08-24T00:00:00.000
79,LTC000079,Ion LogisticsTariffChapter 79,1,1,2026-08-24T00:00:00.000
80,LTC000080,Pioneer LogisticsTariffChapter 80,1,1,2026-08-24T00:00:00.000
81,LTC000081,Delta LogisticsTariffChapter 81,1,1,2026-08-24T00:00:00.000
82,LTC000082,Orion LogisticsTariffChapter 82,1,1,2026-08-24T00:00:00.000
83,LTC000083,Summit LogisticsTariffChapter 83,1,1,2026-08-24T00:00:00.000
84,LTC000084,Cedar LogisticsTariffChapter 84,1,1,2026-08-24T00:00:00.000
85,LTC000085,Ion LogisticsTariffChapter 85,1,1,2026-08-24T00:00:00.000
86,LTC000086,Atlas LogisticsTariffChapter 86,1,1,2026-08-24T00:00:00.000
87,LTC000087,Cedar LogisticsTariffChapter 87,1,1,2026-08-24T00:00:00.000
88,LTC000088,Zenith LogisticsTariffChapter 88,1,1,2026-08-24T00:00:00.000
89,LTC000089,Harbor LogisticsTariffChapter 89,1,1,2026-08-24T00:00:00.000
90,LTC000090,Riverton LogisticsTariffChapter 90,1,1,2026-08-24T00:00:00.000
91,LTC000091,Atlas LogisticsTariffChapter 91,1,1,2026-08-24T00:00:00.000
92,LTC000092,Junction LogisticsTariffChapter 92,1,1,2026-08-24T00:00:00.000
93,LTC000093,Pioneer LogisticsTariffChapter 93,1,1,2026-08-24T00:00:00.000
94,LTC000094,Evergreen LogisticsTariffChapter 94,1,1,2026-08-24T00:00:00.000
95,LTC000095,Delta LogisticsTariffChapter 95,1,1,2026-08-24T00:00:00.000
96,LTC000096,Northstar LogisticsTariffChapter 96,1,1,2026-08-24T00:00:00.000
97,LTC000097,Ion LogisticsTariffChapter 97,1,1,2026-08-24T00:00:00.000
98,LTC000098,Keystone LogisticsTariffChapter 98,1,1,2026-08-24T00:00:00.000
99,LTC000099,Vertex LogisticsTariffChapter 99,1,1,2026-08-24T00:00:00.000
100,LTC000100,Riverton LogisticsTariffChapter 100,1,1,2026-08-24T00:00:00.000
