ProductionShiftKey,ProductionShiftCode,PlantKey,ProductionCrewTypeKey,TimeZoneKey,ProductionShiftName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc
73,PS000073,261,79,38,Quartz ProductionShift 73,PS000073,1,110.0100,1,1,2026-08-24T00:00:00.000
74,PS000074,94,11,31,Vertex ProductionShift 74,PS000074,1,111.3800,1,1,2026-08-24T00:00:00.000
75,PS000075,214,102,50,Riverton ProductionShift 75,PS000075,0,112.7500,1,1,2026-08-24T00:00:00.000
76,PS000076,24,103,49,Delta ProductionShift 76,PS000076,1,114.1200,1,1,2026-08-24T00:00:00.000
77,PS000077,136,92,17,Meridian ProductionShift 77,PS000077,1,115.4900,1,1,2026-08-24T00:00:00.000
78,PS000078,333,101,11,Unity ProductionShift 78,PS000078,1,116.8600,1,1,2026-08-24T00:00:00.000
79,PS000079,306,30,15,Meridian ProductionShift 79,PS000079,1,118.2300,1,1,2026-08-24T00:00:00.000
80,PS000080,320,97,25,Orion ProductionShift 80,PS000080,0,119.6000,1,1,2026-08-24T00:00:00.000
81,PS000081,14,53,45,Granite ProductionShift 81,PS000081,1,120.9700,1,1,2026-08-24T00:00:00.000
82,PS000082,111,114,22,Keystone ProductionShift 82,PS000082,1,122.3400,1,1,2026-08-24T00:00:00.000
83,PS000083,118,139,20,Pioneer ProductionShift 83,PS000083,1,123.7100,1,1,2026-08-24T00:00:00.000
84,PS000084,184,83,17,Keystone ProductionShift 84,PS000084,1,125.0800,1,1,2026-08-24T00:00:00.000
85,PS000085,260,105,42,Harbor ProductionShift 85,PS000085,0,126.4500,1,1,2026-08-24T00:00:00.000
86,PS000086,192,9,42,Pioneer ProductionShift 86,PS000086,1,127.8200,1,1,2026-08-24T00:00:00.000
87,PS000087,340,71,12,Keystone ProductionShift 87,PS000087,1,129.1900,1,1,2026-08-24T00:00:00.000
88,PS000088,220,58,10,Beacon ProductionShift 88,PS000088,1,130.5600,1,1,2026-08-24T00:00:00.000
89,PS000089,127,68,48,Vertex ProductionShift 89,PS000089,1,131.9300,1,1,2026-08-24T00:00:00.000
90,PS000090,313,51,49,Riverton ProductionShift 90,PS000090,0,133.3000,1,1,2026-08-24T00:00:00.000
91,PS000091,288,23,15,Ion ProductionShift 91,PS000091,1,134.6700,1,1,2026-08-24T00:00:00.000
92,PS000092,73,119,50,Orion ProductionShift 92,PS000092,1,136.0400,1,1,2026-08-24T00:00:00.000
93,PS000093,268,23,3,Evergreen ProductionShift 93,PS000093,1,137.4100,1,1,2026-08-24T00:00:00.000
94,PS000094,205,72,41,Harbor ProductionShift 94,PS000094,1,138.7800,1,1,2026-08-24T00:00:00.000
95,PS000095,141,90,29,Beacon ProductionShift 95,PS000095,0,140.1500,1,1,2026-08-24T00:00:00.000
96,PS000096,252,27,59,Ion ProductionShift 96,PS000096,1,141.5200,1,1,2026-08-24T00:00:00.000
97,PS000097,228,32,33,Unity ProductionShift 97,PS000097,1,142.8900,1,1,2026-08-24T00:00:00.000
98,PS000098,141,92,9,Forge ProductionShift 98,PS000098,1,144.2600,1,1,2026-08-24T00:00:00.000
99,PS000099,68,89,50,Cedar ProductionShift 99,PS000099,1,145.6300,1,1,2026-08-24T00:00:00.000
100,PS000100,252,125,30,Vertex ProductionShift 100,PS000100,0,147.0000,1,1,2026-08-24T00:00:00.000
101,PS000101,45,109,28,Cedar ProductionShift 101,PS000101,1,148.3700,1,1,2026-08-24T00:00:00.000
102,PS000102,8,31,4,Cedar ProductionShift 102,PS000102,1,149.7400,1,1,2026-08-24T00:00:00.000
103,PS000103,58,124,60,Cedar ProductionShift 103,PS000103,1,151.1100,1,1,2026-08-24T00:00:00.000
104,PS000104,155,61,48,Unity ProductionShift 104,PS000104,1,152.4800,1,1,2026-08-24T00:00:00.000
105,PS000105,304,127,1,Keystone ProductionShift 105,PS000105,0,153.8500,1,1,2026-08-24T00:00:00.000
106,PS000106,142,29,27,Pioneer ProductionShift 106,PS000106,1,155.2200,1,1,2026-08-24T00:00:00.000
107,PS000107,272,100,49,Zenith ProductionShift 107,PS000107,1,156.5900,1,1,2026-08-24T00:00:00.000
108,PS000108,157,4,6,Granite ProductionShift 108,PS000108,1,157.9600,1,1,2026-08-24T00:00:00.000
109,PS000109,182,4,22,Northstar ProductionShift 109,PS000109,1,159.3300,1,1,2026-08-24T00:00:00.000
110,PS000110,208,107,41,Beacon ProductionShift 110,PS000110,0,160.7000,1,1,2026-08-24T00:00:00.000
111,PS000111,194,25,38,Granite ProductionShift 111,PS000111,1,162.0700,1,1,2026-08-24T00:00:00.000
112,PS000112,167,3,56,Evergreen ProductionShift 112,PS000112,1,163.4400,1,1,2026-08-24T00:00:00.000
113,PS000113,225,78,28,Granite ProductionShift 113,PS000113,1,164.8100,1,1,2026-08-24T00:00:00.000
114,PS000114,249,75,1,Titan ProductionShift 114,PS000114,1,166.1800,1,1,2026-08-24T00:00:00.000
115,PS000115,177,68,49,Pioneer ProductionShift 115,PS000115,0,167.5500,1,1,2026-08-24T00:00:00.000
116,PS000116,77,134,47,Summit ProductionShift 116,PS000116,1,168.9200,1,1,2026-08-24T00:00:00.000
117,PS000117,177,109,5,Riverton ProductionShift 117,PS000117,1,170.2900,1,1,2026-08-24T00:00:00.000
118,PS000118,283,77,5,Pioneer ProductionShift 118,PS000118,1,171.6600,1,1,2026-08-24T00:00:00.000
119,PS000119,315,123,47,Evergreen ProductionShift 119,PS000119,1,173.0300,1,1,2026-08-24T00:00:00.000
120,PS000120,205,137,8,Vertex ProductionShift 120,PS000120,0,174.4000,1,1,2026-08-24T00:00:00.000
121,PS000121,22,64,3,Forge ProductionShift 121,PS000121,1,175.7700,1,1,2026-08-24T00:00:00.000
122,PS000122,333,42,10,Granite ProductionShift 122,PS000122,1,177.1400,1,1,2026-08-24T00:00:00.000
123,PS000123,128,91,19,Zenith ProductionShift 123,PS000123,1,178.5100,1,1,2026-08-24T00:00:00.000
124,PS000124,78,86,16,Liberty ProductionShift 124,PS000124,1,179.8800,1,1,2026-08-24T00:00:00.000
125,PS000125,123,77,26,Pioneer ProductionShift 125,PS000125,0,181.2500,1,1,2026-08-24T00:00:00.000
126,PS000126,106,2,13,Vertex ProductionShift 126,PS000126,1,182.6200,1,1,2026-08-24T00:00:00.000
127,PS000127,268,9,23,Keystone ProductionShift 127,PS000127,1,183.9900,1,1,2026-08-24T00:00:00.000
128,PS000128,334,99,47,Liberty ProductionShift 128,PS000128,1,185.3600,1,1,2026-08-24T00:00:00.000
129,PS000129,285,103,56,Forge ProductionShift 129,PS000129,1,186.7300,1,1,2026-08-24T00:00:00.000
130,PS000130,215,123,55,Zenith ProductionShift 130,PS000130,0,188.1000,1,1,2026-08-24T00:00:00.000
131,PS000131,166,128,46,Meridian ProductionShift 131,PS000131,1,189.4700,1,1,2026-08-24T00:00:00.000
132,PS000132,16,12,22,Unity ProductionShift 132,PS000132,1,190.8400,1,1,2026-08-24T00:00:00.000
133,PS000133,254,134,37,Junction ProductionShift 133,PS000133,1,192.2100,1,1,2026-08-24T00:00:00.000
134,PS000134,292,122,54,Orion ProductionShift 134,PS000134,1,193.5800,1,1,2026-08-24T00:00:00.000
135,PS000135,306,130,60,Delta ProductionShift 135,PS000135,0,194.9500,1,1,2026-08-24T00:00:00.000
136,PS000136,284,58,60,Forge ProductionShift 136,PS000136,1,196.3200,1,1,2026-08-24T00:00:00.000
137,PS000137,1,73,55,Vertex ProductionShift 137,PS000137,1,197.6900,1,1,2026-08-24T00:00:00.000
138,PS000138,209,28,46,Northstar ProductionShift 138,PS000138,1,199.0600,1,1,2026-08-24T00:00:00.000
139,PS000139,87,27,28,Forge ProductionShift 139,PS000139,1,200.4300,1,1,2026-08-24T00:00:00.000
140,PS000140,291,60,56,Beacon ProductionShift 140,PS000140,0,201.8000,1,1,2026-08-24T00:00:00.000
141,PS000141,112,83,43,Keystone ProductionShift 141,PS000141,1,203.1700,1,1,2026-08-24T00:00:00.000
142,PS000142,67,139,50,Vertex ProductionShift 142,PS000142,1,204.5400,1,1,2026-08-24T00:00:00.000
143,PS000143,201,117,33,Quartz ProductionShift 143,PS000143,1,205.9100,1,1,2026-08-24T00:00:00.000
144,PS000144,271,12,15,Evergreen ProductionShift 144,PS000144,1,207.2800,1,1,2026-08-24T00:00:00.000
145,PS000145,211,47,27,Titan ProductionShift 145,PS000145,0,208.6500,1,1,2026-08-24T00:00:00.000
146,PS000146,93,2,4,Keystone ProductionShift 146,PS000146,1,210.0200,1,1,2026-08-24T00:00:00.000
147,PS000147,296,29,33,Northstar ProductionShift 147,PS000147,1,211.3900,1,1,2026-08-24T00:00:00.000
148,PS000148,83,45,44,Pioneer ProductionShift 148,PS000148,1,212.7600,1,1,2026-08-24T00:00:00.000
149,PS000149,299,19,36,Quartz ProductionShift 149,PS000149,1,214.1300,1,1,2026-08-24T00:00:00.000
150,PS000150,142,69,17,Orion ProductionShift 150,PS000150,0,215.5000,1,1,2026-08-24T00:00:00.000
151,PS000151,82,8,6,Titan ProductionShift 151,PS000151,1,216.8700,1,1,2026-08-24T00:00:00.000
152,PS000152,163,72,39,Cedar ProductionShift 152,PS000152,1,218.2400,1,1,2026-08-24T00:00:00.000
153,PS000153,113,139,55,Willow ProductionShift 153,PS000153,1,219.6100,1,1,2026-08-24T00:00:00.000
154,PS000154,217,45,47,Junction ProductionShift 154,PS000154,1,220.9800,1,1,2026-08-24T00:00:00.000
155,PS000155,300,114,5,Granite ProductionShift 155,PS000155,0,222.3500,1,1,2026-08-24T00:00:00.000
156,PS000156,144,128,13,Junction ProductionShift 156,PS000156,1,223.7200,1,1,2026-08-24T00:00:00.000
157,PS000157,265,18,29,Unity ProductionShift 157,PS000157,1,225.0900,1,1,2026-08-24T00:00:00.000
158,PS000158,133,129,36,Zenith ProductionShift 158,PS000158,1,226.4600,1,1,2026-08-24T00:00:00.000
159,PS000159,307,14,28,Titan ProductionShift 159,PS000159,1,227.8300,1,1,2026-08-24T00:00:00.000
160,PS000160,15,119,50,Atlas ProductionShift 160,PS000160,0,229.2000,1,1,2026-08-24T00:00:00.000
161,PS000161,232,113,57,Zenith ProductionShift 161,PS000161,1,230.5700,1,1,2026-08-24T00:00:00.000
162,PS000162,53,34,60,Quartz ProductionShift 162,PS000162,1,231.9400,1,1,2026-08-24T00:00:00.000
163,PS000163,189,117,16,Harbor ProductionShift 163,PS000163,1,233.3100,1,1,2026-08-24T00:00:00.000
164,PS000164,343,48,26,Delta ProductionShift 164,PS000164,1,234.6800,1,1,2026-08-24T00:00:00.000
165,PS000165,243,44,25,Atlas ProductionShift 165,PS000165,0,236.0500,1,1,2026-08-24T00:00:00.000
166,PS000166,264,128,20,Evergreen ProductionShift 166,PS000166,1,237.4200,1,1,2026-08-24T00:00:00.000
167,PS000167,217,66,16,Beacon ProductionShift 167,PS000167,1,238.7900,1,1,2026-08-24T00:00:00.000
168,PS000168,57,43,54,Delta ProductionShift 168,PS000168,1,240.1600,1,1,2026-08-24T00:00:00.000
169,PS000169,132,88,15,Riverton ProductionShift 169,PS000169,1,241.5300,1,1,2026-08-24T00:00:00.000
170,PS000170,207,121,36,Northstar ProductionShift 170,PS000170,0,242.9000,1,1,2026-08-24T00:00:00.000
171,PS000171,270,104,49,Liberty ProductionShift 171,PS000171,1,244.2700,1,1,2026-08-24T00:00:00.000
172,PS000172,323,122,42,Titan ProductionShift 172,PS000172,1,245.6400,1,1,2026-08-24T00:00:00.000
173,PS000173,104,29,18,Riverton ProductionShift 173,PS000173,1,247.0100,1,1,2026-08-24T00:00:00.000
174,PS000174,152,122,43,Liberty ProductionShift 174,PS000174,1,248.3800,1,1,2026-08-24T00:00:00.000
175,PS000175,45,109,18,Junction ProductionShift 175,PS000175,0,249.7500,1,1,2026-08-24T00:00:00.000
176,PS000176,105,111,30,Northstar ProductionShift 176,PS000176,1,251.1200,1,1,2026-08-24T00:00:00.000
177,PS000177,10,47,48,Meridian ProductionShift 177,PS000177,1,252.4900,1,1,2026-08-24T00:00:00.000
178,PS000178,228,63,54,Riverton ProductionShift 178,PS000178,1,253.8600,1,1,2026-08-24T00:00:00.000
179,PS000179,256,24,48,Delta ProductionShift 179,PS000179,1,255.2300,1,1,2026-08-24T00:00:00.000
180,PS000180,12,116,6,Ion ProductionShift 180,PS000180,0,256.6000,1,1,2026-08-24T00:00:00.000
181,PS000181,288,31,23,Forge ProductionShift 181,PS000181,1,257.9700,1,1,2026-08-24T00:00:00.000
182,PS000182,209,89,30,Beacon ProductionShift 182,PS000182,1,259.3400,1,1,2026-08-24T00:00:00.000
183,PS000183,282,50,6,Evergreen ProductionShift 183,PS000183,1,260.7100,1,1,2026-08-24T00:00:00.000
184,PS000184,16,60,25,Pioneer ProductionShift 184,PS000184,1,262.0800,1,1,2026-08-24T00:00:00.000
185,PS000185,72,84,37,Vertex ProductionShift 185,PS000185,0,263.4500,1,1,2026-08-24T00:00:00.000
186,PS000186,322,43,35,Granite ProductionShift 186,PS000186,1,264.8200,1,1,2026-08-24T00:00:00.000
187,PS000187,158,33,59,Willow ProductionShift 187,PS000187,1,266.1900,1,1,2026-08-24T00:00:00.000
188,PS000188,229,26,34,Summit ProductionShift 188,PS000188,1,267.5600,1,1,2026-08-24T00:00:00.000
189,PS000189,43,107,52,Ion ProductionShift 189,PS000189,1,268.9300,1,1,2026-08-24T00:00:00.000
190,PS000190,35,21,36,Granite ProductionShift 190,PS000190,0,270.3000,1,1,2026-08-24T00:00:00.000
191,PS000191,206,88,6,Harbor ProductionShift 191,PS000191,1,271.6700,1,1,2026-08-24T00:00:00.000
192,PS000192,182,28,17,Quartz ProductionShift 192,PS000192,1,273.0400,1,1,2026-08-24T00:00:00.000
193,PS000193,17,1,31,Pioneer ProductionShift 193,PS000193,1,274.4100,1,1,2026-08-24T00:00:00.000
194,PS000194,175,56,39,Willow ProductionShift 194,PS000194,1,275.7800,1,1,2026-08-24T00:00:00.000
195,PS000195,87,135,48,Summit ProductionShift 195,PS000195,0,277.1500,1,1,2026-08-24T00:00:00.000
196,PS000196,327,131,32,Willow ProductionShift 196,PS000196,1,278.5200,1,1,2026-08-24T00:00:00.000
197,PS000197,41,87,19,Meridian ProductionShift 197,PS000197,1,279.8900,1,1,2026-08-24T00:00:00.000
198,PS000198,66,119,18,Vertex ProductionShift 198,PS000198,1,281.2600,1,1,2026-08-24T00:00:00.000
199,PS000199,151,38,10,Titan ProductionShift 199,PS000199,1,282.6300,1,1,2026-08-24T00:00:00.000
200,PS000200,305,49,60,Keystone ProductionShift 200,PS000200,0,284.0000,1,1,2026-08-24T00:00:00.000
201,PS000201,283,46,36,Cedar ProductionShift 201,PS000201,1,285.3700,1,1,2026-08-24T00:00:00.000
202,PS000202,17,134,19,Titan ProductionShift 202,PS000202,1,286.7400,1,1,2026-08-24T00:00:00.000
203,PS000203,14,107,51,Summit ProductionShift 203,PS000203,1,288.1100,1,1,2026-08-24T00:00:00.000
204,PS000204,89,73,22,Keystone ProductionShift 204,PS000204,1,289.4800,1,1,2026-08-24T00:00:00.000
205,PS000205,285,134,12,Beacon ProductionShift 205,PS000205,0,290.8500,1,1,2026-08-24T00:00:00.000
206,PS000206,305,61,38,Orion ProductionShift 206,PS000206,1,292.2200,1,1,2026-08-24T00:00:00.000
207,PS000207,197,127,53,Zenith ProductionShift 207,PS000207,1,293.5900,1,1,2026-08-24T00:00:00.000
208,PS000208,113,1,58,Atlas ProductionShift 208,PS000208,1,294.9600,1,1,2026-08-24T00:00:00.000
209,PS000209,110,70,35,Delta ProductionShift 209,PS000209,1,296.3300,1,1,2026-08-24T00:00:00.000
210,PS000210,220,44,28,Riverton ProductionShift 210,PS000210,0,297.7000,1,1,2026-08-24T00:00:00.000
211,PS000211,50,78,35,Delta ProductionShift 211,PS000211,1,299.0700,1,1,2026-08-24T00:00:00.000
212,PS000212,169,31,14,Titan ProductionShift 212,PS000212,1,300.4400,1,1,2026-08-24T00:00:00.000
213,PS000213,84,6,27,Unity ProductionShift 213,PS000213,1,301.8100,1,1,2026-08-24T00:00:00.000
214,PS000214,84,19,4,Vertex ProductionShift 214,PS000214,1,303.1800,1,1,2026-08-24T00:00:00.000
215,PS000215,268,41,54,Cedar ProductionShift 215,PS000215,0,304.5500,1,1,2026-08-24T00:00:00.000
216,PS000216,259,60,30,Junction ProductionShift 216,PS000216,1,305.9200,1,1,2026-08-24T00:00:00.000
217,PS000217,340,128,7,Vertex ProductionShift 217,PS000217,1,307.2900,1,1,2026-08-24T00:00:00.000
218,PS000218,162,89,58,Keystone ProductionShift 218,PS000218,1,308.6600,1,1,2026-08-24T00:00:00.000
219,PS000219,118,62,45,Atlas ProductionShift 219,PS000219,1,310.0300,1,1,2026-08-24T00:00:00.000
220,PS000220,258,114,16,Delta ProductionShift 220,PS000220,0,311.4000,1,1,2026-08-24T00:00:00.000
221,PS000221,233,111,42,Keystone ProductionShift 221,PS000221,1,312.7700,1,1,2026-08-24T00:00:00.000
222,PS000222,126,57,1,Atlas ProductionShift 222,PS000222,1,314.1400,1,1,2026-08-24T00:00:00.000
223,PS000223,62,34,28,Unity ProductionShift 223,PS000223,1,315.5100,1,1,2026-08-24T00:00:00.000
224,PS000224,73,25,46,Pioneer ProductionShift 224,PS000224,1,316.8800,1,1,2026-08-24T00:00:00.000
225,PS000225,168,126,3,Forge ProductionShift 225,PS000225,0,318.2500,1,1,2026-08-24T00:00:00.000
226,PS000226,40,55,28,Forge ProductionShift 226,PS000226,1,319.6200,1,1,2026-08-24T00:00:00.000
227,PS000227,5,19,29,Summit ProductionShift 227,PS000227,1,320.9900,1,1,2026-08-24T00:00:00.000
228,PS000228,228,53,1,Beacon ProductionShift 228,PS000228,1,322.3600,1,1,2026-08-24T00:00:00.000
229,PS000229,334,46,50,Ion ProductionShift 229,PS000229,1,323.7300,1,1,2026-08-24T00:00:00.000
230,PS000230,103,72,48,Quartz ProductionShift 230,PS000230,0,325.1000,1,1,2026-08-24T00:00:00.000
231,PS000231,110,74,22,Pioneer ProductionShift 231,PS000231,1,326.4700,1,1,2026-08-24T00:00:00.000
232,PS000232,167,119,7,Beacon ProductionShift 232,PS000232,1,327.8400,1,1,2026-08-24T00:00:00.000
233,PS000233,14,113,30,Delta ProductionShift 233,PS000233,1,329.2100,1,1,2026-08-24T00:00:00.000
234,PS000234,24,16,41,Beacon ProductionShift 234,PS000234,1,330.5800,1,1,2026-08-24T00:00:00.000
235,PS000235,13,45,30,Titan ProductionShift 235,PS000235,0,331.9500,1,1,2026-08-24T00:00:00.000
236,PS000236,247,6,42,Delta ProductionShift 236,PS000236,1,333.3200,1,1,2026-08-24T00:00:00.000
237,PS000237,187,109,46,Titan ProductionShift 237,PS000237,1,334.6900,1,1,2026-08-24T00:00:00.000
238,PS000238,25,27,40,Harbor ProductionShift 238,PS000238,1,336.0600,1,1,2026-08-24T00:00:00.000
239,PS000239,255,20,3,Delta ProductionShift 239,PS000239,1,337.4300,1,1,2026-08-24T00:00:00.000
240,PS000240,186,21,9,Liberty ProductionShift 240,PS000240,0,338.8000,1,1,2026-08-24T00:00:00.000
241,PS000241,274,139,56,Titan ProductionShift 241,PS000241,1,340.1700,1,1,2026-08-24T00:00:00.000
242,PS000242,57,53,2,Atlas ProductionShift 242,PS000242,1,341.5400,1,1,2026-08-24T00:00:00.000
