LogisticsDeliveryKey,DeliveryNumber,CustomerKey,ShipFromPlantKey,OriginLogisticsDockDoorKey,LogisticsShipmentStatusKey,PriorityKey,DeliveryName,RequestedDeliveryDate,DeliveryPriorityScore,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
10,LD000010,459,270,393,5,4,Atlas LogisticsDelivery 10,2020-01-11,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fa9dfe79cf35dd692f4a33ecb4ec8682fa9dfe79cf35dd692f4a33ecb4ec868
11,LD000011,45,6,14,1,5,Unity LogisticsDelivery 11,2020-01-12,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,779634011c6257e9a83bc96aed0aa73f779634011c6257e9a83bc96aed0aa73f
12,LD000012,424,325,384,13,1,Beacon LogisticsDelivery 12,2020-01-13,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de4afa1930d5580dab92373d7a43eefbde4afa1930d5580dab92373d7a43eefb
13,LD000013,179,66,25,9,3,Vertex LogisticsDelivery 13,2020-01-14,13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,288ac7a3a2005567b803a9d1013aeeee288ac7a3a2005567b803a9d1013aeeee
14,LD000014,102,119,229,14,1,Vertex LogisticsDelivery 14,2020-01-15,14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,048bf80b0a8f52f0ad55a28607414bee048bf80b0a8f52f0ad55a28607414bee
15,LD000015,25,285,87,3,4,Titan LogisticsDelivery 15,2020-01-16,15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,18cdcfd6c232577191862dc85596edc918cdcfd6c232577191862dc85596edc9
16,LD000016,324,191,208,1,1,Beacon LogisticsDelivery 16,2020-01-17,16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cfc4c72462175b34ad07a708bb30a5ffcfc4c72462175b34ad07a708bb30a5ff
17,LD000017,-1,-1,-1,11,3,Delta LogisticsDelivery 17,2020-01-18,17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0d63c545eee5ed991e3932e4fe79119c0d63c545eee5ed991e3932e4fe79119
18,LD000018,128,279,187,4,1,Keystone LogisticsDelivery 18,2020-01-19,18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d942a3891e3e505ca0ab918b9bd3f9e2d942a3891e3e505ca0ab918b9bd3f9e2
19,LD000019,208,230,328,2,1,Zenith LogisticsDelivery 19,2020-01-20,19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30cafe578eea55d8915a6acd5b4d25ed30cafe578eea55d8915a6acd5b4d25ed
20,LD000020,175,285,262,14,4,Harbor LogisticsDelivery 20,2020-01-21,20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,025124364f9d56c78681bca4f71698d9025124364f9d56c78681bca4f71698d9
21,LD000021,200,75,207,2,1,Keystone LogisticsDelivery 21,2020-01-22,21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c09fd3ff0cf15b74b3618a315d38a544c09fd3ff0cf15b74b3618a315d38a544
22,LD000022,500,287,234,5,5,Forge LogisticsDelivery 22,2020-01-23,22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58d31fea3d3759eca7cc39bf5749ddc358d31fea3d3759eca7cc39bf5749ddc3
23,LD000023,58,336,28,1,5,Zenith LogisticsDelivery 23,2020-01-24,23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46eaad4f70d8598a9862eea7f1fe438646eaad4f70d8598a9862eea7f1fe4386
24,LD000024,198,262,8,14,1,Willow LogisticsDelivery 24,2020-01-25,24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,021c6cf32737565d8151603c221cb11e021c6cf32737565d8151603c221cb11e
25,LD000025,197,206,246,12,3,Forge LogisticsDelivery 25,2020-01-26,25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,24536b374eda5ca3a98570377a882d5a24536b374eda5ca3a98570377a882d5a
26,LD000026,237,287,408,10,3,Junction LogisticsDelivery 26,2020-01-27,26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2f456b3a6505e488ae27c9da47ffa61d2f456b3a6505e488ae27c9da47ffa61
27,LD000027,114,109,328,4,5,Beacon LogisticsDelivery 27,2020-01-28,27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,313b34dc05d55c9d9de4e475aa403bba313b34dc05d55c9d9de4e475aa403bba
28,LD000028,446,179,353,10,3,Summit LogisticsDelivery 28,2020-01-29,28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e736539f9fbf50e6808f1e5823e0105ee736539f9fbf50e6808f1e5823e0105e
29,LD000029,208,242,463,9,3,Forge LogisticsDelivery 29,2020-01-30,29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d31d0aaa811356cfa7cec97fae25c647d31d0aaa811356cfa7cec97fae25c647
30,LD000030,292,96,429,14,4,Delta LogisticsDelivery 30,2020-01-31,30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c139c8fd0b65eab822a32d431524bb89c139c8fd0b65eab822a32d431524bb8
31,LD000031,236,81,445,12,4,Unity LogisticsDelivery 31,2020-02-01,31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3dd5b2487635bf6ba05a28aac503697d3dd5b2487635bf6ba05a28aac503697
32,LD000032,405,96,283,13,4,Orion LogisticsDelivery 32,2020-02-02,32,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,011fdceb86f759da9047a30443cfa8e9011fdceb86f759da9047a30443cfa8e9
33,LD000033,21,310,400,4,2,Atlas LogisticsDelivery 33,2020-02-03,33,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77afce70827c5eebb931090454e6bc5877afce70827c5eebb931090454e6bc58
34,LD000034,-1,-1,-1,12,4,Willow LogisticsDelivery 34,2020-02-04,34,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b756e051ddd58bea66665d342b7c5401b756e051ddd58bea66665d342b7c540
35,LD000035,442,163,23,3,2,Cedar LogisticsDelivery 35,2020-02-05,35,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98b988c8ccda562d8cd3efd9de89c35b98b988c8ccda562d8cd3efd9de89c35b
36,LD000036,209,274,448,6,1,Harbor LogisticsDelivery 36,2020-02-06,36,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40d6189515725643afc018ce92abdb5e40d6189515725643afc018ce92abdb5e
37,LD000037,64,14,449,5,1,Junction LogisticsDelivery 37,2020-02-07,37,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,434c3d9e9ddd531f9b44ac55ed0459cc434c3d9e9ddd531f9b44ac55ed0459cc
38,LD000038,372,64,11,13,5,Keystone LogisticsDelivery 38,2020-02-08,38,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,873c032fe17a5fc28bbb2b4d76025d94873c032fe17a5fc28bbb2b4d76025d94
39,LD000039,129,328,292,10,4,Northstar LogisticsDelivery 39,2020-02-09,39,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec1f9502a67e53e9a3e5db7d82c86e6aec1f9502a67e53e9a3e5db7d82c86e6a
40,LD000040,210,51,84,4,2,Evergreen LogisticsDelivery 40,2020-02-10,40,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35f70904ada9512a83eeae6ec340120a35f70904ada9512a83eeae6ec340120a
41,LD000041,169,64,284,1,4,Atlas LogisticsDelivery 41,2020-02-11,41,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db1014a3a92755b8b93eb190c16bf025db1014a3a92755b8b93eb190c16bf025
42,LD000042,458,25,448,12,3,Pioneer LogisticsDelivery 42,2020-02-12,42,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5fc924026c535c6287ab37e23a4adf155fc924026c535c6287ab37e23a4adf15
43,LD000043,460,136,389,12,2,Atlas LogisticsDelivery 43,2020-02-13,43,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f72b4b256de8519db140cbb062540699f72b4b256de8519db140cbb062540699
44,LD000044,85,261,114,14,3,Unity LogisticsDelivery 44,2020-02-14,44,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1446562dd97a50d58120bf44d734bc7b1446562dd97a50d58120bf44d734bc7b
45,LD000045,120,190,395,10,5,Pioneer LogisticsDelivery 45,2020-02-15,45,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e7a4f3cfdaea5a20b777c3a4740de013e7a4f3cfdaea5a20b777c3a4740de013
46,LD000046,175,273,435,4,2,Cedar LogisticsDelivery 46,2020-02-16,46,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4121e59654de5c279a7acbd877c0e8af4121e59654de5c279a7acbd877c0e8af
47,LD000047,244,222,441,13,5,Harbor LogisticsDelivery 47,2020-02-17,47,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4013344285d65568b0be81d083ed2ce44013344285d65568b0be81d083ed2ce4
48,LD000048,316,201,236,13,3,Unity LogisticsDelivery 48,2020-02-18,48,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b74b453b24775fcea18f1b9c71a9c337b74b453b24775fcea18f1b9c71a9c337
49,LD000049,257,111,105,10,2,Evergreen LogisticsDelivery 49,2020-02-19,49,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f63852258ddc5714aaf470030d3c65d6f63852258ddc5714aaf470030d3c65d6
50,LD000050,316,261,176,6,2,Delta LogisticsDelivery 50,2020-02-20,50,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,018b579fafb35fdebafda8ec44d0b78a018b579fafb35fdebafda8ec44d0b78a
51,LD000051,-1,-1,-1,11,1,Atlas LogisticsDelivery 51,2020-02-21,51,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,67bdd11a64c259e5a234d0561d147b9967bdd11a64c259e5a234d0561d147b99
52,LD000052,268,122,342,6,1,Liberty LogisticsDelivery 52,2020-02-22,52,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72d93977c5445929ad6247d82034220172d93977c5445929ad6247d820342201
53,LD000053,207,309,242,14,5,Junction LogisticsDelivery 53,2020-02-23,53,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5fe9f05b51e57beae761f1cf549e4cce5fe9f05b51e57beae761f1cf549e4cc
54,LD000054,136,320,311,2,1,Evergreen LogisticsDelivery 54,2020-02-24,54,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4656ef1b295f5a1492884aae1d821b554656ef1b295f5a1492884aae1d821b55
55,LD000055,487,275,402,3,2,Delta LogisticsDelivery 55,2020-02-25,55,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d406d918fc6d5cdda12b611fe8b70bb7d406d918fc6d5cdda12b611fe8b70bb7
56,LD000056,13,307,477,10,3,Cedar LogisticsDelivery 56,2020-02-26,56,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1ae84d0472d53cfab59501a1c8fbd9cf1ae84d0472d53cfab59501a1c8fbd9c
57,LD000057,106,294,383,9,2,Titan LogisticsDelivery 57,2020-02-27,57,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25f8cc940fda5a529e93524c697c819625f8cc940fda5a529e93524c697c8196
58,LD000058,234,204,246,6,2,Atlas LogisticsDelivery 58,2020-02-28,58,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd1e60b83bc8526ba1ffac8b27186af7fd1e60b83bc8526ba1ffac8b27186af7
59,LD000059,428,154,138,10,2,Harbor LogisticsDelivery 59,2020-02-29,59,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7da8851e27615536a360142ebf9151177da8851e27615536a360142ebf915117
60,LD000060,500,179,108,13,1,Northstar LogisticsDelivery 60,2020-03-01,60,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42bb483f1a8752749d8dda4996f276b442bb483f1a8752749d8dda4996f276b4
61,LD000061,182,182,78,4,3,Delta LogisticsDelivery 61,2020-03-02,61,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de2529a5278752f5b8112ca00831d3edde2529a5278752f5b8112ca00831d3ed
62,LD000062,195,73,389,3,5,Summit LogisticsDelivery 62,2020-03-03,62,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05905993a310567c97938db84e72b02105905993a310567c97938db84e72b021
63,LD000063,273,237,125,12,1,Summit LogisticsDelivery 63,2020-03-04,63,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a9e19c2599f5016bb30011d0fc5f1b18a9e19c2599f5016bb30011d0fc5f1b1
64,LD000064,277,15,149,14,1,Meridian LogisticsDelivery 64,2020-03-05,64,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c0ca6bc586a50d5b98380130b0259aa0c0ca6bc586a50d5b98380130b0259aa
65,LD000065,376,10,264,12,3,Keystone LogisticsDelivery 65,2020-03-06,65,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a46baadf46857e480b2bdd7bf61ef829a46baadf46857e480b2bdd7bf61ef82
66,LD000066,62,204,372,6,1,Riverton LogisticsDelivery 66,2020-03-07,66,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b812b73bb5e85fc99484794ef638098eb812b73bb5e85fc99484794ef638098e
67,LD000067,419,171,430,6,4,Willow LogisticsDelivery 67,2020-03-08,67,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,096e5de2898459d09ada9f1ef86d711e096e5de2898459d09ada9f1ef86d711e
68,LD000068,-1,-1,-1,13,4,Ion LogisticsDelivery 68,2020-03-09,68,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1069dc367c685db8ae42560ab4d9a6971069dc367c685db8ae42560ab4d9a697
69,LD000069,97,138,60,11,3,Unity LogisticsDelivery 69,2020-03-10,69,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29962937db8b5fcdb027f509cc766a0529962937db8b5fcdb027f509cc766a05
70,LD000070,350,178,256,12,4,Keystone LogisticsDelivery 70,2020-03-11,70,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d95897f7838058129b828ab71e847083d95897f7838058129b828ab71e847083
71,LD000071,409,214,313,12,1,Meridian LogisticsDelivery 71,2020-03-12,71,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ae3d037b71755ecbeeeb5493b304d7a6ae3d037b71755ecbeeeb5493b304d7a
72,LD000072,267,228,266,5,4,Beacon LogisticsDelivery 72,2020-03-13,72,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a650adaf8a7531dade5073cf08f33ae7a650adaf8a7531dade5073cf08f33ae
73,LD000073,384,89,117,3,1,Junction LogisticsDelivery 73,2020-03-14,73,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e793f06bd6f35994a9f959f725799f10e793f06bd6f35994a9f959f725799f10
74,LD000074,223,288,45,1,3,Titan LogisticsDelivery 74,2020-03-15,74,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85cbaf3a779b53a5a73897f942138f8485cbaf3a779b53a5a73897f942138f84
75,LD000075,401,118,132,1,4,Evergreen LogisticsDelivery 75,2020-03-16,75,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0de86a7e14de5d30886e073138bf28170de86a7e14de5d30886e073138bf2817
76,LD000076,400,107,210,8,3,Keystone LogisticsDelivery 76,2020-03-17,76,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15bb1d59b08450198b56018769b763c715bb1d59b08450198b56018769b763c7
77,LD000077,8,141,397,9,5,Orion LogisticsDelivery 77,2020-03-18,77,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fd6e1632b125893bf8caea2440682e97fd6e1632b125893bf8caea2440682e9
78,LD000078,328,72,50,5,2,Orion LogisticsDelivery 78,2020-03-19,78,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ce3c43983365253bf969beb5cfe62a80ce3c43983365253bf969beb5cfe62a8
79,LD000079,359,74,385,5,2,Harbor LogisticsDelivery 79,2020-03-20,79,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3da6fe7b76854f38fa29da92b0b76bef3da6fe7b76854f38fa29da92b0b76be
80,LD000080,424,267,22,10,5,Northstar LogisticsDelivery 80,2020-03-21,80,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4cf2c23fe1ba5973b6bfa3d34ea223a24cf2c23fe1ba5973b6bfa3d34ea223a2
81,LD000081,424,193,260,14,2,Vertex LogisticsDelivery 81,2020-03-22,81,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ac557ede33e5e939c1e7b985edf82551ac557ede33e5e939c1e7b985edf8255
82,LD000082,210,167,211,2,2,Northstar LogisticsDelivery 82,2020-03-23,82,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6ff549938db56c992d516a374dbf7faf6ff549938db56c992d516a374dbf7fa
83,LD000083,229,235,119,11,5,Forge LogisticsDelivery 83,2020-03-24,83,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78d319be87565f3d83632460f4e267c578d319be87565f3d83632460f4e267c5
84,LD000084,363,334,178,14,2,Northstar LogisticsDelivery 84,2020-03-25,84,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7fd2ee5e3e452638dbbb9dbeecf8bc9a7fd2ee5e3e452638dbbb9dbeecf8bc9
85,LD000085,-1,-1,-1,3,3,Riverton LogisticsDelivery 85,2020-03-26,85,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a8dbf1a005645af6b41e4115c76a024ca8dbf1a005645af6b41e4115c76a024c
86,LD000086,452,76,116,5,2,Forge LogisticsDelivery 86,2020-03-27,86,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c834d6399e9752129a9cdeda8496dd98c834d6399e9752129a9cdeda8496dd98
87,LD000087,121,346,476,4,4,Titan LogisticsDelivery 87,2020-03-28,87,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b324161ff2454359867c27ed5fdd76b7b324161ff2454359867c27ed5fdd76b
88,LD000088,245,109,291,2,3,Riverton LogisticsDelivery 88,2020-03-29,88,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f20df50c1a1f5dbdb086c187a14f2cf0f20df50c1a1f5dbdb086c187a14f2cf0
89,LD000089,32,168,100,13,5,Titan LogisticsDelivery 89,2020-03-30,89,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bda6e37f84a45586ab2fb5ad2bc1d629bda6e37f84a45586ab2fb5ad2bc1d629
90,LD000090,242,301,311,9,2,Liberty LogisticsDelivery 90,2020-03-31,90,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d14aa80c5ea55a3951b24e8822290b56d14aa80c5ea55a3951b24e8822290b5
91,LD000091,217,254,369,4,1,Riverton LogisticsDelivery 91,2020-04-01,91,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ffd709eaa9de58718370bfc1b0c1dfc2ffd709eaa9de58718370bfc1b0c1dfc2
92,LD000092,375,229,452,3,1,Riverton LogisticsDelivery 92,2020-04-02,92,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99e9d95ffeef5cd7ad97e21030669cb099e9d95ffeef5cd7ad97e21030669cb0
93,LD000093,193,259,145,13,3,Riverton LogisticsDelivery 93,2020-04-03,93,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f9b37faa97545399a447477ca2b83e09f9b37faa97545399a447477ca2b83e09
94,LD000094,347,294,323,2,1,Harbor LogisticsDelivery 94,2020-04-04,94,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d1011548201518a96b1a95ed5151b885d1011548201518a96b1a95ed5151b88
95,LD000095,9,105,129,1,3,Pioneer LogisticsDelivery 95,2020-04-05,95,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e82dd712a5f95ed6b92feba49751b68be82dd712a5f95ed6b92feba49751b68b
96,LD000096,386,28,7,13,5,Granite LogisticsDelivery 96,2020-04-06,96,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c539e76f23595d8ab0d1299ce6d7d69ac539e76f23595d8ab0d1299ce6d7d69a
97,LD000097,463,136,229,1,3,Ion LogisticsDelivery 97,2020-04-07,97,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,67fe7b40dc7b50f4957783bbf6fa8a8667fe7b40dc7b50f4957783bbf6fa8a86
98,LD000098,44,251,170,6,5,Keystone LogisticsDelivery 98,2020-04-08,98,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65d9eb8d85215a0197cffb083ef7b2c465d9eb8d85215a0197cffb083ef7b2c4
99,LD000099,58,166,327,8,3,Beacon LogisticsDelivery 99,2020-04-09,99,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fab4a8a8574e56da94dde8ba245496e4fab4a8a8574e56da94dde8ba245496e4
100,LD000100,38,143,462,11,2,Titan LogisticsDelivery 100,2020-04-10,100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d627ca0521a956b68f42df9b1d914fedd627ca0521a956b68f42df9b1d914fed
