SalesDistrictKey,SalesDistrictCode,SalesRegionKey,SalesDistrictName,SourceSystemKey,BatchId,LoadedAtUtc
36,SD000036,7,Ion SalesDistrict 36,1,1,2026-08-24T00:00:00.000
37,SD000037,4,Pioneer SalesDistrict 37,1,1,2026-08-24T00:00:00.000
38,SD000038,11,Summit SalesDistrict 38,1,1,2026-08-24T00:00:00.000
39,SD000039,12,Northstar SalesDistrict 39,1,1,2026-08-24T00:00:00.000
40,SD000040,2,Delta SalesDistrict 40,1,1,2026-08-24T00:00:00.000
41,SD000041,6,Zenith SalesDistrict 41,1,1,2026-08-24T00:00:00.000
42,SD000042,5,Liberty SalesDistrict 42,1,1,2026-08-24T00:00:00.000
43,SD000043,11,Ion SalesDistrict 43,1,1,2026-08-24T00:00:00.000
44,SD000044,9,Titan SalesDistrict 44,1,1,2026-08-24T00:00:00.000
45,SD000045,3,Ion SalesDistrict 45,1,1,2026-08-24T00:00:00.000
46,SD000046,9,Unity SalesDistrict 46,1,1,2026-08-24T00:00:00.000
47,SD000047,7,Beacon SalesDistrict 47,1,1,2026-08-24T00:00:00.000
48,SD000048,4,Summit SalesDistrict 48,1,1,2026-08-24T00:00:00.000
49,SD000049,6,Orion SalesDistrict 49,1,1,2026-08-24T00:00:00.000
50,SD000050,1,Riverton SalesDistrict 50,1,1,2026-08-24T00:00:00.000
51,SD000051,1,Liberty SalesDistrict 51,1,1,2026-08-24T00:00:00.000
52,SD000052,3,Quartz SalesDistrict 52,1,1,2026-08-24T00:00:00.000
53,SD000053,3,Junction SalesDistrict 53,1,1,2026-08-24T00:00:00.000
54,SD000054,7,Unity SalesDistrict 54,1,1,2026-08-24T00:00:00.000
55,SD000055,9,Summit SalesDistrict 55,1,1,2026-08-24T00:00:00.000
56,SD000056,9,Willow SalesDistrict 56,1,1,2026-08-24T00:00:00.000
57,SD000057,6,Granite SalesDistrict 57,1,1,2026-08-24T00:00:00.000
58,SD000058,11,Forge SalesDistrict 58,1,1,2026-08-24T00:00:00.000
59,SD000059,2,Ion SalesDistrict 59,1,1,2026-08-24T00:00:00.000
60,SD000060,3,Cedar SalesDistrict 60,1,1,2026-08-24T00:00:00.000
61,SD000061,1,Vertex SalesDistrict 61,1,1,2026-08-24T00:00:00.000
62,SD000062,2,Meridian SalesDistrict 62,1,1,2026-08-24T00:00:00.000
63,SD000063,12,Willow SalesDistrict 63,1,1,2026-08-24T00:00:00.000
64,SD000064,11,Junction SalesDistrict 64,1,1,2026-08-24T00:00:00.000
65,SD000065,9,Titan SalesDistrict 65,1,1,2026-08-24T00:00:00.000
66,SD000066,9,Junction SalesDistrict 66,1,1,2026-08-24T00:00:00.000
67,SD000067,11,Granite SalesDistrict 67,1,1,2026-08-24T00:00:00.000
68,SD000068,8,Willow SalesDistrict 68,1,1,2026-08-24T00:00:00.000
69,SD000069,3,Pioneer SalesDistrict 69,1,1,2026-08-24T00:00:00.000
70,SD000070,3,Atlas SalesDistrict 70,1,1,2026-08-24T00:00:00.000
71,SD000071,8,Forge SalesDistrict 71,1,1,2026-08-24T00:00:00.000
72,SD000072,9,Willow SalesDistrict 72,1,1,2026-08-24T00:00:00.000
73,SD000073,5,Delta SalesDistrict 73,1,1,2026-08-24T00:00:00.000
74,SD000074,7,Forge SalesDistrict 74,1,1,2026-08-24T00:00:00.000
75,SD000075,8,Junction SalesDistrict 75,1,1,2026-08-24T00:00:00.000
76,SD000076,1,Unity SalesDistrict 76,1,1,2026-08-24T00:00:00.000
77,SD000077,4,Northstar SalesDistrict 77,1,1,2026-08-24T00:00:00.000
78,SD000078,3,Northstar SalesDistrict 78,1,1,2026-08-24T00:00:00.000
79,SD000079,10,Northstar SalesDistrict 79,1,1,2026-08-24T00:00:00.000
80,SD000080,4,Harbor SalesDistrict 80,1,1,2026-08-24T00:00:00.000
