FinancePlanningVersionKey,PlanningVersionCode,BusinessUnitKey,FinanceScenarioTypeKey,CurrencyKey,PlanningVersionName,VersionStartDate,VersionEndDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
32,FPV000032,202,3,5,Willow FinancePlanningVersion 32,2020-02-02,2021-02-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,384781ba78a450329405dc5b2fa57b8d384781ba78a450329405dc5b2fa57b8d
33,FPV000033,134,2,1,Keystone FinancePlanningVersion 33,2020-02-03,2021-02-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ace649a1518050d981c6326d2de928f7ace649a1518050d981c6326d2de928f7
34,FPV000034,307,3,5,Delta FinancePlanningVersion 34,2020-02-04,2021-02-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05b64ce7bddb5d149d7664ad749fe2a605b64ce7bddb5d149d7664ad749fe2a6
35,FPV000035,77,7,4,Willow FinancePlanningVersion 35,2020-02-05,2021-02-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97b2fd88692754f38a779af8bb7f028097b2fd88692754f38a779af8bb7f0280
36,FPV000036,361,8,4,Ion FinancePlanningVersion 36,2020-02-06,2021-02-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa54e4681244507ab5d92d0f4a3b705cfa54e4681244507ab5d92d0f4a3b705c
37,FPV000037,444,5,3,Liberty FinancePlanningVersion 37,2020-02-07,2021-02-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6de7040293e6539582259062f6333c366de7040293e6539582259062f6333c36
38,FPV000038,332,6,3,Forge FinancePlanningVersion 38,2020-02-08,2021-02-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f5ee4c521f656abb3b3ca4c13edd9555f5ee4c521f656abb3b3ca4c13edd955
39,FPV000039,117,3,1,Delta FinancePlanningVersion 39,2020-02-09,2021-02-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a5f643c959f50dd9ebb9d0672b6a0c69a5f643c959f50dd9ebb9d0672b6a0c6
40,FPV000040,313,6,3,Summit FinancePlanningVersion 40,2020-02-10,2021-02-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6742df3a7d94582da02fe71499a01cb86742df3a7d94582da02fe71499a01cb8
41,FPV000041,465,4,1,Vertex FinancePlanningVersion 41,2020-02-11,2021-02-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd3dc922daed5afe8336ce8e62855a43fd3dc922daed5afe8336ce8e62855a43
42,FPV000042,181,10,5,Harbor FinancePlanningVersion 42,2020-02-12,2021-02-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e999cfb09d1f5cf69f967a8eabda16f6e999cfb09d1f5cf69f967a8eabda16f6
43,FPV000043,462,3,5,Willow FinancePlanningVersion 43,2020-02-13,2021-02-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c708dcc561ca57b3ae3d389267e2e39dc708dcc561ca57b3ae3d389267e2e39d
44,FPV000044,176,7,4,Harbor FinancePlanningVersion 44,2020-02-14,2021-02-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b84ae6fd00bf53dba9b30647784398d0b84ae6fd00bf53dba9b30647784398d0
45,FPV000045,436,3,5,Ion FinancePlanningVersion 45,2020-02-15,2021-02-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,938d01f8e0cb59b49caae79d97eef11d938d01f8e0cb59b49caae79d97eef11d
46,FPV000046,187,7,2,Titan FinancePlanningVersion 46,2020-02-16,2021-02-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82f957a9f83b515a9be30706754e4ab282f957a9f83b515a9be30706754e4ab2
47,FPV000047,432,1,4,Pioneer FinancePlanningVersion 47,2020-02-17,2021-02-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d3c08d12bc454f3bef1b445814a2ea58d3c08d12bc454f3bef1b445814a2ea5
48,FPV000048,363,8,2,Orion FinancePlanningVersion 48,2020-02-18,2021-02-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d90003603255717aad2622edefc2f944d90003603255717aad2622edefc2f94
49,FPV000049,468,2,3,Delta FinancePlanningVersion 49,2020-02-19,2021-02-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,138393ca724c5f7a846b324d467e877b138393ca724c5f7a846b324d467e877b
50,FPV000050,355,4,3,Summit FinancePlanningVersion 50,2020-02-20,2021-02-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3114f73b38f5636bdc8e9bcabd985c0b3114f73b38f5636bdc8e9bcabd985c0
51,FPV000051,176,7,4,Summit FinancePlanningVersion 51,2020-02-21,2021-02-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee44aa1c39725d999744ff74e19a205fee44aa1c39725d999744ff74e19a205f
52,FPV000052,457,10,4,Orion FinancePlanningVersion 52,2020-02-22,2021-02-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e442b43858ae55d088ecdf421b6a66b2e442b43858ae55d088ecdf421b6a66b2
53,FPV000053,226,10,1,Atlas FinancePlanningVersion 53,2020-02-23,2021-02-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13d482e7d58a556d976a6d818df5468a13d482e7d58a556d976a6d818df5468a
54,FPV000054,255,4,1,Titan FinancePlanningVersion 54,2020-02-24,2021-02-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,067df8a8f64a5c2aa00be8c65525da81067df8a8f64a5c2aa00be8c65525da81
55,FPV000055,114,5,1,Summit FinancePlanningVersion 55,2020-02-25,2021-02-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af269f2f0eb55f9093018667a3ea275faf269f2f0eb55f9093018667a3ea275f
56,FPV000056,25,5,4,Summit FinancePlanningVersion 56,2020-02-26,2021-02-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd8a45078a905ee6ac8afe8ca1c28ab3bd8a45078a905ee6ac8afe8ca1c28ab3
57,FPV000057,357,1,3,Northstar FinancePlanningVersion 57,2020-02-27,2021-02-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4b31e6a4f095656873582cdfc67564ac4b31e6a4f095656873582cdfc67564a
58,FPV000058,195,1,2,Unity FinancePlanningVersion 58,2020-02-28,2021-02-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6deca08129a5d29ab53eeb752146c09f6deca08129a5d29ab53eeb752146c09
59,FPV000059,225,7,1,Beacon FinancePlanningVersion 59,2020-02-29,2021-02-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,450e9136a3f05b8eabf604583d5fbe71450e9136a3f05b8eabf604583d5fbe71
60,FPV000060,120,2,2,Pioneer FinancePlanningVersion 60,2020-03-01,2021-03-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7652e4e7232358a590763673ce47ff7f7652e4e7232358a590763673ce47ff7f
61,FPV000061,236,3,3,Cedar FinancePlanningVersion 61,2020-03-02,2021-03-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38c5f9d933e45a0da624d34e000281f338c5f9d933e45a0da624d34e000281f3
62,FPV000062,245,5,5,Titan FinancePlanningVersion 62,2020-03-03,2021-03-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,776d1f9e98b4528c93a85340bcc14259776d1f9e98b4528c93a85340bcc14259
63,FPV000063,46,2,2,Summit FinancePlanningVersion 63,2020-03-04,2021-03-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45da48b0f47b5be69ca1bc4985bf563545da48b0f47b5be69ca1bc4985bf5635
64,FPV000064,414,8,4,Riverton FinancePlanningVersion 64,2020-03-05,2021-03-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,930fdf5d88bb509d8ac1bbc13eaba822930fdf5d88bb509d8ac1bbc13eaba822
65,FPV000065,433,10,3,Atlas FinancePlanningVersion 65,2020-03-06,2021-03-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44b10dca486c5ef4ac2787fd602c906c44b10dca486c5ef4ac2787fd602c906c
66,FPV000066,92,4,1,Titan FinancePlanningVersion 66,2020-03-07,2021-03-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01142c90793b5c9c83fa32498dfe6d0c01142c90793b5c9c83fa32498dfe6d0c
67,FPV000067,279,1,3,Orion FinancePlanningVersion 67,2020-03-08,2021-03-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c8c65167ac35cdd87ad7b93c07f604d6c8c65167ac35cdd87ad7b93c07f604d
68,FPV000068,354,5,4,Quartz FinancePlanningVersion 68,2020-03-09,2021-03-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d8199288ad3506ab956cd57018d2b8f2d8199288ad3506ab956cd57018d2b8f
69,FPV000069,57,1,4,Zenith FinancePlanningVersion 69,2020-03-10,2021-03-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,19278ed0fadd59c1876b8500d2852dbf19278ed0fadd59c1876b8500d2852dbf
70,FPV000070,89,2,5,Willow FinancePlanningVersion 70,2020-03-11,2021-03-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28679af0358e56e5bdf26799f4c572ae28679af0358e56e5bdf26799f4c572ae
71,FPV000071,128,4,3,Zenith FinancePlanningVersion 71,2020-03-12,2021-03-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34d5be1726f55c43964331a4c7da438a34d5be1726f55c43964331a4c7da438a
72,FPV000072,479,10,4,Quartz FinancePlanningVersion 72,2020-03-13,2021-03-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0078ad9138645f8ab49509d567aab5e50078ad9138645f8ab49509d567aab5e5
73,FPV000073,60,2,4,Vertex FinancePlanningVersion 73,2020-03-14,2021-03-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76d1494be2e759619adee42ff132355c76d1494be2e759619adee42ff132355c
74,FPV000074,5,9,5,Junction FinancePlanningVersion 74,2020-03-15,2021-03-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1075f9750baa5e55804d9dc00c859d821075f9750baa5e55804d9dc00c859d82
75,FPV000075,429,9,4,Zenith FinancePlanningVersion 75,2020-03-16,2021-03-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3c9ee7310785de0a72b3cbab022a150f3c9ee7310785de0a72b3cbab022a150
76,FPV000076,9,10,5,Zenith FinancePlanningVersion 76,2020-03-17,2021-03-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44e54e615de05bb1a5f2f6a46daa33a544e54e615de05bb1a5f2f6a46daa33a5
77,FPV000077,328,8,4,Unity FinancePlanningVersion 77,2020-03-18,2021-03-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d264b3b653685ceb84913b27d6bdfab9d264b3b653685ceb84913b27d6bdfab9
78,FPV000078,464,4,2,Beacon FinancePlanningVersion 78,2020-03-19,2021-03-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0abbe4ffa6c052048007f7a98ce686e60abbe4ffa6c052048007f7a98ce686e6
79,FPV000079,485,4,1,Northstar FinancePlanningVersion 79,2020-03-20,2021-03-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,339feb330b2c52b49de4ef562f264958339feb330b2c52b49de4ef562f264958
80,FPV000080,98,7,4,Granite FinancePlanningVersion 80,2020-03-21,2021-03-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7b4aa23791553da8ec45b6f4b5fbc39b7b4aa23791553da8ec45b6f4b5fbc39
81,FPV000081,425,5,4,Northstar FinancePlanningVersion 81,2020-03-22,2021-03-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,47465663c525537c8c4d4e3ef303bf8247465663c525537c8c4d4e3ef303bf82
82,FPV000082,7,4,4,Cedar FinancePlanningVersion 82,2020-03-23,2021-03-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a5e72e7ce875ef88492b77ddefc351e7a5e72e7ce875ef88492b77ddefc351e
83,FPV000083,436,7,2,Evergreen FinancePlanningVersion 83,2020-03-24,2021-03-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f14eece6535c507bbac35771fa411e3cf14eece6535c507bbac35771fa411e3c
84,FPV000084,424,6,5,Keystone FinancePlanningVersion 84,2020-03-25,2021-03-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4461d48b17b56449c3291e2abd70abfa4461d48b17b56449c3291e2abd70abf
85,FPV000085,397,9,5,Orion FinancePlanningVersion 85,2020-03-26,2021-03-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77f6d5b32f8d5897979a46186627cf6077f6d5b32f8d5897979a46186627cf60
86,FPV000086,331,9,4,Quartz FinancePlanningVersion 86,2020-03-27,2021-03-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fea83cbfb25855bbb1a140c396d683bcfea83cbfb25855bbb1a140c396d683bc
87,FPV000087,131,8,2,Cedar FinancePlanningVersion 87,2020-03-28,2021-03-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb63426f280b5b72957f789bf767272dfb63426f280b5b72957f789bf767272d
88,FPV000088,177,6,2,Zenith FinancePlanningVersion 88,2020-03-29,2021-03-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,071174def5ec5f93b1bc5289c105c4e4071174def5ec5f93b1bc5289c105c4e4
89,FPV000089,208,7,3,Unity FinancePlanningVersion 89,2020-03-30,2021-03-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b9bffe2b0f6b50e194df7da249433fb1b9bffe2b0f6b50e194df7da249433fb1
90,FPV000090,144,6,3,Evergreen FinancePlanningVersion 90,2020-03-31,2021-03-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,edab7864f1995305981448058d008823edab7864f1995305981448058d008823
91,FPV000091,307,8,2,Northstar FinancePlanningVersion 91,2020-04-01,2021-04-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8efa32f3e7575dc1a9ec113b17ba42578efa32f3e7575dc1a9ec113b17ba4257
92,FPV000092,60,5,5,Titan FinancePlanningVersion 92,2020-04-02,2021-04-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0700ff6e7b3653b884b7aeaeb0be53850700ff6e7b3653b884b7aeaeb0be5385
93,FPV000093,163,5,1,Keystone FinancePlanningVersion 93,2020-04-03,2021-04-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4e73307e7d95b6ba52a8679a7c06150e4e73307e7d95b6ba52a8679a7c06150
94,FPV000094,374,7,4,Willow FinancePlanningVersion 94,2020-04-04,2021-04-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a67b917b9635cc2acda643323b364c08a67b917b9635cc2acda643323b364c0
95,FPV000095,150,2,3,Junction FinancePlanningVersion 95,2020-04-05,2021-04-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b0d72146c76548597d76c3629026ab52b0d72146c76548597d76c3629026ab5
96,FPV000096,126,7,2,Cedar FinancePlanningVersion 96,2020-04-06,2021-04-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a745c55fdc835d15a2b6ba2f79f75aeba745c55fdc835d15a2b6ba2f79f75aeb
97,FPV000097,382,8,4,Vertex FinancePlanningVersion 97,2020-04-07,2021-04-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb81cdfe683255c3916a0b6014ce6e27eb81cdfe683255c3916a0b6014ce6e27
98,FPV000098,468,5,5,Willow FinancePlanningVersion 98,2020-04-08,2021-04-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5812f0a492265c1ebd48307ebc1a91665812f0a492265c1ebd48307ebc1a9166
