SalesCustomerCreditProfileKey,CreditProfileCode,CustomerKey,BusinessUnitKey,SalesCreditStatusKey,CurrencyKey,CreditLimitAmount,ReviewCycleDays,RiskScore,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
27,SCCP000027,434,234,3,5,46.9900,28,27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e265bb5c0a05c6883fb7b15b5eb92760e265bb5c0a05c6883fb7b15b5eb9276
28,SCCP000028,263,263,3,3,48.3600,1,28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64cf3541bf0b544d82188d18b762f4c364cf3541bf0b544d82188d18b762f4c3
29,SCCP000029,132,464,2,2,49.7300,2,29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cecf45d913aa58d2a2f7c598aa776e25cecf45d913aa58d2a2f7c598aa776e25
30,SCCP000030,40,290,6,4,51.1000,3,30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c3f8d3cae735511a0437f3864dfbdeb6c3f8d3cae735511a0437f3864dfbdeb
31,SCCP000031,205,264,2,5,52.4700,4,31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,966504429297582a99af6b683b1318e5966504429297582a99af6b683b1318e5
32,SCCP000032,495,211,1,3,53.8400,5,32,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b45184c4fdc58888036c53c77e6b5393b45184c4fdc58888036c53c77e6b539
33,SCCP000033,140,307,6,5,55.2100,6,33,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5c495afad3e58d6b2f05bca290b4e45d5c495afad3e58d6b2f05bca290b4e45
34,SCCP000034,58,-1,7,4,56.5800,7,34,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f422333c08235b689e2636b08a5702a6f422333c08235b689e2636b08a5702a6
35,SCCP000035,158,126,7,2,57.9500,8,35,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4348eeb31e7953358546258d57db627b4348eeb31e7953358546258d57db627b
36,SCCP000036,247,358,8,3,59.3200,9,36,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe55b6b7e5c950efa81e53b5e6af28c6fe55b6b7e5c950efa81e53b5e6af28c6
37,SCCP000037,361,174,3,5,60.6900,10,37,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed9326d0ef8b52639b5ce31d401a4023ed9326d0ef8b52639b5ce31d401a4023
38,SCCP000038,377,386,8,3,62.0600,11,38,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b91b12bb88ba521688b8210c589e031cb91b12bb88ba521688b8210c589e031c
39,SCCP000039,217,25,4,3,63.4300,12,39,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,adc6d234219851d5ab8a094070cd4eebadc6d234219851d5ab8a094070cd4eeb
40,SCCP000040,318,239,5,1,64.8000,13,40,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,939eb2d743055ac9a10d8e28e4a84747939eb2d743055ac9a10d8e28e4a84747
41,SCCP000041,11,390,4,4,66.1700,14,41,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ecc7a32b3ba556bb2a0e19f9085b3453ecc7a32b3ba556bb2a0e19f9085b345
42,SCCP000042,235,43,6,1,67.5400,15,42,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01641a165d6454e393b9aeca9d48e56301641a165d6454e393b9aeca9d48e563
43,SCCP000043,38,202,6,1,68.9100,16,43,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6ed66e933535401956bdc46997687c0f6ed66e933535401956bdc46997687c0
44,SCCP000044,262,243,7,4,70.2800,17,44,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c753aa78f985f4babc778dd2a42f4616c753aa78f985f4babc778dd2a42f461
45,SCCP000045,127,48,2,3,71.6500,18,45,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d13e019b99c25e9cb52575f540026f09d13e019b99c25e9cb52575f540026f09
46,SCCP000046,312,23,8,1,73.0200,19,46,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06987210269a54a781dec56a173e63b006987210269a54a781dec56a173e63b0
47,SCCP000047,64,278,4,1,74.3900,20,47,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1aee067f4d3254d0a056d1158abda0cb1aee067f4d3254d0a056d1158abda0cb
48,SCCP000048,63,41,1,4,75.7600,21,48,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f7df6118845f5c40a91b8e409d122474f7df6118845f5c40a91b8e409d122474
49,SCCP000049,146,139,3,3,77.1300,22,49,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4eefbafe01635a5c9800f9f65a1f62f74eefbafe01635a5c9800f9f65a1f62f7
50,SCCP000050,282,157,5,4,78.5000,23,50,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6470343317d54a384d56b35d3d180d2d6470343317d54a384d56b35d3d180d2
51,SCCP000051,368,-1,2,3,79.8700,24,51,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9f2f71d869554fdaabb2234288cc3e4a9f2f71d869554fdaabb2234288cc3e4
52,SCCP000052,421,274,1,3,81.2400,25,52,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1eec27bdad15e839e83c00cbeb4a0e2b1eec27bdad15e839e83c00cbeb4a0e2
53,SCCP000053,416,14,5,4,82.6100,26,53,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4e6e08980df5d8f84612372709ca861d4e6e08980df5d8f84612372709ca861
54,SCCP000054,230,372,8,5,83.9800,27,54,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,292f9d4c65a35ff4a08dd8fefff2a61d292f9d4c65a35ff4a08dd8fefff2a61d
55,SCCP000055,19,214,4,4,85.3500,28,55,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fddd15582819516d9dc0c31256e43feafddd15582819516d9dc0c31256e43fea
56,SCCP000056,352,117,4,5,86.7200,1,56,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf91cebb881b59b980cc241895d7c23ccf91cebb881b59b980cc241895d7c23c
57,SCCP000057,124,430,7,5,88.0900,2,57,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5ea0fe8a1e95ff5a987b6debf292999f5ea0fe8a1e95ff5a987b6debf292999
58,SCCP000058,53,177,7,4,89.4600,3,58,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3057f4886695e34adfd1a695716880ad3057f4886695e34adfd1a695716880a
59,SCCP000059,435,90,7,4,90.8300,4,59,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8415361690f5ff5ac415a82a86f1e7ed8415361690f5ff5ac415a82a86f1e7e
60,SCCP000060,193,249,3,2,92.2000,5,60,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc06264035e35747b86b05df0054a54afc06264035e35747b86b05df0054a54a
61,SCCP000061,65,454,1,1,93.5700,6,61,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b153979289735637ae809c250208a0a2b153979289735637ae809c250208a0a2
62,SCCP000062,128,482,3,2,94.9400,7,62,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,296f35bd983353799d9c595d60fef0dd296f35bd983353799d9c595d60fef0dd
63,SCCP000063,126,278,4,1,96.3100,8,63,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9af62b88687c555e897b49f7a0409b3b9af62b88687c555e897b49f7a0409b3b
64,SCCP000064,50,130,3,3,97.6800,9,64,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85ab61431e565388bc345cb17675e76a85ab61431e565388bc345cb17675e76a
65,SCCP000065,272,244,1,1,99.0500,10,65,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4965859d4a6855a69bba9cb7034a301c4965859d4a6855a69bba9cb7034a301c
66,SCCP000066,86,202,7,5,100.4200,11,66,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,284738f2ec915de09372d1bf2e073b02284738f2ec915de09372d1bf2e073b02
67,SCCP000067,325,375,2,4,101.7900,12,67,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba91e87d410850f09e1c520cb88bc8adba91e87d410850f09e1c520cb88bc8ad
68,SCCP000068,188,-1,5,2,103.1600,13,68,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef7d5ddfa7ae54bca2ba2ed431d9c5adef7d5ddfa7ae54bca2ba2ed431d9c5ad
69,SCCP000069,98,120,4,4,104.5300,14,69,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a8d940d6f7d5c6c969e0ff4a416b1bf7a8d940d6f7d5c6c969e0ff4a416b1bf
70,SCCP000070,381,159,5,5,105.9000,15,70,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,449c56582a3f5c288d310a9537504794449c56582a3f5c288d310a9537504794
71,SCCP000071,2,24,6,5,107.2700,16,71,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d19c3487c605a958a3a0c25f033aa4a2d19c3487c605a958a3a0c25f033aa4a
72,SCCP000072,251,8,4,2,108.6400,17,72,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee691bb3e879510188026fcbc1e701c9ee691bb3e879510188026fcbc1e701c9
73,SCCP000073,449,382,8,5,110.0100,18,73,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,284989d26be95fa3af106b30258cd4e2284989d26be95fa3af106b30258cd4e2
74,SCCP000074,388,410,1,1,111.3800,19,74,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a0f55757ff55a50bc3e8824b50574354a0f55757ff55a50bc3e8824b5057435
75,SCCP000075,329,129,5,3,112.7500,20,75,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a881b0a2c295f5f85daa6117d1ec87c6a881b0a2c295f5f85daa6117d1ec87c
76,SCCP000076,268,358,7,3,114.1200,21,76,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,613c68eedd385ee1a7c2c0ce12d6200e613c68eedd385ee1a7c2c0ce12d6200e
77,SCCP000077,43,460,3,3,115.4900,22,77,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76937542118c5d6ab7e8f6e521a3724076937542118c5d6ab7e8f6e521a37240
78,SCCP000078,404,232,3,1,116.8600,23,78,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ceb5183095bf59d7b23bb3fcd2078614ceb5183095bf59d7b23bb3fcd2078614
79,SCCP000079,267,288,7,5,118.2300,24,79,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e2c706cf4d754678ad2f9bf0cb9c4e58e2c706cf4d754678ad2f9bf0cb9c4e5
80,SCCP000080,104,491,5,1,119.6000,25,80,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,923e89f381c15b3f8a913acb85f5a7be923e89f381c15b3f8a913acb85f5a7be
81,SCCP000081,495,230,6,5,120.9700,26,81,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,700d999934515ef4bda2925c9c33a57c700d999934515ef4bda2925c9c33a57c
82,SCCP000082,500,218,8,2,122.3400,27,82,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae334c94506d5cf2a57fdbbcfbd676cbae334c94506d5cf2a57fdbbcfbd676cb
83,SCCP000083,307,42,5,1,123.7100,28,83,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07d517fe02a654fbaab8baa416976cdb07d517fe02a654fbaab8baa416976cdb
84,SCCP000084,447,338,6,2,125.0800,1,84,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fce42fa006ac5c338168efa9cf9b7ee3fce42fa006ac5c338168efa9cf9b7ee3
85,SCCP000085,464,-1,1,5,126.4500,2,85,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ea6a1c5f34052d1b981b09e2f24824e2ea6a1c5f34052d1b981b09e2f24824e
86,SCCP000086,228,20,4,2,127.8200,3,86,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b39a8011d8959a180065a422aaa05f37b39a8011d8959a180065a422aaa05f3
87,SCCP000087,286,74,4,2,129.1900,4,87,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f625da43461d5e2aa85005a84f0b76c3f625da43461d5e2aa85005a84f0b76c3
88,SCCP000088,61,488,1,2,130.5600,5,88,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00ccfb4b18035beab027074c921a085b00ccfb4b18035beab027074c921a085b
89,SCCP000089,488,88,4,1,131.9300,6,89,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d96a21f00e9d5ba48b9354cebc96052fd96a21f00e9d5ba48b9354cebc96052f
90,SCCP000090,150,60,3,1,133.3000,7,90,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7249949360bf506090c0ba84c56c75ad7249949360bf506090c0ba84c56c75ad
91,SCCP000091,66,482,7,5,134.6700,8,91,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3524ed5098b581e96823b1ae577c590d3524ed5098b581e96823b1ae577c590
92,SCCP000092,44,427,3,3,136.0400,9,92,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe760a39d17758b999e0c6807c279a38fe760a39d17758b999e0c6807c279a38
93,SCCP000093,49,7,4,4,137.4100,10,93,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51d957f4d9cb5a8889ed98c5a650f83651d957f4d9cb5a8889ed98c5a650f836
94,SCCP000094,353,62,4,3,138.7800,11,94,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35c48761c72257c2a763f7d16f55953535c48761c72257c2a763f7d16f559535
95,SCCP000095,151,272,1,4,140.1500,12,95,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06e222544dbf5e80b55ae588776e9e9f06e222544dbf5e80b55ae588776e9e9f
96,SCCP000096,418,85,3,1,141.5200,13,96,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,755816ffd5a4572ab93a15cde64a218b755816ffd5a4572ab93a15cde64a218b
97,SCCP000097,452,297,1,3,142.8900,14,97,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,437376fea7de568c968ecb1271e6dc1e437376fea7de568c968ecb1271e6dc1e
98,SCCP000098,236,158,7,2,144.2600,15,98,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53e621cdf1315c0cb64dfad6580bc0f953e621cdf1315c0cb64dfad6580bc0f9
99,SCCP000099,263,456,7,1,145.6300,16,99,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,48776870c0b1517099e4dfc2fb933b8048776870c0b1517099e4dfc2fb933b80
100,SCCP000100,140,361,8,5,147.0000,17,100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd053db02ccd530397873e6b9a045316fd053db02ccd530397873e6b9a045316
101,SCCP000101,491,138,6,4,148.3700,18,101,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,653f77e84054587895857e7f719a4732653f77e84054587895857e7f719a4732
102,SCCP000102,115,-1,2,5,149.7400,19,102,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c9f427c434758589c9e0befd97a69422c9f427c434758589c9e0befd97a6942
103,SCCP000103,289,441,5,3,151.1100,20,103,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9aeba82cc5d5c5ab69f39b3b5c672f8e9aeba82cc5d5c5ab69f39b3b5c672f8
104,SCCP000104,429,476,5,4,152.4800,21,104,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e7e435ea2665099b2df045649665fcd5e7e435ea2665099b2df045649665fcd
105,SCCP000105,196,258,1,4,153.8500,22,105,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fc788f9bf1f5b119b25339116789b372fc788f9bf1f5b119b25339116789b37
106,SCCP000106,455,369,3,5,155.2200,23,106,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b16c5840adc057cf805851355ed93843b16c5840adc057cf805851355ed93843
107,SCCP000107,499,368,2,2,156.5900,24,107,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7aef9f2a0efc56338a70d9da84be02887aef9f2a0efc56338a70d9da84be0288
108,SCCP000108,336,456,1,2,157.9600,25,108,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7ad5c3807195b0697e978a2135727d3a7ad5c3807195b0697e978a2135727d3
109,SCCP000109,487,260,1,1,159.3300,26,109,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8441cf0fa1035dd0b708ef8f77a9d00c8441cf0fa1035dd0b708ef8f77a9d00c
110,SCCP000110,38,38,1,4,160.7000,27,110,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e90a4de99bb51a3b81ed93d8b1d55cf6e90a4de99bb51a3b81ed93d8b1d55cf
111,SCCP000111,261,283,8,3,162.0700,28,111,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f489a4be8b0b5b46bb3be8ca223a3b52f489a4be8b0b5b46bb3be8ca223a3b52
112,SCCP000112,163,76,5,5,163.4400,1,112,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0bef523d723557318314fde4de4727830bef523d723557318314fde4de472783
113,SCCP000113,264,193,5,4,164.8100,2,113,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0eb9dc4192c85a6a81c96ec808da69d60eb9dc4192c85a6a81c96ec808da69d6
