QualityLabGroupKey,QualityLabGroupCode,QualityOrganizationSiteKey,QualityLabGroupName,SourceSystemKey,BatchId,LoadedAtUtc
49,QLG000049,19,Evergreen QualityLabGroup 49,1,1,2026-08-24T00:00:00.000
50,QLG000050,1,Titan QualityLabGroup 50,1,1,2026-08-24T00:00:00.000
51,QLG000051,2,Granite QualityLabGroup 51,1,1,2026-08-24T00:00:00.000
52,QLG000052,4,Keystone QualityLabGroup 52,1,1,2026-08-24T00:00:00.000
53,QLG000053,17,Willow QualityLabGroup 53,1,1,2026-08-24T00:00:00.000
54,QLG000054,40,Forge QualityLabGroup 54,1,1,2026-08-24T00:00:00.000
55,QLG000055,12,Liberty QualityLabGroup 55,1,1,2026-08-24T00:00:00.000
56,QLG000056,7,Vertex QualityLabGroup 56,1,1,2026-08-24T00:00:00.000
57,QLG000057,8,Ion QualityLabGroup 57,1,1,2026-08-24T00:00:00.000
58,QLG000058,19,Delta QualityLabGroup 58,1,1,2026-08-24T00:00:00.000
59,QLG000059,5,Harbor QualityLabGroup 59,1,1,2026-08-24T00:00:00.000
60,QLG000060,15,Pioneer QualityLabGroup 60,1,1,2026-08-24T00:00:00.000
61,QLG000061,6,Cedar QualityLabGroup 61,1,1,2026-08-24T00:00:00.000
62,QLG000062,8,Summit QualityLabGroup 62,1,1,2026-08-24T00:00:00.000
63,QLG000063,22,Delta QualityLabGroup 63,1,1,2026-08-24T00:00:00.000
64,QLG000064,15,Zenith QualityLabGroup 64,1,1,2026-08-24T00:00:00.000
65,QLG000065,20,Beacon QualityLabGroup 65,1,1,2026-08-24T00:00:00.000
66,QLG000066,10,Cedar QualityLabGroup 66,1,1,2026-08-24T00:00:00.000
67,QLG000067,9,Quartz QualityLabGroup 67,1,1,2026-08-24T00:00:00.000
68,QLG000068,25,Delta QualityLabGroup 68,1,1,2026-08-24T00:00:00.000
69,QLG000069,19,Titan QualityLabGroup 69,1,1,2026-08-24T00:00:00.000
70,QLG000070,14,Harbor QualityLabGroup 70,1,1,2026-08-24T00:00:00.000
71,QLG000071,15,Delta QualityLabGroup 71,1,1,2026-08-24T00:00:00.000
72,QLG000072,3,Ion QualityLabGroup 72,1,1,2026-08-24T00:00:00.000
73,QLG000073,2,Evergreen QualityLabGroup 73,1,1,2026-08-24T00:00:00.000
74,QLG000074,21,Beacon QualityLabGroup 74,1,1,2026-08-24T00:00:00.000
75,QLG000075,14,Atlas QualityLabGroup 75,1,1,2026-08-24T00:00:00.000
76,QLG000076,13,Meridian QualityLabGroup 76,1,1,2026-08-24T00:00:00.000
77,QLG000077,4,Willow QualityLabGroup 77,1,1,2026-08-24T00:00:00.000
78,QLG000078,26,Vertex QualityLabGroup 78,1,1,2026-08-24T00:00:00.000
79,QLG000079,11,Zenith QualityLabGroup 79,1,1,2026-08-24T00:00:00.000
80,QLG000080,21,Ion QualityLabGroup 80,1,1,2026-08-24T00:00:00.000
81,QLG000081,27,Pioneer QualityLabGroup 81,1,1,2026-08-24T00:00:00.000
82,QLG000082,25,Unity QualityLabGroup 82,1,1,2026-08-24T00:00:00.000
83,QLG000083,22,Beacon QualityLabGroup 83,1,1,2026-08-24T00:00:00.000
84,QLG000084,22,Ion QualityLabGroup 84,1,1,2026-08-24T00:00:00.000
85,QLG000085,15,Summit QualityLabGroup 85,1,1,2026-08-24T00:00:00.000
86,QLG000086,20,Quartz QualityLabGroup 86,1,1,2026-08-24T00:00:00.000
87,QLG000087,11,Cedar QualityLabGroup 87,1,1,2026-08-24T00:00:00.000
88,QLG000088,8,Zenith QualityLabGroup 88,1,1,2026-08-24T00:00:00.000
89,QLG000089,10,Cedar QualityLabGroup 89,1,1,2026-08-24T00:00:00.000
90,QLG000090,27,Orion QualityLabGroup 90,1,1,2026-08-24T00:00:00.000
91,QLG000091,17,Forge QualityLabGroup 91,1,1,2026-08-24T00:00:00.000
92,QLG000092,18,Summit QualityLabGroup 92,1,1,2026-08-24T00:00:00.000
93,QLG000093,8,Unity QualityLabGroup 93,1,1,2026-08-24T00:00:00.000
94,QLG000094,24,Liberty QualityLabGroup 94,1,1,2026-08-24T00:00:00.000
95,QLG000095,15,Cedar QualityLabGroup 95,1,1,2026-08-24T00:00:00.000
96,QLG000096,9,Vertex QualityLabGroup 96,1,1,2026-08-24T00:00:00.000
97,QLG000097,24,Harbor QualityLabGroup 97,1,1,2026-08-24T00:00:00.000
98,QLG000098,17,Orion QualityLabGroup 98,1,1,2026-08-24T00:00:00.000
99,QLG000099,11,Junction QualityLabGroup 99,1,1,2026-08-24T00:00:00.000
100,QLG000100,19,Evergreen QualityLabGroup 100,1,1,2026-08-24T00:00:00.000
101,QLG000101,24,Summit QualityLabGroup 101,1,1,2026-08-24T00:00:00.000
102,QLG000102,20,Northstar QualityLabGroup 102,1,1,2026-08-24T00:00:00.000
103,QLG000103,30,Titan QualityLabGroup 103,1,1,2026-08-24T00:00:00.000
104,QLG000104,25,Quartz QualityLabGroup 104,1,1,2026-08-24T00:00:00.000
105,QLG000105,18,Meridian QualityLabGroup 105,1,1,2026-08-24T00:00:00.000
106,QLG000106,18,Liberty QualityLabGroup 106,1,1,2026-08-24T00:00:00.000
107,QLG000107,25,Atlas QualityLabGroup 107,1,1,2026-08-24T00:00:00.000
108,QLG000108,21,Quartz QualityLabGroup 108,1,1,2026-08-24T00:00:00.000
109,QLG000109,14,Northstar QualityLabGroup 109,1,1,2026-08-24T00:00:00.000
110,QLG000110,21,Keystone QualityLabGroup 110,1,1,2026-08-24T00:00:00.000
111,QLG000111,21,Vertex QualityLabGroup 111,1,1,2026-08-24T00:00:00.000
112,QLG000112,23,Orion QualityLabGroup 112,1,1,2026-08-24T00:00:00.000
113,QLG000113,35,Forge QualityLabGroup 113,1,1,2026-08-24T00:00:00.000
114,QLG000114,32,Forge QualityLabGroup 114,1,1,2026-08-24T00:00:00.000
115,QLG000115,26,Zenith QualityLabGroup 115,1,1,2026-08-24T00:00:00.000
116,QLG000116,18,Riverton QualityLabGroup 116,1,1,2026-08-24T00:00:00.000
117,QLG000117,24,Zenith QualityLabGroup 117,1,1,2026-08-24T00:00:00.000
118,QLG000118,33,Evergreen QualityLabGroup 118,1,1,2026-08-24T00:00:00.000
119,QLG000119,28,Liberty QualityLabGroup 119,1,1,2026-08-24T00:00:00.000
120,QLG000120,18,Riverton QualityLabGroup 120,1,1,2026-08-24T00:00:00.000
121,QLG000121,12,Quartz QualityLabGroup 121,1,1,2026-08-24T00:00:00.000
122,QLG000122,18,Atlas QualityLabGroup 122,1,1,2026-08-24T00:00:00.000
123,QLG000123,8,Cedar QualityLabGroup 123,1,1,2026-08-24T00:00:00.000
124,QLG000124,21,Evergreen QualityLabGroup 124,1,1,2026-08-24T00:00:00.000
125,QLG000125,1,Willow QualityLabGroup 125,1,1,2026-08-24T00:00:00.000
126,QLG000126,18,Granite QualityLabGroup 126,1,1,2026-08-24T00:00:00.000
127,QLG000127,39,Delta QualityLabGroup 127,1,1,2026-08-24T00:00:00.000
128,QLG000128,23,Unity QualityLabGroup 128,1,1,2026-08-24T00:00:00.000
129,QLG000129,10,Meridian QualityLabGroup 129,1,1,2026-08-24T00:00:00.000
130,QLG000130,13,Evergreen QualityLabGroup 130,1,1,2026-08-24T00:00:00.000
131,QLG000131,30,Willow QualityLabGroup 131,1,1,2026-08-24T00:00:00.000
132,QLG000132,30,Unity QualityLabGroup 132,1,1,2026-08-24T00:00:00.000
133,QLG000133,17,Titan QualityLabGroup 133,1,1,2026-08-24T00:00:00.000
134,QLG000134,40,Evergreen QualityLabGroup 134,1,1,2026-08-24T00:00:00.000
135,QLG000135,14,Evergreen QualityLabGroup 135,1,1,2026-08-24T00:00:00.000
136,QLG000136,39,Forge QualityLabGroup 136,1,1,2026-08-24T00:00:00.000
137,QLG000137,18,Unity QualityLabGroup 137,1,1,2026-08-24T00:00:00.000
138,QLG000138,21,Unity QualityLabGroup 138,1,1,2026-08-24T00:00:00.000
139,QLG000139,6,Riverton QualityLabGroup 139,1,1,2026-08-24T00:00:00.000
140,QLG000140,8,Liberty QualityLabGroup 140,1,1,2026-08-24T00:00:00.000
141,QLG000141,9,Summit QualityLabGroup 141,1,1,2026-08-24T00:00:00.000
142,QLG000142,25,Harbor QualityLabGroup 142,1,1,2026-08-24T00:00:00.000
143,QLG000143,19,Forge QualityLabGroup 143,1,1,2026-08-24T00:00:00.000
144,QLG000144,10,Forge QualityLabGroup 144,1,1,2026-08-24T00:00:00.000
145,QLG000145,6,Granite QualityLabGroup 145,1,1,2026-08-24T00:00:00.000
146,QLG000146,31,Vertex QualityLabGroup 146,1,1,2026-08-24T00:00:00.000
147,QLG000147,36,Keystone QualityLabGroup 147,1,1,2026-08-24T00:00:00.000
148,QLG000148,27,Ion QualityLabGroup 148,1,1,2026-08-24T00:00:00.000
149,QLG000149,11,Quartz QualityLabGroup 149,1,1,2026-08-24T00:00:00.000
150,QLG000150,31,Atlas QualityLabGroup 150,1,1,2026-08-24T00:00:00.000
151,QLG000151,27,Summit QualityLabGroup 151,1,1,2026-08-24T00:00:00.000
152,QLG000152,27,Atlas QualityLabGroup 152,1,1,2026-08-24T00:00:00.000
153,QLG000153,29,Forge QualityLabGroup 153,1,1,2026-08-24T00:00:00.000
154,QLG000154,4,Evergreen QualityLabGroup 154,1,1,2026-08-24T00:00:00.000
155,QLG000155,9,Granite QualityLabGroup 155,1,1,2026-08-24T00:00:00.000
156,QLG000156,18,Summit QualityLabGroup 156,1,1,2026-08-24T00:00:00.000
157,QLG000157,11,Ion QualityLabGroup 157,1,1,2026-08-24T00:00:00.000
158,QLG000158,35,Zenith QualityLabGroup 158,1,1,2026-08-24T00:00:00.000
159,QLG000159,24,Keystone QualityLabGroup 159,1,1,2026-08-24T00:00:00.000
160,QLG000160,35,Zenith QualityLabGroup 160,1,1,2026-08-24T00:00:00.000
