FinanceCostElementKey,FinanceCostElementCode,FinanceCostElementGroupKey,FinanceCostElementName,SourceSystemKey,BatchId,LoadedAtUtc
22,FCE000022,33,Riverton FinanceCostElement 22,1,1,2026-08-24T00:00:00.000
23,FCE000023,11,Riverton FinanceCostElement 23,1,1,2026-08-24T00:00:00.000
24,FCE000024,60,Quartz FinanceCostElement 24,1,1,2026-08-24T00:00:00.000
25,FCE000025,66,Pioneer FinanceCostElement 25,1,1,2026-08-24T00:00:00.000
26,FCE000026,60,Pioneer FinanceCostElement 26,1,1,2026-08-24T00:00:00.000
27,FCE000027,11,Granite FinanceCostElement 27,1,1,2026-08-24T00:00:00.000
28,FCE000028,77,Delta FinanceCostElement 28,1,1,2026-08-24T00:00:00.000
29,FCE000029,24,Titan FinanceCostElement 29,1,1,2026-08-24T00:00:00.000
30,FCE000030,30,Orion FinanceCostElement 30,1,1,2026-08-24T00:00:00.000
31,FCE000031,62,Junction FinanceCostElement 31,1,1,2026-08-24T00:00:00.000
32,FCE000032,62,Forge FinanceCostElement 32,1,1,2026-08-24T00:00:00.000
33,FCE000033,42,Harbor FinanceCostElement 33,1,1,2026-08-24T00:00:00.000
34,FCE000034,59,Summit FinanceCostElement 34,1,1,2026-08-24T00:00:00.000
35,FCE000035,42,Titan FinanceCostElement 35,1,1,2026-08-24T00:00:00.000
36,FCE000036,86,Unity FinanceCostElement 36,1,1,2026-08-24T00:00:00.000
37,FCE000037,58,Atlas FinanceCostElement 37,1,1,2026-08-24T00:00:00.000
38,FCE000038,59,Quartz FinanceCostElement 38,1,1,2026-08-24T00:00:00.000
39,FCE000039,60,Orion FinanceCostElement 39,1,1,2026-08-24T00:00:00.000
40,FCE000040,74,Summit FinanceCostElement 40,1,1,2026-08-24T00:00:00.000
41,FCE000041,82,Keystone FinanceCostElement 41,1,1,2026-08-24T00:00:00.000
42,FCE000042,2,Pioneer FinanceCostElement 42,1,1,2026-08-24T00:00:00.000
43,FCE000043,37,Willow FinanceCostElement 43,1,1,2026-08-24T00:00:00.000
44,FCE000044,49,Zenith FinanceCostElement 44,1,1,2026-08-24T00:00:00.000
45,FCE000045,89,Zenith FinanceCostElement 45,1,1,2026-08-24T00:00:00.000
46,FCE000046,83,Quartz FinanceCostElement 46,1,1,2026-08-24T00:00:00.000
47,FCE000047,45,Liberty FinanceCostElement 47,1,1,2026-08-24T00:00:00.000
48,FCE000048,89,Northstar FinanceCostElement 48,1,1,2026-08-24T00:00:00.000
49,FCE000049,18,Titan FinanceCostElement 49,1,1,2026-08-24T00:00:00.000
50,FCE000050,37,Quartz FinanceCostElement 50,1,1,2026-08-24T00:00:00.000
51,FCE000051,55,Riverton FinanceCostElement 51,1,1,2026-08-24T00:00:00.000
52,FCE000052,38,Beacon FinanceCostElement 52,1,1,2026-08-24T00:00:00.000
53,FCE000053,7,Ion FinanceCostElement 53,1,1,2026-08-24T00:00:00.000
54,FCE000054,62,Forge FinanceCostElement 54,1,1,2026-08-24T00:00:00.000
55,FCE000055,18,Delta FinanceCostElement 55,1,1,2026-08-24T00:00:00.000
56,FCE000056,10,Ion FinanceCostElement 56,1,1,2026-08-24T00:00:00.000
57,FCE000057,90,Unity FinanceCostElement 57,1,1,2026-08-24T00:00:00.000
58,FCE000058,70,Ion FinanceCostElement 58,1,1,2026-08-24T00:00:00.000
59,FCE000059,29,Summit FinanceCostElement 59,1,1,2026-08-24T00:00:00.000
60,FCE000060,42,Beacon FinanceCostElement 60,1,1,2026-08-24T00:00:00.000
61,FCE000061,89,Beacon FinanceCostElement 61,1,1,2026-08-24T00:00:00.000
62,FCE000062,20,Unity FinanceCostElement 62,1,1,2026-08-24T00:00:00.000
63,FCE000063,68,Unity FinanceCostElement 63,1,1,2026-08-24T00:00:00.000
64,FCE000064,43,Unity FinanceCostElement 64,1,1,2026-08-24T00:00:00.000
65,FCE000065,45,Unity FinanceCostElement 65,1,1,2026-08-24T00:00:00.000
66,FCE000066,16,Titan FinanceCostElement 66,1,1,2026-08-24T00:00:00.000
67,FCE000067,71,Meridian FinanceCostElement 67,1,1,2026-08-24T00:00:00.000
68,FCE000068,68,Quartz FinanceCostElement 68,1,1,2026-08-24T00:00:00.000
69,FCE000069,14,Titan FinanceCostElement 69,1,1,2026-08-24T00:00:00.000
70,FCE000070,12,Beacon FinanceCostElement 70,1,1,2026-08-24T00:00:00.000
71,FCE000071,15,Beacon FinanceCostElement 71,1,1,2026-08-24T00:00:00.000
72,FCE000072,37,Cedar FinanceCostElement 72,1,1,2026-08-24T00:00:00.000
73,FCE000073,11,Quartz FinanceCostElement 73,1,1,2026-08-24T00:00:00.000
74,FCE000074,75,Granite FinanceCostElement 74,1,1,2026-08-24T00:00:00.000
75,FCE000075,18,Atlas FinanceCostElement 75,1,1,2026-08-24T00:00:00.000
76,FCE000076,55,Meridian FinanceCostElement 76,1,1,2026-08-24T00:00:00.000
77,FCE000077,32,Vertex FinanceCostElement 77,1,1,2026-08-24T00:00:00.000
78,FCE000078,50,Pioneer FinanceCostElement 78,1,1,2026-08-24T00:00:00.000
79,FCE000079,87,Quartz FinanceCostElement 79,1,1,2026-08-24T00:00:00.000
80,FCE000080,28,Riverton FinanceCostElement 80,1,1,2026-08-24T00:00:00.000
81,FCE000081,81,Pioneer FinanceCostElement 81,1,1,2026-08-24T00:00:00.000
82,FCE000082,16,Unity FinanceCostElement 82,1,1,2026-08-24T00:00:00.000
83,FCE000083,83,Liberty FinanceCostElement 83,1,1,2026-08-24T00:00:00.000
84,FCE000084,21,Keystone FinanceCostElement 84,1,1,2026-08-24T00:00:00.000
85,FCE000085,34,Titan FinanceCostElement 85,1,1,2026-08-24T00:00:00.000
86,FCE000086,79,Delta FinanceCostElement 86,1,1,2026-08-24T00:00:00.000
87,FCE000087,14,Quartz FinanceCostElement 87,1,1,2026-08-24T00:00:00.000
88,FCE000088,9,Delta FinanceCostElement 88,1,1,2026-08-24T00:00:00.000
89,FCE000089,34,Forge FinanceCostElement 89,1,1,2026-08-24T00:00:00.000
90,FCE000090,20,Willow FinanceCostElement 90,1,1,2026-08-24T00:00:00.000
91,FCE000091,21,Ion FinanceCostElement 91,1,1,2026-08-24T00:00:00.000
92,FCE000092,83,Titan FinanceCostElement 92,1,1,2026-08-24T00:00:00.000
93,FCE000093,17,Delta FinanceCostElement 93,1,1,2026-08-24T00:00:00.000
94,FCE000094,31,Atlas FinanceCostElement 94,1,1,2026-08-24T00:00:00.000
95,FCE000095,14,Summit FinanceCostElement 95,1,1,2026-08-24T00:00:00.000
96,FCE000096,58,Riverton FinanceCostElement 96,1,1,2026-08-24T00:00:00.000
97,FCE000097,56,Zenith FinanceCostElement 97,1,1,2026-08-24T00:00:00.000
98,FCE000098,65,Ion FinanceCostElement 98,1,1,2026-08-24T00:00:00.000
99,FCE000099,48,Vertex FinanceCostElement 99,1,1,2026-08-24T00:00:00.000
100,FCE000100,3,Atlas FinanceCostElement 100,1,1,2026-08-24T00:00:00.000
101,FCE000101,40,Delta FinanceCostElement 101,1,1,2026-08-24T00:00:00.000
102,FCE000102,59,Pioneer FinanceCostElement 102,1,1,2026-08-24T00:00:00.000
103,FCE000103,70,Liberty FinanceCostElement 103,1,1,2026-08-24T00:00:00.000
104,FCE000104,37,Vertex FinanceCostElement 104,1,1,2026-08-24T00:00:00.000
105,FCE000105,69,Harbor FinanceCostElement 105,1,1,2026-08-24T00:00:00.000
106,FCE000106,81,Summit FinanceCostElement 106,1,1,2026-08-24T00:00:00.000
107,FCE000107,55,Beacon FinanceCostElement 107,1,1,2026-08-24T00:00:00.000
108,FCE000108,50,Riverton FinanceCostElement 108,1,1,2026-08-24T00:00:00.000
109,FCE000109,16,Pioneer FinanceCostElement 109,1,1,2026-08-24T00:00:00.000
110,FCE000110,80,Junction FinanceCostElement 110,1,1,2026-08-24T00:00:00.000
111,FCE000111,86,Titan FinanceCostElement 111,1,1,2026-08-24T00:00:00.000
112,FCE000112,68,Willow FinanceCostElement 112,1,1,2026-08-24T00:00:00.000
113,FCE000113,73,Atlas FinanceCostElement 113,1,1,2026-08-24T00:00:00.000
114,FCE000114,27,Junction FinanceCostElement 114,1,1,2026-08-24T00:00:00.000
115,FCE000115,63,Beacon FinanceCostElement 115,1,1,2026-08-24T00:00:00.000
116,FCE000116,73,Evergreen FinanceCostElement 116,1,1,2026-08-24T00:00:00.000
117,FCE000117,64,Atlas FinanceCostElement 117,1,1,2026-08-24T00:00:00.000
118,FCE000118,87,Summit FinanceCostElement 118,1,1,2026-08-24T00:00:00.000
119,FCE000119,71,Delta FinanceCostElement 119,1,1,2026-08-24T00:00:00.000
120,FCE000120,90,Evergreen FinanceCostElement 120,1,1,2026-08-24T00:00:00.000
121,FCE000121,28,Vertex FinanceCostElement 121,1,1,2026-08-24T00:00:00.000
122,FCE000122,14,Delta FinanceCostElement 122,1,1,2026-08-24T00:00:00.000
123,FCE000123,21,Evergreen FinanceCostElement 123,1,1,2026-08-24T00:00:00.000
124,FCE000124,58,Evergreen FinanceCostElement 124,1,1,2026-08-24T00:00:00.000
125,FCE000125,29,Pioneer FinanceCostElement 125,1,1,2026-08-24T00:00:00.000
126,FCE000126,15,Liberty FinanceCostElement 126,1,1,2026-08-24T00:00:00.000
127,FCE000127,64,Summit FinanceCostElement 127,1,1,2026-08-24T00:00:00.000
128,FCE000128,4,Titan FinanceCostElement 128,1,1,2026-08-24T00:00:00.000
129,FCE000129,27,Atlas FinanceCostElement 129,1,1,2026-08-24T00:00:00.000
130,FCE000130,40,Willow FinanceCostElement 130,1,1,2026-08-24T00:00:00.000
131,FCE000131,27,Meridian FinanceCostElement 131,1,1,2026-08-24T00:00:00.000
132,FCE000132,5,Ion FinanceCostElement 132,1,1,2026-08-24T00:00:00.000
133,FCE000133,28,Vertex FinanceCostElement 133,1,1,2026-08-24T00:00:00.000
134,FCE000134,26,Delta FinanceCostElement 134,1,1,2026-08-24T00:00:00.000
135,FCE000135,50,Riverton FinanceCostElement 135,1,1,2026-08-24T00:00:00.000
136,FCE000136,80,Atlas FinanceCostElement 136,1,1,2026-08-24T00:00:00.000
137,FCE000137,73,Granite FinanceCostElement 137,1,1,2026-08-24T00:00:00.000
138,FCE000138,40,Titan FinanceCostElement 138,1,1,2026-08-24T00:00:00.000
139,FCE000139,60,Pioneer FinanceCostElement 139,1,1,2026-08-24T00:00:00.000
140,FCE000140,4,Liberty FinanceCostElement 140,1,1,2026-08-24T00:00:00.000
141,FCE000141,56,Pioneer FinanceCostElement 141,1,1,2026-08-24T00:00:00.000
142,FCE000142,19,Evergreen FinanceCostElement 142,1,1,2026-08-24T00:00:00.000
143,FCE000143,59,Titan FinanceCostElement 143,1,1,2026-08-24T00:00:00.000
144,FCE000144,32,Northstar FinanceCostElement 144,1,1,2026-08-24T00:00:00.000
145,FCE000145,4,Harbor FinanceCostElement 145,1,1,2026-08-24T00:00:00.000
146,FCE000146,86,Meridian FinanceCostElement 146,1,1,2026-08-24T00:00:00.000
147,FCE000147,33,Keystone FinanceCostElement 147,1,1,2026-08-24T00:00:00.000
148,FCE000148,43,Zenith FinanceCostElement 148,1,1,2026-08-24T00:00:00.000
149,FCE000149,20,Vertex FinanceCostElement 149,1,1,2026-08-24T00:00:00.000
150,FCE000150,49,Pioneer FinanceCostElement 150,1,1,2026-08-24T00:00:00.000
151,FCE000151,63,Junction FinanceCostElement 151,1,1,2026-08-24T00:00:00.000
152,FCE000152,29,Forge FinanceCostElement 152,1,1,2026-08-24T00:00:00.000
153,FCE000153,63,Keystone FinanceCostElement 153,1,1,2026-08-24T00:00:00.000
154,FCE000154,66,Evergreen FinanceCostElement 154,1,1,2026-08-24T00:00:00.000
155,FCE000155,89,Delta FinanceCostElement 155,1,1,2026-08-24T00:00:00.000
156,FCE000156,45,Summit FinanceCostElement 156,1,1,2026-08-24T00:00:00.000
157,FCE000157,34,Willow FinanceCostElement 157,1,1,2026-08-24T00:00:00.000
158,FCE000158,22,Willow FinanceCostElement 158,1,1,2026-08-24T00:00:00.000
159,FCE000159,81,Liberty FinanceCostElement 159,1,1,2026-08-24T00:00:00.000
160,FCE000160,25,Liberty FinanceCostElement 160,1,1,2026-08-24T00:00:00.000
161,FCE000161,38,Quartz FinanceCostElement 161,1,1,2026-08-24T00:00:00.000
162,FCE000162,76,Junction FinanceCostElement 162,1,1,2026-08-24T00:00:00.000
163,FCE000163,38,Orion FinanceCostElement 163,1,1,2026-08-24T00:00:00.000
164,FCE000164,43,Beacon FinanceCostElement 164,1,1,2026-08-24T00:00:00.000
165,FCE000165,3,Titan FinanceCostElement 165,1,1,2026-08-24T00:00:00.000
166,FCE000166,89,Vertex FinanceCostElement 166,1,1,2026-08-24T00:00:00.000
167,FCE000167,31,Atlas FinanceCostElement 167,1,1,2026-08-24T00:00:00.000
168,FCE000168,48,Cedar FinanceCostElement 168,1,1,2026-08-24T00:00:00.000
169,FCE000169,60,Granite FinanceCostElement 169,1,1,2026-08-24T00:00:00.000
170,FCE000170,23,Harbor FinanceCostElement 170,1,1,2026-08-24T00:00:00.000
171,FCE000171,13,Harbor FinanceCostElement 171,1,1,2026-08-24T00:00:00.000
172,FCE000172,49,Granite FinanceCostElement 172,1,1,2026-08-24T00:00:00.000
173,FCE000173,69,Riverton FinanceCostElement 173,1,1,2026-08-24T00:00:00.000
174,FCE000174,20,Cedar FinanceCostElement 174,1,1,2026-08-24T00:00:00.000
175,FCE000175,42,Atlas FinanceCostElement 175,1,1,2026-08-24T00:00:00.000
176,FCE000176,31,Evergreen FinanceCostElement 176,1,1,2026-08-24T00:00:00.000
177,FCE000177,54,Riverton FinanceCostElement 177,1,1,2026-08-24T00:00:00.000
178,FCE000178,85,Cedar FinanceCostElement 178,1,1,2026-08-24T00:00:00.000
179,FCE000179,42,Atlas FinanceCostElement 179,1,1,2026-08-24T00:00:00.000
180,FCE000180,25,Junction FinanceCostElement 180,1,1,2026-08-24T00:00:00.000
181,FCE000181,60,Quartz FinanceCostElement 181,1,1,2026-08-24T00:00:00.000
182,FCE000182,84,Zenith FinanceCostElement 182,1,1,2026-08-24T00:00:00.000
183,FCE000183,42,Northstar FinanceCostElement 183,1,1,2026-08-24T00:00:00.000
184,FCE000184,75,Orion FinanceCostElement 184,1,1,2026-08-24T00:00:00.000
185,FCE000185,73,Liberty FinanceCostElement 185,1,1,2026-08-24T00:00:00.000
186,FCE000186,85,Cedar FinanceCostElement 186,1,1,2026-08-24T00:00:00.000
187,FCE000187,52,Titan FinanceCostElement 187,1,1,2026-08-24T00:00:00.000
188,FCE000188,80,Liberty FinanceCostElement 188,1,1,2026-08-24T00:00:00.000
189,FCE000189,4,Pioneer FinanceCostElement 189,1,1,2026-08-24T00:00:00.000
190,FCE000190,26,Zenith FinanceCostElement 190,1,1,2026-08-24T00:00:00.000
191,FCE000191,7,Beacon FinanceCostElement 191,1,1,2026-08-24T00:00:00.000
192,FCE000192,27,Cedar FinanceCostElement 192,1,1,2026-08-24T00:00:00.000
193,FCE000193,18,Harbor FinanceCostElement 193,1,1,2026-08-24T00:00:00.000
194,FCE000194,68,Northstar FinanceCostElement 194,1,1,2026-08-24T00:00:00.000
195,FCE000195,37,Titan FinanceCostElement 195,1,1,2026-08-24T00:00:00.000
196,FCE000196,62,Keystone FinanceCostElement 196,1,1,2026-08-24T00:00:00.000
197,FCE000197,83,Orion FinanceCostElement 197,1,1,2026-08-24T00:00:00.000
198,FCE000198,47,Cedar FinanceCostElement 198,1,1,2026-08-24T00:00:00.000
199,FCE000199,61,Granite FinanceCostElement 199,1,1,2026-08-24T00:00:00.000
200,FCE000200,85,Forge FinanceCostElement 200,1,1,2026-08-24T00:00:00.000
201,FCE000201,44,Beacon FinanceCostElement 201,1,1,2026-08-24T00:00:00.000
202,FCE000202,41,Ion FinanceCostElement 202,1,1,2026-08-24T00:00:00.000
203,FCE000203,13,Summit FinanceCostElement 203,1,1,2026-08-24T00:00:00.000
204,FCE000204,55,Zenith FinanceCostElement 204,1,1,2026-08-24T00:00:00.000
205,FCE000205,46,Titan FinanceCostElement 205,1,1,2026-08-24T00:00:00.000
206,FCE000206,10,Forge FinanceCostElement 206,1,1,2026-08-24T00:00:00.000
207,FCE000207,43,Meridian FinanceCostElement 207,1,1,2026-08-24T00:00:00.000
208,FCE000208,87,Northstar FinanceCostElement 208,1,1,2026-08-24T00:00:00.000
209,FCE000209,32,Unity FinanceCostElement 209,1,1,2026-08-24T00:00:00.000
210,FCE000210,30,Junction FinanceCostElement 210,1,1,2026-08-24T00:00:00.000
211,FCE000211,45,Orion FinanceCostElement 211,1,1,2026-08-24T00:00:00.000
212,FCE000212,62,Orion FinanceCostElement 212,1,1,2026-08-24T00:00:00.000
213,FCE000213,66,Ion FinanceCostElement 213,1,1,2026-08-24T00:00:00.000
214,FCE000214,46,Beacon FinanceCostElement 214,1,1,2026-08-24T00:00:00.000
215,FCE000215,66,Zenith FinanceCostElement 215,1,1,2026-08-24T00:00:00.000
216,FCE000216,66,Meridian FinanceCostElement 216,1,1,2026-08-24T00:00:00.000
217,FCE000217,58,Cedar FinanceCostElement 217,1,1,2026-08-24T00:00:00.000
218,FCE000218,38,Northstar FinanceCostElement 218,1,1,2026-08-24T00:00:00.000
219,FCE000219,34,Evergreen FinanceCostElement 219,1,1,2026-08-24T00:00:00.000
220,FCE000220,85,Pioneer FinanceCostElement 220,1,1,2026-08-24T00:00:00.000
221,FCE000221,28,Atlas FinanceCostElement 221,1,1,2026-08-24T00:00:00.000
222,FCE000222,77,Harbor FinanceCostElement 222,1,1,2026-08-24T00:00:00.000
223,FCE000223,76,Quartz FinanceCostElement 223,1,1,2026-08-24T00:00:00.000
224,FCE000224,65,Orion FinanceCostElement 224,1,1,2026-08-24T00:00:00.000
225,FCE000225,2,Harbor FinanceCostElement 225,1,1,2026-08-24T00:00:00.000
226,FCE000226,86,Junction FinanceCostElement 226,1,1,2026-08-24T00:00:00.000
227,FCE000227,59,Meridian FinanceCostElement 227,1,1,2026-08-24T00:00:00.000
228,FCE000228,61,Liberty FinanceCostElement 228,1,1,2026-08-24T00:00:00.000
229,FCE000229,28,Summit FinanceCostElement 229,1,1,2026-08-24T00:00:00.000
230,FCE000230,55,Willow FinanceCostElement 230,1,1,2026-08-24T00:00:00.000
231,FCE000231,19,Vertex FinanceCostElement 231,1,1,2026-08-24T00:00:00.000
232,FCE000232,59,Unity FinanceCostElement 232,1,1,2026-08-24T00:00:00.000
233,FCE000233,12,Titan FinanceCostElement 233,1,1,2026-08-24T00:00:00.000
234,FCE000234,10,Atlas FinanceCostElement 234,1,1,2026-08-24T00:00:00.000
235,FCE000235,22,Orion FinanceCostElement 235,1,1,2026-08-24T00:00:00.000
236,FCE000236,73,Riverton FinanceCostElement 236,1,1,2026-08-24T00:00:00.000
237,FCE000237,85,Ion FinanceCostElement 237,1,1,2026-08-24T00:00:00.000
238,FCE000238,90,Liberty FinanceCostElement 238,1,1,2026-08-24T00:00:00.000
239,FCE000239,22,Quartz FinanceCostElement 239,1,1,2026-08-24T00:00:00.000
240,FCE000240,20,Ion FinanceCostElement 240,1,1,2026-08-24T00:00:00.000
241,FCE000241,56,Titan FinanceCostElement 241,1,1,2026-08-24T00:00:00.000
242,FCE000242,59,Beacon FinanceCostElement 242,1,1,2026-08-24T00:00:00.000
243,FCE000243,36,Summit FinanceCostElement 243,1,1,2026-08-24T00:00:00.000
244,FCE000244,58,Quartz FinanceCostElement 244,1,1,2026-08-24T00:00:00.000
245,FCE000245,12,Zenith FinanceCostElement 245,1,1,2026-08-24T00:00:00.000
246,FCE000246,56,Orion FinanceCostElement 246,1,1,2026-08-24T00:00:00.000
247,FCE000247,66,Titan FinanceCostElement 247,1,1,2026-08-24T00:00:00.000
248,FCE000248,61,Harbor FinanceCostElement 248,1,1,2026-08-24T00:00:00.000
249,FCE000249,42,Cedar FinanceCostElement 249,1,1,2026-08-24T00:00:00.000
250,FCE000250,24,Junction FinanceCostElement 250,1,1,2026-08-24T00:00:00.000
251,FCE000251,62,Atlas FinanceCostElement 251,1,1,2026-08-24T00:00:00.000
252,FCE000252,87,Ion FinanceCostElement 252,1,1,2026-08-24T00:00:00.000
253,FCE000253,23,Ion FinanceCostElement 253,1,1,2026-08-24T00:00:00.000
254,FCE000254,51,Titan FinanceCostElement 254,1,1,2026-08-24T00:00:00.000
255,FCE000255,25,Junction FinanceCostElement 255,1,1,2026-08-24T00:00:00.000
256,FCE000256,26,Summit FinanceCostElement 256,1,1,2026-08-24T00:00:00.000
257,FCE000257,83,Unity FinanceCostElement 257,1,1,2026-08-24T00:00:00.000
258,FCE000258,37,Atlas FinanceCostElement 258,1,1,2026-08-24T00:00:00.000
259,FCE000259,9,Evergreen FinanceCostElement 259,1,1,2026-08-24T00:00:00.000
260,FCE000260,7,Titan FinanceCostElement 260,1,1,2026-08-24T00:00:00.000
261,FCE000261,11,Titan FinanceCostElement 261,1,1,2026-08-24T00:00:00.000
262,FCE000262,89,Quartz FinanceCostElement 262,1,1,2026-08-24T00:00:00.000
263,FCE000263,52,Unity FinanceCostElement 263,1,1,2026-08-24T00:00:00.000
264,FCE000264,35,Forge FinanceCostElement 264,1,1,2026-08-24T00:00:00.000
265,FCE000265,44,Keystone FinanceCostElement 265,1,1,2026-08-24T00:00:00.000
266,FCE000266,82,Atlas FinanceCostElement 266,1,1,2026-08-24T00:00:00.000
267,FCE000267,63,Granite FinanceCostElement 267,1,1,2026-08-24T00:00:00.000
268,FCE000268,25,Meridian FinanceCostElement 268,1,1,2026-08-24T00:00:00.000
269,FCE000269,3,Unity FinanceCostElement 269,1,1,2026-08-24T00:00:00.000
270,FCE000270,79,Willow FinanceCostElement 270,1,1,2026-08-24T00:00:00.000
271,FCE000271,9,Delta FinanceCostElement 271,1,1,2026-08-24T00:00:00.000
272,FCE000272,7,Liberty FinanceCostElement 272,1,1,2026-08-24T00:00:00.000
273,FCE000273,90,Evergreen FinanceCostElement 273,1,1,2026-08-24T00:00:00.000
274,FCE000274,57,Forge FinanceCostElement 274,1,1,2026-08-24T00:00:00.000
275,FCE000275,90,Willow FinanceCostElement 275,1,1,2026-08-24T00:00:00.000
276,FCE000276,69,Harbor FinanceCostElement 276,1,1,2026-08-24T00:00:00.000
277,FCE000277,1,Summit FinanceCostElement 277,1,1,2026-08-24T00:00:00.000
278,FCE000278,84,Summit FinanceCostElement 278,1,1,2026-08-24T00:00:00.000
279,FCE000279,39,Meridian FinanceCostElement 279,1,1,2026-08-24T00:00:00.000
280,FCE000280,25,Summit FinanceCostElement 280,1,1,2026-08-24T00:00:00.000
281,FCE000281,65,Cedar FinanceCostElement 281,1,1,2026-08-24T00:00:00.000
282,FCE000282,19,Summit FinanceCostElement 282,1,1,2026-08-24T00:00:00.000
283,FCE000283,66,Forge FinanceCostElement 283,1,1,2026-08-24T00:00:00.000
284,FCE000284,25,Summit FinanceCostElement 284,1,1,2026-08-24T00:00:00.000
285,FCE000285,2,Willow FinanceCostElement 285,1,1,2026-08-24T00:00:00.000
286,FCE000286,4,Northstar FinanceCostElement 286,1,1,2026-08-24T00:00:00.000
287,FCE000287,30,Titan FinanceCostElement 287,1,1,2026-08-24T00:00:00.000
288,FCE000288,52,Unity FinanceCostElement 288,1,1,2026-08-24T00:00:00.000
289,FCE000289,11,Junction FinanceCostElement 289,1,1,2026-08-24T00:00:00.000
290,FCE000290,87,Summit FinanceCostElement 290,1,1,2026-08-24T00:00:00.000
291,FCE000291,63,Summit FinanceCostElement 291,1,1,2026-08-24T00:00:00.000
292,FCE000292,64,Pioneer FinanceCostElement 292,1,1,2026-08-24T00:00:00.000
293,FCE000293,43,Riverton FinanceCostElement 293,1,1,2026-08-24T00:00:00.000
294,FCE000294,62,Granite FinanceCostElement 294,1,1,2026-08-24T00:00:00.000
295,FCE000295,50,Ion FinanceCostElement 295,1,1,2026-08-24T00:00:00.000
296,FCE000296,75,Evergreen FinanceCostElement 296,1,1,2026-08-24T00:00:00.000
297,FCE000297,4,Riverton FinanceCostElement 297,1,1,2026-08-24T00:00:00.000
298,FCE000298,40,Meridian FinanceCostElement 298,1,1,2026-08-24T00:00:00.000
299,FCE000299,58,Harbor FinanceCostElement 299,1,1,2026-08-24T00:00:00.000
300,FCE000300,62,Willow FinanceCostElement 300,1,1,2026-08-24T00:00:00.000
301,FCE000301,82,Pioneer FinanceCostElement 301,1,1,2026-08-24T00:00:00.000
302,FCE000302,22,Meridian FinanceCostElement 302,1,1,2026-08-24T00:00:00.000
303,FCE000303,21,Riverton FinanceCostElement 303,1,1,2026-08-24T00:00:00.000
304,FCE000304,71,Titan FinanceCostElement 304,1,1,2026-08-24T00:00:00.000
305,FCE000305,16,Liberty FinanceCostElement 305,1,1,2026-08-24T00:00:00.000
306,FCE000306,88,Quartz FinanceCostElement 306,1,1,2026-08-24T00:00:00.000
307,FCE000307,13,Liberty FinanceCostElement 307,1,1,2026-08-24T00:00:00.000
308,FCE000308,22,Beacon FinanceCostElement 308,1,1,2026-08-24T00:00:00.000
309,FCE000309,42,Northstar FinanceCostElement 309,1,1,2026-08-24T00:00:00.000
310,FCE000310,86,Beacon FinanceCostElement 310,1,1,2026-08-24T00:00:00.000
311,FCE000311,48,Unity FinanceCostElement 311,1,1,2026-08-24T00:00:00.000
312,FCE000312,77,Summit FinanceCostElement 312,1,1,2026-08-24T00:00:00.000
313,FCE000313,90,Harbor FinanceCostElement 313,1,1,2026-08-24T00:00:00.000
314,FCE000314,78,Liberty FinanceCostElement 314,1,1,2026-08-24T00:00:00.000
315,FCE000315,34,Granite FinanceCostElement 315,1,1,2026-08-24T00:00:00.000
316,FCE000316,14,Harbor FinanceCostElement 316,1,1,2026-08-24T00:00:00.000
