LaborJobRoleKey,LaborJobRoleCode,LaborJobFunctionKey,LaborJobRoleName,SourceSystemKey,BatchId,LoadedAtUtc
88,LJR000088,30,Orion LaborJobRole 88,1,1,2026-08-24T00:00:00.000
89,LJR000089,16,Riverton LaborJobRole 89,1,1,2026-08-24T00:00:00.000
90,LJR000090,21,Unity LaborJobRole 90,1,1,2026-08-24T00:00:00.000
91,LJR000091,29,Pioneer LaborJobRole 91,1,1,2026-08-24T00:00:00.000
92,LJR000092,13,Vertex LaborJobRole 92,1,1,2026-08-24T00:00:00.000
93,LJR000093,17,Riverton LaborJobRole 93,1,1,2026-08-24T00:00:00.000
94,LJR000094,5,Harbor LaborJobRole 94,1,1,2026-08-24T00:00:00.000
95,LJR000095,28,Beacon LaborJobRole 95,1,1,2026-08-24T00:00:00.000
96,LJR000096,26,Beacon LaborJobRole 96,1,1,2026-08-24T00:00:00.000
97,LJR000097,24,Junction LaborJobRole 97,1,1,2026-08-24T00:00:00.000
98,LJR000098,3,Atlas LaborJobRole 98,1,1,2026-08-24T00:00:00.000
99,LJR000099,46,Granite LaborJobRole 99,1,1,2026-08-24T00:00:00.000
100,LJR000100,22,Forge LaborJobRole 100,1,1,2026-08-24T00:00:00.000
101,LJR000101,7,Meridian LaborJobRole 101,1,1,2026-08-24T00:00:00.000
102,LJR000102,19,Pioneer LaborJobRole 102,1,1,2026-08-24T00:00:00.000
103,LJR000103,24,Cedar LaborJobRole 103,1,1,2026-08-24T00:00:00.000
104,LJR000104,32,Junction LaborJobRole 104,1,1,2026-08-24T00:00:00.000
105,LJR000105,12,Pioneer LaborJobRole 105,1,1,2026-08-24T00:00:00.000
106,LJR000106,26,Pioneer LaborJobRole 106,1,1,2026-08-24T00:00:00.000
107,LJR000107,33,Quartz LaborJobRole 107,1,1,2026-08-24T00:00:00.000
108,LJR000108,34,Summit LaborJobRole 108,1,1,2026-08-24T00:00:00.000
109,LJR000109,38,Unity LaborJobRole 109,1,1,2026-08-24T00:00:00.000
110,LJR000110,29,Orion LaborJobRole 110,1,1,2026-08-24T00:00:00.000
111,LJR000111,37,Orion LaborJobRole 111,1,1,2026-08-24T00:00:00.000
112,LJR000112,31,Liberty LaborJobRole 112,1,1,2026-08-24T00:00:00.000
113,LJR000113,16,Pioneer LaborJobRole 113,1,1,2026-08-24T00:00:00.000
114,LJR000114,39,Evergreen LaborJobRole 114,1,1,2026-08-24T00:00:00.000
115,LJR000115,1,Cedar LaborJobRole 115,1,1,2026-08-24T00:00:00.000
116,LJR000116,33,Orion LaborJobRole 116,1,1,2026-08-24T00:00:00.000
117,LJR000117,35,Titan LaborJobRole 117,1,1,2026-08-24T00:00:00.000
118,LJR000118,47,Unity LaborJobRole 118,1,1,2026-08-24T00:00:00.000
119,LJR000119,19,Meridian LaborJobRole 119,1,1,2026-08-24T00:00:00.000
120,LJR000120,9,Junction LaborJobRole 120,1,1,2026-08-24T00:00:00.000
121,LJR000121,42,Delta LaborJobRole 121,1,1,2026-08-24T00:00:00.000
122,LJR000122,4,Delta LaborJobRole 122,1,1,2026-08-24T00:00:00.000
123,LJR000123,15,Junction LaborJobRole 123,1,1,2026-08-24T00:00:00.000
124,LJR000124,28,Beacon LaborJobRole 124,1,1,2026-08-24T00:00:00.000
125,LJR000125,44,Beacon LaborJobRole 125,1,1,2026-08-24T00:00:00.000
126,LJR000126,23,Liberty LaborJobRole 126,1,1,2026-08-24T00:00:00.000
127,LJR000127,26,Keystone LaborJobRole 127,1,1,2026-08-24T00:00:00.000
128,LJR000128,17,Atlas LaborJobRole 128,1,1,2026-08-24T00:00:00.000
129,LJR000129,24,Atlas LaborJobRole 129,1,1,2026-08-24T00:00:00.000
130,LJR000130,39,Pioneer LaborJobRole 130,1,1,2026-08-24T00:00:00.000
131,LJR000131,30,Orion LaborJobRole 131,1,1,2026-08-24T00:00:00.000
132,LJR000132,23,Orion LaborJobRole 132,1,1,2026-08-24T00:00:00.000
133,LJR000133,26,Pioneer LaborJobRole 133,1,1,2026-08-24T00:00:00.000
134,LJR000134,9,Orion LaborJobRole 134,1,1,2026-08-24T00:00:00.000
135,LJR000135,39,Quartz LaborJobRole 135,1,1,2026-08-24T00:00:00.000
136,LJR000136,24,Vertex LaborJobRole 136,1,1,2026-08-24T00:00:00.000
137,LJR000137,7,Forge LaborJobRole 137,1,1,2026-08-24T00:00:00.000
138,LJR000138,10,Beacon LaborJobRole 138,1,1,2026-08-24T00:00:00.000
139,LJR000139,37,Riverton LaborJobRole 139,1,1,2026-08-24T00:00:00.000
140,LJR000140,31,Granite LaborJobRole 140,1,1,2026-08-24T00:00:00.000
141,LJR000141,40,Titan LaborJobRole 141,1,1,2026-08-24T00:00:00.000
142,LJR000142,5,Orion LaborJobRole 142,1,1,2026-08-24T00:00:00.000
143,LJR000143,39,Liberty LaborJobRole 143,1,1,2026-08-24T00:00:00.000
144,LJR000144,16,Junction LaborJobRole 144,1,1,2026-08-24T00:00:00.000
145,LJR000145,37,Junction LaborJobRole 145,1,1,2026-08-24T00:00:00.000
146,LJR000146,9,Ion LaborJobRole 146,1,1,2026-08-24T00:00:00.000
147,LJR000147,21,Summit LaborJobRole 147,1,1,2026-08-24T00:00:00.000
148,LJR000148,3,Riverton LaborJobRole 148,1,1,2026-08-24T00:00:00.000
149,LJR000149,12,Atlas LaborJobRole 149,1,1,2026-08-24T00:00:00.000
150,LJR000150,18,Cedar LaborJobRole 150,1,1,2026-08-24T00:00:00.000
151,LJR000151,5,Unity LaborJobRole 151,1,1,2026-08-24T00:00:00.000
152,LJR000152,40,Junction LaborJobRole 152,1,1,2026-08-24T00:00:00.000
153,LJR000153,41,Ion LaborJobRole 153,1,1,2026-08-24T00:00:00.000
154,LJR000154,5,Delta LaborJobRole 154,1,1,2026-08-24T00:00:00.000
155,LJR000155,4,Titan LaborJobRole 155,1,1,2026-08-24T00:00:00.000
156,LJR000156,41,Zenith LaborJobRole 156,1,1,2026-08-24T00:00:00.000
157,LJR000157,13,Orion LaborJobRole 157,1,1,2026-08-24T00:00:00.000
158,LJR000158,20,Harbor LaborJobRole 158,1,1,2026-08-24T00:00:00.000
159,LJR000159,15,Liberty LaborJobRole 159,1,1,2026-08-24T00:00:00.000
160,LJR000160,13,Evergreen LaborJobRole 160,1,1,2026-08-24T00:00:00.000
161,LJR000161,41,Liberty LaborJobRole 161,1,1,2026-08-24T00:00:00.000
162,LJR000162,26,Forge LaborJobRole 162,1,1,2026-08-24T00:00:00.000
163,LJR000163,15,Willow LaborJobRole 163,1,1,2026-08-24T00:00:00.000
164,LJR000164,45,Willow LaborJobRole 164,1,1,2026-08-24T00:00:00.000
165,LJR000165,34,Titan LaborJobRole 165,1,1,2026-08-24T00:00:00.000
166,LJR000166,13,Vertex LaborJobRole 166,1,1,2026-08-24T00:00:00.000
167,LJR000167,23,Unity LaborJobRole 167,1,1,2026-08-24T00:00:00.000
168,LJR000168,1,Titan LaborJobRole 168,1,1,2026-08-24T00:00:00.000
169,LJR000169,32,Atlas LaborJobRole 169,1,1,2026-08-24T00:00:00.000
170,LJR000170,21,Zenith LaborJobRole 170,1,1,2026-08-24T00:00:00.000
171,LJR000171,3,Ion LaborJobRole 171,1,1,2026-08-24T00:00:00.000
172,LJR000172,9,Unity LaborJobRole 172,1,1,2026-08-24T00:00:00.000
173,LJR000173,4,Pioneer LaborJobRole 173,1,1,2026-08-24T00:00:00.000
174,LJR000174,20,Beacon LaborJobRole 174,1,1,2026-08-24T00:00:00.000
175,LJR000175,48,Willow LaborJobRole 175,1,1,2026-08-24T00:00:00.000
176,LJR000176,9,Forge LaborJobRole 176,1,1,2026-08-24T00:00:00.000
177,LJR000177,1,Unity LaborJobRole 177,1,1,2026-08-24T00:00:00.000
178,LJR000178,26,Vertex LaborJobRole 178,1,1,2026-08-24T00:00:00.000
179,LJR000179,46,Delta LaborJobRole 179,1,1,2026-08-24T00:00:00.000
180,LJR000180,23,Titan LaborJobRole 180,1,1,2026-08-24T00:00:00.000
181,LJR000181,23,Cedar LaborJobRole 181,1,1,2026-08-24T00:00:00.000
182,LJR000182,48,Evergreen LaborJobRole 182,1,1,2026-08-24T00:00:00.000
183,LJR000183,46,Delta LaborJobRole 183,1,1,2026-08-24T00:00:00.000
184,LJR000184,45,Granite LaborJobRole 184,1,1,2026-08-24T00:00:00.000
185,LJR000185,41,Delta LaborJobRole 185,1,1,2026-08-24T00:00:00.000
186,LJR000186,44,Harbor LaborJobRole 186,1,1,2026-08-24T00:00:00.000
187,LJR000187,3,Riverton LaborJobRole 187,1,1,2026-08-24T00:00:00.000
188,LJR000188,47,Evergreen LaborJobRole 188,1,1,2026-08-24T00:00:00.000
189,LJR000189,47,Zenith LaborJobRole 189,1,1,2026-08-24T00:00:00.000
190,LJR000190,42,Pioneer LaborJobRole 190,1,1,2026-08-24T00:00:00.000
191,LJR000191,39,Northstar LaborJobRole 191,1,1,2026-08-24T00:00:00.000
192,LJR000192,16,Orion LaborJobRole 192,1,1,2026-08-24T00:00:00.000
193,LJR000193,17,Liberty LaborJobRole 193,1,1,2026-08-24T00:00:00.000
194,LJR000194,46,Ion LaborJobRole 194,1,1,2026-08-24T00:00:00.000
195,LJR000195,38,Meridian LaborJobRole 195,1,1,2026-08-24T00:00:00.000
196,LJR000196,9,Quartz LaborJobRole 196,1,1,2026-08-24T00:00:00.000
197,LJR000197,19,Granite LaborJobRole 197,1,1,2026-08-24T00:00:00.000
198,LJR000198,14,Atlas LaborJobRole 198,1,1,2026-08-24T00:00:00.000
199,LJR000199,16,Vertex LaborJobRole 199,1,1,2026-08-24T00:00:00.000
200,LJR000200,35,Liberty LaborJobRole 200,1,1,2026-08-24T00:00:00.000
201,LJR000201,41,Orion LaborJobRole 201,1,1,2026-08-24T00:00:00.000
202,LJR000202,33,Cedar LaborJobRole 202,1,1,2026-08-24T00:00:00.000
203,LJR000203,48,Summit LaborJobRole 203,1,1,2026-08-24T00:00:00.000
204,LJR000204,20,Liberty LaborJobRole 204,1,1,2026-08-24T00:00:00.000
205,LJR000205,30,Delta LaborJobRole 205,1,1,2026-08-24T00:00:00.000
206,LJR000206,6,Ion LaborJobRole 206,1,1,2026-08-24T00:00:00.000
207,LJR000207,21,Harbor LaborJobRole 207,1,1,2026-08-24T00:00:00.000
208,LJR000208,31,Vertex LaborJobRole 208,1,1,2026-08-24T00:00:00.000
209,LJR000209,33,Zenith LaborJobRole 209,1,1,2026-08-24T00:00:00.000
210,LJR000210,4,Pioneer LaborJobRole 210,1,1,2026-08-24T00:00:00.000
211,LJR000211,1,Atlas LaborJobRole 211,1,1,2026-08-24T00:00:00.000
212,LJR000212,17,Meridian LaborJobRole 212,1,1,2026-08-24T00:00:00.000
213,LJR000213,41,Junction LaborJobRole 213,1,1,2026-08-24T00:00:00.000
214,LJR000214,41,Riverton LaborJobRole 214,1,1,2026-08-24T00:00:00.000
215,LJR000215,43,Northstar LaborJobRole 215,1,1,2026-08-24T00:00:00.000
216,LJR000216,43,Forge LaborJobRole 216,1,1,2026-08-24T00:00:00.000
217,LJR000217,44,Forge LaborJobRole 217,1,1,2026-08-24T00:00:00.000
218,LJR000218,1,Harbor LaborJobRole 218,1,1,2026-08-24T00:00:00.000
219,LJR000219,18,Forge LaborJobRole 219,1,1,2026-08-24T00:00:00.000
220,LJR000220,35,Unity LaborJobRole 220,1,1,2026-08-24T00:00:00.000
221,LJR000221,39,Beacon LaborJobRole 221,1,1,2026-08-24T00:00:00.000
222,LJR000222,21,Vertex LaborJobRole 222,1,1,2026-08-24T00:00:00.000
223,LJR000223,41,Riverton LaborJobRole 223,1,1,2026-08-24T00:00:00.000
224,LJR000224,21,Vertex LaborJobRole 224,1,1,2026-08-24T00:00:00.000
225,LJR000225,38,Willow LaborJobRole 225,1,1,2026-08-24T00:00:00.000
226,LJR000226,45,Unity LaborJobRole 226,1,1,2026-08-24T00:00:00.000
227,LJR000227,27,Riverton LaborJobRole 227,1,1,2026-08-24T00:00:00.000
228,LJR000228,33,Riverton LaborJobRole 228,1,1,2026-08-24T00:00:00.000
229,LJR000229,1,Unity LaborJobRole 229,1,1,2026-08-24T00:00:00.000
230,LJR000230,25,Delta LaborJobRole 230,1,1,2026-08-24T00:00:00.000
231,LJR000231,17,Unity LaborJobRole 231,1,1,2026-08-24T00:00:00.000
232,LJR000232,6,Liberty LaborJobRole 232,1,1,2026-08-24T00:00:00.000
233,LJR000233,32,Granite LaborJobRole 233,1,1,2026-08-24T00:00:00.000
234,LJR000234,11,Atlas LaborJobRole 234,1,1,2026-08-24T00:00:00.000
235,LJR000235,19,Cedar LaborJobRole 235,1,1,2026-08-24T00:00:00.000
236,LJR000236,41,Quartz LaborJobRole 236,1,1,2026-08-24T00:00:00.000
237,LJR000237,35,Meridian LaborJobRole 237,1,1,2026-08-24T00:00:00.000
238,LJR000238,10,Riverton LaborJobRole 238,1,1,2026-08-24T00:00:00.000
239,LJR000239,48,Titan LaborJobRole 239,1,1,2026-08-24T00:00:00.000
240,LJR000240,48,Atlas LaborJobRole 240,1,1,2026-08-24T00:00:00.000
241,LJR000241,41,Orion LaborJobRole 241,1,1,2026-08-24T00:00:00.000
242,LJR000242,45,Quartz LaborJobRole 242,1,1,2026-08-24T00:00:00.000
243,LJR000243,47,Riverton LaborJobRole 243,1,1,2026-08-24T00:00:00.000
244,LJR000244,13,Evergreen LaborJobRole 244,1,1,2026-08-24T00:00:00.000
245,LJR000245,17,Atlas LaborJobRole 245,1,1,2026-08-24T00:00:00.000
246,LJR000246,36,Pioneer LaborJobRole 246,1,1,2026-08-24T00:00:00.000
247,LJR000247,30,Zenith LaborJobRole 247,1,1,2026-08-24T00:00:00.000
248,LJR000248,16,Liberty LaborJobRole 248,1,1,2026-08-24T00:00:00.000
249,LJR000249,35,Keystone LaborJobRole 249,1,1,2026-08-24T00:00:00.000
250,LJR000250,32,Liberty LaborJobRole 250,1,1,2026-08-24T00:00:00.000
251,LJR000251,45,Cedar LaborJobRole 251,1,1,2026-08-24T00:00:00.000
252,LJR000252,30,Vertex LaborJobRole 252,1,1,2026-08-24T00:00:00.000
253,LJR000253,43,Summit LaborJobRole 253,1,1,2026-08-24T00:00:00.000
254,LJR000254,33,Evergreen LaborJobRole 254,1,1,2026-08-24T00:00:00.000
255,LJR000255,38,Granite LaborJobRole 255,1,1,2026-08-24T00:00:00.000
256,LJR000256,10,Delta LaborJobRole 256,1,1,2026-08-24T00:00:00.000
257,LJR000257,41,Willow LaborJobRole 257,1,1,2026-08-24T00:00:00.000
258,LJR000258,25,Evergreen LaborJobRole 258,1,1,2026-08-24T00:00:00.000
259,LJR000259,11,Granite LaborJobRole 259,1,1,2026-08-24T00:00:00.000
260,LJR000260,48,Liberty LaborJobRole 260,1,1,2026-08-24T00:00:00.000
