EngineeringCadDocumentKey,CadDocumentNumber,EngineeringDocumentCategoryKey,DesignerEmployeeKey,EngineeringDocumentTypeKey,EngineeringLifecycleStatusKey,EngineeringCadDocumentName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
22,ECD000022,48,170,8,7,Keystone EngineeringCadDocument 22,ECD000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4cd6746951125356a8fd5edd5f9424c94cd6746951125356a8fd5edd5f9424c9
23,ECD000023,402,148,4,6,Northstar EngineeringCadDocument 23,ECD000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45384ae1aba65c77b7cfc3309f5af51845384ae1aba65c77b7cfc3309f5af518
24,ECD000024,401,372,4,10,Keystone EngineeringCadDocument 24,ECD000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3729955c66a5383b35e12a466933af2e3729955c66a5383b35e12a466933af2
25,ECD000025,484,159,9,7,Ion EngineeringCadDocument 25,ECD000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d282476ff5d5b65a5734cd96de662490d282476ff5d5b65a5734cd96de66249
26,ECD000026,471,256,10,8,Liberty EngineeringCadDocument 26,ECD000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f4f875c0bbf56cda7dd64208926b53b0f4f875c0bbf56cda7dd64208926b53b
27,ECD000027,355,416,6,3,Beacon EngineeringCadDocument 27,ECD000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,41d08750821851a78c55b29c71c7af3741d08750821851a78c55b29c71c7af37
28,ECD000028,87,420,7,5,Cedar EngineeringCadDocument 28,ECD000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8ad0f3492d85341be040b4962601705f8ad0f3492d85341be040b4962601705
29,ECD000029,391,97,7,3,Beacon EngineeringCadDocument 29,ECD000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65c472ef72e45051be87f0d0c06ac3fb65c472ef72e45051be87f0d0c06ac3fb
30,ECD000030,405,153,2,2,Meridian EngineeringCadDocument 30,ECD000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51440e20843b544da91f52e85d548a4551440e20843b544da91f52e85d548a45
31,ECD000031,269,311,6,5,Granite EngineeringCadDocument 31,ECD000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b1ccbab9dde57a78ebe58ac8a352a543b1ccbab9dde57a78ebe58ac8a352a54
32,ECD000032,205,38,3,3,Zenith EngineeringCadDocument 32,ECD000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66553dfbd7fb54edb8e314890950dac466553dfbd7fb54edb8e314890950dac4
33,ECD000033,270,359,7,8,Northstar EngineeringCadDocument 33,ECD000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f9622cdee83563284a2f1816d951f792f9622cdee83563284a2f1816d951f79
34,ECD000034,221,-1,2,6,Junction EngineeringCadDocument 34,ECD000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa201e9fc21c5ebda5ef507928baca1faa201e9fc21c5ebda5ef507928baca1f
35,ECD000035,195,373,9,3,Pioneer EngineeringCadDocument 35,ECD000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff3dc93274d4503699e02c7aaf1a7762ff3dc93274d4503699e02c7aaf1a7762
36,ECD000036,234,17,5,7,Atlas EngineeringCadDocument 36,ECD000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d241e3a4bf75d2f96083a2f33abf3434d241e3a4bf75d2f96083a2f33abf343
37,ECD000037,494,175,3,9,Keystone EngineeringCadDocument 37,ECD000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e72f571c1c4552ecbfdc8b4393253bcde72f571c1c4552ecbfdc8b4393253bcd
38,ECD000038,169,45,10,8,Summit EngineeringCadDocument 38,ECD000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3927fc1f799c5383aec8d349eaef12623927fc1f799c5383aec8d349eaef1262
39,ECD000039,227,358,7,8,Northstar EngineeringCadDocument 39,ECD000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8975af4cbbe5e2bbba51ae4d8894671b8975af4cbbe5e2bbba51ae4d8894671
40,ECD000040,304,471,4,2,Northstar EngineeringCadDocument 40,ECD000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff5461eea29f5c9a8f5e5734841b4910ff5461eea29f5c9a8f5e5734841b4910
41,ECD000041,72,228,6,1,Forge EngineeringCadDocument 41,ECD000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1813c02a87452018eb8756a9767342fc1813c02a87452018eb8756a9767342f
42,ECD000042,21,287,9,1,Meridian EngineeringCadDocument 42,ECD000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88403a80c5f2556ab5e6f9da08d9398388403a80c5f2556ab5e6f9da08d93983
43,ECD000043,467,394,5,5,Cedar EngineeringCadDocument 43,ECD000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83e80d0913285ab0a5132cafa5ff502c83e80d0913285ab0a5132cafa5ff502c
44,ECD000044,260,273,9,2,Keystone EngineeringCadDocument 44,ECD000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ca0e27278285ac28006582b9271ed859ca0e27278285ac28006582b9271ed85
45,ECD000045,31,178,6,9,Zenith EngineeringCadDocument 45,ECD000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,110039fb4dcc57328035f6762c6f6104110039fb4dcc57328035f6762c6f6104
46,ECD000046,500,184,7,10,Beacon EngineeringCadDocument 46,ECD000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8e10608677f59de8f54f918f8c35db8c8e10608677f59de8f54f918f8c35db8
47,ECD000047,184,196,9,8,Northstar EngineeringCadDocument 47,ECD000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14f8afec33f455aba9e9abf71ea9f16e14f8afec33f455aba9e9abf71ea9f16e
48,ECD000048,33,204,1,2,Unity EngineeringCadDocument 48,ECD000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,08b1e4f5b0375b27bae154e0200a812108b1e4f5b0375b27bae154e0200a8121
49,ECD000049,144,293,3,8,Summit EngineeringCadDocument 49,ECD000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6402a3b9a084550abf8c0ea0e86a3b546402a3b9a084550abf8c0ea0e86a3b54
50,ECD000050,131,498,7,6,Zenith EngineeringCadDocument 50,ECD000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46b535af5c4d52938fc569aea3c0d68b46b535af5c4d52938fc569aea3c0d68b
51,ECD000051,373,-1,7,3,Vertex EngineeringCadDocument 51,ECD000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,465e598a9b375601bdb30379e6c2abc2465e598a9b375601bdb30379e6c2abc2
52,ECD000052,274,480,4,2,Keystone EngineeringCadDocument 52,ECD000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17087c3593015427b97559b7fa266cc617087c3593015427b97559b7fa266cc6
53,ECD000053,176,51,8,10,Evergreen EngineeringCadDocument 53,ECD000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c74afc909b4b5092a88fbcc404b87176c74afc909b4b5092a88fbcc404b87176
54,ECD000054,113,53,7,2,Delta EngineeringCadDocument 54,ECD000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b505de300f4e5eb983f63b26b24eec13b505de300f4e5eb983f63b26b24eec13
55,ECD000055,212,29,7,10,Titan EngineeringCadDocument 55,ECD000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,abebd91dec3f52208115b430e3e0da0aabebd91dec3f52208115b430e3e0da0a
56,ECD000056,141,390,9,10,Vertex EngineeringCadDocument 56,ECD000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2696f1a640d540a92fb8257c5eb2382f2696f1a640d540a92fb8257c5eb2382
57,ECD000057,89,129,2,5,Northstar EngineeringCadDocument 57,ECD000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a056efbb9b151c08c004c22c7cfba148a056efbb9b151c08c004c22c7cfba14
58,ECD000058,223,275,8,5,Zenith EngineeringCadDocument 58,ECD000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20311165b594586c8a9a64c3ec8eb69520311165b594586c8a9a64c3ec8eb695
59,ECD000059,147,176,10,6,Orion EngineeringCadDocument 59,ECD000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83e23604e7a25666bf460bfc7904445083e23604e7a25666bf460bfc79044450
60,ECD000060,181,467,1,2,Summit EngineeringCadDocument 60,ECD000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c85562aa0fc450209f7c4c45a7379a14c85562aa0fc450209f7c4c45a7379a14
61,ECD000061,49,189,7,6,Titan EngineeringCadDocument 61,ECD000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3f3a122e1365807a221bf4e7bad4de0a3f3a122e1365807a221bf4e7bad4de0
62,ECD000062,498,214,2,3,Evergreen EngineeringCadDocument 62,ECD000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e05cdb4df355374886ab9b22c81ecfe5e05cdb4df355374886ab9b22c81ecfe
63,ECD000063,416,157,9,4,Quartz EngineeringCadDocument 63,ECD000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37873ebd89285b6fa3aaa7c445ca218f37873ebd89285b6fa3aaa7c445ca218f
64,ECD000064,48,103,7,1,Cedar EngineeringCadDocument 64,ECD000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4179f50473d3503f9d8eaf6ade9f709c4179f50473d3503f9d8eaf6ade9f709c
65,ECD000065,368,88,7,7,Northstar EngineeringCadDocument 65,ECD000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5968a89aca6a50a1bf4e387824dbbcba5968a89aca6a50a1bf4e387824dbbcba
66,ECD000066,290,367,1,7,Pioneer EngineeringCadDocument 66,ECD000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a416dfa6c4ef567695e23292cc965452a416dfa6c4ef567695e23292cc965452
67,ECD000067,432,370,5,10,Forge EngineeringCadDocument 67,ECD000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df8b28e2840d5b1391d3a4ec92010b2adf8b28e2840d5b1391d3a4ec92010b2a
68,ECD000068,304,-1,6,1,Delta EngineeringCadDocument 68,ECD000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13bd83de181852cfb509d7d596f08dd213bd83de181852cfb509d7d596f08dd2
69,ECD000069,302,329,2,10,Vertex EngineeringCadDocument 69,ECD000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30860cb14c3e5c9fae123d6aa665f25830860cb14c3e5c9fae123d6aa665f258
70,ECD000070,442,436,10,3,Delta EngineeringCadDocument 70,ECD000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,601b421ab3bb56ef8d8fdfbc12a06571601b421ab3bb56ef8d8fdfbc12a06571
71,ECD000071,351,107,5,2,Evergreen EngineeringCadDocument 71,ECD000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc77e971ade1595b9f5e7b6362512830dc77e971ade1595b9f5e7b6362512830
72,ECD000072,94,25,10,8,Junction EngineeringCadDocument 72,ECD000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2c406de45d95bef808874e935ddaa66b2c406de45d95bef808874e935ddaa66
73,ECD000073,369,305,5,1,Cedar EngineeringCadDocument 73,ECD000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5222fb461600571682c7177b3ba893875222fb461600571682c7177b3ba89387
74,ECD000074,177,451,7,3,Evergreen EngineeringCadDocument 74,ECD000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f4d7171350505606a2ec2c2823a562bdf4d7171350505606a2ec2c2823a562bd
75,ECD000075,264,257,10,2,Unity EngineeringCadDocument 75,ECD000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,afee310660d453d28a6e1fc47a8b2422afee310660d453d28a6e1fc47a8b2422
76,ECD000076,121,31,2,8,Orion EngineeringCadDocument 76,ECD000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ef348702cee52d2b0706ab182080dc52ef348702cee52d2b0706ab182080dc5
77,ECD000077,161,20,8,6,Riverton EngineeringCadDocument 77,ECD000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cff1dfe73f5a546b8a70ac640edcc666cff1dfe73f5a546b8a70ac640edcc666
78,ECD000078,407,369,5,1,Delta EngineeringCadDocument 78,ECD000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e80051cff1ad5c76889d9b952c8c391de80051cff1ad5c76889d9b952c8c391d
79,ECD000079,68,151,6,2,Riverton EngineeringCadDocument 79,ECD000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3441bae0fff952d996aaefdc7762796a3441bae0fff952d996aaefdc7762796a
80,ECD000080,254,71,7,4,Meridian EngineeringCadDocument 80,ECD000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c5a7bc2b822b586a888f9e53a745225fc5a7bc2b822b586a888f9e53a745225f
81,ECD000081,389,220,4,7,Vertex EngineeringCadDocument 81,ECD000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e82472a23a1659cead43f39bc0bead57e82472a23a1659cead43f39bc0bead57
82,ECD000082,314,33,3,6,Atlas EngineeringCadDocument 82,ECD000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,79360506dc6a556e8bd52f13a4c247a179360506dc6a556e8bd52f13a4c247a1
83,ECD000083,340,354,5,6,Harbor EngineeringCadDocument 83,ECD000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd13bef954f450d68bc99fb1a8958174cd13bef954f450d68bc99fb1a8958174
84,ECD000084,243,267,5,1,Ion EngineeringCadDocument 84,ECD000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b60fc126aa856bb9f8f2720af3a6eee0b60fc126aa856bb9f8f2720af3a6eee
85,ECD000085,212,-1,3,7,Meridian EngineeringCadDocument 85,ECD000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2416aebe1915280a3f205a2843c4a9cb2416aebe1915280a3f205a2843c4a9c
86,ECD000086,276,359,8,3,Liberty EngineeringCadDocument 86,ECD000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2102eb73f35753d1a08a4cbad59d09d12102eb73f35753d1a08a4cbad59d09d1
87,ECD000087,48,350,9,9,Beacon EngineeringCadDocument 87,ECD000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a886c5fd52c7583eb8116d7e6e95c557a886c5fd52c7583eb8116d7e6e95c557
88,ECD000088,136,271,1,4,Pioneer EngineeringCadDocument 88,ECD000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4263b18cb7d56ae84081429cc806dfbc4263b18cb7d56ae84081429cc806dfb
89,ECD000089,343,443,2,3,Harbor EngineeringCadDocument 89,ECD000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d95b1d1eb285e45b89dfbc6907494c25d95b1d1eb285e45b89dfbc6907494c2
90,ECD000090,271,79,4,6,Harbor EngineeringCadDocument 90,ECD000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82166b4135ac50beaef0ddedfab418e482166b4135ac50beaef0ddedfab418e4
91,ECD000091,243,288,6,10,Beacon EngineeringCadDocument 91,ECD000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b46416ee725f52d48b29a401cf6c284db46416ee725f52d48b29a401cf6c284d
92,ECD000092,133,110,8,2,Delta EngineeringCadDocument 92,ECD000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a826590a2c595af4ac13fb8629211134a826590a2c595af4ac13fb8629211134
93,ECD000093,27,245,8,6,Forge EngineeringCadDocument 93,ECD000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e41f7016440a5692af93f7acee7aeb96e41f7016440a5692af93f7acee7aeb96
94,ECD000094,156,319,7,6,Atlas EngineeringCadDocument 94,ECD000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1cffcc6cc54351828a809bd739a81a9e1cffcc6cc54351828a809bd739a81a9e
95,ECD000095,488,168,7,5,Granite EngineeringCadDocument 95,ECD000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6556828e8bf2589d9b92fd87fc70ca616556828e8bf2589d9b92fd87fc70ca61
96,ECD000096,8,173,5,8,Junction EngineeringCadDocument 96,ECD000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7bf6869b6cb5ea68913a31b2393011ac7bf6869b6cb5ea68913a31b2393011a
97,ECD000097,484,23,6,5,Meridian EngineeringCadDocument 97,ECD000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,08da397f497b546bbca1478ba64ac6ec08da397f497b546bbca1478ba64ac6ec
