ProductKey,ProductNumber,ProductSubfamilyKey,ProductBrandKey,ProductLifecyclePhaseKey,ProductCertificationKey,ParentProductKey,UnitOfMeasureKey,RecordStatusKey,MeasurementSystemKey,HazardClassKey,ProductName,ProductDescription,DrawingNumber,RevisionCode,StandardCostAmount,ListPriceAmount,NetWeightValue,GrossWeightValue,ShelfLifeDays,LotTrackedFlag,SerialTrackedFlag,MakeBuyCode,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
20,P000020,278,304,6,157,-1,5,3,2,3,Summit Product 20,Product starter record 20,P000020,P000020,37.4000,37.4000,37.4000,37.4000,21,0,0,P000020,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e33757c23225146adeb1fcd559f99a35e33757c23225146adeb1fcd559f99a3
21,P000021,372,95,8,21,-1,4,1,3,7,Liberty Product 21,Product starter record 21,P000021,P000021,38.7700,38.7700,38.7700,38.7700,22,1,1,P000021,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c07ea4fa6f65953b1035c63b6ff72407c07ea4fa6f65953b1035c63b6ff7240
22,P000022,65,359,10,218,-1,1,2,3,12,Ion Product 22,Product starter record 22,P000022,P000022,40.1400,40.1400,40.1400,40.1400,23,1,1,P000022,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74f60e69b67352e09847bb9195ab7bf274f60e69b67352e09847bb9195ab7bf2
23,P000023,82,196,10,194,-1,1,1,1,6,Northstar Product 23,Product starter record 23,P000023,P000023,41.5100,41.5100,41.5100,41.5100,24,1,1,P000023,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf615c9f29c85abdbd971ba48990b5f9cf615c9f29c85abdbd971ba48990b5f9
24,P000024,145,237,7,150,-1,6,4,3,10,Evergreen Product 24,Product starter record 24,P000024,P000024,42.8800,42.8800,42.8800,42.8800,25,1,1,P000024,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2552010a68c5c7288e6384f5e57c6c6b2552010a68c5c7288e6384f5e57c6c6
25,P000025,62,431,7,14,-1,1,4,1,1,Summit Product 25,Product starter record 25,P000025,P000025,44.2500,44.2500,44.2500,44.2500,26,0,0,P000025,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9732cf12b7e57089025c46fce43fd6dc9732cf12b7e57089025c46fce43fd6d
26,P000026,239,439,10,149,-1,7,2,1,8,Granite Product 26,Product starter record 26,P000026,P000026,45.6200,45.6200,45.6200,45.6200,27,1,1,P000026,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4918b81400325fc7aa78310e29ec7f624918b81400325fc7aa78310e29ec7f62
27,P000027,455,359,12,116,-1,7,1,2,11,Unity Product 27,Product starter record 27,P000027,P000027,46.9900,46.9900,46.9900,46.9900,28,1,1,P000027,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8250bb21767c5212b681237ad5edd7ff8250bb21767c5212b681237ad5edd7ff
28,P000028,288,400,7,108,-1,7,3,2,10,Cedar Product 28,Product starter record 28,P000028,P000028,48.3600,48.3600,48.3600,48.3600,1,1,1,P000028,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f99a38dc6885b5692f442ad1e12cfbb6f99a38dc6885b5692f442ad1e12cfbb
29,P000029,19,199,5,153,-1,2,4,2,8,Zenith Product 29,Product starter record 29,P000029,P000029,49.7300,49.7300,49.7300,49.7300,2,1,1,P000029,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b523d26f6606572199b0f550d4e33963b523d26f6606572199b0f550d4e33963
30,P000030,134,300,8,175,-1,3,4,2,16,Quartz Product 30,Product starter record 30,P000030,P000030,51.1000,51.1000,51.1000,51.1000,3,0,0,P000030,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dddce2a3900651479c1b930f2cf1f8efdddce2a3900651479c1b930f2cf1f8ef
31,P000031,310,449,7,43,-1,2,1,2,16,Unity Product 31,Product starter record 31,P000031,P000031,52.4700,52.4700,52.4700,52.4700,4,1,1,P000031,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed25227a3a0150598f53ccd2c2c2a6dfed25227a3a0150598f53ccd2c2c2a6df
32,P000032,213,65,10,155,-1,1,4,3,17,Harbor Product 32,Product starter record 32,P000032,P000032,53.8400,53.8400,53.8400,53.8400,5,1,1,P000032,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3fe6680de8bd5c7fbadf3c249c4071593fe6680de8bd5c7fbadf3c249c407159
33,P000033,406,394,8,112,-1,6,1,1,6,Summit Product 33,Product starter record 33,P000033,P000033,55.2100,55.2100,55.2100,55.2100,6,1,1,P000033,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,314a44229875569db7bcdfac48c0d313314a44229875569db7bcdfac48c0d313
34,P000034,495,426,3,80,-1,5,2,3,6,Zenith Product 34,Product starter record 34,P000034,P000034,56.5800,56.5800,56.5800,56.5800,7,1,1,P000034,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6620e0d3d94c5b4cad425cd4214110496620e0d3d94c5b4cad425cd421411049
35,P000035,387,452,10,236,-1,5,1,1,10,Vertex Product 35,Product starter record 35,P000035,P000035,57.9500,57.9500,57.9500,57.9500,8,0,0,P000035,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20be0d05d4405a38b8e258bcdafb8a0e20be0d05d4405a38b8e258bcdafb8a0e
36,P000036,108,92,10,248,-1,4,1,2,5,Northstar Product 36,Product starter record 36,P000036,P000036,59.3200,59.3200,59.3200,59.3200,9,1,1,P000036,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7640165bbd1753b6aac5e57ebdb8c11e7640165bbd1753b6aac5e57ebdb8c11e
37,P000037,426,197,3,148,-1,1,4,1,14,Orion Product 37,Product starter record 37,P000037,P000037,60.6900,60.6900,60.6900,60.6900,10,1,1,P000037,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83c0c0c4d1ba5ffdba23d9765cbb1c1083c0c0c4d1ba5ffdba23d9765cbb1c10
38,P000038,164,11,11,34,-1,2,2,1,10,Evergreen Product 38,Product starter record 38,P000038,P000038,62.0600,62.0600,62.0600,62.0600,11,1,1,P000038,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8ecf35c28185ed18099995c98df4522c8ecf35c28185ed18099995c98df4522
39,P000039,81,193,12,37,-1,6,3,3,17,Atlas Product 39,Product starter record 39,P000039,P000039,63.4300,63.4300,63.4300,63.4300,12,1,1,P000039,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c0f0d7c6aeb564dae2c2efc405f87282c0f0d7c6aeb564dae2c2efc405f8728
40,P000040,236,342,2,163,-1,1,3,2,16,Quartz Product 40,Product starter record 40,P000040,P000040,64.8000,64.8000,64.8000,64.8000,13,0,0,P000040,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2614b09312e5215a79796b62fe97374f2614b09312e5215a79796b62fe97374
41,P000041,273,40,10,159,-1,5,1,3,1,Ion Product 41,Product starter record 41,P000041,P000041,66.1700,66.1700,66.1700,66.1700,14,1,1,P000041,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54af0dcd0f9d50d998c0d6c37fdef94954af0dcd0f9d50d998c0d6c37fdef949
42,P000042,494,16,7,91,-1,7,4,2,15,Unity Product 42,Product starter record 42,P000042,P000042,67.5400,67.5400,67.5400,67.5400,15,1,1,P000042,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5837a9d13c4c57cf8d798e7487243b275837a9d13c4c57cf8d798e7487243b27
43,P000043,410,99,3,129,-1,4,2,1,3,Pioneer Product 43,Product starter record 43,P000043,P000043,68.9100,68.9100,68.9100,68.9100,16,1,1,P000043,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca4d69758aba576ab44d00cf5f6b50c6ca4d69758aba576ab44d00cf5f6b50c6
44,P000044,200,236,11,146,-1,7,4,1,7,Ion Product 44,Product starter record 44,P000044,P000044,70.2800,70.2800,70.2800,70.2800,17,1,1,P000044,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b13b49959754532db232e86d8a1ff29eb13b49959754532db232e86d8a1ff29e
45,P000045,216,271,10,19,-1,4,4,1,5,Delta Product 45,Product starter record 45,P000045,P000045,71.6500,71.6500,71.6500,71.6500,18,0,0,P000045,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c982348f297352b9bba0fde444c4a11dc982348f297352b9bba0fde444c4a11d
46,P000046,307,42,7,71,-1,1,3,3,2,Willow Product 46,Product starter record 46,P000046,P000046,73.0200,73.0200,73.0200,73.0200,19,1,1,P000046,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f47a44e3c8b253d69af15f1bb27a86c1f47a44e3c8b253d69af15f1bb27a86c1
47,P000047,169,321,10,165,-1,5,3,1,15,Orion Product 47,Product starter record 47,P000047,P000047,74.3900,74.3900,74.3900,74.3900,20,1,1,P000047,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,798e0df7e6055723b8fd9a8bd85fc82f798e0df7e6055723b8fd9a8bd85fc82f
48,P000048,459,261,10,151,-1,6,1,2,7,Riverton Product 48,Product starter record 48,P000048,P000048,75.7600,75.7600,75.7600,75.7600,21,1,1,P000048,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,617340b136d454859bbf7f2e5edd42a2617340b136d454859bbf7f2e5edd42a2
49,P000049,379,377,2,9,-1,4,4,2,14,Quartz Product 49,Product starter record 49,P000049,P000049,77.1300,77.1300,77.1300,77.1300,22,1,1,P000049,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ed23d7b933956108f2a68f90825eafe9ed23d7b933956108f2a68f90825eafe
50,P000050,483,184,6,210,-1,4,4,2,9,Unity Product 50,Product starter record 50,P000050,P000050,78.5000,78.5000,78.5000,78.5000,23,0,0,P000050,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4cc003c706355442a7dedeb9fad0a9f04cc003c706355442a7dedeb9fad0a9f0
51,P000051,179,433,12,94,-1,3,3,2,2,Orion Product 51,Product starter record 51,P000051,P000051,79.8700,79.8700,79.8700,79.8700,24,1,1,P000051,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d5b02f0cc945c00bc7c11477919adae8d5b02f0cc945c00bc7c11477919adae
52,P000052,235,185,3,139,-1,1,4,2,3,Quartz Product 52,Product starter record 52,P000052,P000052,81.2400,81.2400,81.2400,81.2400,25,1,1,P000052,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c450f5d35fee541294fb0f0b1d2ff41dc450f5d35fee541294fb0f0b1d2ff41d
53,P000053,432,215,7,203,-1,2,2,2,12,Forge Product 53,Product starter record 53,P000053,P000053,82.6100,82.6100,82.6100,82.6100,26,1,1,P000053,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6506ddd6bc975f4cabfa12e2047afbb56506ddd6bc975f4cabfa12e2047afbb5
54,P000054,128,392,11,69,-1,3,1,3,7,Zenith Product 54,Product starter record 54,P000054,P000054,83.9800,83.9800,83.9800,83.9800,27,1,1,P000054,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,064bdb0d8822547eb1cee34c2ed6980e064bdb0d8822547eb1cee34c2ed6980e
55,P000055,194,245,12,37,-1,7,2,1,4,Vertex Product 55,Product starter record 55,P000055,P000055,85.3500,85.3500,85.3500,85.3500,28,0,0,P000055,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c767bff35c550b39624502ee2d288c86c767bff35c550b39624502ee2d288c8
56,P000056,470,121,10,233,-1,3,2,2,12,Forge Product 56,Product starter record 56,P000056,P000056,86.7200,86.7200,86.7200,86.7200,1,1,1,P000056,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52772511177d57ca9ed971d3ec8d4be752772511177d57ca9ed971d3ec8d4be7
57,P000057,247,218,1,23,-1,6,2,3,11,Unity Product 57,Product starter record 57,P000057,P000057,88.0900,88.0900,88.0900,88.0900,2,1,1,P000057,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1cd4ac9eb2b515e9c21f1aa86d7d155c1cd4ac9eb2b515e9c21f1aa86d7d155
58,P000058,158,439,1,133,-1,4,4,2,16,Summit Product 58,Product starter record 58,P000058,P000058,89.4600,89.4600,89.4600,89.4600,3,1,1,P000058,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a1790accb12b555a944008e4ac346e44a1790accb12b555a944008e4ac346e44
59,P000059,266,37,7,16,-1,4,3,2,15,Granite Product 59,Product starter record 59,P000059,P000059,90.8300,90.8300,90.8300,90.8300,4,1,1,P000059,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15fc93200c925861b7b4fa6aaba3ca2115fc93200c925861b7b4fa6aaba3ca21
60,P000060,416,436,11,195,-1,4,4,2,12,Delta Product 60,Product starter record 60,P000060,P000060,92.2000,92.2000,92.2000,92.2000,5,0,0,P000060,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,18fe3b2f86b05a2a8bd05769258f5f0718fe3b2f86b05a2a8bd05769258f5f07
61,P000061,410,289,5,105,-1,3,1,3,4,Meridian Product 61,Product starter record 61,P000061,P000061,93.5700,93.5700,93.5700,93.5700,6,1,1,P000061,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fadb6c65a7b557491bfe3eae6d98a912fadb6c65a7b557491bfe3eae6d98a91
62,P000062,402,290,12,223,-1,4,3,2,6,Willow Product 62,Product starter record 62,P000062,P000062,94.9400,94.9400,94.9400,94.9400,7,1,1,P000062,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4fc17f3f8a3b5726bb89e1386815a65d4fc17f3f8a3b5726bb89e1386815a65d
63,P000063,61,236,7,34,-1,6,2,2,9,Beacon Product 63,Product starter record 63,P000063,P000063,96.3100,96.3100,96.3100,96.3100,8,1,1,P000063,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb78b212dc6c51e78a712f9d8881c159cb78b212dc6c51e78a712f9d8881c159
64,P000064,165,59,4,123,-1,5,4,3,10,Titan Product 64,Product starter record 64,P000064,P000064,97.6800,97.6800,97.6800,97.6800,9,1,1,P000064,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6445fd42f2d9537bbc646f696411a5386445fd42f2d9537bbc646f696411a538
65,P000065,300,489,4,97,-1,1,3,2,11,Orion Product 65,Product starter record 65,P000065,P000065,99.0500,99.0500,99.0500,99.0500,10,0,0,P000065,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c200a79833c57168c940e6b746347833c200a79833c57168c940e6b74634783
66,P000066,7,263,3,155,-1,6,2,2,8,Riverton Product 66,Product starter record 66,P000066,P000066,100.4200,100.4200,100.4200,100.4200,11,1,1,P000066,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8b598ef089135bea9f85628e1be63aad8b598ef089135bea9f85628e1be63aad
67,P000067,86,216,7,199,-1,5,4,1,15,Vertex Product 67,Product starter record 67,P000067,P000067,101.7900,101.7900,101.7900,101.7900,12,1,1,P000067,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bb690d23839535ab49902ccf4d966ba4bb690d23839535ab49902ccf4d966ba
68,P000068,106,316,1,115,-1,7,1,2,3,Summit Product 68,Product starter record 68,P000068,P000068,103.1600,103.1600,103.1600,103.1600,13,1,1,P000068,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e290e85665ff5c79af8a8541a815ea72e290e85665ff5c79af8a8541a815ea72
69,P000069,327,56,5,227,-1,5,2,1,6,Beacon Product 69,Product starter record 69,P000069,P000069,104.5300,104.5300,104.5300,104.5300,14,1,1,P000069,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51708868f92a5c8a838c335aac44fcbd51708868f92a5c8a838c335aac44fcbd
70,P000070,239,195,12,118,-1,6,1,2,1,Atlas Product 70,Product starter record 70,P000070,P000070,105.9000,105.9000,105.9000,105.9000,15,0,0,P000070,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56fee5973ef45f218ee49deea37720ba56fee5973ef45f218ee49deea37720ba
71,P000071,239,475,11,61,-1,5,3,3,4,Ion Product 71,Product starter record 71,P000071,P000071,107.2700,107.2700,107.2700,107.2700,16,1,1,P000071,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,151b8bdd98b4567f95eeb8e1295d7291151b8bdd98b4567f95eeb8e1295d7291
72,P000072,261,248,11,125,-1,6,1,1,14,Orion Product 72,Product starter record 72,P000072,P000072,108.6400,108.6400,108.6400,108.6400,17,1,1,P000072,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b46f2113e045310bb0fc8de40d12a612b46f2113e045310bb0fc8de40d12a61
73,P000073,277,218,2,156,-1,6,3,3,4,Orion Product 73,Product starter record 73,P000073,P000073,110.0100,110.0100,110.0100,110.0100,18,1,1,P000073,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6483e7ff7b2a549aa9477de1c6ebc7826483e7ff7b2a549aa9477de1c6ebc782
74,P000074,21,395,1,139,-1,1,4,2,15,Summit Product 74,Product starter record 74,P000074,P000074,111.3800,111.3800,111.3800,111.3800,19,1,1,P000074,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd4b775a86785ca5ba1304ee4908ce34dd4b775a86785ca5ba1304ee4908ce34
75,P000075,113,346,9,160,-1,7,1,2,18,Junction Product 75,Product starter record 75,P000075,P000075,112.7500,112.7500,112.7500,112.7500,20,0,0,P000075,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6740b4ffa93b588787698c98cfa41e1d6740b4ffa93b588787698c98cfa41e1d
76,P000076,100,27,9,151,-1,6,1,3,15,Pioneer Product 76,Product starter record 76,P000076,P000076,114.1200,114.1200,114.1200,114.1200,21,1,1,P000076,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94270d6042b55ce3989b86ea4ae9e4fa94270d6042b55ce3989b86ea4ae9e4fa
