QualityDefectSubCategoryKey,QualityDefectSubCategoryCode,QualityDefectCategoryKey,QualityDefectSubCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
70,QDSC000070,77,Evergreen QualityDefectSubCategory 70,1,1,2026-08-24T00:00:00.000
71,QDSC000071,64,Liberty QualityDefectSubCategory 71,1,1,2026-08-24T00:00:00.000
72,QDSC000072,5,Quartz QualityDefectSubCategory 72,1,1,2026-08-24T00:00:00.000
73,QDSC000073,49,Harbor QualityDefectSubCategory 73,1,1,2026-08-24T00:00:00.000
74,QDSC000074,65,Junction QualityDefectSubCategory 74,1,1,2026-08-24T00:00:00.000
75,QDSC000075,34,Riverton QualityDefectSubCategory 75,1,1,2026-08-24T00:00:00.000
76,QDSC000076,31,Willow QualityDefectSubCategory 76,1,1,2026-08-24T00:00:00.000
77,QDSC000077,2,Liberty QualityDefectSubCategory 77,1,1,2026-08-24T00:00:00.000
78,QDSC000078,5,Quartz QualityDefectSubCategory 78,1,1,2026-08-24T00:00:00.000
79,QDSC000079,51,Quartz QualityDefectSubCategory 79,1,1,2026-08-24T00:00:00.000
80,QDSC000080,28,Quartz QualityDefectSubCategory 80,1,1,2026-08-24T00:00:00.000
81,QDSC000081,65,Junction QualityDefectSubCategory 81,1,1,2026-08-24T00:00:00.000
82,QDSC000082,9,Vertex QualityDefectSubCategory 82,1,1,2026-08-24T00:00:00.000
83,QDSC000083,46,Summit QualityDefectSubCategory 83,1,1,2026-08-24T00:00:00.000
84,QDSC000084,27,Keystone QualityDefectSubCategory 84,1,1,2026-08-24T00:00:00.000
85,QDSC000085,34,Granite QualityDefectSubCategory 85,1,1,2026-08-24T00:00:00.000
86,QDSC000086,25,Junction QualityDefectSubCategory 86,1,1,2026-08-24T00:00:00.000
87,QDSC000087,7,Liberty QualityDefectSubCategory 87,1,1,2026-08-24T00:00:00.000
88,QDSC000088,39,Riverton QualityDefectSubCategory 88,1,1,2026-08-24T00:00:00.000
89,QDSC000089,9,Cedar QualityDefectSubCategory 89,1,1,2026-08-24T00:00:00.000
90,QDSC000090,20,Evergreen QualityDefectSubCategory 90,1,1,2026-08-24T00:00:00.000
91,QDSC000091,62,Meridian QualityDefectSubCategory 91,1,1,2026-08-24T00:00:00.000
92,QDSC000092,51,Cedar QualityDefectSubCategory 92,1,1,2026-08-24T00:00:00.000
93,QDSC000093,72,Forge QualityDefectSubCategory 93,1,1,2026-08-24T00:00:00.000
94,QDSC000094,52,Harbor QualityDefectSubCategory 94,1,1,2026-08-24T00:00:00.000
95,QDSC000095,30,Northstar QualityDefectSubCategory 95,1,1,2026-08-24T00:00:00.000
96,QDSC000096,56,Keystone QualityDefectSubCategory 96,1,1,2026-08-24T00:00:00.000
97,QDSC000097,34,Delta QualityDefectSubCategory 97,1,1,2026-08-24T00:00:00.000
98,QDSC000098,41,Liberty QualityDefectSubCategory 98,1,1,2026-08-24T00:00:00.000
99,QDSC000099,45,Vertex QualityDefectSubCategory 99,1,1,2026-08-24T00:00:00.000
100,QDSC000100,80,Forge QualityDefectSubCategory 100,1,1,2026-08-24T00:00:00.000
101,QDSC000101,45,Willow QualityDefectSubCategory 101,1,1,2026-08-24T00:00:00.000
102,QDSC000102,8,Junction QualityDefectSubCategory 102,1,1,2026-08-24T00:00:00.000
103,QDSC000103,51,Liberty QualityDefectSubCategory 103,1,1,2026-08-24T00:00:00.000
104,QDSC000104,18,Harbor QualityDefectSubCategory 104,1,1,2026-08-24T00:00:00.000
105,QDSC000105,61,Ion QualityDefectSubCategory 105,1,1,2026-08-24T00:00:00.000
106,QDSC000106,44,Harbor QualityDefectSubCategory 106,1,1,2026-08-24T00:00:00.000
107,QDSC000107,9,Granite QualityDefectSubCategory 107,1,1,2026-08-24T00:00:00.000
108,QDSC000108,66,Atlas QualityDefectSubCategory 108,1,1,2026-08-24T00:00:00.000
109,QDSC000109,67,Riverton QualityDefectSubCategory 109,1,1,2026-08-24T00:00:00.000
110,QDSC000110,63,Delta QualityDefectSubCategory 110,1,1,2026-08-24T00:00:00.000
111,QDSC000111,78,Cedar QualityDefectSubCategory 111,1,1,2026-08-24T00:00:00.000
112,QDSC000112,17,Northstar QualityDefectSubCategory 112,1,1,2026-08-24T00:00:00.000
113,QDSC000113,10,Summit QualityDefectSubCategory 113,1,1,2026-08-24T00:00:00.000
114,QDSC000114,51,Summit QualityDefectSubCategory 114,1,1,2026-08-24T00:00:00.000
115,QDSC000115,78,Atlas QualityDefectSubCategory 115,1,1,2026-08-24T00:00:00.000
116,QDSC000116,45,Orion QualityDefectSubCategory 116,1,1,2026-08-24T00:00:00.000
117,QDSC000117,15,Granite QualityDefectSubCategory 117,1,1,2026-08-24T00:00:00.000
118,QDSC000118,80,Summit QualityDefectSubCategory 118,1,1,2026-08-24T00:00:00.000
119,QDSC000119,58,Evergreen QualityDefectSubCategory 119,1,1,2026-08-24T00:00:00.000
120,QDSC000120,13,Quartz QualityDefectSubCategory 120,1,1,2026-08-24T00:00:00.000
121,QDSC000121,58,Evergreen QualityDefectSubCategory 121,1,1,2026-08-24T00:00:00.000
122,QDSC000122,7,Meridian QualityDefectSubCategory 122,1,1,2026-08-24T00:00:00.000
123,QDSC000123,38,Northstar QualityDefectSubCategory 123,1,1,2026-08-24T00:00:00.000
124,QDSC000124,2,Meridian QualityDefectSubCategory 124,1,1,2026-08-24T00:00:00.000
125,QDSC000125,42,Meridian QualityDefectSubCategory 125,1,1,2026-08-24T00:00:00.000
126,QDSC000126,55,Riverton QualityDefectSubCategory 126,1,1,2026-08-24T00:00:00.000
127,QDSC000127,68,Harbor QualityDefectSubCategory 127,1,1,2026-08-24T00:00:00.000
128,QDSC000128,67,Beacon QualityDefectSubCategory 128,1,1,2026-08-24T00:00:00.000
129,QDSC000129,67,Junction QualityDefectSubCategory 129,1,1,2026-08-24T00:00:00.000
130,QDSC000130,50,Vertex QualityDefectSubCategory 130,1,1,2026-08-24T00:00:00.000
131,QDSC000131,45,Atlas QualityDefectSubCategory 131,1,1,2026-08-24T00:00:00.000
132,QDSC000132,67,Vertex QualityDefectSubCategory 132,1,1,2026-08-24T00:00:00.000
133,QDSC000133,66,Summit QualityDefectSubCategory 133,1,1,2026-08-24T00:00:00.000
134,QDSC000134,12,Junction QualityDefectSubCategory 134,1,1,2026-08-24T00:00:00.000
135,QDSC000135,66,Willow QualityDefectSubCategory 135,1,1,2026-08-24T00:00:00.000
136,QDSC000136,12,Willow QualityDefectSubCategory 136,1,1,2026-08-24T00:00:00.000
137,QDSC000137,58,Evergreen QualityDefectSubCategory 137,1,1,2026-08-24T00:00:00.000
138,QDSC000138,30,Cedar QualityDefectSubCategory 138,1,1,2026-08-24T00:00:00.000
139,QDSC000139,73,Northstar QualityDefectSubCategory 139,1,1,2026-08-24T00:00:00.000
140,QDSC000140,12,Delta QualityDefectSubCategory 140,1,1,2026-08-24T00:00:00.000
141,QDSC000141,25,Forge QualityDefectSubCategory 141,1,1,2026-08-24T00:00:00.000
142,QDSC000142,54,Evergreen QualityDefectSubCategory 142,1,1,2026-08-24T00:00:00.000
143,QDSC000143,8,Evergreen QualityDefectSubCategory 143,1,1,2026-08-24T00:00:00.000
144,QDSC000144,12,Willow QualityDefectSubCategory 144,1,1,2026-08-24T00:00:00.000
145,QDSC000145,78,Summit QualityDefectSubCategory 145,1,1,2026-08-24T00:00:00.000
146,QDSC000146,46,Riverton QualityDefectSubCategory 146,1,1,2026-08-24T00:00:00.000
147,QDSC000147,51,Keystone QualityDefectSubCategory 147,1,1,2026-08-24T00:00:00.000
148,QDSC000148,47,Vertex QualityDefectSubCategory 148,1,1,2026-08-24T00:00:00.000
149,QDSC000149,74,Ion QualityDefectSubCategory 149,1,1,2026-08-24T00:00:00.000
150,QDSC000150,65,Delta QualityDefectSubCategory 150,1,1,2026-08-24T00:00:00.000
151,QDSC000151,57,Quartz QualityDefectSubCategory 151,1,1,2026-08-24T00:00:00.000
152,QDSC000152,4,Ion QualityDefectSubCategory 152,1,1,2026-08-24T00:00:00.000
153,QDSC000153,1,Beacon QualityDefectSubCategory 153,1,1,2026-08-24T00:00:00.000
154,QDSC000154,66,Pioneer QualityDefectSubCategory 154,1,1,2026-08-24T00:00:00.000
155,QDSC000155,70,Junction QualityDefectSubCategory 155,1,1,2026-08-24T00:00:00.000
156,QDSC000156,55,Beacon QualityDefectSubCategory 156,1,1,2026-08-24T00:00:00.000
157,QDSC000157,10,Willow QualityDefectSubCategory 157,1,1,2026-08-24T00:00:00.000
158,QDSC000158,45,Willow QualityDefectSubCategory 158,1,1,2026-08-24T00:00:00.000
159,QDSC000159,7,Keystone QualityDefectSubCategory 159,1,1,2026-08-24T00:00:00.000
160,QDSC000160,3,Northstar QualityDefectSubCategory 160,1,1,2026-08-24T00:00:00.000
161,QDSC000161,33,Quartz QualityDefectSubCategory 161,1,1,2026-08-24T00:00:00.000
162,QDSC000162,58,Orion QualityDefectSubCategory 162,1,1,2026-08-24T00:00:00.000
163,QDSC000163,56,Liberty QualityDefectSubCategory 163,1,1,2026-08-24T00:00:00.000
164,QDSC000164,33,Summit QualityDefectSubCategory 164,1,1,2026-08-24T00:00:00.000
165,QDSC000165,42,Atlas QualityDefectSubCategory 165,1,1,2026-08-24T00:00:00.000
166,QDSC000166,58,Liberty QualityDefectSubCategory 166,1,1,2026-08-24T00:00:00.000
167,QDSC000167,35,Summit QualityDefectSubCategory 167,1,1,2026-08-24T00:00:00.000
168,QDSC000168,43,Quartz QualityDefectSubCategory 168,1,1,2026-08-24T00:00:00.000
169,QDSC000169,78,Delta QualityDefectSubCategory 169,1,1,2026-08-24T00:00:00.000
170,QDSC000170,10,Zenith QualityDefectSubCategory 170,1,1,2026-08-24T00:00:00.000
171,QDSC000171,14,Harbor QualityDefectSubCategory 171,1,1,2026-08-24T00:00:00.000
172,QDSC000172,37,Titan QualityDefectSubCategory 172,1,1,2026-08-24T00:00:00.000
173,QDSC000173,46,Beacon QualityDefectSubCategory 173,1,1,2026-08-24T00:00:00.000
174,QDSC000174,17,Unity QualityDefectSubCategory 174,1,1,2026-08-24T00:00:00.000
175,QDSC000175,80,Delta QualityDefectSubCategory 175,1,1,2026-08-24T00:00:00.000
176,QDSC000176,37,Forge QualityDefectSubCategory 176,1,1,2026-08-24T00:00:00.000
177,QDSC000177,50,Harbor QualityDefectSubCategory 177,1,1,2026-08-24T00:00:00.000
178,QDSC000178,31,Vertex QualityDefectSubCategory 178,1,1,2026-08-24T00:00:00.000
179,QDSC000179,11,Ion QualityDefectSubCategory 179,1,1,2026-08-24T00:00:00.000
180,QDSC000180,2,Granite QualityDefectSubCategory 180,1,1,2026-08-24T00:00:00.000
181,QDSC000181,36,Meridian QualityDefectSubCategory 181,1,1,2026-08-24T00:00:00.000
182,QDSC000182,37,Cedar QualityDefectSubCategory 182,1,1,2026-08-24T00:00:00.000
183,QDSC000183,9,Delta QualityDefectSubCategory 183,1,1,2026-08-24T00:00:00.000
184,QDSC000184,5,Ion QualityDefectSubCategory 184,1,1,2026-08-24T00:00:00.000
185,QDSC000185,9,Northstar QualityDefectSubCategory 185,1,1,2026-08-24T00:00:00.000
186,QDSC000186,77,Orion QualityDefectSubCategory 186,1,1,2026-08-24T00:00:00.000
187,QDSC000187,79,Unity QualityDefectSubCategory 187,1,1,2026-08-24T00:00:00.000
188,QDSC000188,58,Riverton QualityDefectSubCategory 188,1,1,2026-08-24T00:00:00.000
189,QDSC000189,44,Summit QualityDefectSubCategory 189,1,1,2026-08-24T00:00:00.000
190,QDSC000190,17,Meridian QualityDefectSubCategory 190,1,1,2026-08-24T00:00:00.000
191,QDSC000191,67,Keystone QualityDefectSubCategory 191,1,1,2026-08-24T00:00:00.000
192,QDSC000192,35,Meridian QualityDefectSubCategory 192,1,1,2026-08-24T00:00:00.000
193,QDSC000193,53,Willow QualityDefectSubCategory 193,1,1,2026-08-24T00:00:00.000
194,QDSC000194,71,Ion QualityDefectSubCategory 194,1,1,2026-08-24T00:00:00.000
195,QDSC000195,3,Zenith QualityDefectSubCategory 195,1,1,2026-08-24T00:00:00.000
196,QDSC000196,4,Beacon QualityDefectSubCategory 196,1,1,2026-08-24T00:00:00.000
197,QDSC000197,56,Vertex QualityDefectSubCategory 197,1,1,2026-08-24T00:00:00.000
198,QDSC000198,5,Granite QualityDefectSubCategory 198,1,1,2026-08-24T00:00:00.000
199,QDSC000199,74,Unity QualityDefectSubCategory 199,1,1,2026-08-24T00:00:00.000
200,QDSC000200,54,Evergreen QualityDefectSubCategory 200,1,1,2026-08-24T00:00:00.000
201,QDSC000201,57,Titan QualityDefectSubCategory 201,1,1,2026-08-24T00:00:00.000
202,QDSC000202,77,Granite QualityDefectSubCategory 202,1,1,2026-08-24T00:00:00.000
203,QDSC000203,22,Willow QualityDefectSubCategory 203,1,1,2026-08-24T00:00:00.000
204,QDSC000204,59,Harbor QualityDefectSubCategory 204,1,1,2026-08-24T00:00:00.000
205,QDSC000205,13,Cedar QualityDefectSubCategory 205,1,1,2026-08-24T00:00:00.000
206,QDSC000206,77,Evergreen QualityDefectSubCategory 206,1,1,2026-08-24T00:00:00.000
207,QDSC000207,37,Pioneer QualityDefectSubCategory 207,1,1,2026-08-24T00:00:00.000
208,QDSC000208,20,Ion QualityDefectSubCategory 208,1,1,2026-08-24T00:00:00.000
209,QDSC000209,38,Unity QualityDefectSubCategory 209,1,1,2026-08-24T00:00:00.000
210,QDSC000210,26,Beacon QualityDefectSubCategory 210,1,1,2026-08-24T00:00:00.000
211,QDSC000211,56,Evergreen QualityDefectSubCategory 211,1,1,2026-08-24T00:00:00.000
212,QDSC000212,60,Evergreen QualityDefectSubCategory 212,1,1,2026-08-24T00:00:00.000
213,QDSC000213,67,Zenith QualityDefectSubCategory 213,1,1,2026-08-24T00:00:00.000
214,QDSC000214,8,Unity QualityDefectSubCategory 214,1,1,2026-08-24T00:00:00.000
215,QDSC000215,57,Orion QualityDefectSubCategory 215,1,1,2026-08-24T00:00:00.000
216,QDSC000216,50,Ion QualityDefectSubCategory 216,1,1,2026-08-24T00:00:00.000
217,QDSC000217,28,Junction QualityDefectSubCategory 217,1,1,2026-08-24T00:00:00.000
218,QDSC000218,49,Atlas QualityDefectSubCategory 218,1,1,2026-08-24T00:00:00.000
219,QDSC000219,35,Zenith QualityDefectSubCategory 219,1,1,2026-08-24T00:00:00.000
220,QDSC000220,22,Unity QualityDefectSubCategory 220,1,1,2026-08-24T00:00:00.000
221,QDSC000221,55,Vertex QualityDefectSubCategory 221,1,1,2026-08-24T00:00:00.000
222,QDSC000222,22,Keystone QualityDefectSubCategory 222,1,1,2026-08-24T00:00:00.000
223,QDSC000223,61,Vertex QualityDefectSubCategory 223,1,1,2026-08-24T00:00:00.000
224,QDSC000224,47,Evergreen QualityDefectSubCategory 224,1,1,2026-08-24T00:00:00.000
225,QDSC000225,74,Meridian QualityDefectSubCategory 225,1,1,2026-08-24T00:00:00.000
226,QDSC000226,46,Vertex QualityDefectSubCategory 226,1,1,2026-08-24T00:00:00.000
227,QDSC000227,1,Liberty QualityDefectSubCategory 227,1,1,2026-08-24T00:00:00.000
228,QDSC000228,58,Liberty QualityDefectSubCategory 228,1,1,2026-08-24T00:00:00.000
229,QDSC000229,63,Evergreen QualityDefectSubCategory 229,1,1,2026-08-24T00:00:00.000
230,QDSC000230,38,Keystone QualityDefectSubCategory 230,1,1,2026-08-24T00:00:00.000
231,QDSC000231,80,Zenith QualityDefectSubCategory 231,1,1,2026-08-24T00:00:00.000
232,QDSC000232,36,Quartz QualityDefectSubCategory 232,1,1,2026-08-24T00:00:00.000
233,QDSC000233,3,Orion QualityDefectSubCategory 233,1,1,2026-08-24T00:00:00.000
234,QDSC000234,28,Atlas QualityDefectSubCategory 234,1,1,2026-08-24T00:00:00.000
235,QDSC000235,59,Vertex QualityDefectSubCategory 235,1,1,2026-08-24T00:00:00.000
236,QDSC000236,58,Atlas QualityDefectSubCategory 236,1,1,2026-08-24T00:00:00.000
237,QDSC000237,67,Beacon QualityDefectSubCategory 237,1,1,2026-08-24T00:00:00.000
238,QDSC000238,52,Summit QualityDefectSubCategory 238,1,1,2026-08-24T00:00:00.000
239,QDSC000239,80,Granite QualityDefectSubCategory 239,1,1,2026-08-24T00:00:00.000
240,QDSC000240,7,Ion QualityDefectSubCategory 240,1,1,2026-08-24T00:00:00.000
241,QDSC000241,6,Cedar QualityDefectSubCategory 241,1,1,2026-08-24T00:00:00.000
242,QDSC000242,41,Willow QualityDefectSubCategory 242,1,1,2026-08-24T00:00:00.000
243,QDSC000243,68,Summit QualityDefectSubCategory 243,1,1,2026-08-24T00:00:00.000
244,QDSC000244,61,Quartz QualityDefectSubCategory 244,1,1,2026-08-24T00:00:00.000
245,QDSC000245,2,Pioneer QualityDefectSubCategory 245,1,1,2026-08-24T00:00:00.000
246,QDSC000246,41,Junction QualityDefectSubCategory 246,1,1,2026-08-24T00:00:00.000
247,QDSC000247,74,Liberty QualityDefectSubCategory 247,1,1,2026-08-24T00:00:00.000
248,QDSC000248,54,Quartz QualityDefectSubCategory 248,1,1,2026-08-24T00:00:00.000
249,QDSC000249,9,Pioneer QualityDefectSubCategory 249,1,1,2026-08-24T00:00:00.000
250,QDSC000250,43,Atlas QualityDefectSubCategory 250,1,1,2026-08-24T00:00:00.000
251,QDSC000251,57,Unity QualityDefectSubCategory 251,1,1,2026-08-24T00:00:00.000
252,QDSC000252,29,Orion QualityDefectSubCategory 252,1,1,2026-08-24T00:00:00.000
253,QDSC000253,3,Harbor QualityDefectSubCategory 253,1,1,2026-08-24T00:00:00.000
254,QDSC000254,14,Junction QualityDefectSubCategory 254,1,1,2026-08-24T00:00:00.000
255,QDSC000255,10,Vertex QualityDefectSubCategory 255,1,1,2026-08-24T00:00:00.000
256,QDSC000256,34,Beacon QualityDefectSubCategory 256,1,1,2026-08-24T00:00:00.000
257,QDSC000257,63,Forge QualityDefectSubCategory 257,1,1,2026-08-24T00:00:00.000
258,QDSC000258,78,Vertex QualityDefectSubCategory 258,1,1,2026-08-24T00:00:00.000
259,QDSC000259,78,Summit QualityDefectSubCategory 259,1,1,2026-08-24T00:00:00.000
260,QDSC000260,63,Orion QualityDefectSubCategory 260,1,1,2026-08-24T00:00:00.000
261,QDSC000261,26,Northstar QualityDefectSubCategory 261,1,1,2026-08-24T00:00:00.000
262,QDSC000262,64,Willow QualityDefectSubCategory 262,1,1,2026-08-24T00:00:00.000
263,QDSC000263,38,Willow QualityDefectSubCategory 263,1,1,2026-08-24T00:00:00.000
264,QDSC000264,53,Quartz QualityDefectSubCategory 264,1,1,2026-08-24T00:00:00.000
265,QDSC000265,47,Beacon QualityDefectSubCategory 265,1,1,2026-08-24T00:00:00.000
266,QDSC000266,79,Riverton QualityDefectSubCategory 266,1,1,2026-08-24T00:00:00.000
267,QDSC000267,53,Unity QualityDefectSubCategory 267,1,1,2026-08-24T00:00:00.000
268,QDSC000268,34,Willow QualityDefectSubCategory 268,1,1,2026-08-24T00:00:00.000
269,QDSC000269,29,Zenith QualityDefectSubCategory 269,1,1,2026-08-24T00:00:00.000
270,QDSC000270,47,Quartz QualityDefectSubCategory 270,1,1,2026-08-24T00:00:00.000
271,QDSC000271,18,Beacon QualityDefectSubCategory 271,1,1,2026-08-24T00:00:00.000
272,QDSC000272,73,Junction QualityDefectSubCategory 272,1,1,2026-08-24T00:00:00.000
273,QDSC000273,61,Vertex QualityDefectSubCategory 273,1,1,2026-08-24T00:00:00.000
274,QDSC000274,59,Atlas QualityDefectSubCategory 274,1,1,2026-08-24T00:00:00.000
275,QDSC000275,71,Delta QualityDefectSubCategory 275,1,1,2026-08-24T00:00:00.000
276,QDSC000276,8,Orion QualityDefectSubCategory 276,1,1,2026-08-24T00:00:00.000
277,QDSC000277,76,Quartz QualityDefectSubCategory 277,1,1,2026-08-24T00:00:00.000
278,QDSC000278,74,Keystone QualityDefectSubCategory 278,1,1,2026-08-24T00:00:00.000
279,QDSC000279,44,Keystone QualityDefectSubCategory 279,1,1,2026-08-24T00:00:00.000
280,QDSC000280,70,Titan QualityDefectSubCategory 280,1,1,2026-08-24T00:00:00.000
281,QDSC000281,66,Junction QualityDefectSubCategory 281,1,1,2026-08-24T00:00:00.000
282,QDSC000282,25,Harbor QualityDefectSubCategory 282,1,1,2026-08-24T00:00:00.000
283,QDSC000283,26,Northstar QualityDefectSubCategory 283,1,1,2026-08-24T00:00:00.000
284,QDSC000284,44,Zenith QualityDefectSubCategory 284,1,1,2026-08-24T00:00:00.000
285,QDSC000285,20,Vertex QualityDefectSubCategory 285,1,1,2026-08-24T00:00:00.000
286,QDSC000286,43,Ion QualityDefectSubCategory 286,1,1,2026-08-24T00:00:00.000
287,QDSC000287,64,Summit QualityDefectSubCategory 287,1,1,2026-08-24T00:00:00.000
288,QDSC000288,1,Unity QualityDefectSubCategory 288,1,1,2026-08-24T00:00:00.000
289,QDSC000289,77,Quartz QualityDefectSubCategory 289,1,1,2026-08-24T00:00:00.000
