MaintenancePmPlanKey,PmPlanNumber,AssetKey,MaintenancePlanClassKey,UnitOfMeasureKey,MaintenanceWorkTypeKey,RecordStatusKey,MaintenancePmPlanName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
20,MPP000020,219,78,5,11,2,Keystone MaintenancePmPlan 20,MPP000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3295c3f34b2c5928b4f73efcfd6cb6da3295c3f34b2c5928b4f73efcfd6cb6da
21,MPP000021,402,74,1,6,4,Orion MaintenancePmPlan 21,MPP000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,151dec9c342c5253a5219aa556bb19e4151dec9c342c5253a5219aa556bb19e4
22,MPP000022,458,50,2,11,3,Atlas MaintenancePmPlan 22,MPP000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6f0554b0c44519b8f5616646b6e12b0f6f0554b0c44519b8f5616646b6e12b0
23,MPP000023,95,38,2,8,4,Beacon MaintenancePmPlan 23,MPP000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7101b1740c7552bc9314932b5ee052eb7101b1740c7552bc9314932b5ee052eb
24,MPP000024,336,84,6,4,2,Orion MaintenancePmPlan 24,MPP000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,300610d49b1658f8b38f0d5f400f0727300610d49b1658f8b38f0d5f400f0727
25,MPP000025,253,7,3,10,2,Granite MaintenancePmPlan 25,MPP000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a8eaa83a24535e0386874c374c8ae56aa8eaa83a24535e0386874c374c8ae56a
26,MPP000026,404,10,4,9,1,Harbor MaintenancePmPlan 26,MPP000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8648b236a5e6570eb9953e7b3e70363d8648b236a5e6570eb9953e7b3e70363d
27,MPP000027,241,13,7,7,1,Zenith MaintenancePmPlan 27,MPP000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a2ecc1a7b5352318a6f0be0189233c63a2ecc1a7b5352318a6f0be0189233c6
28,MPP000028,261,86,1,9,2,Orion MaintenancePmPlan 28,MPP000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71bb311aea575c33acd8f46e3fa0532d71bb311aea575c33acd8f46e3fa0532d
29,MPP000029,95,19,2,3,2,Evergreen MaintenancePmPlan 29,MPP000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d99f7f5c1f8f57ea8a06f7271e31be71d99f7f5c1f8f57ea8a06f7271e31be71
30,MPP000030,17,4,3,5,1,Unity MaintenancePmPlan 30,MPP000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46c1b3e1a8095ed49f12caf402323e1846c1b3e1a8095ed49f12caf402323e18
31,MPP000031,497,88,3,10,2,Evergreen MaintenancePmPlan 31,MPP000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01790140a393516f903c90ff9c642a1a01790140a393516f903c90ff9c642a1a
32,MPP000032,34,72,3,2,4,Unity MaintenancePmPlan 32,MPP000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81d16b5bb614529d96172f67dee90ce581d16b5bb614529d96172f67dee90ce5
33,MPP000033,316,71,5,3,3,Quartz MaintenancePmPlan 33,MPP000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a8f6f11558150649df63cfed170beae4a8f6f11558150649df63cfed170beae
34,MPP000034,-1,26,7,6,2,Granite MaintenancePmPlan 34,MPP000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a833baf6d626510ebee468f91856c797a833baf6d626510ebee468f91856c797
35,MPP000035,23,37,7,7,1,Keystone MaintenancePmPlan 35,MPP000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad9d8fd85b6d595cba289161da61ca9cad9d8fd85b6d595cba289161da61ca9c
36,MPP000036,3,66,6,8,4,Atlas MaintenancePmPlan 36,MPP000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a3b425d31975bd7a5e4572772364f994a3b425d31975bd7a5e4572772364f99
37,MPP000037,36,21,5,9,3,Keystone MaintenancePmPlan 37,MPP000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9a76d698afb545d826eff7104c2b271c9a76d698afb545d826eff7104c2b271
38,MPP000038,82,33,3,9,3,Vertex MaintenancePmPlan 38,MPP000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,923216bf217258b4b90e9e3fdfe0bd3f923216bf217258b4b90e9e3fdfe0bd3f
39,MPP000039,248,62,2,2,3,Willow MaintenancePmPlan 39,MPP000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56ca5499fb8a5f4785a2965e0f5a784456ca5499fb8a5f4785a2965e0f5a7844
40,MPP000040,53,18,4,2,2,Meridian MaintenancePmPlan 40,MPP000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,604eff10c4f7563296383d6af3251fd0604eff10c4f7563296383d6af3251fd0
41,MPP000041,388,46,7,7,2,Ion MaintenancePmPlan 41,MPP000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ed34914f7da5281a2d946e1f41aa1516ed34914f7da5281a2d946e1f41aa151
42,MPP000042,199,74,2,12,4,Keystone MaintenancePmPlan 42,MPP000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9408714b74b52ed99f53bd27894b3b2a9408714b74b52ed99f53bd27894b3b2
43,MPP000043,460,81,4,10,3,Delta MaintenancePmPlan 43,MPP000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb08a1fba5fa52298acb1d567bdaefd1cb08a1fba5fa52298acb1d567bdaefd1
44,MPP000044,311,51,3,9,3,Harbor MaintenancePmPlan 44,MPP000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbf161e3623352d09184d2354779d78cdbf161e3623352d09184d2354779d78c
45,MPP000045,261,5,5,11,4,Meridian MaintenancePmPlan 45,MPP000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,290fe34fa13c54c584f1dc93178463b3290fe34fa13c54c584f1dc93178463b3
46,MPP000046,300,79,3,4,1,Liberty MaintenancePmPlan 46,MPP000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4dca2333f845ed78ccdf51bba8bf971d4dca2333f845ed78ccdf51bba8bf971
47,MPP000047,236,36,7,8,4,Vertex MaintenancePmPlan 47,MPP000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0db72e0559ea52f98061d6f20f843b9b0db72e0559ea52f98061d6f20f843b9b
48,MPP000048,220,2,5,9,1,Junction MaintenancePmPlan 48,MPP000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e8361fe31c052b18d1ac56928c169d03e8361fe31c052b18d1ac56928c169d0
49,MPP000049,315,63,6,11,4,Granite MaintenancePmPlan 49,MPP000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb2b7b3596a2544e928a51f494d10e2abb2b7b3596a2544e928a51f494d10e2a
50,MPP000050,236,57,4,9,2,Quartz MaintenancePmPlan 50,MPP000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c7ed1f1def9567fa7456ae20c42968e0c7ed1f1def9567fa7456ae20c42968e
51,MPP000051,-1,68,3,2,1,Liberty MaintenancePmPlan 51,MPP000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e7bc64999c93574280a34b4525f183cce7bc64999c93574280a34b4525f183cc
52,MPP000052,32,38,3,9,3,Liberty MaintenancePmPlan 52,MPP000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2136440354725fb59bff676613da8efe2136440354725fb59bff676613da8efe
53,MPP000053,45,24,1,12,2,Forge MaintenancePmPlan 53,MPP000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4372777ee8556c6ac5490ca1e8452e3d4372777ee8556c6ac5490ca1e8452e3
54,MPP000054,268,27,5,3,4,Beacon MaintenancePmPlan 54,MPP000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,086105d0e12b59e480898130fd17153e086105d0e12b59e480898130fd17153e
55,MPP000055,432,48,7,3,2,Vertex MaintenancePmPlan 55,MPP000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42b6e1931d3a5a86abbe759af9bf47da42b6e1931d3a5a86abbe759af9bf47da
56,MPP000056,32,36,7,6,3,Beacon MaintenancePmPlan 56,MPP000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da687e5bd32d53899f592513cb491cd6da687e5bd32d53899f592513cb491cd6
57,MPP000057,385,39,4,11,1,Titan MaintenancePmPlan 57,MPP000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb45c38684e358b19f575f9e6eca5081fb45c38684e358b19f575f9e6eca5081
58,MPP000058,84,90,7,7,3,Beacon MaintenancePmPlan 58,MPP000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88c5a65a21cc5ac9bbcb0a6a879529bf88c5a65a21cc5ac9bbcb0a6a879529bf
59,MPP000059,27,53,2,6,1,Junction MaintenancePmPlan 59,MPP000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de526b29c6af5ceea9a8faae2c45a022de526b29c6af5ceea9a8faae2c45a022
60,MPP000060,431,69,3,2,2,Meridian MaintenancePmPlan 60,MPP000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21b57bcbe90059e79eab2019704ff78e21b57bcbe90059e79eab2019704ff78e
61,MPP000061,484,85,3,5,3,Evergreen MaintenancePmPlan 61,MPP000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b66eb7aedd14574bb22dc6bd7ee4e150b66eb7aedd14574bb22dc6bd7ee4e150
62,MPP000062,263,75,4,7,1,Summit MaintenancePmPlan 62,MPP000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a1da11f414f6524bbc15977fc27a26d1a1da11f414f6524bbc15977fc27a26d1
63,MPP000063,341,87,6,2,3,Titan MaintenancePmPlan 63,MPP000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63e191ef8dd85493b5a4435d02e76a0563e191ef8dd85493b5a4435d02e76a05
64,MPP000064,164,4,5,4,1,Liberty MaintenancePmPlan 64,MPP000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,79d736f372d35bf0b871f23221bf241479d736f372d35bf0b871f23221bf2414
65,MPP000065,249,28,4,1,1,Delta MaintenancePmPlan 65,MPP000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d82a4924a7c5618bbd50a8a49c652b73d82a4924a7c5618bbd50a8a49c652b7
66,MPP000066,461,49,1,10,4,Pioneer MaintenancePmPlan 66,MPP000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23971cee0a96519aa4654ba195fd8f1c23971cee0a96519aa4654ba195fd8f1c
67,MPP000067,460,79,1,7,2,Orion MaintenancePmPlan 67,MPP000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,830785aa60e55813932863ce2ae093ff830785aa60e55813932863ce2ae093ff
68,MPP000068,-1,76,7,12,2,Liberty MaintenancePmPlan 68,MPP000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,386f1c4baf655c60b83ef5e24223872e386f1c4baf655c60b83ef5e24223872e
69,MPP000069,362,5,7,4,4,Unity MaintenancePmPlan 69,MPP000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1a0d906d02350ff831e1863beb3794cc1a0d906d02350ff831e1863beb3794c
70,MPP000070,309,74,5,2,4,Harbor MaintenancePmPlan 70,MPP000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c183ffc853b553668bb71b21166813c1c183ffc853b553668bb71b21166813c1
71,MPP000071,283,5,1,8,4,Zenith MaintenancePmPlan 71,MPP000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59f33be1baa35964b931868e4c0acdc659f33be1baa35964b931868e4c0acdc6
72,MPP000072,370,53,5,4,1,Delta MaintenancePmPlan 72,MPP000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,247fe0b819f65f7ca7ebf6b4b43d9bb1247fe0b819f65f7ca7ebf6b4b43d9bb1
73,MPP000073,142,43,5,11,3,Willow MaintenancePmPlan 73,MPP000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36548bd5817c5705a0b02dda1f6314ec36548bd5817c5705a0b02dda1f6314ec
74,MPP000074,453,18,3,6,2,Pioneer MaintenancePmPlan 74,MPP000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b155ea0f3eae500ea208c8435f892085b155ea0f3eae500ea208c8435f892085
75,MPP000075,88,7,2,12,4,Titan MaintenancePmPlan 75,MPP000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11d6808571145acf9bfdcc425d1dfb6811d6808571145acf9bfdcc425d1dfb68
76,MPP000076,89,67,7,2,4,Northstar MaintenancePmPlan 76,MPP000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6a9c7e5d9d954618d7b828e8dd21c2ff6a9c7e5d9d954618d7b828e8dd21c2f
77,MPP000077,152,60,2,6,3,Keystone MaintenancePmPlan 77,MPP000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76ab2ffcf9075c5dbead10aae9eefdbc76ab2ffcf9075c5dbead10aae9eefdbc
78,MPP000078,40,13,2,10,4,Orion MaintenancePmPlan 78,MPP000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b4f7c465b1e5f679d085decd2e8fc7c4b4f7c465b1e5f679d085decd2e8fc7c
79,MPP000079,297,11,4,11,4,Liberty MaintenancePmPlan 79,MPP000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c1ceba5ef60541f8784e29e0256f4104c1ceba5ef60541f8784e29e0256f410
80,MPP000080,377,45,3,3,1,Harbor MaintenancePmPlan 80,MPP000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f095edb722435041b59a32be32dc6517f095edb722435041b59a32be32dc6517
81,MPP000081,48,26,2,2,4,Quartz MaintenancePmPlan 81,MPP000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8b2522e814a53d4be9f65baa55cf686b8b2522e814a53d4be9f65baa55cf686
82,MPP000082,110,15,3,11,2,Titan MaintenancePmPlan 82,MPP000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c22e0d8e5f15af5a9ddfab62f46248d4c22e0d8e5f15af5a9ddfab62f46248d
83,MPP000083,226,67,6,8,2,Unity MaintenancePmPlan 83,MPP000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3091c7988525d63b7ec868b0846655aa3091c7988525d63b7ec868b0846655a
84,MPP000084,53,25,4,5,3,Northstar MaintenancePmPlan 84,MPP000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78bc93f96c435a7f80b772d72a26764978bc93f96c435a7f80b772d72a267649
85,MPP000085,-1,18,2,5,2,Cedar MaintenancePmPlan 85,MPP000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b084241a8205c0abe6c36e812dbf0cc6b084241a8205c0abe6c36e812dbf0cc
86,MPP000086,433,32,5,7,3,Zenith MaintenancePmPlan 86,MPP000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9b4c1b823205944a4a3beec1144df07d9b4c1b823205944a4a3beec1144df07
87,MPP000087,101,32,2,2,1,Willow MaintenancePmPlan 87,MPP000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3827188a5c405f2dafd32d638e8ee1303827188a5c405f2dafd32d638e8ee130
88,MPP000088,62,82,7,9,1,Atlas MaintenancePmPlan 88,MPP000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a94135af4a165d9d9b1ad2ae0674e1b9a94135af4a165d9d9b1ad2ae0674e1b9
89,MPP000089,300,24,4,11,2,Unity MaintenancePmPlan 89,MPP000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88fd4912bf3e58bead15365a1105dd4b88fd4912bf3e58bead15365a1105dd4b
90,MPP000090,137,73,2,2,3,Cedar MaintenancePmPlan 90,MPP000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ffb6507b11d652fbacedcd7a3af11903ffb6507b11d652fbacedcd7a3af11903
91,MPP000091,276,21,3,1,2,Beacon MaintenancePmPlan 91,MPP000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f86609ce94a4566c9126de4bd611186cf86609ce94a4566c9126de4bd611186c
92,MPP000092,366,16,2,12,1,Summit MaintenancePmPlan 92,MPP000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,361dc49368cf5cadb7b19c08a1826894361dc49368cf5cadb7b19c08a1826894
93,MPP000093,430,68,3,7,2,Titan MaintenancePmPlan 93,MPP000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11995e040fdd5a90a4d91cdd45b4196b11995e040fdd5a90a4d91cdd45b4196b
94,MPP000094,355,25,7,8,1,Summit MaintenancePmPlan 94,MPP000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,119fafcf9cf45a1a9c24a21387a3a24e119fafcf9cf45a1a9c24a21387a3a24e
95,MPP000095,490,64,4,12,3,Titan MaintenancePmPlan 95,MPP000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29b73ea5b81253b8919240433e20d60229b73ea5b81253b8919240433e20d602
