ProductFamilyKey,ProductFamilyCode,ProductLineKey,ProductFamilyName,SourceSystemKey,BatchId,LoadedAtUtc
25,PF000025,3,Delta ProductFamily 25,1,1,2026-08-24T00:00:00.000
26,PF000026,2,Zenith ProductFamily 26,1,1,2026-08-24T00:00:00.000
27,PF000027,23,Delta ProductFamily 27,1,1,2026-08-24T00:00:00.000
28,PF000028,13,Junction ProductFamily 28,1,1,2026-08-24T00:00:00.000
29,PF000029,7,Evergreen ProductFamily 29,1,1,2026-08-24T00:00:00.000
30,PF000030,18,Liberty ProductFamily 30,1,1,2026-08-24T00:00:00.000
31,PF000031,9,Titan ProductFamily 31,1,1,2026-08-24T00:00:00.000
32,PF000032,19,Orion ProductFamily 32,1,1,2026-08-24T00:00:00.000
33,PF000033,2,Granite ProductFamily 33,1,1,2026-08-24T00:00:00.000
34,PF000034,10,Harbor ProductFamily 34,1,1,2026-08-24T00:00:00.000
35,PF000035,26,Beacon ProductFamily 35,1,1,2026-08-24T00:00:00.000
36,PF000036,25,Evergreen ProductFamily 36,1,1,2026-08-24T00:00:00.000
37,PF000037,8,Willow ProductFamily 37,1,1,2026-08-24T00:00:00.000
38,PF000038,11,Delta ProductFamily 38,1,1,2026-08-24T00:00:00.000
39,PF000039,13,Northstar ProductFamily 39,1,1,2026-08-24T00:00:00.000
40,PF000040,14,Vertex ProductFamily 40,1,1,2026-08-24T00:00:00.000
41,PF000041,23,Evergreen ProductFamily 41,1,1,2026-08-24T00:00:00.000
42,PF000042,6,Orion ProductFamily 42,1,1,2026-08-24T00:00:00.000
43,PF000043,22,Meridian ProductFamily 43,1,1,2026-08-24T00:00:00.000
44,PF000044,26,Beacon ProductFamily 44,1,1,2026-08-24T00:00:00.000
45,PF000045,19,Vertex ProductFamily 45,1,1,2026-08-24T00:00:00.000
46,PF000046,28,Quartz ProductFamily 46,1,1,2026-08-24T00:00:00.000
47,PF000047,27,Titan ProductFamily 47,1,1,2026-08-24T00:00:00.000
48,PF000048,23,Titan ProductFamily 48,1,1,2026-08-24T00:00:00.000
49,PF000049,14,Titan ProductFamily 49,1,1,2026-08-24T00:00:00.000
50,PF000050,14,Quartz ProductFamily 50,1,1,2026-08-24T00:00:00.000
51,PF000051,5,Riverton ProductFamily 51,1,1,2026-08-24T00:00:00.000
52,PF000052,13,Northstar ProductFamily 52,1,1,2026-08-24T00:00:00.000
53,PF000053,29,Quartz ProductFamily 53,1,1,2026-08-24T00:00:00.000
54,PF000054,15,Liberty ProductFamily 54,1,1,2026-08-24T00:00:00.000
55,PF000055,8,Vertex ProductFamily 55,1,1,2026-08-24T00:00:00.000
56,PF000056,25,Willow ProductFamily 56,1,1,2026-08-24T00:00:00.000
57,PF000057,21,Liberty ProductFamily 57,1,1,2026-08-24T00:00:00.000
58,PF000058,24,Meridian ProductFamily 58,1,1,2026-08-24T00:00:00.000
59,PF000059,13,Pioneer ProductFamily 59,1,1,2026-08-24T00:00:00.000
60,PF000060,11,Keystone ProductFamily 60,1,1,2026-08-24T00:00:00.000
61,PF000061,23,Liberty ProductFamily 61,1,1,2026-08-24T00:00:00.000
62,PF000062,28,Titan ProductFamily 62,1,1,2026-08-24T00:00:00.000
63,PF000063,8,Meridian ProductFamily 63,1,1,2026-08-24T00:00:00.000
64,PF000064,18,Meridian ProductFamily 64,1,1,2026-08-24T00:00:00.000
65,PF000065,20,Liberty ProductFamily 65,1,1,2026-08-24T00:00:00.000
66,PF000066,21,Junction ProductFamily 66,1,1,2026-08-24T00:00:00.000
67,PF000067,1,Vertex ProductFamily 67,1,1,2026-08-24T00:00:00.000
68,PF000068,5,Titan ProductFamily 68,1,1,2026-08-24T00:00:00.000
69,PF000069,27,Junction ProductFamily 69,1,1,2026-08-24T00:00:00.000
70,PF000070,23,Titan ProductFamily 70,1,1,2026-08-24T00:00:00.000
71,PF000071,24,Northstar ProductFamily 71,1,1,2026-08-24T00:00:00.000
72,PF000072,13,Junction ProductFamily 72,1,1,2026-08-24T00:00:00.000
73,PF000073,20,Quartz ProductFamily 73,1,1,2026-08-24T00:00:00.000
74,PF000074,28,Orion ProductFamily 74,1,1,2026-08-24T00:00:00.000
75,PF000075,6,Granite ProductFamily 75,1,1,2026-08-24T00:00:00.000
76,PF000076,6,Titan ProductFamily 76,1,1,2026-08-24T00:00:00.000
77,PF000077,14,Delta ProductFamily 77,1,1,2026-08-24T00:00:00.000
78,PF000078,22,Junction ProductFamily 78,1,1,2026-08-24T00:00:00.000
79,PF000079,17,Beacon ProductFamily 79,1,1,2026-08-24T00:00:00.000
80,PF000080,8,Willow ProductFamily 80,1,1,2026-08-24T00:00:00.000
81,PF000081,24,Cedar ProductFamily 81,1,1,2026-08-24T00:00:00.000
82,PF000082,22,Pioneer ProductFamily 82,1,1,2026-08-24T00:00:00.000
83,PF000083,9,Orion ProductFamily 83,1,1,2026-08-24T00:00:00.000
84,PF000084,24,Atlas ProductFamily 84,1,1,2026-08-24T00:00:00.000
85,PF000085,10,Beacon ProductFamily 85,1,1,2026-08-24T00:00:00.000
86,PF000086,13,Pioneer ProductFamily 86,1,1,2026-08-24T00:00:00.000
87,PF000087,3,Granite ProductFamily 87,1,1,2026-08-24T00:00:00.000
88,PF000088,7,Keystone ProductFamily 88,1,1,2026-08-24T00:00:00.000
89,PF000089,14,Pioneer ProductFamily 89,1,1,2026-08-24T00:00:00.000
90,PF000090,11,Evergreen ProductFamily 90,1,1,2026-08-24T00:00:00.000
91,PF000091,30,Atlas ProductFamily 91,1,1,2026-08-24T00:00:00.000
92,PF000092,16,Atlas ProductFamily 92,1,1,2026-08-24T00:00:00.000
93,PF000093,18,Unity ProductFamily 93,1,1,2026-08-24T00:00:00.000
94,PF000094,24,Delta ProductFamily 94,1,1,2026-08-24T00:00:00.000
95,PF000095,2,Liberty ProductFamily 95,1,1,2026-08-24T00:00:00.000
96,PF000096,14,Vertex ProductFamily 96,1,1,2026-08-24T00:00:00.000
97,PF000097,4,Quartz ProductFamily 97,1,1,2026-08-24T00:00:00.000
98,PF000098,5,Titan ProductFamily 98,1,1,2026-08-24T00:00:00.000
99,PF000099,16,Pioneer ProductFamily 99,1,1,2026-08-24T00:00:00.000
100,PF000100,6,Beacon ProductFamily 100,1,1,2026-08-24T00:00:00.000
101,PF000101,27,Keystone ProductFamily 101,1,1,2026-08-24T00:00:00.000
102,PF000102,19,Atlas ProductFamily 102,1,1,2026-08-24T00:00:00.000
103,PF000103,20,Forge ProductFamily 103,1,1,2026-08-24T00:00:00.000
104,PF000104,25,Quartz ProductFamily 104,1,1,2026-08-24T00:00:00.000
105,PF000105,26,Liberty ProductFamily 105,1,1,2026-08-24T00:00:00.000
106,PF000106,2,Pioneer ProductFamily 106,1,1,2026-08-24T00:00:00.000
107,PF000107,7,Junction ProductFamily 107,1,1,2026-08-24T00:00:00.000
108,PF000108,18,Ion ProductFamily 108,1,1,2026-08-24T00:00:00.000
109,PF000109,10,Riverton ProductFamily 109,1,1,2026-08-24T00:00:00.000
110,PF000110,18,Pioneer ProductFamily 110,1,1,2026-08-24T00:00:00.000
111,PF000111,1,Delta ProductFamily 111,1,1,2026-08-24T00:00:00.000
112,PF000112,7,Vertex ProductFamily 112,1,1,2026-08-24T00:00:00.000
113,PF000113,11,Cedar ProductFamily 113,1,1,2026-08-24T00:00:00.000
114,PF000114,16,Ion ProductFamily 114,1,1,2026-08-24T00:00:00.000
115,PF000115,6,Orion ProductFamily 115,1,1,2026-08-24T00:00:00.000
116,PF000116,14,Delta ProductFamily 116,1,1,2026-08-24T00:00:00.000
117,PF000117,26,Quartz ProductFamily 117,1,1,2026-08-24T00:00:00.000
118,PF000118,11,Keystone ProductFamily 118,1,1,2026-08-24T00:00:00.000
119,PF000119,6,Northstar ProductFamily 119,1,1,2026-08-24T00:00:00.000
120,PF000120,4,Cedar ProductFamily 120,1,1,2026-08-24T00:00:00.000
121,PF000121,27,Titan ProductFamily 121,1,1,2026-08-24T00:00:00.000
122,PF000122,17,Junction ProductFamily 122,1,1,2026-08-24T00:00:00.000
123,PF000123,19,Summit ProductFamily 123,1,1,2026-08-24T00:00:00.000
124,PF000124,10,Cedar ProductFamily 124,1,1,2026-08-24T00:00:00.000
125,PF000125,1,Willow ProductFamily 125,1,1,2026-08-24T00:00:00.000
126,PF000126,18,Unity ProductFamily 126,1,1,2026-08-24T00:00:00.000
127,PF000127,30,Cedar ProductFamily 127,1,1,2026-08-24T00:00:00.000
128,PF000128,5,Vertex ProductFamily 128,1,1,2026-08-24T00:00:00.000
129,PF000129,23,Forge ProductFamily 129,1,1,2026-08-24T00:00:00.000
130,PF000130,12,Summit ProductFamily 130,1,1,2026-08-24T00:00:00.000
131,PF000131,15,Unity ProductFamily 131,1,1,2026-08-24T00:00:00.000
132,PF000132,13,Quartz ProductFamily 132,1,1,2026-08-24T00:00:00.000
133,PF000133,25,Willow ProductFamily 133,1,1,2026-08-24T00:00:00.000
134,PF000134,4,Unity ProductFamily 134,1,1,2026-08-24T00:00:00.000
135,PF000135,23,Atlas ProductFamily 135,1,1,2026-08-24T00:00:00.000
136,PF000136,28,Cedar ProductFamily 136,1,1,2026-08-24T00:00:00.000
137,PF000137,30,Meridian ProductFamily 137,1,1,2026-08-24T00:00:00.000
138,PF000138,27,Summit ProductFamily 138,1,1,2026-08-24T00:00:00.000
139,PF000139,8,Harbor ProductFamily 139,1,1,2026-08-24T00:00:00.000
140,PF000140,8,Summit ProductFamily 140,1,1,2026-08-24T00:00:00.000
141,PF000141,22,Beacon ProductFamily 141,1,1,2026-08-24T00:00:00.000
142,PF000142,2,Evergreen ProductFamily 142,1,1,2026-08-24T00:00:00.000
143,PF000143,27,Riverton ProductFamily 143,1,1,2026-08-24T00:00:00.000
144,PF000144,8,Orion ProductFamily 144,1,1,2026-08-24T00:00:00.000
145,PF000145,20,Delta ProductFamily 145,1,1,2026-08-24T00:00:00.000
146,PF000146,10,Riverton ProductFamily 146,1,1,2026-08-24T00:00:00.000
147,PF000147,30,Cedar ProductFamily 147,1,1,2026-08-24T00:00:00.000
148,PF000148,18,Ion ProductFamily 148,1,1,2026-08-24T00:00:00.000
149,PF000149,9,Keystone ProductFamily 149,1,1,2026-08-24T00:00:00.000
150,PF000150,1,Riverton ProductFamily 150,1,1,2026-08-24T00:00:00.000
